MP,Date,Language,Title,Url,Content
France JAMET,2023-12-13,FR,EU strategy to assist young people facing the housing and cost of living crisis (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-178-0000_FR.html,"  France Jamet (ID).   – Monsieur le Président, pour 85 % des Français de 18 à 25 ans, se loger est devenu un véritable parcours du combattant. C’est une catastrophe sociale et économique.
Cela n’a échappé à personne, mais l’Union européenne a toute sa responsabilité dans ces drames quotidiens, parce que vos lubies pseudo-écologistes ont exclu du marché de la location privée des millions de logements, qui ne sont plus accessibles, parce que votre politique de taux zéro a entraîné une surchauffe du marché immobilier. Vous parliez tout à l’heure d’une hausse de 11 à 13 %, or à Paris, en vingt ans, les loyers ont été multipliés par treize.
Vos décisions politiques ont créé une inflation inédite depuis vingt ans dans la zone euro. Vous avez ainsi contraint la Banque centrale européenne à relever ses taux de crédits en catastrophe pour la contenir, ce qui a augmenté le coût du crédit immobilier. Au final, les classes moyennes n’ont plus accès à la propriété: au premier semestre de 2023, un prêt sur deux a été refusé.
Donc, tout naturellement, ces candidats, ces primo-accédants, se sont rabattus faute de mieux sur le marché locatif, plus spécifique aux jeunes: jeunes travailleurs, jeunes étudiants, jeunes ménages. L’offre de logements était déjà insuffisante, elle est devenue inabordable. Le marché était déjà tendu au niveau de l’offre, vous l’avez restreint encore davantage; ce qui était difficile est devenu impossible.
Voilà dans quel marasme votre politique a plongé notre jeunesse. Aujourd’hui, j’ai l’impression que vous vous payez de mots, Monsieur le Commissaire, et vos vœux sont des vœux pieux. Pour prendre un seul exemple: un milliard d’investissements. Rien qu’en France, pour la rénovation énergétique de nos bâtiments, 70 milliards par an seraient nécessaires. Toutes les rustines collées sur toutes les bulles financières et immobilières que vous avez créées ont jeté toute une génération dans la précarité. Ils ne vous disent pas merci.
"
France JAMET,2023-12-12,FR,European Economic Security Strategy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-433-0000_FR.html,"  France Jamet (ID).   – Monsieur le Président, mes chers collègues, non, l’Union européenne n’a pas défendu et ne défend pas notre sécurité économique. L’hubris des technocrates de Bruxelles nous a menés droit dans le mur, à ruiner notre tissu industriel et à contribuer à l’évasion de notre excellence et de nos forces vives. Délocalisations, désindustrialisation: l’idéologie mondialiste a causé le malheur et le déclin des peuples d’Europe.
On a pu l’expérimenter dramatiquement dans la crise de la COVID-19, qui n’a, en aucun cas, servi de leçon. Envers et contre tous, l’Union européenne persiste dans sa politique libre-échangiste, «sans-frontiériste», dévastatrice pour notre souveraineté alimentaire, industrielle et énergétique. Elle est dans une dérive idéologique qui l’engage à refuser le gaz russe, mais n’a aucun scrupule à négocier avec le Kazakhstan ou la junte militaire algérienne.
Les principaux dangers pour notre sécurité économique ne sont pas dans les congrès du Parti communiste chinois, ni à la Douma, ni à Wall Street: ils sont à Bruxelles, qui refuse le protectionnisme et le localisme, qui seuls pourraient garantir notre souveraineté économique et industrielle. Car on ne peut pas en vouloir aux pays du monde entier d’être offensifs, d’être compétitifs et de défendre leurs propres intérêts. Mais on peut en vouloir à l’Union européenne de ne pas défendre, de n’avoir jamais voulu défendre les nôtres.
(L’oratrice accepte de répondre à une question «carton bleu»)
"
France JAMET,2023-12-12,FR,European Economic Security Strategy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-435-0000_FR.html,"  France Jamet (ID),  réponse ""carton bleu"". – Alors, Madame, je vais vous répondre très simplement. Vous sortez des éléments de langage qui vous permettent effectivement d’exister à nouveau pendant trente, quarante ou cinquante secondes, à une heure peut-être tardive, mais peut-être que certains encore ont le courage d’écouter.
C’est un peu fort de café, parce qu’on voit cela à longueur de colonnes, à longueur de passages médiatiques, alors que vous savez très bien qu’entre la règle de d’Hondt et l’accord qui existe ici pour exclure systématiquement toutes nos candidatures aux postes de rapporteurs, pour déposer des amendements…
(Le Président invite l’oratrice à conclure)
C’est vous qui bloquez le système, c’est vous qui nous empêchez de contribuer et de pouvoir travailler, justement, à changer cette Europe.
"
France JAMET,2023-12-11,FR,Role of tax policy in times of crisis (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-11-INT-1-105-0000_FR.html,"  France Jamet,  au nom du groupe ID. – Madame la Présidente, l’enfer est pavé de bonnes intentions, et je tiens quand même à rappeler ici solennellement un principe: le consentement à l’impôt est la base de notre démocratie. La coopération fiscale ne peut se faire que sur la base du volontariat. C’est le peuple qui décide. C’est le peuple qui doit en décider.
Le principe selon lequel l’Union européenne s’emparerait d’une quelconque légitimité pour guider, orienter ou décider de la politique fiscale des 27 États membres est un délire fantasmé. Bruxelles est préoccupé par la fiscalité? Mais que Bruxelles s’occupe déjà de lutter véritablement contre les paradis fiscaux!
D’autre part, la raison avancée pour demander la suppression de la règle de l’unanimité en matière fiscale, à savoir lutter contre le dumping fiscal, est un prétexte fallacieux, et je dirais même dangereux, parce que cela consisterait tout simplement à restreindre la souveraineté de nos nations; en dépossédant les peuples du consentement à l’impôt, l’Union européenne s’attaque au principe même de notre pacte social.
Mais ce qui est terrible, c’est cette implacable logique qui consiste, chaque fois que quelque chose ne fonctionne pas au sein de l’Union européenne, à ajouter encore et toujours plus de fédéralisme, toujours plus de technocratie. Plus de technocratie, c’est moins de démocratie, et ce sont nos compatriotes les plus précaires qui en paient chaque fois le prix le plus fort, parce que les milliards dont M. Gentiloni nous parle sortent de leur poche. 
Alors, l’Europe ne s’épanouira qu’en respectant nos nations, nos libertés et notre volonté populaire. C’est là notre vision de la démocratie. 
"
France JAMET,2023-10-16,FR,Fisheries control (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-16-INT-1-169-0000_FR.html,"  France Jamet (ID).   – Madame la Présidente, chers collègues, je vois peu de raisons de me réjouir de ces nouvelles mesures, M. Sinkevičius non plus, d’ailleurs – la preuve: il n’est pas là pour fêter cela.
Ce vote crucial sur le contrôle des pêches intervient alors que la crise bat son plein: la filière pêche est menacée de toutes parts. Au lieu d’aider nos pêcheurs et sous prétexte de moderniser leur flotte à l’aide d’outils numériques, Bruxelles intensifie leur flicage en imposant l’installation systématique de caméras de surveillance à bord de tous nos navires. On traite nos pêcheurs artisans comme des délinquants.
C’est sans doute parce que la Commission veut voir ces petits métiers disparaître, car, étrangement, elle ne se préoccupe pratiquement jamais de la surpêche industrielle de pays tiers, ou européens, qui ne tiennent aucun compte de la ressource. 
D’autre part, la compétence des inspecteurs mandatés par l’Union européenne est une atteinte à la souveraineté des États, puisqu’ils rendront compte directement à la Commission alors qu’ils interviennent dans nos eaux territoriales. Dans le monde rêvé de la Commission européenne, il n’y a plus de pêcheurs, il n’y a plus d’agriculteurs, il n’y a plus d’industrie.
C’est l’inverse qui doit être défendu: c’est le localisme, une économie enracinée, qui anime nos territoires, qui s’appuie sur des hommes et des femmes de métier et de passion, et qui contribue à notre souveraineté alimentaire et à notre indépendance nationale.
"
France JAMET,2023-10-04,FR,European green bonds (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-221-0000_FR.html,"  France Jamet,  au nom du groupe ID. – Madame la Présidente, mes chers collègues, informer les investisseurs qui souhaitent placer leur épargne dans des activités durables est tout à fait louable. Cependant, la mise en place de ce label vert de plus, fût-il public, fût-il gratuit, ne permettra en rien d’identifier la vertu de ces produits.
En effet, il reposera sur une perception partielle et partiale du caractère durable ou environnemental que vous avez vous-mêmes défini et malheureusement adossé à la taxonomie européenne. Taxonomie intrinsèquement défectueuse, conçue à coups de lubies idéologiques et de compromissions boutiquières, dont le scandale du traitement infligé à notre énergie nucléaire est un parfait exemple. Vous avez préféré miser sur l’éolien, sur terre et sur mer, qui nous coûte très cher et produit si peu et si mal. Aujourd’hui, les Français en paient le prix fort.
L’écologie ne doit pas se faire sur des labels frelatés, des visions dépassées ou mensongères, mais sur une politique cohérente fondée sur le localisme. Localisme que l’on peut tout à fait appliquer à la finance et au libre-échange. Localisme qui promeut de fait des investissements durables puisque locaux. Localisme, enfin, qui mise sur des hommes et des femmes enracinés sur leur territoire, sur la nation organisée en État souverain, cadre fondamental de protection nécessaire à la défense de la liberté et de la sécurité des personnes, des familles et des peuples. L’empire des normes ne se fera pas contre la réalité des nations. 
"
France JAMET,2023-09-12,FR,Iran: one year after the murder of Jina Mahsa Amini (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-326-0000_FR.html,"  France Jamet (ID).   – Monsieur le Président, il y a un an, dans la République islamique d’Iran, succombait Jina Mahsa Amini, arrêtée par la police des mœurs parce qu’elle ne portait pas correctement son hijab. Non, à tous les islamo-gauchistes du monde et de cet hémicycle, et à la Commission européenne qui le martèle: le voile islamique n’émancipe pas la femme. Il n’est pas non plus un choix librement consenti. Jina Mahsa en est morte. Mais savez-vous qu’un sondage, en 2016, faisait apparaître que 75 % des femmes qui portaient chez nous le voile le faisait par obligation sociale ou par obligation familiale?
Ne pas livrer chez nous ce combat pour ces jeunes filles et ces femmes, c’est être complice. Dénoncer la mort de Jina Mahsa et le sort de ces femmes courageuses en Iran perd tout son sens si, drapés dans les oripeaux d’une pseudo-liberté individuelle revendiquée par les fondamentalistes, nous ne luttons pas contre cette contrainte tribale qui est imposée aux femmes ici, chez nous.
"
France JAMET,2023-07-11,FR,Financial activities of the European Investment Bank – annual report 2022 - Control of the financial activities of the European Investment Bank - annual report 2022 (joint debate - European Investment Bank),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-466-0000_FR.html,"  France Jamet,  au nom du groupe ID. – Monsieur le Président, la Banque européenne d’investissement devrait être un outil au service de la prospérité des peuples, des nations d’Europe et de leurs forces vives. Dans les faits, elle n’est qu’un outil de communication politique, un outil qui promeut essentiellement une folle idéologie antinucléaire et dévoyée par l’extrême gauche. Et pour faire quoi? Balancer 350 millions d’euros dans l’éolien maritime dans le Calvados, avec pour effet d’expulser nos pêcheurs de leur zone de pêche? Ou dans un soutien hasardeux à des énergies renouvelables, alors que notre industrie nucléaire performante, abondante et décarbonée mériterait plus d’investissements?
Et pourquoi la Banque d’investissement européenne ne jouerait-elle pas un rôle plus positif et performant dans notre économie, en se donnant, par exemple, les moyens d’entrer au capital d’entreprises innovantes? Cela éviterait que des groupes financiers étrangers et puissants ne finissent par en prendre le contrôle et nous dépossèdent de fleurons industriels ou nous privent d’entrepreneurs qui créent de l’emploi et de la richesse.
Nos territoires ont des potentiels, des énergies, des compétences, des savoirs, de l’excellence et la BEI doit se donner pour objectif de les préserver et de les protéger. Protéger notre souveraineté économique, protéger notre souveraineté énergétique.
"
France JAMET,2023-07-10,FR,"Management, conservation and control measures in the area covered under the Southern Indian Ocean Fisheries Agreement (SIOFA) (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-10-INT-1-166-0000_FR.html,"  France Jamet,  au nom du groupe ID. – Madame la Présidente, mes chers collègues, symbole de la puissance maritime française, située au cœur d’une zone de haute mer de 30 millions de kilomètres carrés, notre magnifique Île de la Réunion a été désignée comme siège de l’organisation issue des accords APSOI relatifs aux pêches dans le Sud de l’océan Indien conclu entre l’Union européenne, la France et six autres États maritimes. Et je ne peux que m’en réjouir.
Si, évidemment, je partage la position de M. Pimenta Lopes sur la forme, et notamment sur l’aspect linguistique que mes collègues viennent de relever, j’ai au-delà des remarques à faire sur le fond. Il est quand même préoccupant qu’au terme de ces accords, les politiques européennes aillent dans le sens d’un soutien indéfectible, et je dirais même systématique, à ceux que je qualifierai de financiers de la mer: la pêche macro-industrielle des multinationales.
À l’heure où l’enjeu environnemental est capital et où le développement de l’économie bleue est fondamental, il est nécessaire de préserver notre modèle de pêche traditionnel, ses emplois induits et l’environnement. À commencer par tout ce qui contribuera à lutter contre la pêche illégale, non déclarée et non réglementée, et contre la piraterie. Et pour cela, nous devons nous appuyer sur une coopération renforcée avec tous les États riverains de l’océan Indien, bien sûr, tous, y compris la Chine et l’Inde.
"
France JAMET,2023-06-14,FR,Lessons learnt from the Pandora Papers and other revelations (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-14-INT-3-286-0000_FR.html,"  France Jamet,  au nom du groupe ID. – Madame la Présidente, Monsieur Reynders, mes chers collègues, si les scandales fiscaux se multiplient et dépouillent nos concitoyens de centaines de milliards d’euros, c’est que vous avez rendu tout cela possible avec la suppression des frontières et la promotion de la libre circulation des biens, des capitaux et des personnes. On pourrait même y ajouter une étrange dépendance consentie aux investisseurs nomades, aux sociétés écrans et aux fiducies, contre lesquels les gouvernements concernés ne font pour ainsi dire rien.
Pandora Papers, Panama Papers, LuxLeaks: tous ces noms symbolisent ni plus ni moins que la réussite d’une oligarchie mondiale toujours prompte à imposer l’austérité et les sacrifices uniquement au peuple. Car, chaque fois, les bénéfices sont privés et les dettes deviennent publiques, et ce sont nos citoyens qui en font les frais, les criminels qui s’enrichissent et nos nations qui s’appauvrissent, selon le Consortium international des journalistes d’investigation.
Hélas, la liste de vœux pieux consignés dans ce rapport ne fera pas grand mal. Rien ne contribuera ou ne sera de nature à régler la source du problème tant que la représentation publique et nos institutions seront obsessionnellement monopolisées par le souci de servir le financiarisme. Le capitalisme de connivence et nos démocraties sont incompatibles. 
Parce qu’un État qui se respecte doit être en mesure de poursuivre, de défendre et de promouvoir les intérêts de la société qu’il représente, nous en appelons à un retour aux frontières. Pour lutter contre le blanchiment et la fraude fiscale, il faut restaurer la souveraineté des nations et surtout exprimer une volonté claire, politique, assumée et de portée internationale, une souveraineté qui refuse et combatte réellement le brigandage des peuples auquel se livrent ces prédateurs.
"
