MP,Date,Language,Title,Url,Content
Francesca DONATO,2023-11-21,IT,Packaging and packaging waste (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-232-0000_IT.html,"  Francesca Donato (NI).   – Signor Presidente, onorevoli colleghi, questo regolamento sugli imballaggi e i rifiuti da imballaggio si inserisce nel solco delle politiche del Green Deal europeo, che puntano a obiettivi come l'eliminazione dei combustibili fossili, l'azzeramento delle emissioni antropiche di anidride carbonica in atmosfera, la modifica dell'andamento del clima, obiettivi da raggiungere per la Commissione ad ogni costo, incluso quello della distruzione del sistema industriale europeo che ha assicurato la crescita economica e il progresso sociale per oltre un secolo. 
Anche i Paesi più virtuosi nel riciclo dei rifiuti, come l'Italia, verranno costretti a cambiare il modello produttivo in pochi anni per eliminare le plastiche, il nuovo nemico da abbattere. Ma la proposta di riutilizzare gli imballaggi e i contenitori di tutti i prodotti di consumo, inclusi gli alimenti, è economicamente insostenibile, oltre che dannosa per l'ambiente, visto l'enorme impiego di energia, acqua e detersivi che comporterebbe.
Fermiamo questa deriva ideologica una volta per tutte, prima che essa fermi l'Europa.
"
Francesca DONATO,2023-11-09,IT,Outcome of the EU-US summit (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-09-INT-2-016-0000_IT.html,"  Francesca Donato (NI).   – Signor Presidente, onorevoli colleghi, abbiamo sentito dalle parole della Commissaria un lungo elenco di progetti condivisi con l'amministrazione Biden da parte dell'Unione europea, alcuni dei quali non altrettanto condivisi dai popoli europeo e statunitense, come ad esempio quello del supporto militare e finanziario illimitato al governo ucraino, senza alcuno sforzo per arrivare a un negoziato, o come il perseguimento degli obiettivi climatici con modalità e tempistiche già dimostratesi insostenibili per il nostro sistema industriale, dal punto di vista energetico e commerciale.
Ciò che emerge dai risultati di questo vertice è il costante appiattimento delle politiche europee sugli obiettivi indicati dal governo americano, senza alcun dibattito né cura per i tanti punti di conflitto fra gli interessi dell'Unione e quelli degli Stati Uniti.
Il distacco e l'alienazione della dirigenza UE rispetto alle richieste dei cittadini europei aumenta progressivamente e di questo vedremo i risultati presto nelle urne.
"
Francesca DONATO,2023-10-18,IT,"The despicable terrorist attacks by Hamas against Israel, Israel’s right to defend itself in line with humanitarian and international law and the humanitarian situation in Gaza (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-046-0000_IT.html,"  Francesca Donato (NI).   – Signor Presidente, onorevoli colleghi, in Israele infuria la guerra e l'ultima strage di civili nell'ospedale battista di Gaza City, colpito da un razzo, aumenta ancora il tragico conteggio delle vittime. Le accuse incrociate fra Hamas e Israele sulla paternità di questo razzo dovranno essere verificate con serietà per porre fine alle speculazioni propagandistiche.
Ma oggi più che mai va ribadito: non si può non stare accanto al 100 % a Israele mentre combatte con i propri uomini e donne contro il peggior terrorismo, perché non ci potranno mai essere uno Stato palestinese né una convivenza pacifica fra i due popoli finché esiste Hamas.
Salvare il popolo di Israele e i civili palestinesi è l'obiettivo da perseguire: aiutiamo il governo israeliano a raggiungerlo. Quindi, l'Unione europea dovrà effettuare severi controlli sui fondi destinati a Gaza, perché non vengano più spesi per costruire armi o tunnel dai terroristi. Inoltre, dovrà fornire strumenti concreti per evitare che altri terroristi entrino in Europa attraverso i canali migratori. La sicurezza dei cittadini europei, sia autoctoni che immigrati, è una nostra precisa responsabilità.
"
Francesca DONATO,2023-10-17,IT,Effectiveness of the EU sanctions on Russia (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-047-0000_IT.html,"  Francesca Donato (NI).   – Signor Presidente, onorevoli colleghi, l'obiettivo dichiarato delle sanzioni alla Russia era quello di spezzare le reni al governo russo e costringerlo alla ritirata dai territori ucraini.
A oltre un anno e mezzo dall'inizio della guerra in Ucraina, la Russia è ancora lì ed è avanzata notevolmente. L'economia russa gode di migliore salute di quella europea, che ha risentito pesantemente delle sanzioni UE e delle controsanzioni russe, che hanno prodotto una gravissima crisi energetica e una spirale inflazionistica senza precedenti nell'UE.
La realtà è dunque che le sanzioni alla Russia sono state un completo fallimento. Prenderne atto sarebbe oggi una sconfitta politica per l'Unione, ma perseverare nell'errore avrà un costo ancora più alto per tutti noi, per le famiglie e le imprese europee.
Se vogliamo davvero evitare che la Russia vinca la guerra in Ucraina, dobbiamo promuovere un negoziato che la fermi, e farlo in fretta. Il ritiro delle sanzioni oggi può essere un importante strumento di trattativa per un armistizio che salverebbe la vita di migliaia di ucraini e scongiurerebbe il rischio di una sconfitta totale ucraina. Ricordiamocelo: è meglio perdere che straperdere.
"
Francesca DONATO,2023-09-14,IT,"Parliamentarism, European citizenship and democracy (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-14-INT-4-025-0000_IT.html,"  Francesca Donato (NI).   – Signor Presidente, signora Commissaria, onorevoli colleghi, l'Unione europea si pone di fronte al mondo come modello e baluardo di democrazia, arrivando a formulare ingiunzioni e irrogare sanzioni a chi non rispetta i suoi standard democratici. Ma in realtà c'è ancora tanta strada da fare perché l'Unione europea traduca il nobile ideale dei suoi padri fondatori in un sistema autenticamente e solidamente democratico. 
Questa relazione va nella giusta direzione, puntando agli obiettivi essenziali, cioè dare al Parlamento europeo l'iniziativa legislativa, maggiore trasparenza e responsabilità per la Commissione e il Consiglio e i referendum europei. Una riforma del trattato in tal senso potrebbe dare all'Unione europea quella legittimità e credibilità che oggi non ha rispetto a molti dei suoi cittadini. 
Il Consiglio dovrà dimostrare quanto crede nell'Unione europea e nella democrazia in questo processo. Altrimenti finirà, come nella canzone di De André, a dare buoni consigli dopo aver dato il cattivo esempio.
"
Francesca DONATO,2023-07-12,IT,"Conclusions of the European Council meeting of 29-30 June 2023, in particular the recent developments in the war against Ukraine and in Russia (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-031-0000_IT.html,"  Francesca Donato (NI).   – Signor Presidente, onorevoli colleghi, nelle conclusioni del Consiglio europeo si ribadisce puntualmente l'impegno al sostegno militare, finanziario, ecc., all'Ucraina fino a che sarà necessario. Ma, perdonatemi se vi chiedo, necessario per ottenere cosa? La fine della guerra, con il ritiro incondizionato russo e la cattura di Putin, come prevede la formula di pace del presidente Zelensky?
Davvero vi pare un piano credibile? E se per caso dovesse realizzarsi la caduta del governo russo, l'Europa sarebbe pronta per uno scenario post-Putin? Una Libia in Russia è ciò che volete ottenere? In tal caso, sappiate che gli USA e la NATO non la vogliono e non vi appoggeranno. Il rischio che le atomiche russe finiscano nelle mani sbagliate è troppo anche per Biden.
Quindi, se il vostro obiettivo è questo, dovrete farcela da soli. Beh, auguri! Ma se non è questo, per quale fine stiamo armando e finanziando ad libitum il governo ucraino, senza nemmeno chiedere conto di come viene speso il nostro denaro?
Un po' di chiarezza sarebbe gradita.
"
Francesca DONATO,2023-07-11,IT,COVID-19 pandemic: lessons learned and recommendations for the future (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-208-0000_IT.html,"  Francesca Donato (NI).   – Signor Presidente, signor Commissario, onorevoli colleghi, la definizione di questa relazione è stata particolarmente travagliata vista la mole di emendamenti presentati, ma l'esito che domani voteremo è del tutto privo dei contributi critici di vari membri su numerosi e gravissimi errori compiuti nella gestione della pandemia.
Dalla malagestione degli acquisti congiunti dei vaccini da parte della Presidente della Commissione, con opacità e compromissione dei bilanci UE e nazionali su cui è in corso un'indagine dell'EPPO, al fallimento dei certificati digitali COVID, che hanno favorito la diffusione del contagio instillando nei vaccinati la falsa sicurezza di essere protetti dall'infezione e non poter infettare gli altri; dalla discriminazione e violazione dei diritti umani fondamentali di chi non fosse munito dei certificati validi, benché immune per guarigione, alla negazione del dibattito scientifico aperto su temi chiave, ai danni economici imponenti dovuti a restrizioni inutili e sproporzionate. Di tutto questo non c'è traccia nella relazione.
Il lavoro di un anno è stato sprecato e la credibilità del Parlamento ne uscirà ulteriormente indebolita. Non meravigliamoci poi se i movimenti euroscettici guadagnano consensi, siamo noi a regalare loro i voti.
"
Francesca DONATO,2023-06-13,IT,Artificial Intelligence Act (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-13-INT-2-169-0000_IT.html,"  Francesca Donato (NI).   – Signora Presidente, onorevoli colleghi, signora Commissaria, questo regolamento sull'intelligenza artificiale è il primo, a livello globale, che regolamenta la materia e pone delle condizioni precise per l'utilizzo di questi dispositivi. L'approccio basato sul rischio lascia alcuni spazi scoperti. Tuttavia, molti miglioramenti rispetto alla proposta iniziale della Commissione sono stati introdotti dai relatori nei compromessi. 
L'importante, naturalmente, è che le pratiche vietate e le regole inserite vengano rese effettive da adeguate sanzioni in caso di violazioni. Rimane il dubbio rispetto ai rischi del possibile sviluppo fuori controllo dell'intelligenza artificiale, come segnalato con la richiesta di una moratoria da oltre 1 000 esperti imprenditori del settore, incluso Elon Musk. 
Auspico quindi che anche negli altri paesi più sviluppati si introduca al più presto una regolamentazione efficace e stringente che consenta di minimizzare i rischi per la sicurezza e i diritti umani connessi allo sviluppo vertiginoso e all'utilizzo diffuso di queste nuove tecnologie. 
"
Francesca DONATO,2023-05-09,IT,Revision of the Stability and Growth Pact (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-09-INT-2-034-0000_IT.html,"  Francesca Donato (NI).   – Signor Presidente, onorevoli colleghi, signor vicepresidente Šefčovič, oggi devo farle una domanda: su quali fondamenti di scienza macroeconomica si basano i parametri del 60 % del debito sul PIL del 3 % del deficit, che ancora non si vogliono né rimuovere né modificare?
Perché, vede, io cerco questa risposta da anni, ma non riesco a trovarla, visto che lo studio dei due professori di Oxford che sostennero il tetto del 60 % del debito sul PIL si è rivelato del tutto sbagliato.
Da anni si parla di riforma del patto di stabilità e ci si aspettava che si intervenisse sul suo principale problema, cioè le soglie, specialmente dopo che il patto ha dovuto essere sospeso nella pandemia COVID-19 proprio perché non erano soglie sostenibili.
Invece ci ritroviamo, ancora, con un sistema di vincoli infondati e rafforzati che costringerà l'Italia a tagliare tra gli 8 e 15 miliardi di euro l'anno di spesa e a fare riforme e investimenti decisi a Bruxelles, che lasciano fuori opere cruciali per il rilancio del Paese ed eroderanno la spesa corrente per welfare e manutenzione di infrastrutture essenziali.
Non è questa la ricetta per la ripresa, né per la stabilità sociale di un'Europa che non vuole lasciare nessuno indietro.
"
Francesca DONATO,2023-04-19,IT,Children forcibly deported from Ukraine and the ICC arrest warrant for Vladimir Putin (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-19-INT-3-037-0000_IT.html,"  Francesca Donato (NI).   – Signor Presidente, l'accusa alla Russia di deportazione dei bambini ucraini è stata mossa per la prima volta dal difensore civico ucraino Lyudmila Denisova, poi licenziata dal governo di Kiev per le troppe menzogne propagate.
Purtroppo però le sue accuse, mai dimostrate, sono state riprese da altri politici ucraini e diffuse da diversi media. In realtà la cosiddetta deportazione riguarda bambini orfani accolti presso famiglie russe al sicuro, oppure bimbi affidati ai russi dai genitori e portati in Russia temporaneamente e poi restituiti alle famiglie.
Quei bimbi sono diventati orfani perché le forze armate ucraine usano la popolazione civile come scudo umano, come riportato anche da Amnesty International. Ma il presidente russo Putin è additato come responsabile per queste presunte deportazioni e quindi colpito dal mandato di arresto della Corte penale internazionale, mai riconosciuta dalla Russia, ma nemmeno dagli Stati Uniti e dalla stessa Ucraina. Non si vede come questa misura possa sortire alcun risultato, tranne quello di inasprire ancora i rapporti tra Europa e Russia e inibire ogni possibile tentativo di soluzione negoziata del conflitto.
Smettiamola con le accuse strumentali e faziose, lavoriamo piuttosto per la pace se vogliamo salvare i bambini.
"
