MP,Date,Language,Title,Url,Content
Francesca PEPPUCCI,2023-11-23,IT,International day for the elimination of violence against women (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-23-INT-4-065-0000_IT.html,"  Francesca Peppucci (PPE).   – Signor Presidente, onorevoli colleghi, ogni giorno informiamo e approfondiamo le violenze che vengono compiute a danno delle donne, un sesso che ancora oggi viene visto come un sesso debole, che può essere dominato. Purtroppo, però vediamo come i numeri non tendono a diminuire. Pertanto serve un'azione decisa perché, purtroppo, le iniziative di sensibilizzazione e informazione, che devono essere mantenute, non bastano più. 
Le violenze a carico delle donne crescono come un'epidemia silenziosa che può maturare fino ad arrivare alla morte. Dotiamo l'Europa di norme severe che valgano per tutti, affinché venga riconosciuto il reato di stalking in ogni Paese membro, dove lo stupro sia riconosciuto come un reato europeo e non ci siano attenuanti. Non giustifichiamo più gli atteggiamenti aggressivi di alcuni uomini solo perché collegati alla loro cultura. Mettiamo le vittime nella condizione di poter sempre denunciare, indipendentemente dalla propria condizione sociale. 
Qua voglio evidenziare una situazione che troppo spesso viene taciuta: tuteliamo le donne con disabilità perché i numeri ci dicono come queste siano doppiamente discriminate in ogni ambito rispetto a una donna senza disabilità. E mettiamo fine in ogni paese dell'Unione europea all'inumana sterilizzazione forzata delle donne che vivono una condizione di disabilità. 
""Donna sottomettiti, donna ubbidiscimi, donna non farmi arrabbiare, donna se non fai come ti dico, donna se mi denunci io ti uccido"". Le donne devono essere libere dalla paura, non solo in Europa, ma in ogni parte del mondo. 
"
Francesca PEPPUCCI,2023-11-08,IT,Type-approval of motor vehicles and engines with respect to their emissions and battery durability (Euro 7) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-08-INT-1-222-0000_IT.html,"  Francesca Peppucci (PPE).   – Signor Presidente, onorevoli colleghi, noi tutti vogliamo auto che rispettino l'ambiente, ma dobbiamo agire con cautela.
L'Europa è conosciuta in tutto il mondo per la produzione di automobili a basse emissioni e di alta qualità, il fatturato generato dall'industria automobilistica rappresenta quasi l'8 % del PIL dell'Unione europea. Gli obiettivi climatici dell'Unione europea devono camminare di pari passo con lo sforzo richiesto ai produttori di automobili e di componenti di auto e la proposta che è stata elaborata è certamente la misura giusta tra le due esigenze.
È evidente come il settore dell'industria automobilistica sta già affrontando sfide senza precedenti legate alle conseguenze della guerra, come l'accesso limitato alle materie prime, l'aumento dei prezzi dell'energia o pressioni inflazionistiche, ed è proprio in momenti di crisi come queste che i settori come quello automobilistico devono fare la differenza e lo devono fare in maniera competitiva sulla scena internazionale, oltre a dover garantire una mobilità a prezzi accessibili ai nostri cittadini.
Andiamo spediti, quindi, con proposte concrete che raggiungano obiettivi giusti, invece di procedere con provvedimenti esclusivamente ideologici che difficilmente portano a risultati.
"
Francesca PEPPUCCI,2023-10-04,IT,Need for a speedy adoption of the asylum and migration package (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-083-0000_IT.html,"  Francesca Peppucci (PPE).   – Signor Presidente, onorevoli colleghi, quanti morti ancora dovranno esserci affinché i paesi membri si assumano le loro responsabilità? Quanto ancora dovremo agevolare il lavoro dei criminali trafficanti di esseri umani, gli stessi che commerciano droga e armi, prima che si proceda spediti verso una soluzione condivisa fra tutti gli Stati membri?
Colleghi, i flussi migratori rappresentano un grave problema, la vera sfida contemporanea. Non è una questione italiana, è un problema europeo, e quindi un problema di tutti gli Stati membri. Qui nessuno può fare la morale e nascondersi dietro belle parole o buoni propositi, tutti devono assumersi le loro responsabilità e fare la loro parte. Non è pensabile che pochi paesi europei si assumano la totale gestione della politica migratoria dell'Unione europea.
Accogliamo chi fugge dal proprio paese d'origine perché perseguitato, ma forniamo un'assistenza dignitosa. Garantiamo sicurezza ai cittadini europei e lavoriamo per agevolare il rimpatrio di chi non ha diritto di stare in Unione europea. Agiamo. Iniziamo ad approvare il patto per la migrazione e, soprattutto, iniziamo ad applicarlo.
"
Francesca PEPPUCCI,2023-10-03,IT,The 10th consecutive increase in reference interest rates decided by the ECB and its consequences (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-534-0000_IT.html,"  Francesca Peppucci (PPE).   – Signor Presidente, onorevoli colleghi, l'aumento dei tassi di interesse da parte della Banca centrale europea ha l'obiettivo di dare un contributo sostanziale al tempestivo rientro dell'inflazione. Ma serve prudenza.
Come delegazione italiana di Forza Italia abbiamo da subito considerato questa scelta non condivisibile, le cui conseguenze sono state pagate e sono pagate dalle famiglie e dalle imprese. Tutto questo, inevitabilmente, porta a un blocco delle iniziative e degli investimenti programmati delle imprese per non chiedere soldi alle banche. Mutui a tasso variabile che rappresentano un peso insostenibile per le famiglie. Per di più, una situazione che porta al rischio che i mutui non pagati si trasformino in crediti deteriorati, con conseguenti nuovi problemi.
L'inflazione nel territorio europeo è provocata soprattutto da fattori esterni all'economia europea, come l'aumento del prezzo dell'energia o delle materie prime. Non aiuta, quindi, un aumento continuo dei tassi, che rischia di portarci in recessione. Bisogna bilanciare lotta all'inflazione e rischio di recessione. Speriamo quindi che la cura prevista dalla Banca centrale europea non vada a uccidere il malato.
"
Francesca PEPPUCCI,2023-09-13,IT,SME Relief Package (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-341-0000_IT.html,"  Francesca Peppucci (PPE).   – Signora Presidente, onorevoli colleghi, se da un lato dobbiamo riconoscere il ruolo strategico delle piccole e medie imprese in Europa, dall'altro vediamo come le piccole e medie imprese si trovano sempre a fronteggiare continue e crescenti sfide. Ma cosa ci chiedono le piccole e medie imprese? Le piccole e medie imprese ci chiedono risposte e il pacchetto presentato dalla Commissione, anche se arriva in ritardo, è comunque un passo avanti. Ma non è un punto d'arrivo, perché noi dobbiamo guardare al futuro delle piccole e medie imprese con assoluta ambizione.
Sostegno finanziario e semplificazione sono importanti in un'ottica di sviluppo, di digitalizzazione e resilienza ma vanno coordinate in maniera coerente e ordinata con le altre misure, quindi senza moltiplicare i vincoli con altri provvedimenti.
Pertanto, cerchiamo di agire in maniera tempestiva e organica, dando stabilità al sistema, attuando misure che coprano l'intero ciclo di vita delle piccole e medie imprese, lasciandole libere di sfruttare al meglio il potenziale dell'imprenditorialità e della concorrenza.
Gli imprenditori e le imprese ci aspettano quindi non possiamo aspettare ulteriormente. 
"
Francesca PEPPUCCI,2023-07-12,IT,Delivering on the Green Deal: risk of compromising the EU path to the green transition and its international commitments (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-366-0000_IT.html,"  Francesca Peppucci (PPE).   – Signora Presidente, signor Commissario, onorevoli colleghi, il futuro dei nostri figli, dei nostri nipoti, delle future generazioni dipende dalla buona salute del pianeta in cui viviamo. Ne siamo tutti consapevoli, non c'è una forza politica che rispetto ad altre ha più consapevolezza sul vivere in un pianeta sano, nonostante alcuni provino a dimostrare il contrario.
Il cambiamento climatico è certamente la più grande sfida che la nostra generazione si trova ad affrontare in termini economici e sociali e dobbiamo essere pronti alle sfide future, lo devono essere i cittadini che sono fuori da questo Parlamento.
L'Europa sta realizzando in generale un'agenda positiva sul cambiamento e, per quanto se ne dica, il PPE è sempre stato una forza trainante nella definizione e adozione del green deal, ma mai saremo indifferenti a provvedimenti che mirano a obiettivi comuni a scapito delle comunità e delle imprese, obiettivi poco chiari e realisti nella loro realizzazione.
Se infatti per il raggiungimento di un obiettivo che, ripeto essere più che condivisibile, si diventa ciechi e si agisce per ideologia mettendo in difficoltà interi settori, allora proprio quell'obiettivo non solo non sarà compreso dai cittadini europei, ma non sarà nemmeno raggiunto. E la forte contrapposizione che si è creata tra i cittadini in queste settimane ed oggi dovrebbe spingerci, tutti quanti, a un'attenta riflessione sulle politiche da attuare.
Le prove future devono essere attuate in maniera intelligente, senza fare demagogia ma soprattutto in maniera concreta.
"
Francesca PEPPUCCI,2023-05-31,IT,"Social and economic costs of climate change in light of the floods in Emilia Romagna, Marche and Toscana and the urgent need for European solidarity (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-31-INT-1-204-0000_IT.html,"  Francesca Peppucci (PPE).   – Signora Presidente, quello che è successo in questo mese di maggio in Emilia-Romagna, Marche e Toscana è una vera e propria tragedia. 
I danni economici, appunto, sono drammatici, danni che riguardano l'allagamento di decine di migliaia di case, danni che vanno dai 7 ai 10 miliardi. E il danno sociale però non è quantificabile. Persone che hanno perso tutto, i sacrifici di una vita, e che hanno dovuto abbandonare tutto quello che avevano. Ma soprattutto morti. Quindici persone hanno perso la propria vita.
Il dibattito oggi si basa su cosa non ha funzionato e su cosa si sarebbe dovuto fare. Bene che la Commissione europea abbia attivato tutti gli strumenti necessari per fronteggiare questa situazione, ma cerchiamo di spostare l'attenzione su quello che da oggi dobbiamo iniziare a fare per evitare che certe disgrazie diventino la regola e l'eccezione siano i momenti di non emergenza. Lavoriamo affinché gli Stati membri, le regioni e i sindaci siano pronti a fronteggiare eventuali emergenze. E parlo da cittadina della regione Umbria, vicino alle regioni Emilia-Romagna, Marche e Toscana, la mia è una regione che conosce bene l'emergenza a causa non solo di alluvioni, ma anche di terremoti.
E allora lavoriamo per prevenirli, lavoriamo per essere pronti, perché non solo i cambiamenti climatici sono responsabili di questa situazione, sono urgenti investimenti e risorse idonee per permettere ai territori di fare investimenti di riassetto idrogeologico, investimenti in infrastrutture, in consolidamenti, studi adeguati del consumo del suolo, investimenti per la manutenzione degli argini. Sappiamo che la messa in sicurezza assoluta non è possibile, meglio parlare di mitigazione del rischio geologico.
E, concludo, dobbiamo fare di tutto per abbassare il livello di rischio, altrimenti ci troveremo domani a parlare nuovamente di quanto avremmo potuto fare e di quanto non abbiamo fatto.
"
Francesca PEPPUCCI,2023-05-10,IT,Fighting cyberbullying of young people across the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-10-INT-3-418-0000_IT.html,"  Francesca Peppucci (PPE).   – Signor Presidente, onorevoli colleghi, questi sono oggetti che sono parte integrante del nostro vivere ma che ormai, con il loro utilizzo diffuso e inappropriato, possono diventare strumenti pericolosi e subdoli, dove chi è più fragile è sottomesso rispetto a chi, invece, si crede forte.
Possiamo permetterci di aspettare? Possiamo permetterci di essere indifferenti o sottovalutare il fenomeno del cyberbullismo? La risposta è no. Soprattutto se questo porta a disturbi d'ansia, dell'umore, disturbi del comportamento alimentare, autolesionismo, ma peggio ancora alla morte, e significa che noi abbiamo il dovere assoluto di agire per garantire tutele efficaci su tutto il territorio europeo, anche adottando misure severe e decise.
Ho l'onore di essere il parlamentare europeo più giovane del mio paese, uno dei più giovani del Parlamento europeo ed è inaccettabile, al giorno d'oggi, vedere morire giovani perché messi all'angolo, perché derisi, scherniti, sottoposti a molestie e ricatti.
Per tutto il territorio dell'Unione europea diamo al più presto strumenti, diamo misure, diamo regole, altrimenti saremo solo persone che dicono belle parole, ma parole che cadono nel vuoto, in cui purtroppo è caduta Coco. Grazie, Signora Fox.
"
Francesca PEPPUCCI,2024-02-07,IT,Empowering farmers and rural communities - a dialogue towards sustainable and fairly rewarded EU agriculture (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2024-02-07-INT-3-080-0000_IT.html,"  Francesca Peppucci (PPE).   – Signora Presidente, onorevoli colleghi, ci troviamo di fronte a una evidente verità: se gli agricoltori fossero stati rispettati, se fosse stato rispettato il loro lavoro, probabilmente non ci sarebbero state centinaia di manifestazioni in tutta Europa, le ultime quelle a Bruxelles e a Strasburgo.
Il problema non è la transizione ecologica o la necessità di tutelare l'ambiente, anche perché i primi che tutelano l'ambiente sono gli agricoltori, che vivono grazie all'ambiente. Il problema sono le scelte ideologiche, le scelte ultraideologiche ambientaliste, che non sono basate su un'evidenza scientifica, che non danno un'alternativa e che mettono in difficoltà un intero sistema economico.
Pertanto, la strada non può essere quella di mettere a riposo i terreni, non può essere quella di preferire la carne in provetta, non può essere quella di non raccogliere i prodotti perché non conviene raccoglierli, perché risulta troppo costoso. Pertanto, ripartiamo dal rispetto dell'ambiente, ripartiamo dal rispetto, soprattutto, degli agricoltori, del loro lavoro e delle persone.
"
Francesca PEPPUCCI,2024-02-06,IT,Quality traineeships in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2024-02-06-INT-2-454-0000_IT.html,"  Francesca Peppucci (PPE).   – Signor Presidente, onorevoli colleghi, signor Commissario, sono la deputata italiana più giovane al Parlamento europeo. Ho 30 anni. Sono giovane, ma non giovanissima, eppure mi rendo conto che ci sono molti giovani che non solo non sono entrati nel mondo del lavoro appieno, ma svolgono tirocini che sono sottopagati o addirittura non retribuiti. E questa è una grande tristezza.
È una tristezza perché svolgere un tirocinio molto spesso è un privilegio. È un privilegio se alle spalle si ha una famiglia che è in grado di poter coprire i costi per lo svolgimento di quel tirocinio. È evidente che un tirocinante ha una grande opportunità di crescita personale e professionale, ma questo non giustifica pratiche scorrette nei loro confronti. I tirocinanti hanno dei diritti: hanno diritto a essere retribuiti, hanno diritto ad avere un contratto e hanno diritto alla protezione sociale.
Pertanto, servono norme uniformi e coerenti tra di loro in tutto il panorama europeo. Speriamo di averle quanto prima possibile, perché i giovani saranno la classe dirigente di domani, saranno gli avvocati di domani e saranno i medici di domani. Insomma, saranno il nostro futuro, e pertanto è giusto riconoscere quanto spetta loro.
"
