MP,Date,Language,Title,Url,Content
François ALFONSI,2023-11-21,FR,Proposals of the European Parliament for the amendment of the Treaties (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-291-0000_FR.html,"  François Alfonsi (Verts/ALE).   – Monsieur le Président, Madame la Commissaire, le lancement de la conférence sur l’avenir de l’Europe avait soulevé bien des espoirs, pour que l’Europe évolue vers davantage de démocratie, davantage d’efficacité, de convergence et davantage de respect de la diversité.
Malheureusement, le processus restera inachevé. C’est un échec pour notre mandature de ne pas avoir obtenu le processus de révision des traités dont l’Union européenne a tellement besoin. Le rapport que nous approuverons demain a cependant le mérite de fixer les grandes lignes de la révision des traités qui seraient nécessaires.
Pour ma part, eu égard à ma sensibilité de défenseur des peuples et des langues minoritaires, je veux saluer dans cette position du Parlement les avancées suivantes. Primo, l’engagement au renforcement de l’article 3 du traité de l’Union européenne, à promouvoir, et non plus seulement respecter, sa riche diversité culturelle. Notre groupe, à cet égard, soutient la présidence espagnole qui veut que le catalan soit traité avec le basque et le galicien comme une langue officielle de l’Union européenne.
Aux articles 2, 10 et 19 du traité, il est proposé d’étendre la lutte contre les discriminations aux minorités nationales et à leur langue. Enfin, il est proposé à l’article 299 que les parlements régionaux bénéficiant de compétences législatives en lien avec les politiques de l’Union européenne, soient écoutés et pris en compte par les instances de l’Europe. C’est pourquoi nous voterons pour ce rapport.
"
François ALFONSI,2023-09-13,FR,"The case of Dr Gubad Ibadoghlu, imprisoned in Azerbaijan",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-382-0000_FR.html,"  François Alfonsi (Verts/ALE).   – Madame la Présidente, Madame la Commissaire, cette résolution dénonce l’emprisonnement et les conditions d’incarcération du docteur Gubad Ibadoghlu, opposant de M. Aliyev, le dictateur qui dirige l’Azerbaïdjan.
Le cas de cette personnalité reconnue dans son pays pour ses combats pour la démocratie et les droits de l’homme illustre la situation démocratique exécrable qui règne en Azerbaïdjan. Avec lui, des dizaines de prisonniers politiques subissent l’arbitraire. Ils sont journalistes indépendants, défenseurs des droits de l’homme, opposants politiques, etc. L’Azerbaïdjan est une dictature et nous devons la dénoncer avec beaucoup plus de fermeté que ce qui a été fait jusqu’ici. La Commission a même, au contraire, fait l’éloge d’un partenaire fiable. C’est d’autant plus inacceptable que le régime de Monsieur Aliyev est en train de menacer d’épuration ethnique toute une population arménienne qui vit au Haut-Karabakh et qui est réduite à la famine par le blocus du corridor de Latchine par l’armée azérie depuis bientôt un an. 
Nous voterons cette résolution et nous appelons le Parlement à prendre conscience du danger que représente une telle dictature à Bakou pour son peuple, pour les minorités, pour les Arméniens de l’Artsakh et pour la paix dans cette partie du monde.
"
François ALFONSI,2023-09-12,FR,2022 Report on Türkiye (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-463-0000_FR.html,"  François Alfonsi (Verts/ALE).   – Monsieur le Président, le rapport de notre collègue Nacho Sánchez Amor sur la Turquie fera date. Il est un document complet qui décrit de façon précise la situation qui prévaut en Turquie après la réélection de M. Erdogan, ainsi que les évolutions qui s’annoncent: rapprochement avec la Russie de M. Poutine au moment de la guerre en Ukraine, un recul démocratique qui continue et s’aggrave, une justice de plus en plus instrumentalisée par le pouvoir, la répression de la liberté d’expression, l’emprisonnement arbitraire des opposants politiques, les abus d’un régime autoritaire contre de nombreux élus, notamment au Kurdistan.
Au sujet de la question kurde, le rapport exprime – enfin, et j’en remercie particulièrement le rapporteur – une position du Parlement solidaire des Kurdes persécutés en Turquie, envahis militairement en Syrie et assassinés en Irak par les bombardements et les drones. Le rapporteur nous propose des perspectives nouvelles pour les relations UE-Turquie, davantage fondées sur la démocratie et le respect de l’état de droit. Nous en approuvons les termes et les conclusions.
"
François ALFONSI,2023-07-11,FR,Nature restoration (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-080-0000_FR.html,"  François Alfonsi (Verts/ALE).   – Madame la Présidente, Monsieur le Commissaire, la loi sur la restauration de la nature est une nécessité pour le climat. Elle est aussi nécessaire pour tous les Européens et pour tous les territoires d’Europe, sur terre comme en mer.
Je veux insister ici sur les conséquences du réchauffement climatique en Méditerranée où je vis. Les climatologues l’ont dit, c’est là que l’impact sera le plus grand. Or les herbiers de posidonie en Méditerranée forment un patrimoine écologique exceptionnel, dont le pouvoir de captation du CO2 est le plus élevé qui soit. Mais ce patrimoine continue de reculer sous la pression des activités économiques humaines.
Ne faut-il pas y mettre fin de façon urgente? Mettre en application au plus vite une législation rigoureuse de restauration de la nature, voilà ce que nous pourrons faire avec cette loi. Sans cette loi, c’est la destruction qui continuera. Il serait irresponsable qu’elle soit rejetée demain.
(L’orateur accepte de répondre à une question «carton bleu»)
"
François ALFONSI,2023-07-11,FR,Nature restoration (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-082-0000_FR.html,"  François Alfonsi (Verts/ALE),  réponse «carton bleu». – (début de l’intervention hors micro)… c’est le réchauffement climatique et que l’Europe, en 50 ans, a connu un recul considérable de la nature sous la pression de certaines activités économiques, notamment de l’agriculture, et qu’il faut faire marche arrière si on veut redonner à nos citoyens un cadre de vie où ils trouveront non seulement du travail et de l’activité économique, mais aussi du bien-être.
"
François ALFONSI,2023-07-10,FR,Order of business,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-10-INT-1-029-0000_FR.html,"  François Alfonsi (Verts/ALE).   – Madame la Présidente, nos collègues députés Carles Puigdemont et Antoni Comín n’ont pas rejoint Strasbourg pour participer à cette session. La raison en est l’absence de garanties sur le respect de leur immunité parlementaire au moment de gagner le Parlement en France. Cette session est très importante et chaque vote va compter pour l’adoption, ou non, de textes parmi les plus importants de la mandature. Leur absence est donc préjudiciable à la vie démocratique de notre Parlement.
Ils vous ont sollicitée pour obtenir un soutien, comme il est de tradition quand certains d’entre nous sont en butte à des privations de nos libertés d’élus et pour obtenir aussi une intervention ferme pour faire en sorte qu’ils puissent participer à notre session. Nous regrettons vivement que vous ne l’ayez pas fait et nous vous posons une question solennelle: pourquoi?
"
François ALFONSI,2023-06-13,FR,Question Time (VPC/HR) - Relations between Armenia and Azerbaijan and the situation in Nagorno-Karabakh and at the Lachin Corridor,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-13-INT-2-275-0000_FR.html,"  François Alfonsi (Verts/ALE).   – Monsieur le Président, Monsieur le Commissaire, merci de votre présence et de votre réponse. L’intérêt de ce débat, ce soir, a déjà consisté à montrer à quel point le Parlement européen – et l’Europe en général – était sensible à l’évolution de la situation en Arménie et dans le Haut-Karabakh.
Vous avez dit dans l’une de vos premières interventions que nous avions mis en œuvre le plus de pression possible. Puis le débat a montré qu’une pression n’a pas été mise en œuvre: celle des sanctions. Or, l’avenir pourrait être, je l’espère, l’aboutissement d’un processus de paix. Mais l’avenir pourrait être aussi une aggravation de la situation et un phénomène de nettoyage ethnique qui frapperait la province du Haut-Karabakh, où vit une population arménienne. 
Est-ce que l’arme des sanctions serait alors engagée par l’Union européenne pour prévenir une telle issue, si elle devait être décidée par la force agressive de l’Azerbaïdjan, dont on connaît la supériorité militaire?
"
François ALFONSI,2023-06-13,FR,Question Time (VPC/HR) - Relations between Armenia and Azerbaijan and the situation in Nagorno-Karabakh and at the Lachin Corridor,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-13-INT-2-277-0000_FR.html,"  François Alfonsi (Verts/ALE).   – Monsieur le Président, Monsieur le Haut Représentant, dans vos précédentes interventions, vous avez dit que le maximum des pressions avait été mis en œuvre et, dans la suite du débat, nous avons constaté que la pression des sanctions n’a pas été mise en œuvre et qu’elle reste à disposition. Le scénario le plus pessimiste que l’on pourrait avoir dans cette région serait une aggravation du conflit, un nettoyage ethnique dans la région du Haut-Karabakh, étant donné la supériorité militaire qui est celle de l’Azerbaïdjan sur le terrain. Est ce que l’arme des sanctions est envisagée pour empêcher une telle issue?
"
François ALFONSI,2023-05-09,FR,Role of cohesion policy in addressing multidimensional environmental challenges in the Mediterranean Basin (A9-0094/2023 - François Alfonsi)  (vote),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-09-INT-2-135-0000_FR.html,"  François Alfonsi,  rapporteur. – Madame la Présidente, Monsieur le Commissaire, chers collègues, la mer Méditerranée est une mer européenne pour la moitié de son étendue. L’Europe ne peut rester plus longtemps passive face aux régressions ininterrompues que l’on observe au sein de cet espace écologiquement fragile. Ces régressions s’accroissent encore du fait du réchauffement climatique auquel la Méditerranée est particulièrement vulnérable. Les climatologues estiment que son impact y sera 20 % plus fort qu’ailleurs en Europe. Cela va rapidement multiplier les problèmes pour les citoyens européens qui y vivent: incendies, tempêtes dévastatrices, raréfaction de la ressource en eau, perte de biodiversité.
D’autre part, les activités humaines y ont un impact croissant, par exemple l’augmentation du trafic maritime international qui y transite, apportant pollution atmosphérique et rejets en mer, et aussi l’accroissement des populations riveraines, comme celui de la fréquentation touristique. Aucune efficacité ne sera possible sans faire intervenir la plus-value européenne. Aucun acteur ne peut prétendre apporter séparément des solutions à ces problèmes qui doivent être traités collectivement.
L’Europe dispose de nombreux atouts qui lui confèrent une responsabilité éminente dans la gestion de cet espace. Elle a la compétence technique appuyée sur de multiples acteurs. Elle a la compétence administrative pour piloter une coopération déjà préfigurée par différents programmes. Elle a l’expérience acquise des stratégies macrorégionales déjà développées par ailleurs, et elle a, en sus de sa capacité technique et administrative, une capacité financière incomparablement plus forte que celle des autres pays, à l’Est comme au Sud. Si l’Union européenne s’engage au nom de sa responsabilité sur la partie septentrionale du bassin méditerranéen, elle sera force d’entraînement pour les pays et régions du Sud et de l’Est. Si elle reste plus longtemps passive, la situation continuera de se dégrader, et l’Europe portera alors la responsabilité de ne pas avoir mis en œuvre sa capacité à agir. Tel est le message aujourd’hui envoyé par le Parlement européen à travers ce rapport qui appelle à la mise en place d’une stratégie macrorégionale pour la Méditerranée. Pour conclure, je tiens à remercier les rapporteurs fictifs qui ont tous contribué à ce rapport.
"
François ALFONSI,2023-04-20,FR,Cohesion dimension of EU state aid and de minimis rules (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-20-INT-4-085-0000_FR.html,"  François Alfonsi (Verts/ALE).   – Madame la Présidente, Monsieur le Commissaire, ce débat sur le régime des aides d’État amène à dénoncer l’erreur fondamentale qui consiste à définir des règlements uniques et uniformes sur un territoire aussi vaste et aussi diversifié que celui de l’Union européenne. Cela ne peut que creuser les inégalités et donner un avantage aux régions qui ne souffrent d’aucun handicap structurel. On a pensé par le passé que l’égalité pouvait être rétablie par la seule répartition budgétaire, mais une enveloppe budgétaire seule ne peut rien si les conditions de son utilisation ne sont pas adaptées aux données réelles du territoire concerné. 
J’en viens aux îles, puisque votre réponse à notre collègue Omarjee les a totalement ignorées. Le règlement des aides de minimis est essentiel dans les îles car le tissu économique y est le fait de très petites entreprises. La réalité des coûts de production dans les territoires insulaires est 10 % plus élevée qu’ailleurs. Beaucoup plus de projets seraient menés si on appliquait, dans les îles, un seuil de minimis différent pour en tenir compte. L’adaptation d’un règlement à la situation particulière des îles est d’ailleurs prévue par l’article 174 du traité de Lisbonne, mais la Commission se refuse à le mettre en application. L’avenir économique des territoires insulaires dépendra beaucoup d’une telle avancée sur le terrain réglementaire.
"
