MP,Date,Language,Title,Url,Content
François-Xavier BELLAMY,2023-12-13,FR,One year after Morocco and QatarGate – stocktaking of measures to strengthen transparency and accountability in the European institutions (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-258-0000_FR.html,
François-Xavier BELLAMY,2023-11-22,EN,Threat to rule of law as a consequence of the governmental agreement in Spain (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-224-0000_EN.html,
François-Xavier BELLAMY,2023-11-20,FR,Framework of measures for strengthening Europe’s net-zero technology products manufacturing ecosystem (Net Zero Industry Act) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-135-0000_FR.html,"  François-Xavier Bellamy (PPE).   – Madame la Présidente, Monsieur le Commissaire, c’est un grand jour, parce qu’enfin l’Union européenne, qui s’était longtemps concentrée sur la question de la concurrence et de la régulation du marché intérieur, s’engage dans une stratégie industrielle commune en direction de la décarbonation de notre continent. Je crois que ce vote sera un moment important et un moment, permettez-moi de le dire, assez révélateur aussi.
Nous avons entendu notre collègue du groupe des Verts expliquer que le vice de ce texte était qu’il misait sur des énergies du passé après nous avoir alerté sur l’urgence que représente le réchauffement climatique. Bien sûr, nous sommes d’accord pour la décarbonation, bien sûr, nous croyons à la nécessité de sortir de modèles de production qui ont abîmé notre environnement. Mais je crois que nous pouvons affirmer ensemble que nos collègues écologistes ne sont pas sincères quand ils parlent du réchauffement climatique. Ils ne sont plus là pour répondre – j’en suis désolé, peut-être d’autres collègues s’exprimeront-ils à leur tour – mais quand le groupe des Verts a pour priorité sur ce texte de déposer un amendement pour exclure le nucléaire, peut-être est-ce cette énergie que notre collègue désignait comme l’énergie du passé, pour exclure le nucléaire de cette stratégie européenne pour la décarbonation.
Le nucléaire n’est pas une énergie du passé. Chers collègues, sans doute le savez-vous: le nucléaire représente aujourd’hui 25 % de toute l’électricité produite dans l’Union européenne, et c’est aujourd’hui la première source d’énergie décarbonée en Europe. Tirer sur le nucléaire quand on prétend défendre le climat, c’est en réalité démontrer qu’on ne croit pas réellement à l’urgence climatique. C’est montrer qu’en réalité, ce qu’on défend, c’est d’abord la décroissance de notre continent, C’est d’abord l’appauvrissement de toute l’Europe, c’est la fin de la production industrielle dans nos pays européens. Et malheureusement, vous aurez trouvé au cours de ce mandat bien des alliés dans votre cause d’arrière-garde.
Je crois qu’enfin la bataille est gagnée – elle sera gagnée, je n’en doute pas – à l’occasion du vote de cette semaine. Nous avons le devoir de faire en sorte de défendre le climat avec la science, avec la technologie, avec nos ingénieurs, nos techniciens, avec tous ceux qui savent que c’est dans le progrès de la connaissance que l’on sauvera le climat, que l’on préserve l’environnement et non pas dans la régression et dans la décroissance.
"
François-Xavier BELLAMY,2023-10-18,FR,"The despicable terrorist attacks by Hamas against Israel, Israel’s right to defend itself in line with humanitarian and international law and the humanitarian situation in Gaza (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-062-0000_FR.html,"  François-Xavier Bellamy (PPE).   – Monsieur le Président, Israël a été touché en plein cœur. Les attentats à répétition endeuillent notre continent et, ce matin encore, il y a des pudeurs d’expression qui font froid dans le dos. 
Nous avons entendu, ce matin encore, nos collègues de La France insoumise parler des crimes du Hamas comme de «crimes de guerre». Mais les mots ont un sens, chers collègues: si nous parlons de «crimes de guerre», c’est, alors, que le Hamas est une armée régulière et que ses victimes sont des victimes collatérales. Bien sûr que non! 
Les morts du 7 octobre ont été ciblés par un attentat terroriste, organisé par une organisation terroriste islamiste, dont le seul but était de tuer le maximum de civils et de tuer des Israéliens parce qu’ils étaient israéliens, de tuer des Juifs parce qu’ils étaient juifs. Est-ce si difficile de dire cela? Ceux qui veulent défendre ici les Palestiniens de Gaza doivent commencer par condamner le Hamas, qui projette des civils innocents dans cette tragédie sans fin. 
Chers collègues, ce qui fait froid dans le dos, c’est qu’il est manifeste maintenant que des forces politiques, à gauche, ont choisi de fermer les yeux sur la haine de tout ce que nous devrions défendre ensemble. De fermer les yeux, par électoralisme, sur cette haine qui monte dans nos pays et qui frappe dans nos pays. Et si nous ne sommes pas capables de la nommer ensemble et de la combattre ensemble, sans «mais», sans nuance, sans concession, alors cette haine emportera ce qui fait notre responsabilité historique. 
(L’orateur accepte de répondre à une question «carton bleu»)
"
François-Xavier BELLAMY,2023-10-18,FR,"The despicable terrorist attacks by Hamas against Israel, Israel’s right to defend itself in line with humanitarian and international law and the humanitarian situation in Gaza (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-064-0000_FR.html,"  François-Xavier Bellamy (PPE),  réponse «carton bleu». – Chère collègue, ce n’est pas à moi qu’il faut poser la question. Demandez aux collègues de votre groupe pourquoi ils refusent de dire que le Hamas est une organisation terroriste, pourquoi ils refusent de dire, ce matin encore, que, le 7 octobre, ce à quoi nous avons assisté, révoltés, c’est une attaque terroriste de grande ampleur. Pourquoi ne pas dire ce mot? Pourquoi refuser de dire ce qui est pourtant l’évidence, à savoir que, quand nous voyons aujourd’hui des juifs ciblés parce qu’ils sont juifs, nous devrions tous ensemble, sans nuance, sans concession, le dénoncer d’une seule voix? Pourquoi ne pas le faire ensemble aujourd’hui?
"
François-Xavier BELLAMY,2023-10-17,FR,Water scarcity and structural investments in access to water in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-339-0000_FR.html,"  François-Xavier Bellamy (PPE).   – Monsieur le Président, Mayotte a soif. Dans un département français, un département d’Europe, il y a, aujourd’hui, des habitants qui ne peuvent pas ouvrir le robinet plusieurs heures par jour, ni plusieurs jours par semaine. Des habitants qui ne peuvent pas boire l’eau qui coule du robinet sans craindre pour leur santé. Il y a, aujourd’hui, un département français où les enfants doivent être soignés parce qu’ils sont tombés malades pour avoir bu de l’eau supposée potable. C’est la réalité de la situation que vivent aujourd’hui nos concitoyens. 
Chers collègues, ce ne sont pas seulement les Mahorais qui sont dans cette situation, mais ce sont aussi les habitants de la Guadeloupe, de la Martinique, de nos outre-mer. C’est aujourd’hui, dans de nombreux territoires de nos pays, un véritable défi que celui qui consiste à faire en sorte que tous les citoyens aient accès à ce qui n’est pas un bien parmi d’autres, mais le bien le plus essentiel: l’eau, le bien plus nécessaire à la vie. 
L’Union européenne verse des aides au développement qui sont massives, y compris dans cette région du monde. Mais où sont passés les fonds européens qui étaient supposés offrir à Mayotte les moyens de désaliniser l’eau? À la fin du mois d’octobre, les réserves en eau de Mayotte pourraient être complètement vides, et les habitants doivent payer une eau hors de prix en s’acquittant simultanément de leurs factures, plutôt que de pouvoir compter sur l’eau qu’ils pourraient produire. 
Cher collègue Rougé, nous n’avons pas attendu pour nous saisir de cette question. Depuis plusieurs semaines, le Parlement alerte sur ce sujet, mais nous attendons maintenant des actes de nos gouvernements, de l’Union européenne, pour sortir de cette situation intenable. 
"
François-Xavier BELLAMY,2023-10-16,FR,Order of business,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-16-INT-1-050-0000_FR.html,"  François-Xavier Bellamy (PPE).   – Madame la Présidente, il y a trois ans aujourd’hui, Samuel Paty était assassiné. Il y a quelques jours encore, un professeur a été tué dans son lycée pour ce qu’il incarnait: le travail de la transmission d’une culture, d’un héritage, qui nous oblige aujourd’hui.
Ces assassinats n’ont pas eu lieu par accident. Ils sont motivés par une idéologie, et cette idéologie, nous devons la nommer. C’est la raison pour laquelle nous avons proposé une modification du titre de ce débat, pour bien signaler que ce à quoi nous sommes confrontés, c’est l’idéologie islamiste. Parce que l’islamisme tue aujourd’hui, dans nos pays, et tue d’abord les professeurs, qu’il veut réduire au silence en leur inspirant la peur.
Si nous ne savons pas nommer l’ennemi, alors nous ne saurons pas le combattre. C’est la raison pour laquelle je remercie nos collègues d’avoir, effectivement, accepté cette modification du titre du débat. Ce combat est devant nous et il nous engage tous.
"
François-Xavier BELLAMY,2023-10-04,FR,Need for a speedy adoption of the asylum and migration package (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-080-0000_FR.html,"  François-Xavier Bellamy (PPE).   – Monsieur le Président, Monsieur le Commissaire, le 13 septembre dernier, 120 bateaux débarquent à Lampedusa; en quelques heures, des milliers de personnes entrent sans droit sur le sol européen. Le 21 septembre, la Cour de justice de l’Union européenne répond au Conseil d’État français: un État membre n’a pas le droit de refouler hors de ses frontières une personne qui cherche à les franchir illégalement.
Avant d’envisager une éventuelle expulsion, tenez-vous bien, il faut laisser un délai à l’intéressé pour qu’il quitte volontairement le territoire national. Le seul droit qui reste à nos États est donc de prier poliment les gens de ne pas violer leurs frontières. Et quand ils les franchissent par milliers – 330 000 l’an dernier, selon Frontex – il nous reste la possibilité de les inviter à ne pas rester.
Chers collègues, tout cela n’est qu’une preuve de plus que le droit européen s’est retourné contre le droit. «Summum jus, summa injuria»: le maximum de la procédure, le maximum de la complexité, le maximum de la jurisprudence atteint le maximum de l’injustice. Injustice contre les victimes des réseaux de passeurs, qui ont fait de l’impuissance européenne la clé de leur business sordide. Injustice contre les citoyens de nos pays, dont les démocraties sont privées de tout moyen de décider de qui elles accueillent ou non et de maîtriser leur destin. Injustice contre la loi elle-même, parce que cette impuissance publique en matière migratoire fait du monde entier une zone de non-droit.
Chers collègues, Monsieur le Commissaire, il est urgent de remettre le droit à l’endroit. 
"
François-Xavier BELLAMY,2023-10-03,FR,Situation in Nagorno-Karabakh after Azerbaijan’s attack and the continuing threats against Armenia (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-380-0000_FR.html,"  François-Xavier Bellamy (PPE).   – Monsieur le Président, est-ce que la Commission européenne comprend enfin maintenant pourquoi nous ne cessions d'alerter sur la gravité de la menace dans le Haut-Karabakh? Est-ce que les dirigeants de nos pays mesurent que l'inaction, les mots creux, le «nous appelons chaque partie», les prétextes toujours nouveaux pour toujours fermer les yeux, que tout cela a laissé un dictateur renverser le droit international aux portes de l'Europe, imposer un fait accompli qui nous menacera demain et détruire des vies. 
Que répondra la Commission européenne aux parents de Nver et Mikaèl, dix et huit ans, abattus par l'Azerbaïdjan, aux familles des centaines d'Arméniens tués en quelques jours dans cette opération antiterroriste? Est-ce que vous croyez vous aussi que c'est être terroriste ou séparatiste que de vouloir simplement demeurer en paix chez soi? Est-ce que vous savez que le peuple arménien n'est pas une minorité en Artsakh, où il vit depuis plus de 2 000 ans? Est-ce que vous laisserez ainsi se rétablir partout les frontières dictées par Staline? 
Pourquoi? Pourquoi le moindre début de sanctions n'a-t-il pas encore été appliqué aujourd'hui, après des mois de siège inhumain au milieu de cette épuration ethnique assumée par Aliyev? Est-ce qu'acheter du gaz à Bakou est moins coupable que d'en acheter à Moscou? Et d'ailleurs, est-ce que ce n'est pas le même gaz? Que pensez-vous du fait que la première mesure des vainqueurs a été de donner à la rue principale de Stepanakert le nom d'Enver Pacha, organisateur du génocide des Arméniens en 1915? 
Est-ce que ce camp-là est toujours le partenaire fiable de l'Europe? Est-ce que cette Europe-là se souvient encore qu'elle est née pour que plus jamais ne se répète un génocide? Ces questions appellent des réponses.
"
François-Xavier BELLAMY,2023-09-13,FR,State of the Union (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-071-0000_FR.html,"  François-Xavier Bellamy (PPE).   – Madame la Présidente, en évoquant le bilan de la Commission, vous parlez de la force de l’Europe et de son efficacité, mais la réalité semble parfois bien éloignée de cet hémicycle. Au moment où nous parlons, le Secours populaire annonce que 20 % des Français vivent à découvert. Dans toute l’Europe, une personne sur trois se prive d’un repas pour tenir. Des millions de foyers, d’artisans, d’entreprises n’arrivent plus à payer leur énergie. Malgré ce retour de la pauvreté, la Commission n’aura cessé de multiplier les contraintes sur ceux qui travaillent et produisent en Europe.
La directive énergétique sur les bâtiments aggravera la crise du logement. La stratégie «de la ferme à la fourchette» fait baisser la production alimentaire. La taxonomie accélère encore le décrochage industriel. Vous avez longuement parlé d’électricité pour accélérer l’implantation des éoliennes, mais toujours pas un mot sur le nucléaire, pourtant première source d’énergie décarbonée et accessible en Europe. Vous promettez de réduire les normes, mais elles n’auront cessé de s’empiler ces dernières années. La multiplication des contraintes ne protège pas l’environnement. Elle nous rend seulement dépendants des autres pays du monde qui n’assument pas les mêmes coûts. Nous ne sauverons pas la planète en achetant des voitures électriques en Chine. De même, nous ne relancerons pas notre économie en augmentant une immigration qualifiée, comme vous l’avez dit, mais en qualifiant ces millions de jeunes dont vous avez parlé, qui sont encore aujourd’hui si loin de l’emploi.
La seule réponse à l’hiver démographique en Europe, c’est de soutenir les familles et non de déstabiliser encore plus nos pays, en nous appuyant sur elles, sur les talents de nos pays, sur le savoir, la culture des citoyens en Europe. Oui, nous pouvons retrouver la prospérité et l’élan de notre continent, mais cela suppose d’ouvrir les yeux sur la réalité.
"
