MP,Date,Language,Title,Url,Content
Frédérique RIES,2023-10-18,FR,"The despicable terrorist attacks by Hamas against Israel, Israel’s right to defend itself in line with humanitarian and international law and the humanitarian situation in Gaza (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-078-0000_FR.html,"  Frédérique Ries (Renew).   – Monsieur le Président, «Plus jamais ça», la promesse faite aux survivants d’Auschwitz et de Buchenwald, le «Plus jamais ça», aussi, de nos pères fondateurs, qui ont reconstruit l’espoir sur un champ de ruines, ce «Plus jamais ça» qui a volé en éclats samedi 7 octobre à l’aube, dans un pogrom pire sans doute que le pire de la Shoah, même si comparer l’innommable à l’indicible est vide de sens – sauf, somme toute, celui de nommer et de dire les choses.
Ce qui s’est passé, c’est un massacre terroriste perpétré par des terroristes déshumanisés, qui se fichent comme d’une guigne du sort des Palestiniens et qui provoquent l’embrasement tragique auquel nous sommes en train d’assister. Il y a plus de 1 400 victimes en Israël, Monsieur le Ministre, 1 500 sans doute, pas 1 000, comme vous l’avez dit. La différence, ce sont «juste» 500 vies.
Les mots ont un sens, l’estompement et le silence tuent: là-bas, ici, à Arras et à Bruxelles. L’attaque du Hamas est une blessure faite à l’humanité. Je convoque ici Tahar Ben Jelloun: «Qui, aujourd’hui, pour reconstruire l’espoir?». L’espoir, Hatikvah.
"
Frédérique RIES,2023-10-03,FR,Medicine shortages and strategic healthcare autonomy in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-244-0000_FR.html,"  Frédérique Ries (Renew).   – Monsieur le Président, Madame la Commissaire, 3 000 médicaments au total ont manqué à l'appel en Belgique l'année dernière, des molécules les plus banales, le paracétamol, à celles qui sauvent des vies. On frôle ici l'urgence sanitaire. Les pénuries sont endémiques et la tendance est alarmante dans trois États membres sur quatre. La communication que vous venez d'annoncer, Madame la Commissaire, sur les mesures contre les pénuries va évidemment dans la bonne direction, notamment pour les achats groupés. L'HERA doit y prendre toute sa part, vous connaissez notre position, nous ne cessons de la répéter. 
Mais on doit aller plus loin, bien évidemment aussi avec une véritable stratégie industrielle. L'Europe est largement dépendante des substances actives venant d'Asie et une sur deux affiche moins de cinq fabricants dans le monde. Une politique industrielle donc, qui est nécessaire, c'est ce que vous demandez en mai dernier et à l'initiative de la Belgique 21 États membres en appelant à un acte européen pour les médicaments critiques. Un véritable mécanisme aussi de solidarité entre les États membres. 
Ce que je viens de dire ici en une minute, quasiment mot pour mot, nous sommes très nombreux ici à le répéter depuis cinq ans, depuis six ans. Alors, il est urgent, Madame la Commissaire, maintenant, de passer de l'incantation à l'action.
"
Frédérique RIES,2023-09-12,FR,Iran: one year after the murder of Jina Mahsa Amini (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-305-0000_FR.html,"  Frédérique Ries (Renew).   – Monsieur le Président, Monsieur le Haut Représentant, c’était le 16 septembre de l’année dernière, Mahsa Amini mourait sous les coups de la police des mœurs. C’était il y a tout juste un an. Un an aussi que les Iraniennes ne désarment pas; un an que, rejointes par les jeunes, par les étudiants, par les intellectuels, par les commerçants, elles défient chaque jour le régime des mollahs de Téhéran. Un régime qui emprisonne, qui torture, qui exécute; un régime qui jure l’extermination d’Israël, qui finance les exactions du Hezbollah, un régime qui enlève hommes et femmes et qui monnaient leur liberté – cette odieuse diplomatie des otages.
Un an aussi que Téhéran se raidit plus encore à l’approche de cet anniversaire: menaces sur les proches, caméras autour de la tombe de Mahsa Amini, nouvelle «loi chasteté» plus rigide encore. La terreur est installée. Autant de raisons pour nous de continuer d’être aux côtés de ces femmes, de ces Iraniens. Je propose aussi que le prix Sakharov 2023 pour la liberté de pensée leur soit attribué. Femmes, vie, liberté. Parce que notre devoir impérieux est de rester leur voix, parce que notre devoir impérieux est de rester leur espoir. (l'oratrice s'exprime dans une langue non officielle)
"
Frédérique RIES,2023-04-19,FR,Children forcibly deported from Ukraine and the ICC arrest warrant for Vladimir Putin (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-19-INT-3-046-0000_FR.html,"  Frédérique Ries (Renew).   – Monsieur le Président, Madame la Commissaire, «je suis si heureux, tellement heureux d’être de retour à la maison». Ce sont les premiers mots à sa maman de Bogdan, de retour à Kiev après six mois de déportation. Parce que le scénario est presque toujours le même: la veille des vacances, les jeunes Ukrainiens sont envoyés «en colonie» en Crimée, et, souvent, ils ne reviennent jamais. Le camp de vacances est tout simplement devenu un camp de rééducation. Seize mille enfants – officiellement – encore en Russie ou dans les territoires annexés, pratiquement kidnappés par Moscou, pour certains déjà officiellement adoptés. La commissaire aux droits de l’enfant – on rêve à entendre ce titre – s’est empressée de modifier la loi russe en ce sens. C’est un crime de guerre, qui justifie le mandat d’arrêt émis par la Cour pénale internationale contre Vladimir Poutine et Maria Lvova-Belova. Une première à l’encontre d’un membre du Conseil de sécurité des Nations unies. 
Alors, dérisoire, Madame Daly? Je ne pense pas, non. Insuffisant, certainement. Mais essentiel et nécessaire. Ces enfants sont un butin de la guerre sale menée par Vladimir Poutine. Les retrouver, les ramener à la maison, c’est notre devoir impératif d’Européens. 
"
Frédérique RIES,2023-04-19,FR,"Universal decriminalization of homosexuality, in light of recent developments in Uganda (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-19-INT-3-350-0000_FR.html,"  Frédérique Ries (Renew).   – Monsieur le Président, Madame la Ministre, Madame la Commissaire, «il n’y a pas de place pour les homosexuels dans ce pays». Ces paroles nous choquent profondément. Elles sont pourtant du ministre ougandais Musa Ecweru, qui les a prononcées le mois dernier devant le Parlement de Kampala, après l’adoption quasi unanime d’une loi anti-LGBT+. Quatorze ans de prison minimum, voire la peine de mort pure et simple, pour des relations homosexuelles. Un devoir de délation pour tous dans le pays, un parfait manuel de discrimination et d’incitation à la haine, au nom «de la morale, des enfants, de la lutte contre le colonialisme culturel». 
L’Union européenne doit user de tous les leviers pour empêcher la promulgation de cette loi, y compris des sanctions contre les leaders politiques et religieux responsables, et garantir la liberté des droits sexuels en Ouganda et au-delà, partout dans le monde. Madame la Commissaire, onze pays dans le monde condamnent toujours les homosexuels à la peine capitale. Ce sont onze pays de trop. 
J’aimerais conclure en faisant écho à ce qu’a dit mon collègue Pierre Karleskind, en le paraphrasant: «Chacun dans le monde a le droit d’être. Chacun a le droit d’aimer. Chacun a le droit d’être aimé, comme il le sent. Ce n’est pas négociable.»
(Applaudissements)
"
Frédérique RIES,2023-03-16,FR,"European Citizens’ Initiative ""Save bees and farmers! Towards a bee-friendly agriculture for a healthy environment"" (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-16-INT-4-032-0000_FR.html,"  Frédérique Ries (Renew).   – Madame la Présidente, Madame la Commissaire, quand plus d’un million d’Européens, de citoyens d’Europe, nous demandent de sauver les abeilles et les agriculteurs, on doit les entendre. Ils nous demandent trois choses en réalité pour changer de modèle.
La fin des pesticides de synthèse d’ici 2035. En toute honnêteté, je ne sais pas si on y arrivera. En revanche, réduire notre dépendance aux pesticides, c’est une évidence. Et nos résolutions précédentes, celle de 2019 sur les pollinisateurs, le demandaient déjà. Une proposition de la Commission est sur la table pour diminuer de moitié les pesticides chimiques d’ici 2030. Le Parlement doit cesser sa flibuste et s’emparer du sujet.
Deuxième demande: soutenir les agriculteurs. Évidemment, et plus que jamais, financièrement, mais aussi justement par un développement massif des alternatives aux pesticides chimiques.
Troisième demande, essentielle: rétablir les populations de pollinisateurs. C’est essentiel. Et ici, les pesticides n’expliquent pas tout – changement d’affectation des sols, perte des habitats, agriculture intensive, pollutions, parasites, changement climatique… La lutte pour sauver nos abeilles est globale. C’est donc bien un changement de cap que nous demandent les pétitionnaires. 
"
Frédérique RIES,2023-03-15,FR,Cambodia: the case of opposition leader Kem Sokha,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-15-INT-3-503-0000_FR.html,"  Frédérique Ries,  auteure. – Monsieur le Président, libérer Kem Sokha, le leader de l'opposition cambodgienne, c'est le message que martèle ce soir notre Parlement. Il a été condamné à 27 ans de prison le 3 mars dans une parodie de justice, et c'est le dernier prisonnier politique en date d'un régime qui est incapable, plus que jamais, de tolérer la moindre voix divergente. Qu'elle soit politique, comme celle de Kem Sokha, de dizaines d'opposants et d'activistes que le pouvoir harcèle et juge en masse, qu'elle soit médiatique, comme celle de VOD, Voice of Democracy, l'un des derniers médias indépendants du pays qui fut muselé le mois dernier. 
Alors Pnom Penh doit libérer Kem Sokha, Pnom Penh doit garantir sa participation en juillet à des élections libres, justes et transparentes. Pnom Penh doit réhabiliter son parti du sauvetage national du Cambodge. Madame la Commissaire, l'Union européenne doit soutenir les aspirations démocratiques des Cambodgienne et des Cambodgiens. Nous en avons les moyens. Sanctionnons ceux qui censurent la démocratie et utilisons tous les moyens qui sont dans notre boîte à outils pour faire libérer Kem Sokha.
"
Frédérique RIES,2023-01-17,FR,EU response to the protests and executions in Iran (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-01-17-INT-2-465-0000_FR.html,"  Frédérique Ries,  au nom du groupe Renew. – Madame la Présidente, Monsieur le Commissaire, effectivement, et en français aussi : les femmes, la vie, la liberté. Et c'est ici, à Strasbourg, qu’a résonné hier le cri des femmes de Sanandaj, de Zahedan et de Téhéran. À peu près 15 000 personnes, rassemblées, venues des quatre coins d'Europe pour les femmes, pour l'Iran et contre les Pasdaran, ces gardiens de la révolution qui ne sont rien d'autre que le bras armé de la répression. Mohammad Karami, Seyed Hosseini et Ali Akbari ont été pendus cette semaine parce que derrière ces femmes, c'est tout un peuple qui se soulève et qui fait frémir le régime.
La révolution, vous l'avez dit, Monsieur le Commissaire, marque le pas et exige de nous, aujourd'hui plus que jamais, une solidarité sans faille sur les sanctions d'abord, ciblées au plus haut niveau : le Guide suprême, le président, les gardiens de la révolution, que nous devons placer sur l'organisation terroriste. Et puis il y a nos otages, 25 Européens, dont le Belge Olivier Vandecasteele, emprisonnés sans raison et condamnés dans un simulacre de justice. Je conclus. Madame la présidente.
L'extrême difficulté ici, c'est d'être en même temps au rendez vous des femmes et de l'histoire et à celui que nous fixent nos otages. Dans une Europe véritablement politique, c'est unis que les pays doivent négocier le poids de tous, ensemble, pour obtenir leur libération.
"
Frédérique RIES,2023-01-16,FR,Shipments of waste (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-01-16-INT-1-135-0000_FR.html,"  Frédérique Ries,  au nom du groupe Renew. – Monsieur le Président, Monsieur le Commissaire, un petit mot pour commencer pour remercier notre rapporteure, Mme Weiss, pour cet esprit d’ouverture, cet esprit de compromis qui a permis d’atteindre un résultat collectif dont nous pouvons être fiers. 
Nous avons visé l’ambition, avec cette réforme d’envergure des règles européennes de transfert de déchets: mieux protéger l’environnement et la santé, éviter que certains pays restent la poubelle du globe. Et le défi est de taille: en 2020, nos exportations de déchets vers les pays tiers dépassaient les 32 millions de tonnes. C’est à peine imaginable. Nous avons ajouté plusieurs pierres à l’édifice du texte législatif qui nous a été proposé par la Commission en novembre 2021, à commencer par ce qui est l’une de mes principales batailles politiques: l’élimination de la pollution plastique sur la planète. La fin de l’exportation des déchets plastiques vers les pays tiers sera une réalité trois ans après l’entrée en vigueur de ce règlement, quatre ans pour les pays de l’OCDE. 
La lutte contre les pollutions plastiques, qui mettent entre cent ans et mille ans à se dégrader et qui tuent nos océans, est mondiale: elle doit devenir totale. Il y a évidemment d’autres avancées dans notre texte: je pense à l’interdiction pure et simple d’exporter des déchets dangereux vers des pays tiers (la Chine, l’Inde, certains pays du continent africain) ou encore à cette demande pressante faite à la Commission d’une surveillance accrue des déchets exportés vers les pays de l’OCDE (les États-Unis, le Japon, Israël, la Turquie, surtout). 
Je conclus sur le changement de paradigme qui est en train de s’opérer – et pour le mieux – dans l’Union européenne. Face à la fermeture par la Chine de son marché de recyclage il y a deux ans maintenant, qui a entraîné un véritable bouleversement du marché mondial, face aussi à l’épuisement des ressources naturelles, l’Europe a compris qu’elle devait prendre son destin en main et protéger son marché intérieur. Pour ce qui est des déchets, cela veut dire durcir les conditions à l’export – ce que nous faisons – et mieux les valoriser chez nous, pour que ces déchets deviennent une ressource utilisable et durable. Ce sera tout bénéfice aussi pour de très nombreux secteurs de l’industrie. 
"
Frédérique RIES,2022-12-13,FR,Prospects for the two-State solution for Israel and Palestine (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-12-13-INT-2-413-0000_FR.html,"  Frédérique Ries (Renew).   – Monsieur le Président, j’ai donc une minute pour vous dire pourquoi ce texte, à mes yeux, n’est pas satisfaisant. Treize considérants et vingt-six paragraphes, souvent déséquilibrés, qui, en gros, énumèrent des griefs, mais ne proposent rien. Il faut attendre cinq pages pour parler enfin d’avenir et de solutions – c’est le titre de notre résolution.
Deux paragraphes, essentiels pourtant, sur la paix par en bas, sur l’importance de la société civile et, surtout, sur la reconstruction de la confiance par l’économie et par l’énergie. C’était le credo de Shimon Peres, et c’est le fondement aussi de l’Union européenne, le vrai ferment d’une solution à deux États.
Sinon, les vrais sujets sont poussés sous le tapis: l’échec du gouvernement d’union nationale en Israël, ces négociations en ce moment même avec l’extrême droite religieuse, là-bas, aux prétentions insupportables et inacceptables, et, surtout, ces précautions dans notre texte à l’égard du Hamas, cette timidité, l’apologie de la violence, qui constitue son véritable ADN, ou encore la suppression des notions mêmes d’antisémitisme et d’exportation de l’incitation à la haine, ou encore cette espèce de bémol qui a été mis à l’espoir suscité par les accords d’Abraham.
Je dois m’arrêter ici, mais pour toutes ces raisons, je ne voterai pas ce texte en l’état.
"
