MP,Date,Language,Title,Url,Content
Gabriele BISCHOFF,2023-12-13,DE,EU strategy to assist young people facing the housing and cost of living crisis (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-157-0000_DE.html,"  Gabriele Bischoff,  im Namen der S&D-Fraktion. – Frau Präsidentin, Herr Kommissar, Herr Staatssekretär, Kolleginnen und Kollegen! Stellen Sie sich doch bitte noch einmal vor, Sie seien 20 Jahre alt, voller Tatendrang, Sie wollen sich ausprobieren, Sie wollen sich erleben und in die Gesellschaft einbringen. Und für uns ist das eine gute Erinnerung, für viele eine Hoffnung, aber für ganz, ganz, ganz viele in wirklich weiter Ferne. Und nicht, weil sie sich nicht einbringen wollen, sondern weil sie keine Chance haben, eine bezahlbare Wohnung zu finden – wenn sie Auszubildende sind, wenn sie Studenten sind, wenn sie Berufsanfängerinnen sind oder auch jung und Mindestlohn beziehen.
Deshalb ist es so wichtig, weil das dramatische Folgen hat. Diese Jugend braucht Zuversicht für die Zukunft, und die kann sie nicht haben, wenn sie gezwungen ist, zu Hause zu bleiben, wenn sie sich nicht entwickeln kann und wenn sie nicht die Perspektiven hat, die sie braucht. Denn wir wissen: In jungen Lebensphasen, wenn wir da nicht bestimmte Entwicklungsmöglichkeiten haben, ist es ganz schwer, das hinterher nachzuholen.
Deshalb muss die EU viel mehr in den sozialen Wohnungsbau investieren. Sie hat Hebel dazu, sie hat Fonds, die sind hier genannt worden, aber auch die Jugendgarantie ist genannt worden. Das ist alles zu wenig, und es ist hier nicht wirklich strategisch aufgestellt.
Deshalb glaube ich, glauben wir, dass wir ein Jugendperspektiven-Paket brauchen, dass wir jungen Menschen eine gute Perspektive geben müssen und sie unterstützen, gerade am Anfang ihres eigenen selbstständigen Lebens, damit es mehr Chancengerechtigkeit gibt. Deshalb: Die EU soll die Hebel nutzen, sie muss sie besser nutzen, sie muss sie bündeln und muss unterstützen, damit junge Menschen wirklich auch die Möglichkeit haben, sich selbstständig zu machen.
Und es ist noch einmal angesprochen worden – ich will das nicht vergessen –, es gibt junge Menschen, die landen auf der Straße, weil sie wegen Inflation, steigender Mieten, steigender Mietnebenkosten ihre Wohnung verlieren. Hier braucht es mehr Unterstützung von europäischer Seite, denn unser Versprechen ist Zukunft und niemanden zurückzulassen.
"
Gabriele BISCHOFF,2023-12-13,DE,One year after Morocco and QatarGate – stocktaking of measures to strengthen transparency and accountability in the European institutions (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-223-0000_DE.html,"  Gabriele Bischoff,  im Namen der S&D-Fraktion. – Herr Präsident, Frau Vizepräsidentin, Herr Staatssekretär! Wir waren alle unter einem ungeheuren Schock und erschüttert vor einem Jahr – ein Schock, der dieses Haus aufgerüttelt hat. Wir als S&D-Fraktion haben uns sofort aktiv und ambitioniert für weitreichende Reformen eingesetzt, um Transparenz und Integrität zu stärken. 
Ich will Ihnen ein paar Beispiele nennen, wie wir zusammen hier im Haus unsere eigene Geschäftsordnung geändert haben, was ich als Berichterstatterin verantwortet habe: Von nun an müssen alle Lobbytreffen offengelegt werden. Berichterstatter müssen auch Rechenschaft abgeben, mit wem sie sich getroffen haben, wenn sie ihre Berichte erstellt und Input bekommen haben. Wir werden ab 2024 eine komplette Transparenz über Nebenjobs haben, und zwar auch auf den Cent genau, um welche Beiträge es da geht, die Abgeordnete hier nebenbei verdienen – auch was das Transparenzregister anbelangt oder Veranstaltungen. Es gibt viel, was wir unternommen haben, gerade auch mit Blick auf Drittstaaten, um die Transparenz zu stärken. Denn Transparenz engt nicht ein, sie attackiert auch nicht das freie Mandat, sie schafft Vertrauen.
Aber es wird hier sehr entscheidend auf die weitere Umsetzung ankommen. Wir hätten uns hier im Haus mehr vorstellen können, eben auch was die Kompetenzen zur Kontrolle anbelangt. Und am Ende helfen die besten Regeln nichts, wenn sie nicht angewandt werden. Deshalb ist es wichtig, dass wir hier weiter darauf gucken und nicht nach einem Jahr sagen: Alles gut, wir haben die Regeln auf den Weg gebracht. Sondern wir müssen wirklich auch gucken und auswerten, dass diese Regeln auch angewandt werden. Ich weiß auch, dass sie manchen nicht weit genug gehen, aber das war der Kompromiss hier im Haus. Wir wären gerne an einigen Stellen weitergegangen, aber am Ende haben wir dafür – auch was eine echte Ethikbehörde anbelangt – keine Mehrheiten gehabt, und deshalb müssen wir weiter darauf drängen, dass es eine unabhängige Ethikbehörde gibt, weil das, was auf dem Tisch liegt, nicht ausreicht.
"
Gabriele BISCHOFF,2023-12-12,DE,Parliament’s call for the right to disconnect - three years on (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-227-0000_DE.html,"  Gabriele Bischoff (S&D).   – Herr Präsident, werter Kommissar Schmit, Kolleginnen und Kollegen! Ich glaube, Sie erleben hier gerade etwas Besonderes – dass von allen Seiten bis auf ganz rechts Druck auf die Kommission gemacht wird, um zu sagen: Das muss jetzt aber schnell gehen, wir haben drei Jahre gewartet. Und ich glaube, wenn wir überlegen, in welcher Situation wir sind, stellen wir fest, dass wir dafür gar nicht in einer schlechten sind. Wir haben die Arbeit der Sozialpartner, die sich darüber gebeugt haben – darauf kann man aufbauen. Und ich denke, es ist auch eine wichtige Botschaft, dass wir jetzt keine Zeit mehr für solche Sachen wie Impact Assessments verlieren können, weil wir die Arbeit der Sozialpartner haben. Das ist für mich funktionale Subsidiarität. Die sind an den Problemen ganz dran, die haben sich darüber gebeugt. Am Ende hat es bei den Arbeitgebern nicht gereicht.
Ich möchte noch einmal dazu sagen, dass Einstimmigkeit nicht nur ein Problem im Rat ist, sondern möglicherweise auch in anderen Organisationen. Keine Zeit verlieren, einen guten Vorschlag vorlegen – hier gibt es eine breite Unterstützung dafür. Wir haben dafür nachgefragt, weil immer noch ein Drittel der Beschäftigten – neue Umfrage im Sommer –im Urlaub Anfragen ihrer Vorgesetzten annehmen. Stress und psychische Krankheiten nehmen zu. Das kostet viel mehr Geld, als Rechtsetzung zu machen.
"
Gabriele BISCHOFF,2023-11-21,DE,Proposals of the European Parliament for the amendment of the Treaties (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-268-0000_DE.html,"  Gabriele Bischoff,  Berichterstatterin. – Herr Präsident, Herr Staatssekretär! Ich freue mich auch, dass die Kommission hier so hochrangig vertreten ist. In der Tat, wie Sven Simon gesagt hat, stehen wir morgen vor einem nächsten Schritt, den wir tun.
In der Partei, aus der ich komme, gibt es seit über 150 Jahren einen Spruch zur Mobilisierung, und der heißt: Nie kämpft es sich schlecht für Freiheit und Recht. Und was wir tun wollen, ist, einen ersten Schritt gehen, um zu erreichen, dass wir nicht weiter im Kleinklein verhangen; wir versuchen immer, die nächste Krise gerade so zu bewältigen, aber wir schaffen es nicht, uns wirklich für die Zukunft gut aufzustellen.
Es ist hier schon gesagt worden: Jeder redet von den riesigen geopolitischen Herausforderungen, die wir zu bewältigen haben, und davon, wie schnell die Welt sich dreht und wie sie sich verändert hat, seit wir den Vertrag von Lissabon gemacht haben. Wir hatten weltweite Finanzkrisen, wir hatten Pandemien, wir hatten Kriege, wir haben Trumpismus, Populismus auf dem Weg, jede Menge Herausforderungen. Und eines ist, glaube ich, klar, und deshalb war ich sehr froh, Herr Präsident, dass Sie uns noch einmal daran erinnert haben, dass die Konferenz zur Zukunft Europas in diesem Raum stattgefunden hat und dass wir diesen Spirit aufgegriffen haben, diese Vorschläge, die die Bürgerinnen und Bürger gemacht haben, und versucht haben, sie in entsprechende Vertragsänderungen umzusetzen.
Warum machen wir das? Wir machen das ja nicht, weil wir nichts Besseres zu tun haben. Wir machen das, weil wir wissen, dass die Europäische Union unser Garant für Freiheit, Fortschritt und auch Sicherheit ist, eben in einer Welt, die sich dramatisch ändert.
Es ist hier schon gesagt worden: Ein Kernpunkt – und das war auch etwas, was die Bürgerinnen und Bürger uns ins Stammbuch geschrieben haben – ist die Einstimmigkeit. Wir sind nicht schnell handlungsfähig. Wir haben das gesehen bei den Sanktionspaketen, aber auch in anderen Fragen, da, wo wir wirklich schnell und geeint handeln und agieren müssen. Deshalb ist es so wichtig, dass wir das ersetzen. Aber wir schaffen das nicht einfach ab, sondern wir machen einen Vorschlag, wo wir wirklich sagen: Wir haben drei neue Alternativen, einen Dreiklang: eine einfache Mehrheit, eine qualifizierte Mehrheit, wo wir den kleinen Mitgliedstaaten mehr Berücksichtigung geben, und eine superqualifizierte Mehrheit. Einfach um sicherzustellen, je nachdem, was angemessen ist, das entsprechend anzuwenden, aber eben nicht um mehr Vetomacht zu geben, nicht mehr neue Querdeals bei jeder Aktion. 
Eins ist für uns auch klar: Wir diskutieren wieder ganz neu die Erweiterung. Und ich glaube, wenn wir auch in Zukunft Sicherheit haben wollen, in der Welt eine Rolle spielen, ist die Erweiterung – wir haben das gesehen – extrem wichtig. Reform und Erweiterung sind zwei Seiten einer Medaille. Man wird weder das eine alleine kriegen, noch, glaube ich, macht es Sinn, das andere zu verwerfen. Deshalb ist es wichtig. Stellen Sie sich doch nur mal vor, wir hätten in Zukunft 35 Vetooptionen, wir haben 35 Kommissare, Kommissarinnen. Es ist doch klar, dass wir uns hier handlungsfähiger machen müssen und auch aufstellen. 
Ich denke, die Union ist eben ein Versprechen, ein Versprechen, dass sie auch ausgerüstet ist dafür, wenn wir uns Pandemiebekämpfung angucken. Deshalb war es für uns so wichtig: Gerade in der Gesundheitspolitik, bei grenzüberschreitenden Herausforderungen, braucht die Union neue Kompetenzen. Wir haben das doch erlebt. Wir müssen jetzt auch den Schritt gehen, das zu tun. Dasselbe ist, dass die Bürgerinnen und Bürger uns gesagt haben, dass sie wirklich faire Arbeitsbedingungen wollen in Europa, inklusive Arbeitsmärkte, eine starke Sozialpolitik. Auch das haben wir berücksichtigt und entsprechend mit aufgenommen.
Ich will mit Einem enden. Willy Brandt hat gesagt: Wir müssen mehr Demokratie wagen. Und es ist ganz wichtig, dass wir die Demokratie in Europa stärken, weil die Demokratie unter Druck ist. Deshalb möchte ich genauso schließen mit den Worten: Nicht betteln, nicht bitten, nur mutig gestritten.
"
Gabriele BISCHOFF,2023-11-21,DE,Proposals of the European Parliament for the amendment of the Treaties (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-350-0000_DE.html,"  Gabriele Bischoff,  Berichterstatterin. – Herr Präsident! Ich denke, es war eine wichtige Debatte, die wir hier geführt haben, als Ende eines langen Prozesses, wo wirklich um Kompromisse gerungen wurde, weil zwischen sechs Fraktionen – Herr Saryusz-Wolski ist auch eben gerade reingekommen –, und am Ende waren es noch fünf; ein ziemlich anstrengender Prozess. Aber das ist der Kern der Demokratie, dass wir um Kompromisse ringen. Und das wird weitergehen, wenn wir einen Konvent haben, um dann mit noch mehr Stakeholdern zu ringen, was der richtige Weg ist, Europa zukunftsfähig aufzustellen.
Und Europa ist eben mehr als ein Geldautomat. Europa ist die Antwort darauf, dass wir Frieden, Fortschritt und Sicherheit in Europa brauchen und dass wir Souveränität doch auch nur gewinnen, wenn wir wirklich unsere Kräfte hier poolen, zusammen, in so vielen Bereichen.
Was passiert denn mit Staaten, mit Unternehmen, die sich nicht reformieren können, wenn sich das Umfeld ändert? Die gehen unter. Deshalb ist es doch wichtig, dass wir sicherstellen, dass wir uns anpassen. Und da kann man über den richtigen Weg streiten – und wir haben viel gestritten, auch unter den Berichterstattern. Wir haben uns auf einen Kompromiss geeinigt, und da gefällt mir auch nicht alles. Aber das ist das Wesen auch von Kompromissen und eben dann auch gemeinsamen großen Paketen.
Deshalb möchte ich noch einmal appellieren, diesen Schritt zu gehen, weil wenn wir ihn nicht gehen, wird es keine weiteren Schritte geben. Und ich glaube, dass die Bürgerinnen und Bürger uns ganz klar ins Stammbuch geschrieben haben, dass es Veränderungen braucht, auch für ihre Zukunft.
Ich möchte noch einmal zur ID- und zur ECR-Fraktion sagen – ich glaube, man hat das heute gesehen: Die wollen nicht darüber streiten, welchen besseren Weg Europa gehen will, die wollen Europa rückabwickeln. Und ich glaube, das ist etwas, was die Mehrheit in ihren Ländern, auch der Bürgerinnen und Bürger, nicht will.
(Zwischenrufe)
"
Gabriele BISCHOFF,2023-11-08,DE,Urgent need for immediate measures against the rise of antisemitism (statement by the President),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-08-INT-1-062-0000_DE.html,"  Gabriele Bischoff,  im Namen der S&D-Fraktion. – Frau Präsidentin! Danke, dass Sie hier das Thema Antisemitismus auf die Tagesordnung gesetzt haben, hier nach den letzten Wochen.
Ich bin ein bisschen erschüttert darüber – ich sage das jetzt mal ganz deutlich –, dass wir hier in diesem Haus der Demokratie über Antisemitismus nach dem 7. Oktober sprechen und kaum jemand hier im Saal ist. Ich finde, es gibt viele Gelegenheiten, wo man andere Sachen hat, aber ich finde das wirklich erschütternd, weil wir ganz genau wissen, dass Antisemitismus ein Gift ist. Und wenn es in den Gesellschaften wütet und dem nicht genug entgegengesetzt wird, wissen wir auch, wozu Antisemitismus führt.
Ich komme aus einem Land, in dem der Antisemitismus am stärksten in alle Lebensbereiche eingedrungen ist. Und es ist, glaube ich, kein Zufall, dass wir auch so viele Sprecherinnen und Sprecher hier haben, die aus Deutschland kommen und mit großer Sorge diesen Anstieg an Antisemitismus überall in Europa sehen, aber auch neue Formen von Antisemitismus, die wir hier sehen und wo wir ratlos sind und dringend Antworten und insbesondere Taten brauchen. Denn in meinem Land war es bislang ganz klar, dass es wirklich eine Grundgewissheit gab, dass alle demokratischen Kräfte sich hinter der Nachricht versammeln: Nie wieder! Und ich kann Ihnen sagen, ich bin nach dem 7. Oktober aufgewacht, und ich wusste auf einmal, dass etwas sich komplett geändert hat. Und was sich geändert hat, war, dass ich spürte – ich glaube, wie viele Menschen –, dass diese Sicherheit des „Nie wieder!“ nicht mehr da ist und dass wir in Europa verdammt nochmal viel mehr machen müssen, um sicherzustellen, dass niemand hier in Europa, der hier lebt, Angst davor haben muss, zu zeigen, dass er oder sie Jude oder Jüdin ist, keine Symbole tragen kann und nicht in Frieden leben kann.
Ich möchte hier noch einmal mit einem Zitat enden, das Hannah Arendt mal gesagt hat, dass man vor Antisemitismus wohl nur auf dem Mond sicher ist. Nein, auch in Europa muss man vor Antisemitismus sicher sein.
"
Gabriele BISCHOFF,2023-11-08,DE,Conclusions of the European Council meeting of 26-27 October 2023 - Humanitarian crisis in Gaza and the need for a humanitarian pause (joint debate - Conclusions of the European Council and the humanitarian crisis in Gaza and the need for a humanitarian pause),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-08-INT-1-101-0000_DE.html,"  Gabriele Bischoff (S&D).   – Frau Präsidentin, liebe Kollegen! Auch wir als S&D-Fraktion haben uns die Schlussfolgerungen genau angesehen und analysiert, welche Hinweise wir darin dafür finden, wie der Rat weiter zu den wichtigen Verhandlungen zum Migrationspaket steht. Und wenn man sich die zwei knappen Sätze – nicht sehr aussagekräftig – anguckt, dann weiß man, wie wichtig es ist, dass wir uns stärker austauschen.
Ich hätte gerne mit Herrn Michel darüber gesprochen. Wie bereit ist der Rat für gute Kompromisse? Es ist eines der wichtigsten Dossiers, gerade wenn es darum geht, dass wir der Unsicherheit etwas entgegensetzen, die in unseren Gesellschaften herrscht. Ich fand es gut, Frau Blanchett hat uns noch einmal auf unser Erbe hingewiesen, was Menschenrechte und Humanität anbelangt. Und es ist tatsächlich ganz wichtig, dass wir eine doppelte Solidarität herstellen mit den Menschen, die flüchten, aber auch Solidarität mit den Mitgliedstaaten, wo die meisten Geflüchteten ankommen.
Ich finde es umso beschämender, dass ich mir in diesem Haus dann von Abgeordneten anhören muss, dass sie Migranten mit Terroristen gleichsetzen und versuchen, hier dieses Geschäft der Populisten zu betreiben. In diesem Haus wird es wichtig sein, dass alle demokratischen politischen Kräfte an einem guten Kompromiss arbeiten und eben nicht dem Populismus nachgeben, der ja keine Lösungen will, sondern einfach das nutzen, um weiter zu spalten. Das sollte bei uns nicht passieren. Und erlauben Sie mir noch ein Wort aktuell zum Abkommen mit Tunesien. Das ist einfach nur eine Bankrotterklärung, dass man nicht...
(Die Präsidentin entzieht der Rednerin das Wort.)
"
Gabriele BISCHOFF,2023-10-18,DE,Preparation of the European Council meeting of 26-27 October 2023 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-098-0000_DE.html,"  Gabriele Bischoff,  im Namen der S&D-Fraktion. – Herr Präsident, sehr geehrter Herr Vizepräsident Šefčovič, verehrter Vertreter des Rates, liebe Kolleginnen und Kollegen! Ich muss zugeben, dass es mir nach der vorherigen Debatte ein bisschen schwerfällt, einfach zu den Beratungen mit dem EUCO überzugehen, weil wir alle wissen und spüren, dass nach dieser barbarischen Attacke der Hamas mit ihren Folgen die Welt eine andere geworden ist – und zwar nicht nur im Nahen Osten, sondern auch bei uns.
Und wenn ich mir die Schlussfolgerungen angucke, sehe ich, dass diese Entwicklungen in der Welt bei uns auf eine Gesellschaft treffen, die schon extrem gespalten ist. Die Menschen sind enorm verunsichert, und sie erwarten von Europa natürlich, dass man auf die vielen Themen eingeht. Aber sie erwarten auch, dass man auf die Europäerinnen und Europäer eingeht und ihre Sorgen sieht, ihre Verunsicherung. Sie erwarten von Europa – in Bezug auf Inflation, in Bezug auf Kostensteigerungen, in Bezug darauf, dass manche wirklich enorme Sorgen haben, überhaupt durch den Alltag zu kommen –, dass wir keine Schlussfolgerungen haben, in denen das Soziale eine komplette Leerstelle ist, wo zwar auf amerikanische Maßnahmen hingewiesen wird, aber keine europäischen Antworten gegeben werden. Das muss sich ändern. Packen Sie das bitte an!
"
Gabriele BISCHOFF,2023-10-04,DE,Need for a speedy adoption of the asylum and migration package (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-012-0000_DE.html,"  Gabriele Bischoff,  im Namen der S&D-Fraktion. – Herr Präsident! Die einen drücken es diplomatisch aus, die anderen direkt: Die EU-Migrationspolitik, so, wie sie ist, ist gescheitert.
Warum ist sie gescheitert? Gar nicht, weil so viele Menschen kommen, sondern sie ist gescheitert, weil viele die Vorteile der Mitgliedschaft der Europäischen Union haben wollen; wenn es aber zum Beispiel um die Geflüchteten geht, dann wollen sie das lieber an ihre Nachbarländer abschieben, oder sie registrieren absichtlich die Flüchtlinge gar nicht, sondern hoffen, dass sie schnell durchziehen. Ich glaube, diesen Mangel an Solidarität müssen wir angehen, und das muss im Kern des neuen Migrationspakts stehen. 
Wir können auch nicht, nur weil wir nicht handlungsfähig sind, nach Tunesien gehen und sagen: „Wir geben euch Geld, löst ihr mal eure Probleme!“ Wir müssen die Probleme hier lösen, und wir müssen ein Asyl- und Migrationspaket abschließen auf Basis unserer Werte, aber mit dem wir zeigen, dass wir es managen können, und zwar solidarisch mit den Mitgliedstaaten, wo die Geflüchteten ankommen, aber auch mit den Geflüchteten, die hierherkommen und Schutz suchen.
Und Tunesien: Der Staatssekretär hat es gesagt: Sie können davon träumen, das funktioniert sowieso auch nicht. Deshalb ist es wichtig, dass wir die Lektionen ziehen, dass wir daran arbeiten, wirklich hier Kompromisse zu finden.
Ich will auch eins ganz klar sagen: Wir werden hart verhandeln, und das ist wichtig. Aber das Grundrecht auf Asyl werden wir nie infrage stellen, denn wenn wir das tun, verraten wir unsere eigenen Werte. Deshalb lassen sie uns gemeinsam Lösungen finden! Ob wir die finden, wird hier, in der Mitte dieses Hauses, entschieden – ob wir dem Gift des Populismus erliegen, um Punkte zu machen, oder ob wir hart verhandeln und gute Lösungen finden. In diesem Sinne können Sie die S&D an Ihrer Seite wissen.
Eins noch, auch zu Ihrem letzten Einwand: Wir diskutieren darüber, und anders als Sie warten wir nicht, bis die Leute freiwillig gehen.
"
Gabriele BISCHOFF,2023-10-04,DE,Decent Housing for All (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-161-0000_DE.html,"  Gabriele Bischoff (S&D).   – Frau Präsidentin, Herr Kommissar Schmit, Herr Staatssekretär Navarro Ríos! Alle hier sagen eins: Ein Dach über dem Kopf zu haben, ist ein Grundrecht. Wir stellen fest und kritisieren übereinstimmend hier im Haus, dass wir die Wohnungsfrage wieder als große soziale Frage haben. Das war eines der Themen, bevor wir den modernen europäischen Wohlfahrtsstaat gemacht haben; deshalb ist es ganz wichtig, dass wir nicht weiter analysieren, sondern dass die Kommission einen kohärenten Aktionsplan vorstellt, denn in der Tat, das ist überwiegend eine nationale Zuständigkeit. Aber wir können in Europa ganz viel tun, um beizutragen zur Lösung, und unter anderem die EU-Fonds wirklich durchforsten.
Wir haben in der Jugendgarantie Mittel vorgesehen, um sicherzustellen, dass wir Ausbildungsplätze schaffen. Warum können wir nicht sicherstellen, dass bestimmte Mittel auch dafür bereitgestellt werden, für junge Menschen, für Auszubildende, Studenten Wohnungen zu bauen?
Wir müssen gleichzeitig feststellen, dass wir in der Tat einen entfesselten Markt haben, der nicht mehr funktioniert. Airbnb zum Beispiel entzieht Wohnraum, treibt die Preise hoch. Auch hier können wir etwas tun, genauso wie im Beihilferecht. Ein kohärenter Aktionsplan dafür, dass wir alle wirklich bezahlbaren Wohnraum finden, ist überfällig.
"
