MP,Date,Language,Title,Url,Content
Geert BOURGEOIS,2023-12-12,NL,Framework for ensuring a secure and sustainable supply of critical raw materials (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-043-0000_NL.html,"  Geert Bourgeois (ECR).   – Voorzitter, wij steunen volop deze verordening voor kritieke grondstoffen. Ze is meer dan nodig om de groene en digitale transitie te verwezenlijken, om de concurrentiekracht van onze bedrijven te verstevigen, om minder afhankelijk te zijn van de rest van de wereld — vooral van China — en dus om onze open strategische autonomie te versterken.
We leven immers in een periode van deglobalisering. Nu al leidt de gespannen handelsrelatie tussen de Verenigde Staten en China tot een beperking van de uitvoer van kritieke mineralen uit China, dat een dominante positie heeft.
Wij steunen dus volop de Critical Raw Materials Club en we roepen op om meer handelsverdragen te sluiten met daarin een hoofdstuk over minerale grondstoffen en vooral op korte termijn een akkoord met de Verenigde Staten over kritieke grondstof die nodig is voor de productie van batterijen voor elektrische wagens. Mijn gelukwensen aan de rapporteur.
"
Geert BOURGEOIS,2023-11-21,NL,EU/New Zealand Free Trade Agreement (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-186-0000_NL.html,"  Geert Bourgeois (ECR).   – Voorzitter, collega’s, eindelijk met Vietnam een tweede handelsakkoord, met mijn gelukwensen voor de commissaris en zijn staf en de rapporteur.
Nog maar een tweede akkoord betekent dat dit geen legislatuur is om trots op te zijn. Handelsakkoorden brengen nochtans groei en welvaart met zich mee. Ze zorgen voor diversificatie van onze aanvoerlijnen, ze brengen stabiliteit en brengen ook volkeren bij elkaar.
Het moet daarbij in de eerste plaats om handel gaan, namelijk markttoegang vergroten, handelsbelemmeringen wegnemen, tarieven verlagen. In de tweede plaats dienen handelsverdragen als een hefboom voor arbeidsomstandigheden, voor mensenrechten, voor duurzaamheid, voor klimaatdoelstellingen.
De EU moet daarbij pragmatisch te werk gaan en handelen als een partner en niet met het opgeheven vingertje dicteren wat moet en dreigen met sancties. China handelt veel pragmatischer, redeneert geopolitiek, is ondertussen actief op veel plaatsen in Afrika en Zuid-Amerika.
Laat dit symbolische akkoord met Nieuw-Zeeland dus een trekker zijn voor de nieuwe handelsakkoorden die al lang in de wachtkamer zitten.
"
Geert BOURGEOIS,2023-11-20,NL,Framework of measures for strengthening Europe’s net-zero technology products manufacturing ecosystem (Net Zero Industry Act) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-143-0000_NL.html,"  Geert Bourgeois (ECR).   – Voorzitter, collega’s, deze Commissie heeft geen competitiviteitsagenda. Al samen met de Green Deal had er een industrieel plan moeten zijn voor groei en welvaart.
Ondertussen namen de Verenigde Staten een reusachtige voorsprong. Het is pas na de Inflation Reduction Act dat de Commissie kwam met dit voorstel voor een verordening voor een nettonulindustrie, die per definitie maar betrekking heeft op een deel van onze industrie. De rest van de industrie moet het stellen zonder versnelde procedures en zonder steun.
Positief is dat in dit Parlement eindelijk het besef schijnt te groeien dat we kernenergie nodig hebben voor onze decarbonisatie en voor energiezekerheid. Niet aanvaardbaar echter is dat bij overheidsopdrachten een wegingsfactor van ten minste 30 % toegekend wordt, niet alleen aan milieu, maar daarbovenop aan sociale duurzaamheid en aan het vage begrip veerkracht. Dit zal leiden tot een aantasting van onze interne markt, dit zal leiden tot protectionisme, dit is in strijd met onze open strategische autonomie. Ten minste 30 %, zonder plafond, gecombineerd met het uitermate vage criterium van veerkracht.
Tot slot: de positie van het Parlement zoals ze nu voorligt, duidelijk ook zonder impactanalyse, kunnen wij niet steunen.
"
Geert BOURGEOIS,2023-10-18,NL,A true geopolitical Europe now (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-184-0000_NL.html,"  Geert Bourgeois (ECR).   – Voorzitter, collega’s, deze Commissie wou een geopolitieke Commissie zijn. Dat zien we. Vier jaar later vraagt onze hoge vertegenwoordiger aan China om de EU als een geopolitieke speler te erkennen. Dit is toch vrij vernederend, dacht ik. Je vraagt het niet, je handelt als een geopolitieke actor. De balans na vier jaar is negatief.
Waterdichte sancties tegen Rusland laten op zich wachten. Na jarenlange dumping wordt nu pas een onderzoek ingesteld naar de Chinese auto-industrie. Het was dit Parlement dat tot handelen moest oproepen tegen unfaire concurrentie door de Chinese visserij. Na vier jaar is er slechts één handelsakkoord geratificeerd. Geopolitiek is de EU een dwerg die geen ontzag afdwingt.
De top van Granada bracht geen uitzicht voor Armenië. Evenmin slaagde de Unie erin om Servië en Kosovo aan de tafel te brengen. De eerste reactie van de Unie op de terroristische aanval van Hamas op Israël was een pure kakafonie. De EU moet haar geopolitieke schroom afwerpen, verantwoordelijkheid nemen voor de eigen buitenring en tegelijk een wereldspeler zijn op het vlak van vrede, stabiliteit en handel. De EU moet met unanimiteit een buitenlandse strategische visie bepalen om dan binnen dat kader met gekwalificeerde meerderheid te beslissen, te handelen en sancties te nemen. De EU mag geen empire zijn, maar moet wel dringend werk maken van een defensiesamenwerking, onlosmakelijk verbonden met de NAVO.
Nu de wereld in brand staat, hebben we meer dan ooit een snelle-interventiemacht nodig. En zoals de EU vrede bracht op dit continent, moet de EU ook wereldwijd een actor zijn van vrede en stabiliteit.
"
Geert BOURGEOIS,2023-10-16,NL,Establishing the Strategic Technologies for Europe Platform (‘STEP’) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-16-INT-1-134-0000_NL.html,"  Geert Bourgeois (ECR).   – Voorzitter, collega’s, commissaris, innoveren is geen luxe. Innoveren is een noodzaak en we moeten erin excelleren, want onze globale concurrentiekracht staat sterk onder druk. Deze STEP kon een stap in de goede richting zijn. De intentie is goed, maar de uitwerking niet.
Niet de hoogste standaarden hanteren, nivelleren, is slecht voor innovatie, is slecht voor de meest innovatieve deelstaten, is slecht voor de beste projecten en werkt bovendien ook nog eens marktverstorend. 
Stop dus met ad hoc investeren in dure initiatieven. Maak integendeel een omslag. Een omslag in het budget, een budget van de 21e eeuw. Meer onderzoek en ontwikkeling. Meer innovatie.
"
Geert BOURGEOIS,2023-10-04,NL,"Need to complete new trade agreements for sustainable growth, competitiveness and the EU’s strategic autonomy (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-345-0000_NL.html,"  Geert Bourgeois,  namens de ECR-Fractie. – Voorzitter, commissaris, collega’s, ik ben een vurig voorstander van faire, op regels gebaseerde handel. Vrijhandel schept banen en welvaart, maar ook competitieve uitdagingen, die op hun beurt tot innovatie leiden. Vrijhandel brengt ook mensen en volkeren bij mekaar en dat vergt dat handelsbelemmeringen worden weggewerkt. Maar uitgerekend op dit punt schiet de EU te kort. Er zijn te weinig nieuwe handelsakkoorden. In deze zittingsperiode heeft het Parlement één nieuw handelsakkoord goedgekeurd. De EU moet dus activistischer zijn, maar ook pragmatischer zijn en meer geopolitiek denken en handelen.
Handelsverdragen zijn een hefboom voor mensenrechten, een hefboom voor arbeidsvoorwaarden, een hefboom voor klimaatdoelstellingen, enzovoort. Maar dreigen met sancties staat haaks op partnerschap en werkt bovendien averechts. Handelsverdragen maken ons sterker door diversificatie van de toeleveringsketens en omdat ze ons dwingen om competitief te zijn. En hier knelt het schoentje.
De EU heeft geen afdoend antwoord op de dominantie van China inzake zeldzame aardmetalen, noch op de oneerlijke handelspraktijken van China, en evenmin op de Inflation Reduction Act van de Verenigde Staten. Deze EU heeft geen toekomstgerichte begroting, legt enorme regeldruk op en maakt voor publieke en private investeringen de plannen tot een lijdensweg. Daarbovenop komt nog eens de concurrentievervalsing door herziening van de staatssteunregels. Naast de delokalisatie naar de Verenigde Staten hebben we nu ook intern op onze interne markt delokalisatie.
Het moet dus anders, collega's: meer handelsverdragen, verschuiving in de begroting naar onderzoek, ontwikkeling en innovatie, een gelijk speelveld op onze interne markt, meer ruimte voor onze industrie om te experimenteren en tot slot minder regeldruk en snellere vergunningstrajecten.
"
Geert BOURGEOIS,2023-10-03,NL,Question Time with Commissioners – EU-China trade relations,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-291-0000_NL.html,"  Geert Bourgeois (ECR).   – Voorzitter, mijnheer de commissaris, de aanpak van de Commissie lijkt mij de juiste. Niet ontkoppelen van China, wel de risico’s afbouwen. Geen protectionisme, wel open strategische autonomie en vooral faire handel gebaseerd op gelijke spelregels.
En daar knelt het schoentje. Ik ken bloeiende Vlaamse bedrijven met honderden werknemers die ten onder dreigen te gaan door dumpingpraktijken van China. Massale invoer van producten tegen dumpingprijzen. De Commissie moet daar kordaat tegen optreden en vooral sneller. De gewone procedure duurt een tot anderhalf jaar. Welnu, in deze periode gaan die bedrijven kapot en komen honderden mensen op straat te staan.
Mijn vraag is dus wat u gaat doen om dergelijke drama’s te vermijden en om kordaat, maar vooral veel sneller op te treden tegen die dumpingpraktijken.
"
Geert BOURGEOIS,2023-10-03,NL,Question Time with Commissioners – EU-China trade relations,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-293-0000_NL.html,"  Geert Bourgeois (ECR).   – Mijnheer de commissaris, u moet inderdaad de termijnen respecteren, maar er is ook een snelle procedure.
Ik vraag meer toepassing te geven aan die snelle procedure om drama’s te vermijden en ik vraag u ook om op de EU-China-top heel klare, duidelijke taal te spreken ter zake. Faire handel? – Ja. Dumping? – Neen.
"
Geert BOURGEOIS,2023-09-12,NL,Single market emergency instrument (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-181-0000_NL.html,"  Geert Bourgeois (ECR).   – Voorzitter, we moeten onze interne markt, onze grootste troefkaart, inderdaad voltooien en beschermen. En zo kan het niet dat in tijden van crisis de lidstaten de grenzen gaan sluiten zoals aan het begin van de pandemie. En dus is een Europees kader dat de werking van de interne markt in crisistijden beschermt, een goed plan. 
Maar wat hier op tafel ligt, collega’s, commissaris, gaat veel, veel verder. Dit gaat de weg op van een staatsgeleide economie met verregaande interventionistische maatregelen in handen van de Europese Commissie.
Bedrijven verplichten:
om prioritaire orders van de Commissie uit te voeren, en 
bedrijfsgevoelige informatie te verstrekken, 
dit zijn maatregelen, commissaris, die thuishoren in een planeconomie. Dit kan bovendien zeer kwalijke gevolgen hebben voor ons imago als investeringsregio en als betrouwbare handelspartner. De Commissie moet zich beperken tot het beschermen van de vrijheden van de interne markt.
"
Geert BOURGEOIS,2023-07-11,NL,European Chips Act (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-116-0000_NL.html,"  Geert Bourgeois,  Rapporteur voor advies van de Commissie internationale handel. – Voorzitter, commissaris, collega’s, vanuit handelsperspectief mogen we niet dromen van volledige zelfvoorziening, laat staan kiezen voor protectionisme. De Europese industrie is daarvoor veel te verweven met de rest van de wereld. 
Integendeel, de EU moet inzetten op haar sterktes door ook een ecosysteem te creëren met wereldspelers die we hebben, zoals IMEC in Leuven en ASML in Nederland. Een mooie toepassing daarvan, commissaris, is de cofinanciering EU-Vlaanderen ten belope van 1,5 miljard EUR om het wereldleiderschap van IMEC in Leuven inzake de kleinste en krachtigste halfgeleiders nog te versterken.
Ik ondersteun de oproep in de nieuwe verordening om internationale samenwerking te verdiepen en ook wederzijdse partnerschappen op te bouwen. Daarmee kunnen we continuïteit in de toelevering van chips waarborgen, ook in toekomstige crisissituaties.
"
