MP,Date,Language,Title,Url,Content
Geoffroy DIDIER,2023-10-18,FR,Fighting disinformation and dissemination of illegal content in the context of the Digital Services Act and in times of conflict (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-375-0000_FR.html,
Geoffroy DIDIER,2023-10-17,FR,"Situation of Ukrainian women refugees, including access to SRHR support (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-419-0000_FR.html,"  Geoffroy Didier (PPE).   – Monsieur le Président, l’actualité chasse l’actualité, et chaque nouvel événement tragique dans le monde, comme celui touchant Israël depuis le 7 octobre, constitue une occasion de plus pour Vladimir Poutine d’avancer ses pions. 
En soutenant cyniquement le Hamas, le Président russe tente d’envenimer la situation au Proche-Orient pour mieux détourner notre regard de l’Ukraine. Au mieux imprudents ou au pire complices, certains dirigeants européens – notamment hongrois et slovaques – deviennent les tristes relais de la propagande russe: «Plus une seule arme pour l’Ukraine», à les entendre. Quelle folie! 
Je le dis ici, solennellement, au Parlement européen: n’oublions pas l’Ukraine. Si nous commençons à tergiverser, à reculer ou à nous diviser sur notre soutien résolu, qu’il soit politique, logistique ou militaire, demain, c’est toute l’Europe qui le regrettera. Ce qui se joue, désormais à bas bruit, aux frontières orientales de l’Europe, va au-delà de la survie même de l’Ukraine et de son peuple: ce ne sont pas seulement nos valeurs, c’est aussi la sécurité de l’ensemble de notre continent. 
L’histoire l’a souvent démontré: quand les regards se détournent, les monstres se déchaînent. N’oublions pas l’Ukraine. N’oublions pas l’Ukraine! 
"
Geoffroy DIDIER,2023-10-03,FR,European Media Freedom Act (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-067-0000_FR.html,"  Geoffroy Didier,  rapporteur pour avis de la commission du marché intérieur et de la protection des consommateurs. – Madame la Présidente, la liberté d'expression est un bien trop fragile pour en ignorer les principes. Grâce au Digital Services Act dont j'ai été l'un des rapporteurs du Parlement européen et qui est en vigueur depuis le 25 août, les réseaux sociaux et les moteurs de recherche sur Internet ont l'obligation légale de supprimer tous les contenus manifestement illicites, comme des menaces de mort ou du cyberharcèlement. Personne ne doit avoir le droit de réduire au silence qui que ce soit en le menaçant ou le harcelant. 
Désormais, grâce au Media Freedom Act, dont j'ai aussi l'honneur d'être l'un des rapporteurs, nous consolidons cette liberté d'expression, cette fois en interdisant aux réseaux sociaux eux-mêmes de supprimer arbitrairement des contenus d'information au seul motif qu'ils dérogeraient aux conditions générales d'utilisation ou à l'idéologie du propriétaire du réseau social. En quelque sorte, Twitter ne pourra plus, par exemple, supprimer les comptes de certains journalistes. 
La haine est illégale. Mais la censure l'est tout autant. Nous ne sommes ni le modèle américain qui laisse tout dire et tout faire, ni le système chinois qui ne laisse rien dire. Le voilà, notre modèle culturel européen.
"
Geoffroy DIDIER,2023-07-12,FR,Tax the rich (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-212-0000_FR.html,"  Geoffroy Didier (PPE).   – Madame la Présidente, la gauche a toujours aimé se bercer d’illusions. En criant qu’il suffirait de taxer les riches toujours et encore, elle s’est acheté pendant de longues années à bas prix une jolie conscience morale, n’hésitant jamais au passage à céder à la paresse intellectuelle. Car si appauvrir les riches avait enrichi les pauvres, cela se saurait.
Mais là n’est pas le pire. Le pire est que la gauche, désormais captée par l’extrême gauche, comme celle de Jean-Luc Mélenchon en France, ne fait plus semblant d’être naïve. Elle a décidé de basculer dans le pire des cynismes. Cynique, lorsqu’elle tente d’instrumentaliser les plus modestes en voulant leur faire croire qu’il suffirait de supprimer les richesses pour apaiser leurs tourments sociaux. Cynique, lorsqu’elle va jusqu’à théoriser son abandon pur et simple des classes populaires pour concentrer la pire des intentions sur de petites clientèles électorales communautaristes qui vont jusqu’à dénigrer les valeurs les plus élémentaires de la République. Cynique, enfin et encore, lorsqu’elle n’hésite plus à s’afficher comme elle l’a fait il y a encore quelques jours, écharpe tricolore à l’épaule, c’est-à-dire prétendument au nom du peuple, dans des manifestations pourtant interdites par la loi et où il est scandé «Tout le monde déteste la police».
Nous savions que la gauche avait abandonné le peuple. Nous savons désormais qu’elle l’instrumentalise, qu’elle lui tourne le dos et finalement qu’elle l’insulte. C’est bien cette gauche-là que nous allons devoir, citoyens, républicains, combattre dans les prochaines années. Cette gauche extrémiste, égoïste, criarde et antisociale.
"
Geoffroy DIDIER,2023-06-13,FR,Artificial Intelligence Act (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-13-INT-2-179-0000_FR.html,
Geoffroy DIDIER,2022-10-18,FR,Impact of Russian invasion of Ukraine on migration flows to the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-10-18-INT-2-434-0000_FR.html,"  Geoffroy Didier (PPE).   – Monsieur le Président, l’Union européenne et notamment la France ont été au rendez-vous de l’accueil des citoyens ukrainiens qui souhaitaient quitter leur pays pour échapper à la guerre. Grâce au statut de protection temporaire, l’intégralité des femmes, des enfants et des personnes âgées qui ont voulu quitter l’Ukraine ont pu le faire et ils ont été accueillis dignement sur les différents territoires d’Europe. Ils sont aujourd’hui près de 4 millions.
Un tel accueil n’est cependant possible que si nos pays ne conservent pas sur leur territoire les immigrés clandestins qui, eux, n’ont rien à y faire. Sur dix clandestins qui se sont vus déboutés de leur demande d’asile, neuf, soit 90 % d’entre eux, restent en France en violation de nos lois. Une seule solution pour mettre fin à cette faiblesse de nos gouvernants: obliger les demandeurs d’asile à effectuer leurs demandes à l’étranger et interdire toute étude de dossier de celui qui n’aurait pas respecté cette règle. Ceux qui détournent le droit d’asile de son objet ne font pas qu’insulter la tradition d’accueil des réfugiés qui fait l’honneur de la France et de l’Europe. Ils insultent aussi les peuples comme celui d’Ukraine qui mérite un accueil digne et humaniste de notre part.
"
Geoffroy DIDIER,2022-10-05,FR,Countering the anti-European and anti-Ukrainian propaganda of Putin’s European cronies (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-10-05-INT-3-169-0000_FR.html,"  Geoffroy Didier (PPE).   – Monsieur le Président, le gouvernement de Vladimir Poutine n'a aucune valeur et n'a aucune limite, ses armes sont illégitimes de toutes natures. Face au silence d'une Europe longtemps endormie, prostrée et brouillonne, Vladimir Poutine a avancé méthodiquement ses pions durant plusieurs années. 
Selon de nombreuses sources concordantes, 300 millions de dollars auraient permis à la Russie de financer des partis politiques étrangers européens depuis près de dix ans. Il y a bien sûr l'extrême droite, mais cela, nous le savions déjà et nous n'avions rien à espérer d'eux. Mais le plus édifiant, et devrais-je dire, le plus écœurant, est que des ONG européennes qui se prétendent pourtant porteuses de combats salutaires comme l'écologie et qui ont même fourni certains ministres à des pays d'Europe, auraient elles aussi été financées par des intérêts et entreprises russes telles que Gazprom. De soi-disant écologistes, littéralement achetés pour défendre la sortie du nucléaire et maintenir ainsi la dépendance européenne vis-à-vis du gaz russe. 
Qui parmi eux se sont fait les complices de Vladimir Poutine? Cette question mérite d'être posée dans cette enceinte, dans cet hémicycle. Cette question mérite d'être posée par les peuples européens, qui ont le droit de connaître la vérité. Parce que, mes amis, nous le savons désormais, derrière le paravent de l'écologie politique se cachent parfois des intérêts bien sombres et parfois même le pire qui soit. 
"
Geoffroy DIDIER,2022-07-06,FR,"The relations of the Russian government and diplomatic network with parties of extremist, populist, anti-European and certain other European political parties in the context of the war (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2022-07-06-INT-3-278-0000_FR.html,"  Geoffroy Didier (PPE).   – Madame la Présidente, à la violation intolérable des frontières d’un pays souverain, le gouvernement de Vladimir Poutine ajoute depuis quelques années un autre déshonneur: la désinformation chronique, qui vise à déstabiliser les démocraties occidentales. 
Cette désinformation est savamment relayée par des partis politiques européens d’extrême droite. Les fausses rumeurs et deep fake ont naturellement toujours plus d’audience que les exactitudes et les analyses objectives. Fort heureusement, l’Union européenne a su réagir et a tenté de mettre un terme à ce Far West sur internet grâce à la législation sur les services numériques. 
Présent en Ukraine ces derniers jours, j’ai pu voir à quel point la politique de Vladimir Poutine était devenue mortifère. Mais au-delà des morts et au-delà des vains mots pour leur rendre hommage, ce sont toutes nos valeurs qui sont battues en brèche. Il est urgent que l’Union européenne prenne les armes numériques pour défendre les valeurs les plus fondamentales dans les médias et sur les réseaux sociaux.
"
Geoffroy DIDIER,2022-05-03,FR,Artificial intelligence in a digital age (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-05-03-INT-2-030-0000_FR.html,"  Geoffroy Didier (PPE).   – Monsieur le Président, mon collègue Axel Voss a vu juste: l’intelligence artificielle constitue une chance à saisir. Les bienfaits de cette technologie sont très nombreux. Ils peuvent s’appliquer par exemple à la médecine et aider à sauver bien des vies.
La machine n’a pourtant de sens que si l’homme en garde l’absolue maîtrise. Les réflexes, que les technologies les plus avancées permettent de programmer, vaudront toujours moins que le discernement, le libre arbitre et la sensibilité inhérents à l’être humain. Tout est une question d’usage.
Exemple d’un bon usage de l’intelligence artificielle: la régulation d’Internet à l’aide d’algorithmes pour mettre fin à l’anarchie qui y règne. Nous venons d’aboutir à un accord politique historique en Europe: le DSA (Digital Services Act, législation sur les services numériques) va permettre de combattre les dérives les plus inadmissibles des réseaux sociaux. Le principe? Il est simple: tout ce qui est illégal hors ligne doit le devenir en ligne. Pas plus, pas moins. Non, les messages de haine et de harcèlement ne constituent pas des opinions qui feraient partie de la liberté d’expression. Ils en sont même le contraire, car ils imposent le silence à tous ceux qui craignent d’en devenir les victimes. Ceux qui ont harcelé et appelé au meurtre sur Internet de Samuel Paty, sont-ils, étaient-ils, des vecteurs de liberté d’expression? Poser la question, c’est déjà y apporter une réponse.
Telle qu’elle a été prévue, cette nouvelle réglementation devra s’appliquer aux moteurs de recherche et à tous les plus grands réseaux sociaux. Et aussi génial et innovant soit-il, Elon Musk, devra y soumettre Twitter comme n’importe quel géant du numérique.
Protéger les citoyens de la haine en ligne, voici un bel usage des technologies les plus avancées. Et voici aussi un usage très approprié de l’Union européenne.
"
Geoffroy DIDIER,2022-01-19,FR,Digital Services Act (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-01-19-INT-3-108-0000_FR.html,"  Geoffroy Didier,  rapporteur pour avis de la commission des affaires juridiques. – Monsieur le Président, les grandes plateformes numériques sont de puissants outils d’innovation qui ont inondé nos vies quotidiennes. Acteurs économiques, ils sont aussi devenus des acteurs publics. Vecteurs de la liberté d’expression, ils n’en sont pas moins des véhicules de messages de haine, de menaces, de harcèlement ou de commerce illégal dont nous avons le devoir impérieux d’empêcher la diffusion.
Face au vide juridique dont les GAFAM ont profité jusqu’ici, il était temps que l’Europe mette un terme à l’anarchie du Web. Le texte voté cette semaine au Parlement européen n’est malheureusement qu’une trop timide avancée, loin des grands discours et des belles intentions prononcées il y a quelques instants encore par Emmanuel Macron.
Le combat ne fait que continuer et je me battrai pour garantir aux jeunes, aux personnes vulnérables, aux consommateurs comme aux entreprises, un environnement sain sur Internet et sur les réseaux sociaux. Rien, je dis bien rien, ne justifie que nous laissions nos smartphones devenir nos meilleurs ennemis.
"
