MP,Date,Language,Title,Url,Content
Gerolf ANNEMANS,2023-11-21,NL,Proposals of the European Parliament for the amendment of the Treaties (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-285-0000_NL.html,"  Gerolf Annemans,  namens de ID-Fractie. – Voorzitter, collega’s, vandaag beleven we het zoveelste hoofdstuk van de commedia dell’arte, die in het vakjargon van de Europese Uniefanaten in dit Parlement de “Conference on the Future of Europe” wordt genoemd.
Onze visie op deze federalistische draak is de volgende: deze zogenaamde Conferentie over de toekomst van Europa was een mislukking. Niet minder dan 13 lidstaten gaven reeds te kennen geen Verdragshervorming te willen op basis van de resultaten van deze nepconferentie. Zij verzetten zich tegen de bevindingen van de zorgvuldig geselecteerde zogenaamde burgerpanels, die op geen enkele manier representatief waren voor wat de burgers van de lidstaten werkelijk willen.
Deze conferentie was veeleer een federalistisch stukje komisch theater en was op geen enkele wijze de stem van de Europese bevolking die zou oproepen tot meer Europese Unie.
In bijna alle referenda voorafgaand aan het Verdrag van Lissabon werd het project van een sterkere Unie boven en los van de soevereiniteit van de lidstaten verworpen.
Wat we moeten doen, is vanaf nul herbeginnen en op het niveau van de Raad en in overeenstemming met de wensen van iedere lidstaat onderhandelen over een verdrag dat de lang vergeten subsidiariteit opnieuw instelt. Ongetwijfeld met uitgebreide opt—outmogelijkheden en een terugkeer van bevoegdheden naar de lidstaten.
Enkel zo zullen we de Europese samenwerking redden, dichter bij de burgers in plaats van de totaal wereldvreemde en gecentraliseerde EU-staat die de federalistische lobby in dit Parlement voor ogen heeft.
"
Gerolf ANNEMANS,2023-10-17,NL,Statement by the President,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-106-0000_NL.html,"  Gerolf Annemans,  namens de ID-Fractie. – Voorzitter, collega’s, met een grote droefheid en treurnis vernamen wij dat in de Belgische hoofdstad Brussel Zweden werden vermoord omwille van hun Zweedse afkomst. En het is met grote schaamte dat ik hier als Belgisch staatsburger moet wijzen op een falend beleid inzake immigratie.
België is een land waar je, als je er mag blijven, mag blijven, en als je er niet mag blijven, ook. Dus een land waarbij een radicale, levensgevaarlijke IS-strijder wiens asielaanvraag werd afgewezen, vervolgens zogenaamd ondergedoken toch ongestoord in België kon blijven, uitgerust met een woning en een geregistreerd motorvoertuig en uiteindelijk ook een oorlogswapen.
Een grote schaamte dus voor België en een oproep hier aan Europa: Alstublieft, word wakker voordat dit allemaal in een grote chaos eindigt!
"
Gerolf ANNEMANS,2023-10-03,NL,Situation in Nagorno-Karabakh after Azerbaijan’s attack and the continuing threats against Armenia (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-367-0000_NL.html,"  Gerolf Annemans (ID).   – Voorzitter, collega’s, als ik denk aan wat nu met Artsach gebeurt … Met militaire macht en de bedreiging van – en de herinnering aan – eeuwen van genocide en etnische zuivering de volledige Armeense bevolking in dat deel van de Kaukasus laten wegjagen, en dat omwille van gasleveringen zonder veel meer dan wat holle woorden laten gebeuren. De totale machteloosheid en de totale vernedering opleggen en laten opleggen aan de christelijke natie die Armenië in dat deel van de wereld is. Wetens en willens de andere kant opkijken, hoewel we vrezen dat de beide Ottomaanse autocraten Erdoğan en Aliyev in de verdere arrogante vertrappeling van Zuid—Armenië een eenheid zullen zoeken om hun imperium uit te breiden.
Als ik daar allemaal aan denk, dan schaam ik mij, want het Turkse lidmaatschap van de NAVO verblindt ons volledig. En iedere keer als ik Von der Leyen en de EU-elite nog hoor spreken over Europese waarden en mensenrechten, dan zal ik aan deze foto denken, aan Von der Leyen met een gascontract. Ik zal mij diep schamen in naam van Europa voor zoveel hypocrisie.
"
Gerolf ANNEMANS,2023-09-13,NL,State of the Union (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-047-0000_NL.html,"  Gerolf Annemans (ID).   – Voorzitter, collega’s, we wisten al na Brexit dat deze Commissie niet kalmerend zou optreden met het Europese gegeven, maar dat er integendeel een radicalisering zou optreden, een EU-fanatisme, een EU-extremisme dat nooit gezien was. En deze Commissie heeft hier vandaag nog eens onderstreept dat dat programma doorgaat.
U bent begonnen met bevoegdheden naar zich toe te trekken die niet aan u toebehoren: het onderwijs, de gezondheidszorg – dat hadden we al gezien.
U hebt bevestigd dat het immigratiepact verder doorgaat, dat wil dus zeggen meer immigratie, dat u ook op een uitbreidingsagenda staat die van de Europese Unie een imperium wil maken, en met de wankele groen-linkse meerderheid zet u hier verder nog die groene agenda door, die een ramp dreigt te worden voor landbouw, voor de industrie en voor het individueel vervoer van de burger, ook voor de huizenprijzen van de burger die de milieuvoorwaarden allemaal over hun nek gaan krijgen – ik laat het geknoei met de geldhoeveelheid en met de geldcreatie nog opzij. 
Deze Commissie voert dus eigenlijk een degrowth-programma uit naar communistisch voorbeeld – de Great Reset, die al in Davos was afgekondigd, komt u hier presenteren.
Deze Commissie moet dringend weg. Er moet een minder fanatieke, minder EU—extremistische Europese Unie komen, en ik hoop dus dat het uw afscheidstoespraak was.
"
Gerolf ANNEMANS,2023-09-12,NL,Composition of the European Parliament (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-014-0000_NL.html,"  Gerolf Annemans,  namens de ID-Fractie. – Voorzitter, ik wil er hier toch even aan herinneren hoe cynisch dit Parlement kan zijn. We hadden dat gisteren al gezien, met de installatie, na Qatargate, van een onder impuls van socialisten gecreëerd “Comité de salut public” dat hier zonder proportionaliteit en aangevuld door experten het gedrag van Parlementsleden gaat controleren. 
We zien dat ook vandaag. Ik wil er toch even aan herinneren dat in plaats van respect te hebben voor de belastingbetaler, en na Brexit al die Britse zetels terug te sturen naar de belastingbetaler, dat we van in het begin hebben geprobeerd om die zetels hier te houden. En gelukkig heeft de Raad – zeer terecht, overigens – transnationale lijsten verworpen, want anders waren al die Britse zetels hier gebleven. 
En ik herhaal: een gebrek aan respect voor de belastingbetaler en een vorm van cynisme die eigenlijk onaanvaardbaar is.
"
Gerolf ANNEMANS,2023-06-14,NL,"Preparation of the European Council meeting of 29-30 June 2023, in particular in the light of recent steps towards concluding the Migration Pact (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-14-INT-3-041-0000_NL.html,"  Gerolf Annemans (ID).   – Voorzitter, we spreken over de aankomende bijeenkomst van de Europese Raad. Ik citeer uit uw titel: “in het licht van de vooruitgang die onlangs is geboekt met betrekking tot de sluiting van het migratiepact”. Het gebruik van het begrip “vooruitgang” is, naar mijn oordeel en naar het oordeel van mijn partij, het Vlaams Belang, een hogere vorm van cynisme te noemen.
Wellicht denkt u in uw droomwereld, deze bubbel van groen-linkse zelfgenoegzaamheid, vooruitgang te boeken in de richting van uw einddoel: een hemel van een migratiepact dat de grenzen onbeperkt openhoudt voor de bevolkingsaanwas uit de hele wereld, terwijl de legale en illegale instroom zonder onderscheid over het hele continent wordt uitgesmeerd en lidstaten die dit spel niet meespelen, worden bestraft. U beseft echter niet dat u niet meer spreekt namens een steeds groter wordende groep mensen uit alle lidstaten die dit spel zo grondig beu is dat honderdduizenden van hen zich van het Europees Parlement afkeren, omdat ze vinden dat u ons continent in sneltempo cultureel laat wegzakken onder migratie. Dit is in hun ogen geen vooruitgang, maar een achteruitgang zonder weerga in onze geschiedenis.
Wij spreken namens deze grote groep en zullen de kiezers vragen hierover een oordeel te vellen.
"
Gerolf ANNEMANS,2023-05-31,NL,Breaches of the Rule of law and fundamental rights in Hungary and frozen EU funds (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-31-INT-1-143-0000_NL.html,"  Gerolf Annemans (ID).   – Voorzitter, of een Europese samenwerking ooit in oorsprong bedoeld is geweest om ook een of ander maatschappijmodel aan de lidstaten op te leggen, daar hoeft zelfs geen discussie over te bestaan. Neen, dat was niet de bedoeling van de Europese samenwerking. De bedoeling was meer stabiliteit en welvaart te brengen, en dan nog heel terughoudend. Een eenheid in verscheidenheid moest het worden. Want in die Europese verscheidenheid zat juist de kracht van wat als geheel een superieure beschaving had opgeleverd, met een sociale en welvarende economie erbovenop.
Nu Hongarije willen uitsluiten van het beurtsysteem om de Raad te kunnen voorzitten, getuigt van een welhaast neocommunistische en centralistische arrogantie, ten aanzien van een land nog wel dat als eerste de stappen heeft gezet om zich te bevrijden van de Sovjet—Unie, waarin wij als West-Europeanen heel Oost-Europa uit lafheid hebben achtergelaten na de Wereldoorlog.
Afschuw heb ik voor dit voorstel.
"
Gerolf ANNEMANS,2023-04-19,NL,Digital euro (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-19-INT-3-226-0000_NL.html,"  Gerolf Annemans (ID).   – Voorzitter, de redenen waarom de Europese Centrale Bank deze digitale euro wil invoeren, kaderen volgens ons niet in de verschillende drogredenen die er door de Europese elite voor worden aangedragen, maar kaderen in de verdere stappen die we als burgers het afgelopen decennium door onze overheden hebben zien zetten in de richting van de absolute controlemaatschappij.
Vandaag hier wordt deze digitale munt met een politieke beslissing, nog meer dan voordien met de euro, een munt die om politieke redenen wordt ingevoerd. Dat deze digitale munt nodig is om de verstorende marktwerking van Facebook en Mastercard voor te blijven, is een drogreden, want dat kan op andere manieren aan banden worden gelegd. Dat het faillissement van een commerciële bank ingevolge een bankencrisis erdoor in de greep wordt gehouden, is een drogreden omdat daarvoor toezichts- en afwikkelingsmechanismes bestaan. Dat de euro en de digitale euro naast elkaar zullen blijven bestaan, is een drogreden, want een eenvoudige nieuwe politieke beslissing kan daaraan een einde maken. En criminelen moeten door een efficiëntere overheid rechtstreeks aangepakt worden, niet via een totalitaire supercontrole op het leven van alle burgers. 
Kortom, er is veel meer reden om te vrezen dat deze nieuwe en in essentie programmeerbare overheidsgecontroleerde munt het gevaar inhoudt van een controle op niet alleen de inkomsten, maar ook de uitgaven. Net als een account op sociale media zal een politieke munt als deze uw gedrag en uw mening via uw uitgaven kunnen beperken of schrappen met één druk op de knop. De hier gisteren goedgekeurde CO2-boetes voor stoute burgers zullen meteen kunnen worden geïnd door Timmermans en zijn opvolgers.
Wakkere burgers die de vrijheid, la liberté, die Freiheit, the freedom in het hart dragen, wijzen deze munt af. En ik eindig met deze waarschuwing uit George Orwells Animal Farm:
‘These people don’t see that if you encourage totalitarian methods, the time may come when they will be used against you instead of for you.’
"
Gerolf ANNEMANS,2023-02-15,NL,European Central Bank - annual report 2022 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-02-15-INT-3-249-0000_NL.html,"  Gerolf Annemans,  namens de ID-Fractie. – Voorzitter, dit jaarverslag over de ECB behoort tot de vele obligate nummertjes die in dit halfrond worden opgevoerd om de instellingen overeind te houden door een blanco cheque uit te delen met de goedkeuring van het Parlement. Even obligaat zijn in dit verslag zinnen verwerkt waarin het Parlement “zijn bezorgdheid uit”, dit jaar meer bepaald over de historisch hoge inflatie, die zoveel Europeanen in de misère duwt.
Laten we elkaar in de ogen kijken en nagaan waar deze inflatie vandaan komt. Deze inflatie is het gevolg van een geldcreatie waarvan wij dit jaar de tiende verjaardag vieren. De euro is een onnatuurlijke munt, die gecreëerd is om politieke redenen, met louter politieke criteria en tegen de wetenschappelijke vragen in of één muntzone wel geschikt is voor landen en entiteiten die economisch zo ver uit elkaar liggen.
De elite van de Europese Unie, de meerderheid in het Parlement, heeft niettemin volgehouden om meer politieke eenheid te kunnen afdwingen en het begrotings-, het economisch en zelfs het sociaal beleid van de lidstaten te kunnen bepalen. De munt is een wurginstrument van deze eenheidsstaat. Toen deze onnatuurlijke munt begon te destabiliseren, hebt u bij Mario Draghi aangeklopt om koste wat het kost geld in dit systeem te pompen. Nu is er geen weg terug en tracht u met de verhoging van de rente weer greep te krijgen op de situatie.
De burgers van de Unie zijn de slachtoffers van dit verhaal. Uw politieke dromen over een eengemaakt Europa hebben hen in een monetair en economisch moeras gesleurd.
"
Gerolf ANNEMANS,2022-11-23,NL,A truly interconnected Energy Single Market to keep bills down and companies competitive (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-11-23-INT-3-128-0000_NL.html,"  Gerolf Annemans,  namens de ID-Fractie. – Voorzitter, als het niet zo ernstig was, dan zou ik het belachelijk kunnen noemen: de manier waarop u hier, dames en heren van de politiek correcte meerderheid in het Europees Parlement, bij iedere crisis allemaal collectief op het toneel springt om te roepen dat de enige oplossing voor de crisis meer macht voor de Europese Unie is. We zien dit nu in feite al sinds het begin van de eeuw. Hebben we een bankencrisis of financiële crisis? Hopla, de Capital Market Union. Hebben we een migratiecrisis? Hopla, het migratiepact met de open grenzen van de Europese Unie. Hebben we een coronacrisis? Hopla, een eengemaakte bevoegdheid voor volksgezondheid. 
Zelfs de verdragen en de afspraken tellen niet meer. En altijd maar meer en meer. Nooit eens minder. Nooit een terugkeer van macht naar de lidstaten. Het is in uw hoofden een religieus dogma geworden. Zelfs vandaag, bij een energieprijzencrisis die u grotendeels door groene dogma’s en naïviteit inzake Rusland zelf hebt veroorzaakt, moet die crisis dienen voor de truly interconnected Energy Single Market. Ik zeg het nog eens: als uw machtshonger niet zo dramatisch was voor de vrijheid van onze lidstaten en het welzijn van onze burgers, zouden we die belachelijk noemen. Stop daarmee. 
"
