MP,Date,Language,Title,Url,Content
Gianantonio DA RE,2023-11-22,IT,"Latest attacks against women and women's rights defenders in Iran, and Iran's arbitrary detention of EU nationals",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-408-0000_IT.html,"  Gianantonio Da Re (ID).   – Signora Presidente, onorevoli colleghi, è trascorso ormai più di un anno dalla morte di Mahsa Amini, la giovane donna iraniana di origine curda che la cosiddetta ""polizia morale"" dell'Iran aveva arrestato per non aver rispettato l'obbligo di indossare il velo. Da allora le donne iraniane hanno dato vita a una delle più grandi proteste contro il regime iraniano, che ad oggi ha causato almeno 500 morti e 20 000 arresti. 
Tra le persone arrestate ci sarebbero anche dei cittadini europei, tra cui due italiani, che il regime iraniano ritiene colpevoli di essere stati coinvolti o di essere stati nei luoghi delle manifestazioni a ricordo di Mahsa Amini. 
L'Unione europea condanni fermamente il regime iraniano e non scenda a compromessi con chi si rende colpevole di gravi violazioni dei diritti umani: l'Europa, culla della democrazia e dei principi inviolabili dell'uomo, sia a fianco e supporti il popolo iraniano senza alcun indugio. 
"
Gianantonio DA RE,2023-11-20,IT,One-minute speeches on matters of political importance,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-240-0000_IT.html,"  Gianantonio Da Re (ID).   – Signor Presidente, onorevoli colleghi, in linea con quanto sta avvenendo a livello globale, il territorio montano nel nord-est dell'Italia ha subito la perdita di 4 milioni di metri cubi di legname e altri 2 milioni sono stati abbattuti dal bostrico.
La Regione Veneto è la prima regione italiana per addetti a fatturato nel settore del mobile: conta quasi 8 400 imprese, con oltre 46 000 addetti. Il comparto è danneggiato, non solo dalla perdita di materia prima, ma anche dall'invasione di semilavorati di legno cinese, che entrano nel mercato europeo senza rispettare criteri e regole, creando concorrenza sleale nei confronti dei nostri produttori. 
L'Unione europea intervenga per impedire l'immissione di tali prodotti e supportare la competitività delle nostre aziende. L'Europa valorizzi il prodotto europeo e riconosca il valore dell'artigianato e della nostra piccola grande impresa. 
"
Gianantonio DA RE,2023-11-08,IT,One-minute speeches on matters of political importance,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-08-INT-1-273-0000_IT.html,"  Gianantonio Da Re (ID).   – Signora Presidente, onorevoli colleghi, in questi ultimi giorni l'Italia è stata devastata dal forte maltempo, che ha provocato purtroppo numerose vittime, dispersi, famiglie sfollate, nonché ingenti danni economici.
In Veneto e in Friuli Venezia Giulia, come in Toscana, si sono registrati danni per centinaia di milioni di euro, sia in montagna, con frane e smottamenti, sia lungo i litorali, dove si rende ora necessario il ripristino delle spiagge e con esso il turismo.
È necessario un intervento rapido ed efficace da parte dell'Europa tramite l'attivazione del Fondo di solidarietà, a supporto degli enti regionali e, in particolare, delle piccole realtà locali sempre in prima linea nel prevenire, affrontare e reagire a queste catastrofi naturali.
La salvaguardia del territorio è fondamentale per lo sviluppo e la tutela delle nostre comunità. Come fanno sempre i nostri piccoli comuni, anche l'Europa faccia la propria parte.
"
Gianantonio DA RE,2023-10-18,IT,"Outcome of the SDGs Summit (18-19 September 2023, New York) – transformative and accelerated actions leading up to 2030 and beyond (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-277-0000_IT.html,"  Gianantonio Da Re,  a nome del gruppo ID. – Signor Presidente, onorevoli colleghi, il vertice dei leader mondiali sugli obiettivi climatici, che si è tenuto a New York lo scorso settembre, si è concluso con un fallimento.
La dichiarazione finale emersa dal vertice infatti è una presa di coscienza lapidaria: gli obiettivi per la lotta al cambiamento climatico non verranno raggiunti nel 2030, e neppure nel 2050, evidenziando come, per compiere progressi a livello nazionale e globale, siano necessari approcci radicalmente nuovi, che valorizzano le conoscenze locali e il coinvolgimento delle associazioni imprenditoriali e industriali.
La tutela dell'ambiente non può essere affidata a un isterismo verde, che porta al fallimento dell'economia delle nostre aziende europee. Lotta al cambiamento climatico sì, ma con intelligenza e tempi compatibili con lo sviluppo tecnologico. 
L'Europa non può essere la sola a combattere il cambiamento climatico.
"
Gianantonio DA RE,2023-10-18,IT,Rule of Law in Malta: 6 years after the assassination of Daphne Caruana Galizia and the need to protect journalists (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-310-0000_IT.html,"  Gianantonio Da Re,  a nome del gruppo ID. – Signora Presidente, onorevoli colleghi, il 16 ottobre 2017 la giornalista maltese Daphne Caruana Galizia viene uccisa da un'esplosione provocata da una bomba collocata nella sua auto. Un omicidio che vede una giornalista pagare con la vita per le inchieste di corruzione del proprio governo: denunciava traffici legati a migranti, armi, petrolio e finanza.
La Commissione europea, sempre molto attenta a richiamare l'Italia in caso di violazione dello Stato di diritto, sembra essersi dimenticata del governo maltese, che nulla ha fatto per consegnare alla giustizia tutti i responsabili dell'omicidio e tutelare la libertà di stampa. A sei anni di distanza, la famiglia di Daphne Caruana e tutti i cittadini europei attendono risposte su questo barbaro omicidio.
L'Unione europea non giri le spalle alla giustizia e intervenga efficacemente nella salvaguardia della democrazia, della libertà di informazione e dello Stato di diritto.
"
Gianantonio DA RE,2023-10-16,IT,One-minute speeches on matters of political importance,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-16-INT-1-213-0000_IT.html,"  Gianantonio Da Re (ID).   – Signora Presidente, onorevoli colleghi, in base ai dati diffusi dal ministero dell'Interno italiano, i migranti arrivati in Italia dall'inizio dell'anno sono 115 000: un aumento degli arrivi rispetto al 2022 del 115 %.
Il sistema di accoglienza italiano è ormai al collasso. Dov'è la tanto decantata solidarietà europea? Dove sono la Francia, l'Austria e, in particolare, la Germania che, anziché aiutare l'Italia, preferisce sovvenzionare le ONG per incentivare l'arrivo di migranti sulle coste italiane? Scusate, ma quando un migrante approda a Lampedusa sbarca solo in Italia o anche in Europa?
Pretendiamo una solidarietà europea che sia rapida, efficace e concreta. La gestione della politica migratoria è un problema europeo e come tale va affrontato. Se l'Unione europea esiste, questo è il momento di dimostrarlo.
"
Gianantonio DA RE,2023-10-03,IT,European Media Freedom Act (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-086-0000_IT.html,"  Gianantonio Da Re (ID).   – Signora Presidente, onorevoli colleghi, la proposta di regolamento per la libertà dei media mira a stabilire norme comuni per disciplinare il funzionamento del mercato interno dei servizi di informazione. Un progetto ambizioso per la tutela del pluralismo dei media nel mercato unico europeo, che prevede però l'istituzione di un ente europeo di controllo, a discapito degli enti nazionali.
È evidente e chiaro il tentativo di interferenza delle istituzioni europee nell'ambito della libera informazione nazionale, che andrebbe a imporre ulteriori vincoli alle politiche nazionali, prevedendo, in caso di non rispetto di Bruxelles, anche l'avvio di procedure di infrazione.
Non accetteremo nessuna interferenza, nessun bavaglio da parte dell'Unione europea, perché la libertà di stampa è il principio basilare della nostra democrazia.
"
Gianantonio DA RE,2023-07-10,IT,One-minute speeches on matters of political importance,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-10-INT-1-230-0000_IT.html,"  Gianantonio Da Re (ID).   – Signora Presidente, onorevoli colleghi, da alcune settimane l'Europa assiste inerme alle violente proteste che si sono scatenate in Francia a seguito dell'uccisione del ragazzo nell'ambito del controllo di polizia.
La rabbia e l'aggressività, sfociate in saccheggi e vandalismi, sembrano essere lo sfogo di una società ormai basata solo su tensioni fra diverse etnie, derivanti da una immigrazione incontrollata e da una convivenza imposta dalle urgenze storiche.
L'Europa riconosca i palesi errori commessi sulla gestione dei flussi migratori, provocati dal lassismo giudiziario, e si attivi per adottare una politica migratoria comune e condivisa, basata innanzitutto sulla tolleranza zero per chi non rispetta le leggi degli Stati membri e dell'Unione europea.
"
Gianantonio DA RE,2023-05-09,IT,Start of the European Year of skills (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-09-INT-2-396-0000_IT.html,"  Gianantonio Da Re,  a nome del gruppo ID. – Signora Presidente, onorevoli colleghi, la Commissione europea ha adottato la proposta di fare del 2023 l'anno europeo delle competenze, con l'obiettivo di migliorare la formazione dei cittadini europei.
Ben venga l'attenzione dell'Europa per una forza lavoro qualificata, che significa rafforzare la competitività delle imprese europee, in particolare delle nostre piccole e medie imprese.
L'obiettivo di migliorare e aumentare le competenze non deve però rimanere sulla carta, ma deve tradursi in adeguati investimenti nella formazione di tutti i cittadini europei, in particolare dei giovani con disabilità che più di tutti hanno subito gli effetti negativi della pandemia, con un aumento delle discriminazioni e disinclusione socioeconomica.
L'attenzione alla formazione, che è alla base della crescita economica dell'Europa, deve andare ben oltre il 2023 e deve riguardare tutti, nessuno escluso, perché la disabilità non conosce scadenze temporali.
È essenziale dare la giusta valorizzazione a quei cittadini che contribuiscono con il loro pensiero alla crescita della società europea, esempio di democrazia per tutti. Il mondo della disabilità va aiutato e questo è l'anno giusto.
"
Gianantonio DA RE,2023-05-08,IT,One-minute speeches on matters of political importance,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-08-INT-1-200-0000_IT.html,"  Gianantonio Da Re (ID).   – Signor Presidente, onorevoli colleghi, lo scorso 4 maggio il ministro dell'Interno francese ha affermato che la Presidente del Consiglio dei ministri, Giorgia Meloni, sarebbe incapace di risolvere i problemi migratori dell'Italia.
Parole inaccettabili e vergognose da parte del governo francese che, pur essendo sempre pronto a dare lezioni di accoglienza agli altri Paesi, non ha esitato a inviare 150 poliziotti supplementari al confine italiano per contrastare la pressione migratoria.
A quanto pare, per il governo francese il principio di solidarietà vale solo sulla carta e solo quando porta un vantaggio al proprio Paese; un atteggiamento ipocrita che ha portato a un attacco ingiusto all'Italia, che sta gestendo da sola il fenomeno migratorio.
Presidente Macron, l'Italia non prende lezioni da chi è pronto a respingere al confine donne e bambini, ma non esita a ospitare i terroristi che dovrebbero tornare nelle galere italiane.
"
Gianantonio DA RE,2023-04-17,IT,One-minute speeches on matters of political importance,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-17-INT-1-244-0000_IT.html,"  Gianantonio Da Re (ID).   – Signor Presidente, l'11 aprile il governo italiano ha dichiarato lo stato di emergenza nazionale sui migranti, una decisione dettata dall'eccezionale incremento degli arrivi sulle coste italiane, che ha visto dall'inizio dell'anno oltre 32 000 sbarchi, quattro volte in più rispetto al 2022.
Sulla gestione del fenomeno migratorio l'Italia sta facendo la sua parte, l'Unione europea dov'è e cosa ha fatto? Di sicuro ha fallito: ricordiamo l'accordo nefasto siglato nel 2016 con la Turchia per fermare il flusso dei migranti, un patto costato oltre 10 miliardi che non ha portato ad alcun risultato.
Sull'emergenza migranti l'Italia non ha bisogno della solidarietà a parole, ma di un intervento rapido e concreto da parte di un'Europa che deve assumersi le responsabilità di un problema che è europeo.
Se esiste l'Unione europea è il momento di dimostrarlo. Al contrario, assisteremo all'ennesimo fallimento di un progetto comune che non ha più ragione di essere.
"
