MP,Date,Language,Title,Url,Content
Gianna GANCIA,2023-11-08,IT,Type-approval of motor vehicles and engines with respect to their emissions and battery durability (Euro 7) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-08-INT-1-228-0000_IT.html,"  Gianna Gancia (ID).   – Signor Presidente, onorevoli colleghi, oggi ci troviamo di fronte a una scelta cruciale, quella tra il buon senso e l'ideologia.
La proposta Euro 7, come presentata dalla Commissione europea, rischia di soffocare il nostro settore automobilistico. Sosteniamo con forza il compromesso raggiunto in commissione ENVI per garantire un ambiente più pulito, ascoltando le esigenze dell'industria e quindi salvaguardando l'occupazione. Il Consiglio dell'Unione, con il sostegno dell'Italia, ha raggiunto un accordo che rafforza questo compromesso.
Per questo rimarremo fermi nel rifiutare ogni emendamento che vorrà rendere questo testo maggiormente punitivo.
"
Gianna GANCIA,2023-09-12,IT,Ambient air quality and cleaner air for Europe (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-203-0000_IT.html,"  Gianna Gancia,  a nome del gruppo ID. – Signor Presidente, onorevoli colleghi, desidero subito dire che la qualità dell'aria, il miglioramento della qualità dell'aria e la lotta all'inquinamento sono delle priorità assolute. 
Desidero però sottoporvi la nostra preoccupazione per quel che riguarda il fatto che non sono state prese in considerazione le morfologie e la geografia di alcune regioni, cito per esempio la Padania oppure la Catalogna o i Paesi Bassi – ce ne sono altre che potrei citare – e quindi rivendico assolutamente, e vi chiedo di prendere in considerazione, la nostra posizione di minoranza che presenta alcuni punti critici della proposta della Commissione.
Infatti, tale proposta si basa su una valutazione d'impatto viziata da errori strutturali che incidono sulla fattibilità del conseguimento dei limiti proposti a causa dell'utilizzo di modelli di simulazione che sottovalutano i valori effettivi forniti dai punti di campionamento nel 2020. L'abbassamento dei valori proposto dal relatore non sarebbe pertanto realizzabile neppure con l'applicazione delle migliori tecnologie a disposizione. Vi chiediamo davvero, quindi, di prendere in considerazione le nostre reali condizioni.
"
Gianna GANCIA,2023-05-10,IT,Fighting cyberbullying of young people across the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-10-INT-3-400-0000_IT.html,"  Gianna Gancia (ID).   – Signor Presidente, signora Commissaria, onorevoli colleghi, innanzitutto un saluto alla mamma coraggiosa di Coco.
Il miglior modo per affrontare il fenomeno del cyberbullismo è innanzitutto definirlo una piaga sociale: quando parliamo di cyberbullisimo, la tendenza è a concentrarsi unicamente su chi subisce il gesto, senza soffermarci sui molteplici aspetti di un fenomeno enormemente complesso.
Il cyberbullismo ci obbliga ad andare, anche giuridicamente, oltre la classica distinzione tra vittima e carnefice, perché la varietà di formati offerti da una miriade di applicazioni e di piattaforme comporta il ramificarsi e il differenziarsi di questo fenomeno.
Gli effetti a breve e medio termine del cyberbullismo sono sotto gli occhi di ognuno di noi e dobbiamo ora anche prevedere che questo potrà verosimilmente accadere nel metaverso.
È fondamentale pensare a pene severe, pene severe per far sì che questa strategia europea di lotta al fenomeno sia efficace. Lo sappiamo, è un obiettivo ambizioso e ci pone una progettualità a lungo termine. Per questo dobbiamo coinvolgere tutti gli attori chiamati in causa: ragazzi, famiglie, scuole, istituzioni e giganti del tech.
Il nostro obiettivo non è solo un obiettivo educativo, noi stiamo parlando di una questione di civiltà.
"
Gianna GANCIA,2023-05-10,IT,Adequacy of the protection afforded by the EU-U.S. Data Privacy Framework (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-10-INT-3-433-0000_IT.html,"  Gianna Gancia,  a nome del gruppo ID. – Signor Presidente, signor Commissario, onorevoli colleghi, riteniamo che sia fondamentale stabilire standard di trasparenza e privacy a protezione dei cittadini europei che siano il più rigorosi possibile.
Non possiamo scendere a compromessi sui temi dei diritti umani e delle libertà individuali. I dati sensibili sono un'arma e una risorsa non solo economica, quindi, Commissario, è opportuno raggiungere i massimi obiettivi in materia di protezione dei cittadini europei.
Solo così saremo certi di agire nell'interesse di tutti i cittadini europei.
"
Gianna GANCIA,2023-04-19,IT,"Keeping people healthy, water drinkable and soil liveable: getting rid of forever pollutants and strengthening EU chemical legislation now (topical debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-19-INT-3-145-0000_IT.html,"  Gianna Gancia (ID).   – Signora Presidente, signora Commissaria, colleghi, credo che questo sia un momento importantissimo per quel che riguarda il nostro futuro. È evidente che ci sono delle azioni contrastanti per quel che riguarda le industrie e talvolta l'interesse pubblico, salute, suolo.
Ritengo che dobbiamo cambiare assolutamente paradigma: non deve essere più il denaro il motore delle nostre scelte, ma una visione che dobbiamo dare ai nostri figli e alle generazioni future. Quindi, solo garantendo una strategia europea fondata – come Lei ha ricordato, signora Commissaria – su evidenza scientifica, coerenza, sinergie con ambiente, lavoro, sostanze chimiche, acqua, suolo e rifiuti potremo assicurare la piena attuazione di quello che la Commissione si propone.
Eliminare una volta per tutte le sostanze chimiche eterne dal ciclo produttivo europeo è innanzitutto una battaglia di civiltà. La garanzia di vivere in un ambiente pulito e al contempo tutelare la salute pubblica è la sfida non del prossimo decennio, ma del prossimo secolo.
"
Gianna GANCIA,2023-03-14,IT,EU-Armenia relations (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-14-INT-2-482-0000_IT.html,"  Gianna Gancia (ID).   – Signora Presidente, signor Commissario, onorevoli colleghi, oggi discutiamo della relazione UE-Armenia e della situazione in Nagorno-Karabakh. Come giustamente sottolineato nella risoluzione, Stato di diritto, diritti umani e libertà fondamentali sono valori comuni di democrazia e l'Unione europea deve ancora affrontare alcune questioni importanti riguardanti la stabilità e la sicurezza della regione. 
È preoccupante constatare la mancanza di leadership dimostrata dall'Unione europea durante e subito dopo la guerra del 2020. Siamo qui per promuovere una regione del Caucaso meridionale sicura, stabile, pacifica e prospera, e l'Unione europea deve assumersi la responsabilità di essere un attore importante in questo processo. 
La situazione del Nagorno Karabakh rimane precaria con il blocco del corridoio di Lachin che rappresenta un grave ostacolo per la libertà di movimento e la sicurezza umana nella regione. In conclusione, l'Unione europea deve fare tutto il possibile per promuovere la sicurezza e la stabilità nella regione meridionale. 
"
Gianna GANCIA,2022-11-23,IT,The future European Financial Architecture for Development (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-11-23-INT-3-331-0000_IT.html,"  Gianna Gancia (ID).   – Signor Presidente, onorevoli colleghi, oggi quando parliamo di contesto finanziario nella cooperazione allo sviluppo, siamo costretti a riconoscere un'amara realtà.
Il fatto che in molti Stati membri si rimbalzi sull'immigrazione e ci siano anche delle discussioni così stupide tra Stati credo che derivi proprio dal fatto che non si parte da un'evidenza di fatto e dalla realtà. Gli esseri umani, gli uomini, finché avranno fame e dovranno scappare dalla sete, dalla fame, purtroppo dalla guerra e da qualunque altro bisogno primario, è sicuro che cercheranno la sopravvivenza loro e dei propri figli e quindi anche un porto sicuro in Europa.
Il fatto che ci apprestiamo a votare questo testo, che è una relazione equilibrata e puntuale, approvata all'unanimità in sede di Commissione, è proprio perché siamo consapevoli che occorre un maggiore sviluppo, una maggiore cooperazione proprio...
(Il Presidente ritira la parola all'oratrice)
"
Gianna GANCIA,2022-06-08,IT,"The human rights situation in Xinjiang, including the Xinjiang police files",https://www.europarl.europa.eu/doceo/document/CRE-9-2022-06-08-INT-3-320-0000_IT.html,"  Gianna Gancia (ID).   – Signora Presidente, onorevoli colleghi, signor Commissario, ""sparategli a vista"": sono queste le parole d'ordine della polizia cinese nei campi di rieducazione forzata per gli uiguri. Le scioccanti rivelazioni sulla politica totalitaria di persecuzione di questa minoranza in Cina non ci lasciano più dubbi. Per anni il regime di Pechino ha cercato di nascondere quello che da tanto tempo anche noi qui in Europa denunciamo.
Ora che le prove sono evidenti e non lasciano più spazio ad alcun tentennamento. L'Unione europea deve spingersi verso una politica di disaccoppiamento dal regime comunista. Basta fare affari con chi ha le mani sporche di sangue! Torniamo quindi a privilegiare le nostre relazioni economiche e diplomatiche con quelli che sono i nostri alleati da sempre: gli Stati Uniti, l'Alleanza atlantica e l'Occidente libero e democratico.
"
Gianna GANCIA,2022-05-04,IT,Use of the Pegasus Software by EU Member States against individuals including MEPs and the violation of fundamental rights (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-05-04-INT-3-243-0000_IT.html,"  Gianna Gancia (ID).   – Signor Presidente, onorevoli colleghi, la vicenda dello spyware Pegasus rappresenta prima di tutto un problema di credibilità per l'Europa, per i suoi valori e i suoi diritti, quelli che vorremmo difendere e quindi i diritti, i valori della democrazia europea e anche dei suoi governi. 
Diciamo la verità, chi avrebbe dovuto vigilare sul rispetto della privacy e dell'integrità dei dati dei propri cittadini evidentemente non l'ha fatto. Sono state messe su commissioni d'inchiesta anche da parte di alcuni governi nazionali, ma non hanno sortito alcuna conclusione. E diciamolo è ancora più grave che anche dei nostri colleghi qui dentro e così le loro famiglie hanno subito lo stesso trattamento. 
Questo è un attacco alla democrazia europea. Lo spyware Pegasus non può essere derubricato a incidente di percorso. Per tutti questi motivi io auguro davvero di cuore un buon lavoro alla commissione d'inchiesta su Pegasus del Parlamento europeo. Non abbiamo e non avremo democrazia senza il rispetto dei nostri valori che purtroppo sono stati lesi. 
"
Gianna GANCIA,2022-04-06,IT,Global approach to research and innovation: Europe’s strategy for international cooperation in a changing world (debate) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-04-06-INT-3-122-0000_IT.html,"  Gianna Gancia,  a nome del gruppo ID. – Signora Presidente, signora Commissaria, onorevoli, colleghi, oggi in varie parti del mondo la libertà di ricerca è sempre più minacciata. Secondo l'ultimo rapporto ONU del luglio 2020, l'autonomia universitaria e le riduzioni dei fondi per l'istruzione superiore sono all'ordine del giorno in diverse parti del mondo.
In Iran, Turchia, Egitto, Pakistan le violazioni sono costanti e portano spesso all'allontanamento di insegnanti e ricercatori non allineati con il pensiero politico e religioso dominante.
Noi europei non dobbiamo però credere erroneamente di essere al riparo: il pluralismo delle opinioni e la libertà di ricerca sono stati due pilastri nella costruzione dell'identità europea e delle sue istituzioni democratiche. Perché la Storia non torni indietro, dobbiamo riconoscere le minacce interne ed esterne ed agire prontamente per allontanarle. Manteniamo alta la guardia.
"
Gianna GANCIA,2021-03-09,IT,Activities of the European Ombudsman – annual report 2019 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2021-03-09-INT-2-166-0000_IT.html,"  Gianna Gancia,  a nome del gruppo ID. – Signora Presidente, onorevoli colleghi, ringrazio il Mediatore europeo per essere qui oggi. Sono sempre convinta che la sua figura istituzionale rivesta grande importanza per i cittadini europei.
Come relatrice ombra della relazione sulle attività del Mediatore europeo nel 2019, ho apprezzato molto l'impegno profuso dalla signora O'Reilly nel garantire piena disponibilità a collaborare e comunicare in modo trasparente con il Parlamento europeo, vero organo cardine e garante del rispetto delle prerogative degli europei. In particolare ho apprezzato, e metterei proprio il punto sull'attenzione che Lei ha dedicato al fenomeno delle revolving doors, che è un punto sul quale dobbiamo continuare sempre a tenere alto il livello di attenzione.
In particolare continuiamo poi a lavorare per garantire a ogni singolo cittadino europeo la possibilità di potersi sentire coinvolto appieno nel processo di unificazione europeo, che con questa legislatura vede un avviarsi ancora più deciso e importante. Quindi, signora O'Reilly, ogni Suo sforzo per garantire la maggiore trasparenza possibile e il pieno rispetto dei cittadini europei troverà sempre l'appoggio mio personale e del nostro gruppo.
Non dimentichiamoci che la democrazia si nutre di un equilibrio delicato e spetta a noi, rappresentanti dei cittadini, concretizzare questo principio.
"
Gianna GANCIA,2020-12-17,IT,"Iran, in particular the case of 2012 Sakharov Prize laureate Nasrin Sotoudeh",https://www.europarl.europa.eu/doceo/document/CRE-9-2020-12-17-INT-4-141-0000_IT.html,"  Gianna Gancia (ID).   – Signora Presidente, onorevoli colleghi, Commissione, Nasrin Sotoudeh, Ahmad Reza Jalali: i loro nomi sono un monito per noi europei. La loro vita è appesa a un filo e ogni giorno può essere l'ultimo, così come può esserlo per migliaia di oppositori politici e membri dell'opinione pubblica detenuti nelle carceri iraniane.
Noi dobbiamo dare voce anche a quelli che la voce non ce l'hanno più: 30 000 prigionieri politici massacrati nel 1988, 1 500 dimostranti assassinati nel novembre 2019. Tutto questo non può lasciarci indifferenti: il regime degli ayatollah continua a rifiutare di applicare le sessantasette risoluzioni delle Nazioni Unite sui diritti umani nel paese. Non è accettabile. Teheran continua a negare le evidenze, a disattendere gli impegni presi, a violare i trattati internazionali, non solo in materia di diritti umani.
L'Unione europea deve spingersi oltre il regime delle sanzioni, mettendo in campo ogni mezzo diplomatico affinché venga istituita una commissione d'inchiesta internazionale sul massacro del 1988 e si ponga fine a questo incredibile terrorismo.
"
Gianna GANCIA,2020-01-30,IT,"Common charger for mobile radio equipment (RC-B9-0070/2020, B9-0070/2020, B9-0072/2020, B9-0074/2020, B9-0075/2020, B9-0076/2020, B9-0085/2020)",https://www.europarl.europa.eu/doceo/document/CRE-9-2020-01-30-INT-2-207-0000_IT.html,"  Gianna Gancia (ID).   – Signora Presidente, non ho espresso voto favorevole alla risoluzione relativa alla possibilità di normare la produzione di caricabatterie per le apparecchiature radiomobili, per esempio come i nostri smartphone, in quanto sono convinta che ciò vada a ledere la libertà di scelta del consumatore.
Inoltre, lasciatemi esprimere cortesemente una considerazione di metodo. L'Unione europea, se vuole assumere un ruolo di leadership nello scacchiere geopolitico, deve rendersi conto che il suo ruolo non è quello di interferire nella libera iniziativa di coloro che sono i veri produttori di ricchezza – e sto parlando delle imprese – bensì di abbattere gli ostacoli che si frappongono alla circolazione di idee e merci europee. Pertanto, cerchiamo di non inseguire i falsi idoli del populismo ambientalista, ma imbocchiamo la via che porta alla salvaguardia dell'ambiente mediante politiche fondate sull'evidenza e sul metodo scientifico. 
"
Gianna GANCIA,2019-07-17,IT,Humanitarian assistance in the Mediterranean (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2019-07-17-INT-3-153-0000_IT.html,"  Gianna Gancia (ID).   – Signora Presidente, onorevoli colleghi, è ovvio, lo dimostrano anche questi dibattiti, l'Unione europea si è dimostrata incapace di adottare un approccio coerente e condiviso di fronte alla crisi migratoria, fenomeno strutturale che è figlio dei contesti economici e sociali dell'Africa subsahariana. 
C'è un paradosso. Il paradosso è che, di fronte a un problema strutturale – lo ribadisco – che rischia di diventare una catastrofe umanitaria mondiale, l'Unione europea continua ad operare in uno stato di emergenza. Ricordiamoci l'avanzamento del riscaldamento globale e la crescita demografica del continente africano, che tra pochi anni esploderà. 
Anziché fare come si è fatto finora, l'Unione europea deve adottare una visione politica lungimirante che si muova in due direzioni. Primo, le istituzioni europee devono attivare con ogni strumento legislativo e di pressione politica nel minor tempo possibile una riforma organica del regolamento Dublino III nel rispetto dei principi di solidarietà e condivisione equa di responsabilità. 
Secondo, l'Unione europea si deve ergere garante della stabilità geopolitica del Nordafrica e parallelamente contribuire al perseguimento di uno sviluppo sostenibile e giusto nei paesi di provenienza. 
"
Gianna GANCIA,2024-02-08,IT,Working conditions of teachers in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2024-02-08-INT-4-036-0000_IT.html,"  Gianna Gancia,  a nome del gruppo ID. – Signor Presidente, onorevoli colleghi, signora Commissaria, ormai da tempo si parla di crisi di sistemi educativi, senza però mai voler ammettere che il problema è a monte e nasce anche dalla formazione e dalle condizioni di lavoro degli insegnanti.
Mancanza di attrattività della professione del docente, mancanza di programmi omogenei di formazione continua, un disequilibrio importante a livello sia geografico che didattico, la non corrispondenza tra la domanda e l'offerta degli insegnanti, senza poi dimenticare che la scuola è ormai ostaggio di una burocrazia estrema e c'è un'assenza di sviluppo professionale, nonché una retribuzione non adeguata. Queste sono alcune piaghe che affliggono la professione e che devono essere affrontate anche a livello europeo.
Il processo di integrazione europea deve coinvolgere da vicino i sistemi didattici, favorire la mobilità transnazionale, una libera circolazione di titoli e di competenze, tutelando però al contempo storia e identità locali. Solo in questo modo potremo fare grande la nostra scuola per i nostri giovani.
"
Gianna GANCIA,2024-01-17,IT,Gender aspects of the rising cost of living and the impact of the energy crisis (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2024-01-17-INT-3-502-0000_IT.html,"  Gianna Gancia (ID).   – Signora Presidente, onorevoli colleghi, è innegabile che anche nell'Unione europea esiste una disparità di genere che ha accentuato maggiormente sulle donne le conseguenze delle recenti crisi energetiche.
Nella relazione sono citati degli aspetti sicuramente da non sottovalutare e ci sono anche aspetti positivi, come per esempio il supporto alle donne per l'ingresso nel mondo del lavoro nelle discipline STEM, per citarne qualcuno, ma dobbiamo tenere presente che la nostra credibilità non dipende solo da queste grandi dichiarazioni di principio che facciamo in queste Aule.
Dipende e continuerà a dipendere dalla capacità di tradurre i nostri obiettivi dichiarati in azioni concrete. La povertà ora attanaglia più le donne, e questo è un dato statistico, ma dobbiamo fare molta attenzione perché è l'Europa che sta diventando povera e dobbiamo agire uniti e a senso unico.
"
Gianna GANCIA,2023-12-14,IT,"Outcome of the UN Climate Change Conference 2023 in Dubai, United Arab Emirates (COP28) (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-14-INT-4-017-0000_IT.html,"  Gianna Gancia,  a nome del gruppo ID. – Signor Presidente, signora Commissaria, onorevoli colleghi, oggi ci troviamo di fronte a un momento cruciale per il nostro pianeta e per il futuro delle nuove generazioni.
La COP28 ha segnato un traguardo fondamentale perché abbiamo trovato un accordo importante, in cui è stato definito un percorso serio e realistico: pragmatismo, gradualità, neutralità e accompagnamento sono le stelle polari di questo accordo.
Sono stati assunti anche impegni finanziari per raggiungere l'obiettivo e, in un percorso così ambizioso, anche le fonti fossili hanno un ruolo per evitare gravi contraccolpi sociali.
La grande novità è che è stato introdotto il tema del nucleare di quarta generazione; a oggi, secondo le ricerche che continueranno, è la fonte più pulita e pone il mondo intero di fronte a una grande possibilità per raggiungere i nostri obiettivi ambiziosi.
Con la COP28 di Dubai anche la Cina e gli Stati Uniti sono tornati a parlarsi. Ora lavoriamo tutti insieme con grande determinazione e uniamo le forze: il nostro impegno e la nostra azione di oggi sono la chiave per il futuro nostro e delle nuove generazioni.
"
