MP,Date,Language,Title,Url,Content
Gilles BOYER,2023-12-13,FR,One year after Morocco and QatarGate – stocktaking of measures to strengthen transparency and accountability in the European institutions (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-224-0000_FR.html,"  Gilles Boyer,  au nom du groupe Renew. – Monsieur le Président, Madame la Commissaire, nous avons, comme cela a été dit, commencé à répondre aux différents scandales qui ont touché notre institution l’an passé par une transparence accrue de nos relations avec les représentants d’intérêts: les représentants d’intérêts privés, mais aussi, nous l’avons vu, les représentants d’intérêts publics, qu’ils agissent à l’intérieur de l’Union européenne ou à l’extérieur.
Nous avons aussi tenté de mieux définir les cas de conflits d’intérêts des députés, de mieux les identifier et surtout de mieux les résoudre, ce qui n’était pas toujours le cas par le passé. Enfin, avec le rapport de la commission INGE, nous avons tenté aussi de limiter les ingérences extérieures sur notre travail de la part de puissances étrangères. Nous avons enfin essayé de réglementer les relations avec nos anciens collègues, en particulier en ce qui concerne l’accès aux locaux et les tentatives d’influence sur notre travail.
Comme vous l’avez dit, Madame la Commissaire, il manque une étape importante, une étape que nous avons entreprise: c’est la création d’une autorité d’éthique européenne, indépendante et extérieure à nos institutions européennes. Vous savez que notre Parlement avait voté une proposition ambitieuse, il y a deux ans, avant même que ces scandales ne surviennent et qu’ils ne viennent abîmer notre image. Vous savez que nous considérons la proposition de la Commission comme très insuffisante à ce stade. Je sais que les discussions interinstitutionnelles ont commencé et que l’équipe du Parlement aura l’occasion d’essayer de réviser cette ambition à la hausse. Nous souhaitons aller plus loin et dans l’intérêt de tous.
"
Gilles BOYER,2023-11-21,FR,Proposals of the European Parliament for the amendment of the Treaties (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-300-0000_FR.html,"  Gilles Boyer (Renew).   – Monsieur le Président, chers collègues, nous devons sans cesse nous interroger sur nous-mêmes et je dois dire que nous serons tous jugés sur notre capacité collective à prendre des décisions rapides, concrètes et efficaces. En ce sens, le travail accompli ici est particulièrement précieux. Nos processus de décision trouvent leurs limites à 27. Nous éprouvons ces limites tous les jours dans notre fonctionnement. Et si l’Union européenne devait s’élargir, elle devra aussi se réformer, pour inventer un nouveau fonctionnement adapté. Et la fin de l’unanimité, mes chers collègues, sera le symbole d’une Union intégrée sachant faire émerger l’intérêt collectif pour le bénéfice du continent et des citoyens européens. Ce sera une Union qui, après avoir consacré beaucoup d’énergie à s’occuper d’elle même, saura faire bloc pour affronter, unie, les défis du monde.
"
Gilles BOYER,2023-10-04,FR,European green bonds (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-218-0000_FR.html,"  Gilles Boyer,  au nom du groupe Renew. – Madame la Présidente, Madame la Commissaire, nous avons placé ce mandat sous le signe du pacte vert et de la transition écologique, et cette transition nous devons la financer. Et avec ce nouvel instrument, les obligations vertes européennes, nous créons un outil supplémentaire au service de ce financement. Un standard ambitieux avec des critères stricts, qui permet à celui qui les respecte de se proclamer objectivement vert ou soutenable dans le respect de notre taxonomie européenne. 
C'est un outil qui sera gagnant pour l'émetteur de dette et gagnant pour l'investisseur. L'institution ou l'entreprise qui émettra de la dette pour investir pourra choisir ce nouveau standard, sa dette sera plus attractive et les conditions de mise sur le marché seront meilleures parce que la demande en produits verts est en augmentation constante. De son côté, l'investisseur aura l'assurance que ces fonds seront mis à profit pour financer des équipements ou des projets compatibles avec le pacte vert et la taxonomie européenne. 
Attractivité pour les émetteurs, transparence pour les investisseurs, c'est l'équilibre que nous avons défendu. Nous avons défendu un standard ambitieux, volontaire, qui pourra faire école au niveau mondial et être utilisé, y compris par des émetteurs d'obligations extra-européens. Et nous voulons ainsi limiter au maximum le greenwashing qui repeint trop souvent en vert des projets qui ne le sont pas. Et nous voulons apporter une pierre décisive au financement des investissements verts.
"
Gilles BOYER,2023-09-11,FR,"Amendments to Parliament’s Rules of Procedure with a view to strengthening integrity, independence and accountability (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-11-INT-1-104-0000_FR.html,"  Gilles Boyer,  au nom du groupe Renew. –Madame la Présidente, suite aux scandales de 2022, il était de notre devoir d’améliorer nos règles internes. C’est le sens de la proposition de la Présidente Metsola et des groupes politiques, et c’est le sens de ce rapport, auquel mon groupe est fier d’avoir contribué. Merci à notre rapporteure, Gabrielle Bischoff, pour son travail.
Ce rapport permettra des vérifications plus strictes sur les déclarations et sur les conflits d’intérêts, sur les relations avec les représentants d’intérêts privés, mais aussi une plus grande transparence sur le patrimoine des députés. L’Europe nous regarde et nous devons démontrer mercredi, au moment du vote dans cet hémicycle, notre capacité à tirer les conséquences de ces événements désastreux pour l’image de notre Parlement et pour l’image de l’Union européenne.
Au-delà de cela, mon groupe appelle plus que jamais à la création d’une Haute Autorité d’éthique européenne indépendante, commune à l’ensemble des institutions de l’Union européenne, qui nous aidera à établir et à mettre en œuvre des standards harmonisés pour toutes les questions d’éthique et de déontologie. C’est plus que jamais nécessaire et mon groupe y veillera.
"
Gilles BOYER,2023-07-12,FR,Need to adopt the “Unshell” Directive on rules to prevent the misuse of shell entities for tax purposes (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-311-0000_FR.html,"  Gilles Boyer,  au nom du groupe Renew. – Monsieur le Président, mes chers collègues, face au défi de la fraude et de l’évasion fiscales, l’Europe doit montrer sa capacité à agir et à porter un leadership mondial. Pour cela, évidemment, elle doit d’abord être irréprochable chez elle et s’en donner les moyens.
L’utilisation de sociétés-écrans à des fins d’évasion fiscale est un véritable défi pour l’Europe qui nous a été révélé ces dernières années par les Pandora Papers. Ces sociétés font perdre chaque année à l’Union européenne des milliards d’euros de recettes fiscales et sapent la confiance des citoyens. Il est donc urgent que l’Union européenne adopte des règles communes en la matière.
Fin 2021, comme cela a été rappelé, la Commission a présenté une directive pertinente et ambitieuse. Notre Parlement s’est massivement prononcé en faveur de cette directive en janvier et, depuis un an et demi, un travail technique important a été mené au sein du Conseil. Toutes les conditions sont réunies pour avancer.
Nous appelons maintenant le Conseil à discuter de ce texte au niveau politique et à trouver un accord pour adopter ce texte à l’unanimité. Nous ne pouvons pas continuer à nous exposer collectivement à des scandales fiscaux comme ceux que nous avons connus, qui ont sapé la confiance des citoyens européens. Notre engagement en ce sens sera constant. C’est une question d’équité et de justice.
"
Gilles BOYER,2023-06-13,FR,Establishment of the EU Ethics Body (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-13-INT-2-201-0000_FR.html,"  Gilles Boyer,  au nom du groupe Renew. – Madame la Présidente, Madame la Commissaire, mes chers collègues, en septembre 2021, notre Parlement avait adopté sa position en faveur de la création d’un organe d’éthique indépendant pour les institutions de l’Union européenne. Cela faisait depuis 2019, depuis le programme de la Commission, que nous attendions une proposition en ce sens. Nous l’avons reçue et elle est loin de nos ambitions. 
Nous voulons des membres indépendants, et vous nous proposez des représentants de chaque institution. Nous voulons des pouvoirs d’enquête, de vérification, de recommandation publique et de sanction: vous les refusez. Il ne s’agit pas forcément d’harmoniser les règles entre les différentes institutions. Nos fonctionnements sont différents et nous avons affaire à des personnes différentes. Il s’agit de confier leur application à une autorité extérieure, qui serait compétente pour les élus, bien sûr, mais aussi pour les hauts fonctionnaires. Nous avons vu dans l’actualité que certaines situations peuvent aussi concerner les hauts fonctionnaires de nos institutions.
Comme vous l’avez dit très justement, les citoyens de l’Union nous jugeront collectivement. Ils ne jugeront pas le Parlement, la Commission et le Conseil séparément, mais bien l’Union européenne dans son ensemble, et nous devons répondre à cette attente. Notre Parlement a franchi le pas en acceptant d’externaliser le contrôle de ses propres procédures. C’est un cap difficile pour tout législateur. Nous l’avons fait en France, nous l’avons fait ici, et nous devons aller plus loin pour rétablir la confiance des citoyens envers les institutions européennes.
"
Gilles BOYER,2023-05-09,FR,Discharge 2021 (continuation of debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-09-INT-2-162-0000_FR.html,"  Gilles Boyer,  rapporteur. – Madame la Présidente, Monsieur le Commissaire, Monsieur le Président de la Cour des comptes européenne, chaque année, l’octroi des décharges n’est pas, contrairement à ce que l’on pourrait croire, un sujet purement technique. C’est au contraire un sujet éminemment politique. Les citoyens européens sont en droit d’attendre de nous la vérification, la certification de la bonne gestion ou non du budget de l’Union. Et cette évaluation n’est pas qu’une simple étude comptable. Vous savez que notre commission du contrôle budgétaire, avec l’aide de la Cour des comptes, y œuvre avec la plus grande rigueur et la plus grande vigilance.
Alors, chaque année, j’ai deux regrets, toujours les mêmes. Le premier, c’est que notre débat ait lieu 18 mois après la clôture de l’exercice concerné, en l’occurrence l’exercice 2021. Je pense que nous pourrions tous collectivement tenter d’aller plus rapidement pour coller davantage à l’actualité. Et je regrette aussi, c’est mon deuxième regret, que l’essentiel de notre énergie lors de cette plénière soit consacré à l’examen d’amendements qui n’ont précisément rien à voir avec l’exercice 2021, mais qui sont des amendements qui ont pour objectif de tenter de modifier nos règles de fonctionnement dans une procédure qui ne s’y prête pas.
Néanmoins, pour ce qui est de la décharge de notre Parlement, pour l’exercice 2021, nous avons mis un triste focus sur les questions d’éthique et de transparence à la lumière du Qatargate et des dérives qui ont pu se produire au sein même de notre Parlement, ce que, évidemment, nous regrettons et condamnons avec la plus grande fermeté. Nous nous félicitons d’avoir su réagir avec détermination, avec force, avec rapidité, tout en étant conscients qu’aucune procédure, aucun formulaire nouveau n’empêchera un corrompu de l’être.
Les propositions de notre Présidente Metsola, adoptées en Conférence des présidents et au sein de notre Bureau, sont actuellement à l’ordre du jour des différentes commissions et comités chargés de leur mise en œuvre. Certaines mesures sont d’ailleurs déjà instaurées, par exemple la période de carence de six mois pour les anciens membres, ainsi que la révision des conditions d’accès des anciens membres et des représentants d’intérêts au Parlement européen. Nous devons aller plus loin.
Les représentants d’intérêts doivent impérativement, nous le rappelons, être soumis aux mêmes règles et aux mêmes exigences de transparence, quelles qu’elles soient, tous ceux qui, d’une certaine manière, souhaitent exercer une influence sur nos débats, influence qui est légitime, à condition que nous sachions collectivement à qui nous avons à faire. Et les organisations non gouvernementales sont concernées au même titre que les autres entités, les entreprises privées notamment.
Enfin, mes chers collègues, nous appelons une fois encore la Commission à nous soumettre le plus rapidement possible une proposition ambitieuse et à la hauteur des enjeux pour la création d’un organe d’éthique européen institutionnel indépendant. Vous savez que notre Parlement a adopté cette position il y a maintenant 18 mois. L’actualité le rend plus urgent encore et nous souhaitons vivement que cet organe puisse être établi et opérationnel d’ici à la fin de notre mandature.
"
Gilles BOYER,2023-04-19,FR,Digital euro (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-19-INT-3-214-0000_FR.html,"  Gilles Boyer,  au nom du groupe Renew. – Monsieur le Président, Madame la Commissaire, l’Union européenne doit être à l’avant-garde des transformations profondes du secteur des paiements et y rester. Le monde ne nous attend pas. Il en va de notre souveraineté comme de la préservation d’une prérogative essentielle de la puissance publique: l’émission de monnaie. Nous saluons donc la proposition de la Commission à venir en vue de la création d’un euro numérique, en complément des travaux de la Banque centrale européenne. 
Il s’agit bien sûr d’un défi technique de taille, mais il s’agit surtout d’un défi politique, avec de nombreuses questions qui restent à résoudre. L’euro numérique doit être un succès, un nouvel outil de confiance, que les citoyens européens pourront s’approprier: complémentaire de l’argent liquide, auquel ils demeurent profondément attachés, facile d’utilisation, sécurisé, préservant les données personnelles tout en apportant sa contribution à la lutte contre le blanchiment. Nous devrons aussi prendre en compte les possibles répercussions sur le système bancaire. Autant d’impératifs, parfois contradictoires, qu’il nous faudra concilier. 
Nous attendons donc avec impatience la proposition de la Commission pour commencer notre travail et relever ces défis, afin de faciliter la vie quotidienne des citoyens européens. 
"
Gilles BOYER,2023-03-15,FR,Need for immediate reform of the internal rules of the Commission to ensure transparency and accountability in light of alleged conflicts of interests (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-15-INT-3-291-0000_FR.html,"  Gilles Boyer,  au nom du groupe Renew. – Madame la Présidente, Madame la Commissaire, mes chers collègues, l’image de nos institutions est abîmée par une succession d’irrégularités et de dysfonctionnements. Il ne s’agit pas ici de politiser ou de personnaliser ces affaires. Nous ne l’avons pas fait ici au Parlement européen et je n’ai pas l’intention de le faire pour la Commission européenne. Ma préoccupation, c’est que nous en tirions les leçons et les conséquences pour l’avenir, pour rétablir la confiance des citoyens de l’Union dans nos institutions.
Nous avons fait une proposition ici au Parlement, une proposition audacieuse pour tout organe législatif, c’est-à-dire de déléguer le contrôle sur nous-mêmes à une autorité extérieure. Ce n’est facile pour aucun Parlement. Pourtant, nous avons franchi ce pas en votant une résolution ambitieuse et en le réaffirmant dans une résolution le mois dernier.
Nous appelons la Commission à prendre l’initiative de faire de même pour mettre en place une haute autorité d’éthique européenne, qui serait commune à plusieurs institutions européennes et qui nous permettrait de ne pas nous contrôler nous-mêmes, en quelque sorte, ce qui est parfois la source de bien des problèmes. 
"
Gilles BOYER,2023-02-14,FR,Establishment of an independent EU Ethics Body (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-02-14-INT-2-317-0000_FR.html,"  Gilles Boyer (Renew).   – Monsieur le Président, Madame la Commissaire, la confiance que nous accordent des citoyens européens a été gravement mise à mal par les récentes révélations de corruption au sein de notre Parlement.
Alors, bien sûr, aucune procédure ne pourra empêcher les quelques corrompus de l’être. Mais nous devons reconnaître que notre système a montré ses limites: il repose uniquement sur une approche d’autorégulation qui n’est pas suffisante. Nos institutions ont besoin d’une appréciation indépendante, plus efficace et plus juste, des conflits d’intérêts et des règles d’éthique.
Nous avons porté cette idée en France lors de la campagne européenne de 2019, la Commission européenne l’a reprise dans ses orientations politiques au début de son mandat, et notre Parlement s’est prononcé en faveur de cette idée dès septembre 2021. Toutes les conditions sont donc réunies pour avancer.
Alors, externaliser le contrôle de notre institution n’est pas une question à prendre à la légère. Tous les parlements du monde se la posent. Nous l’avons fait, en France: c’est un exemple dont nous pouvons nous inspirer, avec les bonnes pratiques et les améliorations possibles que révèlent quelques années de fonctionnement.
Il ne s’agit pas de bannir le lobbying, ni d’exhiber, ni de mettre en cause, ni d’entraver la liberté de mandat des députés, ni d’attenter à la séparation des pouvoirs, mais d’avoir une appréciation claire de ce qui est interdit, de ce qui est autorisé et de ce qui doit être déclaré. Il s’agit aussi surtout de diffuser une culture de l’intégrité, du contrôle et de la transparence.
L’enjeu pour nous est de taille: replacer nos institutions européennes au rang des institutions les plus avancées en matière de prévention des conflits d’intérêts et restaurer la confiance des citoyens. La balle est désormais dans le camp de la Commission, et la proposition votée par notre Parlement il y a dix-huit mois pourrait constituer une base utile pour la discussion.
"
