MP,Date,Language,Title,Url,Content
Gilles LEBRETON,2023-12-14,FR,Non-objection mechanisms in international conventions to which the European Union is a party (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-14-INT-4-093-0000_FR.html,"  Gilles Lebreton,  au nom du groupe ID. – Monsieur le Président, chers collègues, le débat d'aujourd'hui est l'un des plus techniques auquel j'ai participé depuis près de dix ans, il ne passionne d'ailleurs pas les foules. Il porte sur l'article 218 du traité sur le fonctionnement de l'Union. Cet article est relatif aux accords internationaux négociés et conclus par l'Union. Or, l'Union est partie à des accords qui prévoient l'adhésion d'États tiers au moyen de clauses établissant une procédure dite de silence ou de non-objection.
En toute logique juridique, la conclusion de tels accords contenant ce type de clause ne devrait pas avoir pour conséquence d'écarter l'application de l'article 218. Cela semble impliquer que pour chaque adhésion d'un pays tiers à un tel accord, la Commission devrait soumettre au Conseil une proposition de décision, le Conseil pouvant alors, avec l'approbation du Parlement européen, dans certains cas, décider d'opposer une objection à l'adhésion.
Je prends acte des explications que le Conseil et la Commission viennent d'apporter, qui retiennent une interprétation souple de l'article 218. J'observe toutefois que le résultat de celle-ci est de marginaliser le rôle du Parlement européen. 
"
Gilles LEBRETON,2023-12-13,FR,"Jurisdiction, applicable law, recognition of decisions and acceptance of authentic instruments in matters of parenthood and creation of a European Certificate of Parenthood (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-275-0000_FR.html,"  Gilles Lebreton,  au nom du groupe ID. – Monsieur le Président, chers collègues, la famille est l’un des socles de la civilisation occidentale. Elle constitue le premier maillon de notre organisation sociale et garantit l’épanouissement et la nécessaire protection des enfants. C’est pourquoi je défends depuis longtemps la préservation et le renforcement d’une politique de soutien aux familles. Mais cela ne peut se faire qu’au niveau national, car chaque État a sa propre conception de la famille.
Ce rapport vise au contraire à européaniser la protection de la famille en créant un certificat européen de parentalité. Il s’agit d’une ingérence, d’autant plus grave dans les compétences nationales qu’elle obligera chaque État membre à reconnaître les parentalités diverses établies à l’extérieur de ses frontières et ainsi à imposer de fait la reconnaissance de la gestation pour autrui dans toute l’Europe. Le rapport l’avoue de façon à peine voilée, en s’efforçant de supprimer l’exception prévue en droit international privé, qui permet à chaque État de refuser de reconnaître une filiation incompatible avec son ordre public.
Or, je suis radicalement opposé à la gestation pour autrui, qui n’est rien d’autre qu’une nouvelle forme d’exploitation du corps des femmes de pays pauvres par des couples de pays riches. Le respect de la dignité des femmes commande que l’on s’oppose à cette marchandisation de leur fonction reproductrice. Pour ces deux raisons fondamentales – préservation d’une conception de la famille et hostilité à la GPA –, je voterai donc contre le certificat européen de parentalité. 
"
Gilles LEBRETON,2023-11-23,FR,Digitalisation of cross-border judicial cooperation - Digitalisation of cross-border judicial cooperation (amendment of certain directives and framework decisions) (joint debate – Judicial cooperation),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-23-INT-4-091-0000_FR.html,"  Gilles Lebreton,  au nom du groupe ID. – Monsieur le Président, chers collègues, l’Union européenne doit privilégier la coopération plutôt que l’intégration chaque fois que c’est possible. C’est en tout cas un point de vue que je défends depuis longtemps. La coopération respecte en effet mieux que l’intégration la souveraineté des États membres. Les justices civile, pénale et commerciale sont par exemple des domaines régaliens qui doivent continuer à relever de la compétence des États, et même de leur compétence exclusive en ce qui concerne les deux premières.
Mais pour les affaires transfrontalières, il est légitime de favoriser au niveau européen la coopération entre les diverses justices nationales. Cela permet notamment de mieux défendre les intérêts commerciaux des entreprises qui travaillent dans plusieurs États, ou encore de mieux organiser la répression pénale du terrorisme et de la criminalité organisée qui, par essence, ne connaissent pas de frontières.
J’approuve donc les projets de la Commission visant à améliorer la coopération judiciaire transfrontière, notamment en favorisant sa numérisation. Et je soutiens les rapports Radev qui ont su leur apporter de substantielles modifications dans le strict respect des souverainetés nationales. J’approuve notamment leur souci d’entourer de nombreuses garanties la conduite des auditions judiciaires par visioconférence, car comme M  Radev, j’estime qu’il ne faut accepter les visioconférences en matière de justice qu’avec les plus grandes précautions.
"
Gilles LEBRETON,2023-11-22,FR,The lack of legislative follow-up by the Commission to the PEGA resolution (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-347-0000_FR.html,"  Gilles Lebreton,  au nom du groupe ID. – Monsieur le Président, chers collègues, dans sa recommandation du 15 juin 2023, le Parlement européen a établi que certains États européens ont commis des abus dans l’utilisation de logiciels espions comme Pegasus ou Predator. Sur le sol européen, des journalistes et des responsables politiques ont été espionnés au moyen de leurs téléphones portables, et en dehors de l’Europe des espionnages de masse ont eu lieu du fait de l’exportation par des États membres de l’Union, ou avec leur accord, de logiciels espions. C’est ainsi qu’une société française, Nexa, semble avoir vendu le logiciel Predator à l’Égypte, au Vietnam et à Madagascar.
Il faut bien sûr dénoncer ces abus, mais faut-il pour autant en prendre prétexte pour tenter de justifier l’immixtion de l’Union européenne dans le domaine de la sécurité nationale? Je ne le pense pas. Comme le Parlement européen, le Conseil doit rappeler les États membres à leurs responsabilités et les inciter à poursuivre leurs efforts pour n’utiliser les logiciels espions que dans un cadre légal. Mais il n’appartient en aucun cas à la Commission de présenter un plan de mesures, car il s’agit d’un domaine qui relève de la sécurité nationale et donc de la souveraineté des États membres. Je vous le dis solennellement, l’Union européenne n’a pas vocation à s’immiscer dans tous les domaines.
"
Gilles LEBRETON,2023-11-21,FR,Proposals of the European Parliament for the amendment of the Treaties (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-324-0000_FR.html,"  Gilles Lebreton (ID).   – Monsieur le Président, chers collègues, ce rapport propose de modifier les traités européens dans un sens fédéraliste. Il tire ainsi les conséquences logiques du principe de primauté dont je veux aujourd’hui dénoncer les prétentions. Le principe de primauté pourrait être acceptable s’il n’assurait la supériorité du droit européen que sur les lois nationales, mais il prétend aussi primer sur les constitutions nationales. C’est en tout cas ce que tente de faire croire la Cour de justice de l’Union depuis 1970, comme par hasard cinq semaines après le décès du général de Gaulle.
Or, à mes yeux, c’est une trahison des principes démocratiques les plus fondamentaux. Dans une démocratie véritable, la Constitution nationale est l’expression de la souveraineté du peuple, rien ne peut donc lui être supérieur dans la hiérarchie des normes. Prétendre le contraire revient à remplacer la démocratie par un régime oligarchique.
Personnellement, je ne veux pas de votre despotisme prétendument éclairé, et je vous rappelle solennellement que le peuple français n’en veut pas non plus. Il l’a prouvé en rejetant par référendum, en 2005, le projet de Constitution européenne qui tentait de justifier son coup de force par l’invocation du principe de primauté. Puisque vous persistez néanmoins dans votre projet de modifier les traités dans un sens ouvertement fédéraliste, je vous mets au défi d’organiser des référendums nationaux sur la question.
"
Gilles LEBRETON,2023-10-19,FR,European protein strategy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-19-INT-4-061-0000_FR.html,"  Gilles Lebreton (ID).   – Madame la Présidente, chers collègues, le rapport Wiesner a le mérite de rappeler que les protéines sont une composante essentielle de notre alimentation et d’en déduire que l’Union doit les produire plutôt que les importer.
Notre sécurité alimentaire est en effet en danger, dès lors que nous importons 70 % des protéines végétales destinées à la nourriture animale, et même encore davantage en ce qui concerne le soja. Je soutiens donc la proposition de développer chez nous la culture de protéagineux.
Je soutiens aussi l’idée qu’il faut préserver la consommation de protéines animales produites localement. La viande européenne est en effet la meilleure du monde. Mais là, nous devrons nous battre pour obtenir gain de cause, car la Commission a pris la mauvaise habitude de traiter l’élevage comme une variable d’ajustement de ses traités de libre-échange.
Il faut aussi dénoncer l’idéologie mortifère à la mode qui présente l’élevage comme une nuisance environnementale et la viande comme un danger pour la santé. Cet agribashing n’a que trop duré.
Comme le faisait la résolution alternative du groupe ID, je vous mets enfin en garde contre la tentation de développer sans précaution suffisante la nourriture à base d’insectes et la viande cellulaire. N’utilisons pas ces nouveautés comme un prétexte supplémentaire pour sacrifier notre élevage.
"
Gilles LEBRETON,2023-10-18,FR,Presentation of the Court of Auditors' annual report 2022 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-257-0000_FR.html,"  Gilles Lebreton (ID).   – Monsieur le Président, chers collègues, le rapport de la Cour des comptes européenne sur l’exercice 2022 du budget européen est doublement préoccupant.
En premier lieu, il relève une importante augmentation des irrégularités dans les dépenses budgétaires de l’Union. Leur niveau global est en effet passé de 3 % en 2021 à 4,2 % en 2022. C’est du jamais-vu depuis 2014. Dans certains domaines sensibles, le bilan est même catastrophique. C’est ainsi que la Cour a détecté des erreurs dans près de la moitié des opérations relatives aux dépenses liées à l’immigration.
En deuxième lieu, le rapport dénonce l’opacité des dépenses concernant la mise en œuvre du programme NextGenerationEU, qui représente quand même 47 milliards d’euros en 2022. La Cour y avoue carrément – je cite ses propres termes – qu’elle n’est pas en mesure de calculer un taux d’erreur. Je n’avais encore jamais vu ça. Circonstance aggravante: elle s’alarme du fait qu’aucun plan ne prévoit clairement comment les emprunts contractés pour ce programme seront remboursés. On comprend dès lors le cynisme de la dénomination NextGenerationEU: elle renvoie à la prochaine génération le soin de se débrouiller pour les rembourser.
La Cour dénonce enfin la subjectivité avec laquelle la Commission décide la suspension de certains paiements, ce qui en dit long sur la dérive autoritaire de l’Union.
"
Gilles LEBRETON,2023-10-17,FR,"Urgent need for a coordinated European response and legislative framework on intrusive spyware, based on the PEGA inquiry committee recommendations (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-369-0000_FR.html,"  Gilles Lebreton,  au nom du groupe ID. – Monsieur le Président, chers collègues, les logiciels espions sont utiles pour protéger la sécurité nationale, notamment contre le terrorisme. Mais ils représentent aussi un grand danger pour le respect de la vie privée des citoyens. C’est pourquoi il ne faut les utiliser que dans un cadre légal clairement identifié. 
Ce n’est, hélas, pas encore le cas à l’heure actuelle en Europe. La commission d’enquête du Parlement européen a révélé que 14 États membres de l’Union européenne sur 27 avaient utilisé le logiciel espion Pegasus, parfois en dehors de tout cadre légal. Se pose aussi le problème de l’exportation des logiciels espions dans des États hors de l’Union, qui les utilisent pour surveiller et réprimer leur population. On vient, par exemple, d’apprendre que l’entreprise française Nexa aurait vendu en 2020, en toute illégalité, le logiciel espion Predator à Madagascar. C’est d’autant plus inquiétant que la justice française a déjà ouvert une enquête contre les dirigeants de cette entreprise pour des faits similaires concernant l’Égypte et la Libye. 
Il faut bien sûr dénoncer ces dérives, mais, dans la mesure où l’utilisation des logiciels espions met en jeu la sécurité nationale, j’estime que les États sont seuls compétents pour trouver les solutions adéquates. L’Union européenne n’a pas à s’ingérer dans leur domaine réservé. 
"
Gilles LEBRETON,2023-10-03,FR,European Media Freedom Act (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-094-0000_FR.html,"  Gilles Lebreton (ID).   – Madame la Présidente, chers collègues, la liberté des médias est un principe fondamental que toute personne sincèrement attachée à la démocratie libérale doit défendre. Pour autant, je désapprouve pour trois raisons le texte que nous propose la Commission pour la protéger.
D’abord, la liberté des médias relève de la compétence exclusive des États. La base juridique retenue pour justifier l’ingérence de l’Union européenne, l’article 114 du TFUE, est totalement artificielle, comme l’ont d’ailleurs relevé le Sénat français, le Bundesrat allemand et l’Assemblée nationale hongroise.
Ensuite, l’instrument choisi, le règlement plutôt qu’une simple directive, traduit l’autoritarisme de l’Union qui veut imposer son conformisme idéologique aux médias nationaux.
Enfin, les intentions du texte sont aussi claires qu’effrayantes. Il s’agit de mettre au pas les médias qui résistent à la doxa européiste en Hongrie, en Pologne et aussi en France, en ce qui concerne le groupe de Vincent Bolloré.
Vous dites que la liberté des médias est en danger. C’est vrai, mais en l’occurrence, c’est l’Union européenne qui la menace. 
"
Gilles LEBRETON,2023-09-14,FR,"Parliamentarism, European citizenship and democracy (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-14-INT-4-018-0000_FR.html,"  Gilles Lebreton,  au nom du groupe ID. – Monsieur le Président, chers collègues, ce rapport, copiloté par un centriste de Renew et par un Vert, est totalement inacceptable. Sous prétexte d’améliorer les modalités de la démocratie européenne, il propose en effet d’accélérer la transformation de l’Union européenne en un État fédéral supranational. Son objectif majeur est de rétrograder le Conseil, dernier rempart de la souveraineté des États membres, en le transformant en une deuxième Chambre, autrement dit en une sorte de Sénat européen.
Le Parlement européen serait le grand bénéficiaire de cette réforme. Le rapport ne s’en cache pas, puisqu’il lui attribue des pouvoirs équivalents à ceux d’une assemblée nationale, comme par exemple un droit d’enquête et un droit d’initiative législative. Mais là encore, je ne suis pas d’accord, car c’est oublier un peu vite qu’une assemblée nationale n’a de sens que s’il existe une nation. Or, la nation européenne n’existe pas. Je veux donc rappeler solennellement à ce Parlement qu’il n’est pas une assemblée nationale, mais un simple organe délibérant d’une organisation internationale.
"
