MP,Date,Language,Title,Url,Content
Giuliano PISAPIA,2023-07-10,IT,Implementation of ‘passerelle’ clauses in the EU Treaties (short presentation),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-10-INT-1-188-0000_IT.html,"  Giuliano Pisapia,  relatore. – Signora Presidente, onorevoli colleghi, come tutti sappiamo l'unanimità del voto in Consiglio, pensata come regola per rafforzare l'unità tra gli Stati membri, è diventata sempre di più causa di ritardi e compromessi al ribasso.
Dai negoziati sul fondo per la ripresa ai ritardi sull'approvazione delle sanzioni contro la Russia, il veto di singoli paesi ha rallentato, e talvolta indebolito, le capacità dell'Unione europea di reagire in tempi brevi alle crisi più importanti dei nostri tempi.
Troppo spesso decisioni su temi importanti, basti pensare alla salute, allo sviluppo, al contrasto alla fame nel mondo, allo Stato di diritto, sono state bloccate e/o ritardate per la mancanza delle firme di un solo Paese. L'unanimità rischia di essere, sempre più, non più elemento di garanzia e per questo va ripensata.
È giunto il momento di aprire il cantiere di modifica dei trattati. Sappiamo perfettamente che prima di entrare in vigore passeranno anni per le possibili modifiche dei trattati. Le clausole passerella sono uno strumento, forse l'unico strumento, che ci permetterebbe di superare l'unanimità in maniera evidentemente graduale e solamente in alcuni settori politici, ma strategici.
Negli ultimi dieci anni il Parlamento europeo ha approvato oltre 40 risoluzioni a larghissima maggioranza in cui ha chiesto l'attivazione di questo strumento; la Commissione europea si è espressa più volte a favore del loro utilizzo; di recente un numero importante di Stati membri ha chiesto che venissero attivate, almeno in alcune decisioni di politica estera e anche forse fiscale. Nonostante questo impegno trasversale, le clausole passerella sono state attivate una sola volta nel 2004.
Il problema che bisogna superare è che le cause passerella, per essere attivate, devono avere ancora una volta l'unanimità del Consiglio, il paradosso di utilizzare ""l'unanimità per superare l'unanimità"" può essere superato solo dai governi degli Stati membri e questo non è più attuabile.
Il Parlamento europeo domani voterà una risoluzione ambiziosa ma importante, che prevede un calendario graduale, perché siamo convinti che ci voglia la gradualità su un tema così delicato e dettagliato per l'attivazione delle clausole passerella nei prossimi anni.
Proprio per questo speriamo e crediamo nella Presidenza spagnola, sulla base anche delle proposte che emergeranno domani dal Parlamento europeo, per avviare un dialogo e un percorso con gli Stati membri e le altre istituzioni.
Attivare le clausole passerella in determinati settori più urgenti tra cui, ad esempio, in questo momento, purtroppo, la decisione sulla guerra in Ucraina, l'attuazione del green deal e tante altre, sarebbe un piccolo ma importante passo in avanti nel processo di integrazione europea e consentirebbe all'Europa di reagire sempre più efficacemente alle grandi sfide che stiamo affrontando e che affronteremo in futuro.
Per questo chiediamo al Consiglio europeo di ascoltare non solo noi, il Parlamento, che pure è importante e determinante, ma soprattutto di ascoltare i cittadini europei che, lo ricordo, nel corso della Conferenza sul futuro dell'Europa hanno espresso la volontà di rendere l'Europa più forte, unita, celere ed efficiente e di superare una volta per tutte la regola dell'unanimità.
Attivare le clausole passerella prima della fine di questo mandato, almeno in alcuni settori, almeno provarci, utilizzarle almeno una volta, sarebbe un bel segnale non solo per le prossime elezioni europee, ma anche e soprattutto per il processo di integrazione europea e la credibilità dell'Unione europea.
"
Giuliano PISAPIA,2022-11-22,IT,Situation in Libya (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-11-22-INT-2-465-0000_IT.html,"  Giuliano Pisapia,  Relatore. – Signora Presidente, Signor Commissario, onorevoli colleghi, la raccomandazione sulla Libia è frutto di un lavoro intenso di mesi. Ringrazio da subito i nostri interlocutori delle istituzioni e della società civile per i proficui scambi di opinione, un grazie particolare ai relatori ombra per la collaborazione e per il contributo.
La situazione della Libia è sempre più drammatica e il rinvio delle elezioni ha infranto le speranze di pace e democrazia del popolo libico. La Libia è diventata una polveriera dove nuovi attori si aggiungono ai vecchi, senza fare passi in avanti sui temi della democrazia, della giustizia e della riconciliazione nazionale a cui i libici aspirano da anni, se non da decenni. 
Negli ultimi decenni sono molti i soggetti che hanno bloccato il processo di democrazia e sviluppo della Libia. L'Unione europea può e deve diventare protagonista di pace anche in Libia, dopo un periodo, diciamolo con coraggio e con verità, di silenzio spesso assordante. Anche per questo è necessario che l'Unione europea nomini al più presto un rappresentante speciale per la Libia che supporti il lavoro di mediazione avviato dal nuovo rappresentante speciale dell'ONU. 
Serve la nostra assistenza tecnica per una nuova tabella di marcia che porti finalmente ad elezioni credibili, inclusive e democratiche. Per contribuire al processo elettorale, nella raccomandazione si propone l'invio di una missione elettorale dell'Unione europea e tutto il necessario supporto tecnico. 
Dobbiamo aiutare con la forza della ragione, ma non solo con la forza della ragione, le autorità libiche e porre fine alla violenta repressione delle organizzazioni della società civile e alla situazione vergognosa dei campi di detenzione. Ben venga quindi l'utilizzo dei fondi UE per sostenere, tra gli altri, il rafforzamento dello Stato di diritto, l'eguaglianza di genere, l'inclusione sociale, le comunità locali. 
Le milizie locali e straniere si arricchiscono sulla pelle dei migranti e dei richiedenti asilo. Le violazioni dei diritti sono sistemiche e l'impunità regna sovrana. Anche per questo serve un'autorità centrale che si assuma la responsabilità di garantire i diritti, e i doveri, di tutti. Una Libia stabile e prospera potrebbe contribuire significativamente ad abbattere la disoccupazione regionale e a evitare che tantissime persone siano vittime di trafficanti di esseri umani.
Nella raccomandazione vi sono punti, temi molto importanti che non possiamo dimenticare: i diritti delle donne e dei minori, la tragedia degli sfollati, le minoranze religiose ed etniche, il contrasto alla violenza sessuale di genere, il problema gravissimo delle mine, la proliferazione delle armi, l'abolizione della pena di morte.
Credo che abbiamo fatto un buon lavoro. Il mio auspicio, quindi, è che le raccomandazioni che voteremo domani non rimangano solo sulla carta, ma siano attuate e non ignorate, come purtroppo è avvenuto in passato.
Abbiamo bisogno che tutte e, ripeto, tutte le istituzioni europee si impegnino a dare il proprio contributo affinché la Libia abbia maggiore attenzione nelle nostre agende, nei nostri pensieri, nel nostro impegno. Lo dobbiamo al popolo libico e al suo desiderio di pace. 
"
Giuliano PISAPIA,2022-11-22,IT,Situation in Libya (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-11-22-INT-2-483-0000_IT.html,"  Giuliano Pisapia,  Relatore. – Signora Presidente, onorevoli colleghi, signor Commissario, ringrazio per questo scambio di opinioni, che in ogni caso è interessante ed importante. 
Mi sembra chiaro, e mi sembra che sia emerso anche dal dibattito, che non ci si debba occupare di Libia solo per fermare i flussi migratori a tutti i costi, anche ignorando il rispetto dei diritti umani e del diritto internazionale. La gestione dei flussi non implica che l'UE e gli Stati membri non debbano mantenere i loro obblighi internazionali, tra cui l'accoglienza dei rifugiati e la valutazione delle richieste d'asilo. 
Però non possiamo dimenticare chi sono i corresponsabili di questa situazione, è già stato detto e lo condivido. Questa raccomandazione va, per fortuna, oltre questo tema. Tenta di fare e cerca di fare un ragionamento di ampio respiro e di proporre proposte concrete volte a garantire stabilità a un paese che da troppo tempo vive in una situazione drammatica.
Sono convinto che il nostro obiettivo non potrà essere raggiunto se prima non supporteremo la mediazione ONU per il riavvio del processo di riconciliazione nazionale e poi con le elezioni democratiche.
Ecco, ci sono divisioni, opinioni diverse, ma chiedo ai colleghi di sostenere la raccomandazione nel voto di domani e chiedo al Consiglio e alla Commissione di impegnarsi maggiormente, anche se molto stanno facendo, sui temi di cui abbiamo parlato.
"
Giuliano PISAPIA,2022-06-09,IT,The call for a Convention for the revision of the Treaties (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-06-09-INT-4-072-0000_IT.html,"  Giuliano Pisapia (S&D).   – Signor Presidente, onorevoli colleghi, sono passati oltre dieci anni da quando abbiamo modificato i trattati europei. L'Europa di oggi è ben diversa da quelle di dieci anni fa. Come dimostrano l'approvazione del Recovery Fund o l'accoglienza di milioni di persone fuggite dalla guerra e dalla fame, l'Unione europea è in grado di rispondere alle sfide che ha davanti.
Però troppe sono le occasioni in cui l'unanimità e i veti incrociati tra i governi hanno impedito una risposta europea ed equa. È arrivato il tempo di cambiare, di cambiare passo e di aprire il cantiere delle riforme dei trattati. 
C'è chi dice che non è il momento. Al contrario, è proprio nei momenti difficili che si costruisce l'Europa di domani, guidati dallo stesso spirito che ci ha permesso, settant'anni fa, di trasformare l'Europa in un continente dove vige la forza del diritto e non più il diritto della forza. Non sprechiamo questa occasione.
Se esistono problemi devono esistere anche le soluzioni. Oggi possiamo e dobbiamo fare un ulteriore passo in avanti nel nostro cammino verso un'Europa più forte e più giusta.
"
Giuliano PISAPIA,2021-03-24,IT,New EU-Africa Strategy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2021-03-24-INT-1-224-0000_IT.html,"  Giuliano Pisapia (S&D).   – Signora Presidente, onorevoli colleghi, ""la povertà – diceva Mandela – non è naturale: è creata dall'uomo e può essere superata e sradicata solo dell'azione quotidiana"".
L'Africa è un continente che spesso divide gli Stati membri dell'Unione europea; mi riferisco al tentativo, in parte purtroppo già riuscito, di governi nazionali che condizionano gli aiuti allo sviluppo con il contenimento dei flussi migratori e la chiusura delle frontiere interne all'Africa. Elargire fondi umanitari in cambio del blocco dei migranti non solo è moralmente disgustoso, ma è anche inefficace.
I fondi europei devono combattere la fame, il sottosviluppo e il cambiamento climatico; foraggiare operazioni di controllo dei confini non risolverà le cause delle migrazioni né vi porrà freno. Molti hanno citato il neocolonialismo cinese d'Africa: la nostra politica deve avere come obiettivo lo sviluppo e la democrazia. Dimostriamola con i fatti.
"
Giuliano PISAPIA,2021-03-11,IT,Situation in eastern Democratic Republic of Congo and the assassination of the Italian Ambassador Luca Attanasio and his entourage,https://www.europarl.europa.eu/doceo/document/CRE-9-2021-03-11-INT-4-123-0000_IT.html,"  Giuliano Pisapia (S&D).   – Signora Presidente, onorevoli colleghi, il Congo è ricco, vi si trova di tutto: oro, diamanti e coltan, il nuovo ""oro nero"" che serve ai nostri smartphone, computer e batterie.
Ma in Congo sono anche attivi 120 gruppi armati, che alimentano una guerra che dal 2017 ha provocato la morte di decine di migliaia di civili. Oltre cinque milioni di persone hanno dovuto lasciare la propria casa nelle zone ricche di minerali, le stesse in cui Luca Attanasio, Vittorio Iacovacci e Mustafa Milambo sono stati barbaramente uccisi. In Congo più di 22 milioni sono le persone che soffrono la fame e cinque milioni i bambini malnutriti.
Ho citato tanti numeri, perché i numeri parlano la lingua della verità. La verità è che il Congo viene violentato per le sue ricchezze; la verità è che le esportazioni alimentano la guerra che affama e uccide; la verità è che l'Europa, con il suo mercato di 500 milioni di consumatori ha il dovere di cambiare le cose; la verità è che, imponendo condizioni sull'importazione, diciamo chi siamo e promuoviamo i nostri valori. Continuare come se nulla fosse in nome del profitto ci rende complici.
"
Giuliano PISAPIA,2020-11-24,IT,Stocktaking of European elections (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2020-11-24-INT-2-082-0000_IT.html,"  Giuliano Pisapia,  a nome del gruppo S&D. – Signor Presidente, onorevoli colleghi, le elezioni sono sempre il momento più delicato e importante della vita di una democrazia.
Dal 1979 la partecipazione alle elezioni europee è sempre calata. Però lo scorso anno il trend si è invertito: vi è stato il più alto tasso di partecipazione in vent'anni. L'annunciato sfondamento delle forze euroscettiche non è avvenuto. Si è sviluppato, è cresciuto un nuovo interesse nell'Unione europea. I cittadini europei hanno creduto ancora al progetto di integrazione e sono andati alle urne convinti che il loro voto potesse essere motore di cambiamento.
Tocca a noi adesso procedere sulla strada che ci hanno indicato. Non possiamo deludere chi ancora guarda a un'Europa unita, un'Europa che crede nella solidarietà, nello Stato di diritto, nella capacità di affrontare e vincere le grandi sfide globali. Nostro compito è anche quello di riaccendere le speranze laddove si erano spente.
Passi avanti sono stati fatti in questo ormai anno e mezzo. Rispetto alla scorsa legislatura il numero di deputate è aumentato. Apprezzo e apprezziamo la leadership femminile della Commissione, ma la strada per una reale parità è ancora troppo lunga. Solo il 5 % dei deputati appartiene a una minoranza, eppure queste costituiscono il 10 % della popolazione europea. Il voto è stato spesso negato ai detenuti e ai senzatetto. Circa 800 000 disabili non hanno potuto votare per problemi di accesso ai seggi.
Ecco, la relazione sulle elezioni del 2019 esamina il passato e il presente, ma guarda soprattutto al futuro. Progettare il futuro è l'obiettivo e il compito di questo Parlamento. I cittadini ci hanno chiesto di ritrovare la strada che hanno tracciato le madri e padri fondatori dell'Unione. Dobbiamo impegnarci sempre di più. Ricordava Jean Monnet: ""Niente è possibile senza gli uomini, ma niente dura senza le Istituzioni"".
"
Giuliano PISAPIA,2020-02-11,IT,The new comprehensive EU-Africa strategy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2020-02-11-INT-2-298-0000_IT.html,"  Giuliano Pisapia (S&D).   – Signora Presidente, onorevoli colleghi, nel dibattito di oggi una sola parola si è ripetuta più volte: la parola ""migrazione"". Pur riconoscendo la sua portata e le sfide che l'accompagnano, sono convinto che lo sviluppo sociale, economico e democratico sia e debba essere l'obiettivo prioritario. Ridurlo a mero mezzo per frenare la migrazione è ciò che rende la nostra strategia debole, ipocrita e inefficace.
Pace, diritti e sviluppo sono il DNA dell'Unione europea. Condividiamoli con il popolo africano ed evitiamo gli errori del passato. I fondi europei devono essere investiti per la crescita del continente e non per finanziare i lager che macchiano la nostra coscienza. Il 2020 potrebbe e dovrebbe essere l'anno della svolta nei rapporti tra Unione europea e Africa. 
Concludo con le parole di Nelson Mandela: ""Nessuno è nato schiavo, né signore, né per vivere in miseria, ma siamo tutti nati per essere fratelli"". 
"
Giuliano PISAPIA,2020-01-15,IT,European Parliament's position on the Conference on the Future of Europe (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2020-01-15-INT-3-080-0000_IT.html,"  Giuliano Pisapia (S&D).   – Signora Presidente, onorevoli colleghi, sono passati ormai quasi ottant'anni da quando Altiero Spinelli ed Ernesto Rossi, confinati in un'isola dal regime fascista, scrissero il manifesto di Ventotene.
Oggi più che mai sentiamo il bisogno di rinnovamento e di concretezza. La conferenza sul futuro dell'Europa ci offre un'opportunità unica, e forse l'ultima, per rispondere alle richieste di cambiamento e di partecipazione non solo nei grandi centri urbani ma anche nelle campagne e nelle periferie, ascoltando anche chi è contrario, chi è critico, chi non condivide l'attuale sistema dell'Unione europea.
Per questo è indispensabile una struttura capace di trasformare le idee in risultati concreti, è indispensabile l'impegno delle istituzioni europee a realizzare, anche con la modifica dei trattati, le principali proposte che emergeranno dalla conferenza, altrimenti rischiamo di sprecare una delle ultime chance di cambiamento, e forte sarà il rischio di un vero e proprio boomerang, di un passo indietro del Parlamento e dell'Unione europea.
La via da percorrere non è facile né sicura, ma deve essere percorsa e lo sarà, lo faremo con convinzione e con passione.
"
Giuliano PISAPIA,2020-01-14,IT,Situation in Libya (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2020-01-14-INT-2-466-0000_IT.html,"  Giuliano Pisapia (S&D).   – Signora Presidente, onorevoli colleghi, signor Alto rappresentante/Vicepresidente, Lei ha detto giustamente che le cose in Libia vanno di male in peggio. Anche dalla discussione di oggi emerge un giudizio spietato, che deve far riflettere: purtroppo in Libia stanno prevalendo il modello Erdoğan e il modello Putin.
Non sono poche le nostre responsabilità. Dobbiamo superare l'unanimità dei paesi membri, che troppo spesso impediscono di agire e di reagire. L'equidistanza tra al-Serraj e Haftar non ha giovato e non giova alla nostra credibilità. Senza un coinvolgimento delle tribù non vi sarà mai pace in Libia. Condivido la volontà di dialogo, ma purtroppo le buone intenzioni, da sole, non fermano una guerra.
È urgente riattivare la missione Sophia, imporre un embargo delle armi, dispiegare una forza europea di interposizione. Ricordo le parole di John Kennedy: ""Non possiamo mai avere paura di negoziare ma non possiamo mai negoziare per paura"".
"
