MP,Date,Language,Title,Url,Content
Guido REIL,2023-11-23,DE,International day for the elimination of violence against women (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-23-INT-4-033-0000_DE.html,"  Guido Reil (ID).   – Herr Präsident, liebe Kolleginnen und Kollegen! Heute ist der Internationale Tag zur Bekämpfung der Gewalt gegen Frauen. Und wie jedes Jahr finden wir warme Worte – doch sie helfen nicht, denn es wird immer alles schlimmer. Mehr häusliche Gewalt, mehr Morde, mehr Vergewaltigungen, viel mehr Gruppenvergewaltigungen, mehr Genitalverstümmelungen. Und wer sind die Täter? Ja, es sind Männer; aber leider viel zu oft sind diese Männer Migranten.
Dieselben Migranten, die in Deutschland auf der Straße waren und die Hamas gefeiert haben. Die haben die Hamas gefeiert für Massenvergewaltigungen mit anschließenden Enthauptungen der Frauen. Selbst vor Morden an Babys haben diese Bestien nicht Halt gemacht. Und diese Menschen werden gefeiert! In meiner Heimatstadt Essen waren 3000 Islamisten auf der Straße. 3000, die deutlich gemacht haben, dass sie Juden hassen, die deutlich gemacht haben, dass sie Homosexuelle hassen, und die ganz deutlich gemacht haben, dass Frauen für sie völlig wertlos sind.
Wer Frauen schützen will, muss endlich konsequent abschieben, denn diese Menschen haben mit ihrer Haltung nichts zu suchen in Deutschland und in Europa.
(Der Redner ist damit einverstanden, eine Frage nach dem Verfahren der „blauen Karte“ zu beantworten.)
"
Guido REIL,2023-11-23,DE,International day for the elimination of violence against women (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-23-INT-4-035-0000_DE.html,"  Guido Reil (ID),  Antwort auf eine Frage nach dem Verfahren der „blauen Karte“. – Massenvergewaltigung und anschließende Enthauptung von Frauen: Darüber muss man offen sprechen dürfen, auch in diesem Europäischen Parlament. Denn ich bin nicht bereit, so etwas zu tolerieren.
"
Guido REIL,2023-11-20,DE,"Children first - strengthening the Child Guarantee, two years on from its adoption - Reducing inequalities and promoting social inclusion in times of crisis for children and their families (joint debate – International Day of the Rights of the Child)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-062-0000_DE.html,"  Guido Reil (ID).   – Frau Präsidentin, liebe Kolleginnen und Kollegen! Heute ist der Internationale Tag der Kinderrechte, und ich möchte den Fokus auf ein Thema legen, das besonders wichtig ist, mir besonders wichtig ist: Kinderarmut. Das ist mir so wichtig, weil ich als Kind selber von Kinderarmut betroffen war. Ich weiß, was es bedeutet, kein Geld zu haben fürs Kino, für Schwimmbad. Ich weiß, was es bedeutet, gemobbt zu werden, weil man sich die Markenkleidung nicht leisten kann.
Ich bin geboren in Gelsenkirchen. Gelsenkirchen ist heute die Stadt in Deutschland mit der höchsten Kinderarmutsquote: 42 %; in Deutschland sind es 24 %. Damit sind wir im europäischen Ranking 20. Dieses vermeintlich reiche Deutschland ist im Ranking der Kinderarmut auf Platz 20.
Worüber sprechen wir in Summe? 2,2 Millionen Kinder. Und jetzt eine Zahl, die mich besonders betroffen macht: Von diesen 2,2 Millionen Kindern sind 933 000 seit 2015 zu uns gekommen, als Flüchtlinge, als Migranten. Von 2,2 Millionen 933 000 Kinder. Wir müssen endlich ehrlich sein: Wenn wir über Kinderarmut sprechen, sprechen wir auch über Migration.
Wir haben letzte Woche Sankt Martin gefeiert, ein Fest, das ich sehr liebe. Sankt Martin hat seinen Mantel geteilt. Wir teilen hier nicht, wir geben gerade unser letztes Hemd. Wer Kinderarmut bekämpfen will, der muss den Sozialstaat retten. Und um den Sozialstaat zu retten, müssen wir endlich die illegale Migration beenden.
"
Guido REIL,2023-10-19,DE,Commission proposal for a Council recommendation on developing social economy framework conditions (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-19-INT-4-173-0000_DE.html,"  Guido Reil,  im Namen der ID-Fraktion. – Herr Präsident, liebe Kolleginnen und Kollegen! Wir haben Donnerstag, den 19. Oktober, es ist viertel nach drei und wir diskutieren heute über die Zukunft der Sozialindustrie. Und es haben gerade einmal zehn Abgeordnete Redezeit beantragt und noch nicht mal diese zehn sind auch alle da.
Um den Ablauf dem Publikum da draußen vielleicht mal zu erzählen: Wir sind hier in Straßburg, wir haben Sitzungswoche. Diese Sitzungswoche beginnt montags um 17.00 Uhr und endet eigentlich donnerstags um 13.00 Uhr nach der Abstimmung – dann rennen hier alle weg – so, ganz, ganz überwiegend. Es gibt pro forma aber noch immer eine Debatte um 15.00 Uhr – das ist so die Debatte, wo man immer Redezeit kriegt und sogar heute habe ich zweieinhalb Minuten. Ich kriege sonst höchstens eine Minute.
Also alles spannend, wie das hier abläuft, und vor allen Dingen spannend, wie das Thema Sozialwirtschaft hier behandelt wird und welche Wertigkeit es anscheinend hat, nämlich, dass dieses wichtige Thema ausgerechnet in der Debatte diskutiert wird, wo am wenigsten Abgeordnete anwesend sind. Mir ist das Thema sehr wichtig, ich habe sogar ein Buch zu dem Thema geschrieben: „Abgezockt. Scheinheilige Politik sozialer Kälte.“ Das Buch wurde finanziert vom Europäischen Parlament. Also nicht alles ist da Unsinn.
Warum glaube ich, dass diese Politik scheinheilig ist? Denn worum geht es hier eigentlich? Also die Sozialwirtschaft in Deutschland, die betreibt Krankenhäuser, Kitas und Pflegeeinrichtungen. Und worüber reden wir jetzt? Reden wir darüber, die Bedingungen für die Kunden, die Patienten oder für die Mitarbeiter zu verbessern? Nein. Leider reden wir darüber, dass die Sozialwirtschaft klimaneutral sein soll – in Zukunft. Wieder sollen viele hunderte Millionen Euro investiert werden, um die Klimaneutralität der Sozialwirtschaft herzustellen. Meine Frau arbeitet in der Pflege, ich kann Ihnen versichern, die haben da ganz andere Sorgen. Und zwar alle Mitarbeiter im Pflegebereich haben ganz andere Sorgen als die Klimaneutralität. Diese EU und dieses Parlament zeigen damit wieder mal ganz eindrucksvoll, wie völlig abgehoben, weltfremd und auch asozial hier agiert wird. Denn andere Dinge sind viel wichtiger.
Noch mal ein anderer Hinweis: Worüber reden wir bei der Sozialwirtschaft? Wir reden hier über den größten Arbeitgeber Deutschlands – 2 Millionen Mitarbeiter, mit einem Umsatz von 20 Milliarden Euro. Das hat sich in den letzten zehn Jahren übrigens fast verdoppelt, und es gibt auch neue Einnahmequellen. Es gibt auf einmal Unterbringung von Flüchtlingen, es gibt Migrationsmaßnahmen und es gibt den Kampf gegen rechts, der sehr großzügig finanziert wird.
Also all dies ist Irrsinn. Die Kosten explodieren. Und wenn wir dem Sozialsystem helfen wollen, müssen wir die illegale Migration beenden, und wir müssen endlich den Mitarbeitern unsere Unterstützung geben – und den Patienten.
"
Guido REIL,2023-10-04,DE,Decent Housing for All (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-173-0000_DE.html,"  Guido Reil (ID).   – Frau Präsidentin, liebe Kolleginnen und Kollegen! Wir reden heute über angemessenen Wohnraum für alle, ein wichtiges Thema, denn die Mieten explodieren, und Wohnraum wird immer knapper.
In Deutschland haben 11 Millionen Haushalte einen Wohnberechtigungsschein, aber nur 10 Prozent von ihnen eine Sozialwohnung. Die Ampel-Regierung hat versprochen, 400 000 neue Wohnungen zu bauen. Geworden sind es bis jetzt 20, und mehr werden es auch nicht mehr werden, denn der Wohnungsbau bricht gerade zusammen.
Woran liegt das? Es liegt natürlich an den fragwürdigen Klimaschutzmaßnahmen, an den Auflagen, und es liegt natürlich auch daran, dass wir uns die höchsten Energiepreise der Welt leisten. Bauen ist nicht mehr bezahlbar!
Gleichzeitig erleben wir, dass die Zahl der Wohnungslosen sich im letzten Jahr verdoppelt hat. Mittlerweile sind 370 000 Menschen in Deutschland wohnungslos. Woran liegt das? Die Zahl der illegalen Flüchtlinge liegt mittlerweile wieder auf dem Niveau von 2015.
Damals hat Angela Merkel gesagt: „Wir schaffen das.“ Aber was haben wir geschafft? Nichts haben wir geschafft! Wir haben die Wohnungen nicht, wir haben die Kitaplätze nicht, wir haben die Schulplätze nicht. Integration findet fast nicht statt. Die allermeisten dieser Menschen sind nie auf dem Wohnungsmarkt angekommen − und vor allem nicht auf dem Arbeitsmarkt. Wir haben nichts geschafft.
Wenn wir etwas schaffen wollen, dann müssen wir es endlich schaffen, unsere Außengrenzen effektiv zu schützen. Wir müssen rigoros abschieben, und wir müssen umstellen von Geldleistungen auf Sachleistungen. Dann schaffen wir es auch mit dem bezahlbaren Wohnraum.
"
Guido REIL,2023-09-14,DE,Improving firefighters’ working conditions (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-14-INT-4-104-0000_DE.html,"  Guido Reil (ID).   – Frau Präsidentin, liebe Kolleginnen und Kollegen! Wir reden heute darüber, die Arbeitsbedingungen bei der Feuerwehr zu verbessern.
Ein wichtiges Thema, und es wurde schon viel Richtiges gesagt. Aber ein Problem wurde gar nicht angesprochen. Ein Problem, das wir früher gar nicht kannten. Ich rede von Gewalttaten gegenüber der Feuerwehr und Rettungskräften: im Jahr 2021 2160 Gewalttaten gegen Feuerwehr. 42 % der Feuerwehrkräfte und der Rettungskräfte geben an, schon mal Opfer von Gewalt geworden zu sein. Warum ist das so?
Damit hat sich jetzt der Verband der Feuerwehr beschäftigt. Vor wenigen Tagen hat ein Kongress stattgefunden, und auf diesem Kongress wurde die Frage gestellt: Woher kommt der Hass? Ein Redner dort, ein Psychologe mit palästinensisch-arabischen Wurzeln, hat dazu Folgendes gesagt: „Wenn wir den Migrationshintergrund nicht erwähnen, verweigern wir uns der Debatte“.
Dieser Hass ist importiert, dieser Hass ist direkte Folge der illegalen Masseneinwanderung. Und wenn wir dieses Problem lösen, müssen wir dies ansprechen. Und der Präsident des Feuerwehrverbandes hat noch ganz klar dazu gesagt: „Wir müssen diese Gewalttaten endlich rigoros bestrafen“.
"
Guido REIL,2023-09-14,DE,Segregation and discrimination of Roma children in education (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-14-INT-4-173-0000_DE.html,"  Guido Reil (ID).   – Frau Präsidentin, liebe Kolleginnen und Kollegen! Nur 28 % der Roma-Jugendlichen schaffen die Sekundarstufe II, im europäischen Durchschnitt sind es 83 %. 
Warum ist das so? Roma-Kinder werden diskriminiert. Das sagen die Roma, und das glaubt die Mehrheit in diesem Parlament hier. Deswegen wurde in der Vergangenheit sehr viel Geld investiert, um dieses Problem zu lösen. Haben wir es gelöst? Nein. Wir haben völlig versagt. Wie sieht es im woken Regenbogenland Deutschland aus? Man wird es kaum glauben – auch dort fühlen sich die Roma diskriminiert.
Und ich habe jetzt mal einen Bericht gefunden aus der „Zeit“, einer sehr linken deutschen Zeitung, in dem Grundschullehrer zu Wort kommen an Brennpunktschulen, zum Beispiel in meiner Heimat, in Gelsenkirchen, die berichten über die Probleme. Also diese Schüler kommen in die Schule, können kein Wort Deutsch, weil sie nicht im Kindergarten waren, sind sehr verhaltensauffällig und kommen einfach sehr, sehr selten. So kann Bildung nicht funktionieren und die Eltern spielen einfach nicht mit.
Das Problem ist nicht zu wenig Geld und das Problem sind nicht warme Worte. Das Problem ist diese 1 000 Jahre alte hochkriminelle Kultur, und wir müssen hier Druck ausüben, Druck zum Wohle dieser Kinder, sonst werden wir dieses Problem niemals lösen.
"
Guido REIL,2023-07-12,DE,Delivering on the Green Deal: risk of compromising the EU path to the green transition and its international commitments (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-393-5000_DE.html,"  Guido Reil (ID),  schriftlich. – Die EU präsentiert ihren Grünen Deal als eine sogenannte grüne Wirtschaftsstrategie und als Vorbild für den Rest der Welt. Dies ist eine Lüge, die aufhören muss. Weltweit sind die CO2-Emissionen stetig gestiegen und sie werden auch weiterhin steigen. Aufgrund des Bevölkerungswachstums und des Strebens nach materiellem Wohlstand wird der Energieverbrauch auf der Erde weiter steigen. Fossile Energien bleiben dabei die wichtigste Säule. China eröffnet jede Woche zwei neue Kohlekraftwerke. Indien treibt seine wirtschaftliche Entwicklung weiter voran, wie die gesamte Welt außerhalb der EU. Die Reduktion der CO2-Emissionen innerhalb der EU wurde und wird durch den Anstieg der Emissionen in vielen anderen Teilen der Welt mehr als ausgeglichen.
Tatsache ist, dass das Ziel des Pariser Abkommens nicht erreicht wird. Glaubt man wirklich, dass sich Länder wie China oder Indien ihre Wirtschaftspolitik von der EU diktieren lassen? Einige Fakten und Daten: Selbst wenn das schlimmste Erwärmungsszenario des Weltklimarats eintreten würde, wären die wirtschaftlichen Folgen vernachlässigbar. Der Weltklimarat schätzt, dass eine Erwärmung um drei Grad zu einer Verminderung des weltweiten Wirtschaftswachstums um 0,04 Prozent pro Jahr bis zum Jahr 2100 führen kann, was kaum messbar ist. In anderen Worten: Das Wirtschaftswachstum und der Wohlstand in Europa werden viel mehr durch die EU-Klimapolitik als durch die globale Erwärmung bedroht.
"
Guido REIL,2023-06-13,DE,Quality traineeships in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-13-INT-2-507-5000_DE.html,"  Guido Reil (ID),  schriftlich. – Wenn man über die Qualität von Praktika spricht, muss zunächst betont werden, dass der Hauptzweck eines Praktikums darin besteht, jungen Leuten Fähigkeiten und Kompetenzen zu vermitteln, die ihre Beschäftigungsfähigkeiten erhöhen und ihnen bei einer erfolgreichen Integration in den Arbeitsmarkt helfen. Daher soll die Qualität von Praktika sowohl im Hinblick auf die Lernergebnisse als im Hinblick auf die Bedingungen, unter denen Praktika stattfinden, bewertet werden. Eine bessere Verknüpfung mit den Kompetenzanforderungen der örtlichen Arbeitsmärkte und verstärkte Überwachungs- und Durchsetzungsmechanismen auf nationaler Ebene können die Qualität von Praktika sicherlich erhöhen. Das EU-Parlament zeichnet ein sehr düsteres Bild der Lage der jungen Praktikanten, überall in der EU, und will jetzt eine Richtlinie um auch diesen Bereich der Arbeitsmärkte in der EU zu regulieren. Dies ist abzulehnen. Die Kommission, die EU, hat in diesem Bereich keine Rechtsetzungsbefugnis. Die Vielfalt des einzelstaatlichen Erziehungs-, Ausbildungs- und Arbeitsmarktumfelds soll berücksichtigt werden. Außerdem ist die Realität viel differenzierter. In einer aktuellen Eurobarometer Umfrage gaben 61 Prozent der Befragten an, sie haben Zugang zum Sozialschutz. Über die Hälfte der Personen erhielten eine finanzielle Entschädigung. Dies ist ein Anstieg von 40 Prozent gegenüber der Umfrage von 2013. Die Ratsempfehlung von 2014 hat also eine positive Auswirkung. Sie soll nur gestärkt werden.
"
Guido REIL,2023-05-31,DE,Strengthening social dialogue (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-31-INT-1-284-7500_DE.html,"  Guido Reil (ID),  schriftlich. – Eine Stärkung des sozialen Dialogs ist sicherlich notwendig. Sowohl in Deutschland als in der gesamten EU gibt es einen deutlichen Trend zum Rückgang von Tarifbindungen. Hauptursachen sind der Strukturwandel und die Mitglieder- und Organisationsschwäche der Gewerkschaften. In Deutschland hat auch das Tarifautonomiegesetz (2014) diesen schleichenden Erosionsprozess nicht zum Halten gebracht. Jetzt hat die Ampelkoalition einen neuen Gesetzentwurf zur „Tariftreue“ vorgeschlagen. Die Politik behauptet, sie möchte den sozialen Dialog und die Tarifautonomie fördern. In Wirklichkeit greift der Staat zunehmend in die Kompetenzbereiche der Tarifvertragsparteien ein. Obwohl die Erhöhung des Mindestlohns grundsätzlich zu begrüßen ist, war die Art, wie sie beschlossen wurde, nicht in Ordnung. Den Mindestlohn ohne Einbezug der zuständigen Mindestlohnkommission zu erhöhen, schadet der Tarifautonomie in Deutschland. Durch diesen politischen Eingriff wird das System der Tarifvereinbarungen in der Sozialpartnerschaft massiv geschwächt. Auch in dieser Entschließung zur Stärkung des sozialen Dialogs ist diese politische Steuerung zu erkennen, mit u. a. einem Plädoyer für einen EU-Fonds zur Stärkung des sozialen Dialogs. In Wirklichkeit sehen wir, dass die Europäische Kommission einen richtig funktionierenden Sozialdialog auf EU-Ebene verhindert. Meiner Meinung nach soll die Stärkung der Tarifbindung „von unten“ geschehen. Statt auf Zwang einzusetzen und in die Kompetenzen der Tarifparteien einzugreifen, muss die Attraktivität der Mitgliedschaft in einer Gewerkschaft oder in einem Arbeitgeberverband erhöht werden.
"
