MP,Date,Language,Title,Url,Content
Gunnar BECK,2023-12-12,DE,Defence of democracy package (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-263-0000_DE.html,"  Gunnar Beck (ID).   – Frau Präsidentin! Die Europäische Kommission will die europäische Demokratie vor verdeckten Einflüssen durch ausländische Schurkenstaaten und unerwünschte Regime schützen. Meine Partei und meine Fraktion sehen allen sinnvollen Vorschlägen in dieser Hinsicht positiv entgegen. EU-kritischen Politikern und Parteien wird oft vorgeworfen, sie würden von Nicht-EU-Mächten finanziert – meines Wissens zu Unrecht.
So kommt die Kritik an dem Ansinnen der Kommission auch nicht von Eurokritikern, sondern von NGOs und der sogenannten Zivilgesellschaft, die unkontrolliert die Energie—, Klima- und Pro-Migrationspolitik der EU mitbestimmen. Denn NGOs sind von der EU-Geldwäsche- und -Antiterrorgesetzgebung ausgenommen, sodass die Finanzierung von NGOs und ihre politischen Verflechtungen allzu oft im Dunkeln bleiben.
Lassen Sie uns also gerne mehr Transparenz in verdeckte politische Einflussnahme bringen, aber bitte nicht nur von unerwünschten Drittstaaten, sondern auch durch NGOs und offen kommerzielle Interessenkonflikte wie Frau von der Leyens SMS-Korrespondenz mit Pharmariesen wie Pfizer und US-Consultingfirmen oder die Präsenz von Blackrock-Beratern direkt in der EZB.
Denn von westlichen Oligarchen – Ihren sogenannten Philanthropen – wie George Soros, Bill Gates oder Klaus Schwab fließt ziemlich sicher mehr Geld in die EU-Politik und NGOs als von allen Nicht-EU-Drittstaaten zusammen. Und seien Sie bitte nicht zu zaghaft. Der Theorie nach dürfen unsere Richter keine Kontakte zu Prozessparteien, über die sie richten, unterhalten. Wieso also untersagen wir unseren Politikern nicht kategorisch jeden Kontakt zu NGOs und Lobbyisten? Wenn sie ihre eigenen Lippenbekenntnisse ernst nähmen, wäre das gewiss ein guter Beginn.
"
Gunnar BECK,2023-12-11,DE,One-minute speeches on matters of political importance,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-11-INT-1-197-0000_DE.html,"  Gunnar Beck (ID).   – Frau Präsidentin! Das US-Wirtschaftsmagazin Forbes hat Ursula von der Leyen zur mächtigsten und EZB-Chefin Lagarde zur zweitmächtigsten Frau der Welt gekürt. Die Kriterien: das Ausmaß der Macht über Human- und Finanzkapital und weltpolitischer Einfluss. Gemessen wird also Macht, nicht Leistung. So bemessen, macht die Wahl Sinn. Nach den Verträgen ist von der Leyen eine Verwaltungschefin und die EZB Hüter der Preisstabilität. Doch seit 2019 haben beide die Kommission faktisch zur europäischen Regierung und die EZB zu ihrer Gelddruckerei ausgebaut. Machtmissbrauch durch Vertragsbruch ist auch Macht, und Machtfülle ist gleichfalls, eigene Macht nicht zum Wohle, sondern zum Schaden der Bürger zu nutzen.
Europa ist heute wirtschaftlich schwächer, weniger europäisch und laut der letzten PISA-Studie dümmer als jemals zuvor. Die EU hat die mächtigsten Frauen der Welt, aber sie kosten uns alles.
"
Gunnar BECK,2023-11-22,EN,"This is Europe - Debate with the Prime Minister of Bulgaria, Nikolay Denkov (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-079-0000_EN.html,"  Gunnar Beck,  on behalf of the ID Group. – Madam President, honourable Prime Minister, allow me to congratulate you on your decision to order an investigation into the 2023 Bulgarian-Turkish gas deal concluded by your predecessor. The Southern Gas Corridor, we all know, is used to launder Russian gas via Turkey, and to circumvent EU sanctions, which so far have had little effect on the Russian economy.
The European Commission knows this full well, as its EUR 400 million subsidy agreement with the Gas Corridor contains a secrecy clause, which prohibits any probe into the provenance of the gas. In other words, former Prime Minister Borisov was given a free licence to launder Russian gas in return for his loyal support for Mrs Merkel and her party throughout his years in the Council.
Moreover, under the gas deal, Bulgargaz has to pay Turkey’s state owned gas company Botaş an annual service fee of EUR 2 billion. Northern European citizens are paying cohesion funds to Bulgaria, which Bulgaria then appears to be handing over to Erdoğan. EU policy, it seems, is riddled with hypocrisy.
On Bulgarian accession to Schengen, I agree with the position taken by the Austrian and Dutch governments. We need to reform Schengen before we can talk about Schengen expansion.
There’s also the regrettable issue of Bulgarian officials selling Schengen visas to illegal migrants. Of course, the main culprit here is Germany, which is creating pull factors for migrants to enter via southern Europe, and resisting credible rules for pushbacks and comprehensive repatriation of illegal migrants.
We therefore call on the Bulgarian Government to help us in the fight for ambitious migration reform in the EU. Then I can’t imagine your application finally to join the Schengen system would pose too many problems.
"
Gunnar BECK,2023-11-21,DE,Proposals of the European Parliament for the amendment of the Treaties (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-293-0000_DE.html,"  Gunnar Beck (ID).   – Herr Präsident! Dieses Haus will die Vorschläge der Konferenz zur Zukunft Europas für einen EU-Bundesstaat umsetzen. Dazu gehört auch von der Leyens EU-Migrationspakt, der Migration erleichtern und sogar die Einbürgerung beschleunigen soll, sodass künftig immer weniger EU-Bürger Europäer sein werden.
Dazu wollen Sie das Dublin-System abschaffen. Doch Dublin muss nicht ersetzt, sondern müsste nur befolgt werden. Die Macht des EuGH darf nicht erweitert, sondern sollte eingeschränkt werden, denn Luxemburg ist kein unparteiisches Gericht, sondern der EuGH folgt einer ultraflexiblen Rechtsmethodik im Widerspruch zur Wiener Vertragsrechtskonvention und beugt so Recht im Interesse der EU und ihrer woken Ideen.
Genau deshalb sollte der Vorrang des EU-Rechts vor nationalem Recht nicht erweitert, sondern beschnitten werden. Zurzeit gibt es keine Rechtsmittel gegen ein EuGH-Urteil. Das ist vielleicht noch tolerabel bei technischen Rechtsfragen, die die Machtverteilung zwischen EU und Mitgliedstaaten nicht berühren. Doch wo vitale nationale Interessen im Spiel sind, brauchen die Mitgliedstaaten eine Gerichtsbarkeit der letzten Instanz.
Denn die Lehre aus der Geschichte ist: Die EG war ein Erfolg, weil sie nicht übermächtig war. Doch mit Maastricht begann unser stetiger wirtschaftlicher Niedergang. Wir brauchen eine Gewaltenteilung, denn eine allmächtige EU führt uns in den Ruin, gerade auch bei der Migration.
"
Gunnar BECK,2023-11-20,DE,One-minute speeches on matters of political importance,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-243-0000_DE.html,"  Gunnar Beck (ID).   – Herr Präsident! 60 Milliarden Euro zur Bewältigung der Coronakrise hätten nicht in den Klimafonds fließen dürfen – so urteilte das deutsche Verfassungsgericht letzte Woche. Denn, so das Gericht, Schulden, die für eine akute Notlage aufgenommen wurden, dürfen nicht zweckentfremdet werden – das sei ein Verstoß gegen die Schuldenbremse in Deutschland.
Die deutsche Ampel-Regierung muss jetzt einen neuen Taschenspielertrick für ihre Schattenhaushalte finden. Helfen dabei soll von der Leyens illegal schuldenfinanziertes 800-Milliarden-Euro-NextGenerationEU- und -Corona-Wiederaufbauprogramm, von dem bereits ein Drittel zweckfrei, zweckfremd in Klima-Klimbim fließt, und bald noch mehr.
Die EU bleibt sich also treu: Sie schafft scheindemokratische Schleichwege zur Umgehung nationaler Entscheidungen für Fantasieprojekte, die scheitern müssen, weil ihnen jedes Maß und Vernunft fehlt.
"
Gunnar BECK,2023-11-08,DE,One-minute speeches on matters of political importance,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-08-INT-1-277-0000_DE.html,"  Gunnar Beck (ID).   – Frau Präsidentin! Laut offiziellen Zahlen beläuft sich die Belastung der öffentlichen Haushalte in Deutschland durch Migranten auf knapp 50 Milliarden Euro jährlich. In Wahrheit sind es mindestens 100 Milliarden.
Nun will die deutsche Regierung Abschiebungen durch Migrationsabkommen forcieren und Asylzentren im Ausland einrichten. Altbekannte Absichtserklärungen, aus denen nichts wird, weil Gerichte es verhindern und/oder politischer Wille fehlt. Nach geltendem Recht sind fast alle Migranten illegal eingereist und hätte deren Einreise durch Push-backs verhindert werden können. Doch von der Leyens EU-Migrationspakt soll Push-backs verhindern, indem er illegale Migration legalisiert.
Schon heute betragen die Kosten für Migranten mindestens 2,5 % des deutschen Bruttosozialproduktes, Tendenz rasant steigend – eine Last, mit der eine führende Volkswirtschaft nicht mehr aufrechterhalten werden kann.
"
Gunnar BECK,2023-10-18,DE,Fighting disinformation and dissemination of illegal content in the context of the Digital Services Act and in times of conflict (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-379-0000_DE.html,"  Gunnar Beck (ID).   – Herr Präsident! Große Onlineplattformen und Suchmaschinen wie Facebook, WhatsApp, Google, Apple oder Twitter unterliegen seit August dem Gesetz über digitale Dienste, dass Hassrede und Desinformation im Internet kontrollieren soll. Als Hassrede gilt unter anderem jede kritische Meinungsäußerung aufgrund nationaler, ethnischer oder religiöser Kriterien. Ebenso zensurwürdig sind sogenannte Online-Desinformationen, einschließlich der Verbreitung angeblicher Fehlinformationen wie Kritik an der COVID-Lockdown- und -Impfpolitik. Auch die Erhebung von migrationskritischen Statistiken nach ethnischen Kriterien könnte EU-weit verboten werden.
Online-Konzerne müssen die Inhalte nicht selbst überwachen, sondern nur eingreifen, wenn sie einen Hinweis eines sogenannten trusted flagger, das heißt Melders oder Spitzels, erhalten. Die flagger richten über unerwünschte und unzulässige Inhalte. Handeln die Konzerne nicht, drohen hohe Strafen. Gegen solche Zensurentscheidungen hat ferner der Nutzer nur den kostspieligen Rechtsweg.
Ferner sieht das Gesetz über digitale Dienste einen Krisenparagrafen vor. Bei einer Pandemie- oder Bankenkrise kann so die Kommission direkt Konzerne anweisen, Inhalte zu kennzeichnen oder zu löschen. Ihnen allen hier meinen Glückwunsch! Mit dem Gesetz über digitale Dienste stimmten Sie für die potenziell umfassendste Überwachung der Meinungsfreiheit im Internet außerhalb Chinas.
"
Gunnar BECK,2023-10-17,DE,Effectiveness of the EU sanctions on Russia (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-032-0000_DE.html,"  Gunnar Beck (ID).   – Herr Präsident! Die EU-Sanktionen gegen Russland sollten rasch und schmerzhaft wirken – tatsächlich schaden die Sanktionen uns mehr als Russland. Genau deshalb auch unterläuft die EU ihre eigenen Sanktionen und importiert weiterhin große Mengen russisches Gas zu höheren Preisen über Aserbaidschan. Zum selben Zweck billigte die Kommission gerade ein zinsgünstiges Darlehen von 400 Millionen Euro an den bulgarischen Gaskonzern Bulgargaz, gegen den sie noch 2018 wegen kartellrechtlicher Vergehen Strafen von fast 80 Millionen Euro verhängt hatte, der jetzt aber russisches Gas liefern darf. Um die Herkunft des durch die Südeuropa-Pipeline transportierten Erdgases zu vertuschen, gibt es eine Geheimhaltungsklausel.
Ihre Heuchelei zeigt: Ihre Sanktionen schlagen fehl. Beenden Sie endlich diese Farce und kümmern Sie sich um Frieden und Wohlstand in Europa, denn dafür wurde die EG einst gegründet.
"
Gunnar BECK,2023-10-17,DE,Commission Work Programme 2024 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-237-0000_DE.html,"  Gunnar Beck (ID).   – Frau Präsidentin! Seit 2010 fällt die EU wirtschaftlich immer weiter hinter Nordamerika, Australien und den Fernen Osten zurück. Offensichtlich reagiert die EU auf jede Krise – sei es COVID, Ukraine, Energie oder die sogenannte Weltklimakrise – mit mehr Erregung, aber weniger Erfolg als der Rest der Welt.
Wo liegen Ihre Prioritäten bis zur Europawahl? Erstens: Bis Ende 2023 werden in der EU bereits fast eine Million Asylanträge gestellt worden sein. Dennoch planen Sie einen neuen EU-Migrationspakt, der noch mehr unqualifizierte Migranten aus Afrika und dem Orient hierhin holen soll. Zweitens: Der Ukrainekrieg und unsere Sanktionen haben die EU in die Stagflation gestürzt. Dennoch wollen Sie weiterhin dutzende Milliarden in ausländische Konflikte stecken, während Millionen Europäer ihre Heiz- und Haushaltskosten nicht mehr zahlen können. Drittens: Ihre experimentelle Energiepolitik, die unsere Wirtschaft wettbewerbsunfähig macht und unsere Bürger ruiniert. Dennoch wollen Sie die grüne Transformation beschleunigen. All das kostet mehr Geld, das Sie nicht haben und unsere Bürger erst erarbeiten müssen mit Arbeitsplätzen, die Ihre Politik aufs Spiel setzt.
Stattdessen: Konzentrieren Sie sich bitte endlich auf das Wesentliche! Wir brauchen mehr Wettbewerbsfähigkeit für mehr Wohlstand, denn im Vergleich zur Weltspitze spielt die EU wirtschaftlich zurzeit allenfalls im oberen Drittel der zweiten Liga.
"
Gunnar BECK,2023-10-16,EN,Establishing the Ukraine Facility (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-16-INT-1-099-5000_EN.html,"  Gunnar Beck (ID),  in writing. – The EU´s Ukraine Facility is yet another credit line of 50 billion euros for Ukraine, despite growing concerns and overwhelming evidence of widespread corruption in Kiev. Even former Commission president Jean-Claude Juncker acknowledged in the German media that Ukraine is a cesspool of “corruption at all levels of society”.
Earlier this year, two high-ranking Ukrainian officials were arrested on suspicion of embezzlement involving the procurement of humanitarian aid, while the defence minister was forced to resign over his reluctance to tackle rampaging corruption throughout the Ukrainian military. Even the chief justice of the Ukrainian Supreme Court has been detained on suspicion of taking bribes from oligarchs.
On the one hand, it is positive that the European Public Prosecutor´s Office signed a working arrangement with the National Anti-Corruption Bureau of Ukraine to facilitate cooperation in investing corruption cases. One the other hand, to prevent is better than to cure. In times of raging inflation and dwindling economic growth, these 50 billion euros can be better spent on European working people and families. The EU needs to put the interests of the Europeans first.
"
