MP,Date,Language,Title,Url,Content
Guy VERHOFSTADT,2023-11-21,EN,Proposals of the European Parliament for the amendment of the Treaties (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-266-0000_EN.html,"  Guy Verhofstadt,  rapporteur. – Mr President, first of all, I want to thank also the Spanish Presidency for being here for this debate. It is much appreciated. We all have to recognise that since the approval of the Lisbon Treaty, that was quite a number of years ago, the world has changed dramatically. We have since then, over the last years, lived in a brutal world – the world of what I call empires – in which the sovereignty of the peoples and countries of Europe can, in my opinion, only be secured through an enlarged European Union and a more enhanced European Union. 
I think that we have to be, in this debate today, honest with ourselves. That is, that we are for the moment, not ready for this more brutal world in which we have entered and also not ready for the absolute need for an enlarged European Union to 35 or 37 Member States. Certainly not with Russia that continues its aggression, or maybe with – hopefully not – a return of Trump in the White House next year. 
The key problem that we face in our Union is that too often we react too little too late, because we are paralysed by the request for unanimity in our decision-making. I will not give the whole list, the list is long, but a few examples. It has now been months that we have not been capable of deciding on a 12th sanction package against Russia. We are not capable of refinancing the European Peace Facility to send new weaponry to Ukraine because of unanimity. And we were for a decade not capable of doing something against illegal migration because we enclosed ourselves in unanimity. 
So vetoes and blackmail have become in the European Union, I would say, the standard practice. And if we find a consensus, then we go to the General Assembly of the UN and then we vote one third in favour, one third against and one term third abstains. 
So the question with this report is how to change this. The passerelles, dear colleagues, let’s be honest, have failed. And the reason they have failed is that because there is not one smaller or medium Member State, not even Spain, Poland or Italy, who is ready to give up its veto to strengthen, in fact, the de facto combined veto right of France and Germany under the current rules. 
Therefore this report, I think, is critical and important because we will fundamentally change this by creating a qualified majority by two thirds of the Member States, representing 50% of the population, and dramatically increasing doing so the position of small- and medium-sized Member States. 
We introduce also reinforced qualified majority for important decisions, like, for example, the budget, own resources or the coming into force of Treaty modifications. I think that this way is the way to overcome the unanimity trap in which the European Union has come and fall in for years now. 
In the same spirit, what this report is doing is also reforming Article 7, giving an enhanced role to the European Court of Justice, so that maybe it can work in the future. Enhancing also subsidiarity to the national parliaments and the regional parliaments with legislative power by giving a green card, which does not exist today. And then also increasing European democracy by giving more power to our Parliament, for example, the possibility to take initiatives or also to decide on the income side of the budget and finally, new competences like in defence, health, energy and climate change. 
I want to conclude, Mr President and dear colleagues, by saying let us not make a mistake when we vote tomorrow. And I say that especially to those who are today, by Twitter and by other means, attacking this reform of the European Union. This report will not change the Treaty overnight. This report does not create a European superstate, which is completely ridiculous if we remember that the budget of the European Union is 1% of the European GDP – I do not think with 1% of European GDP, dear colleagues, that we are a superstate. 
The truth is that the approval of this report is needed to start the process, to make use of Article 48, so that the European Council can start the work, so that we can enlarge the Union, we can further unify the continent and be ready for the huge challenge ahead of us. And I would ask you, do not miss that historic opportunity tomorrow. 
"
Guy VERHOFSTADT,2023-11-21,EN,Proposals of the European Parliament for the amendment of the Treaties (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-349-0000_EN.html,"  Guy Verhofstadt,  rapporteur. – Mr President, most of the remarks have been made about unanimity, so I presume that all the rest of the proposals are then okay, because there were no remarks, nearly, on all the other topics that were in the report. So, that is a good sign.
But on unanimity, it is a little bit strange that this criticism comes from the Polish side, on the abolishment of unanimity, because Poland knows what damage unanimity can do. Your country even disappeared for decades because of the unanimity that existed in the Polish Parliament. That completely undermined the existing of the Polish State. So, you will be the first in fact to defend the end of unanimity.
I remember very well – if you allow me, Mr President – the discussions on the Lisbon Treaty with President Kaczyński and Prime Minister Kaczyński at the time. They were not very pleased with the outcome of the Lisbon Treaty, certainly not with the whole issue about the 55/65 qualified majority rule. They were against.
What we do here in the proposal is we make the position of small- and medium-sized Member States, and especially of a big Member State like Poland, stronger in the proposal, by saying that you need, in the future, two-thirds of the Member States to approve by qualified majority a proposal, and to lower the 65%, what is in fact a veto for France and Germany, to 50%.
I am pretty sure that if that was on the table at the moment of the Lisbon Treaty that both President Kaczyński and Prime Minister Kaczyński would be victorious and would be happy with such a proposal.
So, maybe you have to reconsider your own attitude in the past a little bit before saying ‘no’ to this important proposal of the European Parliament.
"
Guy VERHOFSTADT,2023-10-04,EN,Need for a speedy adoption of the asylum and migration package (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-061-0000_EN.html,"  Guy Verhofstadt (Renew).   – Mr President, first of all, to Mr Vandendriessche, who is no longer in the plenary, to say that really using ‘population replacement’ here is a scandal because maybe he doesn’t find a problem, but simply to recall that population replacement has been used by Breivik, for example, as a justification to kill 69 young people in Norway. That’s the reality. 
I have to tell you, Mr Schinas, that personally I think that it’s good that we will have now a deal after eight years, because you, first of all, with the Council, tried to find unanimity between the Member States, even when the Treaty says it is not necessary unanimity. 
But I think that there are two things missing. First of all, a real legal route to enter the European Union, a European legal migration framework based on a blue card and not 27 different systems. The second is giving the possibilities, in my opinion, that people can ask for asylum or refugee status in their country of origin or in the country of transit. 
You know what the drama and the tragedy is? It’s that people need to come to Europe on the European territory to ask for asylum. So why not use our consulates? Why not use our embassies? Why not use opening centres in the countries of origin so there they can ask for asylum and, if it is agreed, then they can enter the European Union. That is missing in your package. 
"
Guy VERHOFSTADT,2023-09-13,EN,State of the Union (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-058-0000_EN.html,"  Guy Verhofstadt (Renew).   – Madam President, I hope that you’re going to be flexible for me, for once, because it’s my last intervention on the State of the Union after 15 years in Parliament and 10 years in the Council.
I have to tell you, Madam President, that I missed something, and I’m really in disagreement with you on one thing.
What I missed was the European Defence Union. And it’s more than the common production of ammunition for Ukraine. Can you imagine if we are in the same situation, in a war with Ukraine, with Trump back as a president and without having the backing of NATO? So the European Defence Union is absolutely clear and necessary for the future.
The second thing, where I am in complete disagreement with you – and you are the first President of the Commission who has tried to do that – is your suggestion to decouple the enlargement of the European Union from the deepening of the European Union. Yes, you said ‘let’s try with 30, with 35, with 36’. I can tell you, look at a European Union before your eyes with 35, 36 Commissioners or something like that – we already have no tasks for them today with 27! Or secondly, can you imagine the European Union with still the unanimity rule? You said, ‘Yeah, but we managed it.’ You managed it? Let’s give the examples. Migration we managed, it’s a breakthrough, because we skipped the unanimity, because for seven years the Council said ‘We’re going to do it with unanimity. It’s better than with qualified majority’, even when in the Treaty it’s foreseen by qualified majority. So the breakthrough came because we skipped unanimity and the same in sanctions.
And Mr Zelenskyy, the President of Ukraine, is right. He is saying that the counteroffensive of Ukraine goes at the speed of light compared to the sanction policy of the European Union. We are not capable anymore of deciding on additional sanctions against Russia because of unanimity in the European Union – because one or two countries oppose it.
So I think we absolutely need this reform of the Treaties and in my opinion, I ask in any way the Spanish Presidency by the end of the year when they open the negotiations with the candidate Member States not to do it if at the same time we don’t also open the debate on the reform of the Treaties.
"
Guy VERHOFSTADT,2023-09-12,EN,Iran: one year after the murder of Jina Mahsa Amini (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-315-0000_EN.html,"  Guy Verhofstadt (Renew).   – Mr President, High Representative Borrell, you know that I like you very much and also that I applaud the courage that you have got in the Ukrainian file.
But I have to tell you – and the proof, you have listened to it – nobody likes your position on Iran. That’s the reality. The reasons are very clear. Let’s be honest, the policy and the strategy of Europe towards Iran is purely symbolic. It has nothing to do with stopping the regime. The so-called critical engagement; what does it mean? Two hundred and twenty-six people have been sanctioned by the European Union for human rights abuses. For the help of Iran to Russia, twelve people have been sanctioned. Twelve people. That is the only thing that’s happened.
In the meanwhile, the Revolutionary Guard is still not a terrorist organisation. So, I can tell you one thing. This Parliament wants another approach. My request will be, Mr President, that in two months we put this file, in November, again on the plenary of this Parliament. So we can see that you change your strategy and that you can also convince your colleagues – ministers of foreign affairs, because I know it’s not only you who is responsible for it – for a new course, because what is happening in Iran is a scandal. It’s a regime of murderers and criminals, and we have to be really tough with them.
"
Guy VERHOFSTADT,2023-07-12,EN,"Conclusions of the European Council meeting of 29-30 June 2023, in particular the recent developments in the war against Ukraine and in Russia (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-049-0000_EN.html,"  Guy Verhofstadt (Renew).   – Mr President, I want to come back to the absence of the Council here, because we all know why they are not here, the leaders of the European Union, because they are in Vilnius in the NATO summit. What do they have to do in the NATO summit? Nothing at all. The EU is not a member of NATO, in my opinion. But the photos are there and they are in search of a new Secretary General for NATO for next year. So there they are and not here in Parliament to answer the questions that we have.
On top of that, Mr President, what they are deciding there in Vilnius is nothing at all, because they are putting Ukraine again in a waiting room. That is not a wise decision, in my opinion, because it gives the impression for Russia that they can continue the war. The longer they continue the war, the longer Ukraine will be outside NATO.
Let’s not make this mistake here in Europe. My proposal is that, after the summer break, as fast as possible, the Commission comes forward with a proposal to open the negotiations with Ukraine as a member of the EU.
"
Guy VERHOFSTADT,2023-06-13,EN,Negotiations on the European Electoral Law (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-13-INT-2-402-0000_EN.html,"  Guy Verhofstadt,  on behalf of the Renew Group. – Madam President, Minister, it’s one year that the Council has a letter about Article 48 and the launch of a convention and we didn’t receive a reply. It’s more than one year that you have the electoral law approved by Parliament and you have still no common position. But you are capable to send us a letter about the composition of Parliament; on the future composition of Parliament, we need to make progress. I find that you have guts to do that. 
So, one year and you are not capable to respond to Article 48, what is by a simple majority in the Treaty. You are not capable to respond to have a common position on the electoral law, but on the composition it needs to go fast, fast, fast. I can tell you one thing: I think there will be a link between all this, one day or another. 
The best way forward is not to send these letters. The best way forward will be that the President of the Council, the rotating presidency, takes contact with the President of Parliament and starts to have a meeting about the global issue that we have on the table. And that is the request on the convention, that is the electoral law and that is the composition of the Parliament. And the longer you are waiting with that, the more problems we will have and the more problems you will have and the next Presidency will have. The faster you propose, together with Ms Metsola, a common meeting about this, the faster we will have a solution for all these files, if that is an advice that I can give you.
"
Guy VERHOFSTADT,2023-04-19,EN,"Repression in Russia, in particular the cases of Vladimir Kara-Murza and Alexei Navalny",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-19-INT-3-405-0000_EN.html,"  Guy Verhofstadt,  on behalf of the Renew Group. – Madam President, it is fantastic here in this debate to hear described the courage of these two men – Vladimir Kara—Murza and Alexei Navalny. I think they have enormous courage to go back to their country, to Russia, to fight for a free and democratic Russia after they have been poisoned by Putin –both of them. 
I have to tell you that I would not have this courage, very honestly, to return in such circumstances. But the question is, are we courageous here in these two cases? I have to tell you, President, that we have sent with a number of colleagues, already on 6 April, a letter to the Commission, to Mr Borrell, asking for Magnitsky sanctions the fastest as possible in the case of Vladimir Kara—Murza. That’s from 6 April. The Americans have already two months ago taken Magnitsky sanctions in that case – and we are still waiting.
So what I ask, Mr Commissioner, is that the Commission and Mr Borrell come forward, with the Council, with the Foreign Affairs Ministers, with Magnitsky sanctions in the case of Vladimir Kara-Murza, in the case of Mr Navalny and in the case of all these political prisoners, the fastest as possible. 
I ask, we will ask – and we will have a majority in this parliament – that the point is again on the agenda in May or in June. We expect then that these packages will be announced in the coming weeks. Otherwise, in my case in any way, I will cancel my trust in the European leadership of today.
"
Guy VERHOFSTADT,2023-04-18,EN,The need for a coherent strategy for EU-China Relations (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-18-INT-2-071-0000_EN.html,"  Guy Verhofstadt (Renew).   – Mr President, Mr Borrell, I have to tell you one thing. I was pleased that you got COVID. I was pleased that you got COVID a few days ago and that you didn’t go to China because it only add more cacophony to the positions of Europe on China. So very well that you stay at home. But I have a request you: it’s your task to come forward now with a new strategic paper.
You know, the strategic paper on China dates from 2016. 2016! I know! Then we added we actualised the paper of 2016, Mr Bütikofer, in 2019. And then in the meanwhile, what happened, is everything what happened in Hong Kong, because everybody is talking about Ukraine, but things changed fundamentally when? At the moment of Hong Kong, because the consensus worldwide was ‘one China, two systems’. And if China doesn’t accept any more two systems, why we should accept one China? It is the one or the other. So my plea to you is to come forward as fast as possible in the three months from coming with a new communications strategy paper on China, sending it to the Council, sending it to the European Parliament, and to define this new strategy, as fast as possible. That is what we need to do.
"
Guy VERHOFSTADT,2023-03-29,FR,Order of business,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-29-INT-1-052-0000_FR.html,"  Guy Verhofstadt,  au nom du groupe Renew. – Madame la Présidente, personnellement, je dois vous dire que je crois que cette affaire serait mieux discutée et débattue dans l’Assemblée nationale de la France. C’est une démocratie, la France. Il ne faut pas l’oublier. En plus, pour qu’il n’y ait pas de malentendu, Madame Aubry, s’il y a des ripostes policières exagérées, je vais être le premier à les dénoncer et aussi à les condamner. Mais cela reste naturellement des ripostes. Cela veut dire une réaction à d’autres violences qu’on a vues sur nos télés. C’est ça la réalité. Et des violences qui sont, et ça c’est encore plus grave, Madame Aubry, parfois encouragées par des partis politiques aujourd’hui en France.
Des gens qui disent: «N’écoutez pas les élections, ce n’est pas légitime. Ce qui est en fait le plus important, c’est la censure populaire, pas la majorité parlementaire. Eh bien, vous faites des gestes, Madame Aubry, mais j’ai quand même, une fois, regardé votre compte Twitter.
J’ai été interrompu deux ou trois fois, Madame la Présidente, il faut me laisser tout de même donner ces quelques exemples. Permanence de M. Ciotti vandalisée: pas de condamnation sur votre Twitter. Le bébé d’Aurore Bergé menacé: rien sur votre Twitter. La porte d’entrée de l’hôtel de ville de Bordeaux incendiée: pas de réaction de Mme Aubry sur Twitter. Et puis des centaines de policiers blessés: pas question d’en parler.
Je propose un autre titre pour le débat, si débat il y a: «Violence en politique, une menace grandissante pour le droit à manifester. La démocratie et ceux qui la défendent.»
"
