MP,Date,Language,Title,Url,Content
Hannah NEUMANN,2023-12-13,DE,One year after Morocco and QatarGate – stocktaking of measures to strengthen transparency and accountability in the European institutions (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-255-0000_DE.html,"  Hannah Neumann (Verts/ALE).   – Herr Präsident, liebe Kolleginnen und Kollegen! Katar war nicht das erste Land, das mit illegalen Methoden versucht hat, Einfluss auf die europäische Politik zu nehmen, und es wird nicht das letzte sein. Heute werden immer mehr Entscheidungen auf europäischer Ebene getroffen, die für Drittstaaten von besonderem Interesse sind – Finanz- und Investitionspolitik, Handelspolitik, Visapolitik. Und genauso wie unsere Verantwortung hier zunimmt, nehmen Versuche zu, legal – aber eben auch illegal – Einfluss auf uns zu nehmen. Deswegen müssen wir zusätzlich zu den Regeln, die wir dieses Jahr beschlossen haben, zwei weitere Dinge tun.
Erstens: den Laden hier sauber halten. Und ich erwarte, dass jede und jeder hier die Regeln einhält, die wir uns gegeben haben, und dass es endlich auch schmerzhafte Sanktionen gibt, wenn sich jemand nicht daran hält. Und zweitens: die Behörden in Belgien und den Mitgliedstaaten so ausstatten, dass sie dem Ganzen endlich Herr werden – Herr Körner hat die Probleme beschrieben. Damit Drittstaaten es irgendwann gar nicht mehr versuchen – nicht bei uns, nicht in der Kommission, nicht im Rat und auch sonst nirgendwo.
"
Hannah NEUMANN,2023-12-13,EN,European Defence investment programme (EDIP) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-385-0000_EN.html,"  Hannah Neumann,  on behalf of the Verts/ALE Group. – Madam President, with EDF, EDIRPA, ASAP, EDIP, EDIS frankly said I’m a bit tired of these acronyms trying to disguise the main problem: Member States are simply not willing to move towards a truly European defence industry and market. The communication on EDIP in February surely won’t change that. But I haven’t given up on EDIS, the strategy, yet. 
Here is what needs to be done. One, let’s pool national defence budgets to buy what we need to guarantee the security of European citizens and that of our closest allies, Ukraine before all. We have to stop competing against each other on the market, because this only increases the profits of the defence industry and decreases the security of Europeans.
Two, let’s work on common technical standards to ensure interoperability and economies of scale, and then subsidies and pooled funds should only go to those who produce and procure along these EU standards.
Finally, we need to talk about arms exports. Currently, we have common rules but very diverging national export policies. This is a constant source of conflict between EU Member States, and it hampers cooperation – and Mr Breton, don’t tell me it’s complicated. I have the solution in the drawer, I have it on my website, please just reach out.
Dear colleagues in the Commission and in the Council, if you want to really move from a national piecemeal to a truly European approach – pooling resources, increasing interoperability, prioritising the security of European citizens over the benefits of those of the arms industry – we are here to support.
"
Hannah NEUMANN,2023-11-22,EN,"Humanitarian situation in Gaza, the need for the release of hostages and for an immediate humanitarian truce leading to a ceasefire and the prospects for peace and security in the Middle East (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-033-0000_EN.html,"  Hannah Neumann (Verts/ALE).   – Mr President, as we debate, families in Israel are mourning children, parents, spouses barbarically killed by Hamas terrorists on 7 October. They fear for the lives of hostages, and they are seeking shelter from ongoing Hamas shelling. In Gaza, people are mourning their children, parents, spouses who have become victims of Israel’s shelling of civilian infrastructure. They fear for those who remain exposed to ongoing airstrikes and suffer under the siege of Gaza.
All human beings have the right to live in safety and freedom. Demanding this for one group does not question this right in relation to another group. Empathy is not a zero-sum game.
The announced release of hostages linked to a temporary truce offers a new glimpse of hope to end the spiral of violence. The European Union, together with the UN, Arab states and the US, must facilitate a process where both Israelis and Palestinians can work on solutions to live side by side in peace. Hopefully for good this time.
"
Hannah NEUMANN,2023-11-20,DE,"UN Climate Change Conference 2023 in Dubai, United Arab Emirates (COP28) (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-098-0000_DE.html,"  Hannah Neumann (Verts/ALE).   – Frau Präsidentin, liebe Kolleginnen und Kollegen! Wenn wir die Klimakrise stoppen wollen, dann müssen die Fossilen im Boden bleiben. Wir müssen also jetzt reden über den massiven Ausbau der Erneuerbaren und über Klimaschäden und faire Kompensation. Dafür brauchen wir die Zivilgesellschaft am Tisch. Tausende Menschen verlieren heute schon ihr Zuhause. Jeden zweiten Tag wird ein Mensch ermordet, der sich für mehr Klimaschutz einsetzt. Und in den Vereinigten Arabischen Emiraten sitzen immer noch Dutzende Menschenrechtsaktivisten in Haft, sogar nachdem sie ihre Strafen abgesessen haben.
Wir alle, die wir zu COP fahren, sollten die Vereinigten Arabischen Emirate an ihre Versprechen gegenüber den zivilgesellschaftlichen Akteuren erinnern. Und auch daran, ihnen alle politischen Freiheiten zu gewähren. Und gleichzeitig: Ohne die Golfstaaten im Team Klimaschutz kriegen wir diese Welt nicht gerettet, egal wie viel wir Bahn fahren. Deswegen: Lasst uns diese COP nutzen, um die Golfstaaten zu Vorreitern bei echtem Klimaschutz zu machen.
"
Hannah NEUMANN,2023-10-17,EN,"Urgent need for a coordinated European response and legislative framework on intrusive spyware, based on the PEGA inquiry committee recommendations (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-367-0000_EN.html,"  Hannah Neumann,  on behalf of the Verts/ALE Group. – Mr President, Commissioner, we heard it right now. You know it and we all know it: how widespread the abuse of spyware is. This Parliament has worked hard to develop recommendations on how to fix it that have been carried by a broad majority. Yet, so far nothing happened, although the Commission had promised to pick them up. In the meantime, we keep learning about new revelations. Members of Parliament targeted again, including President Metsola, European companies illegally circumventing export regulations and European stakeholders making money by sending spyware to dictators, who use them to target human rights defenders. Frankly said, it is only a matter of time before military-grade spyware ends up in the hands of terrorists. So what more do you need to finally act?
Commissioner, the European Union has one superpower. The superpower is to set standards and regulations that then become global ones. We have managed to regulate the use of ‘ABC’ – atomic, biological and chemical weapons – globally. The EU must now take the lead to also regulate the use of these digital weapons and ban its most intrusive forms. Frankly said, exploring options for a non-legislative proposal is not going to be good enough. So, I have only one question: when is the Commission putting forward a legislative proposal to fix this highly dangerous mess?
"
Hannah NEUMANN,2023-10-04,EN,"Human rights situation in Afghanistan, in particular the persecution of former government officials",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-451-0000_EN.html,"  Hannah Neumann,  on behalf of the Verts/ALE Group. – Mr President, it has been more than two years since the Taliban took power in Afghanistan, and they kept none of their promises. Employees of the old regime are under constant threat. Women are not even allowed to go to parks anymore and schools are turned into jihadi madrassas.
The situation seems devastating. The media spotlight has shifted, but our attention should not because there are things we can do. We can advocate for gender apartheid to be recognised as a crime under international law. We can make sure that human rights defenders under threat are given flexible visas so they can continue their important work in Afghanistan, yet leave the country when needed. We can ensure that all organisations running programmes for women by women receive adequate and unbureaucratic funding.
There is something very concrete all of you can do next week nominate Parasto Hakim, Marzia Amiri and Matiullah Wesa, three education rights activists, for the Sakharov Prize to ensure again that the spotlight is on Afghanistan and to ensure recognition and protection for the many resisting the Taliban.
Dear colleagues, however bleak the situation, there are ...
(The President cut off the speaker)
"
Hannah NEUMANN,2023-10-04,EN,"Egypt, in particular the sentencing of Hisham Kassem",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-487-0000_EN.html,"  Hannah Neumann,  author. – Mr President, it’s ten years since the massacre at Rabaa Square in Cairo, where the Egyptian military under al-Sisi’s command killed about a thousand protesters. It has been ten years of brutal repression since, with so many critical voices locked behind bars. Journalists, political activists, human rights defenders, one of them, Alaa Abd el-Fattah, the prominent face of the Arab Spring, who has served about ten years in prison combined and has not seen his son for over two years now. Another one is publisher Hisham Kassem, who was imprisoned on charges of defamation shortly after he had helped to form a coalition of opposition parties. It is brutal violence and tens of thousands of political prisoners, this is how al-Sisi secures his power. Yet EU Member States continue lucrative arms deals with this regime. So far, no human rights sanctions have been imposed on high-ranking Egyptian officials. And even worse, right now, the European Commission is preparing a dirty deal with al-Sisi to prevent migration, while human rights defenders in Egypt remain blocked from leaving the country. This hypocrisy must end. 
"
Hannah NEUMANN,2023-09-12,EN,Iran: one year after the murder of Jina Mahsa Amini (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-298-0000_EN.html,"  Hannah Neumann,  on behalf of the Verts/ALE Group. – Mr President, High Representative, so, finally, you are here to explain why your Iran policy over the last 12 months has been so different from what this Parliament asked you to do. Yet all I heard was we are trying our best, but it’s complicated. But in the end, Mr Borrell, it’s not the intention that counts, it’s the results. And where are we as of today? The Iranian regime exchanges hostages with convicted terrorists and kidnaps new ones. It becomes more repressive by the day. It is only weeks away from the nuclear bomb. It destabilises a whole region by proxy wars. And Iranian drones are attacking our allies in Ukraine. 
Mr Borrell, it’s time to clearly spell it out. The EU’s Iran policy of the last 44 years has failed, and it is your job to think about new policies. Stop meeting regime representatives and start meeting the many different people that advocate for a free Iran, stop financial flows of the regime and start exploring avenues for the diaspora to send home remittances for the strike front. Encourage Member States to give more humanitarian visas to those badly injured by regime violence and spell out the truth. This regime terrorises its own citizens and the whole region. It systematically uses rape to force political prisoners into confessions, and it is already preparing to crack down the protests planned for 16 September. 
Mr Borrell, you have to stop stabilising a brutal regime while the people in Iran are prepared to die for its downfall. (The speaker used a slogan in a non-EU language)
"
Hannah NEUMANN,2023-09-11,EN,European Defence Industry Reinforcement through common Procurement Act (EDIRPA) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-11-INT-1-054-0000_EN.html,"  Hannah Neumann,  on behalf of the Verts/ALE Group. – Madam President, dear colleagues, we Greens will vote in favour of EDIRPA tomorrow. We will vote in favour of EDIRPA because we hope that it is a small step ahead to supply Ukraine with the equipment it urgently needs and because it may lead to a little more cooperation in the defence sector. But, frankly said, it’s just a small patch on a big oozing wound for a fragmented and inefficient defence sector. 
To keep our citizens safe and to support our allies such as Ukraine, we need Member States to finally move from the current protectionism to a truly European defence with cooperation starting from raw materials over joint procurement to joint export control.
We also need to move from the current secretive deals in the Council to open debates on defence in the European Parliament. European defence needs European debate and it needs European scrutiny and this has to happen in this House. 
So, for four times now we have given away our rights of scrutiny with EDF, with EDIDP, with ASAP and with EDIRPA. The ECR, EPP and Renew gave away easily the delegated acts and I hope this will finally change next time in the interest of the security of our European citizens and that of our allies.
"
Hannah NEUMANN,2023-07-10,EN,Protection of journalists and human rights defenders from manifestly unfounded or abusive court proceedings (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-10-INT-1-122-0000_EN.html,"  Hannah Neumann (Verts/ALE).   – Mr President, dear colleagues, Maltese journalist Daphne Caruana Galizia had more than 40 SLAPP cases against her when she was killed; some were continued against her family. Nobel Peace Prize awardee Maria Ressa is, until today, blocked from leaving the Philippines without prior court permission because of pending SLAPP cases against her. And the only goal of such strategic yet baseless lawsuits is to intimidate, harass and silence critical voices.
Because once you are faced with a SLAPP case, you need to read that file. You need to hire a lawyer, you need to appear in court, you need to fight related smear campaigns, sometimes even your bank accounts are being frozen. In addition, such SLAPP cases overburden already strained judicial systems and undermine trust in legal proceedings.
Dear colleagues, this is simply a perversion of rule of law. It is about time that we stand up and stop it in the EU and all around the world. So thank you, Tiemo, for your report. It is a good first step and let’s join forces to walk down that road even further.
"
Hannah NEUMANN,2023-07-10,EN,One-minute speeches on matters of political importance,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-10-INT-1-234-0000_EN.html,"  Hannah Neumann (Verts/ALE).   – Madam President, today Tomaj Salehi was sentenced to six years and three months in an Iranian prison for his rap songs about freedom. Tens of thousands of political prisoners are held on trumped-up charges in Iran because they advocate for freedom.
At least eight protesters are at imminent threat of execution for demanding freedom: Ebrahim Narouie, Kambiz Kharout, Shoeib Mir Baluchzehi Rigi, Manouchehr Mehman Navaz, Mohammad Ghobadlou, Mojahed Kourkour, Milad Zohrevand and Mansour Dahmardeh. And at least two EU citizens are being held hostage by the regime, and they are on death row because this regime fears freedom: Jamshid Sharmahd and Ahmad Reza Jalali.
And I request everyone who engages with this regime to start talks by saying these names, by demanding their release again and again. I will not be silenced.
(The speaker concluded in a non-official language)
"
Hannah NEUMANN,2023-06-14,EN,Investigation of the use of Pegasus and equivalent surveillance spyware - Investigation of the use of Pegasus and equivalent surveillance spyware (draft recommendation) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-14-INT-3-161-0000_EN.html,"  Hannah Neumann,  on behalf of the Verts/ALE Group. – Mr President, Commissioner Reynders, dear colleagues, and too bad the Council isn’t here once more because my speech actually primarily addresses Member States, but I am sure they will receive the message. 
If one of your best journalists is spied upon while investigating a major story, if one of your state prosecutors is spied upon while preparing court cases, if your defence minister is spied upon while attending NATO meetings, if one of your companies is exporting spyware to a war zone, if any of this happens and you are only a halfway-decent government with some responsibility, you would investigate. You would turn everything upside down, find the loopholes that make this possible, bring perpetrators to justice, apologise to victims, right?
I don’t get why none of this happens. So basically, we, the PEGA Inquiry Committee, did your job in the last 12 months. Yet rather than working with us, Member States’ governments ignored or obstructed our work, the approach was omertà, not cooperation. 
Looking at this mess, I am quite amazed by what we have achieved here. And I want to thank the rapporteur, the shadows, all Members for that, because we managed to come forward with an accurate description of the abuse that is happening and with very solid and reasonable recommendations on how to fix it, supported across party lines by Members, by colleagues from 27 EU Member States. 
And if you ever wondered what the European Parliament is good for, for this. Europe has been a pioneer in protecting the privacy of its citizens and has set standards that have become global ones by now. We bent the entire Internet ecosystem towards better protection and respect of individuals’ data rights. Yet on something as horribly destructive as spyware, it looks as if we are lagging behind. 
But dear colleagues, if we want to see European – and yes, universal – values reflected in the regulation of these invasive technologies, it is time to stand up to the shady practices of secret services and to companies and their CEOs gone wrong. Because otherwise the next chapter of surveillance and manipulation, then involving AI and other powerful technologies, will be very, very dark. 
We have done our job, Commissioner. Now it’s time that you do yours, the Commission and the Council. And believe me, we will follow up, and follow up, and follow up until our recommendations are put in place. 
"
Hannah NEUMANN,2023-06-12,EN,One-minute speeches on matters of political importance,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-12-INT-1-222-0000_EN.html,"  Hannah Neumann (Verts/ALE).   – Madam President, dear colleagues, more than 300 people were executed in Iran this year, and these are only the official numbers. This regime is harassing, beating, torturing, raping, killing its own citizens, and, so far, it gets away with it. 
It gets away with it because a culture of impunity persists in Iran and a culture of silence is developing again in the international community. I mean, how can Ebrahim Raisi, who was instrumental in killing thousands of protesters in 1988, get away with it and now be, 30 years later, the president of Iran? How can we, as the international community, allow a regime that brutally terrorises its own citizens to chair the UN Human Rights Council Social Forum, when it would actually be our job to watch carefully what is happening in Iran, to condemn every single killing, to sanction the perpetrators, and to do our part to break the cycle of impunity? 
Because if we don’t, 300 executions may soon turn into 3000. This regime kills when it thinks it can get away with it, and we have to make sure it no longer does. Silence will only lead to more violence. 
"
Hannah NEUMANN,2023-05-08,EN,Establishing the Act in support of ammunition production (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-08-INT-1-073-0000_EN.html,"  Hannah Neumann,  on behalf of the Verts/ALE Group. – Mr President, Commissioner, dear colleagues, a core element of our solidarity with Ukraine is the delivery of weapons, including heavy weapons, and these weapons need ammunition to have an impact. 
So it’s good that the Commission finally comes forward with the plan to ramp up the production of ammunition – a bit late maybe, but at least it is there now and it has indeed a considerable number of good components. 
We as Greens will support the urgency procedure, given that it is secure that the competent committees will be fully involved, including SEDE, and the proposal will be reduced to the most urgent measures that we need to debate with urgency. 
But what I don’t understand, Commissioner, is why you intend to throw millions of EU taxpayers’ money at the already very profitable defence sector; money that is desperately needed elsewhere for the green transformation of our own economy. Rheinmetall had a net income of EUR 535 million in 2022, the Tardis Group EUR 1.5 billion, Airbus EUR 4.2 billion – these companies really do not need taxpayers’ money and we shouldn’t throw it at them for nothing. 
So, frankly said, either the arms industry uses its own money to scale up ammunition production, given that it is now quite a solid business opportunity, or, if we decide to support them with EUR 500 million from EU funds and many more billions from the RRF and Cohesion Funds, we should at least make sure that EU taxpayers get their own share of the return on investment. 
And how can we secure that? Well, by coupling the regulation at hand with an excess profits tax for the defence industry. We give them money to ramp up ammunition production and they give us whatever in addition they earn with it. 
Dear colleagues, the war in Ukraine brings sorrow and death to so many Ukrainian families. We must stand by their side and we will. Yet what happens in Ukraine should not be misused as a money-making machine for an already highly profitable arms industry at the expense of EU taxpayers and the necessary economic transformation that we dearly need in other sectors.
"
Hannah NEUMANN,2023-05-08,DE,Establishing the Act in support of ammunition production (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-08-INT-1-084-0000_DE.html,"  Hannah Neumann (Verts/ALE),  Frage nach dem Verfahren der „blauen Karte“. – Ich bin froh, dass wir heute diese Debatte haben, und ich finde es wichtig, dass wir sie faktenbasiert führen. Ich selber – du weißt es, Özlem – streite ja dafür, dass wir, wenn wir gemeinsam Produktion machen, wenn wir gemeinsam Forschung und Entwicklung machen, dann auch gemeinsame Regeln für Rüstungsexporte brauchen. 
Meines Wissens nach sagt aber der Gemeinsame Standpunkt der Europäischen Union, dass Rüstungsexporte auch in Kriegsgebiete, wenn sie dem Selbstverteidigungsrecht dienen, genehmigt werden dürfen. Genau das haben wir ja in der Ukraine, wo Russland einmarschiert und die Ukraine sich selber gegen diese Aggression verteidigt. Oder liegt dir eine andere Version des Gemeinsamen Standpunktes vor?
"
Hannah NEUMANN,2023-04-19,EN,"The crackdown on the right to education and education rights activists in Afghanistan, including the case of Matiullah Wesa",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-19-INT-3-371-0000_EN.html,"  Hannah Neumann,  author. – Mr President, the Taliban has started a new attack against women and against education. Only one and a half years after the Taliban took power, women are banned from public life – no education, no parks, no work. In their latest cynical decree, women are no longer allowed to work for the UN.
Today’s Taliban are willing to sacrifice the lives of more than one million Afghans threatened by starvation only for their gender apartheid ideology. They attack the future of their country, the education of its youngest. The Taliban’s self—proclaimed Minister of Education announced the preparation of a new jihadi – yes, that’s the word he used – curriculum. Private schools are being forced to close by now in at least two districts, and madrassas are being built across the country, providing the only means of education for many boys.
At the same time, those advocating for education in line with Afghan tradition in line with Islamic teaching, are put behind bars like Matiullah Wesa from Pen Path. He spent more than 14 years of his life travelling throughout Afghanistan, finding local solutions for local problems, working with tribal leaders to open schools in rural areas. This guy is an Afghan national hero.
Let’s face the terrible truth. The Taliban are holding women captive in their homes and they want to raise a new generation of jihadi fighters. I know there is no easy answer, no easy solution for this, but this is precisely why we can’t turn our backs. This is precisely why we have to watch carefully what is happening in the country, why we shouldn’t even think about recognising the Taliban, and why we should all jointly demand the release of Matiullah Wesa and all those unjustly held in Taliban prisons. 
"
Hannah NEUMANN,2023-04-18,EN,EU relations with Iraq (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-18-INT-2-425-0000_EN.html,"  Hannah Neumann,  on behalf of the Verts/ALE Group. – Madam President, dear colleagues, here we are 20 years after the end of the brutal regime of Saddam Hussein, who used mustard gas against its Kurdish citizens and violently oppressed political dissent. 
Here we are 20 years after the start of a US-led invasion that paved the way for war crimes, the torture and humiliation of Iraqi prisoners, and a brutal civil war. 
Here we are 10 years after the withdrawal of the US troops, which led to the rise of the Islamic State and unbelievable brutality. 
And more than 3 years after young Iraqis took to the streets with slogans like ‘We are all Iraqis’, while hundreds of them have been killed by Iraqi security forces and Iran-backed militias. 
And once more, impunity prevails. 
Yet, how is the country supposed to heal if such crimes go unpunished, when all these stories of suffering are never told or heard? 
So, since the protest movements emerged in autumn 2019, I have visited Iraq several times, listening to women activists in Baghdad, Yazidis families in Dohuk, musicians in Mosul, or human rights activists in Erbil, and many are indeed disappointed and angry that such a peaceful movement calling for reform was brutally crushed by the authorities. 
But the spirit of the movement lives on with young people striving for a new Iraq that overcomes religious and ethnic divisions and fights the notorious corruption, depriving a whole generation of its resources and future.
And the EU should put a much stronger emphasis on supporting these civil society actors, especially the young generation in Iraq, by supporting their training, giving them new opportunities to build a better homeland and to address the challenges the climate crisis poses on their country. 
Last year, I was involved in the organisation of the Mosul Music Festival that was partly funded by the EU and UNESCO in the city. Mosul is the former capital of ISIS, and there we saw women and men playing traditional Iraqi music together with bands from Europe. And there is maybe no better way to chase away the ghosts of terrorism, war and destruction than music, dance and exchange.
"
Hannah NEUMANN,2023-04-18,EN,"EU Rapid Deployment Capacity, EU Battlegroups and Article 44 TEU: the way forward (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-18-INT-2-446-0000_EN.html,"  Hannah Neumann,  on behalf of the Verts/ALE Group. – Madam President, rapporteur, dear colleagues, we as Greens support the creation of an EU rapid deployment capacity and I would like to thank the rapporteur for his very good report.
It is crucial that Member States now move forward with urgency and with ambition to make the capacity operational by 2025 – although 2024 would even be better – to establish it as a permanent multinational unit to finally provide enough funding and staff to the MPCC as promised many years ago, and adequate resources to the European Peace Facility to imburse all operative costs.
Those are important technical details, but let us take a step back. Why are we discussing the rapid deployment capacity today? The first reason: because its predecessor, the EU Battlegroups, have never been deployed since their creation 20 years ago. ‘Why?’ you may ask. Well, mainly because EU Member States never had the political will to deploy forces jointly under one European umbrella and an initiative report clearly will not change that. So I call on Member States to finally back up their words with actions.
And the second reason being the withdrawal of US troops from Afghanistan, how it exposed the EU as an onlooker in a crisis, and how we had to leave our Afghan partners behind in catastrophic circumstances. So I call on this Parliament and the Council to show now equal determination to develop further tools to better protect our local partners and ever create them when needed. Those currently in hiding and living in constant fear of being killed in Afghanistan, as well as those worrying about their future in Mali today.
This, dear colleagues, is the other crucial part of our responsibility. And without the support of local partners, no EU action, no matter how rapidly deployed, will ever have a positive political impact on the ground.
"
