MP,Date,Language,Title,Url,Content
Helmut GEUKING,2023-12-14,DE,Ensuring proper functioning of EU-Ukraine Solidarity Lanes (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-14-INT-4-072-0000_DE.html,"  Helmut Geuking (PPE).   – Herr Präsident! Die Solidaritätskorridore sind natürlich richtig, sie sind wichtig und für die Ukraine überlebensnotwendig. Überhaupt keine Frage, dass wir die benötigen, und das war eine richtige Investition, die wir dort getätigt haben, oder mehrere Investitionen, die wir tätigen.
Allerdings müssen wir auch darauf aufpassen, dass wir nicht unsere heimischen Märkte überfordern. Wir müssen darauf aufpassen, dass nicht unsere Landwirte darunter leiden, weil der Preisdruck so groß wird, weil die Waren nicht dort ankommen, wo sie hingehören. Sie gehören nämlich dahin, wo die Not gelindert werden muss, nach Afrika zum Beispiel, um Hungersnöten entsprechend vorzubeugen. Stattdessen landen sie des schnellen Geldes wegen auf europäischen Märkten. Natürlich habe ich Verständnis für die Landwirte, die hier sagen, wir können dort finanziell einfach nicht mithalten, weil wir natürlich wesentlich teurer produzieren.
Das heißt: Europa ist gefordert, hier Mechanismen zu schaffen, Kontrollmechanismen zu schaffen, dass wir diesen Missbrauch quasi ausschließen – auch Kontrollmechanismen zu schaffen, um die Ware genauer zu kontrollieren, was da überhaupt kommt. Viele der Waren sind auch belastet mit Quecksilber, mit Altmetall und, und, und. Also wir müssen hier einfach mehr Überprüfungskorridore schaffen und Kontrollen schaffen, damit das, was nach Europa kommt, auch entsprechend sicher ist für die Menschen und damit das, was für Afrika bestimmt ist, auch dort ankommt und unsere Landwirte schützt.
"
Helmut GEUKING,2023-12-13,DE,"Jurisdiction, applicable law, recognition of decisions and acceptance of authentic instruments in matters of parenthood and creation of a European Certificate of Parenthood (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-309-0000_DE.html,"  Helmut Geuking (PPE).   – Herr Präsident! Ja, ich bin Bundesvorsitzender der Familien-Partei Deutschlands, und Sie glauben gar nicht, wie oft ich gefragt werde: Was verstehen Sie denn unter Familie? Das ist immer die am häufigsten gestellte Frage, die ich in den Medien bekomme. Und da sagen wir – wir haben eine Definition gefunden –, die Definition ist: überall da, wo wir ein Kind finden. Überall da, wo wir ein Kind finden, das ist für uns Familie. Punkt.
Ich will das noch weiter ausdehnen. Wenn ich zum Beispiel meinen Vater, meine Mutter oder so zu mir hole, sei es in Pflege oder zur Betreuung, dann sind wir wieder Familie. Denn ich bleibe ja das Kind meiner Eltern, egal wie alt ich selber bin. Und das ist die Definition, die ich mir auch wünschen würde für Europa. Dann gäbe es diese Streitereien jetzt bei diesem Bericht nicht.
Am Anfang war ich gegen diesen Bericht, denn unsere Partei ist ganz klar gegen Leihmutterschaft. Das ist ein Verbrechen gegen die Menschlichkeit – da bleibe ich dabei –, hier wird die Frau zur Handelsware reduziert und das Kind auch. Das geht überhaupt nicht, und das ist auch mit christlichen Wertevorstellungen Europas nicht in Einklang zu bringen. Deswegen war ich ursprünglich gegen den Bericht, bis ich festgestellt habe, liebe Rechte: Dieser Bericht hat mit Leihmutterschaft – auch wenn die Linken das gerne mit reinbringen und LGBT mit reinbringen – gar nichts mehr zu tun.
Dieser Bericht ist auf das Kindeswohl ausgerichtet, und dieser Bericht bietet Rechtssicherheit in Europa – Rechtssicherheit, die längst überfällig ist. Und deswegen: Schaut euch den Bericht noch einmal an. Ich bin zum Ergebnis gekommen, habe meine Einstellung überdacht: Ich kann dem Bericht nur zustimmen und halte ihn für notwendig zum Wohle der Kinder Europas und für die notwendige Rechtssicherheit. Und er hat nichts mit LGBT und nichts mit Leihmutterschaft zu tun. Das obliegt immer noch den Nationen, dieses selbstständig zu regeln.
(Der Redner ist damit einverstanden, eine Frage nach dem Verfahren der „blauen Karte“ zu beantworten)
"
Helmut GEUKING,2023-12-13,DE,"Jurisdiction, applicable law, recognition of decisions and acceptance of authentic instruments in matters of parenthood and creation of a European Certificate of Parenthood (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-311-0000_DE.html,"  Helmut Geuking (PPE),  Antwort auf eine Frage nach dem Verfahren der „blauen Karte“. – Vielen Dank für die Frage. Ich möchte es noch mal ganz deutlich sagen: Ich hatte auch gesagt, es wird links wie rechts missbraucht. Das steht da so nicht drin. Die Leihmutterschaft wird auch in Deutschland noch strafbar bleiben. Das ist so, wenn man das so macht, und in Italien auch. Das obliegt den Nationen ganz alleine. Das steht also nicht drin, das wird jetzt reininterpretiert von links. Ja, genauso wie Sie reininterpretieren, wir wollen die klassische Familie auflösen – Vater, Mutter, Kind –, was das beste Familienbild ist, das bleibt ja nach wie vor. 
Trotzdem ändert das nichts an der Sache: Überall, wo ein Kind ist, ist Familie. Punkt. Die Kinder können da überhaupt nichts für, wie sie groß werden. Es liegt an den Nationen, hier entsprechend tätig zu werden und entsprechende Gesetze zu verabschieden, nicht mehr und nicht weniger.
"
Helmut GEUKING,2023-12-12,DE,Environmental consequences of the Russian aggression against Ukraine and the need for accountability (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-476-0000_DE.html,"  Helmut Geuking (PPE).   – Herr Präsident! Letzte Woche war eine ukrainische Soldatin bei mir im Büro gewesen und hatte berichtet von der Front – sie kam direkt von der Front –, was sie dort erlebte und wie der Zustand in der Ukraine allgemein ist. Sie bat darum, dass wir in Europa niemals vergessen dürfen, welche Kriegsverbrechen dort begangen werden. Sie bat auch darum, dass wir immer im Fokus haben sollten, auch die Kinder, die entführt worden sind, zurückzuführen und die Umweltschäden auszugleichen.
Die Umweltschäden, in der Tat: 150 Millionen Tonnen CO2 sind mittlerweile registriert worden an Umweltschäden. Das macht ein Gesamtvolumen von 9,8 Milliarden aus. Das darf man nicht verkennen, und das muss auch behoben werden. Die Behebung wird mindestens weitere 55 Milliarden kosten.
Das sind Sachen, wo wir sagen: Das kann Europa so nicht dulden und Europa müsste jetzt handeln. Wie können wir handeln? Wir können handeln, indem wir die Gelder einfrieren. Wir müssen weltweite Gelder generieren, die die Oligarchen irgendwo liegen haben. Die müssen wir beschlagnahmen und einsetzen für diese Kriegsverbrechen, um die wiedergutzumachen. Denn das ist ein Angriff auf die Menschheit, ein globaler Angriff ...
(Der Präsident entzieht dem Redner das Wort.)
"
Helmut GEUKING,2023-11-20,DE,"Children first - strengthening the Child Guarantee, two years on from its adoption - Reducing inequalities and promoting social inclusion in times of crisis for children and their families (joint debate – International Day of the Rights of the Child)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-045-0000_DE.html,"  Helmut Geuking,  im Namen der PPE-Fraktion. – Frau Präsidentin, Frau Kommissarin! Weltkindertag, 20. November – wir haben heute Weltkindertag. Das Parlament ist leer, und wir betten die Diskussion in einen wunderbaren Bericht ein. Das war’s. Das ist der Weltkindertag – wie Europa damit umgeht, wie wir mit unseren Kindern umgehen.
Ich muss ehrlich sagen, hier kann man sich nur noch fremdschämen. Fremdschämen insofern: Hier gehört ein volles Haus hin, hier gehören Menschen hin, die die Kinder würdigen. Der Weltkindertag ist dafür da, um auf die Bedürfnisse der Kinder aufmerksam zu machen. Der Weltkindertag ist dafür da, um die Rechte der Kinder weltweit zu stärken. Er ist dafür da, um die Kinderarmut, die Kinderarbeit anzuprangern. Er ist nicht da für Selbstbeweihräucherung oder dafür, diese wichtige Diskussion in einen Bericht einzubetten. Wie gesagt, hier kann man sich nur noch fremdschämen.
Die Familienpartei Deutschlands, dessen Bundesvorsitzender ich bin – wir haben ganz viele Vorschläge auch in diesen Bericht wieder eingearbeitet, mit einem zusätzlichen europäischen Kinderkostengeld, mit einem Erziehungsgehalt für Europa, was die Eltern dringend benötigen, damit sie Kinder selbstbestimmt erziehen können und finanziell bewusst in die Familienplanung einsteigen können. Also ein Zeichen mehr, dass wir als kleine Partei hier dringend, dringend gebraucht werden in diesem Europäischen Parlament.
Und wir hoffen einmal, dass im nächsten Jahr, nach den Europawahlen, hier am 20. November das Haus voll sein wird und dass wir einen eigenen Tagesordnungspunkt zu diesem Weltkindertag haben werden. Denn die Kinder dieser Welt und die Kinder Europas haben es sich verdient. Sie sind unsere Zukunft, sie sind unser – das böse Wort – Humankapital. Sie sind die Menschen, die wir fördern müssen, die wir betreuen müssen, und wir dürfen es nicht zulassen, dass weiterhin die Armut zunimmt. Wir dürfen die Kinderarbeit in Europa nicht zulassen, die – Frau Pereira hat es angesprochen – rasant ansteigt durch die Armut und die Inflation und die Kriege, die wir in dieser Welt haben. 
Ja, lassen Sie uns der Kinder nicht nur gedenken, sondern aktiv sein für unsere Kinder Europas, und lassen Sie uns dann zukünftig aus dem heutigen Tag Lehren ziehen, damit wir es im nächsten Jahr besser machen.
"
Helmut GEUKING,2023-10-04,DE,Decent Housing for All (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-183-0000_DE.html,"  Helmut Geuking (PPE).   – Frau Präsidentin, sehr geehrter Herr Kommissar, sehr geehrte Damen und Herren, anwesende Gäste und Kolleginnen und Kollegen! Ja, bezahltes Wohnen bzw. angemessenes Wohnen ist ein Menschenrecht, das haben wir festgestellt. Das ist so, und deswegen ist es Europarecht, zumal die Nationen zunehmend versagen. Ich blicke als Deutscher natürlich nach Deutschland, wobei ich mich des Eindrucks nicht erwehren kann, dass unsere kleine Familien-Partei Deutschlands, die Familie, die einzige noch übrig gebliebene soziale Partei ist.
Wenn ich mir anschaue, was die Ampel-Koalition gerade in Deutschland fabriziert: 400 000 Wohnungen wurden versprochen, wohlwissentlich, dass es seit 1950 jährlich im Durchschnitt 405 000 Wohnungen gibt, 290 000 oder 295 000 gab es im letzten Jahr, das heißt 110 000 weniger als sonst im Durchschnitt seit 1950.
Das ist ein Versprechen des Kanzlers nach dem Motto „Wir werden das, was wir seit 1950 machen, weiter einhalten“, mehr nicht. 500 Millionen für ein Projekt, um mit einem Einfamilienhäuschen E-Autos aufzuladen − wunderbar. Die 280 000 Menschen ohne Wohnraum werden sich darüber freuen und natürlich diese Gelder wahrscheinlich massenweise beantragen.
Also hier ist Handlungsbedarf. Wir müssen bezahlbaren Wohnraum schaffen, und das geht anscheinend nur auf europäischer Ebene, denn die rechte Seite lacht sich sonst schlapp. Mit der Hilfe der Medien wird die rechte Seite davon profitieren, weil uns soziale Unruhen bevorstehen. Denn die Menschen und die Familien werden sich das nicht länger gefallen lassen können und dürfen. Sie brauchen Wohnraum, denn das ist ein Menschenrecht – ich komme darauf zurück –, und deswegen müssen wir hier in Europa Programme auferlegen, die diesem Menschenrecht auch entsprechend gerecht werden.
"
Helmut GEUKING,2023-07-10,DE,Protection of workers from extreme heat and other extreme weather phenomena resulting from the climate crisis (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-10-INT-1-177-0000_DE.html,"  Helmut Geuking,  im Namen der PPE-Fraktion. – Frau Präsidentin, sehr geehrter Herr Kommissar Schmit! So sieht man sich wieder. Was Sie gerade gesagt haben, ist mir nicht genug, muss ich Ihnen ganz ehrlich sagen. Sie haben sich auf die IAO-Studie berufen – 2,2 % der Arbeitsstunden werden global bis 2030 wegfallen. Das macht 80 Millionen Vollzeitplätze in Gesamtvolumen von 2,1 Billionen Euro – nur mal so, um eine Größenordnung zu sagen. Mit Leitfaden können wir dem nicht begegnen.
Es ist auch nicht – wenn ich nach Deutschland schaue – zum Beispiel das, was die deutsche Regierung macht im Klein-Klein. Wir müssen Klima global denken. Wir müssen Maßnahmen ergreifen in Sachen Arbeitsschutz für die Menschen. Sie haben vollkommen recht, wenn Sie sagen: Die Menschen sind natürlich jetzt ganz anderen Stoffen ausgesetzt: Lösungsstoffen, die freigesetzt werden ab 35 Grad, woran man vorher gar nicht gedacht hat. Da sind Sachen, die auf uns zurollen, was ein enormer Kostenaufwand ist. Man geht alleine gesundheitspolitisch davon aus, dass wir – die ganzen Allergien zum Beispiel, denn der Pollenflug wird sich durch diese Erwärmung und durch diesen Klimaschutz um 40 bis 60 % erhöhen – viel mehr Krankheits- und Ausfälle haben werden, auch im Arbeitsleben. Die Hitze, wie Sie sagen: Arbeiten Sie mal im Straßenbau bei diesem Wetter, es ist schier unmöglich.
Das heißt, das ganze Leben, die Arbeitsbedingungen werden sich verändern müssen und werden sich verändern. Europa muss hier entsprechend tätig werden, und Europa muss hier entsprechend ganz klare Richtlinien herausgeben, woran sich die Länder auch halten müssen zum Wohle der Menschen, dass sie mit diesem Klima Schritt halten können und nicht schwer erkranken. Denn jeder Krankheitsausfall in den Firmen kostet bares Geld und Steuergelder.
Ja, leider ist die Redezeit zu Ende, es gäbe noch so vieles zu sagen.
"
Helmut GEUKING,2023-01-18,DE,Revelations of Uber lobbying practices in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-01-18-INT-3-332-0000_DE.html,"  Helmut Geuking (PPE).   – Herr Präsident, schönen guten Abend, meine Damen und Herren, Frau Kommissarin! Ja, Uber – Uber ist hier das Gespräch, Uber ist hier die Diskussion. Natürlich hat Dennis recht. Dem, was er vorhin gesagt hat, kann man sich eigentlich nur anschließen. Es bleibt mir nur wenig dazu zu sagen. Deswegen möchte ich dieses auch nutzen, weil es geht nicht nur um Plattformarbeit. Es geht nicht nur um Uber.
Und ich frage mich, nachdem ich die Reden heute gehört habe: Wo haben Sie denn gelebt in den letzten Jahren? Ist das alles neu, die 124 000 Seiten? Sie hätten doch nur Ihren Taxifahrer zu Hause fragen müssen. Oder die Demonstrationen, die gelaufen sind in verschiedenen Städten, auch in Frankreich. Oder fragen Sie Macron. Fragen Sie Macron oder das Wirtschaftsministerium in Frankreich, was Uber und wie Uber praktiziert und vorgeht. Oder fragen Sie Obama und seine Mitarbeiter. Das ist alles nichts Neues, aber es wurde jetzt noch einmal bestärkt, und es wurde jetzt noch mal ganz offensichtlich dargelegt. Natürlich müssen wir handeln.
Ich möchte diese Rede aber auch nutzen, um eine frohe Botschaft hinauszuposaunen. Eine frohe Botschaft, insofern unsere Mechanismen greifen. Unser Katargate – sag ich mal: Die Akteure sitzen hinter Schloss und Riegel. Sie sind erwischt worden. Die Staatsanwaltschaften ermitteln mit großem Erfolg. Uber ist entlarvt und enttarnt worden – und das nicht erst neu, sondern seit Langem schon –, und hat natürlich Lobbyarbeit betrieben, wie jeder Großkonzern auch. 
Was mich allerdings nur immer stört, ist, dass man von allem nichts gewusst haben will. Und plötzlich steht man hier und sagt: Oh Gott, wir haben von nichts gewusst. Uber – das ist doch ganz schlimm. Ja, das ist schlimm, und nicht nur Uber. Schlimm finde ich aber auch, dass es Politiker gibt wie Daniel Freund, der diese seine Position missbraucht, der in die Öffentlichkeit geht, ins öffentliche Fernsehen geht, unser ganzes Parlament in meinen Augen beleidigt, mich persönlich auch beleidigt und andere Abgeordnete, denn er sagt: Die sind alle korrupt, die Europaabgeordneten, ganz schlimm, nur er nicht. Er ist nicht korrupt, alle anderen sind korrupt. Er kriegt sechs Flaschen Bier zugeschickt, zeigt dann im Fernsehen, ich trinke die nicht, ich schütte die weg, die anderen trinken diese Flaschen Bier. Und so einen Schwachsinn höre ich mir in Deutschland an. Und da hätte ich erwartet, dass man da auch mal einschreitet, nämlich Verunglimpfung des Parlaments geht gar nicht.
"
Helmut GEUKING,2022-12-13,DE,A need for a dedicated budget to turn the Child Guarantee into reality - an urgency in times of energy and food crisis (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-12-13-INT-2-206-0000_DE.html,"  Helmut Geuking (PPE).   – Herr Präsident! Jedes vierte Kind in Europa ist arm, und das müssen wir uns mal auf der Zunge zergehen lassen. Jedes vierte Kind! Deswegen brauchen wir natürlich das Budget, das ist überhaupt, keine Frage. Das ist noch viel zu wenig. Und jetzt kommt natürlich zum Tragen, dass wir hier in diesem Hohen Hause oftmals eine Doppelzüngigkeit erleben. Ich erinnere daran, dass ich einen Bericht geschrieben habe, wo ich das Kinderkostengeld festgeschrieben habe, und über 300 Abgeordnete haben sich enthalten. Das heißt, wir hätten 30 Millionen Kinder direkt aus der Armut holen können. Aber nein, 300 Abgeordnete haben sich dabei enthalten, und dafür müssen sie sich verantworten.
Ich bin Bundesvorsitzender der Familienpartei Deutschlands, und ich weiß, wovon ich rede. Wir müssen alle unsere Maßnahmen überdenken. Wir sind es den nachkommenden Generationen schuldig. Wie wollen wir denn überleben, wenn wir der nachfolgenden Generation den Lebensinhalt entziehen, wenn wir sie in Armut aufwachsen lassen, wenn wir dadurch der Kriminalitätsrate Vorschub leisten, wenn wir hier keinen vernünftigen Ausgleich hinbekommen? Hier sind wir ganz speziell gefordert.
Ich habe es ehrlich satt, nur darüber zu debattieren und zu reden, und am Ende des Tages ist wieder nichts gewesen. Deswegen fordere ich Sie auf: Lassen Sie uns endlich handeln! Das Budget ist sehr, sehr gering gefasst. Allerdings lassen Sie uns endlich handeln, indem wir alle Maßnahmen auf Kindgerechtigkeit überprüfen und hier wirklich die Kinderarmut bekämpfen.
"
Helmut GEUKING,2022-10-17,DE,Guidelines for the employment policies of the Member States (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-10-17-INT-1-216-0000_DE.html,"  Helmut Geuking,  im Namen der PPE-Fraktion. – Sehr geehrter Herr Präsident, sehr geehrter Herr Kommissar, sehr geehrte Frau Homs Ginel! Vielen Dank für die gute Zusammenarbeit. Es war eine richtige Fleißarbeit von Ihrer Seite her, und Sie haben da ein Werk geschaffen, was jetzt auf dem Tisch liegt, was wir debattieren müssen. Ich hatte Ihnen bei den Verhandlungen gesagt, dass da ganz viele Sachen drinstehen, die eigentlich in so einen Bericht nicht reingehören.
Es ist ein Leitfaden, ein Leitfaden für Beschäftigungspolitik. Sie haben da zum Beispiel Sachen reingesetzt, wo mir eigentlich als Sozialpolitiker und als Bundesvorsitzender der Familienpartei Deutschlands natürlich das Herz aufgeht, wenn ich das mit den Kindern lese, mit den 20 Millionen, was Sie angesprochen haben – keine Frage. Allerdings – mal ganz ehrlich: Gehört das in diesen Bericht rein? Ist das nicht eigentlich zu schade, dieses wichtige Thema als einen Nebenaspekt in so einem Leitfaden für Beschäftigungspolitik mal eben nebenbei mit abzuhandeln? Da sage ich Ihnen ganz ehrlich: Das ist eine Herzensangelegenheit von meiner Seite her, und das gehört da garantiert nicht rein. Da bedarf es eines eigenen expliziten Berichts, der dem auch gerecht wird, gerade in der heutigen Zeit – der Kommissar hat es angesprochen –, anhand von Pandemie und anhand des Krieges, wo die Familien und die Kinder so sehr darunter leiden in ganz Europa.
Wir dürfen da pfiffige Ideen haben, und daher dürfen wir dies nicht in solchen Berichten verschwenden. Das ist das Problem, was wir allgemein haben. Nichts gegen Sie, Frau Homs Ginel, aber das ist hier im Parlament mittlerweile Usus, dass man Berichte verfasst und man versucht, alles da reinzupacken, alles, was gar nicht dazugehört. Es ist völlig egal, Klimawandel, Klimaschutz, Green Deal – alles muss in die Berichte rein. Man möchte dann Begriffe wie zum Beispiel universal festzurren – Begriffe, die überhaupt nicht justiziabel sind anstatt effektiv. Dafür werden die Berichte mittlerweile missbraucht.
Ich appelliere an die Konferenz der Präsidenten, hier einmal tätig zu werden und mal klarzustellen, wofür Berichte überhaupt da sind. Die einzelnen Themen, die da behandelt werden, sind wichtig, die sind gut und viel zu schade, um als Beiwerk in einem Bericht mal ebenso erwähnt zu werden oder da rein zu finden. Deswegen haben wir ein Problem mit der EVP, hier um Zustimmung zu ringen. Wir geben uns Mühe, ich appelliere zumindest, 42 und 14/2 abzulehnen, damit wir ... (Der Präsident entzieht dem Redner das Wort.)
"
