MP,Date,Language,Title,Url,Content
Helmut SCHOLZ,2023-12-13,DE,The unknown status of Mikalai Statkevich and the recent attacks on Belarusian politicians’ and activists’ family members,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-418-0000_DE.html,"  Helmut Scholz,  Verfasser. – Frau Präsidentin, Herr Kommissar! Wenn in unserem Nachbarland Menschenrechte und politische Freiheiten missachtet, ja quasi abgeschafft werden, können wir als Europäisches Parlament nicht wegschauen. Die Verfolgung, Misshandlung, Einkerkerung oder Vertreibung kritischer Stimmen, so wie der von Mikalaj Statkewitsch, die Unterdrückung aller unabhängigen gesellschaftlichen oder politischen Kräfte, der Versuch, jeden Widerspruch auszumerzen und so Demokratie zu beseitigen – all das prangern wir zu Recht an!
Heute fordern wir von der Lukaschenka-Administration ganz entschieden die unverzügliche Freilassung von Mikalaj Statkewitsch und aller anderen politischen Verfolgten in Belarus. Zeigen wir praktisch, dass die EU—Institutionen und die Mitgliedsländer der EU an der Seite der belarussischen Zivilgesellschaft stehen. Menschen, die aus dem Land fliehen müssen, sind auf einen erleichterten Zugang zu Einreisevisa und Aufenthaltsgenehmigungen angewiesen. Halten wir die Türen offen! Die auf der Ebene der Vereinten Nationen geleisteten Anstrengungen, Täter zur Rechenschaft zu ziehen, verdienen unsere volle Rückendeckung. Treten wir als glaubwürdiger und verlässlicher Partner in unserer östlichen Nachbarschaft auf!
"
Helmut SCHOLZ,2023-12-12,DE,EU-US relations (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-502-0000_DE.html,"  Helmut Scholz (The Left).   – Herr Präsident! Die Vereinigten Staaten sind ohne Zweifel ein zentraler Partner der Europäischen Union, ein Partner, mit dem uns seit Jahrzehnten, ja seit Jahrhunderten, vieles verbindet. Doch die Welt jenseits dieser Partnerschaft ändert sich rasant. Und wir alle wissen es: Die Herausforderungen, vor denen die Weltgemeinschaft steht, sind kolossal. 
Mein Appell ist deshalb: Denken wir die transatlantischen Beziehungen neu. Nicht in Abgrenzung zu den neuen, zu den kommenden Schwergewichten der internationalen Szene. Nicht, indem wir unsere Währung als Waffe einsetzen und so selbst am Ast sägen, auf dem wir sitzen. Nehmen wir den US-Ökonomen Nouriel Roubini ernst.
Nutzen wir unsere soliden Beziehungen also, um neue Wege zu gehen. Ein Beispiel: der gemeinsame Handels- und Technologierat. Schaffen wir doch ein dauerhaftes parlamentarisches Gremium mit diesem Rat und zeigen wir, wie eine parlamentarische Kontrolle internationaler Handelsbeziehungen aussehen kann. Eine multipolare Welt verdient transatlantische Partner, die multilaterale Foren stärken, die glaubwürdig und ernsthaft an der Lösung globaler Probleme arbeiten.
"
Helmut SCHOLZ,2023-12-11,DE,The European Elections 2024 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-11-INT-1-067-0000_DE.html,"  Helmut Scholz,  im Namen der Fraktion The Left. – Frau Präsidentin, Herr Kommissar, liebe Kolleginnen und Kollegen! Worauf das Parlament in diesem Bericht beharrt, ist alles andere als eine Revolution. Ein einheitliches Wahlverfahren, ein gemeinsamer Wahltermin – diese Ziele formulierte schon der Artikel 138 des Gründungsvertrags der EWG für die damalige Parlamentarische Versammlung der Gemeinschaft. 
Über 60 Jahre später treten wir scheinbar auf der Stelle, was die Harmonisierung des europäischen Wahlrechts betrifft. Wir müssen handlungsfähig sein, ja, und dazu gehört es auch, die Herausforderungen, vor denen wir als Kontinent stehen, meistern zu können. Wir müssen dazu auch auf das Vertrauen und das aktive Engagement der Bürgerinnen und Bürger zählen können. Die Organisation der Europawahlen ist dafür von symbolischer Bedeutung, und auch eine Stärkung der europäischen politischen Parteien ist überfällig.
Vor allem aber müssten die Mitgliedstaaten endlich den Mut aufbringen, den nächsten Schritt hin zu wahrhaft europäischen Wahlen zu wagen. Ein zusätzlicher europäischer Wahlkreis und eine Festschreibung des Spitzenkandidatensystems hätten das Potenzial, den gemeinschaftlichen Charakter dieser Wahl umzusetzen, dem Wahlakt eine vollkommen neue Bedeutung zu verleihen und Demokratie zu stärken. Erst im vergangenen Jahr haben wir als Parlament einen erneuten Vorschlag für ein einheitliches Wahlsystem verabschiedet. Erneut ist es der Rat, der die Reform verschleppt, und er ist heute leider auch in dieser Debatte nicht anwesend. 
Mit diesem Bericht unterstreichen wir unsere Vision erneut. Aus meiner Sicht wäre es ein Fehler, mit der Harmonisierung der Europawahl weitere Jahre zu warten. Ich unterstütze deshalb diesen Bericht und gratuliere den Berichterstattern zu der Arbeit und wünsche uns allen genug Mut und Weitsicht, nach den Europawahlen im Juni entsprechend zu handeln.
"
Helmut SCHOLZ,2023-11-21,DE,EU/New Zealand Free Trade Agreement (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-173-0000_DE.html,"  Helmut Scholz,  im Namen der Fraktion The Left. – Frau Präsidentin, Herr Vizepräsident, liebe Kolleginnen und Kollegen! Meine Fraktion steht diesem Abkommen kritisch gegenüber, und auch Landwirte in Europa sind besorgt, fühlen sich nicht ausreichend gewappnet und unterstützt von der Politik. Doch ohne die Risiken und Schattenseiten auszublenden, geht es nach meiner Sicht hier auch um die Frage, wie man internationalen Warenaustausch, Dienstleistungen fairer gestalten kann, welche Standards wir für moderne Handelsabkommen setzen wollen. Und mit einem weitreichenden und durchsetzbaren Nachhaltigkeitskapitel nimmt das Abkommen mit Neuseeland zweifellos eine wichtige Forderung des Parlaments und aus der Zivilgesellschaft auf.
Denn Handel darf nicht zulasten von Beschäftigten, Indigenen oder der Umwelt gehen. Dafür braucht es klare Standards, auf die wir uns hier mit unseren neuseeländischen Partnern einigen konnten. Dies sind wichtige Fortschritte auf dem Weg zu einer faireren Handelspolitik, und gleichzeitig hätten wir mehr erreichen können: messbare Meilensteine zum Klimaschutz, bessere Regeln bei der Liberalisierung von Umweltgütern und gemeinsame Anstrengungen für eine nachhaltigere Landwirtschaft; und zu viele Teile des Nachhaltigkeitskapitels sind eben nicht einklagbar.
Wenn es nach der Kommission geht, ist Neuseeland nur der Auftakt zu vielen weiteren Abkommen. Mein Appell ist daher: Anstatt das Erreichte als neuen Goldstandard zu feiern, sollten wir sicherstellen, dass es der Mindeststandard für alle künftigen Abkommen wird. Machen wir Europa zu einem Handelspartner, der seine Geschäfte nicht auf dem Rücken von Beschäftigten, nicht auf Kosten der Umwelt betreibt!
"
Helmut SCHOLZ,2023-11-21,DE,Proposals of the European Parliament for the amendment of the Treaties (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-270-0000_DE.html,"  Helmut Scholz,  Berichterstatter. – Herr Präsident, versammelte Vizepräsidenten, liebe Ratspräsidentschaft! Zuallererst möchte ich meinen vier Ko-Berichterstatterinnen und Ko-Berichterstattern Danke sagen und allen Mitarbeitern, die an diesem Bericht mitgearbeitet haben als Assistenten, als Mitarbeiter der Sekretariate der Fraktion, der Ausschusssekretariate. Ich möchte aber auch Jacek Saryusz-Wolski Danke sagen, der die Sichten der ECR auf die Perspektive in die Arbeit einbrachte, aber unser heutiges Angebot nicht mittragen wollte oder konnte.
Gemeinsam haben wir uns über das vergangene Jahr hinweg Absatz für Absatz durch die Verträge vorgewagt und durchaus historisch gewichtige Versuche unternommen, Kompromisse zur Umsetzung der Empfehlungen der EU-Zukunftskonferenz als dem roten Leitfaden unserer Arbeit zu finden, die Schlussfolgerungen der Zukunftskonferenz in Politik zu übersetzen, erarbeitet sowohl in den Bürgerinnen- und Bürger-Agoren als auch dann gemeinsam in der Plenarkonferenz mit den Vertreterinnen und Vertretern der repräsentativen Demokratien auf EU- wie auf mitgliedstaatlicher Ebene bis hin zum Ausschuss der Regionen, dem Wirtschafts- und Sozialausschuss oder den Sozialpartnern, von organisierter Zivilgesellschaft und freier Meinungsäußerung auf der digitalen Plattform. Danke für die Initiative, Vizepräsidentin Šuica! 
Das war Versprechen und Verantwortungsübernahme von Rat, Parlament und Kommission am 9. Mai 2022. Mit dem Bericht jetzt liefert das Parlament ab. Wir wollen strategisch wie rechtlich verbindlich den Rat in die Lage versetzen, gemeinsam mit dem Europäischen Parlament einen Konvent zur Änderung der Europäischen Verträge entsprechend Artikel 48 einzuberufen. Solch ein Unterfangen, meine ich, sollte man nicht nur als einen ungewöhnlich umfangreichen legislativen Initiativbericht verstehen, als ein parlamentarisches Gesetzesvorhaben, sondern auch als Experiment in Sachen Demokratie. 
Unser Ansatz war von Anfang an konsensual, Vertragsveränderungen im institutionellen Bereich wie in den Politikfeldern, zu denen die Zukunftskonferenz Veränderungsnotwendigkeiten aufzeigte, zu erarbeiten. Statt Paragraf für Paragraf über unsere Vorschläge abzustimmen, haben wir versucht, über die Sinnhaftigkeit der Ansätze zu diskutieren und die roten Linien der anderen Fraktionen immer mitzudenken und nachzuvollziehen.
Dass wir es mit all den Mühen geschafft haben, zu einem aus meiner Sicht guten Ergebnis zu kommen, ist daher ein Erfolg an sich, aber auch ein Lehrstück dafür, wie deliberative Demokratie funktionieren kann. Ohne diesen Prozess würde es diesen Bericht nicht geben.
Es war aber auch ein außergewöhnliches file, nicht nur ein außergewöhnlicher Prozess. Einerseits der Versuch, unseren Versprechen gegenüber den Bürgerinnen und Bürgern der Zukunftskonferenz und vielen anderen Bürgerinnen und Bürgern in den Mitgliedstaaten der EU nachzukommen, die tagtäglich von sozialen Problemen gekennzeichnet sind, die von Sicherheitsfragen, von Umweltherausforderungen usw. in krisenhaften Prozessen geprägt sind und verunsichert sind, und andererseits auch im Wissen darum, wie nötig eine Reform der europäischen Institutionen gerade angesichts dessen ist, um den globalen Krisen und der potenziell anstehenden Erweiterung souverän begegnen zu können.
Dass diese anstehenden Reformversuche nun vor dem Hintergrund einer großen Bürgerbeteiligung zur Zukunft der Europäischen Union stattfinden, halte ich deshalb für einen historisch einmaligen Vorgang. Und deshalb ist es richtig und wichtig, dass sich auch die Linke in Europa, in der EU, in diese Diskussion einbringt, um die Verträge für eine bessere EU mitzugestalten. Dabei ist es mir klar und ist es mindestens genauso wichtig, die Empfehlungen so weitreichend wie möglich umzusetzen. 
Ich hoffe, dass der Bericht morgen eine breite Unterstützung hier in diesem Haus findet, damit das Parlament mit seinem Versprechen auch den Rat dafür gewinnt, diese Arbeit mit aufzunehmen und dann in einem breiten gesellschaftlichen Dialog die Veränderung der Verträge auf den Weg zu bringen.
"
Helmut SCHOLZ,2023-11-21,EN,Proposals of the European Parliament for the amendment of the Treaties (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-353-0000_EN.html,"  Helmut Scholz,  rapporteur. – Mr President, Vice-President, Council, having listened carefully to this debate, I would say that I am proud to be part of this report’s working structures and team in this House. 
That means that I remind all of us, all of you, that the founding document of the integration process was and is the manifesto of Ventotene. When it had been written in the darkest times of the European history, when Spinelli and others thought about the question of how we would organise the co-existence and co-living in friendship, in peace, of citizens who shot each other. I think we should always remind ourselves of this antifascist founding consensus of the European integration process. 
Yes, today we have to face that changes to the Treaties are necessary. The social reality – you have described it from the varied points – is under danger because there are neoliberal policies which are worrying the citizens in a lot of Member States. And we have to think, has an internal market foreign policy interest? Has an internal market interest in struggling against the climate change to keep the biodiversity alive? Etc. And these are the challenges we have to face. 
Therefore, the citizens in the Conference on the Future of Europe expressed a strong will in their recommendations to change the Treaties in their interests. So we have to deliver to the citizens to make the European Union working for their interests and not from national interests. It is not any longer only the nations and the states who are playing a role. The citizens have to take part in the decision-making, and therefore we need to open the Treaties and change them in that direction. 
"
Helmut SCHOLZ,2023-11-09,DE,Outcome of the EU-US summit (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-09-INT-2-015-0000_DE.html,"  Helmut Scholz,  im Namen der Fraktion The Left. – Herr Präsident, Frau Vizepräsidentin, Frau Ratsvertreterin! 1985 Tage dauert der Handelsstreit der EU mit den Vereinigten Staaten bereits an. Auch der jüngste EU-US-Gipfel konnte die wesentlichen Differenzen nicht überbrücken. Im Streit um Schutzzölle auf Aluminium und Stahl ist keine Einigung in Sicht. In weiter Ferne verbleibt der Abschluss des für die Kommissionspräsidentin von der Leyen so wichtigen Abkommens zu kritischen Rohstoffen. Seien wir ehrlich, insbesondere aufgrund von Differenzen zu Umweltstandards und Arbeitnehmer- und Arbeitnehmerinnenrechten.
Was bleibt also von diesem Gipfel? Die Abschlusserklärung unterstreicht die Rolle des Handels- und Technologierats als Schlüsselforum für wirtschaftliche Zusammenarbeit und wird zum prinzipiellen Verhandlungsrahmen aufgewertet.
Was heißt das? Wo bleibt die parlamentarische Kontrolle, um die wir mühsam ringen? Zudem wollen die beiden Blöcke Regeln für die Technologien von morgen setzen. Multilaterale Foren werden so ums Neue umgangen und mit ihnen auch die Notwendigkeit klarer Mandate. Das aber ist bedenklich in einer sich rapide verändernden multipolaren Welt.
"
Helmut SCHOLZ,2023-10-18,DE,A true geopolitical Europe now (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-186-0000_DE.html,"  Helmut Scholz (The Left).   – Frau Präsidentin, Herr Hoher Vertreter! Wir haben jetzt seit 2019 eine geopolitische Kommission, und ich glaube, die Debatte müssten wir eigentlich vom Kopf auf die Füße stellen. Wir reden über Äpfel, Birnen, wir werfen außenpolitische Interessen und weltwirtschaftliche Fragestellungen in einen Topf. Worüber wollen wir aber eigentlich reden? Wie wollen wir Geopolitik und Geowirtschaft einer Europäischen Union gestalten, die sich heute immer noch als Zollunion und Binnenmarkt versteht und nicht als ein gemeinsames Gebilde, das außenpolitische Interessen hat? Indem wir darum ringen: Wie muss eine außenpolitische Union, eine Verteidigungsunion aussehen, und wo sind dann die Aufgabenstellungen, die vor uns stehen?
Der Weltklimarat hat gesagt, wir haben 30, maximal 40 Jahre, um über das Bestehen der menschlichen Zivilisation selbstständig mit zu verfügen. Das heißt, wir sollten nicht gucken: Was machen jetzt die Russen, was machen die Chinesen, was machen die Amerikaner, die Afrikaner? Was sind die eigentlichen Aufgaben, um den Planeten Erde und die menschliche Zivilisation zu erhalten und in dem Sinne die Europäische Union als geopolitischen Akteur aufzustellen?
Konzentrieren wir uns auf diese Fragestellung. Ringen wir darum, Instrumente zu entwickeln, wo wir mit anderen gemeinsam genau diese zentrale Herausforderung bewältigen. Und was Kollegen schon gesagt haben: Jawohl, es geht um die Frage der Eindämmung der Klimakatastrophe. Es geht um die Bewältigung der Zukunftsherausforderungen. Es geht um den Schutz der Ärmsten und die Umsetzung der 17 Nachhaltigkeitsziele der Vereinten Nationen. Die Bilanz des Gipfels im September in den Vereinten Nationen war ja so erbärmlich, dass es eigentlich tragisch ist. Deshalb glaube ich: Nicht Militarisierung, nicht Erhöhung von Verteidigungsfähigkeiten sollte der Maßstab für eine geopolitische Kommission und Geopolitik sein, sondern die gemeinsame Verantwortung für das Überleben unserer Zivilisation.
"
Helmut SCHOLZ,2023-10-18,DE,"Outcome of the SDGs Summit (18-19 September 2023, New York) – transformative and accelerated actions leading up to 2030 and beyond (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-286-0000_DE.html,"  Helmut Scholz (The Left).   – Frau Präsidentin, Frau Vizepräsidentin, liebe Kolleginnen und Kollegen! Wir wissen alle: Die Halbzeitbilanz der Agenda für nachhaltige Entwicklung ist erschütternd. 85 Prozent, das ist der Anteil der Ziele, die wir bis 2030 aller Voraussicht nach nicht erreichen werden. Bei zentralen Problemen wie der Bekämpfung von Hunger und extremer Armut, beim Klima- und Artenschutz fallen wir sogar zurück.
Sicher, die COVID-19-Pandemie und andere Krisen haben uns kalt erwischt. Trotzdem müssen wir uns fragen, welche Kursänderungen nun nötig sind, an welchen Stellschrauben wir sofort drehen können, um das Versprechen der nachhaltigen Entwicklung für den ganzen Planeten einzulösen. Zu lange haben sich politische Entscheidungen am Wachstumszwang unseres Wirtschaftssystems orientiert und am BIP als einziger Zielmarke festgehalten. Die Beyond-Growth-Konferenz im Frühjahr des Jahres hier in unserem Haus hat deutlich gemacht, dass es so nicht weitergehen kann.
Gleichzeitig sorgt Profitlogik dafür, dass sich entwickelnde Länder unter einer wachsenden Schuldenlast erdrückt werden, anstatt das eigene und anderes Geld in den Aufbau der eigenen Volkswirtschaft investieren zu können. Deshalb brauchen wir ein Umdenken hin zu einer Wirtschaftsform, die für die Menschen arbeitet und nicht andersherum, einschließlich eines Schuldenschnitts, der dazugehören müsste. Die Nachhaltigkeitsziele sind in den verbleibenden Jahren zum zentralen horizontalen, alle Politiken durchziehenden Bemessungsfaden zu machen, auf internationaler, europäischer und nationaler Ebene. Um das umzusetzen, braucht es starke multilaterale Institutionen. Die Umsetzung der von G7 und G20 verschiedentlich übernommenen Zusagen mit Blick auf Gelder in Höhe von mittlerweile zig Milliarden ist endlich zu realisieren. COP 28, MC 13 sind konkret zu nutzen, die fair und inklusiv dafür sorgen, dass Regeln eingehalten werden und Verantwortung gerecht verteilt wird. Und das jetzt und nicht morgen, denn uns läuft allen die Zeit davon.
"
Helmut SCHOLZ,2023-10-04,DE,Energy Charter Treaty: next steps (continuation of debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-334-0000_DE.html,"  Helmut Scholz (The Left).   – Frau Präsidentin! Nicht ganz der irische Abschluss dieser Debatte. Ich möchte noch mal bekräftigen: Der koordinierte Ausstieg aus dem Energiechartavertrag ist ein überfälliger Schritt – weitere müssen folgen. Deshalb kann auch ich nur unterstreichen: Fehlinvestitionen in fossile Energieerzeugung verdienen keinen Schutzstatus. Ein nächster, zwingender Schritt muss deshalb die Anfechtung der „sunset clause“ sein, um die Investitionen im Energiesektor 20 Jahre lang selbst nach Austritt aus diesem Vertragswerk, die dort abgesichert sind, endlich aufzuheben. Auch diesen Bremsklotz für eine entschlossene Energiewende müssen wir rasch beiseiteschieben.
Aber ich fordere die Kommission auch auf, ihren Einsatz für Sonderklagerechte für Investorinnen und Investoren beim multilateralen Investitionsgerichtshof zu überdenken. Denn im Konfliktfall zwischen Konzern und öffentlichem Interesse ist immer eine Abwägung der Rechtsgüter notwendig. Für diese Aufgaben sind unsere öffentlichen Richterinnen und Richter bestens qualifiziert. Die überbezahlten Investmentanwältinnen und -anwälte der Sondertribunale sind es nicht.
Deshalb ist das die Chance, eine Pfadabhängigkeit zu überwinden und eine umfassende Wende der europäischen Energiepolitik gemeinschaftlich anzugehen.
"
