MP,Date,Language,Title,Url,Content
Henrike HAHN,2023-12-12,DE,Framework for ensuring a secure and sustainable supply of critical raw materials (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-016-0000_DE.html,"  Henrike Hahn,  im Namen der Verts/ALE-Fraktion. – Herr Präsident! Der Green Deal braucht kritische Rohstoffe, und Europa hat geliefert – in Schallgeschwindigkeit, für diversifizierte Lieferketten und Liefersicherheit, für Industrie und kleine Unternehmen in Europa. Lithium und seltene Erden für grüne Technologien werden eingesetzt bei Windturbinen, Solaranlagen, Elektroautos und Computerchips.
Mit dem EU-Gesetz für kritische Rohstoffe haben wir jetzt 2023 in Rekordzeit einen grünen industriepolitischen Meilenstein für mehr Bergbau in Europa gesetzt. Kreislaufwirtschaft und Recycling stehen jetzt im Mittelpunkt des Rohstoff-Gesetzes, und gleichzeitig arbeiten wir an der Verringerung des Bedarfs von kritischen Rohmaterialien und an der Substitution. Mit dem Rohstoff-Gesetz erhält jetzt grüne Technologie made in Europe die Möglichkeit, strategisch autonomer und zuverlässiger produziert zu werden, ohne Rohstofflieferungen aus geopolitisch fragwürdigen Ländern wie Russland und China zu beziehen. Wir bauen einen europäischen Rohstoffsektor auf, verwandeln Abfall in eine Ressource und stärken globale Partnerschaften und damit grüne, wettbewerbsfähige Industrie, ohne im Bürokratiedschungel zu verschwinden.
Die Recycling-Benchmark wird jetzt im Rohstoff-Gesetz auf 25 Prozent des EU-Jahresverbrauchs an strategischen Rohstoffen angehoben. Eine wachsende Menge strategischer Rohstoffe in EU-Abfallströmen wird recycelt werden. Das ist natürlich ein guter Dynamo für die Recyclingindustrie.
Auch das ist für uns Grüne sehr wichtig: Die Zivilgesellschaft muss beim Bergbau in Europa bestmöglich einbezogen werden. Die explizite Erwähnung der freien Zustimmung nach vorheriger Aufklärung für indigene Völker wurde wegen der Verweigerungen des Rates ausgebremst. Und trotzdem: Der endgültige Text verweist auf die OECD-Leitlinien, die die freie Zustimmung nach vorheriger Aufklärung enthalten, und das ist wichtig und das ist richtig. Der endgültige Text enthält auch eine Erwägung gegen Tiefseebergbau, und auch das ist für uns wichtig. Bergbau in EU-Gebieten muss ein Tabu bleiben. Die im Mandat des Europäischen Parlaments vorgesehenen Schutzmaßnahmen wurden letztlich nicht beibehalten, und das ist für uns Grüne klar schmerzhaft. 
Zum Ergebnis muss aber auch gesagt werden: Das Rohstoff-Gesetz ändert ausdrücklich keine Bestimmungen des Umweltrechtsrahmens. Klar ist: Grüner Wandel zur Erreichung unserer Klimaziele braucht kritische Rohstoffe, und deshalb brauchen wir bedarfsorientierten Bergbau in Europa unter den höchstmöglichen ökologischen und sozialen Kriterien. Auf geht's!
"
Henrike HAHN,2023-12-12,DE,European Economic Security Strategy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-426-0000_DE.html,"  Henrike Hahn (Verts/ALE).   – Herr Präsident! In Bayern gab es vor vielen Jahren bereits einen lauten Aufschrei, ob das sein darf – der Verkauf von Schlüsseltechnologien an einen chinesischen Konzern –, als der Hersteller von Industrierobotern KUKA übernommen wurde. Geopolitische Spannungen und technologischer Fortschritt machen solche Vorgänge jetzt noch heikler als je zuvor. Mit einer EU-Strategie zur wirtschaftlichen Sicherheit Chips, Quantentechnologien, künstliche Intelligenz und Biotechnologie in Europa gezielt zu schützen, ist richtig. Und das EU-Gesetz zu Halbleitern und zu kritischen Rohstoffen stärkt jetzt ganz aktuell europäische Unabhängigkeit von geopolitisch fragwürdigen Partnern.
Wenn sich der Wettbewerb zwischen den USA und China im Technologiebereich verstärkt, dann gilt es in Europa, weise und gelassen zu entscheiden – und eben ganz genau: ohne auf Protektionismus zu setzen. Und klar ist auch: De-risking – die Förderung von Forschung und Entwicklung und die Partnerschaft mit gleichgesinnten Partnern –wird zukünftig zentral sein bei ökonomischen, strategischen Entscheidungen für ein starkes Europa.
"
Henrike HAHN,2023-11-22,DE,Reducing regulatory burden to unleash entrepreneurship and competitiveness (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-155-0000_DE.html,"  Henrike Hahn,  im Namen der Verts/ALE-Fraktion. – Frau Präsidentin! Produkte Made in Europe sind weltweit gefragt – von mittelständischen Automobilzulieferanten bis zu Global Players wie Airbus in Donauwörth oder Toulouse. Dafür gibt es gute Gründe. Klar ist: Um im globalen Wettbewerb erfolgreich zu sein, müssen Unternehmen in Europa flexibel und innovativ sein, und wir müssen die Berichte über zu viel Bürokratie ernst nehmen. Unternehmerinnen und Unternehmer müssen anpacken, statt am Schreibtisch in Papierfluten zu versinken. Und es gibt wirklich keine Veranstaltung, die ich mit Unternehmerinnen und Unternehmern erlebe, in der nicht über das Thema Bürokratie gesprochen wird – und das muss auch in Brüssel ankommen.
Die Kommission hat mit ihrem KMU-Entlastungspaket einen ersten Aufschlag gemacht, von vereinfachten Steuerregeln bis hin zu einer verbesserten Methodik für die Berichterstattung zu ESG-Fragen, weil das eben auch immer wieder Thema ist, und auch nationale Regierungen können viel tun. Das deutsche Bundesministerium für Wirtschaft hat gerade ein Konzeptpapier gegen Bürokratie vorgelegt, mit richtigen Lösungen von Praxis- und Digitalchecks bis hin zur Vernetzung nationaler Transparenzregister.
Das Problem ist erkannt, das heißt, es braucht jetzt die Lösungen. Aber ich warne dennoch vor künstlicher Überzeichnung, denn manche konservativ denkende Kolleginnen und Kollegen – auch gerade hier im Europäischen Parlament – benutzen diese wichtige Aufgabe „Entbürokratisierung“ als politischen Code für eine 100 %-Deregulierung und auch gleichzeitig als eine Attacke gegen den Grünen Deal. Und über sinnvolle EU-Gesetzgebung mal eben mit dem Rasenmäher zu gehen, statt sich wirklich verantwortungsvoll ganz genau das anzuschauen, was geändert werden muss, das ist natürlich keine verantwortungsvolle Sachpolitik, sondern schlichtweg Populismus.
Was wir stattdessen brauchen, sind weniger, klare, einfache und transparente Regeln, die Innovation und Wettbewerbsfähigkeit von Unternehmen unterstützen und eben gleichzeitig auch Verbraucher und Umwelt zugutekommen – und genau so geht eben nachhaltiges Wirtschaften Made in Europe.
"
Henrike HAHN,2023-11-09,EN,Outcome of the EU-US summit (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-09-INT-2-012-0000_EN.html,"  Henrike Hahn,  on behalf of the Verts/ALE Group. – Mr President, from an industrial policy perspective, the most relevant piece of news from the EU-US summit in October is what was not agreed about. So the agreement on critical minerals doesn’t include recycled materials, as we in the European Parliament call for. What a waste of opportunity. In the EU, we currently work on having circular and resilient supply chains for critical raw materials, and, of course, we should vote for covering recycled minerals in line with the objectives of the Critical Raw Materials Act. And we should not miss the chance to promote recycling capacities.
Additionally, we have this trade dispute on trade in steel and aluminium not solved yet and the EU and the US have agreed to find a solution for that. They didn’t. A future global steel and aluminium agreement should cover overcapacity and climate-related goals. This means emissions intensity thresholds for steel and aluminium production and consumption, or a common understanding on what can be permissible: green industrial subsidies that do not contribute to overcapacity.
My vision is to have a transatlantic climate alliance as a base for quick transatlantic, rational decisions pushing green economy and the fight against climate change, what is desperately needed. Let’s make that better next time.
"
Henrike HAHN,2023-10-16,DE,Establishing the Strategic Technologies for Europe Platform (‘STEP’) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-16-INT-1-113-0000_DE.html,"  Henrike Hahn,  im Namen der Verts/ALE-Fraktion. – Frau Präsidentin! Europäische Unternehmen und die Industrie brauchen in Zeiten eines Inflation Reduction Act und hoher Energiepreise schnellstmöglich eine starke europäische Antwort. Nur eine wettbewerbsfähige Industriepolitik, die Klimaschutz mitbuchstabiert, kann Wohlstand in Europa schaffen und erhalten. Mit STEP, der Plattform für strategische Technologien für Europa, stellen wir jetzt gezielt bestehende Töpfe wie den Innovationsfonds InvestEU oder Horizont für die Förderung grüner und digitaler Zukunftstechnologien zur Verfügung. Davon werden KMU und Großunternehmen in Europa profitieren. Wir haben zusammen mit progressiver Mehrheit ein Finanzierungspaket erstellt, das sowohl Europas Lokomotivregionen als auch Mitgliedstaaten unterstützt, die geringeren Spielraum für Investitionen als andere haben.
Für uns Grüne ist das aber immer noch nicht genug. Wir fordern für STEP neue gegenfinanzierte Finanztöpfe, und zwar ohne haushaltstechnische Verschiebebahnhöfe und Rechentricks. Wir fordern ein STEP-Label, das mit hundertprozentiger Klarheit nukleare Projekte ausschließt, und wir sollten nicht unverhältnismäßig Kohäsionsmittel plündern. Den Fonds für einen gerechten Übergang zu rupfen als wichtiges EU-Projekt, das Wettbewerbsfähigkeit, Dekarbonisierung und soziale Gerechtigkeit zusammenbringt, ist schlichtweg falsch. Für wettbewerbsfähige grüne Industriepolitik brauchen wir eben nicht nur kleine steps, kleine Schritte, sondern eben große Schritte, vor allem aber einen starken Souveränitätsfonds, und zwar am besten heute und nicht morgen.
"
Henrike HAHN,2023-09-13,DE,Framework for ensuring a secure and sustainable supply of critical raw materials (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-227-0000_DE.html,"  Henrike Hahn,  im Namen der Verts/ALE-Fraktion. – Herr Präsident! Europa braucht eine stabile Versorgung mit kritischen Rohstoffen für eine wettbewerbsfähige grüne Industrie. Rohstoffe wie Lithium und seltene Erden sind unverzichtbar für Solarpaneele, Windkraftanlagen, Elektroautos und Computerchips.
Das EU-Gesetz für kritische Rohstoffe wird jetzt ordentlich dazu beitragen, die Versorgung mit kritischen Rohstoffen für die Industrie, für die kleinen und mittleren Unternehmen sicherzustellen und zu diversifizieren. Für Rohstoffe, die wir für grüne Technologien und in den Sektoren Weltraum und Verteidigung in Europa ganz dringend brauchen.
Unser Fokus muss auch zukünftig sein: Ressourceneffizienz, Kreislaufwirtschaft. Aber klar ist auch die EU-Unterstützung wettbewerbsfähigen Wirtschaftens: Made in Europe muss immer die höchstmöglichen sozialen und ökologischen Kriterien gleichwertig mitkonjugieren.
Ich denke, beim vorliegenden CRMA-Kompromiss wurde das Potenzial noch nicht ausreichend genutzt, Unternehmen in bestmöglicher Form wirklich nachhaltig zu unterstützen. Und hier kann der Trilog noch nachbessern. Die Beschleunigung von Genehmigungsverfahren ist per se eine gute Sache. Sie darf aber nicht zu Untergrabung von Umwelt- und Sozialstandards führen. Hier sind Standards mit Augenmaß sehr wichtig.
Es gibt keinen wirklich nachhaltigen Bergbau. Das ist bisher noch nicht erfunden worden, so ehrlich muss man sein – auch wenn es große und engagierte Unterschiede in der Berücksichtigung von Nachhaltigkeit gibt, wie ich eben an verschiedenen Minen in den USA und Europa selbst vor Ort sehen konnte. Aber wichtig ist auch: Bergbau in Natura-2000-Gebieten muss ein Tabu bleiben und betroffene und lokale Gemeinschaften müssen immer bestmöglich einbezogen werden.
Und trotzdem ist klar: Das EU-Gesetz für Rohstoffe ist ein wichtiger Teil des Green Deals und eine wichtige Antwort auf den Inflation Reduction Act und unsere strategische Autonomie.
"
Henrike HAHN,2023-09-13,EN,Opening of negotiations of an agreement with the United States of America on strengthening international supply chains of critical minerals (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-272-0000_EN.html,"  Henrike Hahn,  on behalf of the Verts/ALE Group. – Mr President, we Greens appreciate a lot what the Inflation Reduction Act will do for the worldwide climate in the future. It’s an astonishing piece of legislation with strong social conditionalities as well we can also learn from in the European Union.
It would be my personal wish to have a transatlantic climate alliance to adjust US-EU legislation in a way that the climate and a green, competitive transatlantic economy works the best on both sides of the Atlantic. Nevertheless, there are numerous provisions within the US Inflation Reduction Act that appear to discriminate against European companies.
For Europe it’s important to have sustainable, circular and resilient supply chains of critical raw materials, and to achieve this we have to broaden the scope of the agreement to include recycled minerals. This expansion aligns perfectly with the objectives set forth in in the EU Critical Raw Materials Act and will play an important role in promoting recycling capacity within the European Union. Recycling is where the European Union can truly bring substantial added value to the table. And I ask the Commission to maintain a transparent and open line of communication with the European Parliament to have the best base of informed, powerful, democratic, better decision-making.
"
Henrike HAHN,2023-09-13,DE,SME Relief Package (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-322-0000_DE.html,"  Henrike Hahn (Verts/ALE).   – Herr Präsident! Kleine und mittlere Unternehmen stehen im Zentrum starken Wirtschaftens in Europa. Und deshalb müssen wir in der EU auch wettbewerbsfähiges grünes Wirtschaften nach Kräften unterstützen.
Die Stärkung der EU-Zahlungsverzugsregeln ist eine gute Sache. Es kann nicht sein, dass KMUs bankrottgehen, wenn große Megafirmen ihre mittelständischen Zulieferer nicht rechtzeitig bezahlen.
Die Initiative der Kommission sieht vor, dass neue Gesetzesvorhaben systematischer geprüft werden und Berichtspflichten maßvoll überprüft werden. So können wir wichtige Entlastungen von Unternehmen mit sozialen und ökologischen Zielen gleichzeitig gut zusammenbringen.
Ein Europäischer Bürokratiekostenindex könnte in Zukunft die regulatorische Belastung noch transparenter machen, die Unternehmen vor Ort täglich belastend zu spüren bekommen. Klar ist aber auch, die EU-Unterstützung für KMU darf auch kein Vorwand für blinde Deregulierung sein.
Die Wahrheit liegt in der Mitte, in kluger Steuerung mit gleichzeitiger kräftiger Unterstützung und Entlastung. Denn die kleinen und mittleren Unternehmen vollbringen Großes für eine grüne, wettbewerbsfähige Wirtschaft in Europa – und das jeden Tag.
"
Henrike HAHN,2023-09-12,DE,Combating the normalisation of far-right and far-left discourses including antisemitism (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-560-0000_DE.html,"  Henrike Hahn (Verts/ALE).   – Frau Präsidentin! Mitten in Europa, in Bayern, ist gerade etwas Monströses passiert. Ein bayerischer Ministerpräsident Söder der CSU behält seinen Stellvertreter und Koalitionspartner der Freien Wähler, Aiwanger, im Amt – trotz der Vorwürfe des Antisemitismus und obwohl viele Fragen offenbleiben, obwohl Reue schwer erkennbar ist.
Machterhalt und Taktik gingen vor Werten und Haltung. So etwas wollen wir nicht in Europa und so etwas ist brandgefährlich. Wir haben die Verantwortung, die Menschen vor Schaden zu bewahren, statt die Gesellschaft zu spalten. Stattdessen erleben wir zunehmend, wie Populismus und Fake News eingesetzt werden, statt wertebasierte, gute Politik zu machen.
Null Toleranz für Antisemitismus. Wir werden eben nicht wegschauen, was auch bei uns im Europaparlament passiert. Wir werden hinschauen, ob so manche blind sind auf dem rechten Auge – auch mit dem Blick auf die kommenden Europawahlen. Mit aller Kraft werden wir dagegenhalten.
Unsere Heimat ist ein zivilisiertes Europa. Nie wieder!
"
Henrike HAHN,2023-07-12,DE,State of the SME Union (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-232-0000_DE.html,"  Henrike Hahn,  im Namen der Verts/ALE-Fraktion. – Frau Präsidentin! Ich sage das in aller Klarheit: Wir müssen in der EU Maßnahmen auf den Weg bringen, die es kleinen und mittleren Unternehmen ermöglichen, wettbewerbsfähig und nachhaltig zu wirtschaften. Im Chip-Gesetz haben wir das gerade sehr klar, sehr erfolgreich ausbuchstabiert. Wir wollen nicht nur Megaprojekte zur Förderung der europäischen Halbleiterindustrie unterstützen, sondern eben gerade auch kleine und mittlere Innovationstreiber. Wenn wir mit dem Grünen Deal Zukunftsbranchen in Europa aufbauen, dann schaffen wir grüne Jobs und die Möglichkeit, Produkte made in Europe weltweit zu exportieren.
Wenn wir politische Entscheidungen treffen, dann müssen wir auch immer mitdenken, welche Konsequenzen diese Entscheidungen für die Unternehmen und für den Mittelstand haben. Die KMU-Strategie der Kommission ist da jetzt begrüßenswert, aber jetzt müssen wirkliche Taten folgen. Mit einem vereinfachten EU-weiten Ansatz können wir die Compliance-Kosten für KMU reduzieren und wichtige Hürden für den Binnenmarkt abbauen. Wir brauchen eine Überarbeitung der Zahlungsverzugsrichtlinie und möglichst niedrige bürokratische Hürden für KMU. Ein Unternehmer oder eine Unternehmerin darf nicht am Papierwust ersticken, statt ordentlich wirtschaften zu können. Die Lösung liegt natürlich in der genauen Prüfung, wie wir einerseits in Europa gewinnbringend für alle politisch steuern können und wie wir gleichzeitig aber auch ein level playing field für die Unternehmen schaffen können mit gerechten Regeln für große Unternehmen genauso wie für die kleineren Unternehmen.
Wichtig ist auch eine bessere Unterstützung von KMU in der Umsetzung neuer Vorgaben. Es kann nicht sein, neue Regelungen zu schaffen und damit dann die Betroffenen komplett alleine zu lassen. Ein Netzwerk aus Beraterinnen und Beratern da zur Verfügung zu stellen, ist bereits ein Anfang, und natürlich müssen wir auch die Bekämpfung des Fachkräftemangels ganz wichtig angehen. Wir müssen massiv auf Ausbau und Weiterbildung setzen, auf lebenslanges Lernen.
Wir müssen natürlich auch Fachkräfte aus außereuropäischen Ländern zu uns holen. Wir Grüne fordern deshalb auch einen europäischen Migrationscode. Eine einfachere Anerkennung von im Ausland erworbenen Qualifikationen unterstützt uns alle für ein wettbewerbsfähiges Europa, für gute Arbeit, für sichere Jobs, für Klimaneutralität und Kreislaufwirtschaft. Packen wir es an!
"
