MP,Date,Language,Title,Url,Content
Herbert DORFMANN,2023-11-22,DE,Revised pollinators initiative -  a new deal for pollinators (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-384-0000_DE.html,"  Herbert Dorfmann (PPE).   – Frau Präsidentin! Bauern brauchen Bienen und Bestäuber, aber Bienen brauchen auch verantwortungsvolle Bauern – und das ist eine gegenseitige Abhängigkeit, nicht immer konfliktfrei, im besten Fall aber eine gewinnbringende Symbiose, und dafür müssen wir uns auch einsetzen.
Es bringt auch überhaupt nichts mehr, wenn wir einfach über die Landwirtschaft und die GAP herfahren und sie für alle Konflikte verantwortlich machen. Ich komme selber aus einer Region, in der viele Apfelbäume viele Bestäuber brauchen, und ich weiß, wo die Konfliktlinien liegen, und auch, wie eine Lösung gefunden werden kann. Wir brauchen einen klaren Bienenschutz in den Zeiten der Blüte, Pflanzenschutzmittel sollten ausgebracht werden, sobald Bienen nicht ausfliegen, Abdriften müsste verhindert werden.
Die GAP kann auch helfen, mit den Agrarumweltprogrammen der zweiten Säule, wenn wir artenreiche Wiesen und Felder fördern, mit der Konditionalität und den Ökoprogrammen der ersten Säule, z. B. mit Blühstreifen. Die Bienen schützen wir aber nicht, wenn wir die Bauern vertreiben, sondern indem wir sensibilisieren, fördern, aber auch eingreifen, wenn respektlos mit Bestäubern umgegangen wird.
"
Herbert DORFMANN,2023-11-21,DE,Sustainable use of plant protection products (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-039-0000_DE.html,"  Herbert Dorfmann (PPE).   – Frau Präsidentin! Weniger Chemie in der Landwirtschaft, weniger Pflanzenschutzmittel, weniger Kunstdünger – das ist natürlich ein Ziel, das im Interesse aller ist, nicht zuletzt auch der Bauern selbst. Schließlich sind diese Produkte auch Kostenfaktoren.
Manche, auch in diesem Haus, stellen sich die Dinge ein bisschen zu einfach vor. Die Bauern behandeln ihre Pflanzen nicht, weil sie ganz besonders Lust darauf hätten. Pflanzen erkranken, werden von Schädlingen angegriffen, müssen geschützt werden. Und dabei geht es dann leider oft eben nicht darum, ein bisschen weniger zu behandeln, um ein bisschen weniger zu ernten. Es geht oft darum, die gesamte Ernte zu verlieren und damit auch das Einkommen der Bauern.
Aber natürlich kann man reduzieren, und wenn es eine langfristige Perspektive gibt, wird es auch Anreize für die Industrie, für Forschung und Entwicklung geben, neue Wege aufzuzeigen, damit die Bauern eine wirkliche Alternative haben. Wir haben im Agrarausschuss in guter Zusammenarbeit der meisten Fraktionen des Hauses einen guten Kompromiss erarbeitet, der beides berücksichtigt – den Wunsch nach Reduzierung und die Notwendigkeit der Bauern, ihre Produktion und ihre Pflanzen zu schützen.
Und ich denke, wir sollten in der Abstimmung morgen diesen Kompromiss des Agrarausschusses weitgehend wiederherstellen.
"
Herbert DORFMANN,2023-11-20,DE,Union certification framework for carbon removals,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-203-0000_DE.html,"  Herbert Dorfmann (PPE).   – Herr Präsident, liebe Kolleginnen und Kollegen! Wir haben uns ein wichtiges Ziel gegeben: Wir wollen in ungefähr 25 Jahren in der Europäischen Union klimaneutral werden. Wenn wir dieses Ziel erreichen wollen – Herr Kommissar, Sie haben es gesagt –, dann werden wir eben nicht nur weniger emittieren müssen, wir werden auch mehr absorbieren müssen. Das Einlagern von Kohlenstoff in unsere Böden, das kann ein wichtiger Bauteil in diesem Projekt werden, und es kann sich zu einer wirklichen Win-Win-Situation entwickeln, denn jede Tonne Kohlenstoff, die aus der Luft absorbiert und als Humus im Boden eingelagert wird, ist ein Gewinn für unser Klima. Jede Tonne mehr Humus, die in unsere Böden kommt, ist ein Gewinn für unsere Bäuerinnen und Bauern. Und carbon farming kann letztendlich auch ein Business-Modell in der Landwirtschaft werden.
Land- und Forstwirtschaft ist ein ganz wichtiger Teil der Lösung auf dem Weg zu mehr Klimaschutz. Überall dort, wo Pflanzen wachsen, wo Photosynthese stattfindet, dort wird Kohlenstoff eingelagert und Sauerstoff erzeugt. Gäbe es diesen Prozess auf dieser Erde nicht, würden wir es nicht nur zu heiß bekommen auf diesem Planeten, wir würden innerhalb kürzester Zeit auch ersticken.
Mit dieser neuen Verordnung machen wir einen wichtigen Schritt, um für die Bäuerinnen und Bauern einen Anreiz zu schaffen, damit sie ihren Beitrag zum Klimaschutz noch effizienter als bisher gestalten können. Deswegen sollten wir bei der Abstimmung morgen den Vorschlag der Kollegin Pereira unterstützen.
"
Herbert DORFMANN,2023-10-19,DE,European protein strategy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-19-INT-4-056-0000_DE.html,"  Herbert Dorfmann (PPE).   – Frau Präsidentin, Herr Kommissar, Kolleginnen und Kollegen! Eiweiße sind für die Ernährung von Menschen und vor allem natürlich von Tieren von herausragender Bedeutung. Leider ist die Europäische Union meilenweit davon entfernt, sich selbst mit Proteinen versorgen zu können. Mehr als drei Viertel der hochwertigen Eiweiße importieren wir inzwischen vor allem aus Nord- und Südamerika, vor allem natürlich Soja. 
Die Gründe sind vielfältig. Da gibt es historische Gründe, das Blair-House-Abkommen, aber auch – das ist der Hauptgrund: Der Anbau von Soja und teilweise auch Raps ist bei uns schlichtweg weniger rentabel als der Anbau anderer Feldfrüchte.
Wirklich erhöhen werden wir deshalb die Eiweißproduktion nur, wenn es gelingt, Eiweißpflanzen stärker großflächig in unsere Fruchtfolgen zu bringen. Dazu braucht es Anreize und wahrscheinlich auch Verpflichtungen im Rahmen der Gemeinsamen Agrarpolitik. Ebenso sollten wir unsere Stilllegungsflächen besser für den extensiven Anbau von Eiweißpflanzen nutzen. Wir sollten uns aber auch überlegen, wie man weniger hochwertiges Eiweiß für die Tierernährung braucht. Und durch einen besseren Flächenbezug unserer Rinderhaltung können wir Dauergrünland besser nutzen, weniger importiertes Eiweiß verbrauchen und damit auch einen Beitrag zum Klimaschutz leisten.
Noch ein Wort zur menschlichen Ernährung: Es ist sinnvoll, wenn wir mehr pflanzliches Eiweiß in unsere Ernährung einbauen. Das ist gesund und auch effizient. Aber wir dürfen uns nicht zum Ziel setzen, tierisches Eiweiß und Milch und vor allem Fleisch durch synthetische Produkte zu ersetzen. Wer kein echtes Fleisch essen will, der sollte eben keines essen. Wer glaubt, man könnte unsere Unterversorgung mit Eiweiß lösen, indem wir im Biogenerator gewachsene Zellhaufen essen, der ist wahrscheinlich auf dem Holzweg.
Souveränität ist in schwierigen Zeiten wie diesen auch ein Stück Sicherheit. Das gilt besonders für die Ernährung, und da haben wir mit den Eiweißen noch einen weiten Weg zu gehen.
"
Herbert DORFMANN,2023-10-19,DE,Generational renewal in the EU farms of the future (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-19-INT-4-092-0000_DE.html,"  Herbert Dorfmann (PPE).   – Herr Präsident, Herr Kommissar, Kolleginnen und Kollegen! Die Landwirtschaft in Europa kann nur eine erfolgreiche Zukunft haben, wenn es gelingt, junge Menschen für diesen Beruf zu begeistern. Diese Herausforderung ist bereits heute groß und sie wird größer werden. Schon die Alterspyramide in Europa wird dazu führen, dass tüchtige junge Menschen in Europa in den nächsten Jahren viele Chancen haben werden. Viele Sektoren werden sich um junge Menschen reißen und daher müssen wir mit der Landwirtschaft attraktiv bleiben. 
Unser Bericht zeigt notwendige Schritte auf. Wir müssen in Aus- und Weiterbildung investieren. Wir müssen jungen Menschen, die in die Landwirtschaft einsteigen wollen, den Einstieg auch möglich machen. Es braucht Zugriff auf Grund und Boden, es braucht finanzielle Starthilfe.
Und ich frage mich schon auch: Die GAP – so, wie sie heute funktioniert –, ist sie ein wirklicher Anreiz für junge, innovative Menschen mit gutem unternehmerischen Instinkt? Oder ist sie manchmal besser für etablierte Betriebe, die über viel Grund und Boden und oft weniger Ideen verfügen? Wir brauchen in der GAP mehr Anreize für junge Menschen, für Innovationen und auch für Unternehmertum. Vor allem müssen wir aber garantieren, dass junge Menschen Möglichkeiten erhalten, in Technologien zu investieren, um effizient und nachhaltig produzieren zu können.
Und junge Menschen brauchen einen lebendigen ländlichen Raum. Wer mit seiner Familie auf dem Land leben will, braucht nicht nur Einkommen, er oder sie braucht auch eine Schule, einen Kindergarten, eine Kita, Straßen, einen Arzt – all das, was eben einen lebendigen ländlichen Raum ausmacht. 
Vor allem aber muss die Landwirtschaft wieder attraktiv werden, ein Sektor, der für junge Menschen cool ist. Damit wir das erreichen, müssen wir Landwirte, besonders junge Bäuerinnen und Bauern, wieder wertschätzen. Wenn wir – wie es leider oft der Fall ist – alle so tun, als wüssten wir besser als alle anderen, wie es in der Landwirtschaft geht, und täglich über die Landwirtschaft und die Bauern und Bäuerinnen herfallen, werden wir junge Menschen ganz sicher nicht begeistern. Und ohne diese jungen Menschen wird es eben keine Zukunft in der Landwirtschaft geben.
"
Herbert DORFMANN,2023-10-04,DE,The proposed extension of glyphosate in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-256-0000_DE.html,"  Herbert Dorfmann (PPE).   – Herr Präsident, Frau Kommissarin, Kolleginnen und Kollegen! Kein in der Landwirtschaft eingesetztes Pflanzenschutzmittel erhitzt seit Jahren die Gemüter wie Glyphosat. Dafür gibt es Gründe, nicht alle haben mit wissenschaftlichen Erkenntnissen und wissenschaftlichen Fakten zu tun.
In diesem Haus haben wir bereits vor fünf Jahren vorgeschlagen, den Wirkstoff nur mehr unter bestimmten Voraussetzungen zu verlängern. Dazu gehört vor allem das klare Verbot, den Wirkstoff für Vorerntebehandlungen einzusetzen. Nur dann und nur so kann der Wirkstoff nämlich in die Lebensmittelkette gelangen. Spät, aber doch greift die Kommission diesen Vorschlag nun auf.
Die Landwirtschaft braucht – vielleicht leider – Glyphosat als Herbizid. Eine wirkliche Alternative steht der Landwirtschaft bis heute nicht zur Verfügung. Vor allem darf man halt auch nicht vergessen, dass viele Praktiken einer CO2-armen Landwirtschaft wie minimum oder no tillage nur dann möglich sind, wenn ein effizientes Totalherbizid zur Verfügung steht.
Aber es muss klar sein, dass eben nur diese Verwendung als Herbizid verlängert wird und den Mitgliedstaaten auch keine Möglichkeit mehr gegeben wird, davon Ausnahmen zu gestatten. Für Vorerntebehandlungen gibt es Alternativen, und diese sind auch zu nutzen. Dazu braucht es auch eine klare Spiegelklausel, der Rückstandswert MRL muss entsprechend für Lebensmittel in Europa und für eingeführte Lebensmittel angepasst werden. Das, was in Europa gilt, muss ja auch für eingeführte Ware gelten.
Wichtig ist aber vor allem, dass Alternativen erforscht werden. Dazu gehören Substanzen wie Pelargonsäure. Diese Substanzen müssen verbessert und zügig zugelassen werden.
Meine Fraktion unterstützt daher den Vorschlag der Kommission für eine eingeschränkte Wiederzulassung des Wirkstoffs.
"
Herbert DORFMANN,2023-09-13,DE,Reviewing the protection status of wolves and other large carnivores in the EU (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-152-0000_DE.html,"  Herbert Dorfmann,  Verfasser. – Herr Präsident, Frau Kommissarin, Kolleginnen und Kollegen! Am vergangenen 24. November haben wir uns hier in diesem Haus mit großer Mehrheit dafür ausgesprochen, den Schutzstatus des Wolfes und der großen Beutegreifer in der Europäischen Union der heutigen Situation anzupassen.
Heute gibt es in der Europäischen Union rund 20 000 Wölfe – Population wachsend. Das ist das Ergebnis von 30 Jahren strengem Schutz im Rahmen der Natura-2000-Richtlinie. Und selbst die IUCN stuft die Wolfspopulation in Europa inzwischen als nicht mehr bedroht ein. 
Diesen Erfolg der Richtlinie sollten wir zur Kenntnis nehmen. Der gilt im Übrigen nicht nur für Wölfe, der gilt auch für andere große Beutegreifer und für viele andere Arten. Aber wir müssen auch zur Kenntnis nehmen: Die Konflikte zwischen Wölfen, Bären, Menschen und vor allem Nutztieren nehmen tagtäglich zu.
Ich komme aus Südtirol, einem Land mitten in den Alpen. Wir haben noch einen lebendigen ländlichen Raum, in dem Menschen wohnen, die Landwirtschaft betreiben, die Tiere züchten, die oft extreme Berghänge bewirtschaften und beweiden. Das ist auch eine Grundlage für Biodiversität. Eine nicht bewirtschaftete Alm ist ungleich weniger, hat ungleich weniger Biodiversität als eine bewirtschaftete.
In der Region wurde leider in den vergangenen Monaten ein 26-jähriger Mann von einem Bären getötet, weil auf engstem Raum inzwischen mehr als 100 Braunbären leben, und es gibt keine Möglichkeit, diese Population zu reduzieren. Angriffe von Wölfen auf Schafe und Ziegen – und immer öfter auch auf Rinder – sind inzwischen fast tagtäglich. Allein in meiner Region wurden in diesem Jahr 500 Tiere gerissen. Und ich war leider bei Schafherden, wo in der Nacht vorher der Wolf gewütet hat. Ich habe tote, halbtote und schockierte Tiere zusammengesammelt.
Und ich wundere mich jedes Mal über sogenannte Tierschützer, die jeden Wolf und jeden Bär mit Klauen verteidigen, denen hunderte gerissene Nutztiere aber offensichtlich egal sind. Wundert es jemand da, wenn Menschen sich nicht mehr in den Wald trauen? Wenn Tierzüchter Almen auflassen, aus der Schafzucht aussteigen?
Stellen wir uns die Frage: Wie viel Biodiversität bringt der Wolf? Wie viel Biodiversität zerstört er? Die Antwort der Kommission auf diese Frage war bisher mehr als dürftig. Man solle die Tiere schützen, Weideschutzmaßnahmen umsetzen. Gut gemeint, manchmal schlecht möglich. Vielleicht sollte man einfach vor Ort öfter die Situation anschauen. Es gibt Flächen, wo Weideschutz möglich ist, aber es gibt auch Flächen, wo es schwierig ist, mit nur sehr hohem Aufwand möglich ist. Und ich frage mich auch für was? Damit eine Art, die nicht bedroht ist, auch die letzte Ecke Europas besiedelt?
Einen Fehler dürfen wir in dieser Debatte nicht machen. Wir dürfen nicht so tun, als wären unsere ländlichen Räume, unsere Dörfer, unsere Wiesen und Weiden, unsere Wälder reine Naturräume. Sie sind vom Menschen geprägte Räume, sie sind Kulturlandschaften. Wenn wir diese Kulturlandschaften erhalten wollen, dann gibt es eben nicht nur das Interesse der Natur, es gibt auch das Interesse der Menschen. Es gibt das Interesse der Bauern, die mit viel Aufwand und oft wenig Lohn diese Flächen bewirtschaften. Und es braucht einen Ausgleich zwischen beiden.
Ein streng geschützter Wolf und ein schutzloses Schaf passen schlicht und einfach nicht zusammen. Das ist ein unfaires Gleichgewicht. Deshalb: Es braucht einen neuen Ansatz, und ich danke der Frau Kommissionspräsidentin Ursula von der Leyen, dass sie letzte Woche das Heft selbst in die Hand genommen hat. Der Schutz des Wolfes und der großen Beutegreifer ist der heutigen Situation anzupassen.
Es geht nicht darum, den Wolf wieder zu gefährden. Es geht darum, Eingriffe zu ermöglichen, wo es notwendig ist, damit beide eine Chance haben. Die Bauern und Bäuerinnen, die Nutztiere und auch die großen Beutegreifer. Ich danke der Kommissionspräsidentin, dass sie die demokratische Entscheidung dieses Hauses, die wir vor einem halben Jahr getroffen haben, aufgegriffen hat. Und ich hoffe, dass wir nun wirklich dazu kommen, schnell zu handeln und damit eine zügige Antwort zu geben. 
"
Herbert DORFMANN,2023-09-13,DE,Amending the proposed mechanism to resolve legal and administrative obstacles in a cross-border context (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-294-0000_DE.html,"  Herbert Dorfmann,  im Namen der PPE-Fraktion. – Herr Präsident, Frau Kommissarin, Kolleginnen und Kollegen! Zum Beispiel keine Zulassung für Fahrer im grenzüberschreitenden Straßenbahnverkehr, Vorgaben und Probleme bei grenzüberschreitenden Bergrettungsdiensten, Krankentransporte, langwierige Prozeduren bei der Anerkennung von Berufsqualifikationen – alles Beispiele, die aufzeigen, wo bestehende legislative und administrative Hürden bestehen können, mit denen sich Bürger an der Grenze konfrontiert sehen.
Es gibt natürlich Instrumente der europäischen Regionalpolitik, es gibt Interreg, es gibt den EVTZ, aber sie sind nicht ausreichend, besonders wenn es eine Änderung des rechtlichen Rahmens oder der Verwaltungsbestimmungen braucht. Die Kommission – Sie haben es angesprochen, Frau Kommissarin – hat bereits im Jahr 2018 einen Lösungsvorschlag dafür vorgelegt. Leider hat der Rat den bis heute nicht angenommen und ist in der Debatte auch nicht weitergekommen.
Mit diesem unserem Vorschlag – und ich danke besonders auch unserem Berichterstatter – versuchen wir nun einen Anfang. Der Mechanismus, über den wir morgen abstimmen werden, gibt Bürgern und Institutionen die Möglichkeit, legislative und verwaltungstechnische Hürden an eine zentrale Koordinierungsstelle zu melden mit der Garantie einer Rückmeldung und dann auch Hilfe zu erhalten. Dabei war es uns ganz besonders wichtig, dass die betroffenen Regionen und die betroffenen Behörden mit eingebunden werden.
Wir brauchen einen Mechanismus, der die Akteure an der Grenze, die Gemeinden und die Regionen eng in die Entscheidungen einbaut. Wir haben die Vorbehalte des Rates adressiert. Die Souveränität der Mitgliedstaaten bleibt unangetastet. Die Aktivierung des Mechanismus ist freiwillig. Jetzt liegt es an der Kommission und vor allem am Rat, zu zeigen, dass es ihnen ernst ist und dass man wirklich daran arbeitet, europäische Integration zu bauen, Hemmnisse abzubauen und dass das Ganze für die Bürger in der Grenzregion nicht eine leere Worthülse bleibt.
Grenzüberschreitende Zusammenarbeit ist ein wichtiger Teil Europas. Wenn wir sie ausbauen und erleichtern, bringen wir auch die Europäische Union voran.
"
Herbert DORFMANN,2023-09-12,DE,Ukrainian grain exports after Russia’s exit from the Black Sea Grain Initiative (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-410-0000_DE.html,"  Herbert Dorfmann (PPE).   – Frau Präsidentin, Kolleginnen und Kollegen! Die Solidarity Lanes sollten eigentlich dazu dienen, Getreide und Ölfrüchte aus der Ukraine auf dem EU-Landweg dorthin zu bringen, wo sie gebraucht werden: nach Afrika und in den Mittleren Osten. Ich war vor einem Jahr ungefähr an der Grenze der Ukraine zu Polen und Rumänien und bereits damals war es klar, so kann das nicht funktionieren.
In der vorletzten Woche haben Sie, Herr Kommissar, in unserem Agrarausschuss berichtet, dass weniger als 5 % des Getreides, das über die Solidarity Lanes in die Europäische Union kommt, die Europäische Union auch wieder verlässt. Das ist eine Bruchlandung. Das ist eine Bankrotterklärung für die Solidarity Lanes. Der Erfolg, den Sie hier dargestellt haben, den gibt es überhaupt nicht. Das Getreide landet in der Europäischen Union und nicht in Afrika und nicht im Mittleren Osten.
Und nun kann man natürlich vorschlagen, dass man den Export finanzieren sollte. Aber Herr Kommissar, Sie wissen genau, das Geld dafür ist nicht da. Und es sind halt wieder einmal Versprechungen, die niemandem nutzen und schon gar nicht den Bauern. Also ja zur Solidarität mit der Ukraine, ja zum zollfreien Import, aber auch ja zu neuen Abkommen mit den Freunden in der Ukraine, um zu garantieren, dass zumindest ein Teil dieses Getreides nicht in die Europäische Union kommt, sondern wirklich in der Welt landet – dort, wo es gebraucht wird.
"
Herbert DORFMANN,2023-07-11,DE,Nature restoration (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-044-0000_DE.html,"  Herbert Dorfmann (PPE).   – Herr Präsident, Herr Kommissar, Kolleginnen und Kollegen! Ich glaube, immer dann, wenn wir hier in diesem Haus neue Gesetzgebung machen, sollten wir uns eine zentrale Frage stellen: Bringt diese Gesetzgebung einen Mehrwert, und respektiert sie die Subsidiarität? Bei der Verordnung über die Wiederherstellung der Natur ist die Antwort ganz klar: Nein. Unsere Staaten, die Regionen, die Kommunen sind zuständig für den Schutz der Landschaft. Ein generelles Verschlechterungsverbot wird diese Zuständigkeit arg verletzen. Ich bezweifle schon sehr, ob Brüsseler Behörden eine Zukunft besser abwägen können als eine einzelne Gemeinde, ob ein Eingriff vernünftig ist oder nicht.
Dann identifizieren wir natürlich wieder einmal in der Landwirtschaft die maßgeblichen Verantwortlichen für die Zerstörung von Natur und Landschaft. 10 % der Flächen sollen aus der Produktion genommen werden. Die Lebensmittelsicherheit, so sagt die Kommission, wird damit nicht beeinflusst. Das wird richtig sein, wenn man auf den restlichen 90 % intensiver wird. Ist das sinnvoll? Ich denke, es ist sinnvoll, in der Landwirtschaft auf allen Flächen Wege zu finden, damit wir möglichst nachhaltig produzieren können. Dazu haben wir die Gemeinsame Agrarpolitik, dazu geben wir rund 20 Milliarden Euro im Jahr aus, und wir werden diese freiwilligen Programme gefährden, wenn wir Mindeststandards, gesetzliche Standards einführen.
Dann gibt es natürlich noch die Frage des Eigentumsrechts. Auch das wird arg verletzt. Dieses Gesetz gehört an die Kommission zurück.
(Der Redner ist damit einverstanden, eine Frage nach dem Verfahren der „blauen Karte“ zu beantworten.)
"
