MP,Date,Language,Title,Url,Content
Hervé JUVIN,2023-12-12,FR,Framework for ensuring a secure and sustainable supply of critical raw materials (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-020-0000_FR.html,"  Hervé Juvin (NI).   – Monsieur le Président, Monsieur le Commissaire, beaucoup a été dit sur ce qui n’est pas encore une guerre des terres rares ou des métaux rares, mais qui est déjà une course aux matières premières nécessaires. Pour ma part, je voudrais souligner quatre points qui me paraissent essentiels.
Le premier point, c’est que le prix ne suffit pas. Nous ne sommes pas dans des relations d’économie, dans des relations de marché, de concurrence: nous sommes clairement dans des relations de puissance, et y faire face suppose que l’Union européenne et les nations européennes sachent clairement affirmer leurs priorités et faire valoir des rapports de force sur le terrain.
Mon second point est le rôle de l’innovation. Ne nous laissons pas enfermer dans des situations où, pour certains produits et certaines technologies, nous serions excessivement dépendants d’un seul pays ou d’une seule zone d’approvisionnement. L’innovation peut nous aider à trouver des produits de remplacement.
Troisième point: une rareté peu discutée, c’est celle des terres. Des terres fécondes, en bonne santé, sont en train de devenir une rareté. La restauration de la nature est une priorité en Europe.
Dernier point, enfin: ne nous laissons pas enfermer par des intérêts géopolitiques qui ne sont pas les nôtres. Ne nous laissons pas enfermer dans des guerres qui ne sont pas les nôtres ou des conflits qui ne sont pas de notre intérêt. Seul l’intérêt européen et des nations européennes doit prévaloir.
"
Hervé JUVIN,2023-11-20,FR,"UN Climate Change Conference 2023 in Dubai, United Arab Emirates (COP28) (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-088-0000_FR.html,"  Hervé Juvin (NI).   – Madame la Présidente, Monsieur le Commissaire, je souhaite que cette COP de Dubaï rentre dans l’histoire. Après, à leur adolescence, tous les enfants émiratis, comme omanais ou saoudiens, sont invités à passer quelques semaines ou quelques mois dans le désert pour éprouver la réalité de leur territoire, d’une culture millénaire d’adaptation à un climat extrême et la capacité singulière d’adaptation à ce climat.
Cette COP restera dans l’histoire si elle en finit avec l’artificialisation, avec l’uniformisation et avec la standardisation des réponses que nous apportons au changement climatique. Nulle part sur terre il n’y a les mêmes conséquences et nulle part sur terre, il n’appelle les mêmes solutions.
Bien sûr, il faut relancer le nucléaire et son «zéro émission net». Bien sûr, il faut engager la lutte contre le dérèglement climatique, mais tout autant la lutte pour l’adaptation des populations. La diversité est notre condition humaine, c’est à chaque peuple, à chaque nation, à chaque État de trouver les solutions en fonction de sa géographie, de son histoire et de ses traditions. Retrouvons la diversité de nos pratiques et de nos savoir-vivre sur nos territoires, c’est la voie localiste du progrès écologique.
"
Hervé JUVIN,2023-11-08,FR,State of the Energy Union (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-08-INT-1-193-0000_FR.html,"  Hervé Juvin (NI).   – Monsieur le Président, Madame la Commissaire, pour tous ceux qui s’inquiètent du prix de l’essence à la pompe et du prix du chauffage cet hiver, l’heure n’est certainement pas à l’autosatisfaction. La préférence irrationnelle pour les énergies renouvelables provoque une inflation des prix de l’énergie en passe de devenir structurelle. Des intermédiaires, qui ont perdu leur identité au passage, s’enrichissent sans cause en revendant du gaz et du pétrole russe. Les impasses techniques qui sont faites, notamment sur les microcentrales nucléaires, mais aussi sur le gaz propre – qui pourrait bien être l’énergie du XXIᵉ siècle –, mais aussi sur les réseaux électriques intelligents, risquent de pénaliser la compétitivité de nos entreprises et aussi les prix payés pour l’énergie par nos ménages. 
Mais l’erreur me semble d’une nature plus grave. C’est une erreur sur la nature même des marchés en concurrence. Sur l’énergie sont d’abord en concurrence des systèmes nationaux, des opérateurs nationaux, et des conditions climatiques et territoriales différentes. Nous permettons aux entreprises privées tout ce que nous interdisons aux opérateurs nationaux: une approche localiste et responsable. Il convient de reprendre les bases d’une concurrence et de faire le bilan de ce que gagneraient les États qui, comme le Portugal ou l’Espagne, reprennent leur indépendance par rapport à des prix européens de l’énergie qui sont une subvention à des pays qui ont fait les mauvais choix. Je pense notamment à l’Allemagne.
"
Hervé JUVIN,2023-10-04,FR,European green bonds (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-224-0000_FR.html,"  Hervé Juvin (NI).   – Monsieur le Président, Madame la Commissaire, chers collègues, ne nous y trompons pas. Qu’est-ce qui distingue une obligation verte d’un contrat obligataire ordinaire? Rien. L’exigence de liquidité est la même. Le calcul du rapport risque-rendement est le même et l’exigence de rendement de l’investisseur est le même. Ce qui signifie que les obligations vertes sont l’occasion pour la finance de marché de faire main basse sur la question environnementale.
Il faut le dire clairement, la finance de marché n’est pas la solution au financement des sujets environnementaux, c’est le problème. Les exigences de rendement de la finance de marché sont incompatibles avec la transition écologique, avec le financement de grands projets écologiques.
Très clairement, la réponse est d’une autre nature que l’émission d’obligations sur le marché international. C’est celle des financements locaux où le rendement est d’abord social et communautaire. C’est la promotion des biens communs inappropriables et qui ne doivent pas faire l’objet d’appropriation financière. C’est enfin la refonte d’un domaine financier qui est aujourd’hui le principal responsable de la crise écologique et qui, en aucun cas, ne peut apporter de solutions au financement de la crise écologique. 
"
Hervé JUVIN,2023-09-13,FR,Reviewing the protection status of wolves and other large carnivores in the EU (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-161-0000_FR.html,"  Hervé Juvin (NI).   – Monsieur le Président, Madame la Commissaire, chers collègues, voici qu’un jour je rencontrais un agriculteur breton à Saint-Gildas-de-Rhuys, qui a cessé de produire des céréales en raison des dommages causés par les hordes de sangliers et de cervidés.
La première menace qui pèse aujourd’hui sur l’agriculture dans nombre de nos régions vient de la prolifération incontrôlée des sangliers, des chevreuils et des cerfs. Or, ces animaux ont un prédateur naturel et un seul, c’est le loup. Au moment de discuter du statut du loup, animal en danger ou non, nous devons écouter les enseignements des spécialistes du comportement animal, qui nous disent que les loups attaquent les troupeaux et les animaux domestiques essentiellement quand les meutes ont été désorganisées. Ce sont les individus faibles, vieux ou malades, qui s’attaquent à des animaux domestiques, quand les meutes hiérarchisées s’attaquent essentiellement à leurs proies naturelles que sont les animaux sauvages.
Faisons donc attention à maintenir le principe du tir sélectif. Ne désorganisons pas les meutes, ce qui pourrait se traduire par une augmentation des dommages causés aux troupeaux. Nous devons apprendre à coexister avec les animaux sauvages, nous féliciter des résultats d’une politique de conservation qui a porté ses fruits. Nous devons apprendre à coexister pour préserver la biodiversité.
"
Hervé JUVIN,2023-09-13,FR,"Human rights situation in Bangladesh, notably the case of Odhikar",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-398-0000_FR.html,"  Hervé Juvin (NI).   – Monsieur le Président, Madame la Commissaire, chers collègues, c’est une chose grave pour une assemblée comme la nôtre que de mettre en cause le système judiciaire d’un pays souverain et de mettre en cause sa liberté de se gouverner lui-même.
Je ne vous rappellerai pas l’histoire compliquée du Bangladesh: les crimes contre l’humanité qui ont marqué sa guerre d’indépendance, les remarquables progrès aujourd’hui en matière de croissance et de développement, notamment la formation des jeunes, qui en font l’un des pays moteurs du Sud-Est asiatique. Je ne vous évoquerai pas non plus la générosité du Bangladesh dans l’accueil de centaines de milliers de réfugiés rohingyas de la toute proche Birmanie.
Je voudrais simplement souligner qu’en encourageant des ingérences extérieures, en nous immisçant dans le fonctionnement d’institutions, certes à perfectionner, mais qui dans la région restent marquées par un fonctionnement démocratique sur lequel nous devons être prudents, nous pouvons obtenir le résultat inverse de ce que nous poursuivons. Consolider les institutions, consolider la légitimité et la souveraineté du Bangladesh doit être notre objectif. Attention aux ingérences, attention aux manipulations dont nous pouvons être les objets.
"
Hervé JUVIN,2023-03-16,FR,Advancing the 2022 Bridgetown Agenda (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-16-INT-4-088-0000_FR.html,"  Hervé Juvin (NI).   – Monsieur le Président, Madame la Commissaire, l'Agenda de la Barbade a l'avantage de souligner le caractère manifestement insoutenable d'un système qui confronte quelques-uns des pays les plus pauvres du monde, comme la Barbade, comme récemment le Pakistan, aux conséquences de dérèglements environnementaux dont ils ne sont pour rien la cause. Mais ne nous y trompons pas. Des institutions internationales, un système bancaire et financier, un capitalisme devenu totalitaire qui ignore la concurrence, le marché comme la démocratie ne pourront pas résoudre eux-mêmes les problèmes qu'ils ont largement contribué à créer. 
C'est pourquoi nous demandons un changement des normes comptables qui survalorisent les flux au détriment des stocks. C'est pourquoi nous demandons une révision des exigences de rendement financier manifestement incompatibles avec la survie des écosystèmes et le renouvellement des ressources naturelles. C'est pourquoi il faut rapidement procéder à la taxation des mouvements internationaux de capitaux qui sont totalement adverses à des sociétés résilientes et à des territoires durables. Retenons la parole de Keynes, le premier localiste: produisons chez nous tout ce qu'il est raisonnablement capable de produire, mais surtout que la finance et la banque demeurent nationales. 
"
Hervé JUVIN,2023-03-14,FR,EU-Armenia relations (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-14-INT-2-478-0000_FR.html,"  Hervé Juvin (NI).   – Madame la présidente, Monsieur le Commissaire, merci de cette session qui traite un sujet majeur. Les Arméniens sont inquiets. Dans ce Parlement qui se mobilise massivement en faveur de l'Ukraine, la rhétorique militaire de l'Azerbaïdjan est insupportable. 
Elle est insupportable parce qu'en effet, l'Arménie regarde vers l'Europe. Les liens culturels, les liens sociétaux, les liens historiques avec l'Europe sont majeurs. Dans le même temps, nous devons refuser toute hypocrisie. J'entends beaucoup parler du gaz de l'Azerbaïdjan. Nous ne nous faisons pas d'illusions. Le gaz de l'Azerbaïdjan, c'est du gaz russe. Et les relations que certains pays européens veulent développer avec l'Azerbaïdjan, c'est un excellent moyen de contourner les sanctions contre la Russie. 
Ne nous faisons pas non plus d'illusions, si l'Union européenne le reconnaît, de grands pays mondiaux comme la Grande-Bretagne ne reconnaissent pas le génocide arménien. Il est urgent aujourd'hui de considérer que la tentation et la volonté de l'Azerbaïdjan de créer un corridor à Syunik avec la Turquie est une menace de nature géopolitique pour l'Europe. 
Nous devons muscler notre corps d'observateurs qui doivent faire face à la défaillance des peacekeepers russes. Nous devons renforcer le soutien à une Arménie où des centaines de milliers d'Arméniens craignent pour leur survie au quotidien et sont menacées de ce que nous redoutons pour l'Ukraine.
"
Hervé JUVIN,2023-02-15,FR,European Central Bank - annual report 2022 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-02-15-INT-3-281-0000_FR.html,"  Hervé Juvin (NI).   – Madame la Présidente, Madame la Commissaire, Madame la Présidente de la BCE, votre courtoisie est renommée. Nous sommes très sensibles au fait que vous ayez la patience de rester avec nous ce soir, et je crois que tous mes collègues s’unissent à moi pour vous saluer.
La décision politique majeure que vous avez prise avec le verdissement de la politique monétaire de la BCE appelle de ma part deux questions, notamment en cette période de forte inquiétude quant au maintien du pouvoir d’achat.
La première question porte sur sa légitimité: ne conviendrait-il pas d’envisager une nouvelle négociation et une extension de votre mandat pour légitimer ce verdissement de la politique monétaire, avec ses conséquences?
Parce que ma seconde question porte sur l’inquiétude de nombreux économistes, qui considèrent que la préférence irrationnelle et exorbitante pour les énergies renouvelables aura des effets inflationnistes marqués.
Serait-ce la raison pour laquelle on évoque de plus en plus un objectif d’inflation glissant de 2 à 4 ou 5 %? Ne craignez-vous pas les effets inflationnistes du verdissement forcé de votre politique monétaire?
"
Hervé JUVIN,2022-10-05,FR,Humanitarian situation after the devastating floods in Pakistan and the climate crisis (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-10-05-INT-3-307-0000_FR.html,"  Hervé Juvin,  au nom du groupe ID. – Monsieur le Président, Monsieur le Commissaire, Monsieur le Ministre, chers collègues, je m’associe naturellement aux condoléances qui ont été exprimées à l’endroit du peuple pakistanais et des victimes d’un des sinistres climatiques qui, hélas, se produisent à répétition. 
M’étant associé à cet hommage et à ces condoléances, je voudrais souligner deux ou trois points qui me paraissent importants. Nous devons aider le Pakistan pour nos nations européennes. C’est un partenaire important, qui de surcroît tient un rôle majeur pour le retour de la paix et de la prospérité dans une région où se joue probablement l’avenir du monde. Le Pakistan était présent à la conférence de Samarcande, il est un membre important de l’Organisation de coopération de Shanghaï, et l’Union européenne comme les nations européennes doivent approfondir leurs relations avec ce pays. 
Les circonstances dramatiques que vit le Pakistan sont naturellement l’occasion de constater qui sont les amis, qui sont les proches. Et à cet égard je ne peux que saluer l’effort consenti par le ministre indien des affaires étrangères, qui m’a affirmé que son pays avait octroyé plus de 25 millions de dollars d’aides à un État traditionnellement considéré comme un ennemi. 
Je voudrais ensuite souligner que, si le changement climatique est naturellement l’objet d’une lutte urgente, ses effets ne se feront sentir qu’à moyen et à long terme. Nous devons travailler à prévenir les grands risques climatiques. Nous devons remettre en cause des modèles d’infrastructures qui ne sont pas adaptés au relief ni aux habitudes des populations locales. Nous devons réviser des modes de construction qui font fi des traditions et qui font fi de l’expérience de plusieurs siècles de populations confrontées à des environnements sévères et à des conditions difficiles. Tout ceci touche naturellement aux conditions du commerce, mais tout ceci touche aussi aux conditions d’un modèle économique manifestement insoutenable. Je souhaite que l’Union européenne fasse, dans ses priorités, place à l’expertise écologique en regard des grands risques environnementaux. 
"
