MP,Date,Language,Title,Url,Content
Hilde VAUTMANS,2023-12-13,NL,Preparation of the European Council meeting of 14-15 December 2023 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-015-0000_NL.html,"  Hilde Vautmans,  namens de Renew-Fractie. – Voorzitter, collega’s, mevrouw de Commissievoorzitter, mijnheer de minister, deze Europese top gaat over onze veiligheid, onze blijvende steun aan Oekraïne. Want Oekraïne mag de oorlog niet verliezen. Waar stopt Poetin als hij in Oekraïne wint?
Viktor Orbán, verkozen met een anti-Europees programma, werpt nu al weken zijn schaduw op deze top. Eén man die op de rem staat, gijzelt de hele Europese bevolking en de dappere Oekraïners. De veiligheid van onze burgers is geen politiek spel. We mogen dus niet toegeven. Als we Orbán één vinger geven, dan neemt hij onze hele hand. Wat mij betreft en wat dit Parlement betreft, moeten wij heel erg dringend de artikel 7—procedure doorzetten. Iemand die onze waarden en normen zo schendt, mogen we geen euro geven, geen cent Europees geld. En ontneem hem alstublieft zijn stemrecht. Het is duidelijker dan ooit: we moeten af van die verlammende unanimiteit. Hoe laten we het toch telkens toe dat iemand zo heel de boel blokkeert? Eén man die alles op het spel zet, die onze veiligheid op het spel zet.
Hetzelfde eigenlijk met de uitbreiding. Ik ben heel erg blij dat uitbreiding op de agenda staat van deze top, maar ik hoor heel weinig over die noodzakelijke hervorming, die verdieping. We hebben tijdens de vorige zitting hier voor een uitstekend verslag gestemd van collega Guy Verhofstadt over hoe we de Unie moeten hervormen om klaar te zijn. We zijn nu met 27. We zien toch dat het niet werkt? We kunnen niet de speed geven aan Europa die Europa nu moet tonen. Dus alstublieft, maak werk van die hervorming van de Unie. Schaf de unanimiteit af, maak een kleinere Commissie, zorg voor een echte minister van Buitenlandse Zaken voor onze Europese Unie, zodat wij klare taal kunnen spreken op dat Europese toneel. Maak die geopolitieke Commissie waar u zo sterk voor heeft geijverd. Het is nu of nooit, in het belang van Europa.
"
Hilde VAUTMANS,2023-12-12,NL,"Need to release all hostages, to achieve a humanitarian ceasefire and prospect of the two-state solution (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-296-0000_NL.html,"  Hilde Vautmans,  namens de Renew-Fractie. – Voorzitter, collega’s, mijnheer de hoge vertegenwoordiger, commissaris Borrell, over twee weken vieren wij in Europa Kerstmis, het feest van de vrede. Juist in de regio waar dit feest zijn oorsprong kent, woedt nu al meer dan 75 jaar lang een conflict. Zeker de beelden van de afgelopen maanden zijn afgrijselijk. Naakte Palestijnse mannen die worden afgevoerd, kindjes die sterven in ziekenhuizen door bombardementen, een gebrek aan water en zorg, ouders van gijzelaars die nog steeds wanhopig wachten op ieder teken van leven. Deze hallucinante waanzin moet nu stoppen.
We hebben hier twee maanden geleden, denk ik, voor een hele sterke resolutie gestemd met een overweldigende meerderheid. En eigenlijk staat die resolutie nog altijd heel erg sterk. We riepen toen op tot een humanitaire pauze. De Raad maakte er humanitaire pauzes van en ondertussen zijn we zo ver dat we pleiten voor een humanitair staakt—het—vuren.
Wel, ik wil vandaag een oproep doen. Hier, met Kerstmis in het vooruitzicht. Ik denk dat we sterk moeten zijn en nu vragen, mijnheer Borrell, om inderdaad een humanitair staakt—het—vuren van minstens een maand af te kondigen. Mensen moeten de tijd hebben om te ademen, om gewonden te verzorgen, om humanitaire hulp toe te voeren. En ja, we moeten Israël helpen in het bestrijden van de terroristische organisatie Hamas, maar ook aan oorlogsvoering zijn grenzen.
Wat voor mij nu als een paal boven water staat is: zorg dat die humanitaire hulp de bevolking kan bereiken en zorg dat het geweld vandaag stopt in de regio.
"
Hilde VAUTMANS,2023-12-12,NL,EU-China relations (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-523-0000_NL.html,"  Hilde Vautmans,  Rapporteur. – Voorzitter, mijnheer de hoge vertegenwoordiger, collega’s, laat me toch beginnen met hier vanavond op dit late uur alle collega’s te bedanken voor de hele fijne en goede samenwerking met dit rapport en
And when I entered, Reinhard, I said, is this a debate to do at this time of the day? And you said to me, yes, we will do it because the text is very good. So I think maybe I’ve said everything then, but I will continue in Flemish because we worked very hard, Reinhard, together with all the colleagues to have this recommendation. 
Deze aanbeveling ligt eigenlijk in de lijn met het China-verslag van twee jaar geleden. Ook toen hebben we een heel sterk verslag gemaakt met zijn allen, heel eensgezind. Maar ik moet toch zeggen: sindsdien is de wereld drastisch veranderd en onze betrekkingen met China zijn dat ook. China is natuurlijk een belangrijke handelspartner, maar het stelt zich steeds meer op als een systeemrivaal en een economische concurrent van Europa. China gedraagt zich steeds assertiever op het internationale toneel. De mensenrechten worden met de voeten getreden. De politieke agenda van de Chinese Communistische Partij is meer dan ooit een uitdaging voor onze liberale wereldorde, voor onze normen en waarden. Om met dit China om te gaan, moet de Unie verenigd zijn. Enkel verenigd kunnen we onze belangen en waarden verdedigen en dat moeten we doen op basis van drie pijlers.
Ten eerste moeten we de dialoog en de samenwerking aangaan waar dit nodig en mogelijk is. China is met 27 % van de koolstofemissies de grootste vervuiler van de wereld, dus we kunnen niet om China heen in de strijd tegen klimaatverandering. We moeten ervoor zorgen dat China zijn verantwoordelijkheid neemt en die uitstoot terugdringt. Het land blijft ook een hele belangrijke handelspartner, met meer dan twee miljard aan wederzijdse handel in goederen elke dag. Het ontkoppelen van onze handelsbetrekkingen zou enorme economische schade opleveren. Maar helaas moeten we ook durven zeggen dat China zich niet houdt aan dezelfde regels. Europese bedrijven kunnen moeilijker de Chinese markt betreden dan andersom. En dan vergeten we nog niet te zeggen dat de Chinese overheid bedrijven met miljarden subsidieert. Ons handelstekort bedraagt door zulke oneerlijke praktijken bijna 400 miljard. We hebben dus eerlijke handelsrelaties nodig, zoals ook mevrouw Von der Leyen en meneer Michel hebben gezegd.
Ten tweede — ik ga toch sneller moeten praten, want ik kom er anders niet — mogen we nooit onze ogen sluiten voor de mensenrechtenschendingen, zoals de onderdrukking van de Oeigoeren of de ontmanteling van de democratie in Hongkong. Nu Xi Jinping steeds vaker spierballentaal uitslaat tegenover Taiwan, moeten we blijven benadrukken dat China nooit eenzijdig de status quo mag veranderen en dat we de Chinese steun aan Rusland en zijn oorlog tegen Oekraïne nooit, maar dan ook nooit zullen accepteren. China toont zich steeds meer als een systeemrivaal van Europa en daar moeten we dus op blijven inzetten.
Ten derde moeten we onze strategische autonomie versterken en onze afhankelijkheden van China drastisch verminderen — de zogenaamde risicoverminderingsstrategie, die ik voluit ondersteun. En in plaats van Chinese zonnepanelen, Chinese kritieke grondstoffen, moeten we onze eigen capaciteiten opbouwen en deze in Europa produceren. We mogen niet langer naïef zijn. De Russische energiechantage heeft ons geleerd dat landen die onze waarden niet delen, onze afhankelijkheden tegen ons gebruiken.
Tot slot, en daarmee zal ik eindigen: we moeten tegen China met één Europese stem spreken. Enkel als we verenigd zijn, kunnen we onze waarden en normen verdedigen. We kunnen ons de luxe niet veroorloven om verdeeld te zijn tegenover China. Er staat te veel op het spel.
"
Hilde VAUTMANS,2023-12-12,NL,EU-China relations (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-551-0000_NL.html,"  Hilde Vautmans,  Rapporteur. – Voorzitter, collega’s — dank u wel om tot het einde te blijven met de paar collega’s die hier nog aanwezig zijn — mijnheer de hoge vertegenwoordiger, ik denk dat ik het kort zal houden.
Ik ben heel erg blij met de steun — van de collega’s, van de fracties en van de verschillende landen — voor deze aanbeveling. Ik denk dat het goed is dat het huis in navolging van het Chinaverslag met deze aanbeveling komt. Ik heb van alle kanten mogen horen dat we hieraan verder moeten werken. En het is eigenlijk een veel te belangrijk thema om zo laat op de avond te bespreken. En ik heb ook de uitgestoken hand van meneer Borrell opgemerkt. En dat er gezegd wordt dat we er eens mee verdergaan.
We kunnen dat doen in een commissievergadering. We kunnen dat doen in een plenaire vergadering. Maar ik denk ook dat we dat breder moeten aanpakken dan alleen met de Commissie buitenlandse zaken. Ik denk dat we ook moeten samenwerken met de Commissie internationale handel, want daar ligt natuurlijk de hond gebonden, zoals wij dat zeggen.
Ik denk dat we hieraan verder moeten werken, maar ik denk wel dat het een heel sterk signaal is dat dit parlement morgen — hoop ik — met een heel brede meerderheid voor deze aanbeveling stemt. Ik denk dat we heel sterk werk hebben geleverd op het gebied van mensenrechten, op het gebied van strategische autonomie en op het gebied van competitie en samenwerking. En ik hoop natuurlijk dat nadien de Raad en de hoge vertegenwoordiger van de Unie ook echt werk maken van deze vernieuwde assertieve Chinastrategie.
"
Hilde VAUTMANS,2023-12-11,EN,Order of business,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-11-INT-1-030-0000_EN.html,"  Hilde Vautmans (Renew).   – Madam President, we really had a very good debate here last October, and this Parliament has been very united. We voted a resolution with more than 500 votes out of 540 here. And exactly, we can have a vote every month. Every month we are confronted with these horrific crimes that have been taking place there. But for me, it is very clear we do not need to vote resolutions every time. I want action on the ground. So for me, I really support a very strong debate. I really support all the groups of this Parliament visiting Gaza the last weeks. But I think a new resolution will be ended up with the same as in October. 
"
Hilde VAUTMANS,2023-11-22,NL,"Humanitarian situation in Gaza, the need for the release of hostages and for an immediate humanitarian truce leading to a ceasefire and the prospects for peace and security in the Middle East (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-015-0000_NL.html,"  Hilde Vautmans,  namens de Renew-Fractie. – Voorzitter, we zijn deze morgen wakker geworden met het beste nieuws van deze week. Er is eindelijk een tijdelijk staakt—het-vuren en er worden toch alvast vijftig gijzelaars vrijgelaten.
Laat dit het begin zijn van een blijvend staakt-het-vuren en van het vrijlaten van alle gijzelaars van dit conflict, dat al veel te lang aansleept. Want het is een ware humanitaire nachtmerrie, de grootste moord op de Joden sedert de Tweede Wereldoorlog. Bombardementen op scholen en ziekenhuizen, twee miljoen mensen in Gaza die op zoek zijn naar water, voedsel, medicijnen, naar veiligheid. En dan de gijzelaars. De hel op aarde noem ik het. En die hel op aarde, die moet nu stoppen.
Meneer Borrell, u heeft de boodschap duidelijk uitgedragen in de regio en ik vond u vandaag ook sterker dan ooit hier in uw uitspraken over dit conflict. Ik wil u daarvoor van harte danken. Dit is een Europa dat ik graag zie. In tegenstelling tot de kakofonie die we in het begin van het conflict wel degelijk gezien hebben, ben ik heel erg blij met de kracht die u vandaag uitdroeg.
Ik ben ook heel erg fier op het bezoek van de Belgische premier De Croo vandaag samen met zijn ambtsgenoot Sánchez aan de regio. Het toont voor mij — ik ben dan een fiere Belg — hoe een klein land groot kan zijn, want België heeft zijn rol gespeeld, in tegenstelling tot sommige andere Europese landen die hun houding lieten afhangen van vriendschapsbanden of angstverbanden uit het verleden.
Voor mij is dit ook een wake—upcall voor Europa en dan kijk ik ook naar de Commissie, want eigenlijk toont dit ook ons politieke falen. Al jaar en dag — u heeft het gezegd, dertig jaar denk ik — pleiten wij voor die tweestatenoplossing. Maar nooit deden we iets om die tweestatenoplossing dichterbij te brengen. Europa heeft ook hierin eigenlijk geen betekenisvolle rol gespeeld, en we moeten kijken naar de Verenigde Staten en naar Qatar.
Voorzitter, u heeft de Raad en de Commissie langer laten spreken. Als hoofdonderhandelaar wil ik nu ook hier mijn punt maken. Wij vinden dat Europa hervormd moet worden. Als wij echt een geopolitieke macht willen zijn, dan hoop ik dat jullie straks voor het verslag van collega Guy Verhofstadt zullen stemmen, dat Europa hervormd wordt en dat we een rol van betekenis kunnen spelen in conflicten als deze.
"
Hilde VAUTMANS,2023-11-22,EN,Destruction of judicial independence and the persecution of democrats in Hong Kong (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-252-0000_EN.html,"  Hilde Vautmans,  on behalf of the Renew Group. – Mr President, colleagues, Commissioner, millions: millions of brave demonstrators took the streets in Hong Kong and demanded for democracy, civil rights and freedoms. The national security law has stopped any protests and oppressed fundamental rights. Instead of the principle of one country with two systems, we now see one country imposing its system. Anyone who resists could face a lifetime in jail for anything that the Chinese regime dislikes. Hong Kong’s puppet government can appoint judges and overturn rulings.
Colleagues, when the rule of law is in the hands of the Chinese Communist Party, there is no rule of law. As this Parliament’s China rapporteur, I will always stand up for the brave people of Hong Kong. We will never forget them. In our new recommendation for the China policy, we call on the EU to condemn China’s human rights violations with one single voice. Only then we can defend our values.
We will always, colleagues, repeat our call for sanctions against those responsible for the destruction of democracy and the rule of law in Hong Kong.
"
Hilde VAUTMANS,2023-11-21,NL,Proposals of the European Parliament for the amendment of the Treaties (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-273-0000_NL.html,"  Hilde Vautmans,  rapporteur voor advies van de Commissie buitenlandse zaken. – Voorzitter, commissaris, collega’s, we hebben het hier vandaag al gehoord: Europa staat onder druk en ons gewicht op het internationale toneel krimpt terwijl grootmachten opkomen. Als we een speler willen zijn, dan moeten we als één Europees blok optreden.
Een geopolitiek Europa is enkel mogelijk als we onze besluitvorming hervormen. Zeker met meer dan dertig lidstaten zal dat broodnodig zijn. Voor mij is het heel duidelijk: geen uitbreiding zonder verdieping, zonder vernieuwing. We moeten de unanimiteitsregel afschaffen. We moeten besluiten met een meerderheid.
De Amerikaanse minister van Buitenlandse Zaken Henry Kissinger vroeg ooit: “Wie moet ik bellen als ik met Europa wil spreken?” Wel, commissaris, dat is nog altijd niet zo duidelijk voor het buitenland. Laat ons dan nu ook eindelijk werk maken van:
1) een echte minister van Buitenlandse Zaken van de Europese Unie;
2) een Europees leger met haar op zijn tanden, zodat we kunnen optreden.
Enkel als we vandaag het lef tonen om de Europese Unie te hervormen, zullen we dat geopolitieke blok zijn. Ik reken op de lidstaten om de uitstekende voorstellen van collega Verhofstadt nu om te zetten in een conventie. Het is nu of nooit.
"
Hilde VAUTMANS,2023-11-08,NL,Conclusions of the European Council meeting of 26-27 October 2023 - Humanitarian crisis in Gaza and the need for a humanitarian pause (joint debate - Conclusions of the European Council and the humanitarian crisis in Gaza and the need for a humanitarian pause),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-08-INT-1-077-0000_NL.html,"  Hilde Vautmans,  namens de Renew-Fractie. – Voorzitter, mevrouw Von der Leyen, meneer Michel, collega’s, de beelden van het conflict in Israël en Palestina zijn ondraaglijk. Jonge Joodse kindjes vermoord door Hamas. Palestijnse kindjes die verweesd ronddolen na het zoveelste bombardement. Er dreigt een ware humanitaire catastrofe met honderdduizenden die geen toegang hebben tot water, tot voedsel, tot zorg en tot veiligheid. Deze gruwel moet nu stoppen. Genoeg is genoeg. 
Drie weken geleden hebben we hier een sterke resolutie aangenomen, bijna unaniem. En vandaag? Vandaag moeten we die boodschap kracht bijzetten, die boodschap versterken. De humanitaire pauze moet er nu en onmiddellijk komen. De gijzelaars moeten nu en onmiddellijk vrijgelaten worden. We moeten blijven geloven in en blijven werken aan een duurzame oplossing van het conflict, dat al veel te lang duurt. En daarom moeten we teruggaan naar het akkoord tussen Rabin en Arafat en werken – zoals u zei, mevrouw Von der Leyen – aan de tweestatenoplossing, hoe onmogelijk het vandaag misschien ook lijkt. En dat betekent natuurlijk de terroristische organisatie Hamas stoppen en tegelijkertijd ook de nederzettingen terugdringen. De vicieuze cirkel van haat en geweld moet doorbroken worden. 
Collega’s, het is ons hier in Europa gelukt. Onze Europese Unie is gebouwd op de ruïnes van verdeeldheid, haat en geweld. Het moet ons nu, samen met de internationale gemeenschap, lukken om datzelfde te doen in het Midden-Oosten. Dat kan alleen als we sterk en verenigd zijn, als we eendrachtig zijn, als we ons als één geopolitiek Europa opstellen.
This is our ‘now or never moment’. Europe has to play its role. It is our moral duty. Never again.
"
Hilde VAUTMANS,2023-10-19,EN,"The despicable terrorist attacks by Hamas against Israel, Israel’s right to defend itself in line with humanitarian and international law and the humanitarian situation in Gaza (RC-B9-0436/2023, B9-0436/2023, B9-0438/2023, B9-0442/2023, B9-0444/2023, B9-0445/2023, B9-0447/2023, B9-0448/2023)  (vote)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-19-INT-4-145-0000_EN.html,"  Hilde Vautmans,  on behalf of the Renew Group. – Madam President, dear colleagues, as I led the difficult negotiations yesterday, I really want this House to be united and voting with a strong voice. That’s the reason why I really would like to propose another oral amendment, like our Member States just called for a humanitarian pause at the UN Security Council yesterday.
Consequently, I would like to make the amendment to Amendment 71 and Amendment 37 to call for a humanitarian pause in order for this House to vote a very strong resolution all together about this urgent humanitarian situation.
"
