MP,Date,Language,Title,Url,Content
Hildegard BENTELE,2023-12-14,DE,"Outcome of the UN Climate Change Conference 2023 in Dubai, United Arab Emirates (COP28) (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-14-INT-4-028-0000_DE.html,"  Hildegard Bentele (PPE).   – Herr Präsident, meine sehr geehrten Damen und Herren! Die COP 28 ist zu Ende – Zeit, dass wir sie auswerten. Ich denke, das sollten wir mit allen Kollegen, die teilgenommen haben, in Ruhe im Ausschuss tun, und eben auch mit Kommissar Hoekstra. Als Diplomatin sage ich: Die COP 28 ist ein Wert an sich. Regelmäßig mit der ganzen Welt über das Ziel Klimaneutralität und immer mehr ja auch über Energie und Technologie zu sprechen, ist gut. Ob man in Zeiten, in denen der ökologische Fußabdruck eine Rolle spielen soll, hierfür 250 deutsche Regierungsbeamte nach Dubai fliegen muss, steht auf einem anderen Blatt.
Ursula von der Leyen hat den Ausbau der erneuerbaren Energien und die Steigerung der Energieeffizienz als wichtige Erfolge hervorgehoben. Das ist natürlich absolut vernünftig, aber jetzt auch nicht rocket science. Aber natürlich besser als eine künstliche Verbotsdiskussion, die es jetzt auch auf die internationale Ebene geschafft hat. Warum gehen wir nicht schon längst raffinierter vor und packen alle Entscheidungsträger an dem, was ihnen offensichtlich am wichtigsten ist – am Geldbeutel?
Lassen Sie uns daran arbeiten, den Emissionshandel global einzuführen, denn dieser wird sicher dazu führen, dass CO2-Emissionen reduziert werden, und zwar auf die kostengünstigste Art und Weise. Ja, das ist ein dickes Brett, das wir bohren müssen. Aber es ist nicht unmöglich, denn einige wichtige Akteure wie China experimentieren schon damit. Dafür brauchen wir einen europäischen John Kerry, einen internationalen Klimakommissar, der permanent verhandelt.
"
Hildegard BENTELE,2023-12-12,DE,Framework for ensuring a secure and sustainable supply of critical raw materials (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-013-0000_DE.html,"  Hildegard Bentele,  im Namen der PPE-Fraktion. – Herr Präsident, sehr geehrter Herr Kommissar Breton, meine sehr verehrten Damen und Herren! Habemus EU-Rohstoffgesetz! Wir haben es mit vereinter Kraft – und ich würde sagen, auch mit sehr viel Frauenpower – geschafft, das Thema Rohstoffversorgung aus der Expertennische ins Zentrum unserer EU-Industriestrategie zu holen und damit deutliche Signale zu senden an die globale Wirtschaft: dass wir uns als EU in Zukunft aktiv, auch über die Hebung unseres heimischen Potenzials, um die Deckung des steigenden Rohstoffbedarfs insbesondere für Zukunftstechnologien made in Europe kümmern; dass wir auf neue, stabile Beziehungen mit vertrauenswürdigen Partnern setzen und Win-Win-Situationen herbeiführen wollen; dass wir bei Rohstoffprojekten einen echten sozialen Dialog mit allen Beteiligten, Transparenz und nachvollziehbare Nachhaltigkeitskriterien einfordern; dass es nicht um ein stupides Mehr und Mehr geht, sondern wir, wo es geht, alle Effizienzsteigerungen ausloten und systematisch Abfall nutzen sowie recyceln und substituieren wollen.
Wir senden ein deutliches Signal an Investoren, Unternehmen und Arbeitnehmer. Für strategische Projekte werden die Genehmigungsverfahren drastisch gekürzt und vorhersehbar gemacht. Durch beherrschbare Risiken werden sie auch für Banken interessanter. Unternehmen bekommen somit mehr Optionen für sichere und saubere Rohstoffquellen. Sie selbst werden intern Rohstoffrisikomanagement betreiben müssen, aber ohne neue Bürokratie. Industriearbeiter im Bergbau, in der Weiterverarbeitung und im Recycling machen wir so zum Teil des Green Deal und schaffen neue Jobperspektiven. Mit dem EU-Rohstoffgesetz schaffen wir die Grundlage für die weitere Digitalisierung, für mehr Effizienz und für Klimaschutz. Dieser neue Rahmen soll Ihnen, liebe Bürgerinnen und Bürger, mehr Sicherheit geben. Für Sie möchte ich nun auch an der Umsetzung dieses Gesetzes mitarbeiten.
"
Hildegard BENTELE,2023-12-12,DE,"Need to release all hostages, to achieve a humanitarian ceasefire and prospect of the two-state solution (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-340-0000_DE.html,"  Hildegard Bentele (PPE).   – Herr Präsident, sehr geehrter Hoher Vertreter, liebe Kolleginnen und Kollegen! Es ist sehr wichtig, dass wir in dieser Plenarsitzung über die Freilassung der restlichen – und zwar leider des großen Teils der – Geiseln sprechen und dass wir genau in der Reihenfolge und dem Wortlaut des Titels der Debatte darüber sprechen.
‘Need to release all hostages to achieve a humanitarian ceasefire and the prospect of the two-state solution’. 
Denn das Thema Geiselfreilassung ist schon wieder aus den Schlagzeilen verschwunden, und es gibt in der letzten Zeit nur wenige neue, Hoffnung machende Informationen zu Verhandlungen zur Freilassung weiterer Geiseln. Wir müssen das Thema auf der Agenda halten. Keiner darf in seinen Anstrengungen nachlassen, im Gegenteil, wir müssen sie verstärken.
Heute haben wir Dschina Amini mit dem Sacharowpreis für ihren außerordentlichen Mut als Einzelperson geehrt. Für uns hat jeder Mensch eine angeborene Würde und das Recht auf Freiheit. Deshalb können wir uns nie zufriedengeben, solange nicht alle Geiseln freigelassen sind.
Und zuletzt: Die Freilassung aller Geiseln ist aus meiner Sicht eine Bedingung für eine humanitäre Feuerpause. Es liegt an den Terroristen, eine Wende herbeizuführen. Jede Sekunde, jede Minute, jede Stunde könnten sie Geiseln freilassen. Warum werden sie weiter festgehalten? Um verurteilte Kriminelle freizupressen? Auch die palästinensischen Zivilisten könnten zu einer Wende beitragen. Auch sie könnten sich von Hamas distanzieren und ebenfalls die Freilassung fördern. Für uns als Europäer steht das Gebot der Menschlichkeit ganz oben. Wir müssen es von allen und für alle einfordern.
"
Hildegard BENTELE,2023-12-11,DE,The European Elections 2024 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-11-INT-1-069-0000_DE.html,"  Hildegard Bentele (PPE).   – Frau Präsidentin, sehr geehrte Damen und Herren, liebe Bürgerinnen und Bürger! Europa muss demokratischer werden. Ihre Stimme, liebe Bürgerinnen und Bürger, muss mehr zählen. Ganz besonders bei der Institution, die alle Gesetze vorschlägt: bei der EU-Kommission. 
Ich bin fest davon überzeugt: Um dem Wählerwillen bei der Besetzung der EU-Kommission mehr Gewicht zu verleihen, müssen wir das Spitzenkandidatenprinzip ausbauen und festigen. Die EVP hat hierfür vor über zehn Jahren die Blaupause entwickelt. Jede Partei, die bei den Europawahlen antritt, stellt einen Spitzenkandidaten auf, der sich europaweit mit Gesicht und Programm präsentiert. So kann ein tatsächlich europäischer Wahlkampf entstehen und eine echte europäische Öffentlichkeit.
Wir deutschen Christdemokraten denken das Prinzip zu Ende und befürworten außerdem die Einrichtung eines europaweiten Wahlkreises für die Spitzenkandidaten, sodass sie überall in Europa mit einer Zweitstimme direkt gewählt werden können. Aber der Rat, der heute gar nicht da ist, stellt sich weiterhin taub und klammert sich an die Macht. In dieser Legislatur hat es keine rechtliche Veränderung zugunsten von mehr Demokratie bei der Auswahl der Spitze der EU-Kommission gegeben.
Von daher dieser eindringliche Appell an Sie: Machen Sie Schluss mit den Hinterzimmerdeals unter 27 Augen bei der Kommissionspräsidentenauswahl. Lassen Sie mehr Demokratie zu, respektieren Sie die Stimme der Bürgerinnen und Bürger! Lassen Sie die 720 am 9. Juni 2024 direkt gewählten Europaabgeordneten einen Personalvorschlag für die Spitze der EU-Kommission machen. Denn wir bezahlen den politischen Preis für die Gesetzesvorschläge, die die Kommission macht und die Sie als Ko-Gesetzgeber maßgeblich mitgestalten.
Die EU-Kommission ist eine politische Behörde, und diese politische Verantwortung muss sich viel stärker in ihrer Spitze widerspiegeln. Wir brauchen endlich ein verbindliches Bekenntnis des Rats zu mehr Demokratie, zu mehr Transparenz und zu mehr Willen zu Politik, und zwar jetzt – vor den Wahlen.
"
Hildegard BENTELE,2023-12-11,DE,Small modular reactors (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-11-INT-1-133-0000_DE.html,"  Hildegard Bentele (PPE).   – Frau Präsidentin, sehr verehrte Damen und Herren! Wenn Sie ein sehr gutes Beispiel dafür haben wollen, was der Industrie-, Energie- und Forschungsausschuss des Europäischen Parlaments eigentlich so macht, so haben Sie in der vorliegenden Initiative, die wir als EVP maßgeblich mit angestoßen haben und für die unser Kollege Franc Bogovič zuständig ist, ein sehr gutes Beispiel. Wir operieren in der EU-Energiepolitik in einem klar definierten Rahmen. Wir wollen die CO2-Emissionen im Energiebereich deutlich senken, und deshalb forcieren wir den Ausbau erneuerbarer Energien.
Aber natürlich kommen hier bei allen, die Klimaschutz wirklich ernst nehmen, alle Energieerzeugungsformen, die CO2-arm sind, in den Fokus. Und hierzu gehört die Nuklearenergie, auf die eine große Mehrheit der Mitgliedstaaten als Grundlastlieferantin setzt, als notwendige Ergänzung zu den fluktuierenden Erneuerbaren. Insofern ist es absolut sinnvoll, dass wir uns als EU gemeinsam mit den neuesten Entwicklungen in der Nukleartechnologie beschäftigen. Und dazu gehören die small modular reactors. Eine EU-Strategie wird sicherstellen, dass Nuklear ein selbstverständlicher Teil des Energiemixes in der EU bleibt, dass weiter geforscht und auch investiert wird. Vor allem, dass wir alle ein präzises Bild von der Leistungsfähigkeit, der Effizienz, den Kosten, aber auch den Risiken der Abfallentsorgung und den eingesetzten Rohstoffen bei dieser neuen Nukleartechnologie bekommen.
Für uns als EVP steht bei Entscheidungen im Energiebereich ganz oben, inwieweit die entsprechende Technologie zu einer sicheren, bezahlbaren und CO2-armen Energieversorgung beiträgt. Ich bin sehr gespannt darauf, welchen Beitrag small modular reactors dazu leisten können. Mit einer EU-Strategie, die Kollege Bogovič und wir als Industrieausschuss heute fordern, werden wir, die europäische Öffentlichkeit und die nationalen Entscheidungsträger das hoffentlich bald wissen. Insofern: Bitte stimmen Sie dem Bericht breit zu.
"
Hildegard BENTELE,2023-11-22,DE,Reducing regulatory burden to unleash entrepreneurship and competitiveness (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-174-0000_DE.html,"  Hildegard Bentele (PPE).   – Frau Präsidentin, liebe Kolleginnen und Kollegen! Wir sind im letzten Jahr einer Legislatur, in der es einen massiven Zuwachs an neuen Regulierungen gab. Ja, einige waren berechtigt, weil wir unsere Klimaziele rechtlich verankert haben, ebenso wie die dafür notwendigen Instrumente. Wir mussten kriegsbedingt unsere Energieversorgung umstellen, und auch für eine ressourceneffizientere Wirtschaft waren neue Produktvorgaben notwendig.
Aber die Kommission und besonders auch die linke Seite des Parlaments haben sich viele Extras geleistet – vor allem die, von Unternehmen über detaillierteste Nachhaltigkeitsberichtspflichten entscheidende Verbesserungen der sozialen und ökologischen Bedingungen weltweit zu erwarten und davon – und das ist die Kirsche auf dem Törtchen – zunehmend auch Finanzierungsmöglichkeiten abhängig zu machen.
Für viele kleinere und mittlere Unternehmen – das kann ich Ihnen sicher sagen – hat das mittlerweile zu einem Bürokratie-Burnout geführt. Und das ist fatal. Der Mittelstand ist unser innovatives Rückgrat, und in Berlin beispielsweise sind kleine Unternehmen mit weniger als sechs Mitarbeitern die Hauptarbeitgeber.
Wir in der EVP kämpfen mittlerweile in jedem Dossier für ein „Weniger ist mehr“ und sagen – für uns vielleicht ungewöhnlich radikal: Diesen Kommissionsvorschlag brauchen wir gar nicht.
"
Hildegard BENTELE,2023-11-21,DE,Packaging and packaging waste (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-246-0000_DE.html,"  Hildegard Bentele (PPE).   – Herr Präsident! Sehr geehrter Herr Kommissar Sinkevičius, Sie haben zu Beginn der Debatte angeführt, dass wir unser Ziel, Verpackungsmüll zu reduzieren, nur durch den Ausbau von Mehrwegoptionen erreichen werden. Ich glaube, dass es in diesem Zusammenhang sehr wichtig ist, standardisierte Lebenszyklusanalysen zugrunde zu legen. Es gibt keinen Mangel an Studien. Jeder Hersteller produziert seine eigene, oft mit den gewünschten Resultaten.
Deshalb mein Appell an die Kommission, den ich auch bei Berichterstatter Torvalds herausgehört habe: Formulieren Sie einheitliche Vorgaben für Lebenszyklusanalysen und machen Sie so stärker deutlich, dass Sie Ihre Vorgaben auf vergleichbaren wissenschaftlichen Kriterien basieren! Dann können wir auch eine bessere und sachlichere Debatte führen.
"
Hildegard BENTELE,2023-11-20,DE,"UN Climate Change Conference 2023 in Dubai, United Arab Emirates (COP28) (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-101-0000_DE.html,"  Hildegard Bentele (PPE).   – Frau Präsidentin! Es ist wieder Klimakonferenz, und dieses Mal wissen wir, dass eine Begrenzung der Erderwärmung auf 1,5 Grad, wie im Pariser Abkommen anvisiert, nicht mehr möglich sein wird. Wir müssen uns auf über zwei Grad Erwärmung einstellen, mit allen Konsequenzen.
Für mich zählen deshalb Taten mehr als Worte. Die Meldung in der letzten Woche, dass die Industriestaaten ihr Ziel, 100 Milliarden Euro für die internationale Klimafinanzierung bereitzustellen, endlich erreicht haben, ist deshalb eine gute. Dieses Glaubwürdigkeitsdefizit war Dauerthema und Hindernis auf den letzten Konferenzen.
Besonders wichtig war auch die kürzlich erreichte chinesisch-amerikanische Übereinkunft, erneuerbare Energien massiv auszubauen. Erneuerbare Energien nehmen somit bei den Hauptemittenten ihren festen Platz im Energiemix ein und werden dadurch immer erschwinglicher und praktikabler.
Aber nicht überall gibt es Taten. Mich besorgt vor allem die Lage des internationalen Waldschutzes. Hier gibt es bisher mehr Versprechen als Ergebnisse. Und uns allen muss klar sein: Wir können unsere systemischen Regenwälder – die Lungen der Erde – nicht wiederherstellen, wenn sie einmal kaputt sind. Deshalb helfen eine Vielzahl unkoordinierter, kleiner, uneffektiver Maßnahmen nichts.
Wir müssen schneller werden und größer denken. Geben wir den Regenwald-Anrainerstaaten zum Beispiel über den Schulden-für-Natur-Tausch oder Zahlungen für ökologische Dienstleistungen ihren fairen Deal an der internationalen Klimafinanzierung. Die Konzepte dafür liegen auf dem Tisch.
Sehr geehrter Herr Kommissar Hoekstra, ich vertraue auf Sie, dass wir auch beim Schutz von bestehenden Wäldern endlich vom Reden ins Handeln kommen.
"
Hildegard BENTELE,2023-10-17,DE,2022 Report on Montenegro (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-449-0000_DE.html,"  Hildegard Bentele (PPE).   – Frau Präsidentin, Herr Kommissar, liebe Kolleginnen und Kollegen! Gut, dass wir heute über Montenegro reden, denn Montenegro befindet sich in diesen Tagen – endlich, muss man sagen – in der entscheidenden Phase der Regierungsbildung und der Parlamentsneukonstituierung. Ich persönlich will meine Sorge über die Beteiligung offen proserbischer und prorussischer Kräfte nicht verhehlen.
Daraus ergibt sich aus meiner Sicht für den designierten Regierungschef Spajić noch größere Verantwortung, wirklich Europa jetzt – so wie seine Partei heißt und wie viele Bürger in Montenegro hoffen – auch anzugehen und keinen Zweifel an der Souveränität der Entscheidungen Montenegros aufkommen zu lassen. Die neue Regierung hätte sogar eine Dreifünftelmehrheit. Damit gibt es dann wirklich keine Ausreden mehr für interne Blockaden und die Nichtumsetzung des EU-Recht-Besitzstandes.
Wir müssen mit dem Erweiterungsprozess weiter vorankommen. Die Menschen, die Ungerechtigkeit und wenig wirtschaftliche Perspektiven sehen, sind anfälliger für Propaganda und Hetze, und Länder, die nicht fest im europäischen Lager verankert sind, die keinen gefestigten Rechtsstaat haben und keine überzeugten Demokraten, laufen Gefahr, von außen destabilisiert zu werden. Insofern, sehr geehrter Herr Kollege Picula, herzlichen Dank für Ihren Bericht und lassen Sie uns in Zukunft gegenüber Montenegro weiter gemeinsam wachsam und unterstützend sein.
"
Hildegard BENTELE,2023-09-13,DE,Framework for ensuring a secure and sustainable supply of critical raw materials (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-224-0000_DE.html,"  Hildegard Bentele,  im Namen der PPE-Fraktion. – Herr Präsident, sehr geehrter Herr Kommissar, meine sehr verehrten Damen und Herren, liebe Kolleginnen und Kollegen! Ich bin stolz, dass wir handeln. Morgen schließen wir einen zweieinhalb Jahre andauernden Prozess mit einem Ergebnis ab: unserer Parlamentsposition zum EU-Rohstoffgesetz, mit dem wir die Absicherung unserer Rohstoffrohstoffversorgung deutlich verbessern werden.
Schon 2021 haben wir als Parlament die Initiative ergriffen und mit der von mir entworfenen Strategie für kritische Rohstoffe wesentliche Elemente für die nun vorliegende Verordnung geliefert. Der vorliegende Kompromiss ist gut. Er macht Rohstoffprojekte zur Priorität. Er verkürzt Genehmigungsverfahren. Er definiert klare Ansprechpartner in der Verwaltung. Er führt Stresstests, Monitoring und Krisenanpassungen ein, genauso wie den notwendigen heimischen Abbau und die EU-weite Exploration. Auch die Stärkung des Recyclings, eine konsequente Abfallsicherung und die Förderung von Substitutionen wird uns voranbringen.
Wir werden in Europa allerdings nie unabhängig von Importen sein. Daher müssen wir mit einer EU-Rohstoffdiplomatie und Anpassungen der finanziellen Rahmenbedingungen unsere Partnerschaft mit verlässlichen Ländern aus- und umbauen und sicherstellen, dass die Bevölkerung vor Ort davon profitiert. Wir haben die große Chance, hier als EU ein attraktives Angebot zu machen und damit auch unsere geopolitische Situation zu verbessern.
Meine Damen und Herren, das fast einstimmige Abstimmungsergebnis im ITRE-Ausschuss spricht eine deutliche Sprache. Ich werbe dennoch für unsere Plenaränderungsanträge, zum Beispiel Aluminium in die Liste der strategischen Rohstoffe aufzunehmen. Lassen Sie uns den Entwurf noch ein bisschen besser machen, um die Grundlage des Green Deals zu festigen: eine sichere Versorgung mit Rohstoffen.
"
