MP,Date,Language,Title,Url,Content
Ignazio CORRAO,2023-09-14,IT,Improving firefighters’ working conditions (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-14-INT-4-116-0000_IT.html,"  Ignazio Corrao (Verts/ALE).   – Signora Presidente, onorevoli colleghi, ribadendo e sottoscrivendo quanto detto da molti colleghi sulle condizioni di lavoro dei vigili del fuoco e sulla loro esposizione a malattie mortali, vorrei sottolineare come la violazione della direttiva 1999/70/CE sul lavoro a tempo determinato continui a minare anche i diritti dei vigili del fuoco discontinui – che sono 9 000 in Italia – costantemente relegati in uno stato di precarietà e classificati impropriamente come volontari, nonostante ricevano una regolare busta paga e contribuiscano al sistema previdenziale. Questa è una chiara violazione dei loro diritti, una situazione inaccettabile che deve essere affrontata con urgenza.
Non possiamo ignorare il fatto che da dicembre 2020 non si sono registrate significative evoluzioni in questa materia, il che è in netto contrasto con l'impegno della Commissione europea a garantire il rispetto tempestivo del diritto dell'Unione da parte degli Stati membri.
Alla data odierna, e in risposta alle numerose petizioni ricevute da questo Parlamento, la Commissione ha dichiarato di essere al lavoro per la valutazione delle informazioni presentate dalle autorità italiane. Chiedo quindi a tutti i membri del Parlamento europeo e alla Commissaria di prendere atto di questa situazione preoccupante e di agire con determinazione per porre fine a questa violazione sistematica dei diritti dei lavoratori.
"
Ignazio CORRAO,2023-03-13,IT,Energy performance of buildings (recast) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-13-INT-1-076-0000_IT.html,"  Ignazio Corrao (Verts/ALE).   – Signora Presidente, Commissario, onorevoli colleghi, la direttiva sull'efficienza energetica degli edifici che ci apprestiamo a votare è positiva perché ci consente di ridurre il costo delle bollette e migliorare la qualità degli immobili.
Con gli strumenti messi a disposizione da questa direttiva, spesso interpretati in modo fantasioso dai sostenitori dell'immobilismo energetico e climatico, l'Europa intera farà un grandissimo investimento che già nel medio termine avrà come ritorno una sostanziale diminuzione del consumo energetico, che farà rifiatare le casse di molti cittadini europei. Altro che patrimoniale!
Più si posticipano questi interventi, più aumenteranno i costi, sia in termini di bolletta che in termini di vulnerabilità energetica e quindi geopolitica. La domanda ricorrente è: chi pagherà tutto questo? Questa direttiva spiega che, potendo utilizzare diversi strumenti di finanziamento europeo già esistenti, si utilizzerà la leva pubblica per sostenere le fasce di popolazione che più ne hanno bisogno. 
Cambiare fornitori di fonti fossili per far fronte alla crisi energetica generata dall'invasione russa in Ucraina è una non soluzione che ci mantiene vulnerabili. Isolare, invece, le nostre case significa renderci sempre più indipendenti da fattori ed attori esterni. È una cosa che dobbiamo cercare di fare in fretta: non è vero che c'è una patrimoniale nascosta, ma c'è una grande opportunità per aiutare i cittadini in un momento così delicato. 
(L'oratore accetta di rispondere a un intervento ""cartellino blu"")
"
Ignazio CORRAO,2023-03-13,IT,Energy performance of buildings (recast) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-13-INT-1-080-0000_IT.html,"  Ignazio Corrao (Verts/ALE),  risposta «cartellino blu». – Io non credo che questo documento sia contraddittorio. La riduzione della CO2 è uno degli elementi ovvi, perché ovviamente, andando a migliorare la qualità degli edifici si va a consumare di meno, e d'altro canto si va a risparmiare sulle bollette.
Quindi si fa un doppio lavoro: uno che va a aiutare le casse dei cittadini e, dall'altra parte, si va ad aiutare, appunto l'ambiente, nel quadro della transizione verde e peraltro si crea anche una leva economica positiva quando si va a creare lavoro, appunto, attraverso le ristrutturazioni. 
"
Ignazio CORRAO,2022-12-13,EN,"Renewable Energy, Energy Performance of Buildings and Energy Efficiency Directives: amendments (REPowerEU) (continuation of debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2022-12-13-INT-2-038-0000_EN.html,"  Ignazio Corrao (Verts/ALE).   – Madam President, good morning Mr Executive Vice—President. Yesterday, a historic scientific breakthrough was announced. In ten years, nuclear fusion might power a completely decarbonised energy system. But we are still talking about ten years at least.
What do we do until then? Shall we keep growing our dependence on fossil fuels and foreign countries that produce them? Doesn’t seem very wise. Shall we keep pouring water on conventional nuclear plants and sweep their waste under the rug?
The solution in the meanwhile is investing in solar panels, wind turbines, heat pumps. This is the cheapest and fastest way to decarbonise the energy system now. And we need to accelerate because the climate crisis does not wait for administrative procedures to be done. Citizens are on our side, on this as long as we let them be part of the process and aid their advantage on the process, on bills, for example, and don’t impose choices on them.
Citizens are actually the power that our renewable energy system is built on.
"
Ignazio CORRAO,2022-06-23,EN,Gas storage (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-06-23-INT-2-021-0000_EN.html,"  Ignazio Corrao (Verts/ALE).   – Mr President, at the end, we reached a good compromise in the storage regulation in case of emergency as the scope to protect our citizens and households. However, we could do more with the ban on Russian gas, which should not be used to fill up our storage facilities. I welcome the fact that energy efficiency has become part of the security of gas supply policy and the filling target mechanism, even if we are still far away from a real policy that would prioritise energy efficiency, savings and renewables. 
We should clearly understand that the disagreement is temporary because of the war and a geopolitical moment. I would like to remind the Commission that the real goal is the phasing out of gas and not its promotion. That’s why I say that this regulation and the next gas package are not completely aligned with the targets of the Paris Agreement or the Green Deal because there is still no decommissioning of gas infrastructures, and targets on energy efficiency and renewables are insufficient. 
"
Ignazio CORRAO,2022-06-06,IT,EU islands and cohesion policy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-06-06-INT-1-153-0000_IT.html,"  Ignazio Corrao (Verts/ALE).   – Signor Presidente, onorevoli colleghi, signor Commissario, voglio ringraziare innanzitutto il relatore per questo lavoro importante e utile, e lo faccio da cittadino isolano e da rappresentante di una circoscrizione elettorale che comprende isole dove vivono sei milioni e mezzo di cittadini europei, cittadini che vivono in condizioni di svantaggio nonostante negli anni siano stati elargiti molti fondi.
Tuttavia, questo svantaggio rimane. Perché? Perché c'è incapacità di spesa, mancanza di risorse umane capaci di gestire i procedimenti, assenza di progettazione e mancato raggiungimento di obiettivi. Quindi, secondo me, il vero nocciolo della questione è la necessità che i fondi europei e gli aiuti di Stato seguano una regolamentazione ad hoc per le isole, attraverso un rapporto più diretto tra le isole stesse e la Commissione europea e una vera valutazione d'impatto dei progetti.
Le isole dovrebbero essere il fiore all'occhiello della transizione ecologica e rischiano invece di esserne tagliate fuori. Sappiamo che questo problema esiste e io spero veramente che si faccia qualcosa per fare in modo che i cittadini europei isolani non siano più cittadini di serie B ma passino in serie A, a partire da ora.
"
Ignazio CORRAO,2022-04-05,EN,Trans-European energy infrastructure (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-04-05-INT-2-089-0000_EN.html,"  Ignazio Corrao (Verts/ALE).   – Mr President, everyone seems to finally understand how important it is to fund our European energy independence. That doesn’t mean stop using gas today, of course, but we can’t repeat the same mistakes made in the recent past.
Relying on more gas through different suppliers only creates new dependencies, draws away funds from investments in renewable energy and energy efficiency, and locks us into fossil infrastructure for decades. The final text, for example, allows for the Melita and EastMed gas pipelines to become PCIs and so to pump EU public funds into future stranded assets.
Last week, the European Commission presented an entire greenwashing proposal. Well, considering the position taken on gas infrastructure subsidies, it sounds quite hypocritical. The narrative that more gas imported from the US, Qatar or other third countries will reduce the bill of the European citizens is a fairy tale. We have the solutions and we just need to use them. Just for example, in Sicily, on 1 April, the electricity generated by wind and sun has covered all the energy needed in the island.
"
Ignazio CORRAO,2022-02-17,EN,The death penalty in Iran,https://www.europarl.europa.eu/doceo/document/CRE-9-2022-02-17-INT-4-103-0000_EN.html,"  Ignazio Corrao (Verts/ALE).   – Mr President, I am, as many of you colleagues, deeply alarmed by the increasing use of the death penalty against protesters, human rights defenders and dissidents, but also ethnic and religious minorities in Iran. In order not to seem only an external concern, I want to highlight the proposal in the joint motion that recognises citizen—led initiatives in Iran, such as petitions calling for an end to the death penalty and its disproportionate use against minorities and women.
Iran is also one of the few countries in the world that executes minors, in clear violation of international law. There appears to be a state policy of intimidating, prosecuting or silencing those who call for accountability, justice and truth, whether they are victims themselves, relatives, human rights defenders, lawyers or organisations.
The voices of Iranian citizens are brutally silenced by the regime, and yet these initiatives show that Iranian citizens want the death penalty practices to end. Because of this, the regime cannot claim that the demand to end the death penalty is only coming from outside Iran. Its own citizens want it to end. This is why the EU and the international community need to take urgent actions to let the voice of the Iranian people be heard and stop decades of impunity of those who are involved in human rights abuses.
"
Ignazio CORRAO,2021-11-25,EN,The human rights situation in Cameroon,https://www.europarl.europa.eu/doceo/document/CRE-9-2021-11-25-INT-4-106-0000_EN.html,"  Ignazio Corrao,  author. – Madam President, Commissioner, colleagues, as you know, Cameroon is beset with two violent conflicts and went from peaceful protest to war. The escalation of violence has led to a number of simultaneous political and security challenges and to the high level of instability which the people of Cameroon are now facing. This is very deplorable and frustrating.
Armed groups and government forces committed widespread human rights abuses, including extrajudicial or summary execution and mass killings. This has resulted in 80% of schools in the two Anglophone region being closed or destroyed, and 700 000 students are denied education. We also see that ethnic tensions are rising, with political speech turned into hate speech, based on ethnicity and gender discrimination, which is taking place in an atmosphere of terror in the region, including targeted attacks on students, teachers, but also journalists and humanitarian workers.
All this is very concerning, and the European Union needs to respond strongly. It is no longer possible to ignore this conflict, and the situation is increasingly deteriorating. We need to mediate for an immediate cease fire, calling on both sides of the conflict to cease purposefully targeting civilians, schools and children, which deprives them of the right to education.
It is also time that we make use of all the financial instruments provided by development aid or other programmes as political leverage, using them to enhance the defence of human rights in a country that is suffering since too long.
"
Ignazio CORRAO,2021-10-20,IT,The rise of right-wing extremism and racism in Europe (in light of recent events in Rome) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2021-10-20-INT-3-167-0000_IT.html,"  Ignazio Corrao,  a nome del gruppo Verts/ALE. – Signora Presidente, onorevoli colleghi, è vero, in Italia il virus del fascismo esiste ancora, ma per fortuna ha dimensioni marginali e il paese che ne ha vissuto la catastrofe e lo ha sconfitto sul campo ha sviluppato anticorpi efficaci.
L'attacco al sindacato a Roma, che ricorda la pagina più buia della nostra storia, è un atto osceno che dovrebbe essere condannato da tutti, senza alcuna eccezione. Purtroppo invece vari partiti istituzionali in Europa strizzano l'occhio a fascisti e violenti. È il caso in Italia di Fratelli d'Italia e della Lega, che usano un linguaggio ambiguo e non riescono a rinnegare fascismo e fascisti.
Ci sono però delle cose da spiegare su questi fatti. In primo luogo, questi gruppetti, composti soprattutto da ultras e fanatici, sono numericamente molto limitati e i suoi componenti sono ben conosciuti alle forze dell'ordine italiane. Dovremmo chiederci perché, durante manifestazioni pacifiche, questi siano stati lasciati liberi di generare caos, con le forze dell'ordine infiltrate tra i violenti o impegnate a reprimere il lato pacifico della manifestazione. È successo a Roma, è successo in passato tante volte e sta continuando a succedere.
Le manifestazioni in Italia contro l'uso del Green Pass per poter lavorare non sono manifestazioni fasciste, vi partecipano persone che soffrono un forte disagio sociale e che hanno diritto a manifestarlo, visto che nessun paese nell'Unione europea applica sul lavoro le imposizioni previste in Italia dal governo Draghi.
Violenti e neofascisti fanno in realtà il gioco di chi vuole reprimere il dissenso e in Italia questa cosa purtroppo non è una novità.
"
