MP,Date,Language,Title,Url,Content
Ilana CICUREL,2023-12-12,FR,"Need to release all hostages, to achieve a humanitarian ceasefire and prospect of the two-state solution (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-334-0000_FR.html,"  Ilana Cicurel (Renew).   – Monsieur le Président, en tant qu’Européens, nous sommes porteurs d’une promesse. Nous avons su construire la paix entre des nations ennemies après avoir fait usage de la violence nécessaire pour défaire le nazisme. Demain, cet objectif de coexistence doit devenir l’horizon des Israéliens et des Palestiniens. Mais cela ne sera possible que s’il est mis un terme aux atrocités que le Hamas prépare, habité par une haine destructrice et obsessionnelle.
Au-delà de la diplomatie, comment pouvons-nous œuvrer pour faire advenir cette paix? Nous, le premier bailleur de fonds dans les territoires palestiniens, nous pouvons agir en particulier sur l’éducation. On ne prépare pas la paix quand, dans les manuels palestiniens, on désigne les Juifs comme intrinsèquement menteurs, escrocs et corrompus, quand on glorifie une femme martyre ayant tué treize enfants en appelant les élèves à s’en inspirer, quand un exercice de mathématiques de fin de primaire invite les élèves à compter les cercueils des martyrs ou qu’on illustre la loi de Newton par un enfant lançant une pierre sur un soldat israélien. 
Monsieur le Commissaire, nous devons demander et accompagner la refonte du cursus national palestinien. Il s’agit d’assurer la sécurité des Israéliens et d’offrir un avenir aux jeunes Palestiniens.
(L’oratrice accepte de répondre à une question «carton bleu»)
"
Ilana CICUREL,2023-12-12,FR,"Need to release all hostages, to achieve a humanitarian ceasefire and prospect of the two-state solution (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-336-0000_FR.html,"  Ilana Cicurel (Renew),  réponse ""carton bleu"". – Merci, Madame, pour cette question. Le même travail qui a été mené sur les manuels palestiniens a aussi été réalisé par des organes indépendants sur les manuels israéliens. Le résultat n’a pas été le même. Mais, bien évidemment, nous devons œuvrer dans les deux camps. Bien sûr qu’il y a une marge de progression, mais les exemples que je vous ai donnés, qui sont quelques-uns parmi de nombreux exemples, ne relèvent pas de manuels isolés. C’est le cursus national palestinien que je vous ai décrit. Il est enseigné aussi bien en Cisjordanie qu’à Gaza. Il faut qu’on en sorte. Nous devons aider les Palestiniens à être libres, à se libérer du Hamas.
"
Ilana CICUREL,2023-12-12,FR,"Need to release all hostages, to achieve a humanitarian ceasefire and prospect of the two-state solution (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-559-0000_FR.html,"  Ilana Cicurel (Renew).   – Monsieur le Président, en tant qu’Européens, nous sommes porteurs d’une promesse. Nous avons su construire la paix entre des nations ennemies après avoir fait usage de la violence nécessaire pour défaire le nazisme. Demain, cet objectif de coexistence doit devenir l’horizon des Israéliens et des Palestiniens. Mais cela ne sera possible que s’il est mis un terme aux atrocités que le Hamas prépare, habité par une haine destructrice et obsessionnelle.
Au-delà de la diplomatie, comment pouvons-nous œuvrer pour faire advenir cette paix? Nous, le premier bailleur de fonds dans les territoires palestiniens, nous pouvons agir en particulier sur l’éducation. On ne prépare pas la paix quand, dans les manuels palestiniens, on désigne les Juifs comme intrinsèquement menteurs, escrocs et corrompus, quand on glorifie une femme martyre ayant tué treize enfants en appelant les élèves à s’en inspirer, quand un exercice de mathématiques de fin de primaire invite les élèves à compter les cercueils des martyrs ou qu’on illustre la loi de Newton par un enfant lançant une pierre sur un soldat israélien. 
Monsieur le Commissaire, nous devons demander et accompagner la refonte du cursus national palestinien. Il s’agit d’assurer la sécurité des Israéliens et d’offrir un avenir aux jeunes Palestiniens.
(L’oratrice accepte de répondre à une question «carton bleu»)
"
Ilana CICUREL,2023-12-12,FR,"Need to release all hostages, to achieve a humanitarian ceasefire and prospect of the two-state solution (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-562-0000_FR.html,"  Ilana Cicurel (Renew),  réponse ""carton bleu"". – Merci, Madame, pour cette question. Le même travail qui a été mené sur les manuels palestiniens a aussi été réalisé par des organes indépendants sur les manuels israéliens. Le résultat n’a pas été le même. Mais, bien évidemment, nous devons œuvrer dans les deux camps. Bien sûr qu’il y a une marge de progression, mais les exemples que je vous ai donnés, qui sont quelques-uns parmi de nombreux exemples, ne relèvent pas de manuels isolés. C’est le cursus national palestinien que je vous ai décrit. Il est enseigné aussi bien en Cisjordanie qu’à Gaza. Il faut qu’on en sorte. Nous devons aider les Palestiniens à être libres, à se libérer du Hamas.
"
Ilana CICUREL,2023-10-18,FR,Islamist terrorist attack on French schools and the need to protect people and promote social cohesion (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-479-0000_FR.html,"  Ilana Cicurel (Renew).   – Monsieur le Président, Madame la Commissaire, chers collègues, peu de temps avant d’être assassiné par un terroriste islamiste, Dominique Bernard, professeur de français, confiait à l’un de ses collègues qu’il trouvait de plus en plus difficile de transmettre. Transmettre était sa raison d’être, sa passion: transmettre le goût du beau, des grands textes, transmettre la capacité de penser par soi—même.
Rester fidèles à sa mémoire, ainsi qu’à celle de Samuel Paty, décapité trois ans plus tôt jour pour jour, c’est prendre conscience que les professeurs, précisément parce qu’ils sont les garants de la transmission de nos valeurs, de ce que nous sommes au plus profond, sont devenus la cible explicite des islamistes.
Rester fidèles à leur mémoire, c’est soutenir nos professeurs et renforcer leur protection dans toutes les écoles d’Europe. C’est être à leurs côtés pour qu’ils n’aient plus à s’autocensurer sur des sujets aussi essentiels que l’égalité entre femmes et hommes ou l’enseignement de pans entiers de l’histoire, comme un professeur sur deux le fait aujourd’hui dans le pays de Voltaire et de Victor Hugo.
Rester fidèles à leur mémoire, c’est faire de l’Europe une puissance éducative, en plaçant la transmission au cœur de notre identité et de notre souveraineté européennes.
Rester fidèles à leur mémoire, c’est associer à tous les soutiens éducatifs que nous portons hors d’Europe l’exigence que l’école ne nourrisse jamais la haine ni la violence et qu’elle soit toujours un instrument d’émancipation et de paix. Cela résonne de manière tout particulièrement douloureuse, alors que le terrorisme barbare du Hamas vient de commettre le plus grand massacre de Juifs depuis la Shoah.
Je voudrais que l’évidence de notre engagement, ensemble, dans une transformation volontariste des programmes scolaires en Palestine nous rassemble tous, pour mettre fin à l’éducation à la haine et à la violence et pour protéger tant la population israélienne voisine que la jeunesse palestinienne, qui a droit à un autre avenir.
"
Ilana CICUREL,2023-09-12,FR,"System of European Schools – state of play, challenges and perspectives (A9-0205/2023 - Ilana Cicurel)  (vote)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-146-0000_FR.html,"  Ilana Cicurel,  rapporteure. – Madame la Présidente, chers collègues, et si nous parlions enfin davantage d’éducation dans cet hémicycle? Comment ne pas voir que les fractures éducatives dont souffrent nos sociétés sont au cœur des crises politiques que nombre de nos pays traversent? Nous avons collectivement et massivement voté pour appeler à la mise en place d’un espace européen de l’éducation pour faire de l’Europe une puissance éducative. Aujourd’hui, le rapport sur le système des écoles européennes, qu’avec mes collègues rapporteurs fictifs nous vous soumettons et qui a été adopté à la quasi-unanimité en commission culture, porte une nouvelle ambition pour ce réseau scolaire unique.
Créé en 1953, il combine étude dans la langue maternelle, selon les traditions nationales, et cursus européen, né d’une synthèse des différents systèmes éducatifs de l’Union européenne. L’ambition de notre rapport est donc double. D’abord, appeler à une réforme du système des écoles européennes qui, victime de leur succès, traversent une crise de croissance, et ensuite – et c’est son apport le plus novateur – faire de ce réseau scolaire un moteur du développement de l’espace européen de l’éducation: améliorer le système au profit de ses élèves en matière de prise de décision, d’autonomie des établissements, de recrutement d’enseignants, d’inclusion, de renforcement de l’éducation à l’Europe, placer les enseignants au cœur du système, demander plus d’échanges et de supervision pédagogique, appeler à une révision de la ligne budgétaire et à un contrôle accru du Parlement européen.
En élargissant le champ des bénéficiaires du système des écoles européennes, qui ne sont plus seulement les élèves qui y sont scolarisés, mais l’ensemble des élèves d’Europe, nous changeons de paradigme et nous investissons très concrètement dans une Europe puissance éducative, riche de notre diversité pédagogique, qui offre à chaque État membre la possibilité de se saisir et de s’inspirer des meilleures pratiques pédagogiques européennes. J’espère pouvoir compter sur votre soutien.
"
Ilana CICUREL,2023-07-13,FR,10th anniversary of the EU Guidelines on Freedom of Religion or Belief (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-13-INT-4-127-0000_FR.html,"  Ilana Cicurel,  au nom du groupe Renew. – Monsieur le Président, chers collègues, je voudrais commencer par citer un brillant politologue qui nous a quittés de manière prématurée il y a un peu plus d’un an, Laurent Bouvet. En matière religieuse, écrivait-il, la neutralité de l’État sert à nous protéger en tant que citoyens de l’État lui-même, bien évidemment, mais elle sert aussi et indissociablement à protéger chacun d’entre nous de nos coreligionnaires, le cas échéant, ou plus largement, de toute croyance ou pratique que l’on voudrait nous imposer dans la société.
Les orientations que nous avons à commenter aujourd’hui et qui ont été écrites il y a dix ans nous invitent à cette double vigilance et à nous méfier de la remise en cause de la liberté religieuse par l’État. L’exemple dramatique de l’Iran illustre bien sûr cette manière que peut avoir l’État de remettre en cause cette liberté de conscience, celle de croire ou de ne pas croire, de ne plus croire, de changer de religion. Et cet exemple sous nos yeux, si dramatique, a éveillé, je crois, dans cette maison, le Parlement européen, la conscience que nous devons être vigilants aussi à l’intérieur de nos frontières européennes.
Je suis fière, en septembre 2022, d’avoir porté avec certains de mes collègues du groupe Renew un amendement qui appelait précisément à ce que cessent les financements d’organisations intégristes, et notamment celles proches des Frères musulmans. Nous appelions la Commission à faire en sorte que les fonds de l’Union ne financent que des associations, je cite, qui respectent scrupuleusement l’ensemble des valeurs européennes, dont la liberté de penser, la liberté de parole et l’égalité entre les hommes et les femmes. Il y a un début d’exécution et je salue la suspension des fonds à destination de l’association turque Yavuz Sultan Selim, qui avait félicité les terroristes du Bataclan. Elle a été condamnée au remboursement des sommes versées. Il faut que cette vigilance continue, que ce soit une nouvelle culture au sein de nos institutions européennes. 
Et je voudrais terminer par une requête. Il y a des fonds européens qui viennent nourrir la recherche. Il est fondamental que la recherche sur l’islamisme soit davantage nourrie. Pourquoi? Parce que, ne pas permettre à des universitaires sérieux de faire des recherches sérieuses sur l’islamisme, c’est-à-dire d’établir ce qu’est l’islamisme mais aussi ce qu’il n’est pas, c’est nourrir deux extrémismes: l’islamisme qui ne veut pas qu’on documente ce qu’il est, et surtout l’extrême droite qui veut qu’un amalgame soit fait entre l’islamisme et l’islam. J’en appelle à la Commission, à sa responsabilité. Nous devons financer une recherche sérieuse et honnête intellectuellement sur l’islamisme.
"
Ilana CICUREL,2023-07-10,FR,Protection of journalists and human rights defenders from manifestly unfounded or abusive court proceedings (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-10-INT-1-109-0000_FR.html,"  Ilana Cicurel,  au nom du groupe Renew. – Monsieur le Président, SLAPP! Cela sonne comme une claque et c’est ainsi que l’on désigne les «strategic lawsuit against public participation», ces actions-bâillons, ces pratiques de harcèlement judiciaire dont sont victimes journalistes, lanceurs d’alerte, universitaires qui se voient poursuivis de manière acharnée par ceux qui veulent faire taire toute critique à leur endroit.
Ce phénomène est suffisamment massif en Europe pour qu’une directive soit sur le point d’être votée, inspirée par le remarquable travail de la coalition CASE. Ce texte est une avancée majeure, mais une interprétation trop restrictive de son champ d’application pourrait mettre en péril son efficacité.
Comme parlementaires européens, nous portons haut trois exigences. La directive qui vise les procès civils doit s’appliquer au volet civil de l’action pénale. Si elle ne s’applique qu’aux litiges transfrontaliers, cette notion doit inclure les sujets d’intérêt public européens ou les propos accessibles depuis au moins deux pays européens. Enfin, et c’est essentiel, la directive doit offrir à la victime de SLAPP une provision à la charge du «slappeur» lui permettant de financer sa défense.
"
Ilana CICUREL,2023-07-10,FR,Fostering and adapting vocational training as a tool for employees' success and a building block for the EU economy in the new industry 4.0 (short presentation),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-10-INT-1-209-0000_FR.html,"  Ilana Cicurel (Renew).   – Madame la Présidente, faire de la voie professionnelle une voie d’excellence est un combat que je porte dans mon pays, la France, comme au sein de ce Parlement. La voie professionnelle doit cesser d’être une voie par défaut et devenir une voie choisie parce qu’elle conduit à l’emploi et à l’épanouissement personnel.
Je voudrais insister sur une des composantes de la valorisation de la voie professionnelle: la mobilité européenne. Monsieur le Commissaire, vous avez annoncé le lancement d’un nouveau cadre de la mobilité européenne en cette Année européenne des compétences. Nous demandons que la mobilité courte et longue des apprentis et des alternants en soit la priorité. Parce que la valorisation d’une filière va toujours de pair avec son internationalisation. Parce que la mobilité permet d’acquérir de nouveaux savoirs. Parce qu’elle permet à nos jeunes de développer ce que l’on appelle les compétences du XXIe siècle: confiance en eux parce qu’on leur a fait confiance, capacité de s’adapter à un contexte nouveau, à travailler en équipe, à avoir un esprit d’initiative, à sortir de leur zone de confort, à découvrir les ressources insoupçonnées qu’ils ont en eux et que la mobilité révèle.
C’est un cadeau que l’Europe leur fait et se fait à elle-même, car ils deviendront demain d’excellents professionnels qui contribueront au rayonnement de notre union.
"
Ilana CICUREL,2023-05-09,FR,Discharge 2021 (continuation of debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-09-INT-2-161-0000_FR.html,"  Ilana Cicurel,  rapporteure. – Madame la Présidente, chers collègues, bonne fête de l’Europe à toutes et tous. Je voulais ici tout d’abord réaffirmer l’attachement profond de mon groupe, Renew Europe, au financement par la Commission des organisations non gouvernementales. Si nous sommes si attachés à ce financement, c’est que, vous le savez, nous sommes très engagés dans la Conférence sur l’avenir de l’Europe qui doit pour nous devenir une nouvelle manière d’écrire les politiques européennes. Main dans la main avec les citoyens, main dans la main avec les organisations non gouvernementales qui en sont les porte-voix.
Mais c’est précisément parce que nous sommes tellement attachés à ce financement des organisations non gouvernementales qui travaillent pour faire prévaloir les valeurs qui nous rassemblent, que nous demandons aujourd’hui à la Commission une plus grande transparence et une plus grande vigilance dans l’examen des demandes en amont de l’attribution des fonds. Car nous voulons nous assurer précisément que ces fonds ne soient pas captés par des organisations non gouvernementales qui, sous couvert de défendre nos valeurs, en réalité les affaibliraient. 
Je pense à l’égalité entre les femmes et les hommes. Je pense aussi à la liberté de conscience qui est le fondement de notre pacte européen, qui est reconnue par l’article neuf de la Convention européenne des droits de l’homme, et qui permet à tout citoyen européen de croire ou de ne pas croire, de ne plus croire, de changer de religion, de pratiquer la religion comme il ou elle l’entend. Et nous devons donc nous assurer que tout homme, toute femme qui rejoindrait le sol européen, pour fuir parfois précisément des pressions dans son pays d’origine qui ne le laissait pas librement pratiquer sa religion, puisse jouir de cette liberté d’expression.
Or, certaines organisations non gouvernementales ne s’inscrivent pas dans ce respect de la liberté d’expression, et nous devons avoir le courage de reconnaître que toute organisation non gouvernementale qui s’inscrirait dans une forme d’intégrisme religieux n’aurait pas une légitimité à toucher des fonds européens. Nous le devons en réalité à toutes ces femmes et ces hommes qui viennent vers le sol européen comme une terre de liberté. 
Je pense en particulier, bien sûr, à nos sœurs d’Iran qui aujourd’hui subissent le joug d’un régime qui impose le port du voile. Comment pourrait-on imaginer que des jeunes femmes ou des femmes moins âgées qui rejoignent le sol européen puissent, d’une manière ou d’une autre subir ce genre de pression? Cette pression, elle ne viendra pas, bien sûr, de l’État, mais elle viendrait d’organisations, de composants de la société civile, qui s’inscrivent dans l’islamisme, par exemple, et qui ne respectent pas cette liberté de conscience qui est pour nous fondamentale.
Et quand je dis ça, je suis animée par ma volonté de protéger d’abord et avant tout nos concitoyens qui sont de culture ou de religion musulmane, et qui peuvent subir ici ou là dans nos territoires, ces pressions qui sont pour moi insupportables parce qu’elles sont contraires à nos valeurs fondamentales. Donc voilà ce que je voulais vous dire ici, en réaffirmant, comme je l’ai fait en commençant, notre attachement à toutes les organisations non gouvernementales qui travaillent pour la promotion des valeurs qui nous sont chères. Et c’est pour moi important et émouvant de le signifier aujourd’hui devant vous en cette Journée de l’Europe.
"
