MP,Date,Language,Title,Url,Content
Irène TOLLERET,2023-11-23,FR,International day for the elimination of violence against women (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-23-INT-4-030-0000_FR.html,"  Irène Tolleret (Renew).   – Monsieur le Président, chers collègues, comme chaque année, nous célébrons au sein de ce Parlement la Journée internationale de lutte contre les violences faites aux femmes. Chaque année, nous constatons que nous n’avons pas tellement avancé et que le nombre de féminicides augmente plutôt que de baisser. Pourtant, beaucoup de pays européens ont mis en place des dispositifs issus de la Convention d’Istanbul, et adopté des législations courageuses.
Bien sûr, la directive européenne marquera une avancée fondamentale dans la lutte contre les violences de genre. Mais regardons-nous, quand nous parlons des violences de genre, nous le faisons devant un hémicycle vide où les hommes s’expriment très peu. Ils n’expriment pas leur indignation, où s’ils l’expriment, ils sont trop peu à le faire. Au-delà des lois, au-delà des normes, nous avons besoin d’une révolution culturelle. Quand aurons-nous des manifestations d’hommes contre la violence de genre dans nos rues?
Chaque révolution culturelle commence depuis et avec l’école: des cours d’éducation à la vie relationnelle et affective existe dans certains pays. Je demande donc à la Commission de réfléchir à comment rendre européen ce dispositif, car hélas, il est urgent d’apprendre à nos enfants que non: possession, contrôle, jalousie, ce n’est pas de l’amour, c’est l’héritage d’une culture machiste que nous devons combattre tous ensemble, hommes et femmes.
"
Irène TOLLERET,2023-10-19,FR,European protein strategy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-19-INT-4-058-0000_FR.html,"  Irène Tolleret (Renew).   – Madame la Présidente, Monsieur le Commissaire, chers collègues, par ce rapport d’initiative, nous demandons à la Commission de présenter d’urgence une stratégie globale de l’Union européenne en matière de protéines. Nous l’attendons depuis vraiment longtemps et, franchement, il est l’heure d’en faire une priorité.
La COVID-19 puis la guerre en Ukraine ont eu des effets dramatiques sur le commerce mondial et nous ont révélé extrêmement clairement que notre Union devait travailler sur sa souveraineté alimentaire.
Gardons en tête que, à chaque fois qu’un aliment n’est pas produit sur le sol européen, il est importé d’un pays tiers, avec un impact environnemental négatif. C’est pourquoi nous devons produire plus et mieux, mais aussi produire chez nous. Envisager de cultiver des plantes riches en protéines pour l’alimentation sur des terres en jachère est une demande de bon sens, que j’invite la Commission à écouter.
Chers collègues, lorsque nous parlons de protéines, nous parlons de protéines végétales et animales. Arrêtons d’opposer les deux. Arrêtons de criminaliser la viande.
J’aimerais conclure en vous disant que non, le futur de l’alimentation protéinée en Europe pour nous, les humains, ce n’est ni la viande artificielle, ni les insectes, mais plutôt notre élevage et notre agriculture, qui façonnent nos paysages, font vivre nos zones rurales et contribuent à la biodiversité.
"
Irène TOLLERET,2023-10-19,FR,Generational renewal in the EU farms of the future (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-19-INT-4-112-0000_FR.html,"  Irène Tolleret (Renew).   – Monsieur le Président, Monsieur le Commissaire, chers collègues, comment allons-nous atteindre les objectifs du pacte vert ou de la stratégie «De la ferme à la table», comment allons-nous continuer à manger de bons produits faits en Europe si nous n’avons plus d’agriculteurs?
D’ici 2026, un agriculteur partira à la retraite en France. On parle, dans certains pays, d’estimations à 90 %. En France, encore, 1 % des agriculteurs a moins de 25 ans, et l’âge d’installation moyen est de 36 ans.
Changement climatique, contraintes environnementales, augmentation des coûts de production, difficulté d’accès aux prêts bancaires, problème de l’accès au foncier et de la concurrence extérieure: autant de facteurs qui découragent l’arrivée des jeunes dans le secteur agricole.
Si nous voulons une agriculture compétitive, qui puisse faire face à tous les défis, il nous faut investir dans la PAC. Les jeunes agriculteurs ont besoin d’une sécurisation, à moyen terme et à long terme, de leurs revenus. Seule une politique forte peut apporter des garanties aux nouveaux entrants.
Il est, enfin, impératif de lutter contre l’agribashing, contre l’image négative de notre agriculture – qui, pourtant, nous nourrit – que certains politiciens s’amusent à répandre et qui n’incite pas les jeunes à investir dans ce secteur.
Nous avons besoin des jeunes agriculteurs pour garantir la prospérité de nos zones rurales. Jeunes agriculteurs, on vous aime! Agriculteurs, on vous aime! Et on va continuer à le dire!
"
Irène TOLLERET,2023-10-04,FR,The proposed extension of glyphosate in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-294-0000_FR.html,"  Irène Tolleret (Renew).   – Madame la Présidente, Madame la Commissaire, la proposition de la commission sur le glyphosate est inacceptable, irrespectueuse des progrès réalisés par les agriculteurs et incohérente. En autorisant le glyphosate pour dix ans avec comme seule restriction d'usage la dessiccation des céréales, vous ouvrez la porte à une différenciation entre pays membres, alors même que la mission de la Commission, c'est d'assurer la santé pour tous les Européens. Et il me semble qu'en fonction des usages, les risques sont les mêmes, que ce soient des céréales allemandes ou des céréales françaises, que ce soient des agriculteurs français ou des agriculteurs roumains. Il me semble que nos entreprises et nos consommateurs existent et vivent dans un marché unique régi sur la libre circulation des marchandises. Nous voulons des règles communes. On en a assez des distorsions de concurrence à l'intérieur du marché unique. 
Elle est aussi un triste retour en arrière, irrespectueux de tous les progrès que les agriculteurs ont fait. Et je voudrais vraiment saluer tous ceux qui sont passés sur des solutions mécaniques qui se sont lancés dans les couverts végétaux. Mais nous avons des impasses. Et là il y a une incohérence. L'agriculture de conservation des sols, celle qui ne laboure pas, celle qui est l'avenir de la baisse de nos émissions de gaz à effet de serre tout en continuant à manger de la bonne nourriture européenne, elle demande l'autorisation du glyphosate. On leur dit quoi? On leur dit de labourer où on l'autorise. Nous devons avoir des règles européennes sur le sujet de l'autorisation du glyphosate qui ne laissent aucune filière agricole sans solution.
"
Irène TOLLERET,2023-10-03,FR,"Classification, labelling and packaging of substances and mixtures (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-511-0000_FR.html,"  Irène Tolleret (Renew).   – Monsieur le Président, Monsieur le Commissaire, chers collègues, tout d’abord, nous pouvons tous nous réjouir de cette nouvelle législation qui a pour but de protéger la santé humaine et l’environnement. Il faut cependant garder à l’esprit le principe de proportionnalité. Les produits d’origine botanique comme les huiles essentielles méritent un traitement à part pour les distinguer des produits issus de la pétrochimie.
En voulant régler le problème des substances pétrochimiques, il ne faudrait pas que cette révision de la législation cause un préjudice inutile aux cultivateurs de plantes aromatiques et aux autres acteurs de la chaîne. Il s’agit d’un secteur majoritairement artisanal, basé sur une filière composée de petits agriculteurs, de petits producteurs qui jouent un rôle extrêmement important dans le maintien de la biodiversité. J’aimerais souligner que, rien qu’en France, la filière de la lavande et du lavandin génère à elle seule plus de 9 000 emplois directs et 17 000 emplois indirects. À côté de cette filière se développent d’autres secteurs qui font vivre les zones rurales avec le miel, le tourisme.
Je vous demande donc de soutenir une dérogation pour les substances d’origine botanique afin de permettre de garder leur système actuel de classification. Il ne s’agit pas de les exempter, mais de tenir compte de leur spécificité et, ce faisant, de garder nos magnifiques paysages de Provence avec ces champs de lavande, avec cette vallée de la rose, avec ces odeurs, ça sent bon, ce sont des beaux produits. C’est notre patrimoine immatériel, agricole, commun, européen. 
"
Irène TOLLERET,2023-10-02,FR,Ensuring European transportation works for women (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-02-INT-1-192-0000_FR.html,"  Irène Tolleret (Renew).   – Madame la Présidente, Monsieur le Commissaire, chers collègues, neuf femmes sur dix sont victimes de harcèlement dans les transports en commun et 3 % des cas d’agression sexuelle en Europe sont recensés dans les transports. C’est une réalité extrêmement douloureuse.
Pour faire face à ce problème de sécurité flagrant, il est indispensable de mettre en place des solutions rapides et adaptées partout en Europe. Par exemple, un numéro d’urgence pour que les témoins d’une agression puissent la signaler, une formation pour les agents de terrain à la question du harcèlement afin d’accompagner les victimes, un renforcement du nombre de personnels dans les transports, l’arrêt à la demande dans les bus de nuit pour que le chauffeur dépose la passagère au plus près de chez elle.
Nous devons surtout penser à co-construire les aménagements des transports avec des associations féministes pour prendre en compte tous les besoins spécifiques des femmes, tels que les poussettes, ainsi que l’ensemble de la sécurité perçue par les femmes. 
Mais la sécurité n’est pas le seul domaine où nous devons intervenir urgemment. Les femmes européennes sont également victimes de discriminations intolérables quand elles veulent obtenir un emploi dans le secteur des transports. Des stéréotypes de genre, des conditions de travail, des contrats, des rémunérations de faible qualité sont les causes principales de la faible participation des femmes dans ce secteur.
Construire l’Europe de l’égalité signifie repenser une société juste et égalitaire où les femmes peuvent voyager en sécurité et où leurs emplois sont valorisés. En 2023, il est grand temps d’agir pour la cause des femmes. 
"
Irène TOLLERET,2023-09-12,FR,"Towards a more disaster-resilient EU - protecting people from extreme heatwaves, floods and forest fires (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-047-0000_FR.html,"  Irène Tolleret (Renew).   – Monsieur le Président, chers collègues, un travail important a été initié pour prévenir et gérer les catastrophes naturelles, notamment la solidarité entre les pays européens, avec rescEU, mais aussi vis-à-vis de pays tiers, comme on l’a vu au Canada. Elle est là, elle est efficace, c’est comme ça qu’on arrivera à lutter. 
Cependant, trop souvent, la Commission travaille en silo, alors que sur ce sujet-là, nous avons besoin d’avoir des politiques transversales. De la même façon que nous pensons, à chaque fois que nous faisons une loi, à réduire nos émissions, nous devrions nous demander, à chaque fois que nous faisons une loi, si cette loi aggrave ou diminue le risque de catastrophe naturelle.
Je pense par exemple au bois mort, dans le règlement sur la restauration de la nature, qui, dans toutes les zones où le sol est sec – et Dieu sait qu’il y en a de plus en plus dans les forêts – aggrave aussi bien le risque d’incendie que le risque d’inondation et de coulées de boue. Ce n’est pas moi qui le dit, ce sont nos pompiers. Ce sont eux que nous devons écouter.
Je demande aussi à la Commission de mieux valoriser le travail que font nos exploitants et nos agriculteurs, notamment le pastoralisme. Le pâturage est essentiel dans la prévention des risques naturels et permet une gestion et une exploitation durables des forêts. Et puis, bien sûr, pour résister et se protéger, les citoyens doivent être au courant du risque. Nous devons avoir une grande journée de sensibilisation aux risques européens. Ça existe dans d’autres pays. Aucun citoyen européen, en vacances ou chez lui, ne doit ignorer le risque auquel il est soumis et quels sont les bons gestes pour rester vivant.
"
Irène TOLLERET,2023-06-15,FR,The water crisis in Europe (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-15-INT-4-046-0000_FR.html,"  Irène Tolleret (Renew).   – Madame la Présidente, mon pays, la France, est en déficit hydrique depuis trois années consécutives. La sécheresse progresse inexorablement du sud de notre Union européenne vers le nord. Elle touche particulièrement les agriculteurs européens, responsables de notre sécurité alimentaire, et risque de mettre en péril la qualité de vie de nos concitoyens, sans parler de l’augmentation des incendies, même en hiver. Les cultures sont déjà très touchées, mais les prairies aussi, car il n’est pas question de les irriguer.
Face à un changement climatique qui s’accélère à pas de géant, nous avons aussi besoin de solutions très rapides pour améliorer la gestion de l’eau. La nouvelle PAC a introduit de nouvelles restrictions sur les investissements pour augmenter les surfaces irriguées. Il faut donc mettre en place des solutions innovantes. Mon pays, la France, y travaille dans le cadre de son programme «Varenne de l’eau», mais nous avons besoin de solutions au niveau européen.
Que faut-il donc faire? Tout d’abord, il faut encourager la construction de citernes d’eau de pluie et l’utilisation des eaux usées dans le secteur agricole. Nous devons mieux utiliser cette ressource.
Deuxièmement, il faut augmenter la résilience des cultures, et pour cela le débat sur les nouvelles techniques génomiques doit être abordé sans tabou et sans délai. À mon avis, la proposition de la Commission que nous attendons arrive déjà très tard.
Troisièmement, nous devons promouvoir l’introduction de variétés plus résistantes et aider les agriculteurs à passer à des pratiques agronomiques qui sont plus économes en eau.
Pour finir, j’aimerais souligner la nécessité de mettre en œuvre au niveau européen des systèmes assurantiels efficaces qui limitent le niveau de détresse de nos agriculteurs face au changement climatique. Tous ensemble, réduisons notre consommation d’eau, réutilisons l’eau et substituons les usages de l’eau, en priorisant la consommation humaine et les agriculteurs.
"
Irène TOLLERET,2023-05-31,FR,"Geographical Indications for wine, spirit drinks and agricultural products (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-31-INT-1-225-0000_FR.html,"  Irène Tolleret,  au nom du groupe Renew. – Madame la Présidente, Monsieur le Commissaire, je voudrais tout d’abord féliciter le rapporteur, cher Paolo, te remercier et remercier tous les groupes politiques pour leur travail constructif sur ce dossier qui a reçu un vote à l’unanimité complète en Commission agriculture. Je vous invite donc, chers collègues, à soutenir ce texte dans sa version lors du vote de demain.
Je crois que ce rapport nous permettra d’aborder les trilogues en position de force. Je salue particulièrement le compromis que nous avons trouvé pour préserver la spécificité du vin, qui est un secteur-clé en terme d’indication géographique. Si je comprends ce qu’a dit Monsieur le Commissaire concernant la simplification administrative, nous devons nous demander à qui elle est destinée.
S’agit-il simplification administrative pour la Commission ou pour les organisations de producteurs? Pour moi, c’est clairement pour les producteurs.
Je me suis donc battue pour trouver une solution équilibrée qui tienne également compte de la nécessité de simplifier ces procédures. Et j’espère maintenant que le paquet «vin» contenu dans ce rapport sera bien accueilli par le Conseil. Le vin a toujours joué un rôle d’avant-garde dans l’amélioration du régime des IG et il serait dommage de le condamner à la stagnation.
Je me réjouis également que le Parlement se soit prononcé contre l’externalisation des tâches de gestion des IG, qui doivent rester entre les mains de la DG AGRI de la Commission. Le système de produits de qualité est un élément-clé de la PAC, le transfert des fonctions à l’EUIPO constituait un précédent dangereux. Merci à tous. Bon vote demain.
"
Irène TOLLERET,2023-05-10,FR,The role of farmers as enablers of the green transition and a resilient agricultural sector (continuation of debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-10-INT-3-092-0000_FR.html,"  Irène Tolleret (Renew).   – Monsieur le Président, chers collègues, l’agriculture européenne est l’agriculture la plus durable du monde. Et pourtant, quand j’entends certains parler dans cet hémicycle, je n’ai pas l’impression qu’on parle des mêmes agriculteurs que ceux que je connais. Ceux qui en ce moment même, parce qu’on a voté beaucoup de textes, sont en train de faire bouger leurs pratiques, et qui font face à un système informatique qui ne permet pas de saisir aujourd’hui la nouvelle politique agricole commune. Ceux qui attendent désespérément des actes délégués, parce que selon qu'il y a ou non le mot «ou», on sort d’une impasse industrielle. Ceux qui se demandent pourquoi, au niveau du groupe d’experts de la Commission sur la taxonomie agricole, il n’y a pas un seul représentant de l’agriculture et qui du coup, ont des banques qui leur disent «on ne va pas pouvoir vous suivre sur vos projets d’énergies renouvelables».
Donc oui, bien entendu, les agriculteurs européens s’intéressent à l’environnement, et s’intéressent au changement climatique, sinon nous n’aurions pas l’agriculture la plus durable du monde. Mais de grâce, soyons au rendez-vous, tous unis pour que l’ensemble des textes que nous produisons, on arrive à les appliquer simplement chez nos agriculteurs.
"
