MP,Date,Language,Title,Url,Content
Isabella ADINOLFI,2023-05-09,IT,"Council of Europe Convention on preventing and combating violence against women and domestic violence – EU accession: institutions and public administration of the Union - Council of Europe Convention on preventing and combating violence against women and domestic violence - EU accession: judicial cooperation in criminal matters, asylum and non-refoulement (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-09-INT-2-269-0000_IT.html,"  Isabella Adinolfi (PPE).   – Signora Presidente, onorevoli colleghi, dal mio ingresso al Parlamento europeo nel 2014 mi sono sempre battuta affinché la convenzione di Istanbul venisse prima firmata e poi ratificata.
Credevo che il percorso travagliato fosse passato con la firma, ma la ratifica diventa un po' come l'epico viaggio di Ulisse, una vera e propria Odissea.
Mai come adesso la convenzione è ancora più necessaria.
Gli eventi che stanno sconvolgendo il mondo hanno aumentato l'immigrazione in Europa, conosciamo bene la situazione in paesi di approdo come l'Italia, lasciati soli a gestire un fenomeno in continuo aumento.
In un contesto multiculturale come quello in cui viviamo oggi è importante avere una legislazione omogenea, che stabilisca degli standard minimi per i governi nella prevenzione e nella condanna della violenza contro le donne, poiché per alcune culture, ancora oggi, la donna non ha diritti, può essere picchiata, può essere stuprata, può essere infibulata e data in sposa come bambina.
Penso alla ragazza pakistana uccisa in Italia per aver rifiutato un matrimonio combinato o alla ragazza stuprata in stazione qualche giorno fa da un marocchino a Milano, o alla poliziotta violentata a Napoli alla fine del suo turno da un bengalese, o a una quindicenne violentata da immigrati africani, di seconda generazione, alla festa del Partito Democratico. Gli stupratori sono scappati, irreperibili, e la sinistra si è contraddistinta per un silenzio assordante.
La ratifica della convenzione lancia un chiaro messaggio a tutte queste persone: in Europa le donne hanno diritti, in Europa le donne sono protette, in Europa non rimarrete impuniti.
Abbiamo combattuto per decenni per i nostri diritti e non abbiamo intenzione di arretrare.
(L'oratrice accetta di rispondere a una domanda ""cartellino blu"")
"
Isabella ADINOLFI,2023-05-09,IT,"Council of Europe Convention on preventing and combating violence against women and domestic violence – EU accession: institutions and public administration of the Union - Council of Europe Convention on preventing and combating violence against women and domestic violence - EU accession: judicial cooperation in criminal matters, asylum and non-refoulement (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-09-INT-2-271-0000_IT.html,"  Isabella Adinolfi (PPE),  risposta a una domanda ""cartellino blu"". – Cara collega, cari colleghi, come vedete anche noi siamo qui a discutere da tanti anni per la ratifica di questa convenzione, non ci siamo mai tirati indietro. Io, personalmente, non mi sono mai tirata indietro e questo lo potete vedere con le registrazioni del Parlamento europeo.
Ciò detto, non si può dire a qualcuno, a una ragazzina che è stata stuprata o a qualcuno che viene ucciso, non si può dire che bisogna fare una diversificazione tra colori, perché questo accade.
In Italia è stata uccisa barbaramente una ragazzina perché non si voleva sposare e su questo noi non possiamo fare i radical chic. La politica non è dei radical chic, la politica è proteggere i cittadini, proteggere le donne e proteggere gli indifesi. Siamo qui per questo e io la politica dei radical chic non la faccio.
(L'oratrice rifiuta una domanda ""cartellino blu"" di Alice Kuhnke)
"
Isabella ADINOLFI,2023-02-14,IT,Council of Europe Convention on preventing and combating violence against women and domestic violence: EU accession (continuation of debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-02-14-INT-2-176-0000_IT.html,"  Isabella Adinolfi (PPE).   – Signora Presidente, onorevoli colleghi, alcuni di noi chiedono a gran voce da anni di ratificare la Convenzione di Istanbul. Dopo il via libera della Corte di giustizia, non esistono più scuse per non procedere all'immediata ratifica da parte del Consiglio.
Le critiche mosse a questa Convenzione sono ridicole, come lo è la richiesta di esame della costituzionalità da parte del Primo ministro polacco. La Convenzione stabilisce semplicemente gli standard minimi per i governi nella prevenzione, protezione e condanna della violenza contro le donne e della violenza domestica. Tutte cose che ritengo più che normali.
La mancata ratifica da parte di alcuni paesi è uno schiaffo a tutte le donne maltrattate, a questa Unione europea e ai valori che rappresentiamo. Non intervenire significa essere complici. La violenza di genere è una piaga che, se non curata, continuerà a incancrenire le nostre società. 
Come Unione europea oggi abbiamo due scelte: quella di ratificare la Convenzione di Istanbul e avere tutti gli strumenti per combattere la violenza contro le donne, salvando migliaia di vite, oppure quella di girarci dall'altra parte, nascondendoci dietro un po' di burocrazia. Io non posso girarmi.
"
Isabella ADINOLFI,2023-02-14,IT,The EU priorities for the 67th session of the UN Commission on the Status of Women (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-02-14-INT-2-231-0000_IT.html,"  Isabella Adinolfi (PPE).   – Signor Presidente, onorevoli colleghi, siamo nel 2023, ma siamo ancora lontani dal raggiungere la parità di genere. Condivido che il divario di genere in alcuni settori è predominante e che bisogna intervenire con forza e lungimiranza.
L'accesso all'istruzione e le competenze digitali devono essere la priorità. Sono strumenti, infatti, indispensabili alle donne per raggiungere anche un'indipendenza economica o creare una propria attività imprenditoriale. Non esiste libertà se non si ha la propria indipendenza economica.
Il divario digitale si traduce spesso anche in una minore consapevolezza dei pericoli che si possono incontrare in rete. Deve essere priorità combattere le violenze e i soprusi che si consumano online e le armi che abbiamo a disposizione spesso sono troppo poche.
Tuttavia, nel campo dell'istruzione e della formazione non dobbiamo concentrarci solo sulle politiche che migliorano l'accesso alla scienza, alla tecnologia, all'ingegneria e alla matematica, ma dobbiamo anche investire sui settori dell'arte e della creatività. Solo la sinergia tra i vari campi del sapere permette uno sviluppo appagante della persona. Oltre il corpo e la mente deve essere nutrita anche l'anima.
"
Isabella ADINOLFI,2022-12-13,IT,Implementation of the New European Agenda for Culture and the EU Strategy for International Cultural Relations (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-12-13-INT-2-148-0000_IT.html,"  Isabella Adinolfi,  a nome del gruppo PPE. – Signor Presidente, onorevoli colleghi, stiamo riscrivendo le priorità dell'agenda culturale europea. Come potete immaginare, gli argomenti sono tanti e diversi. Il COVID ha lasciato senza lavoro migliaia di persone e di artisti.
È per questo che abbiamo voluto tutelare gli imprenditori del settore, quasi sempre i titolari di piccole e medie imprese, chiedendo che sia garantito un agevole accesso al credito; i lavoratori, che spesso hanno contratti atipici e frammentati; e le iniziative culturali europee, che devono essere supportate adeguatamente da fondi e da progetti.
Dato che dal settore artistico-culturale nascono opportunità di crescita, di apprendimento e di sviluppo, credo che sia nostro dovere avere un occhio di riguardo anche per l'imprenditoria femminile in questo campo.
È quindi nostro compito accertarci che la cultura diventi sempre più un settore trasversale, che entri nella nostra quotidianità. È nostro compito proteggerla e con essa proteggere il nostro patrimonio artistico europeo.
A questo fine, spero che questa camera domani voti il nostro emendamento per la tutela del patrimonio artistico e culturale, che prevede, ove necessario, esenzioni per il settore culturale dai divieti sull'utilizzo di alcuni materiali.
Potrebbe sembrare un cavillo legislativo, ma ne dipendono non solo l'integrità delle nostre cattedrali storiche, dei nostri vetri colorati di Murano, delle nostre ceramiche campane dipinte a mano e che sono rinomate in tutto il mondo, ma ne dipendono anche le famiglie degli artigiani e dei restauratori, ai quali sempre più spesso e con indifferenza viene proibito l'utilizzo degli strumenti del loro lavoro.
In questo periodo di guerre e di catastrofi non possiamo permetterci di mettere a rischio il nostro patrimonio culturale europeo, parte della nostra identità e che, una volta perso, sarà perso per sempre.
"
Isabella ADINOLFI,2022-11-23,IT,Eliminating violence against Women (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-11-23-INT-3-213-0000_IT.html,"  Isabella Adinolfi (PPE).   – Signora Presidente, onorevoli colleghi, i casi di violenza sulle donne non accennano a diminuire. 
Nella mia città negli ultimi giorni una donna è stata uccisa a coltellate dal marito e un'altra è stata ferita gravemente perché sempre il marito le ha dato fuoco. Queste notizie sono all'ordine del giorno in tutti i paesi dell'Unione europea, questo perché l'odio e la violenza non conoscono confini, non hanno differenza di età, non hanno differenza di estrazione sociale, hanno solo delle vittime.
Ora, per la prima volta nella storia della Repubblica italiana, abbiamo un presidente del Consiglio donna. E che cosa è successo? Che dopo pochi giorni che era stata nominata è dovuta volare al G20 ed è stata molto attaccata. Perché è stata attaccata? Per le sue idee politiche? Per le parole che ha detto? No, semplicemente perché aveva portato con sé la figlia di sei anni. Un gesto banale, ma che evidentemente nel mio paese è ancora rivoluzionario. Quello che mi dispiace è che mi sarei aspettata dalle altre colleghe degli altri partiti dei cenni di solidarietà, dei messaggi di solidarietà, e invece questo non è accaduto.
Ora, Presidente, io voglio soltanto dire che noi dobbiamo essere unite. Se non cominciamo noi a essere unite, niente cambierà.
"
Isabella ADINOLFI,2022-05-19,IT,"Establishing the European Education Area by 2025 – micro credentials, individual learning accounts and learning for a sustainable environment (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2022-05-19-INT-2-026-0000_IT.html,"  Isabella Adinolfi (PPE).   – Signor Presidente, onorevoli colleghi, come diceva il grande Eduardo De Filippo, gli esami non finiscono mai. Ma allora perché bisognerebbe smettere di imparare, di acquisire nuove abilità o qualifiche? L'apprendimento permanente deve essere incentivato a ogni livello e le microcredenziali hanno la funzione di creare percorsi di apprendimento fruibili da tutti, in particolare dai cittadini svantaggiati e da persone che sono uscite dal mercato del lavoro e che non riescono a rientrarvi.
Importante è però vigilare affinché non si trasformi anche questo in un nuovo tipo di lavoro non pagato.
In ogni caso, prima di innovare il sistema con queste nuove introduzioni, bisogna rinsaldare le fondamenta del sistema formativo, altrimenti l'Europa sarà inesorabilmente sorpassata nelle prossime sfide globali. Occorrono investimenti importanti nelle nostre università, nella ricerca, nella sicurezza degli studenti impegnati in percorsi misti di alternanza scuola-lavoro e per le borse di studio.
Questa nuova corsa agli armamenti, per esempio, e le continue emergenze stanno già incidendo sui programmi europei e sulle manovre finanziarie dei paesi, e il rischio è che tutto passi in secondo piano, anche la formazione della prossima classe dirigente, che guiderà l'Europa in futuro.
"
Isabella ADINOLFI,2022-03-08,IT,Gender mainstreaming in the European Parliament – annual report 2020 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-03-08-INT-2-350-0000_IT.html,"  Isabella Adinolfi (PPE).   – Signor Presidente, onorevoli colleghi, molte delle iniziative che ogni giorno realizziamo cercano di mettere in moto un processo virtuoso che miri non solo ad aumentare la mera presenza delle donne in posizioni di rilievo, ma miri indirettamente a creare le condizioni formative, di supporto e lavorative, essenziali nella società moderna, per incentivare la presenza di donne in ogni livello della piramide.
Quello che però si deve assolutamente evitare è cadere in testi politicamente corretti, talvolta del tutto sterili e inutili. Concentrare così tanta attenzione ed energia su linguaggio neutro, su questioni minori, come il numero dei deputati uomini nella commissione AGRI piuttosto che Pesca, o sui cestini per le coppette mestruali nei bagni, lo trovo sinceramente distante dalla realtà che ci circonda.
Potreste dirmi che le istituzioni devono dare il buon esempio. È vero. Però dobbiamo anche evitare di dimenticarci come è il mondo là fuori, non dobbiamo cadere nella sindrome di Maria Antonietta a Versailles. Perché lì fuori ci sono problemi concretissimi. Fuori da questa bolla europea ci sono donne che a parità di mansioni lavorative guadagnano il 30 % in meno rispetto agli uomini. È come se una deputata donna guadagnasse il 30 % in meno rispetto a un collega uomo.
La strada verso la parità di genere purtroppo è ancora lunga il nostro compito come legislatori è quello di continuare a lavorare gestendo l'""ordinario"" e lo ""straordinario"", ma senza perdere mai di vista le reali necessità delle cittadine europee.
"
Isabella ADINOLFI,2022-03-08,IT,EU Gender Action Plan III (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-03-08-INT-2-384-0000_IT.html,"  Isabella Adinolfi (PPE).   – Signor Presidente, signora Commissaria, onorevoli colleghi, come ho detto in quest'Aula tempo fa, in Europa i diritti fondamentali sono per molti ma non per tutti.
Parliamo spesso di libertà, giustizia, uguaglianza di genere, ma non riusciamo a garantirle nemmeno qui a casa nostra. Purtroppo, ancora oggi, non tutti gli Stati membri dell'Unione europea hanno ratificato la Convenzione di Istanbul. Ancora oggi, sotto i nostri occhi, migliaia di donne e bambini sono vittime della tratta di esseri umani, vengono venduti come schiavi, uccisi o costretti a prostituirsi. Ancora oggi in alcuni Stati membri la prostituzione è legalizzata ed è vista come un semplice lavoro. Ancora oggi lì fuori ci sono donne che non riescono nemmeno a denunciare i propri aguzzini, come è accaduto alla giovane Anna Borsa, che purtroppo, dopo innumerevoli aggressioni, è stata uccisa qualche giorno fa in Italia dall'ex fidanzato con una pistola detenuta illegalmente. La sua unica colpa era quella di aver interrotto una relazione con una persona che evidentemente era malata. Perché a volte si abita in piccoli centri, dove si conoscono tutti e diventa difficile psicologicamente, perché la società comunque ti colpevolizza.
Molte donne purtroppo non sono ancora consapevoli dei propri diritti, del proprio valore e della propria forza. Il nostro compito è quello di prenderle per mano, offrendo loro quell'aiuto morale e materiale di cui hanno bisogno, per restituire loro la speranza, spingerle a lottare e a non arrendersi. Solo un'azione congiunta promossa a ogni livello politico e in concerto con la società civile può realmente mettere in moto quel cambiamento sulla carta molto spesso già avvenuto ma che stenta a vedere la luce nella vita di ogni giorno.
"
Isabella ADINOLFI,2021-11-25,IT,The International Day of Elimination of Violence Against Women and the State of play on the ratification of the Istanbul Convention (continuation of debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2021-11-25-INT-4-032-0000_IT.html,"  Isabella Adinolfi (PPE).   – Signor Presidente, onorevoli colleghi, pace, diritto, rispetto per ciascun essere umano. Quando siamo giovani pensiamo che siano parole scontate, che tutti abbiamo questi principi positivi dentro di noi. Quando sei adulto, invece, ti rendi conto che esiste il bene ed esiste il male.
Oggi voglio usare parole molto semplici e comprensibili per tutti quelli che ci stanno ascoltando. La Convenzione di Istanbul è ""il primo strumento internazionale giuridicamente vincolante che crea un quadro giuridico completo per proteggere le donne da qualsiasi forma di violenza."" Quindi la Convenzione di Istanbul è un trattato, e i trattati vanno prima firmati e poi ratificati dagli Stati, in modo che gli Stati siano vincolati a rispettare questi trattati.
In questa Convenzione parliamo di concetti molto semplici. Si dice che gli Stati dovrebbero inserire nei propri codici penali una serie di reati perpetrati contro le donne: violenza psicologica, violenza sessuale, stalking, violenza fisica, stupro, matrimonio forzato, mutilazioni genitali, aborto forzato, sterilizzazione forzata, molestie sessuali. Reati aberranti, eppure ci sono paesi dell'Unione europea che ritengono che non sia un atto di civiltà ratificare l'accordo.
Cittadini e cittadine europei, donne, padri, oggi dovete chiedere ai vostri governi e ai vostri politici che vi rappresentano: perché? Perché è difficile metterci la faccia contro una violenza sessuale o una mutilazione genitale? Perché è difficile metterci la faccia contro un matrimonio forzato o uno stupro?
Il compito dei politici è quello di prendere delle decisioni e rappresentare la democrazia. E allora io voglio sapere perché ci sono paesi dell'Unione europea che sono omertosi verso questo trattato e se questi paesi rappresentano veramente i valori dell'Unione europea.
"
