MP,Date,Language,Title,Url,Content
Isabella TOVAGLIERI,2023-11-23,IT,International day for the elimination of violence against women (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-23-INT-4-042-0000_IT.html,"  Isabella Tovaglieri (ID).   – Signora Presidente, onorevoli colleghi, il 2023 non è ancora finito ma già contiamo 105 donne uccise solo in Italia. L'ultima in ordine di tempo è Giulia Cecchettin, brutalmente assassinata il giorno prima della sua laurea dall'ex ragazzo. Alla sua famiglia e a tutte le famiglie delle vittime va il nostro cordoglio. Ma che non siano vuote parole, bensì un impegno concreto perché questo non accada più, un impegno che in Italia stiamo portando avanti a tutti i livelli istituzionali. 
È infatti di queste ore l'approvazione del Codice Rosso rafforzato, che potenzia gli strumenti di prevenzione, mentre in Regione Lombardia è stato avviato l'iter legislativo per l'introduzione del reato di duplice omicidio a carico di chi uccide una donna in avanzato stato di gravidanza. Buone pratiche, che chiediamo che il Parlamento europeo promuova in tutti gli Stati membri, anche se siamo consapevoli che una legge non possa salvare vite se non si interviene prima nelle scuole, educando i giovani al rispetto. Esattamente come ha in progetto di fare il nostro governo. Infine sì, occorre abbattere la società patriarcale.
Care sinistre, avete sentito bene: per una volta siamo d'accordo con voi. Abbattiamo il patriarcato: ma quello vero, quello dell'Islam integralista che, grazie anche al vostro complice buonismo, anziché volere donne libere ed emancipate, le vuole spesso sottomesse, velate e, talvolta, spose bambine.
"
Isabella TOVAGLIERI,2023-11-22,IT,Reducing regulatory burden to unleash entrepreneurship and competitiveness (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-173-0000_IT.html,"  Isabella Tovaglieri (ID).   – Signora Presidente, onorevoli colleghi, le nostre imprese sono più avanti delle istituzioni europee che dovrebbero stimolarne la crescita e la competitività, invece di frenarla con norme e vincoli, come ormai accade troppo spesso, ogni giorno con le misure legate alla svolta green. 
Le nostre imprese sono più avanti perché sanno già da sole che l'attenzione all'ambiente è un fattore di competitività e che bisogna investire nella transizione green per rimanere sul mercato. 
Le nostre imprese sono più avanti perché chiedono di poterlo fare con incentivi e tempistiche adeguate, non con diktat assurdi che impoveriscono il nostro tessuto produttivo e che rischiano di trasformare l'Europa da aspirante potenza mondiale a serva delle economie più inquinanti del mondo. 
Agli imprenditori che lottano ogni giorno per difendere il primato e la qualità delle nostre produzioni dico che non sono da soli e che in quest'Aula c'è ancora chi combatte per liberare le loro energie per un futuro migliore. 
"
Isabella TOVAGLIERI,2023-11-08,IT,One-minute speeches on matters of political importance,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-08-INT-1-267-0000_IT.html,"  Isabella Tovaglieri (ID).   – Signora Presidente, onorevoli colleghi, in Belgio associazioni e partiti di sinistra spingono per una legge che vieti di criticare l'Islam, una legge che cancellerebbe la libertà di espressione, consegnandoci direttamente nelle mani di chi vuole trasformare l'Europa in una succursale di Teheran.
Nei quartieri ghetto delle nostre città, all'ombra delle moschee finanziate dai fondamentalisti, sta crescendo più di una generazione di immigrati che, nel migliore dei casi, non vuole integrarsi e, nel peggiore, ci uccide al grido di "" Allahu akbar"".
La sinistra, che ci accusa di essere nazisti e razzisti perché denunciamo i rischi dell'accoglienza indiscriminata, oggi deve chiedere scusa ai cittadini italiani ed europei, privati del diritto di vivere in pace e in sicurezza in casa propria.
E allora, cari colleghi progressisti che chiamate ""partigiani"" i terroristi di Hamas, evitate almeno a sproposito di parlare di islamofobia proprio mentre in Europa si sta riaffacciando l'incubo dell'antisemitismo, ma quello vero.
"
Isabella TOVAGLIERI,2023-10-04,IT,The spread of ‘anti-LGBTIQ’ propaganda bills by populist parties and governments in Europe (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-393-0000_IT.html,"  Isabella Tovaglieri,  a nome del gruppo ID. – Signor Presidente, onorevoli colleghi, mi rivolgo innanzitutto alle sinistre presenti in quest'Aula, ma evidentemente sempre meno presenti tra la gente comune e nei governi delle nazioni europee. Dopo che avete impoverito le famiglie, raddoppiando i mutui, dopo che avete deciso di obbligarle ad acquistare una costosa auto elettrica, magari prodotta in Cina, e dopo che le avrete costrette a indebitarsi per ristrutturare la loro casa, pena la sua stessa svalutazione, non vi rimangono che queste crociate ideologiche, in nome della lobby LGBT, contro governi democraticamente eletti che si oppongono al vostro politicamente corretto.
Fortunatamente questo Parlamento rimane uno dei vostri ultimi fortini. Elezione dopo elezione, in tutta Europa i cittadini vi stanno sonoramente bocciando l'agenda politica basata su asterischi e sulla criminalizzazione della famiglia, come dimostra la surreale discussione portata avanti in Italia su un innocuo spot televisivo.
I diritti delle minoranze sono un tema importante e delicato che non può e non deve essere strumentalizzato politicamente per attaccare pretestuosamente gli avversari, come state facendo oggi, nel tentativo disperato di distogliere l'attenzione dei cittadini europei dai fallimenti politici vostri sempre più evidenti.
"
Isabella TOVAGLIERI,2023-09-13,IT,Framework for ensuring a secure and sustainable supply of critical raw materials (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-229-0000_IT.html,"  Isabella Tovaglieri,  a nome del gruppo ID. – Signor Presidente, onorevoli colleghi, l'Europa non si illuda: con la nuova normativa sulle materie critiche certamente potremo creare una filiera europea di questi elementi che sono indispensabili per la transizione verde, ma non riusciremo ad affrancarci dalla dipendenza dalla Cina, dalla Turchia, dai paesi dell'Africa, dai quali importiamo il 98 % delle terre rare. 
Già oggi, infatti, con lo stop al motore endotermico non ancora operativo e con la direttiva ""case green"" non ancora approvata, siamo legati mani e piedi a questi paesi che non riconoscono i nostri valori democratici, che se ne infischiano della difesa dell'ambiente e che sono disposti a tutto pur di crescere a spese dell'Europa. 
E da domani saremo ancora più vulnerabili. La domanda delle materie critiche, infatti, è destinata ad aumentare in modo esponenziale: soltanto il fabbisogno di litio, utilizzato per le batterie delle auto elettriche, crescerà fino a 89 volte entro il 2050. 
I rischi geopolitici per l'Europa sono altissimi: se vogliamo continuare a decidere del nostro futuro, l'unica soluzione è quella di rallentare la folle corsa di Bruxelles verso la neutralità climatica, rivedendo le assurde tempistiche imposte dalla direttiva ""green"". La sostenibilità ambientale è un obiettivo che condividiamo, a condizione però che a pagarne il prezzo non siano il nostro sviluppo, la nostra indipendenza e, soprattutto, la nostra libertà. 
"
Isabella TOVAGLIERI,2023-09-12,IT,Iran: one year after the murder of Jina Mahsa Amini (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-323-0000_IT.html,"  Isabella Tovaglieri (ID).   – Signor Presidente, onorevoli colleghi, dopo l'uccisione di Mahsa Amini in Iran è cambiato tutto. In Europa, purtroppo, invece, non è cambiato niente. Mentre infatti a Teheran si muore, Bruxelles si è dimenticata in fretta di tutte le Saman Abbas d'Europa e continua a promuovere nelle comunicazioni ufficiali il velo come simbolo di libertà e di emancipazione, calpestando così la battaglia delle donne iraniane contro quello che invece ritengono essere l'emblema della sottomissione femminile e lanciando così un pericolosissimo segnale a tutti i fondamentalisti che vivono nei nostri Paesi democratici.
Non possiamo indignarci per i diritti negati in Iran se lasciamo che la deriva islamista calpesti la nostra cultura e i nostri valori occidentali. Siamo arrivati al punto che in Italia è stata chiesta l'assoluzione di un immigrato che picchiava a sangue la moglie, giustificando anni di botte come un fatto culturale. Se continuiamo così, a furia di passi indietro sulle nostre conquiste, l'Iran purtroppo ci sembrerà sempre meno lontano.
"
Isabella TOVAGLIERI,2023-09-11,IT,One-minute speeches on matters of political importance,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-11-INT-1-220-0000_IT.html,"  Isabella Tovaglieri (ID).   – Signor Presidente, onorevoli colleghi, quando i nostri amministratori locali si sforzano di applicare nei territori i provvedimenti folli e ideologici decisi nei palazzi di Bruxelles, i risultati sono inevitabilmente disastrosi e a farne le spese sono sempre e solo i cittadini.
In Piemonte, ad esempio, per colpa delle ""eurofollie"" di Bruxelles 140 000 lavoratori e famiglie che possiedono auto relativamente recenti – parliamo, ad esempio, di auto che hanno solo otto anni, si tratta dei diesel Euro 5 immatricolati fino al 2015 – hanno rischiato da un giorno all'altro di perdere il diritto alla mobilità e, quindi, anche il sacrosanto diritto al lavoro.
Fortunatamente in Italia c'è un governo di centrodestra che, grazie al forte pressing della Lega, ha scongiurato questa assurdità europea, rinviando con un decreto il blocco delle auto diesel Euro 5 in Piemonte e in tutto il bacino padano, consentendo così al motore dell'economia italiana di continuare a correre.
Questo governo, lontano anni luce dall'ambientalismo da salotto, difenderà sempre le tasche degli italiani, perché la sostenibilità ambientale non può esistere senza quella... (il Presidente toglie la parola all'oratrice).
"
Isabella TOVAGLIERI,2023-07-12,IT,Putting the European economy at the service of the middle class (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-284-0000_IT.html,"  Isabella Tovaglieri (ID).   – Signor Presidente, onorevoli colleghi, con una sola entrata in famiglia i nostri genitori riuscivano a comperare la prima casa, a volte anche la casa di villeggiatura e arrivare a fine mese. Oggi una famiglia con due stipendi fatica a sostenere le rate di un solo mutuo e, in quattro casi su dieci, non riesce a pagare le bollette o lo fa a singhiozzo.
La scelta della BCE di alzare i tassi di interesse per combattere un'inflazione generata non dall'aumento della domanda, bensì dall'aumento dei costi generato dalla guerra e dalla crisi energetica, è una strategia miope che peserà ulteriormente sul ceto medio e che porterà l'Europa alla recessione. Ma il colpo di grazia alla classe media arriverà dalle imposizioni ambientaliste di Bruxelles, come l'obbligo di ristrutturare la casa di proprietà o di acquistare auto più green. 
Se scomparirà il ceto medio, che paga l'80 % delle tasse, sostiene la previdenza e alimenta i consumi, l'economia europea e il tessuto sociale rischiano di implodere.
È questo che vuole questa maggioranza ambientalista di questo Parlamento? Lo si dica chiaramente, altrimenti sarebbe doveroso un passo indietro.
"
Isabella TOVAGLIERI,2023-06-12,IT,One-minute speeches on matters of political importance,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-12-INT-1-224-0000_IT.html,"  Isabella Tovaglieri (ID).   – Signora Presidente, onorevoli colleghi, le auto storiche sono una ricchezza che contribuisce a promuovere il turismo e l'identità dei nostri territori attraverso raduni ed iniziative benefiche che muovono un grande indotto e soprattutto danno lustro al design industriale europeo. 
Lo stop ai motori endotermici rischia di disperdere questo patrimonio, tramandato di generazione in generazione, con dedizione e sacrifici economici, da milioni di appassionati. Combustibili e pezzi di ricambio, infatti, saranno sempre più introvabili e, senza il via libera europeo ai biocarburanti, le auto d'epoca sono destinate a scomparire nonostante il loro impatto ambientale del tutto irrisorio. 
L'Europa miope riesce a vedere nell'auto storica solo il suo motore a scoppio, il nemico giurato della svolta verde. Noi, invece, ci vediamo anche la bellezza, la cultura, le nostre radici e un passato illustre che non deve essere cancellato ma al contrario difeso e valorizzato. 
Concludo semplicemente esprimendo un pensiero per la figura di Silvio Berlusconi, che è venuto a mancare oggi e che ha rappresentato il centro, il protagonismo per decenni della vita politica europea, in attesa che quest'Aula gli dedichi il giusto tributo. 
"
Isabella TOVAGLIERI,2023-04-19,IT,"The crackdown on the right to education and education rights activists in Afghanistan, including the case of Matiullah Wesa",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-19-INT-3-382-0000_IT.html,"  Isabella Tovaglieri (ID).   – Signor Presidente, con i talebani al potere le condizioni femminili in Afghanistan sono tornate indietro di vent'anni. 
Nel nome di un'interpretazione arcaica ed estremista della sharia alle donne è stato imposto il velo integrale ed è stato vietato non solo di lavorare, ma anche di studiare. Quasi tutte le scuole femminili infatti sono state chiuse e chi studia o insegna di nascosto lo fa a rischio della propria vita.
Il recente arresto di Matiullah Wesa, colpevole di aver promosso la scolarizzazione delle bambine e delle adolescenti, infrange le ultime speranze di un'intera generazione di donne a cui vengono rubati non solo i diritti, ma anche il futuro.
Se vogliamo essere davvero coerenti nel condannare il regime talebano, ribadiamo la necessità che i diritti negati in Afghanistan siano sempre garantiti nella nostra civile Europa, dove purtroppo molte giovani immigrate o figlie di immigrati spesso vengono avviate a matrimoni precoci invece che agli studi superiori con la complicità miope delle sinistre, che promuovono il velo islamico anziché i nostri valori occidentali di uguaglianza e di libertà.
"
