MP,Date,Language,Title,Url,Content
Jan-Christoph OETJEN,2023-10-17,DE,Schengen area: digitalisation of the visa procedure - Schengen area: amending the Visa Sticker Regulation (Joint debate – Schengen area),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-208-0000_DE.html,"  Jan-Christoph Oetjen (Renew).   – Frau Präsidentin, verehrte Kolleginnen und Kollegen, Herr Vizepräsident! Zunächst einmal möchte ich sagen, dass der Schengen-Raum sicherlich eine der größten Errungenschaften dieser Europäischen Union ist, und wir sollten ihn verteidigen und schützen dafür, dass Menschen weiter in Europa sich frei bewegen können. Da viele der rumänischen und bulgarischen Kollegen hier zum Ausdruck gebracht haben, dass sie es bedauern, noch nicht Teil des Schengen-Raums zu sein, möchte ich an dieser Stelle – gerade auch als Deutscher – sagen: Wir wünschen uns, dass Bulgarien und Rumänien möglichst bald in den Schengen-Raum aufgenommen werden.
Der Vorschlag, der jetzt heute abgestimmt wird zum Thema Digitalisierung der Visaprozeduren, ist sicherlich ein guter, denn es ist wichtig, dass die Digitalisierung in diesem Bereich Einzug hält. Vor allen Dingen aber macht er die Prozeduren besser, verehrte Kolleginnen und Kollegen! Menschen, die einen Visaantrag stellen, brauchen ihren Pass nicht mehr abzugeben, Fälschungen von Visa wird vorgebeugt und unsere Konsulate werden entlastet, und damit wird hoffentlich die häufig viel zu lange Dauer von Visaverfahren verkürzt.
Insgesamt ein sehr, sehr guter Vorschlag, der den Missbrauch für Visaverfahren schwerer macht und die Prozeduren vereinfacht und standardisiert. Damit rückt Europa noch enger zusammen, und das findet daher unsere Zustimmung.
"
Jan-Christoph OETJEN,2023-10-17,DE,Commission Work Programme 2024 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-248-0000_DE.html,"  Jan-Christoph Oetjen (Renew).   – Frau Präsidentin, Herr Kommissar, verehrte Kolleginnen und Kollegen! Ich möchte heute nicht über ein Dossier sprechen, das im Arbeitsprogramm 2024 steht, sondern über eines, das im Arbeitsprogramm 2022 Erwähnung findet. Es geht dabei um MDMS – multimodale digitale Mobilitätsdienstleistungen –, ein Dossier, das eigentlich in der Lage wäre, den Bürgerinnen und Bürgern in Europa endlich mehr Informationen darüber zu geben, wenn sie über Grenzen reisen, wenn sie verschiedene Transportmodi nutzen. Aber offenbar ist die Kommission unfähig, einen Vorschlag vorzulegen.
Dabei würde ich mir – manchmal – wünschen, dass, anstatt ständig neue Regulierungen vorzuschlagen, die keiner braucht, sich endlich auf das fokussiert würde, wo tatsächlich den Bürgerinnen und Bürgern ein echter Vorteil, ein echter europäischer Mehrwert geboten werden könnte. Denn auch heute noch haben Reisende in einem freien Europa weiterhin Probleme beim Buchen, bei Anschlusszügen, wenn etwas ausfällt. Hier tatsächlich einzugreifen, wäre ein echter Fortschritt, den wir von der europäischen Seite auf den Weg bringen würden. Leider ist die Kommission offenbar unfähig, einen Vorschlag vorzulegen.
"
Jan-Christoph OETJEN,2023-10-04,DE,Need for a speedy adoption of the asylum and migration package (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-042-0000_DE.html,"  Jan-Christoph Oetjen (Renew).   – Herr Präsident, verehrte Kolleginnen und Kollegen! 2015 gab es in der Europäischen Union die große Migrationskrise. Wir sind jetzt acht Jahre später, und wir führen die Debatten wie vor acht Jahren. Ich glaube, die Bürgerinnen und Bürger in der Europäischen Union verstehen nicht, warum die Politik so lange braucht, ein solches Thema zu regeln und Lösungen zu finden. Ich glaube, wir sind in der Verantwortung, jetzt voranzukommen und vor der Europawahl tatsächlich Nägel mit Köpfen zu machen. Und wir sind gar nicht weit davon entfernt.
Aber es ist auf der anderen Seite inakzeptabel, wenn aus politischen Gründen im Rat die Krisenverordnung zur Geisel genommen wird, um politische Spielchen zu spielen. Es ist mir egal, ob das von der linken Seite oder der rechten Seite des politischen Spektrums kommt. Es ist inakzeptabel, wenn eine Debatte blockiert wird und das Vorankommen bei diesem Migrationspakt blockiert wird, nur um bei Wahlen irgendwie Vorteile für sich selber zu erreichen. Dafür ist es die Gefahr zu groß, dass wir mit diesem Migrationspakt scheitern, und das dürfen wir auf keinen Fall zulassen. Ich glaube, wir müssen jetzt schnell handeln, der Rat muss schnell handeln.
Ich glaube übrigens auch, dass viele von den Punkten, die wir in der Debatte haben, schon heute von den Mitgliedstaaten umgesetzt werden könnten. Wenn uns das gelingt, dann kommen wir auch wieder in die Kontrolle zur Migration, dann bekommen wir die Verfahren an den Außengrenzen, hohe rechtsstaatliche und humanitäre Standards und einen Krisenmechanismus, der in der Krise tatsächlich hilft.
"
Jan-Christoph OETJEN,2023-10-04,DE,"Egypt, in particular the sentencing of Hisham Kassem",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-486-0000_DE.html,"  Jan-Christoph Oetjen,  Verfasser. – Herr Präsident, Herr Kommissar! Leider wieder einmal Ägypten, muss man ja schon fast sagen, verehrte Kolleginnen und Kollegen. Und in der Tat, unter Präsident Al-Sisi kommt Ägypten nicht zur Ruhe. Heute reden wir über Hischam Kassem. Er ist einer der Anführer des Free Current, eines Zusammenschlusses liberaler Oppositionsparteien, die zum Schweigen gebracht werden sollen. Ihm werden Vorwürfe gemacht, die politisch motiviert sind, und sein Berufungsverfahren ist am 7. Oktober, also in ein paar Tagen. Wir hier im Europäischen Parlament fordern die sofortige und bedingungslose Freilassung sowie die Niederschlagung aller politisch motivierten Anschuldigungen.
Er reiht sich ein. Wir hatten vor einigen Monaten eine Dringlichkeitsentschließung betreffend Alaa Abdel Fattah, der immer noch im Gefängnis sitzt und seit zwei Jahren seinen autistischen Sohn nicht sehen konnte. Tausend weitere sind im Gefängnis, weil sie frei ihre Meinung geäußert haben.
Nun stehen in Ägypten bald Wahlen an, und die Gängelung der Opposition nimmt zu. Wir fordern die ägyptischen Behörden auf, potenzielle Präsidentschaftskandidaten, wie beispielsweise Ahmed al-Tantawi, nicht weiter zu belästigen und dafür zu sorgen, dass Wahlen tatsächlich frei und fair stattfinden können.
"
Jan-Christoph OETJEN,2023-10-03,DE,Corrupt large-scale sale of Schengen visas (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-189-0000_DE.html,"  Jan-Christoph Oetjen (Renew).   – Herr Präsident, Herr Kommissar, verehrte Kolleginnen und Kollegen! Die Freizügigkeit ist zweifelsohne die größte Errungenschaft des Schengen-Raums. Aber diese Freizügigkeit steht jetzt im Zweifel − leider − an der Grenze zwischen Deutschland und Polen.
Die deutsche Regierung hat sich aufgrund des Visaskandals in Polen dazu genötigt gesehen, wieder Grenzkontrollen einzuführen. Verehrte Kolleginnen und Kollegen, meinen Sie, eine deutsche Regierung macht das zum Spaß, um die polnische Bevölkerung zu ärgern? Ganz im Gegenteil: Wir würden uns freuen, wenn wir auf die polnische Regierung vertrauen könnten und wir die Freizügigkeit im Schengen-Raum weiter aufrechterhalten könnten.
Aber Ihre Regierung, die polnische Regierung, die so tut, als wenn sie sich um Migrationsfragen kümmern will, aber in Wirklichkeit in der Vergangenheit immer jeden Fortschritt auf der europäischen Ebene zum Thema Migration verschleppt hat − Ihre polnische Regierung hat Visa an andere Leute verkauft, die eigentlich nicht in den Schengen-Raum dürfen. Das ist der Grund, warum die polnische Bevölkerung heute unter Grenzkontrollen leiden muss.
Verehrte Kolleginnen und Kollegen, anstatt hier Nebelkerzen zu werfen, sollten Sie sich lieber an der Aufklärung dieses Skandals beteiligen. Das wäre Ihre Pflicht gegenüber der polnischen Bevölkerung und gegenüber allen Europäern, damit grenzenloses Reisen in Europa wieder möglich ist.
(Der Redner ist damit einverstanden, auf eine Frage nach dem Verfahren der ""blauen Karte"" zu antworten.)
"
Jan-Christoph OETJEN,2023-10-03,EN,Corrupt large-scale sale of Schengen visas (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-191-0000_EN.html,"  Jan-Christoph Oetjen (Renew),  blue-card answer. – Thank you, colleague. First of all, I trust the Commission. And I heard what Commissioner Schinas said at the beginning. He said that there are questions that have not been answered. And we, as European Parliamentarians, we request from the Polish Government that all the questions that the Commission has sent are answered correctly. This is the reason why in Germany there is no trust anymore in the situation in Poland – because the Polish Government has sold visas to foreigners and they have entered the Schengen Area without any allowance normally. So please make sure that this Polish Government is working on replying to all questions and then freedom of movement in the European Union will be reinstated.
"
Jan-Christoph OETJEN,2023-09-13,DE,Reviewing the protection status of wolves and other large carnivores in the EU (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-198-0000_DE.html,"  Jan-Christoph Oetjen (Renew).   – Frau Präsidentin, Frau Kommissarin! Ich habe der Debatte hier gefolgt, und es ist schon spannend zu hören, wie unterschiedlich die Sichtweisen auf das Thema sind – je nachdem, ob man aus einer Region kommt, wo es den Wolf gibt oder nicht.
Ich komme aus Niedersachsen, im Norden von Deutschland, und Ende August wurden in Gräpel, das ist etwa 60 Kilometer von mir, 55 Schafe gerissen und 50 weitere verletzt von 112 insgesamt, die auf dieser Weide gewesen sind. Das ist südlich von Hamburg. Das ist kein flaches und das ist kein unbewohntes Gebiet. Nach dem offiziellen Wolfsmonitoring in Niedersachsen gibt es bei uns 50 Rudel, zuzüglich Einzeltiere, zuzüglich Paare. Niedersachsen ist ein Land mit etwa 8 Millionen Einwohnern und etwas größer als die Niederlande. Nur damit Sie sich das bildlich vorstellen können, wie groß der Druck auf die Weidetierhaltung im Moment bei uns ist. Denn der Wolf ist ein Kulturfolger. Er läuft durch unsere Dörfer und er reißt bevorzugt Weidetiere, weil das die einfachste Beute ist. 
Noch vor einigen Jahren haben wir auch gesagt: Ja, man muss einzelne Tiere schießen. Ja, man muss die Zäune erhöhen. Ja, man muss das Monitoring verbessern. Aber das reicht heute nicht mehr bei dem Bestand an Wölfen, den wir haben. Wir brauchen endlich eine Absenkung des Schutzstatus, wenn es auch nur regional für einzelne Gebiete ist. Aber wir brauchen diese Absenkung des Schutzstatus, damit wir endlich in ein aktives Wolfsmanagement einsteigen können.
"
Jan-Christoph OETJEN,2023-09-12,DE,EU-Tunisia Agreement - aspects related to external migration policy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-080-0000_DE.html,"  Jan-Christoph Oetjen (Renew).   – Herr Präsident, verehrte Kolleginnen und Kollegen! Ja, wir brauchen Migrationsabkommen mit Drittstaaten. Und die Abschnitte in dem Tunesien-Abkommen zur wirtschaftlichen Stabilisierung des Landes sind inhaltlich auch gar nicht schlecht. Aber ich frage mich: Warum eigentlich jetzt? Warum jetzt, wo der Präsident Kais Saied das Land in eine Autokratie verwandelt? Warum nicht, als wir demokratische Strukturen in Tunesien hatten? Ist Kais Saied wirklich ein verlässlicher Partner für uns in der Europäischen Union? Ich glaube das nicht.
Gerade vor sechs Tagen sind wieder Oppositionelle in Tunesien verhaftet worden, Richter werden einfach so kurzerhand abgesetzt, und in Migrationsfragen, ist er da ein guter Partner? Kann jemand ein guter Partner sein, der Migranten in der Wüste nach Libyen einfach aussetzt, ohne Wasser? Ich glaube nicht. In den sechs Wochen nach dem Abschluss des Abkommens sind die Migrationszahlen aus Tunesien nach Europa um 70 % gestiegen. Ich glaube, dieses Abkommen funktioniert so nicht. 
Für mich muss klar sein: Keine Menschenrechte, keine Demokratie – kein Abkommen.
"
Jan-Christoph OETJEN,2023-09-12,DE,Sustainable aviation fuels (ReFuelEU Aviation Initiative) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-532-0000_DE.html,"  Jan-Christoph Oetjen (Renew).   – Frau Präsidentin, Frau Kommissarin! Alternative Kraftstoffe sind zweifelsohne der Schlüssel zur Dekarbonisierung des Luftverkehrs. Auch der einzige Schlüssel, den wir haben, denn Elektrifizierung, das haben andere Kollegen schon gesagt, wird noch einige Zeit dauern.
Jetzt geht es darum, die Produktionskapazitäten aufzubauen. Und dafür setzen wir mit diesem Gesetz die richtigen Rahmenbedingungen. Wir als Europäische Union sind Vorreiter bei der Dekarbonisierung und müssen dafür sorgen, dass in dieser weltweiten Branche andere Regionen auch nachziehen, denn ansonsten gibt es Wettbewerbsverzerrungen zulasten der europäischen Industrie.
Aus meiner Sicht ist es jetzt wichtig, dass die Kommission zügig das Book&Claim-System umsetzt und bei Bedarf auch die SAF allowances erhöht, um die richtigen Rahmenbedingungen zu setzen dafür, dass die Marktaufnahme von alternativen Kraftstoffen – und übrigens sehr vielen verschiedenen alternativen Kraftstoffen – dann auch gewährleistet wird, damit die Industrie tatsächlich grüner wird und wir in Zukunft sagen können: Fliegen ist nicht mehr das schwierige Transportmittel, sondern wir können guten Gewissens in das Flugzeug einsteigen.
"
Jan-Christoph OETJEN,2023-07-11,DE,Greening transport package (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-297-0000_DE.html,"  Jan-Christoph Oetjen (Renew).   – Frau Präsidentin, Frau Kommissarin, verehrte Kolleginnen und Kollegen! Ich finde es gut, dass jetzt der Vorschlag endlich vorliegt für die Ökologisierung des Verkehrs. Gerade das Thema der Emissionsmessung ist, glaube ich, eins, mit dem wir mehr Transparenz für die Bürgerinnen und Bürger erreichen können.
Wir als Freie Demokraten werden dafür kämpfen, dass in diesem Bericht steht, dass die technologische Neutralität hochgehalten wird. Ich glaube, wir brauchen für den CO2—neutralen Transport von Gütern möglichst alle Technologien, die uns zur Verfügung stehen. Denn Speditionsunternehmen sind in der Regel Mittelständler, und sie brauchen für ihr Geschäftsmodell das passende Fahrzeug mit der passenden Infrastruktur, verehrte Kolleginnen und Kollegen!
Ich möchte an dieser Stelle einmal sagen, weil ja hier so die Angst aufgemacht wird vor den Riesen-Lkw: Größere Lkw, längere Lkw sind ökologischer, denn sie emittieren weniger CO2 pro transportierter Tonne Fracht. Sie haben auch eine niedrigere Achslast pro Achse und sind deswegen auch für den Straßenverkehr durchaus gut zu gebrauchen. Und sie können auf definierten Strecken gut eingesetzt werden und sind deswegen ein guter Beitrag zur Dekarbonisierung des Verkehrs.
"
