MP,Date,Language,Title,Url,Content
Jean-Lin LACAPELLE,2023-12-13,FR,Planned dissolution of key anti-corruption structures in Slovakia and its implications on the Rule of Law (continuation of debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-336-0000_FR.html,"  Jean-Lin Lacapelle,  au nom du groupe ID. – Madame la Présidente, chers collègues, pendant des années, la Commission européenne a persécuté la Pologne, coupable de désaccords idéologiques, au mépris total de l’indépendance des États. Aujourd’hui que la Pologne a changé de gouvernement, vous n’avez soudainement plus rien à lui reprocher. Toutes les prétendues violations graves des valeurs de l’Europe ont disparu, comme ça, du jour au lendemain.
Alors, à défaut de la Pologne, l’Union européenne a trouvé un nouvel épouvantail à attaquer: c’est la Slovaquie. La Slovaquie, où Robert Fico, que le peuple slovaque a élu président, voit soudainement pleuvoir les accusations d’atteinte à l’état de droit. Deux mois seulement après son élection. Franchement, entre nous, vous n’avez pas perdu de temps. Décidément, la démocratie n’a aucune valeur pour l’Union européenne. Le prétexte, cette fois-ci, c’est la dissolution éventuelle d’organismes de lutte contre la corruption, qui serait une menace pour l’état de droit. Il faut franchement de l’audace – et je m’adresse à M. Štefanec, du PPE, il faut le reconnaître – au Parlement européen, qui s’est révélé corrompu jusqu’à la moelle à l’occasion du «Qatargate», pour donner des leçons de corruption et pour oser porter de telles accusations – et je ne parle même pas du scandale potentiel du «Pfizergate».
Un gouvernement dispose pourtant du droit absolu de créer, de transformer et de supprimer des institutions judiciaires. Mais c’est toujours une partialité idéologique révoltante qui vous anime. Quand, en France, les tribunaux retirent à l’association Anticor son agrément pour agir en justice, aucun débat sur l’état de droit n’est organisé au Parlement européen. Il est vrai que, dans la même famille politique et idéologique, on ne s’attaque pas. Quant au ministre de la justice français, le garde des sceaux, M. Éric Dupond-Moretti, lorsqu’il est jugé et relaxé par des élus membres de son propre parti pour prise illégale d’intérêts, l’Union européenne est silencieuse. Elle ne crie au scandale qu’à l’encontre de ses adversaires.
Cette hypocrisie permanente est aujourd’hui évidente et insupportable pour tous. Alors laissez à la souveraineté nationale ses prérogatives, respectez une fois pour toutes les choix démocratiques, mais n’oubliez pas que c’est toujours le peuple qui a le dernier mot.
"
Jean-Lin LACAPELLE,2023-12-12,FR,Defence of democracy package (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-255-0000_FR.html,"  Jean-Lin Lacapelle,  au nom du groupe ID. – Madame la Présidente, chers collègues, la démocratie, c’est le gouvernement du peuple, par le peuple et pour le peuple. En démocratie, seul le peuple est souverain. Lui seul choisit son destin politique, directement ou par les représentants qu’il a élus. Il n’y a rien au-dessus de lui.
Mais l’Union européenne est tout sauf démocratique. Je vous rappelle qu’elle est dirigée par des commissaires qui ne sont pas élus, mais qui sont nommés, qui pensent que leurs principes idéologiques doivent être au-dessus de la décision des peuples et que la souveraineté des nations doit s’incliner devant Bruxelles. La meilleure preuve en est le rapport du mois dernier sur la révision des traités sur la Constitution européenne, véritable coup d’État européiste qui piétine le résultat des référendums de 2005, référendums que vous avez trahis.
C’est pourquoi il est extrêmement inquiétant de voir aujourd’hui l’Union européenne s’emparer de la démocratie et commencer à fixer les critères de ce que le peuple souverain a le droit de dire, de faire ou de ne pas faire, et des partis qui auront le droit ou non d’exister selon leur orientation idéologique.
C’est particulièrement inquiétant lorsque, la même semaine, vous mettez en accusation le président slovaque, pourtant élu précisément par la démocratie, parce que sa politique étrangère n’est pas alignée sur la vôtre. Inquiétant aussi lorsque vous prévoyez, en janvier prochain, de voter un texte censurant des opinions et des sentiments sous le terme absolument orwellien et totalitaire de «crimes de haine».
L’Union européenne ne tolère aucune liberté, aucune nuance et considère même le non-alignement sur sa politique comme un crime. La démocratie, c’est l’affaire du peuple et de lui seul. Personne, et surtout pas l’Union européenne, n’a à limiter ses choix ou à lui censurer certaines opinions. Quand le peuple s’exprime, il doit pouvoir le faire en pleine indépendance.
"
Jean-Lin LACAPELLE,2023-11-22,FR,30 years of Copenhagen criteria - giving further impetus to EU enlargement policy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-323-0000_FR.html,"  Jean-Lin Lacapelle (ID).   – Monsieur le Président, chers collègues, les critères de Copenhague qui célèbrent leurs 30 ans sont une liste de critères relatifs à la santé économique, à la stabilité et au respect de la démocratie, critères que doivent respecter impérativement tous les pays désireux d’intégrer l’Union européenne.
Alors je vous prends au mot. Où est la stabilité de l’Ukraine attaquée par la Russie? Où est la stabilité de la Moldavie, dans la région de Transnistrie qui a fait sécession avec 20 000 tonnes d’armes? Où est le respect de la démocratie au Kosovo qui persécute la minorité serbe? Où est la prospérité économique lorsque la plupart des Balkans sont sujets à une pauvreté énorme et une corruption massive? Où est l’économie sociale dans une Albanie gangrenée par les trafics d’armes, de drogue et de prostitution? Où est la démocratie en Turquie où des journalistes sont emprisonnés et les opposants brimés?
Stop à l’hypocrisie. C’est Erdogan qui a le mieux démontré l’inutilité de ces critères fantoches de Copenhague lorsqu’il a dit n’avoir aucune intention de reconnaître le génocide arménien car il ne figurait pas parmi ces critères. Ces critères sont en réalité à géométrie variable, idéologiques, secondaires dès lors que l’Union européenne a décidé qu’elle voulait poursuivre son projet expansionniste, mais terriblement funeste pour l’avenir de l’Europe.
"
Jean-Lin LACAPELLE,2023-11-21,FR,"Continuing threat to the rule of law, the independence of justice and the non-fulfilment of conditionality for EU funding in Hungary (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-428-0000_FR.html,"  Jean-Lin Lacapelle,  au nom du groupe ID. – Madame la Présidente, chers collègues, les droits de l’homme sont des principes fondamentaux, mais ils ne doivent pas être des instruments de chantage. Pourtant, l’Union européenne n’hésite pas à les utiliser comme une arme à l’égard de la Hongrie. Avec à la clé un refus de donner à la Hongrie les fonds européens, pourtant financés et garantis par tous les États membres, y compris la Hongrie elle-même. La raison est que la Hongrie ne respecterait pas les valeurs de l’Europe. L’Union européenne est-elle devenue à ce point totalitaire?
Les valeurs, ce sont pourtant des choix politiques. Tout le monde a le droit d’avoir ses propres valeurs, y compris si ce ne sont pas les vôtres. Mais au nom des droits de l’homme, vous refusez à vos adversaires les droits humains les plus fondamentaux, ceux d’opinion et d’expression. Vous poursuivez la Hongrie pour atteintes prétendues aux valeurs de l’Europe, mais l’Europe, elle, n’hésite pas à piétiner les valeurs de la Hongrie. Par quel prodige vos valeurs à vous sont-elles sacrées et celles des autres seraient méprisables? Votre hypocrisie éclate au grand jour.
Je tiens à exprimer mon soutien à la Hongrie, pointe avancée de la riposte des peuples européens, aujourd’hui comme jadis face aux communistes et aux Ottomans. Je suis désolé, mais l’identité, la pérennité et la sécurité des peuples européens ne se monnayent pas.
"
Jean-Lin LACAPELLE,2023-11-21,FR,Strategic Compass and EU space-based defence capabilities (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-481-0000_FR.html,"  Jean-Lin Lacapelle,  au nom du groupe ID. – Madame la Présidente, Monsieur le Rapporteur, ce rapport, une fois n’est pas coutume, va dans le bon sens. Chose inédite, il inscrit dans le marbre l’idée de préférence européenne pour les lanceurs spatiaux et les sites de lancement. Et contrairement aux habituels éléments de langage si creux de la Commission européenne, votre texte propose une réelle autonomie européenne, sans dépendance ni vis-à-vis de la Russie, ni vis-à-vis des États-Unis qui se voyaient déjà principal fournisseur du programme spatial européen.
Comme vous le mentionnez dans votre rapport, il faut maintenant sanctuariser la protection et le stockage des données recueillies par les satellites d’observation pour ne pas se mettre sous la coupe des GAFAM et, par conséquent, se rendre vulnérable à l’espionnage industriel, économique et politique. Il faut d’autre part, je crois, créer des garde-fous en Europe afin que, par exemple, la Commission européenne ne profite pas des doubles usages militaires et civils des satellites pour s’arroger des compétences dans le secteur du renseignement spatial.
On l’aura compris, le spatial est un secteur stratégique et d’avenir. Dans ce secteur la France, grâce à son savoir-faire industriel ainsi qu’à sa base de Kourou en Guyane, a tous les atouts pour être leader d’une coopération européenne en mesure de rivaliser avec les autres puissances mondiales.
"
Jean-Lin LACAPELLE,2023-10-17,FR,Schengen area: digitalisation of the visa procedure - Schengen area: amending the Visa Sticker Regulation (Joint debate – Schengen area),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-199-0000_FR.html,"  Jean-Lin Lacapelle,  au nom du groupe ID. – Monsieur le Président, chers collègues, numériser les visas Schengen est une bonne idée, mais de toutes les révisions apportées à ce système, c’est sûrement la moins urgente. 
À l’heure où la France vient, une fois de plus, d’être frappée par la barbarie islamiste, j’ai en mémoire les attentats de 2015, perpétrés par des tueurs venus de Belgique qui avaient pleinement profité de l’idéologie des frontières ouvertes. Quant aux frontières extérieures de l’Union européenne, censées compenser la suppression des frontières intérieures, le principe qui y règne est le droit d’entrée, et les expulsions ne sont même plus l’exception, elles sont l’exemption. 
À tout cela la seule réponse de l’Union européenne est la fuite en avant et la légalisation hâtive de flux d’immigration toujours plus énormes, sans souci des conséquences. Combien de tueurs islamistes dans les vagues de clandestins accueillies à bras ouverts à Lampedusa et ailleurs, avec le soutien des ONG complices des passeurs? Combien de victimes parmi ces prétendus demandeurs d’asile, dont les demandes sont infondées à 75 %, comme celle du Tunisien Abdesalem Lassoued, qui vient d’assassiner hier soir deux personnes à Bruxelles? 
Voilà les défaillances du système de Schengen, et l’Union européenne ne veut pas les combler, mais seulement défendre la logique immigrationniste qui les inspire. 
"
Jean-Lin LACAPELLE,2023-10-03,FR,Corrupt large-scale sale of Schengen visas (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-216-0000_FR.html,"  Jean-Lin Lacapelle (ID).   – Monsieur le Président, chers collègues, la corruption dans l’administration et la fraude aux titres de séjour sont des nuisances qu’il faut combattre avec la plus grande fermeté. Vous évoquez le cas de la Pologne, que vous avez systématiquement dans le viseur, quoi qu’elle fasse. Cette mise en cause, qui survient opportunément à deux semaines des élections polonaises, cible ouvertement le gouvernement polonais, qui a pourtant réagi avec fermeté pour réprimer un trafic dont les véritables auteurs étaient des responsables consulaires en cheville avec des sociétés privées.
C’est le groupe Renaissance qui est à l’origine de ce débat. Alors j’invite les élus macronistes à s’intéresser de plus près à la politique française d’octroi des visas. Dans certains pays, la France délègue l’instruction des visas à des organismes privés au risque d’un marché noir similaire à celui que nous voyons en Pologne. Cela s’est produit l’an dernier au Maroc, mais là, l’Union européenne n’a lancé aucune procédure ni aucun débat. Il est vrai que l’immigration pour vous n’est pas un problème, c’est un projet.
Que dire également de nombre d’élus et de militants associatifs qui facilitent la production d’attestations de complaisance? Tout cela démontre l’abus des visas Schengen utilisés pour traverser l’Europe à destination seulement d’une poignée de pays, toujours les mêmes. Nous réclamons quant à nous que les visas Schengen soient réservés aux seuls ressortissants européens et que soient rétablies, dans les autres cas, les frontières intérieures. C’est de cette façon que ce type de trafic sera évité. 
"
Jean-Lin LACAPELLE,2023-10-03,FR,Situation in Nagorno-Karabakh after Azerbaijan’s attack and the continuing threats against Armenia (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-359-0000_FR.html,"  Jean-Lin Lacapelle (ID).   – Madame la Présidente, chers collègues, une véritable épuration ethnique se déroule à nos portes. L'éradication programmée sur une partie de son territoire historique d'une civilisation trois fois millénaire, celle du peuple arménien, première nation chrétienne de l'histoire. Cette qualification glorieuse ne pouvait qu'attirer le mépris de certains eurocrates qui, par leur insensibilité face au drame de la population du Haut-Karabakh, démontrent une fois de plus leur mépris de tout ce qui est chrétien et qui constitue les vraies racines communes de tous les peuples européens. Les Arméniens, peuple victime du premier des grands génocides du XXᵉ siècle, toujours nié de façon ignoble par la Turquie et qui vit disparaître dans des conditions atroces près d'un million et demi d'Arméniens. 
Je tiens en ces moments douloureux à saluer nos compatriotes français d'origine arménienne qui, toujours attachés à leurs très anciennes racines, se sont pleinement assimilés à la France et à la République. Qu'ils sachent que leurs combats d'aujourd'hui de toujours sont ceux que nous portons dans notre groupe. Mais si l'Azerbaïdjan peut aujourd'hui mettre en œuvre de telles exactions, c'est parce que le régime de Bakou, appuyé par celui d'Erdogan, bénéficie de la complicité des instances dirigeantes de l'Union européenne. 
Oui, la présidente de la Commission européenne doit rendre des comptes. Par le contrat de gaz passé avec l'Azerbaïdjan, Ursula von der Leyen a donné à l'autocrate Aliyev un permis de tuer et d'épurer dans le Haut-Karabakh. Elle s'est également engagée à verser au régime de Bakou 60 millions d'euros de fonds européens et jusqu'à 2 milliards d'euros en projets d'investissement. Cet argent, versé malgré eux par les contribuables européens, c'est celui du sang des Arméniens, sang que la présidente de la Commission européenne a désormais de manière indélébile sur les mains.
"
Jean-Lin LACAPELLE,2023-10-03,FR,"Recent developments in the Serbia-Kosovo dialogue, including the situation in the northern municipalities in Kosovo (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-439-0000_FR.html,"  Jean-Lin Lacapelle,  au nom du groupe ID. – Monsieur le Président, s’il y a des responsabilités particulières dans le conflit entre la Serbie et le Kosovo, ce sont bien celles à la fois de l’Union européenne et du soi-disant gouvernement du Kosovo-et-Métochie, objet de toutes vos bienveillances. En effet, au printemps dernier, le gouvernement albanais, dirigé par votre protégé Albin Kurti, a décidé par une de ces provocations dont il est coutumier, de nommer des maires albanais à la tête de plusieurs mairies serbes du Kosovo. Cette décision n’avait qu’un but, marginaliser la population serbe du Kosovo, pourtant la plus légitime sur ce territoire qui est, je le rappelle, son berceau historique.
Face à cette atteinte inadmissible à leurs droits qui s’est accompagnée d’une exécution brutale par la police kosovare, les Serbes du Kosovo ont été contraints de se défendre. Je tiens plus que jamais à apporter tout mon soutien à la population serbe du Kosovo et à assurer le peuple serbe de mon amitié indéfectible. 
C’est le soi-disant gouvernement du Kosovo et son premier ministre qui doivent être clairement condamnés et sanctionnés. Mais ce dernier ayant déclaré récemment qu’il n’y a pas d’alternative à l’Union européenne peut se permettre en retour les pires turpitudes. C’est ainsi que plus de 300 agressions, dont certaines particulièrement graves, comme lors du Noël orthodoxe, ont été recensées depuis 2021 à l’encontre de la population serbe. Aucune n’a fait l’objet d’une enquête internationale. Et l’incident du 24 septembre, même si nous le déplorons, ne les efface pas.
L’Union européenne, qui commençait à ouvrir les yeux sur les agissements des autorités kosovares, s’empresse de saisir ce prétexte pour les refermer. Y aurait-il au Kosovo des citoyens de seconde zone? Et c’est ce même Kosovo que vous voulez intégrer dans l’Union européenne… Pour nous, il n’est pas question d’intégrer ce prétendu État qui n’est pas une nation et que plusieurs pays au sein de notre Union ne reconnaissent même pas. 
"
Jean-Lin LACAPELLE,2023-09-12,FR,Single market emergency instrument (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-170-0000_FR.html,"  Jean-Lin Lacapelle (ID).   – Madame la Présidente, chers collègues, la marche de l’Union européenne vers le fédéralisme se poursuit et elle profite des crises pour se doter de nouveaux pouvoirs. D’ailleurs, tout est prétexte pour s’accaparer les pleins pouvoirs. Ces pouvoirs, qui n’ont jamais été prévus par les traités, sont évidemment inquiétants, car les eurocrates risquent de ne pas hésiter à déclarer que leurs adversaires politiques représentent une menace à combattre. Mais ils ne sont pas non plus rassurants dans les situations de crise objective. La pandémie de coronavirus a montré l’inefficacité de l’Union européenne. La Commission européenne a agi dans l’opacité la plus totale en tenant secrets les contrats des vaccins. Elle a agi avec incompétence dans les négociations, et avec brutalité en interdisant des négociations pays par pays.
Et aujourd’hui, elle veut répéter ce résultat calamiteux dans tous les domaines. Mais le marché unique, c’est aussi la circulation des personnes. Rappelons-nous le refus idéologique de l’Union européenne de fermer les frontières, car «le virus n’a pas de passeport», avant d’imposer un passe sanitaire pour le moindre déplacement. Alors soyons conscients qu’en cas de nouvelle crise migratoire, avec ce texte, l’Union européenne prendra tous les pouvoirs. Nous ne pouvons accepter un risque aussi exorbitant. En période de crise, seules les nations sont le refuge des citoyens.
"
