MP,Date,Language,Title,Url,Content
Jean-Paul GARRAUD,2023-12-11,FR,Order of business,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-11-INT-1-042-0000_FR.html,"  Jean-Paul Garraud,  au nom du groupe ID. – Madame la Présidente, il y a un an, notre Parlement a été éclaboussé par le scandale du «Qatargate». Au nom de mon groupe, j’avais demandé la création immédiate d’une commission d’enquête, qui m’a été refusée. Alors que l’affaire judiciaire s’enlise, il aurait été pourtant essentiel d’examiner en détail l’influence grandissante des lobbys au sein du Parlement.
Autre grand scandale, le «Pfizergate», qui vient d’être relancé par la Médiatrice européenne en personne, qui reproche aux médias de ne pas en parler et qui ne comprend pas pourquoi nous ne demandons pas des comptes à la Commission et à sa présidente sur la teneur de ses échanges avec le PDG de Pfizer à propos de la négociation pour le moins obscure des colossaux contrats concernant les vaccins.
La Médiatrice demande de la transparence, et la Commission n’en a que faire. Et nous, nous ne demandons rien. Au lieu de faire la morale à la Terre entière, commençons par balayer devant notre porte. C’est une question fondamentale d’intégrité et de crédibilité de notre institution. Cela mérite pour le moins un large débat, que je vous demande de rajouter à cette dernière session plénière de 2023.
"
Jean-Paul GARRAUD,2023-12-11,FR,The European Elections 2024 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-11-INT-1-066-0000_FR.html,"  Jean-Paul Garraud,  au nom du groupe ID. – Madame la Présidente, les élections européennes approchant, certains en profitent pour faire avancer leur agenda européiste. Ce rapport est un énième texte souhaitant octroyer plus de pouvoirs à l’Union européenne et réduire l’influence des États membres, si ce n’est les dominer. La faible participation aux scrutins précédents devrait pourtant constituer un signal d’alerte. Nos concitoyens se rendraient plus facilement aux urnes s’ils sentaient que l’Union européenne est proche de leurs préoccupations. Pour eux, l’Union européenne incarne au contraire la source ou une grande partie de leurs problèmes. Et ce n’est pas la dernière campagne de communication de la Commission européenne qui devrait réconcilier les Européens avec nos institutions. D’un coût de 18 millions d’euros, la campagne «L’Europe, c’est toi» est non seulement difficilement compréhensible, mais, surtout, elle continue d’être diffusée sur le territoire français après le 1ᵉʳ décembre 2023, jour de l’ouverture de la campagne électorale en France. Elle contrevient ainsi à l’article L52-1, alinéa 2, du code électoral français, lequel dispose que, «à compter du premier jour du sixième mois précédant le mois au cours duquel il doit être procédé à des élections générales, aucune campagne de promotion publicitaire des réalisations ou de la gestion d’une collectivité ne peut être organisée sur le territoire des collectivités intéressées par le scrutin». Or, ces affiches renvoient vers un site internet officiel, qui lui-même renvoie vers différentes pages du site de la Commission au sujet des réalisations de l’Union européenne – on retrouve ainsi le pacte vert ou REPowerEU, pour ne citer qu’elles –, lesquelles affichent clairement un certain parti pris politique. Il en va de même de la participation de la présidente de la Commission européenne, le 7 octobre 2023, au campus européen de rentrée du parti présidentiel français Renaissance. Alors que la question des élections européennes de 2024 était au cœur de cet événement, sa présence a évidemment marqué un soutien direct à la liste qui soutiendra le parti Renaissance le 9 juin prochain. La neutralité que sa fonction impose s’en trouve donc lourdement entachée.
Ce rapport intervient dans un contexte d’hypocrisie générale, où la Commission européenne elle-même contrevient aux règles de déontologie et aux règles électorales. Ce texte ne permettra en rien d’augmenter la participation aux élections: il aggravera la situation. La volonté d’instituer un supra-État européen amplifiera la déconnexion entre les technocrates et le peuple. Depuis 2010, les Français sont près de 70 % à se méfier de l’Union européenne: voulez-vous continuer à creuser le fossé? Votre projet consiste à dissoudre les États en exposant nos concitoyens à de nombreux dangers: nous voulons les défendre et les protéger. Face à cet ensemble européen sans âme que vous façonnez, nous continuerons d’incarner une Europe des nations fière et souveraine.
"
Jean-Paul GARRAUD,2023-11-22,FR,Threat to rule of law as a consequence of the governmental agreement in Spain (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-190-0000_FR.html,"  Jean-Paul Garraud,  au nom du groupe ID. – Monsieur le Président, ce n’est pas dans nos habitudes de nous immiscer dans les affaires internes d’un autre État. Mais comme tout principe comporte des exceptions, le risque plausible d’une dislocation du territoire national espagnol retient évidemment toute notre attention. En difficulté pour obtenir une majorité au Parlement espagnol, le Premier ministre a préféré des alliances contre nature afin de conserver son poste et son gouvernement. Triste réalité d’un reniement qui est en voie de très mal tourner. La promesse d’une loi d’amnistie pour les séparatistes catalans a mis le feu aux poudres car elle contient de nombreuses dispositions favorables à une véritable sécession et elle contreviendrait également à une notion souvent mise en avant ici: celle de l’état de droit.
En effet, la Commission, toujours prompte à clouer au pilori la Hongrie et la Pologne pour non-respect de cet état de droit, est encore silencieuse lorsqu’un gouvernement socialiste s’apprête à contourner le pouvoir judiciaire par pur intérêt politique. Ces manœuvres du Premier ministre espagnol ont provoqué des manifestations de grande ampleur qui occupent l’espace public depuis des semaines. Un véritable mouvement de fond existe dans la population. Par cette colère légitime et salutaire, le peuple espagnol exprime son attachement à son pays et à son identité nationale.
Les différentes cultures locales et régionales, en Espagne comme en France, peuvent coexister sereinement dans le cadre national. Il faut donc défendre nos nations et leur intégrité et gagner le combat face aux déconstructeurs en tous genres, dont certains siègent d’ailleurs au sein même des institutions européennes. Dans l’intérêt de l’Espagne et de son unité, il faut espérer que si cette loi a été votée, le Tribunal constitutionnel garde la tête froide en invalidant le texte et que le roi tienne bon face aux pressions des socialistes et des séparatistes.
"
Jean-Paul GARRAUD,2023-11-08,FR,EU enlargement policy 2023 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-08-INT-1-144-0000_FR.html,"  Jean-Paul Garraud,  au nom du groupe ID. – Madame la Présidente, «l’Occident, voulez-vous reprendre le combat entre la Croix et le Croissant?», c’est en ces termes extrêmement graves et provocateurs que s’est exprimé récemment le président turc Erdogan, menaçant ainsi toute l’Europe. Fidèle soutien par ailleurs de l’organisation terroriste du Hamas, il en reçoit certains cadres en ce moment même. Le message du sultan ottoman est donc clair. Mais l’Union européenne en a-t-elle vraiment pris conscience? 
Aujourd’hui encore, le processus d’adhésion de la Turquie à nos institutions est certes à l’arrêt, mais toujours maintenu. Monsieur Erdogan n’a jamais caché son mépris pour ce que nous représentons, alors que son pays a accepté sans réserve les vingt milliards d’euros de fonds de préadhésion que Bruxelles lui a versés depuis 1996. Monsieur Erdogan vient de déclarer que soutenir le Hamas est la chose la plus naturelle du monde. De telles déclarations sont inacceptables. Il faut mettre un terme immédiat et définitif à l’entrée de la Turquie dans l’Union européenne. On ne peut financer un pays qui cautionne ceux qui veulent nous détruire, ceux qui commettent des horreurs innommables, ceux qui soutiennent l’islamisme.
Il est donc absolument inenvisageable, Monsieur le Commissaire, d’intégrer la Turquie dans l’Union européenne. C’est une évidence absolue. La volonté d’expansion toujours plus folle de l’Union se heurte aux réalités. L’utopie de l’idéologie mondialiste est confrontée à la terreur de ceux qui nous sont hostiles. Tout élargissement est à proscrire. Il doit en être de même avec la Bosnie, l’Albanie, pays gangrenés par les mafias, les trafics et l’islamisme. C’est une question de sécurité et de protection de nos peuples.
"
Jean-Paul GARRAUD,2023-10-17,FR,General budget of the European Union for the financial year 2024 - all sections (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-170-0000_FR.html,"  Jean-Paul Garraud (ID).   – Monsieur le Président, alors qu’Israël, la France et la Belgique viennent de subir des attaques terroristes islamistes d’une violence inouïe, alors que nous alertons depuis le début de notre mandat, en 2019, sur les dangers et les ravages de l’islamisme, je souhaite ici crier notre indignation quant au financement que l’université islamique de Gaza – c’est-à-dire le campus du Hamas – a reçu de la Commission européenne. Plus de 1,8 million d’euros a été vers é depuis 2014 par l’Union européenne à cette université fondée par les Frères musulmans, et où a notamment étudié le cerveau des attentats du 7 octobre.
Je laisse aux députés d’extrême gauche et de gauche et à ceux, amis de Monsieur Macron, le soin de s’expliquer sur ce soutien qu’ils ont accordé à cette structure antisémite. Je leur laisse aussi le soin d’expliquer aux citoyens européens et à mes compatriotes français pourquoi, le 12 juillet dernier, eux-mêmes se sont opposés à nos amendements, affirmant qu’Israël avait le droit de se défendre contre le terrorisme et demandant d’empêcher que les financements de l’Union soient détournés au profit d’organisations terroristes.
Une fois de plus, nous avions raison avant tout le monde. Il est vraiment urgent de changer radicalement de politique.
"
Jean-Paul GARRAUD,2023-10-17,FR,Commission Work Programme 2024 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-229-0000_FR.html,"  Jean-Paul Garraud,  au nom du groupe ID. – Madame la Présidente, à l’heure où Israël, la France et la Belgique viennent de subir des attaques terroristes islamistes de grande ampleur, à l’heure où des risques majeurs de voir ces attaques se reproduire existent, le premier devoir de nos institutions devrait être consacré à combattre, par tous les moyens, cette idéologie islamiste, nazisme du xxiᵉ siècle. 
Alors, commencez par cesser tout financement aux associations et aux organismes en lien avec les fous d’Allah, comme par exemple l’université de Gaza, véritable campus du Hamas, qui a reçu depuis 2014 plus de 1,8 million d’euros de votre part. Arrêtez de recevoir ici même des individus qui prônent la supériorité de la charia sur toutes les lois de nos démocraties, et qui, pour certains, sont passés par Guantanamo. Arrêtez d’organiser et de financer des campagnes de communication promouvant le hidjab, dont les femmes iraniennes, musulmanes, tentent de se débarrasser en ce moment même au péril de leur vie. Arrêtez de favoriser une immigration de masse, incontrôlée, dont on sait bien qu’elle entraîne insécurité, délinquance et même terrorisme. 
Renforcez nos frontières extérieures, financez les murs demandés par une dizaine de nos États, renforcez Frontex pour en faire de véritables gardes-frontières et ainsi mettre un terme à tout ce trafic d’êtres humains, dont sont victimes des centaines de milliers de personnes. Supprimez toutes ces pompes aspirantes de l’immigration, qui provoquent des drames en série et qui condamnent à court terme l’Europe. Créez enfin une commission spéciale chargée de la lutte contre le terrorisme, que je réclame en vain depuis le début de mon mandat, en 2019. 
Voilà quelques pistes de travail que vous devriez suivre dès à présent. Ce sont, à mon sens, des urgences absolues. 
"
Jean-Paul GARRAUD,2023-10-16,FR,Order of business,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-16-INT-1-052-0000_FR.html,"  Jean-Paul Garraud (ID).   – Madame la Présidente, la France a été, une nouvelle fois, touchée au cœur par cet attentat perpétré vendredi dernier, pratiquement trois ans jour pour jour après l’horrible assassinat et la décapitation de Samuel Paty.
Nous nous associons bien entendu aux messages de douleur – que nous avons ressentie profondément – aux familles et à toutes les victimes. Nous avons aussi – effectivement – proposé une modification du titre de ce débat pour que le terme «islamisme» soit nettement indiqué. Pour que la protection de nos concitoyens européens, et français en particulier, soit mise en place contre cet islamisme. Il faut le nommer et, ici même – c’est un grand progrès, je dirais –, que, enfin, ce mot soit prononcé. Islamisme. La lutte contre l’idéologie islamiste. J’espère, y compris à l’extrême gauche, que l’on sera d’accord avec cela. J’aimerais l’entendre de l’autre côté de l’hémicycle.
Le souci de protection, le souci de lutte contre l’islamisme sont fondamentaux. Nous avons simplement rajouté un mot, qui est celui d’expulsion. «L’expulsion de tous les étrangers islamistes connus». Nous sommes prêts à nous rallier à la proposition initiale, dans un souci de compromis, pour avoir enfin… (la Présidente retire la parole à l’orateur)
"
Jean-Paul GARRAUD,2023-10-05,FR,Schengen Borders Code (A9-0280/2023 - Sylvie Guillaume)  (vote),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-05-INT-4-122-0000_FR.html,"  Jean-Paul Garraud (ID).   – Monsieur le Président, alors que la submersion migratoire de l’Union européenne s’amplifie dans des proportions jamais connues jusqu’à présent, alors que plus d’une dizaine d’États membres de l’Union européenne réclament des financements pour protéger leurs territoires et leurs peuples contre ce qu’il convient d’appeler une invasion organisée, ce Parlement se prépare à faire tout l’inverse en rendant quasi impossible tout contrôle aux frontières intérieures des États membres de l’espace Schengen.
Selon la même procédure et la même volonté que celles utilisées pour le pacte sur la migration et l’asile, qui accentuera l’arrivée de millions de migrants, notre Parlement s’apprête donc à négocier le plus rapidement et le plus discrètement possible la réforme du code Schengen.
Le plus rapidement possible, pour qu’elle soit adoptée avant les élections européennes de 2024 et l’arrivée probable d’une nouvelle majorité qui bloquera ce texte. Le plus discrètement possible, c’est-à-dire sans vote et sans débat public immédiat dans l’hémicycle, afin d’éviter que nos concitoyens ne découvrent la disparition presque totale des frontières nationales qui se prépare ici, et ce, en l’absence même de frontières européennes extérieures solides, promises pourtant dès la création de l’espace Schengen.
Car la Commission européenne refuse toujours de financer des barrières physiques à ses frontières, rejetant par là même les appels à l’aide d’une dizaine d’États de l’Union. La Commission est cependant beaucoup plus rapide pour instituer une répartition des clandestins dans nos États, avec de lourdes pénalités en cas de refus. Les frontières extérieures sont pourtant la plus belle démonstration de solidarité avec des pays comme l’Italie ou la Grèce, en première ligne, et sont la condition première de l’existence de l’espace Schengen.
La politique que vous voulez mettre en œuvre, nos peuples, majoritairement, n’en veulent pas. Vous voulez imposer encore une fois une politique contre le peuple. C’est la négation même de la démocratie et le début de l’autoritarisme. Vous ne pouvez refuser un débat et un vote sur un sujet qui engage l’avenir de l’Europe, de nos peuples et de notre civilisation. C’est pourquoi je vous engage à soutenir l’objection que je présente au nom des groupes ID et ECR et donc de voter contre l’entrée en trilogue. 
"
Jean-Paul GARRAUD,2023-10-04,FR,The spread of ‘anti-LGBTIQ’ propaganda bills by populist parties and governments in Europe (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-401-0000_FR.html,"  Jean-Paul Garraud (ID).   – Monsieur le Président, le titre de ce débat est tellement caricatural qu'il en est stupide. La réponse pour nous en France est simple. Nous sommes totalement opposés à toute discrimination et notre législation prévoit des pénalités pour ceux qui y contreviendraient. Le débat est donc clos. Le reste relève du fantasme idéologique de députés macronistes qui font passer leurs choix personnels avant la défense de l'intérêt général. 
Mais ce débat a néanmoins le mérite de permettre de traiter de sujets proches comme celui auquel je pense, celui de la gestation pour autrui, cette marchandisation du corps humain réclamé par certains lobbies. Il est fort regrettable que notre Parlement se soit engagé dans cette voie au mépris de nombreuses législations d'États membres qui l'interdisent. La pratique qui consiste à se servir de mères porteuses pour ensuite leur acheter leurs bébés est ignoble. Elle est aussi contraire à tous nos principes les plus élémentaires, comme celui en droit français de l'indisponibilité du corps humain. 
Cette forme d'esclavagisme moderne connaît ici même deux expressions que j'ai déjà dénoncées. La première est la création, par la direction générale du personnel, d'un congé spécial pour accueillir un nouveau-né au sein du foyer, y compris pour ceux nés de GPA. La seconde est une proposition de législation intitulée «Certificat européen de parentalité». Ce certificat vise en réalité à légaliser d'une façon détournée la GPA au sein de l'Union européenne. 
Le président Macron se dit contre la GPA, mais les eurodéputés de son camp soutiennent ces certificats, maniant ainsi le double discours permanent. Quant à nous, nous ne faiblirons pas sur la défense de l'intégrité du corps humain et des droits des enfants et nous ne céderons à aucun lobby. L'intérêt général d'abord.
(L'orateur accepte de répondre à une question «carton bleu»)
"
Jean-Paul GARRAUD,2023-10-04,FR,The spread of ‘anti-LGBTIQ’ propaganda bills by populist parties and governments in Europe (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-403-0000_FR.html,"  Jean-Paul Garraud (ID),  réponse ""carton bleu"". – J'ai dit et je dis à nouveau qu'il n'y a aucun problème en ce qui concerne toute discrimination, de quelque nature qu'elle soit. Donc, je le répète, c'est la loi, et il n'y a rien à ajouter à cela. J'ai traité surtout de mon sujet de la gestation pour autrui et la gestation pour autrui c'est tout à fait autre chose que ce que vous indiquez, Monsieur. Donc la gestation pour autrui, il n'en est pas question, d'une façon ou d'une autre. Voilà la réponse.
"
