MP,Date,Language,Title,Url,Content
Jens GEIER,2023-12-12,DE,Framework for ensuring a secure and sustainable supply of critical raw materials (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-022-0000_DE.html,"  Jens Geier (S&D).   – Herr Präsident, verehrter Herr Kommissar Breton, liebe Kolleginnen und Kollegen! Windkraftanlagen, E-Autos, Mobiltelefone, Computer, Raumfahrt – für die meisten Produkte der Zukunft ist die europäische Produktion auf Rohstoffe angewiesen, die importiert werden müssen. Denn wir werden wahrscheinlich nicht dauernd die Erfolge sehen, wie wir sie Anfang des Jahres hatten, als in Schweden das bisher größte europäische Vorkommen von seltenen Erden entdeckt worden ist. Prospektion muss also weiter erfolgen. Deswegen ist es gut, dass die Genehmigungsfristen herabgesetzt worden sind, aber Bergbau ist natürlich nicht nachhaltig, es wächst ja nichts nach.
Froh bin ich als Sozialdemokrat über festgelegte hohe Arbeitsschutz— und Umweltstandards in diesem Bereich. Aber Recycling ist nachhaltig. Ziel muss es sein, dass 25 Prozent des europäischen Bedarfs auf diese Weise gewonnen werden. Ich bin froh, aus einer Region in Deutschland zu kommen, aus Nordrhein-Westfalen, wo das technologisch und vom Unternehmensbesatz her schon sehr vorbildlich passiert.
Forschen an Substitutionsprodukten muss auch möglich sein. Wäre es nicht großartig, Lithium durch Natrium zu ersetzen? Das alles kann die europäische Abhängigkeit abbauen. Je unabhängiger Europa wird, umso mehr schränken wir die Macht von Diktatoren, Autokraten und Warlords ein, und das wäre eine gute Nachricht für die Welt.
"
Jens GEIER,2023-05-09,DE,"This is Europe - Debate with the Chancellor of Germany, Olaf Scholz (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-09-INT-2-081-0000_DE.html,"  Jens Geier (S&D).   – Frau Präsidentin, verehrte Mitglieder der Kommission, liebe Kolleginnen und Kollegen! Jetzt kommt ein bisschen eine andere Tonspur hier rein. Willkommen im Europäischen Parlament im Namen deiner SPD-Abgeordneten, lieber Olaf, lieber Bundeskanzler! 
Ja, Herr Weber, so hört sich das an, wenn Deutschland einen Bundeskanzler hat, der Ideen hat zur Europäischen Union. Ich will Ihnen noch einmal in Erinnerung rufen, dass wir leider nie die Gelegenheit hatten, uns mit europapolitischen Grundpositionen von Frau Merkel zu beschäftigen. Und das persönliche Schweigen, das peinliche Schweigen von Frau Merkel zu Präsident Macrons Sorbonne-Rede führte dem ganzen Kontinent vor, was das schöne deutsche Wort von der „dröhnenden Stille“ wirklich bedeutet. 
Aber Bundeskanzler Scholz hat vorgeschlagen, über die Zukunft zu reden, und das will ich auch gerne tun. Die Reste der Einstimmigkeit im Rat stellen ja tatsächlich ein wesentliches, retardierendes Element dar. Viele denken dabei an die Außenpolitik, aber ich will auf die Steuern hinweisen: Wie viele Probleme könnten wir denn lösen, wenn wir ein europäisches Steuerpaket für Energie schnüren könnten, hinsichtlich Energiekosten für die Menschen und auch für die europäische Industrie im Wandel zur Klimaneutralität? 
"
Jens GEIER,2023-05-08,DE,Methane emissions reduction in the energy sector (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-08-INT-1-042-0000_DE.html,"  Jens Geier,  im Namen der S&D-Fraktion. – Herr Präsident, sehr geehrte Frau Kommissarin Simson, liebe Kolleginnen und Kollegen! Ich bin glücklich darüber, dass fünf Fraktionen den morgen vorliegenden Vorschlag unterstützen. 
Ich glaube, dass dieser Vorschlag das auch verdient; denn diese breite Unterstützung ist möglich geworden, weil dieser Vorschlag zweierlei erreicht: Es ist ein ambitionierter Angang, um die Emission eines Gases mit erheblichem Potenzial zur Gefährdung des Klimas zurückzudrängen, und es ist dabei gelungen, Arbeitsplätze und wirtschaftliche Aktivitäten nicht zu gefährden. 
Ich will das am Beispiel des polnischen Bergbaus deutlich machen, wie das auch die Kollegin Spyraki gerade getan hat. Es gibt zwei Leitplanken, die diesem Vorschlag zugrunde liegen: Die eine war, den bereits existierenden Plan in Polen zur Ausphasung des Bergbaus nicht zu gefährden. Die soziale Sicherheit für die polnischen Bergleute und die Verhinderung eines sozialen Bruchs, vor allen Dingen in den Revieren in Schlesien, waren meiner Fraktion, der sozialdemokratischen Fraktion, ganz besonders wichtig, um gleichzeitig den sozialen Konsens für den Klimaschutz in diesem wichtigen Mitgliedstaat auch nicht aufs Spiel zu setzen. Im Rahmen dieses Plans ist eine Reduzierung der Methanemissionen aus den aktiven Schachtanlagen dort auch zu erreichen. 
Ja, ich bin ein wenig stolz, dass ich diesen Vorschlag einbringen konnte und dafür die Unterstützung der anderen Schattenberichterstatterinnen und —berichterstatter und der Berichterstatter selbst natürlich auch bekommen habe.
Liebe Kolleginnen und Kollegen, die sozialdemokratische Fraktion unterstützt den Vorschlag zur Methanverordnung, und wir werden ihm morgen zustimmen.
"
Jens GEIER,2023-02-15,DE,One year of Russia’s invasion and war of aggression against Ukraine (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-02-15-INT-3-046-0000_DE.html,"  Jens Geier (S&D).   – Herr Präsident, verehrter Herr Hoher Beauftragter, verehrte Frau Präsidentin, verehrte Kolleginnen und Kollegen! In wenigen Tagen – viele Kolleginnen und Kollegen haben es gesagt – jährt sich der verbrecherische Angriff Russlands auf die Ukraine zum ersten Mal, und ich kann mich nur in Achtung verneigen vor der Tapferkeit und dem Freiheitswillen des ukrainischen Volkes. Slawa Ukrajini!
Es ist die Aufgabe der EU – Josep Borrell hat es gesagt –, diesen Freiheitswillen zu stärken, indem wir der Ukraine die Mittel geben, die sie brauchen: finanzielle Mittel, humanitäre Hilfe, militärische Hilfe. Mir ist wichtig, alle diese Dinge zu betonen, denn sie gehören zusammen. Und vor diesem Hintergrund frage ich mich schon, welche Funktion die zahlreichen Aufforderungen zu Waffenlieferungen an Deutschland hatten und auch noch haben – viele davon in diesem Plenum.
Nachdem die Voraussetzungen geschaffen worden sind, nämlich ein gemeinsames Vorgehen der NATO-Verbündeten, liefert Deutschland Leopard-2-Panzer im Dutzend und Leopard‑1‑Panzer in den Hunderten. Und wo sind die Verbündeten? Nach den Zusagen der Verbündeten – der sogenannten Panzerkoalition – befragt, sagt der deutsche Verteidigungsminister: Das ist nicht so berauschend. Und damit wir uns nicht missverstehen: Im Deutschen ist das ein ironischer Ausdruck dafür, dass die Zusagen bisher ausgesprochen übersichtlich sind. 
Polen, Norwegen und Portugal helfen, aber da geht noch viel mehr. Denn die Unterstützung für die Ukraine muss eine gemeinsame Aufgabe sein. Und wenn Deutschland dies entsprechend seiner Möglichkeiten tut, dann sollten die Verbündeten aufhören, sich dahinter zu verstecken.
"
Jens GEIER,2022-12-14,DE,Preparation of the European Council meeting of 15 December 2022 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-12-14-INT-3-029-0000_DE.html,"  Jens Geier (S&D).   – Herr Präsident, Frau Vizepräsidentin, sehr geehrter Herr Minister Bek, verehrte Kolleginnen und Kollegen! Herr Minister Bek, Sie haben uns die Tagesordnung des kommenden Europäischen Rates vorgetragen. Dafür bedanke ich mich ganz herzlich. Es ist gut, dass der Rat alle diese drängenden Probleme anfassen will. Das ist natürlich richtig. Aber wie? Und das hätte ich gern von Ihnen gehört: Wie beurteilen Sie denn die Perspektiven, dass Sie sich auch einigen?
Frau Präsidentin von der Leyen oder in Vertretung Frau Vizepräsidentin, ich möchte ausdrücklich Ihre Vorschläge hinsichtlich einer Überarbeitung der Regeln für die Staatsbeihilfen unterstützen. Wir befinden uns ja tatsächlich in einer Phase der grundlegenden Transformation unserer Industriegesellschaften. Sie findet einerseits unter den Bedingungen von weltweitem Wettbewerb statt und andererseits unter den Bedingungen des russischen Angriffskriegs. Bei mir zu Hause im Ruhrgebiet würden wir es so beschreiben: Wir müssen der Lokomotive in voller Fahrt die Räder wechseln. Das richtige Werkzeug dafür ist nicht eines, das nur geeignet ist, Monopole im europäischen Binnenmarkt zu verhindern.
Ich unterstütze auch den Vorschlag eines Souveränitätsfonds. Wer in diesem Haus im Haushaltsausschuss sitzt, weiß, dass der EU-Haushalt gerade mal doppelt so groß ist wie der von Nordrhein-Westfalen und nicht einmal halb so groß ist wie der Haushalt der Bundesrepublik Deutschland. Deswegen brauchen wir ein neues Instrument wie den Souveränitätsfonds: Wenn die europäische Lokomotive neue Räder braucht, dann müssen wir sie auch kaufen können.
"
Jens GEIER,2022-12-13,DE,"Renewable Energy, Energy Performance of Buildings and Energy Efficiency Directives: amendments (REPowerEU) (continuation of debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2022-12-13-INT-2-051-0000_DE.html,"  Jens Geier (S&D).   – Frau Präsidentin, sehr geehrter Herr Vizepräsident, lieber Frans, liebe Kolleginnen und Kollegen! Herr Timmermans, Sie haben in Ihrer Eröffnung völlig richtig gesagt, dass es keine preiswertere Energie als die Erneuerbaren gibt. Tatsächlich, und das ist hier vielfach ausgeführt worden, sind sie die Antwort auf die Preiskrise, die Russland durch seinen Krieg ausgelöst hat – wenn wir sie nur hätten. Erneuerbare plus Wasserstoff als Speichermedium brauchen wir, und das so schnell wie möglich. Daher ist es richtig, wenn wir dafür sorgen, dass die Genehmigungsverfahren beschleunigt werden, ohne den Naturschutz dabei komplett zu beseitigen.
Und dann kommt die christdemokratische Fraktion. Sie reißen nicht nur die Schranken des Naturschutzes komplett nieder – den Sie ja nie so richtig gemocht haben –, Sie wollen auch die bereits im Spätsommer erreichten Beschlüsse durchs Hintertürchen wieder infrage stellen, die Sie ja eigentlich auch nicht mögen. 
Noch einmal: Wir brauchen ambitionierte Beschlüsse und Beschleunigung, nicht die endlose Wiederholung von Debatten, die schon entschieden sind.
"
Jens GEIER,2022-11-23,DE,A truly interconnected Energy Single Market to keep bills down and companies competitive (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-11-23-INT-3-145-0000_DE.html,"  Jens Geier (S&D).   – Frau Präsidentin, Frau Kommissarin, Herr Minister Bek, verehrte Kolleginnen und Kollegen! Seit Russland die Energieversorgung als Waffe einsetzt, stellt sich eine Frage neu: Wie funktioniert die Energieversorgung vor allem mit Erdgas für die wenigen Jahre, bis ausreichend erneuerbare Energie zur Verfügung stehen wird? 
Ja, es wird kurzfristig zusätzliche Gasinfrastruktur geben müssen, und unerledigte Aufgaben fallen uns in der EU jetzt vor die Füße. Kommissarin Simson, Sie haben auf eine Reihe neu entstandener Interkonnektoren hingewiesen, und Sie haben ganz leise hinzugefügt, dass Mitgliedstaaten jetzt die Abschottung ihrer Energiemärkte aufgeben.
Das ist gut so, und das war lange überfällig, denn jetzt sind die Aufgaben größer und drängender als der Schutz der eigenen Märkte. Die Mitgliedstaaten müssen sich gegenseitig versorgen und unterstützen können, wenn es zu Energieengpässen kommen sollte. Aber wichtig ist, dass die neue Gasinfrastruktur, die entsteht, bereit sein muss für den Transport von Wasserstoff, denn sonst werden diese Investitionen in wenigen Jahren obsolet sein. Daher sollte es nur dann öffentliche Mittel geben, wenn die neue Infrastruktur auch für Wasserstoff geeignet ist.
"
Jens GEIER,2022-10-19,DE,Preparation of the European Council meeting of 20-21 October 2022 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-10-19-INT-3-048-0000_DE.html,"  Jens Geier (S&D).   – Frau Präsidentin, Herr Vizepräsident, Herr Minister! Let's bring the bills down. Lasst uns die Rechnungen runterbringen. Das sollte die Überschrift über der kommenden Ratstagung sein. Was hilft dabei? Maßnahmen zur Preissenkung und zur Eindämmung der Spekulation.
Ja, alternative Benchmarks sind ein Anfang, aber allein wohl kaum geeignet, nachhaltige Preissenkungen zu erreichen. Wir brauchen die Entkopplung der Preise von Gas und Strom, mindestens solange die Versorgungskrise anhält. Wir brauchen Preisgrenzen – ja natürlich – für Mindestkontingente von Energie. Das verbindet Verlässlichkeit für Verbraucherinnen und Verbraucher, Betriebe und energieintensive Industrien mit Sparanreizen. Wir brauchen die Finanzierung durch abgeschöpfte Zufallsgewinne. Damit kann der Schutz der Verwundbarsten erreicht werden.
Diese Gruppen brauchen die Sicherheit, dass sie im Verlauf der Energieversorgungskrise nicht von Gas und Strom abgetrennt werden. Es ist ein Baustein europäischer Solidarität, das SURE-Instrument über den Dezember 2022 fortzusetzen und die Resilienz der europäischen Arbeitslosenversicherung zu verlängern. Gemeinsame Beschaffung und der Ausbau der Infrastruktur, die Lückenschlüsse, die H2-ready sein sollten – das sollen die Antworten sein.
"
Jens GEIER,2022-09-14,DE,State of the Union (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-09-14-INT-3-072-0000_DE.html,"  Jens Geier (S&D).   – Frau Präsidentin, Frau von der Leyen! Ich bedanke mich für Ihre Vorschläge gegen die Energiepreiskrise. Die Preise zu deckeln, die Übergewinne abzuschöpfen – das ist alles richtig. Den Strompreis wenigstens vorübergehend vom Gaspreis zu trennen, auch das halte ich für eine ausgesprochen gute Idee. Und wer weiß, vielleicht fällt uns ja etwas ein, was auch in Friedenszeiten besser funktioniert. Und das Wichtigste ist der Gaspreisdeckel. Da hören wir leider bisher nur, was nicht geht und dass an neuen Vorschlägen gearbeitet wird. Das muss aber hoffentlich schnell gehen.
Frau von der Leyen, ich finde, wenn Sie über die Lage der EU sprechen, können Sie über die Lage der Rechtsstaatlichkeit und Demokratie in der EU nicht schweigen. Diese Leerstelle in Ihrer Rede darf nicht bedeuten, dass das Thema von der Tagesordnung verschwindet. Denn wenn die EU zerfallen sollte, dann deswegen.
"
Jens GEIER,2022-09-13,DE,EU response to the increase in energy prices in Europe (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-09-13-INT-2-310-0000_DE.html,"  Jens Geier (S&D).   – Frau Präsidentin! Wir sind als EU nicht im Krieg, aber die europäische Wirtschaft arbeitet unter Bedingungen, die der Krieg bestimmt. Wenn ich mir die Lage auf den Energiemärkten ansehe, dann stimmen wir hier wahrscheinlich ziemlich breit überein, dass hier nichts mehr normal ist.
Die Preise sind so hoch, meine Damen und Herren, dass alle, die einen Ofen haben, sich überlegen müssen, ob sie auf ihre Kosten kommen, wenn sie ihn einschalten. Das gilt von der Bäckerei bis zur Stahlhütte. Es ist richtig, die Übergewinne abzuschöpfen – ich begrüße diesen Vorschlag, Frau Kommissarin – und damit Verbraucherinnen und Verbraucher und Unternehmen zu entlasten. Aber es ist auch richtig, den Strompreis vom Gaspreis zu trennen.
Meine Bitte an die Kommission ist daher: Frau Simson, seien Sie mutig, denken Sie außerhalb der bestehenden Muster, machen Sie Vorschläge, die diesem Kontinent weiterhelfen. Zum Abschluss ein Kommentar zum Kollegen Ehler: Ja, natürlich ist es richtig, kritische Infrastruktur, die uns fehlt, auszubauen, damit wir uns gegenseitig als europäische Staaten helfen können. Das ist mein eigener Vorschlag. Ich habe das an dieser Stelle hier auch selbst vorgeschlagen. Aber es ist keine Alternative zum Eindämmen der Preise und zur Umverteilung. Ich glaube, das ergänzt sich vielmehr.
"
