MP,Date,Language,Title,Url,Content
Jens GIESEKE,2023-11-21,DE,Strengthening the CO2 emission performance targets for new heavy-duty vehicles (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-083-0000_DE.html,"  Jens Gieseke,  im Namen der PPE-Fraktion. – Herr Präsident, Herr Kommissar Hoekstra, liebe Kolleginnen und Kollegen! Busse und Lkw sind aktuell für 6 % der Emissionen in der EU verantwortlich, und wir alle sind in unserem täglichen Leben auf ihre Dienste angewiesen – für die Fahrt zur Arbeit oder für volle Regale im Supermarkt. Einfach verzichten, das kommt nicht in Frage. Und nur gemeinsam schaffen wir es, die Emissionen der Branche zu reduzieren. Dafür müssen alle Optionen auf dem Tisch sein.
Doch anstatt das zu ermöglichen, wollen Grüne und Sozialdemokraten lieber ihre Verbotsideologie vorantreiben. Denn wieder sollen CO2-neutrale Kraftstoffe keine Rolle spielen, wieder soll es künstliche Beschränkungen auf Elektro- und Wasserstoff geben. Wieder keine Offenheit für alle Technologien, lieber verbieten, lieber Bas Eickhout. Und das könnt ihr auch besser – das habt ihr beim Pkw schon gezeigt –, das ist eure Politik.
Aber bei uns – die vielen Jobs, die kleinen und mittelständischen Hersteller von Lkw und Aufliegern scheinen Grünen und Sozialdemokraten völlig egal zu sein – Hersteller, die in ihren Regionen tief verankert sind und gut bezahlte Jobs bieten. Jetzt drohen unrealistische Zielvorgaben – und ehrlich gesagt, auch ruinöse Strafzahlungen. Das ist Politik gegen unsere Industrie und auch gegen unseren Mittelstand, am Ende Politik gegen die Menschen – das dürfen wir nicht akzeptieren. Die heutige Abstimmung ist die letzte Möglichkeit, in dieser Legislatur den Irrweg der Technologiefeindlichkeit zu verlassen.
Und Bas Eickhout hat gesagt: Wir sollten nicht über das Thema E-Fuels reden. Also, lieber Bas Eickhout, es gibt heute drei Optionen von der EVP: Wir haben eine breite Definition zu CO2-neutralen Kraftstoffen, wir haben einen carbon-correction-Faktor mit einem Deckel, und wir haben einen Antrag nur zu E-Fuels. Und ich kann für die EVP sagen: Wenn wir heute endlich einmal dieses Parlament in die richtige Richtung bewegen und einem dieser Anträge zugestimmt wird, dann ist die EVP auch an Bord, und dann können wir die Fehler, die wir in der Vergangenheit gemacht haben, korrigieren. Wir sind bereit als EVP, ich hoffe, die Grünen auch.
"
Jens GIESEKE,2023-11-08,DE,Type-approval of motor vehicles and engines with respect to their emissions and battery durability (Euro 7) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-08-INT-1-215-0000_DE.html,"  Jens Gieseke,  im Namen der PPE-Fraktion. – Sehr geehrter Herr Präsident, Frau Kommissarin Dalli, liebe Kolleginnen und Kollegen! Ich wünsche mir mehr Realismus in dieser Debatte. Wir alle wollen bessere Luftqualität für unsere Bürgerinnen und Bürger, bezahlbare Mobilität für Bürger und Unternehmen und eine wettbewerbsfähige Industrie in der Europäischen Union.
Um in allen Bereichen Fortschritte zu erreichen und niemanden über Gebühr zu belasten, brauchen wir bei der Euro-7-Norm einen gesunden Mittelweg. Diesen haben wir bereits erarbeitet, dieser Vorschlag steht heute hier zur Abstimmung. Er verbessert die Luftqualität. Strengere Grenzwerte werden dazu führen, dass Euro-7-Pkw 60 % weniger Feinstaub ausstoßen und Lkw 60 % weniger Stickoxide im Vergleich zu Euro 6.
Mobilität bleibt bezahlbar. Strenge Grenzwerte und neue Testverfahren bedürfen erheblicher Investitionen, bringen aber einen vergleichsweise geringen Zusatznutzen für die Luftqualität. Wenn wir die bewährten Euro-6-Testverfahren beibehalten und die Grenzwerte nur moderat verschärfen, verhindern wir hohe Investitionen in teure Technologie, die letztlich der Verbraucher zahlt.
Wir sichern die Wettbewerbsfähigkeit der europäischen Industrie. Erst Anfang dieses Jahres wurde in der EU das Verbrenner-Aus ab 2035 beschlossen. Da können wir die Autoindustrie jetzt nicht zwingen, Milliarden in eine Auslauftechnologie zu investieren. Klimaschutz geht nur mit der Industrie, nicht gegen sie. Luftqualität und der Erhalt von Wettbewerbsfähigkeit und Arbeitsplätzen in der EU haben für uns Priorität.
Der vorliegende Vorschlag bringt das notwendige Gleichgewicht. Was fehlt, ist ein Passus zur Technologieneutralität. CO2-neutrale Kraftstoffe helfen dem Klimaschutz. Und mit welchen Mitteln wir Klimaschutz oder bessere Luft im Endeffekt erreichen, darf nicht vorgeschrieben werden.
Wir brauchen den Wettbewerb. Ein Verbot bestimmter Technologie ist nie zielführend. Politiker sind nicht die besseren Ingenieure. Ich habe keine gefunden, auch bei den Grünen nicht, obwohl ich lange gesucht habe. Aus diesem Grund haben wir Änderungen eingebracht, damit der Weiterbetrieb von Verbrennerautos, die klimaneutral mit CO2-neutralen Kraftstoffen betrieben werden, auch nach 2035 noch möglich ist.
Liebe Kolleginnen und Kollegen, wir haben einen guten Kompromiss gefunden. Deshalb mein Appell an alle hier: Bitte unterstützen Sie diesen ausgewogenen Ansatz für bessere Luft, bezahlbare Mobilität und eine global wettbewerbsfähige Industrie.
"
Jens GIESEKE,2023-09-13,DE,SME Relief Package (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-312-0000_DE.html,"  Jens Gieseke,  im Namen der PPE-Fraktion. – Herr Vizepräsident Wieland, Frau Kommissarin Jourová, liebe Kolleginnen und Kollegen, meine Damen und Herren! Die wirtschaftliche Lage in der Industrie und beim Mittelstand ist äußerst angespannt. Krieg in der Ukraine, Inflation, Störungen der internationalen Lieferketten und zahlreiche Naturkatastrophen führen zu Verunsicherung. Wir werden nicht alle Probleme auf einmal lösen, aber wir müssen wieder anfangen, Lösungen anzubieten. Es braucht jetzt einen Neustart für mehr Wettbewerbsfähigkeit in der Europäischen Union. Es ist höchste Zeit, dass die EU-Kommission konkrete Standortpolitik für die EU betreibt. Das gestern vorgestellte Entlastungspaket für den Mittelstand ist nur ein erster Schritt, ein gutes und richtiges Signal.
Wir freuen uns natürlich als EVP, dass unsere langjährigen Rufe nach einem Mittelstandsbeauftragten in der Kommission endlich erfolgreich waren. Diese Position muss nun aber auch zügig besetzt werden. Ebenso positiv und überfällig: Der Wettbewerbstest soll kommen, Verwaltungsverfahren und Berichtspflichten für unsere Unternehmen sollen vereinfacht und die Übergangsfristen für KMU verlängert werden. Wichtig ist aber, dass es nicht bei vagen Ankündigungen bleibt. Wir brauchen konkrete Maßnahmen für den Bürokratieabbau. Und da sehe ich offen gestanden noch eine Krux und ein Vollzugsdefizit, will ich mal sagen. Die letzten vier Jahre dieses Kommissionskollegiums waren von konsequentem Bürokratieaufbau geprägt. Statt one in, one out gilt de facto: drei neue Gesetze rein, eins raus. Es ist die letzte Chance für die Kommission, das nun zu ändern.
Das von der Kommissionspräsidentin angekündigte Ziel, die Berichtspflichten um 25 % zu reduzieren, ist hier auch ein richtiger Schritt, aber wiederum nur die Spitze des Eisbergs. Wenn Ursula von der Leyen es ernst meint, dann müssen wir jetzt one in, one out konsequent umsetzen. Wir brauchen eine echte Kehrtwende, wir brauchen Konkretes statt vager Ankündigungen. Und dazu gehört auch ein Belastungsmoratorium für den Mittelstand, denn die Entlastung kommt erst durch die Umsetzung. Wir werden dann wieder wirtschaftlich erfolgreich sein, wenn wir diese einfachen Prinzipien umsetzen.
"
Jens GIESEKE,2023-07-12,DE,State of the SME Union (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-229-0000_DE.html,"  Jens Gieseke,  im Namen der PPE-Fraktion. – Frau Präsidentin, Herr Kommissar Gentiloni, liebe Kolleginnen und Kollegen, meine Damen und Herren! Es ist mittlerweile einfach nur noch traurig. Theoretisch könnte ich die gleiche Rede aus dem letzten Jahr erneut halten. Geändert hat sich nämlich leider nicht viel. Noch immer gibt es kein Belastungsmoratorium. Auch auf den KMU-Beauftragten warten wir jetzt seit mittlerweile über drei Jahren. One in, one out ist nur eine ferne Utopie. Stattdessen nähern wir uns dem Status „Mindestens drei neue Gesetzesvorschläge rein und eines raus“.
Diese Bürokratie und diese Regeln nehmen dem Mittelstand die Luft zum Atmen. Das geht so nicht. Gut, dass wir als Europäisches Parlament unseren Forderungen mit einer Entschließung in dieser Woche noch einmal Nachdruck verleihen, dieser und der nächsten Kommission noch einmal einen Aufgabenzettel an die Hand geben. Weiter kann es so nämlich nicht gehen.
Wenn unsere Forderungen weiterhin ignoriert werden, sehe ich schwarz. Dann werden reihenweise Mittelständler, Landwirte, Bäcker, Metallbauer die Segel streichen, schlicht aufgeben. Statt immer wieder vage Ankündigungen braucht es jetzt echte Maßnahmen: endlich die Einsetzung eines zentral im Kabinett der Kommissionspräsidentin positionierten KMU-Beauftragten, der auch durchgreifen kann, wenn neue Gesetzgebung mit Bürokratie überlastet wird, die verbindliche Anwendung von One in, one out, das fordern wir seit Langem, um immer weitere Bürokratieauflagen von vornherein zu verhindern, die Einführung von verbindlichen KMU-Tests in den Folgeabschätzungen neuer Gesetze, um Auswirkungen auf KMU vorab zu erkennen, und endlich ein Belastungsmoratorium für die 25 Millionen KMU in Europa, die unter diesen ausufernden Regelungen leiden.
Wir haben gerade zwei Stunden darüber gesprochen: Tax the rich. Bevor wir hier Steuern erheben, muss das Geld erst verdient werden. Insofern brauchen wir Erleichterungen für den Mittelstand. Lassen Sie uns das heute anfangen!
"
Jens GIESEKE,2023-07-10,DE,Industrial Emissions Directive - Industrial Emissions Portal - Deployment of alternative fuels infrastructure - Sustainable maritime fuels (FuelEU Maritime Initiative) - Energy efficiency (recast) (joint debate - Fit for 55 and Industrial Emissions),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-10-INT-1-053-0000_DE.html,"  Jens Gieseke,  im Namen der PPE-Fraktion. – Frau Präsidentin, Frau Kommissarin Vălean, liebe Kolleginnen und Kollegen! Das ist ein wichtiges Signal heute! Fehlende Ladeinfrastruktur ist immer noch ein großes Problem. Ohne Akzeptanz bei den Bürgerinnen und Bürgern wird es keine Reduktion der Emissionen geben. Wir brauchen eine europaweite Erfolgsgeschichte und nicht ein paar Ladesäulen in einigen wenigen Ländern. Die AFIR war hier ein großer Erfolg, auch für die EVP. Wo andere wieder ausschließen wollten, haben wir auf Technologieoffenheit gesetzt, rechtlich bindende Ziele vereinbart, die Planungssicherheit geben. Das muss jetzt von den Mitgliedstaaten umgesetzt werden.
Die AFIR war da nur der Startschuss. Mehr Engagement ist notwendig, insbesondere aufgrund des Verbrennerverbots ab 2035, wobei wir da ja noch auf den Vorschlag von Vizepräsident Timmermans für die Anerkennung klimaneutraler Kraftstoff warten. Nun ja, entweder kann er nicht oder will er nicht, in jedem Fall: Geliefert hat der Herr Vizepräsident bislang nichts.
Die Verbotspolitiker bleiben sich treu. Obwohl die Lkw-Ausbauziele in der AFIR abgeschwächt wurden – im Rat gab es schlicht keine Mehrheit für mehr Ehrgeiz –, wollen Grüne das Verbrenner-Verbot nun auch bei Lkw und Bussen. Ich finde, das ist nur noch weltfremd und realitätsfern. Wir brauchen alle Lösungen: Elektro, Wasserstoff, LNG, nachhaltige Kraftstoffe. Wir sollten nichts ausschließen. Am Ende haben wir bei dem technischen Dossier AFIR einen guten Kompromiss erzielt. Ich möchte allen Beteiligten danken, und erlauben Sie mir eine persönliche Aussage: Der Kollege Ertug hat das Haus verlassen. Lieber Ismail, dir und deiner Familie alles Gute, und ich hoffe, wir sehen uns außerhalb des Parlaments wieder.
"
Jens GIESEKE,2023-04-19,DE,Dieselgate: suspected widespread use of defeat devices in cars to reduce effectiveness of pollution control systems (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-19-INT-3-259-0000_DE.html,"  Jens Gieseke,  im Namen der PPE-Fraktion. – Frau Präsidentin, Frau Ministerin Roswall, Herr Kommissar Schmit, liebe Kolleginnen und Kollegen! Den Bericht des ICCT sollten wir ernst nehmen. Und auch das Urteil des EuGH. Abschalteinrichtungen sind nur dann legal, wenn sie dem Schutz des Motors dienen. Das muss von Einzelfall zu Einzelfall von den zuständigen Behörden geprüft werden. In Deutschland, in meinem Heimatland, ist dafür das Kraftfahrtbundesamt zuständig. Das kommentiert den ICCT-Bericht nüchtern: Die Messungen sind veraltet, und es hat seitdem zahlreiche Nachrüstungen und Rückrufaktionen gegeben. 
Bevor hier also einige eifrig an der nächsten Kampagne gegen die Automobilindustrie arbeiten, schauen wir uns die Fakten an: Dass die europäische Gesetzgebung sich doch insbesondere vor dem Hintergrund des Dieselskandals weiterentwickelt hat, dass wir heutzutage schärfer und genauer prüfen – der Kommissar hat es gerade angeführt – und dass wir endlich Testuntersuchungen im Realbetrieb haben und nicht mehr nur auf reine Labortests zurückgreifen, dafür haben wir uns als EVP von Beginn an eingesetzt, auch im Abgasuntersuchungsausschuss EMIS und in der anschließenden Gesetzgebung.
Es ist auch Fakt, dass sich die Luftqualität in der EU in den letzten Jahren deutlich verbessert hat. So attestiert selbst das deutsche Umweltbundesamt, dass es in Deutschland so gut wie keine Überschreitungen der geltenden Grenzwerte mehr gibt. 2021 sei nur bei einem Prozent der städtischen Messstationen eine Überschreitung des Stickstoffdioxidgrenzwertes festgestellt worden. Das ist eine gute Nachricht. Darüber hinaus wird die Luftqualität durch Flottenerneuerungen und den Umstieg auf alternative Antriebe jährlich ja sogar noch weiter verbessert. 
Wer jetzt also hetzt oder etwa polarisiert und wer einen neuen Skandal heraufbeschwört, der sollte ehrlich sein, dass er in Wahrheit andere Absichten hat, dass er jede Gelegenheit nutzt, die Automobilindustrie zu brandmarken, dass ihm die europäische Autoindustrie und auch die Arbeitnehmer in dieser Industrie egal sind. Es ist die gleiche Ideologie, die gleiche Technologiefeindlichkeit, die hier im Hause auch das Verbrennerverbot vorangetrieben hat.
"
Jens GIESEKE,2023-03-13,DE,Order of business,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-13-INT-1-038-0000_DE.html,"  Jens Gieseke (PPE).   – Frau Präsidentin, liebe Kolleginnen und Kollegen! Das ist grundsätzlich eine richtige Debatte. Wir haben seit der letzten Woche eine neue Situation im Ministerrat. 
Wir haben eine Sperrminorität, angeführt von Deutschland, Bulgarien, Italien und Polen. Weitere Länder folgen: Tschechien ist jetzt dabei. 
Es ist jetzt an der Kommission, einen neuen Vorschlag zu machen. Allerdings ist es offenkundig – das wissen wir alle im Raum –, dass die Kommission Stand heute noch nicht in der Lage ist, diesen neuen Vorschlag zu machen. 
Von daher sind wir als EVP dagegen, jetzt am Mittwoch eine Diskussion zu führen auf der Grundlage von Spekulationen. Ich glaube, die Kommission sollte sich erst mal neu sortieren und gucken, was sie vorschlagen kann. 
Wir als EVP freuen uns auf die Debatte. Wir waren immer für Technologieoffenheit und gegen Verbote. Insofern gerne eine Debatte, nicht in dieser Woche und dann auch beim nächsten Mal mit der Entschließung, aber jetzt ist nicht der richtige Zeitpunkt.
"
Jens GIESEKE,2023-02-14,DE,CO2 emission standards for cars and vans (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-02-14-INT-2-013-0000_DE.html,"  Jens Gieseke,  im Namen der PPE-Fraktion. – Frau Präsidentin, sehr geehrter Herr Vizepräsident Timmermans, liebe Kolleginnen und Kollegen! Heute können wir sie noch nehmen, die letzte Ausfahrt vor dem endgültigen Verbrennerverbot ab 2035. Heute haben wir die letzte Chance, diesen technologiefeindlichen Holzweg zu verlassen, den Grüne, Sozialdemokraten und Liberale eingeschlagen haben. Sie sind es, die hier eine Wette eingehen wollen und dabei alles auf eine Karte setzen. Dabei gibt es doch ganz klare Argumente gegen diesen Irrsinn. Für die notwendige Emissionsreduzierung im Verkehrssektor brauchen wir Innovationen und Platz für kluge Ideen, doch das Verbrennerverbot begrenzt diese so dringend notwendige Freiheit. Unser Vorschlag ist da besser: einen klaren, strikten Rahmen setzen und anschließend den Markt entscheiden lassen, welche Technologien es für die Zielerreichung braucht.
Außerdem verkennt das Verbot die aktuelle Lage. Preisvorteile für die Endkunden war in den Verhandlungen das Lieblingsargument von Sozialdemokraten und Grünen. Aber die aktuelle Realität ist eine andere: hohe Strompreise, Inflation und auslaufende Kaufprämien. Alle Berechnungen zu Preisvorteilen sind nichtig.
Und schließlich: Allein in Deutschland arbeiten 600 000 Menschen an Fahrzeugen mit Verbrennungsmotoren – ihre Jobs sind nun gefährdet. Wir sehen nun schon die ersten Konsequenzen: das Versprechen von Liberalen, Grünen und Sozialdemokraten, neue Jobs werden entstehen –Batteriezellproduktion geht häufig nach Kanada oder nach Amerika. 
Und einige in der Europäischen Kommission hätten am liebsten munter weitergemacht. Sie wollten das Aus des Verbrenners bei LKW und Bussen. Auch dort kein Raum für Innovationen, kein Wettbewerb der besten Ideen – stattdessen erneut Verbote, als hätte man nichts gelernt.
Nun scheint man aber auf den letzten Metern zur Vernunft gekommen zu sein, und das ist auch ein Erfolg derer, die sich bisher gegen diese Verbotspolitik gestellt haben. Liebe Kolleginnen und Kollegen, setzen Sie heute noch einmal ein deutliches Zeichen, und stimmen Sie gegen diese Trilog-Einigung.
"
Jens GIESEKE,2022-10-17,DE,Sustainable maritime fuels (FuelEU Maritime Initiative) - Deployment of alternative fuels infrastructure (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-10-17-INT-1-168-0000_DE.html,"  Jens Gieseke,  im Namen der PPE-Fraktion. – Sehr geehrter Herr Präsident, Frau Kommissarin Vălean, liebe Kolleginnen und Kollegen! Für die EVP habe ich zwei Gesetzesvorhaben aus dem Paket „Fit für 55“ verhandelt: die CO2-Flottengrenzwerte für Pkw und die Verordnung über den Infrastrukturausbau.
Beide Vorhaben sind für mich zwei Seiten einer Medaille. Leider haben sich sowohl das Parlament als auch die Mitgliedstaaten mehrheitlich für das Verbrennerverbot bei Pkw ab 2035 ausgesprochen. Daran wird auch ein rechtlich unverbindlicher Erwägungsgrund nichts ändern. Lassen Sie es mich deutlich sagen: Ab 2035 wird kein Pkw mehr mit Verbrennungsmotor zugelassen werden können. Und ich halte diese Entscheidung immer noch, Herr Kollege Bloss, für rundweg falsch.
Jetzt schon zu entscheiden, welche Technologie 2035 das meiste CO2 einspart und gleichzeitig erschwinglich ist für die Bürgerinnen und Bürger – was für eine Hybris! Grüne, Sozialdemokraten und Liberale stehen immer noch fest hinter dem Verbot und treiben es weiter voran. Von Einsicht aufgrund steigender Energiepreise keine Spur. Was heißt das alles für den Infrastrukturausbau? Vor allem eins: Wir brauchen mehr Tempo. Scheuklappen und Technologiefixierung helfen uns nicht. Grüne und Sozialdemokraten wollten das Prinzip Brechstange – keine Rücksicht auf den tatsächlichen Bedarf, nur starre Ziele, planwirtschaftlich, inklusive Strafsystem – und zusätzlich noch ohne Folgenabschätzung die Zuginfrastruktur einbeziehen.
Ich glaube, das wäre schlechte Gesetzgebung. Unser Anspruch, liebe Kolleginnen und Kollegen, sollte bessere Rechtsetzung sein. Für uns alle ist klar: Wir müssen den Infrastrukturausbau in allen EU-Mitgliedstaaten voranbringen und nicht nur in einigen wenigen. Daher mein dringender Appell: Unterstützen Sie die Anträge der EVP! Sorgen Sie dafür, dass wir eine Infrastruktur bekommen, die den Bürgerinnen und Bürgern am Ende auch tatsächlich etwas nützt, und dass kein Geld verschwendet wird.
"
Jens GIESEKE,2022-09-15,DE,State of the SME Union (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-09-15-INT-4-104-0000_DE.html,"  Jens Gieseke (PPE).   – Frau Präsidentin, sehr geehrte Frau Kommissarin, liebe Kolleginnen und Kollegen! Was ich heute vortrage, habe ich bereits in zahlreichen Reden oder Schreiben an die Kommission vorgebracht: keine Belastungen für den Mittelstand! An meinen Forderungen hat sich nichts geändert, an den ausweichenden Antworten der Kommission leider auch nicht.
Zwar hat Frau von der Leyen gestern ein Hilfspaket angekündigt, viele unserer zentralen Anliegen ignoriert die Kommission aber weiterhin. Es gibt leider keine Umsetzung. Seit über drei Jahren warten wir auf die Benennung des KMU-Beauftragten – leider bisher nicht geschehen. Eigentlich sollte das One-in-one-out-Prinzip gelten, praktisch aber gilt: zwei neue Rechtsvorschriften rein, eine raus. Bis 2030 droht sogar: fünf rein, eine raus. Das geht so nicht!
Einer Unternehmerin mit fünf Supermärkten in meiner Region drohen im nächsten Jahr Strommehrkosten in Höhe von einer Million Euro. Und auf diese Sorgen packt die EU weitere Vorgaben: die Nachhaltigkeitsberichterstattung, die Lieferketten-Richtlinie, neue REACH-Verschärfungen oder die absurden Vorgaben zu Pflanzenschutzmitteln. Produktion einschränken in einer Nahrungsmittelkrise – ich kann das niemandem erklären. Diese Bürokratie und diese Regeln nehmen dem Mittelstand die Luft zum Atmen – das geht so nicht!
Aus den vagen Ankündigungen müssen jetzt endlich Handlungen werden. Wir brauchen echte Entlastungen, sonst sehe ich schwarz. Sonst gibt es bald keine Bäcker, keine Landwirte und keine Metallbauer mehr. Wir brauchen ein Belastungsmoratorium für den Mittelstand – jetzt!
"
