MP,Date,Language,Title,Url,Content
Joachim KUHS,2023-12-14,DE,Improving the strategic approach to the enforcement of EU Law (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-14-INT-4-151-0000_DE.html,"  Joachim Kuhs (ID).   – Herr Präsident, Frau Kommissarin, werte Kollegen! Etwas verbessern zu wollen ist ja ehrenwert, aber ich habe den Eindruck, dass hier mal wieder die falschen Schwerpunkte gesetzt werden. Statt Subsidiarität – also weniger EU – gibt es wieder mal mehr EU. Oder man könnte auch sehr grob sagen: Die Kleinen hängt man, und die Großen lässt man laufen. Meine Kollegin Joron hat schon darauf hingewiesen: auf die Dinge, diese Rechtsverstöße, die man eigentlich untersuchen müsste. Warum tun Sie das nicht?
Meine Damen und Herren, wir brauchen nicht mehr Instrumente, die die Souveränität der Mitgliedstaaten aushebeln. Wir brauchen mehr Abgeordnete wie unsere leider zu früh verstorbene Kollegin Michèle Rivasi, die die finanziellen Interessen der EU schützen wollen. Und wir brauchen mehr Mitgliedstaaten, die sich für ihr eigenes Volk einsetzen und es vor einer immer übergriffigeren EU bewahren wollen.
"
Joachim KUHS,2023-11-23,DE,Young researchers (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-23-INT-4-141-0000_DE.html,"  Joachim Kuhs,  im Namen der ID-Fraktion. – Frau Präsidentin, Frau Kommissarin, werte Kollegen! Ja, wäre es nicht großartig, wenn Europa viele hochintelligente junge Menschen anziehen würde, die hier eine Karriere in der Forschung anstrebten?
Aber anstelle dieser intelligenten Menschen ziehen wir Einwanderer aus Nordafrika und den islamischen Ländern an, die erstens nicht die Qualifikation für junge Forscher haben und zweitens nicht die Absicht haben, hier zu arbeiten, sondern mehrheitlich nur von unserem Sozialsystem profitieren wollen. Diese Menschen – überwiegend junge Männer – reisen beispielsweise über Lampedusa zu uns ein. Ich selbst war vor einigen Wochen dort und habe mir das genau angesehen.
Ich kann Ihnen sagen, die Entwicklung, insbesondere in den Zielstädten dieser Männer, die ist wirklich dramatisch: geschlossene Geschäfte, Straßenüberfälle, Gruppenvergewaltigungen, Männer, die ihre Notdurft auf der Straße verrichten. Immer mehr Städte verwandeln sich in ein Ghetto. 
Wenn wir also die Frage beantworten wollen, was wir tun können, um unsere Länder, unsere Städte, unsere Universitäten für intelligente junge Forscher attraktiv zu machen, dann würde ich vorschlagen, dass wir zunächst unsere Grenzen effektiv für illegale Einwanderung schließen, weil niemand – wirklich niemand – in einem Europa leben oder arbeiten will, das überschwemmt wird von Armut, Gewalt und Schmutz und wo das meiste Geld für die Umverteilung eingesetzt und nicht investiert wird. Dann aber Millionen für bedeutungslose Projekte auszugeben, ist, als würde man einem amputierten Bein einen Verband anlegen. Es sieht zwar schön aus, aber es nützt nichts. 
Und liebe Kollegin, wenn ich mir ansehe, welche Fragen Sie stellen, dass Sie die Gleichstellung der Geschlechter und die Frauenquote besonders berücksichtigen, dann befürchte ich, dass es bei diesem Projekt gar nicht um junge Forscher geht, sondern um die Einhaltung von Quoten. Dabei ist es doch ganz einfach: Wir müssen neben den wirtschaftlichen Rahmenbedingungen lediglich die Person mit der richtigen Qualifikation für die richtige Stelle gewinnen.
Aber ich sage es noch einmal: Die ganze Förderung wird verpuffen, wenn wir die Grenzen nicht für die illegale Einwanderung schließen. Und, werte Kollegen, falls Sie diese Signale gegen die illegale Immigration, die auch die Niederländer in der gestrigen Wahl ausgesendet haben, wenn Sie die nicht ernst nehmen, dann werden Sie in den Wahlen des nächsten Jahres hinweggefegt werden. Mir soll das recht sein, denn ich werde dann nicht mehr hier dabei sein. Aber um die jungen Forscher, die auf unsere leeren Versprechungen hereingefallen sind, um die tut es mir jetzt schon leid.
"
Joachim KUHS,2023-11-09,DE,System of own resources of the European Union (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-09-INT-2-046-0000_DE.html,"  Joachim Kuhs,  im Namen der ID-Fraktion. – Frau Präsidentin, Herr Kommissar, werte Kollegen! Auch dieses Thema der neuen Eigenmittel treibt mir die Schamesröte ins Gesicht. Denn mit diesem neuen Finanzierungsplan beschleunigen Sie noch auf dem vor einigen Jahren falsch eingeschlagenen Weg in die Knechtschaft.
Seit Sie vor drei Jahren das System der neuen Eigenmittel in das Gesamtpaket aus NextGenerationEU, Sieben-Jahres-Plan und Rechtsstaatlichkeitsmechanismus gepackt und die Vetos von Polen und Ungarn auf wundersame Weise aus dem Weg geräumt haben – seitdem ist klar, was Sie wollen: Sie wollen eine neue EU, eine EU, die, anders als in den Verträgen vorgesehen, weitgehend unabhängig ist von den Mitgliedstaaten, wo es kein Veto mehr gibt und wo die Kommission Schulden machen und schalten und walten kann, wie sie will.
Aber, meine Damen und Herren, haben Sie auch die Bürger gefragt, was die wollen? Und da kann ich Ihnen sagen: Die wollen keinen EU-Superstaat, nicht einmal die braven Deutschen. Und wenn die Bürger wüssten, was Sie alles an neuen Eigenmitteln und sonstigen Grausamkeiten planen und welche Belastungen auf sie zukommen, dann würden Sie in den nächsten Wahlen hinweggefegt, dann würden Sie keinen Fuß mehr auf den Boden bekommen.
Da die Bürger aber dank der Kontrolle der Mainstream-Medien nichts davon erfahren werden, sage ich Ihnen voraus, dass spätestens, wenn den Deutschen das Geld ausgeht und wenn Sie die bankrotte Ukraine in die EU aufnehmen, dann viele Mitgliedstaaten das Schiff verlassen werden. Stoppen wir den Weg in die Knechtschaft, damit Ihr werter Landsmann, Herr Hayek, weiter ruhig schlafen kann.
"
Joachim KUHS,2023-10-18,DE,Presentation of the Court of Auditors' annual report 2022 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-244-0000_DE.html,"  Joachim Kuhs,  im Namen der ID-Fraktion. – Herr Präsident, werter Herr Kommissar, lieber Herr Präsident des Europäischen Rechnungshofs Tony Murphy! Danke, dass Sie auch dieses Jahr wieder die Alarmglocken läuten – und es ist dringender denn je. Denn, meine Damen und Herren, der jüngste Bericht des Rechnungshofs müsste eigentlich Schockwellen in der Kommission auslösen. Denn die Prüfer haben festgestellt, dass die Fehler bei den Ausgaben von bereits zu hohen 3 Prozent im Vorjahr nun im Prüfungsjahr auf 4,2 Prozent deutlich zugenommen haben. Herr Kommissar, das ist kein kleiner Fehler, das ist keine Marginalie, das ist ein wirklich besorgniserregender Trend. Hinzu kommt, dass zwei Drittel der geprüften Ausgaben aufgrund der komplexen Regeln und Förderkriterien ein hohes Risiko darstellen. Diese Fehler deuten implizit auf Missmanagement und Ineffizienz hin. Das erneute versagte Prüfungsurteil zu den Ausgaben im Jahr 2022 bestätigt das auch.
Und Ihr Bericht, lieber Tony Murphy, beschreibt auch systemische Probleme bei der Aufbau- und Resilienzfazilität. Sie stellten z. B. fest, dass elf von 13 Zuschusszahlungen von Ordnungsmäßigkeitsproblemen betroffen waren und sechs Zahlungen wesentliche Fehler aufwiesen. Lieber Kommissar Hahn, das ist inakzeptabel. Als jemand, der stets für verantwortungsvolles Geldausgeben und den effizienten Einsatz von Steuergeldern einsteht, unterstütze ich natürlich den Rechnungshof in seinem Anliegen. Die Europäische Kommission, ja, die ganze Union – sie müsste es, wenn sie eine Zukunft haben will, eigentlich besser machen.
Es ist daher an der Zeit, alle Empfehlungen des Rechnungshofs vollumfänglich umzusetzen und alle notwendigen Schritte zu unternehmen, um erstens diese Fehler zu beheben, zweitens künftige zu vermeiden und drittens sicherzustellen, dass jeder Euro aus dem EU-Haushalt sinnvoll und effektiv ausgegeben wird. Unsere Wähler verdienen nichts Geringeres, und ich bin auf deren Antwort am 9. Juni 2024 gespannt.
"
Joachim KUHS,2023-10-17,DE,General budget of the European Union for the financial year 2024 - all sections (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-152-0000_DE.html,"  Joachim Kuhs,  im Namen der ID-Fraktion. – Herr Präsident, Herr Kommissar, werte Kollegen! Dieser Haushalt treibt mir die Schamesröte ins Gesicht. Nicht nur, weil er sich unfassbar aufgebläht hat. Inzwischen erreichen wir die 200-Milliarden-Euro-Marke. Und, meine Damen und Herren, machen wir uns doch ehrlich: Das ist ja nur die Hälfte des gesamten Geldes, das wir planen, im nächsten Haushaltsjahr auszugeben. Da kommen ja noch die ganzen Gelder der schön klingenden Fazilitäten dazu, wie der Wiederaufbaufazilität oder der Ukraine-Fazilität, die wir heute verabschiedet haben. Inzwischen sprechen wir von einer ganzen Galaxie von Fonds und – in Deutschland würden wir sagen – von Sondervermögen, die jedoch nur Schulden sind, mit denen wir unsere Kinder auf Jahrzehnte hinaus belasten. Aber ich schäme mich auch dafür, dass dieser Haushalt Programme und Zahlungen für das UNRWA und die Palästinensische Autonomiebehörde enthält, bei denen nicht ganz transparent ist, ob dieses Geld nicht auch an Terrororganisationen wie Hamas fließt.
Liebe Kollegen, es muss uns klar sein: Bevor wir nicht alle diese Gelder stoppen, werden die Bilder, die uns dieser Tage aus Israel, aus Arras, aus Brüssel oder auch aus dem Sudan oder aus Bergkarabach erreichen, nicht aufhören, uns unseren Schlaf zu rauben. Deshalb schließe ich jetzt mit der letzten Strophe des Kriegsliedes von Matthias Claudius, einem deutschen Dichter: „’s ist Krieg! ’s ist Krieg! O Gottes Engel wehre, und rede Du darein! ’s ist leider Krieg – und ich begehre, nicht schuld daran zu sein!” Kyrie eleison.
"
Joachim KUHS,2023-10-05,DE,"Poor sanitary conditions, low levels of security and lack of parking places in rest areas for truck drivers (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-05-INT-4-151-0000_DE.html,"  Joachim Kuhs,  im Namen der ID-Fraktion. – Herr Präsident, lieber Herr Kommissar! Wir haben uns heute ja schon öfter gesehen – in anderer Funktion –, aber ab und zu am Donnerstagnachmittag haben wir ja immer schöne Themen, mit denen wir uns beschäftigen, bei denen wir uns auch meistens einig sind, also da gibt es wenig Dissens.
Ja, Lkw-Fahrer sind knapp. Wenn ich nur an Deutschland denke, da gibt es eine Studie von 2022, die geht von einem Fahrermangel aus, dass 60 000 Lkw-Fahrer allein in Deutschland fehlen. Und wenn es um die Parkplätze geht, da sind wir uns auch einig: Es sind einfach zu wenig. Wir können noch so viele Mobilitätspakete schnüren, es wird einfach nicht reichen, weil der Transport so viel erfordert. Eine Studie des Bundesverbands Güterkraftverkehr, Logistik und Entsorgung in Deutschland kam zum Ergebnis, dass derzeit wohl 40 000 Parkplätze nur in Deutschland fehlen. Wie viele es dann EU-weit sind, die Zahl habe ich nicht. Also wir sehen, wir haben ein riesiges Problem.
Dann kommt dazu, dass sich eben alle auf diese Parkplätze drängen und dass wir dann diese großen Probleme mit den sanitären Anlagen haben, dass dann alles einfach nicht reicht. Es reicht hinten und vorne nicht, und da können wir noch so viel versuchen zu machen.
Natürlich müssen sich die Firmen, die Unternehmen in der Logistikbranche darum kümmern, dass der Beruf des Lkw-Fahrers attraktiver gemacht wird, indem sie die Arbeitsbedingungen verbessern und die Löhne anheben. Aber da sind Sie ja auch gefordert, denn Sie machen ja durch die Vorschriften vieles einfach auch schwerer, und das ist letztendlich auch mein Petitum an Sie: Wir können so nicht weitermachen. 
Ich habe oft den Eindruck, dass wir uns um die Lkw-Fahrer weniger kümmern als um die lieben Tiere, die Hühner, die Schweine, die Kühe usw., denn dafür haben wir unglaublich viele Regeln und kümmern uns darum. Aber die Lkw-Fahrer, wo bleiben die denn?
Ich weiß, Herr Kommissar, Sie können hier nicht die ganze Welt retten, das ist unmöglich, das kann keiner von uns. Aber bitte sorgen Sie dafür, dass die Arbeit dieser Menschen erträglicher, dass sie lebenswerter wird und dass es vor allem eben nicht noch mehr Vorschriften gibt. Es gibt schon zu viele Vorschriften, und wir können nicht jetzt noch da draufsetzen und noch mehr Vorschriften machen, damit machen wir das Leben der Lkw-Fahrer nur noch schwerer.
"
Joachim KUHS,2023-10-03,DE,Interim report on the proposal for a mid-term revision of the Multiannual Financial Framework 2021-2027 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-020-0000_DE.html,"  Joachim Kuhs,  im Namen der ID-Fraktion. – Frau Präsidentin, lieber Herr Kommissar Hahn, werter Herr Minister, werte Kollegen! Jedes Jahr nimmt der Ehrgeiz der Kommission zu und die Souveränität der Mitgliedstaaten ab. Jedes Jahr gibt die Kommission mehr Geld aus als im Vorjahr und verlangt für die Folgejahre mehr Geld. Dieses Geld wächst natürlich nicht auf einem Geldbaum, sondern dieses Geld wird von den Steuerzahlern in unseren Mitgliedstaaten beigesteuert.
Auch bei der Überarbeitung des mehrjährigen Finanzrahmens will die Kommission für die nächsten Jahre zusätzliche 65 Milliarden und der Haushaltsausschuss noch einmal 10 Milliarden draufsatteln. Liebe Kollegen, ich sage Nein zu mehr Geld! Dass Sie jedes Jahr meine 300 Kürzungsanträge ablehnen − geschenkt. Dass Sie aber, werter Herr Kommissar, mit dieser Halbzeitüberprüfung immer mehr Geld fordern für die Masseneinwanderung, für den Klimawahnsinn und 50 Milliarden dann auch noch für die Ukraine, das müssen wir nächstes Jahr unseren Wählern erklären, und da bin ich gespannt, was die dazu zu sagen haben.
Machen wir es doch einfach wie letzte Woche die Amerikaner: Die haben einfach die für den Ukrainekrieg eingeplanten zig Milliarden komplett gestrichen, und schon gab es eine Einigung über den Haushalt in letzter Sekunde. Lieber Herr Kommissar, ziehen auch Sie die Reißleine. Streichen Sie die Unterstützung für die weitere Verlängerung des Krieges in der Ukraine. Sie würden sich dadurch den Friedensnobelpreis für die EU nachträglich verdienen − und zwar ehrlich verdienen − und dem mehrjährigen Finanzrahmen die notwendige Luft zum Atmen verschaffen.
"
Joachim KUHS,2023-09-14,DE,Segregation and discrimination of Roma children in education (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-14-INT-4-170-0000_DE.html,"  Joachim Kuhs,  im Namen der ID-Fraktion. – Frau Präsidentin, Frau Kommissarin, werte Kollegen! Wir müssen Segregation und Diskriminierung bekämpfen – natürlich.
Aber ich möchte etwas den Finger in eine andere Wunde legen, die sich hier auftut. Wenn es um Roma geht, insbesondere um ihre Kinder, dann öffnet sich mein Herz. Denn seit über 30 Jahren engagiere ich mich für Kinder in Rumänien. „Hoffnung für eine neue Generation“ heißt dieser Verein. Und Hoffnung ist das, was ich gerade bei diesem Thema auch vermitteln möchte.
Doch ich weiß aus eigener Anschauung, wie schwer, ja nahezu unmöglich es ist, den Kindern eine gute Bildung zukommen zu lassen und sie in die Gesellschaft zu integrieren: Sie bleiben zu sehr in ihrer eigenen Gemeinschaft. Sie gehen nicht regelmäßig zur Schule. Sie sind daher kaum auf dem Arbeitsmarkt vermittelbar. Hinzu kommt, viele Roma-Kinder werden gezwungen, auf die Straße zu gehen und zu betteln. Und offensichtlich wird das auch perfekt organisiert. Denn ich habe persönlich in Freiburg, in Karlsruhe, in Mannheim, in Köln – in meiner Heimat –, immer wieder die gleichen Roma-Kinder mit denselben Zetteln in der Hand betteln gesehen. Und in Rumänien wurde mir manche Villa gezeigt, die einem sogenannten Roma-Fürsten gehört.
Deshalb appelliere ich jetzt nicht an die Kommission oder an die Mitgliedstaaten, ich appelliere an alle Roma: Sie lieben doch ihre Kinder? Dann schicken Sie sie doch regelmäßig zur Schule. Durchbrechen Sie diesen furchtbaren Kreislauf und schaffen Sie eine bessere Zukunft für sich und Ihre Kinder. Wir sind gerne bereit, Ihnen dabei zu helfen. Aber: Sie müssen es auch wollen.
"
Joachim KUHS,2023-07-13,DE,10th anniversary of the EU Guidelines on Freedom of Religion or Belief (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-13-INT-4-131-0000_DE.html,"  Joachim Kuhs (ID).   – Herr Präsident, Frau Kommissarin, werte Kollegen! Heute vor zehn Jahren wurden die Leitlinien für Glaubens- und Bekenntnisfreiheit verabschiedet. Das ist ein Grund zum Feiern. Aber wenn ich das richtig sehe, gab es noch keine öffentliche Bewertung dieser Leitlinien. Wie wurden sie eigentlich umgesetzt? Das scheint, auch wenn ich die Rednerliste heute ansehe, niemanden zu interessieren.
Oder ist das Ganze nur ein Papiertiger? Denn wir hatten zahlreiche Berichte und Bewertungen zu Transgenderismus oder zum angeblichen Recht auf Abtreibung und zu tausend anderen Themen. Aber wir hatten kaum Zeit für dieses zentrale Thema der Religions- und Bekenntnisfreiheit.
Ist es uns egal, dass allein in Nigeria seit Beginn dieses Jahres täglich mehr als 20 Christen ermordet wurden? Oder ist es uns egal, dass weltweit Hunderte von Millionen Menschen, vor allem Christen, verfolgt werden? Werte Kollegen, es ist heute wichtiger denn je, unsere christliche Kultur, unseren Glauben und unser Erbe zu schützen. Lassen Sie uns diese Richtlinien zum Leben erwecken!
"
Joachim KUHS,2023-06-15,DE,Call for a European strategy to counter hostage diplomacy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-15-INT-4-127-0000_DE.html,"  Joachim Kuhs,  im Namen der ID-Fraktion. – Herr Präsident, Frau Kommissarin, werte Kollegen! Es ist natürlich erschreckend, dass es in Ländern wie dem Iran mehrfach zu Vorfällen gekommen ist, bei denen Bürger von Mitgliedstaaten als Geiseln gehalten und inhaftiert oder sogar getötet wurden.
Ich denke, jeder hier, wie am Donnerstagnachmittag ja üblich, kann dieser Bewertung zustimmen. Allerdings bin ich nicht der Auffassung, dass es die Aufgabe der EU ist, etwas gegen diese Verbrechen zu unternehmen. Denn, werte Kollegen, wir sind doch kein Staat, und es gibt Gott sei Dank auch noch keine Vereinigten Staaten von Europa, zumal ja kein europäisches Volk existiert. Dieses heute diskutierte Problem müssen wir daher von den jeweils betroffenen Staaten lösen lassen.
Jeder Mitgliedstaat muss sich um seine Bürger kümmern. Er muss Maßnahmen gegen diese Unrechtsstaaten ergreifen, keine Frage − und im Fall des belgischen Staatsbürgers Olivier Vandecasteele also Belgien, im Fall von Cécile Kohler und Jacques Paris Frankreich usw. Deshalb fordere ich diese Länder auf, sich um ihrer Bürger zu kümmern und rasch Maßnahmen zu ergreifen.
Und sorry, liebe Kollegen, es macht leider keinen Sinn, dass wir nach Brüssel schauen und auf die Kommission schauen und Lösungen fordern für dieses Problem. Das können nur die Mitgliedstaaten lösen.
"
