MP,Date,Language,Title,Url,Content
Joachim SCHUSTER,2023-09-12,DE,Question Time (VPC/HR) - Situation in West and Central Africa in the light of the recent coups d’état,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-284-0000_DE.html,"  Joachim Schuster (S&D).   – Herr Präsident! Mit Niger ist das dritte Land der Sahelzone, die ja für uns eine strategisch sehr wichtige Region ist, jetzt vom Militär regiert nach dem Putsch.
Was dabei allerdings bemerkenswert ist, ist, dass dieser Putsch dort durchaus Unterstützung in größeren Teilen der Bevölkerung findet. Und was auch bemerkenswert ist, ist, dass die neue Militärregierung auch mit wirklich antieuropäischen Argumentationen arbeitet und auch das von der Bevölkerung teilweise geteilt wird. Und das Ganze – Sie haben das mehrfach ausgeführt – bei dem ganzen Engagement, was wir in den letzten Jahren dort geleistet haben, und zwar durchaus umfangreiches Engagement, sowohl militärisch als auch humanitär als auch mit Entwicklungshilfe.
Deswegen, glaube ich, müssen wir uns selbstkritisch die Frage stellen, und die stelle ich jetzt an Sie: Was haben wir falsch gemacht? Was hätten wir besser machen können? Oder wo sehen Sie ... – nicht, dass wir jetzt verantwortlich für den Putsch sind, das wäre natürlich absurd – aber was hätte man unter Umständen besser machen können, um insbesondere die Bevölkerung stärker zu erreichen?
"
Joachim SCHUSTER,2023-03-14,DE,European Semester for economic policy coordination 2023 - European Semester for economic policy coordination: Employment and social priorities for 2023 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-14-INT-2-124-0000_DE.html,"  Joachim Schuster,  im Namen der S&D-Fraktion. – Frau Präsidentin, liebe Kolleginnen und Kollegen! In der Tat, wir stehen in Europa vor schwierigen wirtschafts- und finanzpolitischen Aufgaben. In einem Umfeld steigender Zinsen und hoher Inflation muss ein sozial verantwortlicher klimaneutraler Umbau unserer Wirtschaft vorangetrieben werden. Zugleich gilt es dafür zu sorgen, dass die hohe Inflation nicht zu einer wachsenden sozialen Ungleichheit und einer Verarmung breiterer Bevölkerungsschichten führt.
Wir brauchen eine dauerhafte und deutliche Steigerung der Investitionen in die klimaneutrale und digitale Transformation. Dabei geht es nicht nur um private Investitionen; wir brauchen auch eine erhebliche Steigerung öffentlicher Investitionen. Wir brauchen neue reguläre Einnahmen, um eine solide Finanzierung der öffentlichen Haushalte sicherzustellen. Deswegen stehen die Mindestbesteuerung großer Unternehmen, eine Abgabe für große Vermögen und die Finanztransaktionssteuer auf der Tagesordnung.
Bei all dem müssen wir realisieren: Der gemeinsame Binnenmarkt mit einer gemeinsamen Währung erfordert klare europäische Regeln und vor allen Dingen auch europäische Solidarität. Das müssen wir bei der Reform der Fiskalregeln realisieren.
"
Joachim SCHUSTER,2022-11-22,DE,Question Time (Commission) - Future legislative reform of the Economic Governance Framework in times of social and economic crisis,https://www.europarl.europa.eu/doceo/document/CRE-9-2022-11-22-INT-2-256-0000_DE.html,"  Joachim Schuster (S&D).   – Der Kommissionsvorschlag, der orientiert sich ja sehr stark auch an den positiven Erfahrungen, die wir mit dem Wiederaufbaufonds gemacht haben. Es soll länderspezifische Pläne geben, es soll gemeinsame Kriterien geben, und der Wiederaufbaufonds sieht ja auch ein Anreizsystem vor, damit die Länder auch williger sind, dieses zu tun.
Deswegen, bezogen auf die Analogie, hätte ich noch einmal die Bitte, es ein wenig zu konkretisieren: Nach welchen Kriterien soll eigentlich die Bewertung dann der länderspezifischen Programme genau vorgenommen werden? Wie wird sichergestellt, dass das transparent und vorhersehbar erfolgt und dass die gleichen Kriterien für alle Staaten gelten müssen? Es kann ja nicht sein, dass es ganz unterschiedliche Kriterien gibt. Und wie steht es mit dem Anreizsystem? Wäre es denn nicht sinnvoll zu sagen: Wir machen auch so etwas – sicherlich in der Dimension verringert – wie einen Fonds, dass wir Anreize dafür setzen, dass bestimmte Reformen auch in der Tat dann durchgeführt werden?
"
Joachim SCHUSTER,2022-06-22,DE,Future of EU-Africa trade relations (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-06-22-INT-1-267-0000_DE.html,"  Joachim Schuster,  im Namen der S&D-Fraktion. – Frau Präsidentin, Herr Kommissar, liebe Kolleginnen und Kollegen! Die COVID-Pandemie, der Krieg in der Ukraine wie auch die offensichtlich gewordenen geopolitischen Veränderungen stellen die Beziehungen zwischen Afrika und der EU vor neue Herausforderungen. Unsere Handels-und Wirtschaftsbeziehungen müssen auf eine neue Grundlage gestellt werden. Die Wirtschaftspartnerschaftsabkommen bieten keine hinreichenden Perspektiven mehr. Notwendig ist eine neue Partnerschaft auf Augenhöhe, die das neue Selbstbewusstsein der afrikanischen Staaten ernst nimmt.
Zentraler Bezugspunkt sollte die von der Afrikanischen Union beschlossene kontinentale Freihandelszone sein. Dabei geht es nicht um Freihandel im herkömmlichen Sinne. Die kontinentale Freihandelszone ist das Bestreben, innerafrikanischen Handel zu stärken, innerregionale Wertschöpfungsketten zwischen verschiedenen afrikanischen Staaten auf- bzw. auszubauen und damit die Wirtschaft auf dem afrikanischen Kontinent umfassend zu unterstützen.
Eine Partnerschaft auf Augenhöhe darf sich nicht auf den Handel beschränken. Wir brauchen mehr. Wir brauchen eine viel engere Kooperation in der Landwirtschaft, um Ernährungssicherheit in Afrika dauerhaft gewährleisten zu können. Und dabei dürfen nicht die Absatzinteressen der europäischen Landwirtschaft im Mittelpunkt stehen. Die Stärkung der kleinbäuerlichen Landwirtschaft in Afrika wird dabei übrigens zentral sein.
Weiterhin brauchen wir Klimapartnerschaften. Viele afrikanische Staaten leiden unter den dramatischen Auswirkungen des Klimawandels, der aber maßgeblich von den industrialisierten Staaten des Nordens verursacht wurde. Deswegen ist es auch unsere Pflicht, die afrikanischen Staaten bei der Bekämpfung des und der Anpassung an den Klimawandel zu unterstützen.
Beides erfordert eine deutliche Steigerung der europäischen Investitionen in den afrikanischen Staaten. Dabei wird es besonders bedeutsam sein, dass Investitionen gemeinsam mit afrikanischen Partnern getätigt werden, um die Wertschöpfung und die Beschäftigung in den afrikanischen Staaten zu steigern. In den nächsten Jahren wird es nun darauf ankommen, diese neue Partnerschaft auf Augenhöhe nicht nur immer wieder rhetorisch auf Gipfeltreffen und in Reden zu beschwören, sondern sie in konkreten Projekten auch umzusetzen. 
"
Joachim SCHUSTER,2022-03-09,DE,European Semester for economic policy coordination: annual sustainable growth survey 2022 – European Semester for economic policy coordination: employment and social aspects in the annual sustainable growth strategy survey 2022 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-03-09-INT-3-063-0000_DE.html,"  Joachim Schuster (S&D).   – Frau Präsidentin, liebe Kolleginnen und Kollegen! Der russische Überfall auf die Ukraine wird auch tiefgreifende ökonomische Konsequenzen für die EU haben. Deswegen ist es richtig, dass erwogen wird, die europäische Schuldenbremse auch 2023 auszusetzen. Das verschafft uns auch mehr Zeit für notwendige Reformdebatten.
Zunächst brauchen wir eine Reform der Schuldenregeln. Dazu hat das Parlament Mitte letzten Jahres einen wichtigen Bericht verabschiedet.
Darüber hinaus brauchen wir aber auch eine grundlegende Reform des Europäischen Semesters. Bisher ist das Semester weitgehend wirkungslos. Hinter verschlossenen Türen werden Strukturreformen entworfen, und dann ist es faktisch ins Belieben der Mitgliedstaaten gestellt, ob sie diese Empfehlung ignorieren oder vielleicht mit Abstrichen umsetzen. Eine effektive Koordinierung leistet das Europäische Semester nicht. Das müssen und können wir ändern!
Das Europäische Semester muss demokratischer werden. Wir brauchen keine weiteren Empfehlungen für neoliberale Strukturreformen. Stattdessen brauchen wir eine Wirtschafts- und Finanzpolitik, die eine Steigerung öffentlicher Investitionen ermöglicht und den sozialen Ausgleich fördert.
"
Joachim SCHUSTER,2022-02-15,DE,EU-Africa relations (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-02-15-INT-2-162-0000_DE.html,"  Joachim Schuster (S&D).   – Frau Präsidentin, liebe Kolleginnen und Kollegen! Die Initiative der Kommission für eine neue Partnerschaft zwischen der EU und Afrika ist richtig.
Die angestrebte Partnerschaft macht es aber auch erforderlich, die bisherige Handelspolitik der EU mit Afrika kritisch zu hinterfragen. Wir wissen, dass die sogenannten Wirtschaftspartnerschaftsabkommen, auf die die EU in den letzten 20 Jahren gedrängt hat, in vielen afrikanischen Staaten sehr umstritten waren und sind. Deswegen ist auch nur ein regionales Abkommen in Kraft getreten. Das sollte Anlass sein, intensiv darüber nachzudenken, welche Änderungen wir hier anstreben sollten.
Bisher sind die Abkommen vor allem der Versuch der EU, Freihandel durchzusetzen. Diese einseitige Ausrichtung muss überwunden werden. Wir brauchen ergänzend verbindliche Verabredungen, etwa zur gegenseitigen Unterstützung beim Kampf gegen den Klimawandel und zur Gewährleistung von Nahrungssicherheit. Für all das benötigen wir eine gemeinsame Investitionsoffensive, die einerseits eine deutliche Steigerung privater Investitionen ermöglicht, andererseits aber auch umfangreiche öffentliche Investitionen in Infrastrukturen sicherstellt.
"
Joachim SCHUSTER,2022-02-15,DE,Implementation of the common foreign and security policy – annual report 2021 - Implementation of the common security and defence policy – annual report 2021 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-02-15-INT-2-215-0000_DE.html,"  Joachim Schuster (S&D).   – Frau Präsidentin, liebe Kolleginnen und Kollegen! Das ist richtig: Angesichts der veränderten geopolitischen Lage muss die EU mehr Verantwortung für die eigene Sicherheit übernehmen. Allerdings ist die Grundlinie des vorliegenden Berichtes zur Verteidigungs- und Sicherheitspolitik fragwürdig. Es wird der Eindruck erweckt, als bedeute mehr europäische Souveränität vor allem, möglichst rasch die militärischen Kapazitäten und Fähigkeiten der EU auszubauen.
Das ist eine problematische militärische Logik. Ich will dies an der Finanzierung kurz festmachen. Es wird zu Recht festgestellt, dass die EU-Staaten zusammen jährlich 395 Milliarden Euro für Verteidigung ausgeben. Leider wird nicht aufgeführt, dass das etwa die Hälfte dessen ist, was die USA aufwenden. Und es wird auch nicht aufgeführt, dass das mehr als sechs Mal dessen ist, was Russland für Verteidigung ausgibt und mehr auch, als China und Russland zusammen ausgeben.
Trotzdem wird in dem Bericht eine weitere Steigerung der Verteidigungsausgaben gefordert. Sicher wird glaubwürdige Abschreckung auch in Zukunft von Bedeutung sein. Das sehen wir in dem jetzigen Konflikt mit Russland. Aber Frieden und Sicherheit in Europa sind nur gemeinsam zu haben. Dazu müssen die Sicherheitsinteressen aller europäischen Staaten berücksichtigt werden. Das schließt natürlich die Ukraine ein, aber das schließt auch Russland ein. Dieser Aspekt einer Europäisierung der Sicherheits- und Verteidigungspolitik kommt in dem Bericht viel zu kurz. Das ist schade, denn genau in dem Bereich könnte die EU sehr viel einbringen.
"
Joachim SCHUSTER,2022-02-14,DE,European Central Bank – annual report 2021 (continuation of debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-02-14-INT-1-070-0000_DE.html,"  Joachim Schuster (S&D).   – Frau Präsidentin, Frau Lagarde, liebe Kolleginnen und Kollegen! Die Inflationsrate ist deutlich gestiegen. Einige der Ursachen dafür sind temporär. Deswegen wird sich die Inflationsrate im Jahresverlauf wieder abschwächen. Aber wir werden auf absehbare Zeit ein deutlich höheres Inflationsniveau zu verzeichnen haben als in den vergangenen Jahren. Das nehmen einige zum Anlass, jetzt die EZB energisch zum Handeln aufzufordern. Viele sagen auch gleich, die Zinsen müssten endlich steigen, damit das Ganze wieder ins Lot kommt. Klingt einfach – aber so einfach ist die Welt nicht.
Eine adäquate Antwort auf die gestiegene Inflation erfordert es auch, ein Konstruktionsdefizit der Währungsunion anzugehen. Damals wurde nämlich nur die Geld- und Währungspolitik vergemeinschaftet, während die Wirtschafts- und Finanzpolitik in nationaler Kompetenz belassen wurde. Auf heute gemünzt: Die Handlungsspielräume der EZB zur Inflationsbekämpfung erweitern sich deutlich, wenn in einem ersten Schritt durch eine Reform der europäischen Fiskal- und Schuldenregeln gleichzeitig sichergestellt wird, dass die konjunkturpolitische Handlungsfähigkeit aller Mitgliedstaaten erhalten bleibt und die erforderliche Steigerung der Investitionen, insbesondere zur Bewältigung des Klimawandels, gewährleistet ist.
"
Joachim SCHUSTER,2021-12-15,DE,State of play of the RRF (Recovery and Resilience Facility) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2021-12-15-INT-3-208-0000_DE.html,"  Joachim Schuster (S&D).   – Frau Präsidentin! Liebe Kolleginnen und Kollegen! Die Umsetzung des Wiederaufbaufonds läuft planmäßig. In der ersten Zwischenbilanz können wir feststellen, dass die gemeinsam vereinbarten Kriterien zur Ausgabe der Gelder eingehalten werden. Bisher ist die Umsetzung des Wiederaufbaufonds damit ein gelungenes Beispiel für europäische Solidarität und eine effektive europäische Koordinierung der Investitionspolitik. Und damit hebt sich der Wiederaufbaufonds positiv von der bisher wenig effektiven Koordinierung der Wirtschafts- und Finanzpolitik in der EU ab. 
In Verbindung mit der Verstetigung eines europäischen Investitionsfonds ab 2026 kann dies ein Modell für die zukünftige Wirtschafts- und Finanzpolitik der EU werden. Das ist aber nur realistisch, wenn der Wiederaufbaufonds weiter konsequent umgesetzt wird und keine faulen Kompromisse mit Mitgliedstaaten gemacht werden. Das heißt, alle vereinbarten Kriterien müssen eingehalten werden. Und solange Polen und Ungarn wegen mangelnder Rechtsstaatlichkeit nicht darlegen können, wie sie das Kriterium 10 umsetzen wollen, nämlich Korruption, Betrug, Interessenkonflikte bei der Verwendung der Mittel zu verhindern, aufzudecken und zu beheben, solange dürfen beide Länder auch keine Mittel aus dem Wiederaufbaufonds erhalten.
"
Joachim SCHUSTER,2021-10-19,DE,"Climate, Energy and Environmental State aid guidelines (“CEEAG”) (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2021-10-19-INT-2-295-0000_DE.html,"  Joachim Schuster,  im Namen der S&D-Fraktion. – Herr Präsident, Frau Kommissarin, liebe Kolleginnen und Kollegen! Die EU hat sich das Ziel gesetzt, bis zum Jahr 2030 den CO2-Ausstoß um 55 % zu reduzieren und bis zum Jahr 2050 klimaneutral zu werden. Das wird unserer Gesellschaft und Wirtschaft große Anstrengungen abverlangen.
Die klimaneutrale Transformation erfordert umfangreiche private und öffentliche Investitionen in neue Produkte und in neue Produktionsverfahren. Dieser Technologiewechsel ist nicht umsonst zu haben und wird umfangreiche staatliche Unterstützung erfordern. Mit den neuen Leitlinien für staatliche Klima-, Energie- und Umweltbeihilfen hat die Kommission einen Vorschlag für die dafür erforderliche Reform des beihilferechtlichen Rahmens vorgelegt.
Ich möchte zwei Aspekte besonders betonen: Klimaneutrale Transformation der Wirtschaft ist einerseits sicherlich die Förderung von Innovation, andererseits geht es aber auch um die Markteinführung von schon bekannten CO2-armen Verfahren im großtechnischen Maßstab. Mit den Leitlinien wird es aus unserer Sicht positiverweise grundsätzlich ermöglicht, beides – Innovation und großtechnische Markteinführung – zu fördern.
Klimapolitisch ist es zudem geboten, die Nutzung von fossilen Energien drastisch zu reduzieren. Allerdings müssen wir auch berücksichtigen, dass beispielsweise die Nutzung von fossilem Gas manchmal dennoch übergangsweise erforderlich ist, etwa im Bereich der Stahlerzeugung, solange nicht ausreichend grüner Wasserstoff zur Verfügung steht.
Deswegen brauchen wir die Möglichkeit, auch Übergänge zu fördern. Allerdings sollte dies an zwei Bedingungen geknüpft werden: Die Empfänger müssen in verbindlichen Verträgen darlegen, welche Übergangsschritte vorgesehen sind und wie und wann Klimaneutralität durch den Übergangsprozess erreicht wird, und ein solcher Übergangsprozess muss dem Grundsatz der „Vermeidung erheblicher Beeinträchtigungen“ entsprechen.
Die von der Kommission vorgelegten neuen Leitlinien sind ein wichtiger Beitrag dazu, unsere ambitionierten klimapolitischen Ziele zu erreichen. Deswegen begrüßen wir den Vorschlag ausdrücklich, und ich bin überzeugt: In dem laufenden Konsultationsprozess wird es auch möglich sein, noch einige Detailkorrekturen vorzunehmen.
"
