MP,Date,Language,Title,Url,Content
Johan VAN OVERTVELDT,2023-11-21,NL,2024 budgetary procedure: Joint text (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-360-0000_NL.html,"  Johan Van Overtveldt,  voorzitter van de Begrotingscommissie. – Voorzitter commissaris, beste collega’s, het akkoord over de begroting voor 2024 is een goed akkoord. Het is een goed akkoord in moeilijke en onzekere tijden. Het geeft zowel voor de Raad als voor het Parlement de beste oplossing binnen de limieten van het huidige begrotingskader.
De aanpassingen die de Raad en het Parlement tijdens de conciliatie aan het voorstel van de Commissie hebben aangebracht, komen tegemoet aan de huidige uitdagingen. Laat ons niet vergeten: die uitdagingen zijn zeer reëel. Er woeden twee oorlogen aan onze buitengrenzen op dit eigenste moment. Er is dan ook uitvoerig in bijkomende middelen voorzien voor humanitaire hulp.
Verder hebben we ook voor Erasmus+, het investeringsprogramma voor de vervoersinfrastructuur (CEF Vervoer) en het onderzoeks- en ontwikkelingsprogramma Horizon in extra middelen voorzien. Dit zijn zinvolle programma’s, met bewezen toegevoegde waarde voor de hele Unie.
Verder zijn er nog een aantal kleinere verhogingen. Ik verwijs bijvoorbeeld naar de extra sommen voor de strijd tegen het antisemitisme, dat helaas toch weer opduikt in onze steden. De co-rapporteurs zullen het akkoord uiteraard meer in detail toelichten.
De begroting voor volgend jaar is opgemaakt in het huidige meerjarig financieel kader, een kader dat werd opgesteld na COVID, maar vóór de Russische agressie jegens Oekraïne. Ondertussen wacht iedereen op een herziening die meer ruimte moet geven om — in het belang van al onze burgers — de EU de nodige armslag te geven voor de rest van de periode van dit MFK, dat wil zeggen tot einde 2027. We kijken dus uit naar de onderhandelingen in de Raad. Het Parlement heeft zijn huiswerk gedaan. Het is in de Raad dat het zaakje stokt en we hopen dat hier snel verandering in komt.
Na het bereiken van een akkoord over die herziening zal de begroting voor 2024 worden aangepast. We moeten als Europese Unie tonen dat we efficiënt en snel kunnen schakelen. Ik reken dus op een doorvoering van de aanpassingen in het vroege voorjaar van 2024.
"
Johan VAN OVERTVELDT,2023-11-21,NL,2024 budgetary procedure: Joint text (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-384-0000_NL.html,"  Johan Van Overtveldt,  voorzitter van de Begrotingscommissie. – Voorzitter, collega’s, staatssecretaris, commissaris, alle sprekers zijn aan het woord geweest nu. Ik bedank hen voor hun input en voor dit debat. De begroting voor 2024 is, zoals al vaak gezegd, de best mogelijke onder de huidige moeilijke omstandigheden. Maar ze zou er natuurlijk helemaal anders uitzien, mochten we van een wit blad kunnen starten.
De gebeurtenissen om ons heen dwingen ons tot aanpassingen. Onze lidstaten passen hun prioriteiten ernstig aan en terecht, en wij zullen dat ook moeten doen. Daarom zou ik willen oproepen om deze oefening nu al te starten zonder taboes en om te kijken waar we met de Unie goed in zijn, waar we toegevoegde waarde kunnen bieden, wat we samen willen en kunnen doen, wat onze sterktes zijn en ook waar onze lidstaten goed in zijn.
We mogen geen schrik hebben om van oude gewoontes af te stappen en uitgaven op een ernstige, zelfs drastische manier te herbekijken. De Europese Unie hangt budgettair nog te veel vast aan beleidsopties uit het verleden die een grote hypotheek leggen op de toekomst. In ieder geval kan het niet verder zoals we nu bezig zijn. De EU-begroting is te veel gebonden aan langetermijnplanning waar nieuwe initiatieven niet op kunnen aansluiten en waarbij we onvoldoende kunnen beantwoorden aan de verwachtingen van onze burgers. Het Europees herstelplan als antwoord op de covidpandemie zal, vrees ik, geen blauwdruk worden van een nieuwe, betere manier van beleidsvoering.
Om onze economieën veerkrachtiger te maken, is er veel meer nodig. Daarbij moeten we onze burgers en ondernemingen aanmoedigen, enthousiasmeren en steunen om zelf initiatief te nemen. En dat lossen we niet op door van bovenaf allerhande grootse plannen op te leggen.
Onze burgers, onze belastingbetalers verwachten dat wij hun geld als een goede huisvader beheren. Daarbij kijken ze in de eerste plaats naar ons, hun vertegenwoordigers. Daarom baart het mij zorgen dat veel initiatieven die genomen worden als antwoord op de veranderende gebeurtenissen telkens opnieuw aanleiding geven tot ad-hocstructuren, waar controle en toezicht niet altijd op een adequate manier kunnen plaatsvinden. Een probleem dat trouwens ook door de Europese Rekenkamer meer en meer wordt aangekaart. Ik hoop dat we in de komende tijd meer duidelijkheid hieromtrent kunnen krijgen.
Rest mij verder nog de rapporteurs en alle medewerkers te bedanken. Het bereiken van een akkoord is elk jaar toch weer een huzarenstuk waar veel mensen uit verschillende instellingen, ook van het voorzitterschap, met toewijding aan werken.
"
Johan VAN OVERTVELDT,2023-10-18,NL,Presentation of the Court of Auditors' annual report 2022 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-243-0000_NL.html,"  Johan Van Overtveldt,  namens de ECR-Fractie. – Voorzitter, commissaris, meneer Murphy, collega’s, het jaarverslag van de Europese Rekenkamer heeft nog eens aangetoond dat de kwaliteit van de uitgaven opnieuw daalt. We mogen als Parlement trouwens dankbaar zijn voor het werk dat de Rekenkamer levert. Het kan en moet elk van ons inspireren om de controlerende taak van het Parlement beter vorm te geven.
Jaar na jaar blijft het percentage van onregelmatigheden in de uitgaven stijgen. Het grootste risicodomein is blijkbaar het cohesiebeleid. Zeer zorgwekkend vind ik dat het aantal uitgaven met een zogenaamd “hoog risico” ondertussen goed is voor 66 % van de gecontroleerde uitgaven. Het feit dat er gigantische vehikels in het leven geroepen worden, die los van de begroting staan, dreigt deze tendens verder te versterken.
Maar bovenal moeten wij, zeker hier in dit Parlement, de aard van alle bestaande uitgaven eindelijk eens fundamenteel in vraag durven stellen. Want naast de gevallen van oneigenlijk gebruik of manifeste fraude, is er natuurlijk ook een probleem van kwaliteit en efficiëntie van de uitgaven.
"
Johan VAN OVERTVELDT,2023-10-17,NL,General budget of the European Union for the financial year 2024 - all sections (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-159-0000_NL.html,"  Johan Van Overtveldt (ECR).   – Voorzitter, commissaris, collega’s, dit verslag over het budget voor 2024 is in goede handen van de rapporteurs, die hebben gedaan en nog altijd doen wat ze kunnen, rekening houdend met de noodzakelijke tussentijdse MFK-herziening die door de Commissie op touw werd gezet.
Met al die commotie en onzekerheid die ons vandaag bedelven, is een ernstige begroting voor 2024 nauwelijks mogelijk zonder vastlegging van de grote lijnen in die MFK-herziening.
Europese burgers verwachten sterke actie inzake diverse nijpende problemen.
De wereld aan de grenzen van de Unie staat nu al een aantal jaren in brand en nog altijd sleept de Commissie met de voeten wanneer het gaat over de beveiliging van die grenzen. Iets waar sommige landen – om Finland en Polen niet te noemen – nu op eigen houtje aan begonnen zijn. Maar dat zou een Europese prioriteit moeten zijn.
We moeten ook stoppen met die gratuite aankondigingspolitiek die al te vaak ontgoochelt. We verliezen op die manier het vertrouwen van de burgers.
Een kerntakendebat dringt zich op met de focus op de toekomst van de Unie in plaats van een focus op het verleden, en uiteraard meer expliciet rekening houdend met de verzuchtingen van de burgers.
Tot slot nog dit:
De EU verleende in 2022 meer dan 300 miljoen EUR steun aan de Palestijnse gebieden. Voortaan moet er, meer dan nu het geval is, strak gecontroleerd worden dat er daarvan geen eurocent in de schoot van Hamas valt. Hamas is een jihadistisch orkest dat gedirigeerd wordt door Iraanse fanatici die de vernietiging van een staat – in casu Israël – willen. Het lot van de gewone Palestijnse bevolking is voor hen van geen belang.
"
Johan VAN OVERTVELDT,2023-10-16,NL,Establishing the Ukraine Facility (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-16-INT-1-077-0000_NL.html,"  Johan Van Overtveldt (ECR).   – Voorzitter, commissaris, collega’s, Oekraïne vecht sinds februari 2022 een oorlog uit tegen een kwaadaardige mogendheid die in alle opzichten een bedreiging vormt voor onze westerse waarden. Het lijdt geen enkele twijfel dat Oekraïne onze onvoorwaardelijke steun verdient in deze strijd, tegen barbarij en voor vrijheid.
Ons engagement vertaalt zich in eerste instantie in steun aan het leger en hierbij is toch ook wel duidelijk geworden dat we als Europese Unie onze defensie-uitgaven grondig moeten herbekijken. Maar daarnaast vragen we natuurlijk ook een grote verantwoordelijkheid ten aanzien van de Oekraïense samenleving.
De EU wil en zal een belangrijke rol spelen bij het herstel, de wederopbouw en de modernisering van Oekraïne. Ons engagement staat in steen gegrift, maar als voorzitter van de Begrotingscommissie pleit ik toch ook voor een degelijke controle op de aanwending van de middelen. We mogen niet blind zijn voor het feit dat het land nog steeds – en helaas – erg gevoelig blijkt voor corruptie.
Er is inderdaad een kader voor audit en controle, evenals een auditcommissie. Ik pleit daarnaast voor verhoogde transparantie en ook voor voldoende democratische controle door dit Parlement.
"
Johan VAN OVERTVELDT,2023-10-03,NL,Interim report on the proposal for a mid-term revision of the Multiannual Financial Framework 2021-2027 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-028-0000_NL.html,"  Johan Van Overtveldt (ECR).   – Minister, commissaris, voorzitter, een grondige revisie van het meerjarig financieel kader dringt zich op. Dit budgettaire raamwerk voor de periode 2021—2027 is niet meer aangepast aan de noden en uitdagingen van vandaag, laat staan aan die van morgen.
Met de opeenvolging van de pandemie, de energiecrisis en de oorlog in Oekraïne werden er telkens opnieuw budgettaire vehikels in het leven geroepen die losstaan van de reguliere begroting en die bijgevolg ook onttrokken worden aan de normale democratische, parlementaire controle. Gebrek aan ernstige, consistente controles zet de deur wagenwijd open voor oneigenlijk gebruik van fondsen, of zelfs erger.
Collega’s, dat is echt een probleem. Dat die evolutie quasi geruisloos passeert, is minstens even zorgwekkend. Ik zal daar in dit halfrond steeds op blijven wijzen.
Met de revisie van het MFK is het hoog tijd dat er meer duidelijkheid komt, met respect voor het Parlement en met respect voor het subsidiariteitsbeginsel. Maar we moeten ook realistisch zijn. Enerzijds kunnen de lidstaten de EU niet blijven vragen om steeds meer te doen met min of meer dezelfde middelen, maar anderzijds mogen de Europese instanties, met dit Parlement op kop, een ernstige doorlichting van alle uitgaven niet blijven afwijzen.
Het doel zou moeten zijn om de efficiëntie van de gebruikte middelen voortdurend te toetsen en te verhogen, om op die manier niet alleen, maar ook budgettair financiële ruimte te creëren.
De opmaak van de begroting is vandaag te veel een grabbelton, met daarin voor elk wat wils. Ik pleit ervoor om met de nodige verantwoordelijkheidszin zowel inkomsten als uitgaven ernstig en consistent onder de loep te nemen.
"
Johan VAN OVERTVELDT,2023-10-03,NL,The 10th consecutive increase in reference interest rates decided by the ECB and its consequences (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-526-0000_NL.html,"  Johan Van Overtveldt,  namens de ECR-Fractie. – Voorzitter, commissaris, collega’s, inflatie is een sluipend maar dodelijk gif. Wanneer zij niet doortastend en consistent wordt bestreden, ondermijnt inflatie banencreatie, investeringen en groei. Finaal volgt – zo leert de geschiedenis – ernstige sociale en politieke destabilisatie, niet in het minst omdat het net de minst gegoeden zijn die het meest te lijden hebben onder prijsstijgingen.
Drie punten rond de recente evolutie:
1) De ECB schoot te laat in actie. Eind 2021 was het duidelijk dat de inflatie niet van voorbijgaande aard zou zijn. En toch wachtte men tot in juli 2022 om tot actie over te gaan.
2) De ECB voerde vervolgens consequent renteverhogingen door om te voorkomen dat de olievlek van de inflatie zou blijven uitdijen.
3) Nu dat beleid effect ressorteert en de inflatie inderdaad weer daalt, mag er niet direct victorie gekraaid worden. Het gevoerde beleid nu al terugschroeven zou totaal onverantwoord zijn.
Tot slot nog dit: de onafhankelijkheid van de centrale bank moet in steen gebeiteld staan en blijven staan.
"
Johan VAN OVERTVELDT,2023-09-13,EN,"Composition of the European Parliament (A9-0265/2023 - Loránt Vincze, Sandro Gozi)  (vote)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-122-0000_EN.html,"  Johan Van Overtveldt,  Chair of the Committee on Budgets. – Madam President, as Chair of the Budget Committee, I would propose a statement in the resolution to make clear that the draft decision on the composition of the European Parliament is without prejudice to the prerogatives of the European Parliament and the Council in the annual budgetary procedure, and that recital 5 of that draft decision concerns matters that do not fall within the scope of the European Council’s competences under Article 15(1) and the legal basis of Article 14(2). It is for the European Parliament and the Council alone to decide on the content of the Union’s budget in accordance with the procedures laid down in Article 314 of the Treaty on the Functioning of the European Union.
"
Johan VAN OVERTVELDT,2023-09-13,NL,Presentation by the Council of its position on the draft general budget - 2024 financial year (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-210-0000_NL.html,"  Johan Van Overtveldt,  voorzitter van de begrotingscommissie. – Voorzitter, commissaris, staatssecretaris, collega’s, de rapporteurs zijn al een beetje in detail ingegaan op de verschillende onderdelen van de begroting voor het komende jaar en hebben u een beoordeling gegeven ten aanzien van het standpunt van de Raad. De opmaak van de begroting voor 2024 kan natuurlijk niet los gezien worden van de noodzaak om het huidige meerjarig financieel kader open te breken en dat bestaande raamwerk aan te passen aan de toch wel sterk veranderde omgeving.
Het Parlement is klaar om aan de slag te gaan. Ik roep de Raad dan ook op om niet te talmen en de discussie niet voor zich uit te schuiven. Er is echt geen tijd te verliezen. Het is de tweede “oorlogsbegroting” op rij en het is een understatement om te zeggen dat onze gezamenlijke uitdagingen structureel gewijzigd zijn, vooral door, uiteraard, opnieuw die sterk veranderde geopolitieke context. Het wordt zeker ook tijd dat er meer controle komt, met name door dit Parlement, op de toch wel omvangrijke financiële vehikels die buiten de begroting zijn gecreëerd.
Collega’s, ook voor onze burgers en bedrijven zijn de uitdagingen zeer reëel. De stijging van de levensduurte weegt zwaar op de burger, en bedrijven en zelfstandigen hebben af te rekenen met grote onzekerheden. Wat de Europese Unie op dit moment moet doen, is stabiliteit garanderen over de beleidsdomeinen heen, gaande van politieke afwegingen over het beschermen van koopkracht tot het aantrekken en vasthouden van investeringen. Op dit vlak kunnen we zeker beter doen. Er is een onzekere context gecreëerd, niet in het minst door onhaalbare doelstellingen op te leggen, bijvoorbeeld met de Green Deal, of door ons vast te rijden in dogma’s en taboes, waardoor kernenergie bijvoorbeeld niet de plaats krijgt die zij verdient in een duurzame en solide energiemix.
Collega’s, ik wil tot slot ook nog enkele opmerkingen maken over de begrotingsunie die de voorbije dagen en weken plots weer in de belangstelling is gekomen. Zoals voormalig ECB-voorzitter Draghi vorige week nog aanstipte, is de budgettaire situatie van de diverse lidstaten erg verschillend. Er zijn landen die hun begroting haast in evenwicht hebben en er zijn landen, waaronder België, die grote structurele tekorten met zich meeslepen. Degenen die vandaag oproepen om een begrotingsunie tot stand te brengen, zouden moeten beseffen dat dit gegarandeerd zal leiden tot gigantische politieke spanningen en discussies binnen de EU. Ik durf te betwijfelen of we op dit moment nog een extra spanningsveld nodig hebben. Onze maatschappij, onze burgers en onze bedrijven zouden op dit moment meer gebaat zijn bij stabiliteit en zekerheid in plaats van een nieuw avontuur. Laten we eerst de werken die al aangevat zijn, afwerken in plaats van nieuwe wensdromen te blijven opstapelen.
"
Johan VAN OVERTVELDT,2023-09-13,NL,Framework for ensuring a secure and sustainable supply of critical raw materials (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-235-0000_NL.html,"  Johan Van Overtveldt (ECR).   – Voorzitter, commissaris, de verordening inzake kritieke grondstoffen is een uitgebreid en welgekomen pakket maatregelen om de toegang van de EU tot die kritieke grondstoffen te waarborgen ‒ essentieel in de hele geopolitieke benadering van de EU. De vraag naar die grondstoffen stijgt en we zijn veel te afhankelijk van import.
Vergroening en industrie kunnen overigens perfect hand in hand gaan bij de ontwikkeling van componenten die nodig zijn voor de duurzame transitie. Onze eigen industrie kan verder uitgebouwd worden en zo ook een grotere rol spelen op internationaal vlak. Laten we alsjeblieft niet in de val van protectionisme trappen, maar een open strategische autonomie nastreven.
Twee elementen zijn echt cruciaal voor het behalen van de doelstellingen. Eén: het inzetten op onderzoek, ontwikkeling en innovatie, ook in deze sector. De vooruitgang die hierin behaald kan worden, is bepalend voor onze onafhankelijkheid en onze plaats in de wereld. Twee: het inperken van de vergunningsprocedures, niet enkel op papier, maar ook in de praktijk. Er mag geen enkele discussie ontstaan over het feit dat het algemeen belang ook in dezen steeds moet primeren. 
"
