MP,Date,Language,Title,Url,Content
Jordan BARDELLA,2023-11-22,FR,Reducing regulatory burden to unleash entrepreneurship and competitiveness (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-157-0000_FR.html,"  Jordan Bardella,  au nom du groupe ID. – Madame la Présidente, Monsieur le Commissaire, au fil des années, l’Union européenne n’a cessé d’alourdir le fardeau réglementaire qui pèse sur nos entreprises. Tous les prétextes semblent bon pour empiler des normes qui sont devenues autant d’entraves à la compétitivité de nos économies. Dans un entretien récent, le nouveau patron du Medef, français, lui-même dénonçait cette prolifération normative européenne, de même que la lenteur administrative qui préside au déblocage des fonds publics européens. Il s’alarme de la formation d’un fossé structurel qui se creuse entre l’Union européenne et les États-Unis.
Ces mots, qui sont ceux du patronat français, doivent nous alerter. Dans le domaine de l’intelligence artificielle, cette profusion de normes s’illustre par un cadre contraignant qui fait de nous les champions pour réglementer des business que d’autres créent à notre place. Elle s’illustre dans l’agriculture par des normes écologiques que nous sommes les seuls au monde à appliquer et dont nous dispensons les producteurs hors d’Europe. Enfin, ce bavardage réglementaire trouve l’un de ses meilleurs exemples dans la directive Devoir de vigilance que nos concurrents, au premier rang desquels les États-Unis et la Chine, regardent avec intérêt, curieux de savoir si nous allons être assez fous pour accrocher un nouveau boulet à nos propres pieds.
À l’heure où la sobriété est devenue un mot de vocabulaire courant, il serait de bon ton que l’Union adopte la sobriété normative. Arrêtez de croire que la Commission doit se mêler de tout et qu’elle sait tout faire mieux que les principaux concernés. Laissez nos entreprises et nos entrepreneurs se jeter avec leurs talents dans la compétition mondiale. Laissez-les travailler, produire, créer, innover, embaucher et tout se passera bien.
"
Jordan BARDELLA,2023-11-08,FR,State of the Energy Union (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-08-INT-1-185-0000_FR.html,"  Jordan Bardella,  au nom du groupe ID. – Monsieur le Président, le monde convulse, le Proche-Orient s’embrase et l’onde de choc qui se propage jusqu’en Europe s’ajoute aux tumultes quotidiens de nos concitoyens dont l’angoisse de découvrir leur facture d’énergie n’aura jamais été aussi palpable. Depuis le déclenchement de la guerre en Ukraine, notre continent fait face à une crise de l’énergie sans précédent, plongeant nos États dans des difficultés que nous pourrions comparer à celles vécues lors du premier choc pétrolier d’octobre 73. Même si elle ne fait plus la une de l’actualité, la situation perdure et les prix de l’énergie restent à un niveau préoccupant qui pénalise aussi bien le pouvoir d’achat des ménages que la compétitivité de nos entreprises.
Dans cette crise de l’énergie, loin de vos satisfecit, l’Union européenne n’a pas été un bouclier. Pire, les règles absurdes du marché européen de l’énergie auront été un amplificateur de crise, et il a contribué à diffuser et à intensifier dans nos sociétés les ondes sismiques d’un choc extérieur. Ce marché européen de l’énergie est le symbole d’une politique de l’énergie technocratique et centralisée. Il risque de mener notre continent tout entier vers un hiver économique, avec un exode industriel qui a déjà commencé par ces règles absurdes et qui menace d’appauvrir l’Europe.
Une autre politique est pourtant possible. Elle nécessite le courage politique dont des pays comme le Portugal et l’Espagne, de manière dérogatoire, ont fait preuve en rompant avec les règles imposées par la Commission. Grâce à l’excellence de sa filière nucléaire, la France a tous les atouts pour devenir un paradis énergétique capable d’offrir à ses citoyens des tarifs raisonnables et capable d’attirer à elle tous ceux qui veulent créer, innover et produire. C’est cet avenir que mon mouvement défendra lors de la grande confrontation démocratique le 9 juin 2024.
"
Jordan BARDELLA,2023-10-18,FR,"The despicable terrorist attacks by Hamas against Israel, Israel’s right to defend itself in line with humanitarian and international law and the humanitarian situation in Gaza (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-016-0000_FR.html,"  Jordan Bardella,  au nom du groupe ID. – Madame la Présidente, Madame la Présidente de la Commission européenne, le 7 octobre dernier, Israël était frappé en plein cœur et subissait l’attaque la plus meurtrière de toute l’histoire de l’État hébreu. Nos pensées accompagnent les familles des victimes, des disparus et des 199 otages détenus en ce moment même dans la bande de Gaza.
Cet attentat islamiste, dont l’onde de choc a touché nos sociétés, se révèle pour nous comme une sommation et une ardente obligation. Celle de ne jamais baisser la garde devant la résurgence du risque terroriste et devant les conquêtes incessantes de l’islamisme. Celle de ne rien céder à ce totalitarisme du xxiᵉ siècle. Ayons, à ce titre, la lucidité de reconnaître que l’idéologie du Hamas est déjà présente dans nos sociétés.
Nous ne sommes pas devant un choc des civilisations, mais devant une atteinte barbare à la civilisation. Le Hamas n’est rien d’autre que le mépris pour la vie. Il n’est rien d’autre que la haine du peuple juif, dont il a fait l’une de ses raisons d’être. Dans cette nouvelle épreuve, Israël démontrera au monde sa capacité à réagir face à l’innommable.
Sa riposte, si elle doit être la plus ciblée possible, dans le respect du droit international, est légitime. Il ne peut y avoir et il n’y aura jamais d’impunité pour la barbarie.
"
Jordan BARDELLA,2023-10-18,FR,A true geopolitical Europe now (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-185-0000_FR.html,"  Jordan Bardella (ID).   – Madame la Présidente, Monsieur le Haut Représentant, «l’Histoire est tragique», écrivait Raymond Aron. Et c’est bien au retour du tragique de l’histoire que nous assistons. Partout, nous voyons les convulsions d’un monde lourd de conflits. Partout, les braises de haines anciennes se rallument et menacent d’emporter dans le feu les équilibres précaires qui maintiennent encore un semblant d’ordre international.
Dans ce contexte, la tentative de la présidente de la Commission européenne, Mme von der Leyen, de s’emparer de la diplomatie et de s’exprimer à la place des États membres sur les sujets brûlants de l’actualité internationale relève du scandale et, dans ce contexte, je dirais même du sabotage.
L’Union européenne n’est pas un État fédéral, qui aurait vocation à couvrir de sa voix les diplomaties des États membres. Mme von der Leyen n’a jamais reçu mandat de quiconque pour s’arroger, précisément, cette mission. Ce sont les nations et leurs représentants, élus par une majorité de citoyens, qui sont les seuls habilités à s’exprimer sur des sujets de cette nature.
Nous refusons que la voix singulière de la France disparaisse, remplacée par une diplomatie de technocrates sans aucune légitimité démocratique ou populaire. Parce que la souveraineté des États ne se partage pas, il n’y a aucune raison valable pour que la Commission européenne étende sans fin le champ de sa compétence et s’arroge ainsi des pouvoirs que personne ne lui a conférés. Restez à votre place et laissez les États à la leur.
"
Jordan BARDELLA,2023-10-18,FR,Islamist terrorist attack on French schools and the need to protect people and promote social cohesion (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-474-0000_FR.html,"  Jordan Bardella,  au nom du groupe ID. – Monsieur le Président, il s’appelait Dominique Bernard. Il était professeur dans le Pas-de-Calais. Il incarnait les mots, le savoir, la transmission, la culture, la République française. Il incarnait tout ce qu’eux détestent et combattent. Le professeur Samuel Paty en a lui aussi, il y a trois ans, payé le prix. La France est devenue ce pays où, au xxiᵉ siècle, on peut mourir d’enseigner.
Le meurtre d’un professeur, c’est sans aucun doute «la défaite la plus terrifiante de la raison» et le «triomphe le plus sauvage de la brutalité», pour reprendre les mots du grand écrivain Stefan Zweig, écrits pourtant dans un autre contexte. C’est l’expression la plus barbare de ce qu’est l’islamisme: un totalitarisme qui étend ses ténèbres par la perversité des mots et par la sauvagerie des actes, qui éteint toute lueur de savoir, de liberté et d’émancipation.
À Bruxelles, à Arras, partout en Europe, l’islamisme nous a déclaré la guerre. L’Europe est en guerre, et nous n’avons pas d’autre choix que de répondre, partout où nécessité fait loi, avec une force et une détermination que rien ne doit entamer.
Peuples d’Europe, entendez cet appel! Le sursaut ne viendra pas de ceux qui ont failli; il ne viendra que de vous. Peuple de France, face à la barbarie, réveille-toi! Demande des comptes à ceux qui ont laissé entrer dans nos vies, sur notre sol et dans nos maisons des soldats de l’islam radical. Ne laisse plus ceux qui sont comptables de la situation se dérober face à leurs responsabilités. Exige la vérité de ceux qui, au sein de la Commission européenne, subventionnent avec ton argent les Frères musulmans et ses relais culturels. Sanctionne ces dirigeants, qui ont mené une politique migratoire folle et dérégulée, et qui ont criminalisé tous ceux qui alertaient sur les dangers futurs. C’est à cause d’eux que nos sociétés autrefois unies, à la fois si calmes et si fortes, sont aujourd’hui si disloquées, consumées par des tensions et des conflits qui agitent le monde.
La patrie, la civilisation européenne, ce que nous sommes et, bien sûr, la force des lois sont nos meilleures armes dans cette bataille. Peuples d’Europe, réveillez-vous!
"
Jordan BARDELLA,2023-10-04,FR,Need for a speedy adoption of the asylum and migration package (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-026-0000_FR.html,"  Jordan Bardella (ID).   – Monsieur le Président, mes chers collègues, le drame de Lampedusa est notre avenir si nous ne reprenons pas dès maintenant le contrôle de nos frontières françaises, nationales et européennes.
J’en veux pour preuve les propos de Mme von der Leyen qui a appelé les États membres à accueillir les migrants de Lampedusa, alors que pratiquement aucun d’entre eux ne répond aux critères du droit d’asile. J’en veux pour preuve la jurisprudence européenne qui a décidé d’entraver le refoulement. Sur le sol européen, les juges ont instauré un véritable droit à l’entrée et un appel d’air pour des millions de candidats à la ruée vers l’Europe. J’en veux pour preuve le détournement de Frontex, empêchée dans son rôle de garde-frontière et cantonnée à celui d’agence d’accueil.
Je le dis ici, il n’y a pas d’alternative à la fermeté. Mettre en place la fermeté, c’est protéger les peuples d’Europe d’un monde brutal et sans règles, dans lequel les migrations de masse produisent autant de ravages sur le plan sécuritaire et culturel que les délocalisations en font sur le plan social. Mettre en place la fermeté, c’est dissuader les traversées et donc les drames humains.
Il n’y a pas de droit à l’Europe qui nous obligerait à un accueil illimité et sans condition. Et il ne peut y en avoir parce que les pays européens ne seront jamais des terrains vagues appartenant à tous, vierges d’histoire et vides de peuples. Ils sont la terre des peuples d’Europe et ce sont précisément eux qui sont les seuls en droit de décider qui peut entrer sur leur territoire. Les seuls qui ont le droit de décider ce qu’ils veulent, à savoir être et demeurer eux-mêmes au XXIe siècle.
Ce pacte sera tout l’enjeu des prochaines élections européennes du 9 juin prochain. 
"
Jordan BARDELLA,2023-10-03,FR,Situation in Nagorno-Karabakh after Azerbaijan’s attack and the continuing threats against Armenia (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-343-0000_FR.html,"  Jordan Bardella,  au nom du groupe ID. – Madame la Présidente, mais où sont passées les valeurs de l'Europe? Des images déchirantes nous parviennent du Haut-Karabakh où, jour après jour, la région se vide de ses habitants, jetés sur les routes de l'exode par la force militaire, celle d'un État azéri qui a décidé de rendre toute vie arménienne impossible sur son sol. 
Ce dénouement tragique n'avait rien d'inéluctable. Il n'est que le produit du renoncement à soutenir le droit d'un peuple à vivre sur la terre de ses ancêtres, quand bien même le hasard de l'histoire en aurait confié la souveraineté à d'autres. 
Le Haut-Karabakh, attribué de manière arbitraire à l'Azerbaïdjan par Staline, est incontestablement un foyer de la civilisation arménienne. Sur les hauts plateaux de l'Artsakh, des cités arméniennes ont été fondées il y a plus de deux millénaires et le christianisme y a très vite trouvé une terre d'élection. 
À l'heure où nous nous parlons, l'offensive de l'Azerbaïdjan, avec la bénédiction de la Turquie, menace de tout effacer. Un peuple qui s'en va, c'est une identité qui s'éteint. Demain, c'est peut-être l'intégrité territoriale de l'Arménie qui sera contestée, son territoire ayant déjà été violé par les troupes azéries en 2022. 
Très tôt, nous vous avions alerté sur ce péril. Force est de constater que l'Union européenne préfère le gaz azerbaïdjanais au sang des Arméniens. L'Arménie est seule, prise en étau entre les prétentions turques et un voisin russe qui n'entend plus assurer sa protection. L'honneur de l'Europe est mis à l'épreuve. Oserions-nous continuer à être les spectateurs de la disparition d'un peuple, frère et ami? Comme beaucoup ici, je m'y refuse. 
"
Jordan BARDELLA,2023-09-13,FR,State of the Union (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-030-0000_FR.html,"  Jordan Bardella (ID).   – Madame la Présidente, Madame la Présidente Von der Leyen, le temps du bilan est donc venu. Jamais il n’y a eu un tel écart entre les mots qui forment votre discours et la réalité vécue par des millions d’Européens. Vous voyez, en présidente d’une puissance mondiale respectée, vous êtes à la tête d’une administration froide, affaiblie, dans laquelle les peuples d’Europe ne croient plus. Vous ne jurez que par l’élargissement à tout prix. Nous voyons un rétrécissement sans précédent de l’influence de l’Europe dans le monde.
Par une écologie punitive empruntée à la gauche, vous menacez notre industrie automobile avec la fin annoncée des moteurs thermiques, tout comme vous fragilisez notre autonomie alimentaire avec la stratégie dite «de la ferme à la fourchette» et la décroissance agricole qui en découle. Par les règles absurdes du marché européen de l’énergie, comme par vos atermoiements sur la question du nucléaire, vous faites payer à mon peuple, le peuple français, une facture salée qui prend à la gorge nos entreprises et les familles les plus modestes. Par votre croyance sans limite dans le village global, vous organisez les conditions du désordre de demain en acceptant une immigration de peuplements venus du Sud qui changent notre culture et bouleverse notre art de vivre. Par votre naïveté, les institutions européennes auront été le relais des idéologies islamistes dans d’indécentes campagnes de publicité. Quelle étrange organisation que celle qui finance ses propres ennemis.
L’Europe est entrée dans le temps des incertitudes: le Covid, le retour de la guerre à nos portes, l’intelligence artificielle, le défi démographique, climatique, et je dirais en somme civilisationnel, nous imposent un sursaut, au risque de disparaître. Nous devons exister. La construction européenne doit exister, mais elle ne trouvera le chemin de la puissance et la voie de la confiance des peuples que dans une alliance des nations libres, souveraines, indépendantes, capables d’investir les grands projets du siècle en cours pour rivaliser avec les États-Unis ou la Chine.
J’invite les peuples à prendre date: du 6 au 9 juin, ils pourront mettre un terme définitif à plusieurs années de renoncement pour renouer avec le fil de l’espoir. Vivement le 9 juin.
"
Jordan BARDELLA,2023-07-13,FR,Resumption of the sitting,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-13-INT-4-103-0000_FR.html,"  Jordan Bardella (ID).   – Madame la Présidente, je voudrais faire un rappel au règlement intérieur, sur la base de l’article 133, pour vous demander expressément d’inviter la présidente de la Commission européenne à venir justifier la nomination de Fiona Scott Morton à la Direction générale de la concurrence européenne. Cela a été rappelé, Mme Morton est une Américaine qui a été, durant sa vie professionnelle, consultante pour les GAFAM et soupçonnée dans ce cadre de pratiques douteuses.
Cette décision inquiète puisque les tentaculaires GAFAM semblent désormais avoir l’une des leurs au cœur de la réglementation européenne. Cette question pose a minima la question du conflit d’intérêts. La Commission est-elle libre de toute ingérence et de toute influence de la part des États-Unis d’Amérique et de leurs sociétés? C’est désormais une question vitale pour notre souveraineté.
"
Jordan BARDELLA,2023-07-12,FR,Resumption of the sitting,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-135-0000_FR.html,"  Jordan Bardella (ID).   – Madame la Présidente, je voudrais faire un rappel, s’il vous plaît, au règlement, sur la base de l’article 132 du règlement intérieur du Parlement européen. Je regrette l’absence du président Charles Michel ce matin, lors du débat sur les conclusions du Conseil européen. Charles Michel, dont les dernières déclarations dans la presse à l’égard de l’avenir européen de la Turquie méritent des éclaircissements devant le Parlement.
On aura bien sûr compris qu’avec le temps, le président Erdogan pouvait se permettre toutes les offenses et tous les chantages à notre égard, mais il serait inadmissible que l’adhésion de la Suède à l’OTAN ait été marchandée contre une réouverture des négociations d’adhésion avec la Turquie. M. Michel aurait dû venir s’en expliquer. J’espère qu’il aura l’occasion de le faire. La Turquie n’est pas un État européen et les frontières de l’Europe ne peuvent être l’Irak. 
"
