MP,Date,Language,Title,Url,Content
Jutta PAULUS,2023-12-14,DE,"Outcome of the UN Climate Change Conference 2023 in Dubai, United Arab Emirates (COP28) (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-14-INT-4-015-0000_DE.html,"  Jutta Paulus,  im Namen der Verts/ALE-Fraktion. – Herr Präsident, Frau Kommissarin, meine Damen und Herren! Vor zwei Tagen ist der Klimagipfel zu Ende gegangen. Und es gibt gute Nachrichten: Zum ersten Mal wird das Offensichtliche im Schlussabkommen erwähnt, dass wir nämlich raus müssen aus den Fossilen. Es ist irre, dass das 30 Jahre gedauert hat, das anzuerkennen. Es gibt verbindliche Finanzierungen zum Fonds für Schäden und Verluste, was ja den Klimagipfel in Scharm El-Scheich mehr oder minder gecrasht hat.
Und die OPEC gerät in Panik und verfasst einen Brandbrief an ihre Mitgliedstaaten. Das ist gut, dass die kalte Füße kriegen, denn es geht genau um deren Geschäftsmodell, das das globale Klima in Gefahr bringt. Und Team Europe hat zusammengehalten bis zum Schluss. Das war superwichtig, damit es hier zu einem guten Abschluss kommt.
Aber es gilt jetzt auch zu liefern: Wir müssen den Green Deal komplett umsetzen. Der Emissionshandel, die Effizienzrichtlinie, die Erneuerbare-Energien-Richtlinie – das alles muss implementiert werden. Und wir als Parlament sind auch gehalten, unsere Mitgliedstaaten daran zu erinnern und auch die Kommission daran zu erinnern, das einzufordern.
Und wir brauchen ein Zwischenziel für 2040, das sich an der Wissenschaft orientiert. Die Europäische Union darf nicht nur auf Klimagipfeln schöne Worte finden, sie muss auch zu Hause das umsetzen, was die Wissenschaft fordert. Und auch dafür werden wir als Parlament der Kommission auf die Finger schauen.
"
Jutta PAULUS,2023-11-21,DE,Sustainable use of plant protection products (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-042-0000_DE.html,"  Jutta Paulus (Verts/ALE).   – Frau Präsidentin, Frau Kommissarin, liebe Kolleginnen und Kollegen! Es ist interessant, dass jede Rednerin, jeder Redner hier betont, das eigene Land sei ja schon Vorreiter bei der Reduktion von Pestiziden. Dann brauchen Sie ja eigentlich keine Angst vor dieser Verordnung zu haben, denn die gemachten Fortschritte werden ja berücksichtigt.
Jetzt kommen wir aber noch einmal bitte zurück zu den wissenschaftlichen Fakten. Die Europäische Umweltagentur hat in vielen Berichten klargestellt: Unsere Biodiversität, die Artenvielfalt ist massiv gefährdet. Und die Artenvielfalt ist kein Wert an sich, sondern sie ist unsere Überlebensgrundlage für Trinkwasser, für saubere Luft, für fruchtbare Böden. Und laut Umweltagentur ist einer der Haupttreiber der massive Pestizideinsatz in den Ländern der Europäischen Union.
Deshalb ist es wichtig und richtig, den Pestizideinsatz zu reduzieren. Und der Umweltausschuss hat hier einen sehr guten Bericht vorgelegt, in dem nämlich die Bäuerinnen und Bauern unterstützt werden – durch unabhängige Beratung, durch finanzielle Unterstützung. Und es ist schon ganz interessant, dass ausgerechnet der Agrarausschuss diese finanzielle Unterstützung streichen will. Ja, dann kann das nicht funktionieren. Und wie Sie richtig gesagt haben: Die Bäuerinnen und Bauern machen das ja nicht aus Spaß an der Freud, dass sie ihre eigene Gesundheit gefährden. Deswegen wollen wir sie auf diesem Weg mitnehmen.
(Die Rednerin ist damit einverstanden, eine Frage nach dem Verfahren der „blauen Karte“ zu beantworten.)
"
Jutta PAULUS,2023-11-21,DE,Sustainable use of plant protection products (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-044-0000_DE.html,"  Jutta Paulus (Verts/ALE),  Antwort auf eine Frage nach dem Verfahren der „blauen Karte“. – Also, die Kommission ist natürlich davon ausgegangen, dass wir ansonsten nichts ändern, dass wir weiterhin ein Drittel unserer Lebensmittel wegwerfen, dass wir weiterhin auf 60 % der Fläche Tiernahrung anbauen und eben nicht Lebensmittel für die menschliche Ernährung.
Ich glaube, da könnten wir viel besser ansetzen, als zu überlegen, von welchen Ländern wir jetzt nichts importieren wollen. Ich darf auch an der Stelle daran erinnern, dass regelmäßig, wenn ich Einsprüche gegen die Heraufsetzung von Grenzwerten formuliere, um Importe nicht zu gefährden, die EVP-Fraktion dagegen stimmt.
(Die Rednerin ist damit einverstanden, eine Frage nach dem Verfahren der „blauen Karte“ zu beantworten.)
"
Jutta PAULUS,2023-11-21,DE,Sustainable use of plant protection products (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-046-0000_DE.html,"  Jutta Paulus (Verts/ALE),  Antwort auf eine Frage nach dem Verfahren der „blauen Karte“. – Ich halte den Begriff „Pflanzenschutzmittel“ tatsächlich für irreführend, insbesondere bei den Herbiziden, die ja Pflanzen töten sollen. Insofern finde ich, ist der Begriff „Pflanzenschutzmittel“ ein bisschen irreführend. Man könnte meinetwegen von „Kulturschutzmitteln“ sprechen, das käme der Sache näher. Aber lassen Sie uns doch bei dem englischen Begriff „pesticides“, der auch wissenschaftlich sehr etabliert ist, bleiben.
Bei den neuen Züchtungsmethoden: Ich bin so ein bisschen im Zweifel, ob wir da am Ende tatsächlich zu einer Pestizidreduktion kommen, und ich bin mir auch nicht sicher, ob die Landwirtinnen und Landwirte so glücklich sind, wenn dann diese neuen Züchtungsmethoden dazu führen, dass das Saatgut eben patentiert ist und sie selber nichts nachzüchten können.
"
Jutta PAULUS,2023-11-20,DE,"UN Climate Change Conference 2023 in Dubai, United Arab Emirates (COP28) (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-092-0000_DE.html,"  Jutta Paulus (Verts/ALE).   – Frau Präsidentin, Herr Kommissar, liebe Kolleginnen und Kollegen! Wir fahren zur COP und haben etwas dabei: Die EU hat es geschafft, sich auf die Methanverordnung zu einigen; wir werden die Methanemissionen aus dem Energiesektor substanziell verringern, und wir werden – das ist besonders wichtig: Wir werden das auch auf unsere Importe ausdehnen. Das ist ein Riesenwurf. Das bedeutet nämlich, dass alle Importeure von Gas, Öl, Kohle in die Europäische Union sich an diese Verordnung werden halten müssen.
Ich möchte noch einmal an den Bericht des UN-Umweltprogramms vom letzten Jahr erinnern, in dem es hieß, wenn wir es schaffen, die Methanemissionen bis 2030 um 50 % zu verringern, sparen wir uns 0,3 °C Erderhitzung. Deswegen sind die Methanemissionen so wichtig. Ich bin immer noch unheimlich glücklich, dass es uns letzte Woche gelungen ist, hier zu einem guten Ergebnis zu kommen.
Ich werde auf der COP auch sehr viele Gespräche mit Delegierten aus anderen Ländern führen, um zu schauen, wie wir da schnell gemeinsam vorankommen, weil der große Sektor Landwirtschaft, der steht noch aus.
"
Jutta PAULUS,2023-10-17,DE,Water scarcity and structural investments in access to water in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-328-0000_DE.html,"  Jutta Paulus (Verts/ALE).   – Herr Präsident, Herr Kommissar, liebe Kolleginnen und Kollegen! Wasser ist Leben. Unser blauer Planet ist zu 70 Prozent von Wasser bedeckt, aber nur ein Bruchteil davon, ein winziger Bruchteil ist Süßwasser – und diese elementare Ressource müssen wir endlich adäquat schützen. Denn ohne sauberes Wasser haben wir nichts zu trinken. Wir können keine Nahrungsmittel anbauen, wir können auch keine funktionierende Wirtschaft aufbauen.
Aber seit Jahrzehnten gehen wir mit dem kostbaren Nass um, als gäbe es kein Morgen. Wir pumpen mehr Grundwasser aus dem Boden, als sich nachbilden kann, wir leiten giftige Abwässer unzureichend geklärt in unsere Flüsse, wir zerstören Moore und Feuchtgebiete, die die Nieren unserer Landschaft sind, die Wasser speichern, die Schadstoffe abbauen und die uns vor Starkregen-Ereignissen schützen können, weil sie Wasser eben nur verlangsamt wieder abgeben können.
Und noch immer werden unfassbare Mengen Wasser verschwendet in Industrie und Landwirtschaft, anstatt dass wir endlich in sparsamere Prozesse investieren. Es ist kurz vor zwölf, denn der Klimawandel wird die Wasserkrise noch verschärfen. Abwarten bis zum letzten Tropfen ist keine Option.
"
Jutta PAULUS,2023-10-04,DE,The proposed extension of glyphosate in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-251-0000_DE.html,"  Jutta Paulus,  im Namen der Verts/ALE-Fraktion. – Herr Präsident, Frau Kommissarin, meine Damen und Herren! Unglaubliche 4 000 Tonnen Glyphosat werden allein in Deutschland jedes Jahr auf unsere Felder gesprüht. Unsere Bürgerinnen und Bürger sind zu Recht besorgt, denn es kann eben nicht ausgeschlossen werden, dass Glyphosat krebserregend ist, das vermutet nämlich das Krebskomitee der Weltgesundheitsorganisation, die sollten es ja wissen: wahrscheinlich krebserregend. Vor diesem Hintergrund finde ich es sehr beunruhigend, dass die Europäische Chemikalienagentur bei ihrer Beurteilung nur einen Teil der vorhandenen Krebsstudien zugrunde gelegt hat. Denn ich finde, bei so einem Thema sollte man doch bitte die gesamte Evidenz betrachten.
Unabhängig vom Krebsrisiko ist unbestritten: Glyphosat ist hochgefährlich für Wasserorganismen. Und die Annahme, dass dieses Herbizid nicht ins Wasser gelangt, ist, vorsichtig gesagt, optimistisch. Denn wenn wir Pestizidwirkstoffe in weit abgelegenen Bergregionen finden, dann könnte es doch auch sein, dass das Glyphosat in die Gewässer direkt am Feld gelangt.
Bodenleben: Glyphosat wurde ursprünglich als Antibiotikum entwickelt. Was macht es mit unserer Bodenfruchtbarkeit? Das wissen wir nicht. Und die EFSA hat selber sowohl schriftlich als auch im Ausschuss beim Hearing gesagt: „Uns fehlen Daten für eine endgültige Beurteilung der Risiken.“ Also ich habe ja die längste Zeit meines Lebens in einem wissenschaftlichen Labor gearbeitet. Wenn wir in einem Abschlussbericht an den Kunden geschrieben hätten: „Dafür fehlen uns Daten, wir können das nicht beurteilen“, das hätte kein Kunde akzeptiert, das ist doch klar. Und „no critical areas of concern“ heißt nicht keine Bedenken, sondern das heißt nur, keines der Bedenken ist bei allen 23 Anwendungsfällen aufgetreten. Das ist ein geringfügiger Unterschied.
Dieser Vorschlag zeigt für mich ganz deutlich: Wir brauchen ein neues Zulassungsverfahren für Pestizide, denn das bisherige lässt ja anscheinend zu, dass Substanzen mit Datenlücken, potenziell gesundheitsgefährdend, potenziell biodiversitätsschädlich, weiter auf den Markt kommen, und gleichzeitig verhandelt man ein Renaturierungsgesetz, um das Ganze wieder zu reparieren. Ich finde, das müssen wir besser machen.
"
Jutta PAULUS,2023-10-03,DE,"Classification, labelling and packaging of substances and mixtures (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-506-0000_DE.html,"  Jutta Paulus,  im Namen der Verts/ALE-Fraktion. – Herr Präsident, Herr Kommissar, meine Damen und Herren! Ich freue mich! Ich freue mich wirklich, dass wir in diesen Verhandlungen zur Verordnung über die Einstufung, Kennzeichnung und Verpackung von Stoffen und Gemischen zu guten Kompromissen gekommen sind. Ich möchte mich bei Maria Spyraki bedanken für die fairen und konstruktiven Verhandlungen, denn das ist wirklich ein wichtiger Schritt für den Verbraucherschutz.
Die Kennzeichnung gefährlicher Chemikalien ist wirklich wichtig für die Gesundheit der Beschäftigten in den jeweiligen Branchen, aber auch für die von Bürgerinnen und Bürgern. Ich bin sehr froh, dass wir erstmals eine Kennzeichnung bekommen werden für hormonähnlich wirkende Chemikalien. Das gab es bisher noch nicht, das ist wirklich ein Novum, und ich baue darauf, dass das auch global akzeptiert und aufgenommen werden wird.
Auch Chemikalien mit Langzeitrisiken werden gekennzeichnet, und wir konnten erreichen, dass es eine sinnvolle und konsistente Kennzeichnung von Mischungen gibt. Denn da gab es bisher eine Regulierungslücke.
Es ist auch gelungen − die Kollegen haben es schon gesagt −, die Bedenken von insbesondere kleinen Produzenten von ätherischen Ölen angemessen zu berücksichtigen, ohne dabei Abstriche am Gesundheitsschutz zu machen. Wir schließen die Schlupflöcher der bisherigen Verordnung bei Onlineverkäufen, bei Nachfüllstationen.
Und rundherum muss ich sagen, meine Damen und Herren, mit dieser Verordnung zeigen wir: Europa nimmt die Gesundheit seiner Bürgerinnen und Bürger und die Gefahren, die von Chemikalien ausgehen können, ernst. Ich vertraue darauf, dass auch die anderen Bestandteile der Chemikalienstrategie für Nachhaltigkeit noch in dieser Legislaturperiode vorgelegt werden.
Liebe Maria, ich glaube, wir werden in den Verhandlungen mit dem Rat der Mitgliedstaaten ebenfalls zu einem guten Ergebnis kommen. Deshalb an dieser Stelle schon mal ganz herzlichen Dank!
"
Jutta PAULUS,2023-09-12,DE,"Towards a more disaster-resilient EU - protecting people from extreme heatwaves, floods and forest fires (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-057-0000_DE.html,"  Jutta Paulus (Verts/ALE).   – Herr Präsident, liebe Kolleginnen und Kollegen! Wir werden jedes Jahr, Jahrhundert und Jahrtausend Extremwetterereignisse erleben. Das ist nämlich das, was uns die Wissenschaft schon seit Jahren vorhersagt.
Denn – anders als viele immer wieder behaupten, das seien ja nur Computermodelle – wir haben sehr leistungsfähige Modelle, wir haben sehr leistungsfähige Parameter, und das wird abgeglichen mit dem, was in der Vergangenheit schon beobachtet wurde. Das ist also keine reine Spekulation. Und wie gesagt, die Wirklichkeit zeigt uns ja, dass es passiert.
Und viele haben jetzt gesagt: Wir brauchen eine bessere Anpassungsstrategie. Ja, das ist richtig, wir müssen der Natur mehr Raum geben, denn die natürlichen Lösungen sind in solchen Fällen in aller Regel auch die kostengünstigsten. Aber wir müssen auch überlegen im Wiederaufbau, wo bauen wir was wieder auf? Es hat keinen Sinn, an Stellen, die immer wieder von Überflutungen betroffen sein werden, neue Infrastruktur aufzubauen. Dafür werden unsere Mittel schlicht und ergreifend nicht reichen.
Und ein Blick in die USA zeigt auch: Die Versicherungsgesellschaften werden es ablehnen, solche Infrastruktur weiter zu versichern und zu decken. Das heißt, es ist auch an uns – der Politik –, zu handeln und Vorgaben zu machen, damit wir kein Kapital verschwenden.
"
Jutta PAULUS,2023-09-12,DE,Sustainable aviation fuels (ReFuelEU Aviation Initiative) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-523-0000_DE.html,"  Jutta Paulus,  Verfasserin der Stellungnahme des mitberatenden Ausschusses für Industrie, Forschung und Energie. – Frau Präsidentin, Frau Kommissarin, meine Damen und Herren! Gemessen am CO2-Ausstoß ist der Flugverkehr für 3 % der globalen Treibhausgasemissionen verantwortlich. Er gehört zu den am schnellsten wachsenden Sektoren – heute fliegen täglich mehr als 10 Millionen Menschen.
Deshalb ist es gut und wichtig, dass wir ein Gesetz verhandelt haben, mit dem zumindest der Einstieg in den Ausstieg aus fossilen Treibstoffen im Luftverkehr geschaffen wird. Aber machen wir uns nichts vor:
Erstens: Wir kümmern uns nur um ein Drittel der Emissionen, denn die Klimawirkung der Kondensstreifen bleibt außen vor.
Zweitens: Die Quoten für E-Fuels, die wir im Luftverkehr wirklich brauchen, sind viel zu niedrig. Und elektrische Flüge – José, die gibt es tatsächlich auch schon heute – bleiben völlig außen vor und werden nicht angerechnet. Damit verpassen wir eine Chance für unsere Industrie, international Vorreiter zu werden.
Drittens: Wir wollen zwar 2050 klimaneutral sein, aber wollen dann immer noch 30 % fossiles Kerosin verfliegen.
Bleibt zu hoffen, dass sich die nächste Fassung dieser Verordnung mehr an den tatsächlichen Notwendigkeiten orientiert und nicht an den Sorgen der Luftfahrtindustrie.
"
