MP,Date,Language,Title,Url,Content
Jérémy DECERLE,2023-10-19,FR,Generational renewal in the EU farms of the future (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-19-INT-4-086-0000_FR.html,"  Jérémy Decerle,  au nom du groupe Renew. – Monsieur le Président, Monsieur le Commissaire, le fait que nous nous préparions à adopter sans amendements un rapport sur le renouvellement des générations dans l’agriculture peut être vu comme un bon signe. Notre Europe attend énormément de son agriculture, notamment sur le plan environnemental.
Mais une chose est certaine, pour relever nos défis, nos nombreux défis, et pour réussir les transitions, il y a une condition: arrêtons de perdre des paysans. L’envie chez les jeunes est là, mais cela ne suffit pas. Il faut des moyens.
À l’heure des mots et des prises de parole engagées, beaucoup sont prêts à tout pour la jeunesse agricole, mais, à l’heure des comptes et des arbitrages budgétaires, il n’y a souvent plus grand monde.
Je me félicite donc sans réserve de ce rapport et je remercie Isabel Carvalhais pour la coordination de ce travail.
J’aimerais cependant que nous tous, nous, députés, qui allons voter ce texte et vous, membres d’autres institutions, qui allez le saluer, soyons au rendez-vous au moment des prochains gros sujets politiques.
Nous devrons à chaque fois avoir le courage de prendre les décisions qui aideront vraiment, significativement, les jeunes agriculteurs.
"
Jérémy DECERLE,2023-10-04,FR,The proposed extension of glyphosate in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-266-0000_FR.html,"  Jérémy Decerle (Renew).   – Monsieur le Président, Madame la Commissaire, ne laissons pas les discours simplistes nous piéger. Le chemin que nous prenons, c'est celui d'un renouvellement du glyphosate. Tout le monde le sait et c'est, je crois, raisonnable. La vraie question que chacun devrait regarder en face, c'est celle des conditions de ce renouvellement. La proposition de la Commission n'est en effet pas sérieuse, car elle n'intègre aucune de ces conditions d'usage en continuant d'en laisser la responsabilité aux États membres. 
Un tel laxisme sur ce sujet, c'est de la distorsion de concurrence assurée entre les agriculteurs européens. Avec le cas emblématique du glyphosate, notre réglementation de mise en marché montre ses limites. Ce dont nous avons vraiment besoin, c'est d'une harmonisation réelle et forte des autorisations, avec des conditions d'usage établies au niveau européen. Pour ne pas laisser l'agriculture dans l'impasse et la société sans réponse n'interdisons pas sans solution, mais n'autorisons pas sans conditions harmonisées.
(L'orateur accepte de répondre à une question «carton bleu»)
"
Jérémy DECERLE,2023-10-04,FR,The proposed extension of glyphosate in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-268-0000_FR.html,"  Jérémy Decerle (Renew),  réponse «carton bleu». – Madame Aubry, une chose est sûre, c’est que je ne défends pas les mêmes intérêts que vous et que je ne les défends pas de la même manière. Moi j’ai de la sensibilité pour les paysans, pour le monde paysan, pour tous ceux qui se lèvent le matin pour essayer de nourrir les Européens. Donc je n’ai pas de leçon à recevoir de vous sur ce que j’étais, sur ce que je suis et sur ce que je défends.
Je défendrai toujours les agriculteurs et ce que je demande aujourd’hui, c’est quelque chose de raisonnable, c’est qu’on fasse une sortie du glyphosate, mais une sortie propre, justement, où on emmène tout le monde en même temps et où la France ne se retrouve pas en avance sur les autres et perdante pour son agriculture. Voilà. Donc ne me donnez pas de leçon et continuez de faire votre politique politicienne nationale ici à Bruxelles. Moi je défends les Européens, je ne défends pas que les Français.
"
Jérémy DECERLE,2023-09-13,FR,Reviewing the protection status of wolves and other large carnivores in the EU (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-185-0000_FR.html,"  Jérémy Decerle (Renew).   – Madame la Présidente, Madame la Commissaire, contrairement à ce que certains pensent, pour les victimes, le problème de la prédation n’a rien d’anecdotique. 11 000 animaux tués, déchiquetés, en France, 4 000 en Allemagne, 700 en République tchèque. Face à ces chiffres, le bénéfice pour la biodiversité est largement discutable. On peut admirer le loup, l’ours et autres carnivores, mais on ne peut pas fermer les yeux sur les dégâts qu’ils causent, sur le stress et la détresse qu’ils engendrent chez les éleveurs.
J’invite donc ceux qui n’assument pas cette réalité, qui aiment ces gentilles bêtes mais les aiment de loin, depuis leurs villes, à leur offrir une place de choix sur leur balcon, dans leur parc urbain ou leur forêt péri-urbaine. Les prédateurs ne connaissent pas de frontières, et comme l’a dit Ursula von der Leyen: «face aux grands carnivores, l’élevage européen est en danger». Pour apporter des réponses concrètes, harmonisons le comptage, facilitons l’abattage et ayons le courage politique de réviser le statut du loup et des autres si nécessaire.
"
Jérémy DECERLE,2023-07-10,FR,Industrial Emissions Directive - Industrial Emissions Portal - Deployment of alternative fuels infrastructure - Sustainable maritime fuels (FuelEU Maritime Initiative) - Energy efficiency (recast) (joint debate - Fit for 55 and Industrial Emissions),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-10-INT-1-085-0000_FR.html,"  Jérémy Decerle (Renew).   – Madame la Présidente, Madame la Commissaire, le sujet des émissions polluantes est certainement important, mais je n’imaginais pas que la Commission européenne ne verrait pas l’erreur grossière qui consiste à faire rentrer au forceps l’agriculture dans un cadre inadapté.
Vouloir assimiler l’élevage européen aux industriels avec autant de légèreté est dangereux et inopérant. C’est ignorer les progrès déjà faits dans le domaine, grâce notamment à la politique agricole commune. Car si notre agriculture n’est pas parfaite, elle reste la plus vertueuse au monde. Arrêtons de la fragiliser, protégeons-la.
Le pacte vert, pour réussir, doit cesser de chercher des symboles, des seuils, des chiffres, des contraintes qui, magiquement, régleraient tout. Cela ne marchera pas. Il faut pour l’élevage une approche globale de la durabilité. Alors, pour ma part, pour protéger, pour soutenir les agriculteurs, je ne vois pas d’autre choix que le statu quo sur le volet agricole de ce texte. 
"
Jérémy DECERLE,2023-05-10,FR,The role of farmers as enablers of the green transition and a resilient agricultural sector (continuation of debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-10-INT-3-073-0000_FR.html,"  Jérémy Decerle (Renew).   – Monsieur le Président, Madame la Commissaire, effectivement, on aurait préféré avoir Monsieur le Commissaire à l’agriculture à vos côtés pour nous écouter, mais ce n’est pas le cas.
Je suis à peine surpris par bon nombre d’interventions entendues ce matin. Une certaine droite conservatrice, qui avait pourtant en partie voté le Green Deal il y a trois ans, nous fait croire aujourd’hui qu’on peut refuser le changement. Et puis une certaine gauche, les Verts en tête, qui joue la carte du catastrophisme, condamne sans raison, et est donc inaudible des agriculteurs. La responsabilité politique n’est pas tant de nous demander si on doit changer, mais de nous demander comment.
Et les agriculteurs ne nous ont pas attendu pour faire évoluer leurs pratiques. Ils n’ont pas attendu non plus, bien sûr, la guerre en Ukraine. Oui, évidemment, ils contribueront au Green Deal, mais si on leur en donne les moyens. Et les moyens de limiter notamment nos dépendances sans remettre en cause la productivité globale. Soyons ambitieux, mais ne sous-estimons surtout pas l’investissement que cela représente financièrement et humainement, et préférons, vous l’avez dit, toujours l’incitation forte, motivante, responsabilisante à la sanction décourageante et très rarement efficace.
"
Jérémy DECERLE,2023-03-16,FR,Long term commitment to animal welfare (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-16-INT-4-158-0000_FR.html,"  Jérémy Decerle,  au nom du groupe Renew. – Monsieur le Président, Madame la Commissaire, le bien-être des animaux, notamment d'élevage, est une attente citoyenne qu'il faut prendre au sérieux. C'est d'ailleurs aussi, n'en déplaise à certains, une préoccupation majeure des éleveurs. On n'en parle pas beaucoup, mais avant tout, les éleveurs aiment et chérissent leurs animaux et tous les acteurs de la filière n'ont aucun intérêt à travailler avec des animaux maltraités. Donc prendre un sujet au sérieux, ça peut vouloir dire lui donner une reconnaissance symbolique comme peut-être un commissaire dédié, mais cela veut surtout dire le traiter avec sérieux. 
De mon expérience et de mon travail avec mes collègues des autres groupes sur le rapport que j'ai porté l'année dernière, je retiens notamment que les éleveurs, que nous faisons déjà beaucoup de bonnes choses en matière de bien-être animal et que, pour continuer à progresser, il faut le faire collectivement en se donnant des règles adaptées à chaque espèce – vous l'avez dit, Madame la Commissaire – que nous sommes capables de faire appliquer partout, de façon homogène en Europe et en se dotant enfin de moyens financiers dédiés et suffisants pour atteindre nos objectifs. 
Il faut aussi que ces règles, pour qu'elles soient viables, soient conditionnées aussi aux normes des produits que nous importons en Europe. Donc, pour ceux qui seraient pressés de signer le Mercosur, il y a encore un petit peu de boulot pour qu'on adapte justement nos règles. Et puis enfin, il faut aussi qu'un étiquetage soit un peu mieux encadré. La DG Santé nous fera bientôt des propositions. J'espère qu'elles s'appuieront aussi sur des principes sérieux.
"
Jérémy DECERLE,2022-12-12,FR,A long-term vision for the EU's rural areas (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-12-12-INT-1-133-0000_FR.html,"  Jérémy Decerle,  au nom du groupe Renew. – Madame la Présidente, Madame la Commissaire, loin des affaires qui secouent fortement notre Parlement, les zones rurales représentent plus de 80 % des territoires européens. Des territoires qui se sentent souvent, à tort ou à raison, un peu oubliés. 
Avec ce rapport, je suis fier que le Parlement leur adresse un message sérieux, complet, éclairé et bien travaillé. J’espère surtout que la Commission nous entendra et qu’elle transformera l’essai de sa communication de juin 2021. J’espère que nous avancerons sur l’observatoire et la définition des zones rurales fonctionnelles, que nous appliquerons le principe du «réflexe ruralité» à l’ensemble des politiques européennes et que nous rendrons nos fonds et nos accompagnements financiers plus efficaces. 
Nous avons besoin de redonner de la visibilité à nos campagnes, de les rendre plus attrayantes et d’enrayer la chute démographique – dans le domaine de l’agriculture, bien sûr, mais aussi au-delà. Il y a d’ailleurs des signaux encourageants dans certaines régions européennes, que nous pourrions multiplier en collaborant davantage avec les acteurs de terrain. 
Bruxelles ne construira pas seule l’avenir des zones rurales. Nous devons soigner et accompagner de façon complète et adaptée ces zones qui jouent tant de rôles, à commencer par celui de fournir la quasi-totalité de notre alimentation. 
J’espère que les États membres, mais aussi les régions, pourront continuer à agir, à se coordonner et à mettre en œuvre leurs programmes respectifs: c’est là un grand enjeu pour l’équilibre de notre Europe. Merci encore à notre rapporteure, Isabel Carvalhais. Je pense qu’il faut approuver ce texte dans son intégralité, y compris, donc, le paragraphe sur les prédateurs. 
"
Jérémy DECERLE,2022-11-23,FR,Protection of livestock farming and large carnivores in Europe (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-11-23-INT-3-465-0000_FR.html,"  Jérémy Decerle (Renew).   – Monsieur le Président, pendant que nous pesons avec beaucoup de précaution nos mots pour tenter de concilier l’inconciliable, des éleveurs de plus en plus nombreux dans toute l’Europe se sentent acculés, ignorés, incompris. Je veux leur rendre hommage pour tout le travail qu’ils font et le courage qu’ils ont. Leur détresse profonde devrait nous alerter.
Peut-on à la fois protéger le loup et l’élevage? Peut-être, mais certainement pas partout. Quels que soient les moyens qu’on voudra y mettre, quelles que soient les protections et les indemnisations, il y a des zones où la cohabitation restera impossible. Admettons-le.
Ce débat aujourd’hui en plénière montre au moins que nous ne fermons pas les yeux. Mais nous devons avoir plus de courage politique. Très concrètement, nous devons tout de suite donner plus de flexibilité à la règlementation pour que les États membres puissent agir plus efficacement. Et agir ne veut pas dire compter les carcasses de moutons et de vaches. Agir veut dire abattre de façon ciblée les prédateurs aux comportements dévastateurs. 
"
Jérémy DECERLE,2022-07-06,FR,Facilitating export of Ukrainian agricultural products: key for Ukrainian economy and global food security (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-07-06-INT-3-183-0000_FR.html,"  Jérémy Decerle (Renew).   – Madame la Présidente, Madame la Commissaire, Monsieur le Ministre, l’Ukraine souffre dans une guerre qui n’en finit plus d’être dévastatrice. Face à cela, le peuple ukrainien nous donne à tous une leçon de courage: il se bat sans relâche pour son pays, ses enfants, mais aussi son agriculture.
Une agriculture différente de la nôtre, mais solide et productive. Une agriculture qui mérite un soutien urgent de l’Europe pour sortir sa production du territoire. Le monde en a besoin pour se nourrir, l’Ukraine en a besoin pour sauver sa prochaine récolte. L’Europe doit aussi être plus visionnaire. L’Europe doit aider les Ukrainiennes et les Ukrainiens à rebâtir leur agriculture, à accompagner son évolution pour qu’elle se rapproche plus de la nôtre et pour commencer dès maintenant à dessiner l’avenir de nos modèles agricoles.
Une agriculture forte et durable: fondation d’une union Europe-Ukraine capable de répondre à l’enjeu de la sécurité alimentaire mondiale.
"
