MP,Date,Language,Title,Url,Content
Jérôme RIVIÈRE,2023-06-14,FR,"Preparation of the European Council meeting of 29-30 June 2023, in particular in the light of recent steps towards concluding the Migration Pact (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-14-INT-3-029-0000_FR.html,"  Jérôme Rivière (NI).   – Monsieur le Président, les débats choisis par la majorité avant la réunion du Conseil entonnent la même lancinante rengaine. Si, doucement, face à la colère grandissante des peuples, vous condescendez à parler d’immigration, cela reste toujours l’occasion de mieux la justifier et d’imaginer des méthodes de répartition contraignantes et brutales des migrants partout sur notre territoire, qui pourtant refuse cette submersion.
Autre obsession: le refus de reconnaître aux peuples européens le choix des politiques qu’ils souhaitent voir appliquer dans leurs pays, dès qu’ils refusent la disparition de leur nation. Hongrie et Pologne sont sans cesse dans vos pensées maniaques. Non, l’état de droit n’est pas plus menacé en Pologne qu’en Hongrie. Balayez devant nos propres institutions: corrompues, elles sont loin d’être exemplaires.
Enfin, vos ingérences dans les affaires des États membres et vos désirs de normes toujours plus contraignantes, au nom d’une idéologie écologiste dogmatique, mettent en péril des pans entiers de l’activité économique et agricole de pays membres. Heureusement, à l’image de ce que Silvio Berlusconi avait entamé en Italie, le refus de vos idéologies par les peuples prépare pour l’année prochaine le grand retour des droites conservatrices en Europe. 
"
Jérôme RIVIÈRE,2023-06-13,FR,Situation in Lebanon (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-13-INT-2-296-0000_FR.html,"  Jérôme Rivière (NI).   – Monsieur le Président, comme le disait avec talent Auguste Comte: «Les morts gouvernent les vivants.» En tant que parlementaire français, à propos du Liban, je ne peux ignorer la promesse de saint Louis de protéger les chrétiens d’Orient. Cette promesse nous oblige, même si elle reste trop souvent ignorée.
Le Liban, ce pays qui a longtemps été présenté comme modèle d’un multiculturalisme réussi, est agonisant aujourd’hui. De multiculturel il est devenu multiconflictuel. Il est bien un exemple, mais l’exemple de ce qu’il faut à tout prix éviter. Il est bloqué politiquement – c’est dès lors, comme toujours, le peuple qui souffre.
En dépit d’une situation régionale qui semble s’apaiser, le Parlement libanais, après onze séances infructueuses, ne parvient toujours pas à élire un chef d’État. Au pays du Cèdre, ce sont les arsenaux militaires des différentes communautés qui pèsent, et le Hezbollah, expert en la matière, a déjà annoncé que le vote de demain serait une perte de temps. 
Face à ce chantage permanent de recours à la force et à la violence, nous devons passer un message essentiel: nous veillerons sans répit et sans faiblesse à la protection des communautés chrétiennes, bien trop souvent persécutées dans cette région du monde.
"
Jérôme RIVIÈRE,2023-05-31,FR,Breaches of the Rule of law and fundamental rights in Hungary and frozen EU funds (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-31-INT-1-152-0000_FR.html,"  Jérôme Rivière (NI).   – Monsieur le Président, cette assemblée devrait retrouver ce que Pascal appelait «l’esprit de finesse». Il a ses principes, écrivait-il, dans l’usage commun et devant les yeux de tout le monde. Ces principes, on les voit à peine, on les sent plutôt qu’on ne les voit. On a des peines infinies à les faire sentir à ceux qui ne les sentent pas d’eux-mêmes. Clairement, ici, dans cette assemblée, cet esprit de finesse, vous ne le sentez pas.
Érigeant de façon arbitraire et arrogante de pseudo-valeurs communes en axiomes, vous tentez d’imposer un État souverain, dont le gouvernement et le président ont été démocratiquement élus, des réformes et des politiques dont le peuple hongrois ne veut pas. Ce faisant, vous donnez chaque jour plus d’arguments à ceux qu’insupporte le fonctionnement autocratique et brutal de cette Union européenne.
Cette mandature aura vu la sortie du Royaume-Uni. Ces débats incongrus préparent une sécession plus large encore pour résister à vos ingérences injustifiées. Comme l’a dit Judit Varga, la ministre hongroise de la Justice, cette discussion est insensée. Votre pression politique est illégitime et inconvenante. En bafouant les droits de la Hongrie, vous dévoilez le véritable visage de l’UE: celui d’une institution à la dérive, s’éloignant des principes démocratiques, méprisant les peuples, cherchant à imposer une idéologie à tout prix.
"
Jérôme RIVIÈRE,2023-04-18,FR,Energy storage (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-18-INT-2-134-0000_FR.html,"  Jérôme Rivière (NI).   – Monsieur le Président, aux hommes qui transgressaient toutes les limites, empruntaient la voie de l’outrance ou de l’impéritie, les Grecs promettaient la vengeance de Némésis. Cette messagère de justice, nous disent Platon et les tragiques, sanctionnait la démesure et l’incompétence par un châtiment approprié. Il y a longtemps que nous nous sommes éloignés de la mythologie grecque, mais sur le sujet de l’énergie comme sur bien d’autres, une certaine sagesse devrait encore valoir pour nous. 
Alors si prévoir des réserves et des stockages d’énergie est indispensable, ce sont bien d’indigentes et idéologiques politiques énergétiques de pays comme l’Allemagne ou la France qui nous ont conduits à la situation actuelle. En arrêtant ou en négligeant la filière nucléaire, ces pays ont mis en danger l’approvisionnement électrique et concouru à la hausse des prix de l’énergie. 
Quant à la Commission, qui n’a rien anticipé et poussé toujours vers plus de dérégulation, de concurrence à outrance, de dénucléarisation, elle a échoué sur toute la ligne. Et ce ne sont pas les annonces incohérentes d’une Allemagne qui s’enorgueillit de fermer ses trois derniers réacteurs nucléaires, quand la France, peut-être sortie d’une idéologie mortifère, annonce ouvrir le chantier nucléaire du siècle, qui sont de nature à nous rassurer. Le constat pour la Commission est sans appel: un échec total. Et, une fois encore, ce sont les citoyens des nations de l’Europe qui en paieront les conséquences.
"
Jérôme RIVIÈRE,2023-03-15,FR,Failure of the Silicon Valley Bank and the implications for financial stability in Europe (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-15-INT-3-174-0000_FR.html,"  Jérôme Rivière (NI).   – Madame la Présidente, chers collègues, quinze ans après la crise financière de 2008, qui a ébranlé l’économie mondiale, la faillite de la SVB, banque des start-up et de la nouvelle économie, sonne comme un avertissement face aux dérives dogmatiques du système bancaire. Si la vitesse fulgurante de la vague de retraits est liée au poids des réseaux sociaux, ne nous exonérons pas d’analyser les raisons de la mauvaise santé financière de cette banque californienne.
Certes, les trop larges investissements en bons du trésor, dont la valeur s’est effondrée avec la baisse des taux décidée par la FED pour lutter contre l’inflation, ont contribué à cette faillite. Mais plus insidieusement, comme l’ont affirmé aussi plusieurs grands patrons américains, notamment Bernie Marcus, fondateur de la chaîne de grands magasins Home Depot, elle s’explique aussi par le choix de la SVB et de quelques autres banques de réaliser des investissements en priorisant non pas la rentabilité et la sécurité pour les actionnaires, mais des sujets woke par principe, comme le réchauffement climatique ou la diversité. Actionnaires et salariés paient aujourd’hui le prix de cette exposition exclusive et dogmatique à un marché sous-jacent très fragile, alors que les dirigeants responsables de la banque ont précipitamment sauvé leurs intérêts personnels.
Je veux croire qu’en dépit d’un dogmatisme similaire de certains établissements financiers en Europe, la régulation bancaire européenne, beaucoup plus solide, interdirait un risque aussi inconsidéré. Souhaitons que, dans nos échanges, le dogmatisme sur ce sujet ne l’emporte pas. 
"
Jérôme RIVIÈRE,2023-03-15,FR,Deaths at sea: a common EU response to save lives and action to ensure safe and legal pathways (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-15-INT-3-257-0000_FR.html,"  Jérôme Rivière (NI).   – Monsieur le Président, si la réalité n’était pas aussi dramatique, si de nombreuses personnes ne s’étaient pas noyées dans ces traversées périlleuses, on pourrait sans ciller affirmer que nous sommes une fois encore dans un débat qui dénie le réel, tant la majorité de cette assemblée est aveuglée par ses positions dogmatiques immigrationnistes.
Nos pays, et la France en particulier, laissent croire à des dizaines, des centaines de milliers d’étrangers qu’en tentant de migrer illégalement, ils trouveront ici logement et emploi qui les attendent. Les instances européennes et certains gouvernements de pays membres font le jeu des passeurs en ne les sanctionnant pas durement, en continuant à subventionner les ONG, elles-mêmes agissant en passeurs.
Nos pays européens sont littéralement submergés par l’immigration et ne peuvent plus accueillir d’étrangers supplémentaires sans mettre en péril la sécurité économique et personnelle de leurs concitoyens et en particulier les moins nantis d’entre eux. L’UE doit donner à Frontex des moyens beaucoup plus importants et la mission claire de ne plus laisser ces bateaux passer et de raccompagner ces candidats à l’émigration d’où ils sont partis et ainsi éviter ces terribles drames humains. 
"
Jérôme RIVIÈRE,2023-02-14,FR,Establishment of an independent EU Ethics Body (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-02-14-INT-2-314-0000_FR.html,"  Jérôme Rivière (NI).   – Monsieur le Président, un organisme d’éthique indépendant en réponse aux scandales de corruption au Parlement, des élus intègres, libres, au service du bien commun des peuples qui les ont élus: qui pourrait s’y opposer? Je me félicite de cette initiative. Notre institution n’a qu’à y gagner.
L’éthique, synonyme d’intégrité et de liberté, nécessite le strict respect de la loi, et ce qui vaut pour les parlementaires vaut aussi pour nos institutions. Pas plus que les élus la Commission ne peut ignorer la loi issue des textes qui régissent son organisation. En s’affranchissant sans vergogne de l’esprit et de la lettre des traités pour critiquer le choix libre et démocratique de certaines nations, en s’arrogeant des compétences hors du champ de celles qui lui ont été confiées – la santé hier, la défense demain –, la Commission corrompt profondément sa légitimité. C’est cette corruption profonde de nos institutions qui a conduit au Brexit.
Si rien n’est fait, cette corruption systémique conduira à la disparition de l’Union européenne. L’Europe des nations qui coopèrent librement mérite que nous nous attelions à ce large chantier. Je forme le vœu – mais sans y croire un instant – que ce désir d’éthique soit sincère et qu’il améliore nos institutions. Je crois malheureusement la corruption bien profonde.
"
Jérôme RIVIÈRE,2023-01-17,FR,Implementation of the common foreign and security policy - annual report 2022 - Implementation of the common security and defence policy - annual report 2022 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-01-17-INT-2-319-0000_FR.html,"  Jérôme Rivière (NI).   – Monsieur le Président, l’Union européenne n’est pas une nation mais une institution internationale. Ce n’est pas parce qu’elle dispose d’un drapeau et d’un hymne – oripeaux d’une époque que vous détestez, où le patriotisme était une évidence culturelle – que l’Union européenne fait illusion. Et c’est parce que vous l’avez bien compris, Monsieur McAllister, que, faisant fi des traités, sans même faire semblant de vous inquiéter de l’avis des peuples, vous cherchez subrepticement à effectuer un nouvel hold-up sur des compétences qui relèvent exclusivement des nations – la politique étrangère, la politique de défense –, en souhaitant y imposer la règle de la majorité qualifiée. Comme bien d’autres, ces rapports ne resteront que des vœux, ceux d’enfants capricieux qui s’imaginent légitimes à imposer sans fondement leur volonté.
Dans les conflits récents qui brutalisent notre continent, celui du Kosovo, celui entre la Russie et l’Ukraine, en n’oubliant pas celui entre l’Arménie et l’Azerbaïdjan, l’Union européenne a accumulé les erreurs, s’alignant sur la politique américaine sans vision de nos intérêts propres, pénalisant ainsi les citoyens en Europe. La règle de la majorité qualifiée dans ces domaines régaliens n’est pas pour demain, heureusement.
"
Jérôme RIVIÈRE,2022-12-14,FR,EU response to the US Inflation Reduction Act (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-12-14-INT-3-074-0000_FR.html,"  Jérôme Rivière (NI).   – Madame la Présidente, dans cette assemblée, où le mot protectionnisme est banni au point d’être considéré comme une grossièreté, on s’étonne qu’un pays, les États-Unis en l’occurrence, puisse protéger son industrie, ses emplois et ses habitants. C’est pourtant la mission première d’un État. 
Comme à chaque fois, l’Union européenne idéalise la relation transatlantique, alors que l’approche américaine est avant tout pragmatique. Le président français, Emmanuel Macron, s’est rendu aux États-Unis pour dire à Joe Biden tout le mal qu’il pensait de cette loi sur la réduction de l’inflation. Naïveté ou jeu d’acteur? Un échec, en tout cas. 
Nous sommes une fois de plus traités sans considération. L’Union européenne, ayatollah isolé du libre-échange immodéré, expose ainsi nos entreprises à une concurrence déséquilibrée, fragilisant notre tissu économique, nos emplois et le niveau de vie de nos concitoyens. Le fonds de souveraineté européen que veut mettre en place Thierry Breton est un leurre qui ne protégera pas suffisamment nos économies nationales. 
Il est temps d’en finir avec ce dogme du libre-échange incontrôlé. Protégeons nos économies. Retrouvons le chemin d’un protectionnisme, que nous sommes le seul espace économique à avoir abandonné sur la planète. 
"
Jérôme RIVIÈRE,2022-12-14,FR,Defending democracy from foreign interference (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-12-14-INT-3-254-0000_FR.html,"  Jérôme Rivière (NI).   – Monsieur le Président, alors qu’un grave scandale met au jour une ingérence étrangère par corruption au sein du Bureau du Parlement européen, la retenue et la décence ne sont décidément pas ce qui caractérise notre assemblée. Alors que la Commission s’érige en gardienne d’un ordre qui serait incritiquable, et passe son temps à réprimander les États membres qui refusent de s’aligner, ses scandaleuses ingérences dans les affaires intérieures des États membres sont passées sous silence. Dans le feuilleton sur l’état de droit en Hongrie, elle vient de confirmer la retenue financière sur les fonds de cohésion hongrois, au titre de la conditionnalité à l’état de droit. Sans mandat électif direct, sans consultation des peuples, elle définit seule le bien et pousse toujours plus loin son programme fédéraliste et destructeur des nations et des identités. 
Philippe Muray, dans son essai L’Empire du bien, dénonçait l’instauration d’un totalitarisme doux, sucré et gentil, dont cette assemblée est le parfait exemple. Il écrivait: «Le bien grandit rapidement, bouche peu à peu toutes les issues et interdit les échappées.» La Commission, tel un axiome, brandit sa conception de l’état de droit pour imposer sa vision globale et ses conceptions économiques et sociétales. C’est de ces ingérences illégitimes, qui mettent aussi en danger le processus démocratique, que nous devrions débattre aujourd’hui. 
"
