MP,Date,Language,Title,Url,Content
Jörg MEUTHEN,2023-09-13,DE,State of the Union (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-064-0000_DE.html,"  Jörg Meuthen (NI).   – Frau Präsidentin, Frau Kommissionspräsidentin, werte Kollegen! Europa steckt, anders als Sie es hier darstellen, in einer tiefen Krise.
Millionen Europäer wissen kaum noch, wie sie sich die alltäglichsten Dinge leisten sollen. Unternehmen wandern zuhauf ab, Deindustrialisierung läuft. Die unkontrollierte illegale Massenmigration hat Europa wieder fest im Griff. Es wäre dringend an der Zeit zu handeln. 
Diese Probleme sind existenziell. Doch die EU, Ihre Kommission, fokussiert sich in unerträglicher Hybris und fataler Missachtung all dieser Probleme nahezu allein auf das absurde Ziel, den stattfindenden Klimawandel aufzuhalten, und irrt auch darin, denn Sie werden ihn mit Ihren Plänen definitiv nicht stoppen.
Statt das Weltklima bis auf die Nachkommastelle den Menschen anpassen zu wollen – was nur misslingen kann –, müssen die richtigen Vorkehrungen getroffen werden, unsere Gesellschaften den klimatischen Veränderungen anzupassen. Das ginge, aber da passiert rein gar nichts.
Sie verabsolutieren eine einzige Aufgabe, und die gehen Sie auch noch grundfalsch an! Mit diesem Irrweg kann und wird die EU im Ganzen grandios scheitern. Und das ist das Letzte, was in dieser Zeit historischer Weichenstellungen geschehen sollte.
"
Jörg MEUTHEN,2023-07-11,DE,Nature restoration (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-055-0000_DE.html,"  Jörg Meuthen (NI).   – Herr Präsident, werte Kollegen! Wir sprechen heute über das Renaturierungsgesetz. Was die Europäische Kommission vorlegt, klingt wie so oft zunächst einmal nicht schlecht. Gegen die Natur, gegen eine intakte Natur kann niemand ernsthaft sein. Schaut man sich den Entwurf jedoch genauer an, entpuppt sich das Ganze – auch das wie so oft – als nett verpackter ideologischer Irrsinn. Es geht der Kommission nicht darum, der Natur vereinzelte, beschädigte Flächen zurückzugeben. Vielmehr sollen 20 % unserer Flächen zwangsrenaturiert, also wieder zur Wildnis werden, die Hälfte davon bisher landwirtschaftlich genutzte Flächen.
Dieser Plan ist nicht nur vollkommen realitätsfern, sondern hochgefährlich – eine Gefahr für unsere heimische Landwirtschaft und damit für die Sicherheit unserer Nahrungsmittelversorgung. Wer auch in Zukunft regionale Produkte, bezahlbares Obst und Gemüse auf unseren Tellern sehen möchte, wer unseren Landwirten ihre so wichtige Arbeit nicht noch weiter erschweren, ja teilweise sogar verunmöglichen will, muss am Mittwoch entschlossen gegen dieses Gesetz stimmen. Ja zur Landwirtschaft, ja zum Naturschutz, nein zu diesem Renaturierungsgesetz. 
"
Jörg MEUTHEN,2023-07-11,DE,Relations with the Palestinian Authority (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-372-0000_DE.html,"  Jörg Meuthen (NI).   – Frau Präsidentin, werte Kollegen! Manche Vorlage hier im Parlament ist sinnvoll, andere sind unklug und einzelne einfach nur beschämend. Der Bericht zum Verhältnis zwischen der EU und der Autonomiebehörde der Palästinenser gehört zu Letzteren. Dieser Bericht ist nicht nur einseitig, er ist antiisraelisch, er dämonisiert den Staat Israel in beschämender Weise. Er ist das Produkt einer Gruppe von Abgeordneten in diesem Haus, die mal verdeckt, mal offen ihren Hass gegen Israel ausleben. 
Europa finanziert die Palästinenser jährlich mit 1,2 Milliarden Euro, Steuergelder, die kaum die Zivilbevölkerung erreichen, sondern in die Terrororganisationen Fatah und Hamas fließen, in die Beschaffung ihrer tödlichen Raketen, an einen demokratisch nicht legitimierten Regierungschef gehen, der offen die Verbrechen der Shoah relativiert, die in korrupten Kanälen versickern, für antisemitische, Hass stiftende Schulbücher ebenso wie für sogenannte Märtyrerrenten verwendet werden, den Schandlohn für die Mörder israelischer Zivilisten.
Das muss enden. Wer Frieden im Nahen Osten will, darf sich nicht an die Seite von Fatah und Hamas stellen. Die EU muss sich endlich auf die Seite der einzigen Demokratie in dieser Region stellen, sich für und nicht gegen Israel entscheiden, und das im Interesse sowohl der Israelis als auch der Palästinenser.
"
Jörg MEUTHEN,2023-05-09,DE,"This is Europe - Debate with the Chancellor of Germany, Olaf Scholz (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-09-INT-2-079-0000_DE.html,"  Jörg Meuthen (NI).   – Frau Präsidentin, Herr Bundeskanzler, werte Kollegen! Ausgerechnet Sie, Herr Scholz, Kanzler eines einst geachteten, starken und lebenswerten Landes, das sich unter Ihrer Regierung im völligen Niedergang befindet, inszenieren sich hier heute als großer Visionär für Europa? Mit Verlaub, Herr Bundeskanzler, das hat schon etwas unfreiwillig Komisches, geradezu Lächerliches.
Deutschland ist unter Ihrer Führung, die keine ist, ein Land in wirtschaftlichem Abstieg und voranschreitender Deindustrialisierung, eine von seinen Nachbarn staunend belächelte energiepolitische Geisterfahrernation. Ein Land mit verrottender Infrastruktur, mit massiver Gewaltkriminalität, mit einer desaströsen Einwanderungspolitik. Ein Land inmitten einer Bildungskatastrophe. Ein Land mit erheblichen Problemen in der medizinischen Versorgung, selbst für seine Kinder inzwischen. Nicht zuletzt ein Land in einer immer tiefer werdenden sozialen und gesellschaftlichen Spaltung.
Verrichten Sie also doch erst einmal Ihre Aufgaben zu Hause, ehe Sie hier Ihre Visionen ausbreiten! Altkanzler Helmut Schmidt wird der Satz zugeschrieben: Wer Visionen hat, soll zum Arzt gehen. Im heutigen Deutschland warten Sie für einen Arztbesuch monatelang auf einen Termin. Sie hätten daheim wahrlich viel zu tun, Herr Bundeskanzler.
"
Jörg MEUTHEN,2023-04-19,DE,"This is Europe - Debate with the Prime Minister of Luxembourg, Xavier Bettel (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-19-INT-3-096-0000_DE.html,"  Jörg Meuthen (NI).   – Frau Präsidentin! Herr Premierminister, mein Respekt für Ihre Rede. Das war erfrischend freiheitlich – da habe ich mich gefreut. Die Vielzahl von Krisen in der Welt wirft gleichwohl Fragen auf, wie sich Europa in Zukunft außenpolitisch aufstellen soll. Die Kernfrage lautet: Wie muss die EU gestaltet sein, um auf diese Krisen erfolgreich zu reagieren? Die reflexartige Antwort – auch von Ihnen, Herr Bettel – heißt stets: mehr EU, mehr Zentralismus und zugleich eine blindwütige Haltungs- und Bekenntnisattitüde, wo doch allein Realpolitik und Pragmatismus gefordert wären.
Die EU ist – sehen wir der Wahrheit ins Auge – heute wirtschaftlich ein kranker Riese, der global immer weiter an Boden verliert, und politisch ein Zwerg, den niemand mehr wirklich ernst nimmt. Das hat Frau von der Leyen ja vor zwei Wochen erst in Peking schmerzhaft und bis ins Peinliche reichend erfahren und wenige Tage später die deutsche Außenministerin, die international sowieso nur belächelt wird, am gleichen Ort dann ebenfalls. Die EU muss endlich lernen, eine von Interessensausgleich und pragmatischem Realismus geleitete Außenpolitik zu betreiben. Es muss Schluss sein mit Belehrungen, Moralpredigten und gänzlich unangebrachter europäischer Arroganz. Sonst macht die EU sich international zum Gespött. So sollte ...
(Die Präsidentin entzieht dem Redner das Wort.)
"
Jörg MEUTHEN,2023-04-19,DE,Digital euro (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-19-INT-3-237-0000_DE.html,"  Jörg Meuthen (NI).   – Herr Präsident, werte Kollegen! Die Digitalisierung birgt – das ist eine Binse – ohne jeden Zweifel Chancen und Nutzen wie auch Risiken und Gefahren in sich. Bei der von der EZB geplanten Digitalisierung des Euros als Währung überwiegen eindeutig die Risiken und Gefahren. Ökonomisch gefährdet ein digitaler Euro kleine und mittlere Banken in existenzieller Weise. Ihnen droht der Verlust von Liquidität. Der digitale Euro wird nicht, wie von der EZB behauptet, mehr Sicherheit bringen, sondern ganz im Gegenteil erhebliche Unruhe auf dem Finanzmarkt stiften.
Politisch ist die digitale Währung noch weitaus gefährlicher. Es ist vollkommen durchschaubar, dass dies nur ein erster Schritt hin zur vollständigen Abschaffung aller anderen Zahlungsmittel ist. Er ist ein großer Schritt hin zur Totalüberwachung aller Transaktionen und damit zur völligen Kontrolle der Bürger durch einen übergriffigen Staat. Warum wohl hat China seine Yuan bereits eifrig digitalisiert? Als demokratisch gewählte Volksvertreter ist es unsere Pflicht, die Bürger vor dieser totalen Kontrolle zu schützen und die Einführung eines digitalen Euros entschlossen zu verhindern. Das Bargeld, um das es hier sehr wohl geht, darf niemals abgeschafft werden.
"
Jörg MEUTHEN,2023-03-15,DE,Deaths at sea: a common EU response to save lives and action to ensure safe and legal pathways (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-15-INT-3-249-0000_DE.html,"  Jörg Meuthen (NI).   – Herr Präsident, Frau Kommissarin, werte Kollegen! Wieder und wieder spielen sich zutiefst erschütternde Tragödien auf dem Mittelmeer ab. Viele Tausend Menschen haben bereits auf dem gefährlichen Weg nach Europa ihr Leben gelassen. Wenn wir heute über die sogenannte Seenotrettung sprechen, sage ich deutlich: Sie ist nicht etwa Lösung, sondern im Gegenteil, sie ist Teil des Problems und steht mit in der Verantwortung.
Jene Aktivisten, die sich im Mittelmeer als Retter auftun, tragen genauso wie die ganzen skrupellosen Schlepper und die ganze rotgrüne Masseneinwanderungslobby aktiv dazu bei, dass verzweifelte Menschen aus Afrika, dem Nahen und Mittleren Osten überhaupt erst versuchen, illegal nach Europa zu gelangen und sich auf den lebensgefährlichen, oft tödlichen Weg über das Meer machen. Sie tragen die volle Verantwortung für dieses menschliche Leid an unseren Außengrenzen.
Ich sage: Mit dieser illegalen und tödlichen Praxis muss endlich Schluss sein. Es kann nur eine Botschaft der EU an die Welt geben: Illegale Migration in die EU hat keine Chance, sie wird nicht geduldet. Nur so schützen wir wirksam unsere Außengrenzen, bekämpfen die Schlepperbanden und bewahren vor allem unzählige Menschenleben vor dem Tod durch Ertrinken.
(Der Redner ist damit einverstanden, auf eine Wortmeldung nach dem Verfahren der „blauen Karte“ zu antworten.)
"
Jörg MEUTHEN,2023-03-15,EN,Deaths at sea: a common EU response to save lives and action to ensure safe and legal pathways (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-15-INT-3-251-0000_EN.html,"  Jörg Meuthen (NI) blue-card reply. – Well, it is quite clear if they have the opportunity to come to Europe this way, they will do it. It is just evidence, nothing else. So it is quite easy. If there is no more chance to come in this way, they won’t do it any more. That’s the Australian way, you know, and that would be a solution that not so many people must die in the Mediterranean as they do at the time. 
So we must change this by saying, ‘no, not this way’. I’m not at all against legal kind of migration, but not in an illegal way, which leads people directly into death by drowning.
"
Jörg MEUTHEN,2023-01-16,DE,30th Anniversary of the Single Market (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-01-16-INT-1-068-0000_DE.html,"  Jörg Meuthen (NI).   – Herr Präsident, Frau Ministerin, Frau Kommissarin, werte Kollegen! Wir feiern heute das 30-jährige Bestehen des Europäischen Binnenmarktes. Und ja, das ist ein Grund zum Feiern. Der Binnenmarkt ist, anders als die Währungsunion, eine wirkliche Erfolgsgeschichte. Die vier Grundfreiheiten in Verbindung mit offenen Grenzen innerhalb des Schengen-Raumes haben allen Bürgern der EU viel mehr zusätzlichen Wohlstand gebracht, als die meisten dies überhaupt wahrnehmen.
Dieses Jubiläum mahnt uns gerade deswegen, den Binnenmarkt, diesen gemeinsamen Raum von Freiheit und Wohlstand, entschlossen zu verteidigen. Dazu gehört funktionierender Schutz unserer Außengrenzen ebenso wie eine strikte Bekämpfung von Subventionswettläufen. Die Kommission wird ihren Aufgaben der Verteidigung der Errungenschaften des Binnenmarktes unter Frau von der Leyens Führung leider alles andere als gerecht: Unkontrollierte Masseneinwanderung, übrigens auch aus diesem Haus gefördert, ist eine existenzielle Gefahr für unseren freiheitlichen Wirtschaftsraum, ebenso wie eine übergriffige Kommission, die im Zuge ihrer Klimarettung wahre Subventionsorgien auf Pump auf den Weg bringt.
Feiern wir heute also lieber nicht zu laut, sondern tun wir lieber endlich, was getan werden muss, um das Erreichte nicht fahrlässig wieder zu verspielen. Da liegt einiges im Argen.
"
Jörg MEUTHEN,2022-11-22,DE,2023 budgetary procedure: joint text (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-11-22-INT-2-170-0000_DE.html,"  Jörg Meuthen (NI).   – Herr Präsident, Herr Kommissar Hahn, werte Kollegen! Der EU ist wirklich keine Krise zu schade, um ihr Budget noch weiter aufzupumpen und Verschuldungen zu rechtfertigen.
Beim sogenannten Corona-Wiederaufbaufonds verkaufte man uns die vertrags- und rechtswidrige gemeinsame Schuldenaufnahme als einmalige Ausnahme. Der nun vorliegende Haushaltsentwurf der Kommission für 2023 sieht nun aber schon wieder vor, dass die EU eigene Schulden aufnimmt – diesmal mit Verweis auf den Krieg in der Ukraine. So richtig es ist, wenn die einzelnen Mitgliedstaaten dem Land in seiner Not helfen, so absurd ist es zugleich, dass die EU sich als Gemeinschaft verschuldet, damit die Ukraine ihre Staatsausgaben decken kann.
Ich sage es nicht zum ersten und sicher nicht zum letzten Mal: Nichts kann den Bruch der europäischen Verträge in Form einer Schuldengemeinschaft rechtfertigen. Niemals darf die EU eine Schuldenlizenz oder eigene Steuerhoheit erhalten. Es muss bei der reinen Beitragsfinanzierung durch die souveränen Mitgliedstaaten bleiben. So sehen es die Verträge vor, und dieses Haus hat die Pflicht, für die Einhaltung der Verträge zu sorgen.
Zusätzliche Schulden, um jetzt noch mehr Geld in den Markt zu pumpen, und das auf Kosten der kommenden Generationen, ist im wahrsten Sinne des Wortes – Verzeihung – asozial.
"
