MP,Date,Language,Title,Url,Content
Karima DELLI,2023-12-13,FR,One year after Morocco and QatarGate – stocktaking of measures to strengthen transparency and accountability in the European institutions (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-250-0000_FR.html,"  Karima Delli (Verts/ALE).   – Monsieur le Président, mes chers collègues, il y a un an, nous avons été traumatisés, choqués, écœurés d’apprendre que le Parlement européen et la Commission européenne avaient été les passoires des ingérences du Qatar. Pis, cette affaire nous a tous éclaboussés et elle a jeté le discrédit sur la classe politique. Entre les valises de billets retrouvées dans divers domiciles, les vols et les hôtels tous frais payés, la réalité a dépassé la fiction d’une série Netflix. Il est temps que le Parlement balaie devant sa porte. 
Le Parlement doit redevenir la norme absolue de la transparence et de l’intégrité. Alors, dites-moi, pourquoi n’a-t-on toujours pas suspendu les accords aériens entre l’Union européenne et le Qatar? Pourquoi l’accord sur l’exemption de visa avec Doha n’a-t-il pas été suspendu? Où en sommes-nous de la commission d’enquête? Où en sommes-nous de cette Haute Autorité? Véritablement, quelles sont les garanties qu’un tel scandale n’aura pas lieu demain?
Je vous le dis fort et haut dans cette institution: notre démocratie n’est pas à vendre, et ce ne sont pas les lobbys qui font la loi. 
"
Karima DELLI,2023-11-21,FR,Strengthening the CO2 emission performance targets for new heavy-duty vehicles (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-101-0000_FR.html,"  Karima Delli (Verts/ALE).   – Monsieur le Président, chers collègues, nous sommes arrivés avec beaucoup d’intelligence à un résultat historique qui place un secteur très fossile (les poids lourds, 25 % des émissions carbone des transports) sur une trajectoire de faibles émissions. Faibles émissions? J’aurais préféré une trajectoire zéro émission. On l’aura fait avec les voitures. Nous, les écologistes, nous l’avons aussi défendu pour les camions, mais nous nous rangeons à l’objectif de moins 90, parce que si les objectifs intermédiaires restent ambitieux, il faut les porter.
J’attire votre attention sur une chose: on peut porter une feuille de route comme on sait le faire aujourd’hui, mais il faudra l’accompagner surtout par une politique industrielle. Car nous sommes en retard. Les ventes de camions électriques ne représentent que 1 % du marché en Europe. Ils coûtent 450 000 euros pièce, alors qu’on sait qu’aujourd’hui les opérateurs de fret sont en majorité des PME. On peut faire des calendriers de sortie, oui, mais il faudra surtout une vraie politique industrielle ambitieuse. Et le règlement pour une industrie zéro net n’y répond pas actuellement.
"
Karima DELLI,2023-11-08,FR,Type-approval of motor vehicles and engines with respect to their emissions and battery durability (Euro 7) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-08-INT-1-224-0000_FR.html,"  Karima Delli (Verts/ALE).   – Monsieur le Président, mes chers collègues, je dois vous dire ma colère. Il y a sept ans, au sortir du Dieselgate, nous étions tous d’accord dans cet hémicycle. Nous avions dit: plus jamais ça. Plus jamais de voiture poubelle, plus jamais de triche sous l’œil complice des États membres de l’Union européenne, nous avons pris la mesure du scandale sanitaire, si bien que la commission d’enquête du Parlement européen avait conclu que c’était une victoire pour nous, législateurs, par un message historique aux constructeurs automobiles, un message qui disait: nous vous surveillons et vous allez réparer vos fautes. C’est cela qu’on leur a dit. Et depuis, plus rien. Qu’est-ce qui s’est passé depuis sept ans? Rien, ou très peu. On devait passer tout de suite à la norme Euro 7. On n’y est toujours pas. 
Ce qu’on va voter aujourd’hui, c’est une norme allégée, rejetée aux calendes grecques. Nous signons jusqu’en 2050 pour cent millions de véhicules poubelles et une directive sur la qualité de l’air qui ne sera jamais respectée. Vous ne trouverez aucun soutien de ma part à un tel gâchis. Vous irez vous expliquer aux Européens qui vont suffoquer notamment de cet air et aux trois cent mille victimes de la pollution de l’air chaque année.
"
Karima DELLI,2023-10-18,FR,Islamist terrorist attack on French schools and the need to protect people and promote social cohesion (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-480-0000_FR.html,"  Karima Delli (Verts/ALE).   – Monsieur le Président, chers collègues, vous le savez, Dominique Bernard, professeur de lettres, est mort il y a cinq jours sous les coups de couteau d’un terroriste qui a fait deux autres blessés, un agent et un enseignant. Ç’aurait pu être pire. Sauf que Dominique Bernard, au péril de sa vie, a combattu l’assaillant, laissant aux élèves le temps de se cacher et de se protéger, gagnant du temps pour que la police intervienne. Dominique Bernard est un héros, pour ses élèves, pour ses collègues, pour la France, pour l’Europe.
Mais je dois vous le dire: je suis en colère. En colère face à l’horreur absolue qui frappe simultanément la France, la Belgique et nos amis suédois – ras-le-bol des minutes de silence, des éclairages sur nos symboles nationaux! –, révoltée que, en France, trois ans après l’attentat terroriste contre Samuel Paty, l’Éducation nationale soit de nouveau en deuil!
Une société où l’on tue des enseignants est une société malade. J’ai un message pour nos enseignants, je veux leur dire une chose: vous n’avez pas failli. Vous en doutez peut-être, mais je vous le redis: ce n’est pas vous qui avez failli, au contraire! Vous êtes la digue qui résiste à la lame de fond du terrorisme, des fanatismes religieux, des séparatismes, et nos ennemis ne s’y trompent pas. À défendre ainsi la laïcité, notre histoire et nos valeurs, vous êtes le dernier bastion de la cohésion de notre société.
Face à cette responsabilité immense, nous avons un devoir d’unité envers vous – nous avons tous été élèves. À titre personnel, j’ai passé mes jeunes années dans le nord de la France, dans un lycée proche d’Arras. Je peux vous le dire: c’est l’école qui m’a élevée, c’est l’école qui a fait de moi qui je suis. L’école, oui, efface même les inégalités sociales. L’école est notre temple. Aucun élève, aucun professeur ne doit plus jamais se sentir en danger. Je remercie les enseignants. On vous fait confiance, on vous confie nos enfants, on a besoin de vous, et, en contrepartie, notre devoir est de vous protéger.
Alors, Madame la Commissaire, dites-nous: comment comptez-vous aider nos jeunes et la communauté éducative en Europe? Comment allez-vous restaurer le climat de sérénité, ô combien nécessaire? Nous avons besoin de panser nos plaies.
"
Karima DELLI,2023-09-12,FR,Sustainable aviation fuels (ReFuelEU Aviation Initiative) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-533-0000_FR.html,"  Karima Delli (Verts/ALE).   – Madame la Présidente, Madame la Commissaire, mes chers collègues, nous voterons demain un accord historique qui dessine pour la première fois une feuille de route pour décarboner le secteur de l’aviation en Europe d’ici à 2050, et pour sortir le secteur de sa dépendance du kérosène, l’un des carburants les plus polluants au monde.
Il y a urgence: le secteur de l’aviation représente 3 % des émissions mondiales de CO2, soit l’équivalent des émissions de l’Allemagne en un an, et les projections anticipent une augmentation du trafic aérien de 50 % d’ici 2035. Je le dis haut et fort: il est temps que le secteur de l’aviation contribue à la lutte contre le dérèglement climatique.
Nous partons de loin: la disponibilité de carburant durable pour l’aviation est, en Europe, proche de zéro. C’est donc toute une filière qu’il faut créer – oui, la filière des SAF. C’est un enjeu industriel, un enjeu de souveraineté européenne. Alors oui, je souhaite véritablement un engagement plus fort en faveur du kérosène de synthèse. Je regrette l’obsession de certains États pour le nucléaire, qui a encore une fois entaché les négociations sur un texte, notamment le Pacte vert. L’Aviation, c’est ce secteur qui doit rentrer dans la transition.
Mais attention, ce texte ne sera pas le seul et, je termine si vous le voulez bien, nous devrons demain réduire le nombre de vols. Nous devrons demain faire en sorte que les liaisons aériennes intérieures de moins de 4 heures soient remplacées par le train, relancer les trains de nuit et, bien sûr, renforcer la législation sur le ciel unique européen.
"
Karima DELLI,2023-07-11,FR,Greening transport package (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-288-0000_FR.html,"  Karima Delli,  au nom du groupe Verts/ALE. – Madame la Présidente, Madame la Commissaire, mes chers collègues, s’il fallait encore le rappeler, l’urgence climatique est là. Elle nous terrasse toutes et tous, et elle nous terrassera encore plus demain si nous ne faisons rien.
Le transport, c’est un quart des émissions de CO2 dans l’Union européenne et c’est le seul secteur qui n’a pas réduit ses émissions de gaz à effet de serre depuis 1990. Le constat est donc simple: pour parvenir à nos objectifs climatiques et à la neutralité carbone à l’horizon de 2050, le fret ferroviaire doit véritablement devenir une priorité. Oui, le fret doit se transformer, se verdir, se réinventer. Et c’est dans cette optique que nous devons aller vers une part modale du fret ferroviaire de 30 % d’ici à 2030. Mais nous sommes encore trop loin, en dessous de la barre des 20 %.
Alors, les propositions législatives aujourd’hui sont insuffisantes à cet égard. Pour parvenir à cet objectif, il nous faut des législations claires, des investissements, des filières, parce que derrière il y a de l’emploi, mais aussi une énorme volonté politique. Nous devons également protéger le fret ferroviaire existant et la Commission ne doit absolument pas le démanteler dans certains États membres. Nous allons nous pencher sur ces textes dès que possible. Je regrette cependant que ces propositions n’arrivent que maintenant, à moins d’un an des élections européennes.
Nous le martelons depuis maintenant des années, la transition écologique ne peut pas attendre. Elle ne peut plus attendre qui que ce soit, quoi que ce soit. C’est pour cela que nous vous demandons, et je vous le dis en tant que présidente de la commission des transports de cet hémicycle, d’agir vite, avec force et rapidité, parce que nous sommes déjà en retard.
"
Karima DELLI,2023-06-14,FR,Surrogacy in the EU - risks of exploitation and commercialisation (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-14-INT-3-124-0000_FR.html,"  Karima Delli,  au nom du groupe Verts/ALE. – Madame la Présidente, mes chers collègues, je vais vous le dire comme je le pense: le Parlement européen est le lieu des droits. C’est ici, par notre travail, qu’on assure que personne n’est discriminé pour ce qu’il est. Je n’accepterai pas que des sujets sociétaux aussi fondamentaux que l’aide à fonder une famille, que ce soit l’aide à la procréation ou à porter pour autrui, soient détournés ou instrumentalisés contre les familles LGBT.
Je m’adresse à vous, l’ECR, parce que c’est vous qui avez demandé ce débat. La vérité, c’est que dans les pays où vous êtes au gouvernement, la GPA n’est pas un sujet. Vous savez pourquoi? Parce que vous n’en êtes même pas encore là. En Pologne, vous venez nous parler de GPA. Vous n’avez même pas ouvert l’union civile aux couples homosexuels. Vous continuez à passer des lois anti-LGBT et à créer des zones sans LGBT. Année après année, les ONG nous le disent, la Pologne est devenue le pays le plus hostile aux LGBT en Europe. Alors, ne venez pas nous apporter votre haine ici, au Parlement européen.
De même, en Italie, on a vu votre chef, Mme Meloni, couper les droits à la filiation des enfants issus d’une GPA à l’étranger. Rappelez-vous, le maire de Milan, dans cet hémicycle, est venu tirer la sonnette d’alarme pour nous dire que des enfants n’étaient plus enregistrés à l’état civil, que leurs parents seraient criminalisés. Il est où, l’intérêt de l’enfant? Elle est où, votre humanité?
Je vous le dis très clairement, l’ECR: ne vous faites pas passer pour les défenseurs des femmes auprès de nous, alors que vous enfreignez, là où vous êtes au gouvernement, les droits des familles homoparentales européennes à y recourir pour ce qu’ils sont, c’est à dire des familles. Je vous le dis: ce tort sera corrigé grâce au règlement sur la reconnaissance mutuelle de la filiation.
Si vous voulez vraiment un débat sur la GPA, il faudra d’abord prendre du temps. Ce n’est pas en débattant, notamment dans ce Parlement, qu’on arrive à la solution. Ce n’est pas vrai. Regardez du côté de nos amis belges. Un comité de bioéthique a rendu son rapport il y a une semaine. Un rapport mesuré et équilibré, loin des passions tristes qui vous déchaînent, et qui a pris du temps. Il apporte des réponses favorables sur les conditions de la solidarité reproductive, de l’autonomie, du consentement et de l’altruisme des femmes qui portent pour autrui – tout cela est encadré. Nous ferions bien tous ensemble de nous en inspirer et de consulter nous aussi nos organes éthiques européens, et non de faire de l’instrumentalisation.
"
Karima DELLI,2023-05-09,FR,"Council of Europe Convention on preventing and combating violence against women and domestic violence – EU accession: institutions and public administration of the Union - Council of Europe Convention on preventing and combating violence against women and domestic violence - EU accession: judicial cooperation in criminal matters, asylum and non-refoulement (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-09-INT-2-289-0000_FR.html,"  Karima Delli (Verts/ALE).   – Madame la Commissaire Dalli, mes chers collègues, il y a cinq ans, je prenais la parole dans cet hémicycle pour le dire haut et fort: la peur et la honte doivent changer de camp. Nous sommes cinq ans plus tard. Ce n’est pas un pas de géant, c’est un pas de géante pour nous les femmes.
On le sait, une femme sur trois en Europe a subi des violences physiques ou sexuelles. Plus de la moitié des femmes a été victime de harcèlement. Sept meurent chaque jour sous les coups de leur conjoint ou ex-conjoint. Rappelez-vous, le Covid a créé une pandémie fantôme, celle des violences domestiques. Ces données sont glaçantes. Mais je veux le dire aux femmes européennes: nous, les femmes, sommes présentes en force aujourd’hui dans cet hémicycle, où le Parlement va permettre demain la ratification de la convention d’Istanbul par l’Union européenne.
Alors, je vous le dis, nous serons intraitables avec les six pays sur 27 qui agissent encore au mépris de nos droits. Oui, les droits des femmes. Vous avez tout notre soutien, Madame la Commissaire. Vous n’êtes pas seule. Quoi qu’en dise l’extrême droite. Nous sommes là pour garantir la protection de toutes les femmes par tous les moyens que le traité nous a donnés. Je vous le dis, nous pouvons être fiers de notre hémicycle. Les femmes doivent être à l’honneur, et Woman Power! 
"
Karima DELLI,2023-03-15,FR,Need for immediate reform of the internal rules of the Commission to ensure transparency and accountability in light of alleged conflicts of interests (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-15-INT-3-292-0000_FR.html,"  Karima Delli,  au nom du groupe Verts/ALE. – Madame la Présidente, Madame la Commissaire, mes chers collègues, il y a une règle en démocratie: les citoyens nous font confiance, ils nous confient une partie de leur destin au nom d'un principe, la confiance. La confiance qu'on va servir leur intérêt commun et non pas des intérêts particuliers. On l'a vu avec le qatargate, nos institutions sont la cible de puissances étrangères. On l'a vu avec le dieselgate, nos institutions sont la cible d'intérêts privés et publics mélangés. Alors là, en cas d'attaque, on doit avoir des réponses appropriées. 
Il me paraît pas approprié qu'un directeur de la Commission puisse voyager neuf fois tous frais payés au Qatar en pleine négociation d'accords aériens avec ce même pays. Il ne me paraît pas approprié que cette procédure ait été approuvée par lui-même. Il ne me paraît pas approprié que ces accords soient déjà en vigueur alors qu'ils n'ont pas été ni ratifiés par les États membres, ni adoptés par le Parlement. 
Comment ne pas voir un conflit d'intérêts évident? Alors je demande deux choses, des explications. La Commission doit répondre à toutes nos interrogations. Celles des écolos qui ont fait un courrier. Celles de la Médiatrice européenne qui s'est saisie du problème. Avant même de réviser les règles de transparence et de voyage de ses fonctionnaires, je demande réellement que soient gelés les accords aériens entre l'Union européenne et le Qatar tant que tout le conflit n'a pas été écarté.
"
Karima DELLI,2023-02-16,FR,Developing an EU cycling strategy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-02-16-INT-4-011-0000_FR.html,"  Karima Delli,  au nom du groupe Verts/ALE. – Monsieur le Commissaire, chers collègues, je viens d’une terre de vélo: je suis née en France, à Roubaix, c’est-à-dire que j’étais destinée à faire de grandes choses pour le vélo.
Alors, vous connaissez tous le Paris-Roubaix, ses pavés, comme vous connaissez également le Tour de France, le Tour des Flandres, le Tour de Lombardie, et j’en passe. Le cyclisme est un sport immensément populaire en Europe, mais c’est avant tout un mode de transport.
Il faut rétablir les faits: un vélo électrique, par exemple, c’est le moyen de transport le plus fiable sur une distance de 1 à 10 kilomètres. Et c’est la fiabilité qui est importante pour arriver à l’heure à coup sûr, en évitant la congestion, tout en allant à des vitesses efficaces.
Le vélo s’est aussi révélé être un moyen de transport indispensable pendant la COVID—19, au point qu’on a même parlé de «coronapistes», alors que les transports collectifs étaient à haut risque. Le vélo, c’est populaire, et les constructeurs ont aujourd’hui bien du mal à répondre à la demande de vélos.
Et malgré tout, ils restent mal valorisés, malmenés par le pouvoir politique, malmenés par les pouvoirs publics, et ce malgré une demande croissante de la part des populations.
Alors, ici – c’est historique –, au Parlement européen, nous avons la solution: nous voulons une stratégie européenne du vélo. Elle sera là et elle sera adoptée dans quelques heures. Elle a été fabriquée au sein de la commission que je préside, la commission des transports et du tourisme, elle a fait l’unanimité des groupes politiques, l’unanimité de cette commission qui voit loin.
Oui, il est temps d’envoyer un message très clair: nous devons absolument doubler l’usage du vélo d’ici 2030. Et comment? En déployant des infrastructures sécurisées: il y a encore trop de risques pour aller au travail à vélo, pour déposer ses enfants à l’école ou pour les laisser y aller seuls eux-mêmes.
Il faut augmenter l’intermodalité avec les transports en commun – notamment avec le train. Il faut des parkings sécurisés dans les gares, avec des bornes de recharge et plus de places de vélo dans les trains.
Le vélo doit être abordable; les indemnités kilométriques, la TVA réduite sont des leviers. Le Fonds social pour le climat doit pouvoir aider ceux qui ne peuvent pas se déplacer ou payer un vélo.
Enfin, je le dis haut et fort dans cette assemblée: il est temps d’avoir des vélos «made in Europe». C’est une volonté réelle, un enjeu industriel. Actuellement, l’écosystème du vélo représente 1 million d’emplois. Si on rentre dans une stratégie industrielle intelligente, ce sont, d’ici 2030, 2 millions d’emplois qui seront en jeu.
Tout est à faire; nous serons donc ici au rendez-vous. Nous sommes prêts à travailler avec vous pour rendre au vélo la place qu’il le mérite. Donc, nous vous demandons de vite mettre en place cette déclaration interinstitutionnelle sur le vélo.
Parce que le vélo, c’est bon pour l’emploi, c’est bon pour le climat, c’est bon pour la santé, mais c’est surtout bon pour le pouvoir d’achat.
"
