MP,Date,Language,Title,Url,Content
Karsten LUCKE,2023-12-13,DE,The Maasai Communities in Tanzania,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-430-0000_DE.html,"  Karsten Lucke,  Verfasser. – Frau Präsidentin, Herr Kommissar, liebe Kolleginnen und Kollegen! Menschen aus angestammten Lebensräumen zu vertreiben, ist ganz grundsätzlich nie eine gute Idee. Wenn wir dabei auch noch über indigene Völker sprechen, dann ist das sicherlich noch einmal virulenter, weil die Schutzbedürftigkeit größer ist und die Möglichkeit, sich zu wehren, nicht da und limitiert ist.
Darum adressiert das Europäische Parlament heute völlig zu Recht das mögliche Unrecht, das den Massai im Norden Tansanias droht. Wenn die dahinterliegende Begründung dann auch noch die Schaffung von mehr Kapazitäten von Safaritourismus ist, dann macht das die Situation tatsächlich noch unerträglicher. Ein traditioneller Massai-Führer sagte, ich zitiere: Wir können nirgendwo sonst hingehen. Das Land zu verlieren, würde mit der Auslöschung unserer Gemeinschaft einhergehen. Das sind Mahnungen, die wir mehr als ernst nehmen sollten.
Unser Zeitgeist ist von immer schneller, weiter, schöner, besser und höher geprägt. Doch wir erkennen, dass wir dieses Mindset vielleicht verlassen sollten und dass das nicht die schlaueste Art ist, das Leben auf unserem Planeten so zu organisieren. Die Massai leben in spezifischen und sehr traditionellen Lebensformen, die es unbedingt zu erhalten und zu schützen gilt. Auch wenn der Tourismus wichtiges Geld nach Tansania bringt: Diesen Preis zu zahlen ist unverhältnismäßig, um es sehr freundlich zu sagen. Deshalb sollte die Regierung Tansanias sich zum obersten Gebot machen, die Massai in ihrer Lebensart und Lebensform zu schützen und sie zu unterstützen, wo es geht.
Wir Europäerinnen und Europäer sollten auch unseren Beitrag leisten und in gemeinsamer Kooperation mit unseren Partnern vor Ort schauen, wie und in welcher Form eine europäische Unterstützung diesem Zweck dienen kann. Denn wir sprechen immer von der Augenhöhe, von der Partnerschaft auf Augenhöhe. Auch wenn das nur ein ganz kleines Puzzleteil sein kann: Wir sollten als EU hier auch proaktiv mithelfen. Denn hier heute nur zu stehen und mahnend den Finger zu heben, das ist dann etwas zu wenig. Wenn wir es ernst meinen, dann müssen wir auch mit Unterstützung in diesen Prozess reingehen und die Massai aus Europa mit europäischer Hilfe unterstützen.
"
Karsten LUCKE,2023-10-03,DE,Uzbekistan (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-490-0000_DE.html,"  Karsten Lucke,  im Namen der S&D-Fraktion. – Herr Präsident, Herr Kommissar, liebe Kolleginnen und Kollegen! Wir schauen uns derzeit im Auswärtigen Ausschuss Zentralasien aus geostrategischer Perspektive an. Mein Bericht zur EU-Zentralasien-Strategie befindet sich gerade im parlamentarischen Prozess. Daher ist dieser sehr gute, umfassende und ausgewogene Bericht heute zu Usbekistan ein idealer Moment, um die europäisch-zentralasiatischen Beziehungen energisch und auch nachhaltig voranzutreiben.
Ich bin überzeugt und werbe sehr stark dafür, dass wir unsere Kooperation mit Usbekistan deutlich ausbauen. Wir haben in diesem Bericht auch deutlich gemacht, wo die vielfältigen Chancen und Potenziale liegen: Sicherheit, Konnektivität, Energiediversifizierung, Konfliktlösung, die multilaterale regelbasierte Ordnung, und das sind nur die großen Säulen der Kooperation, die hier zu nennen sind.
Gleichzeitig haben wir deutlich gemacht, dass Usbekistan aus unserer Perspektive auch innenpolitisch noch Hausaufgaben zu erledigen hat, wenn es um Schutz und Wahrung der Menschenrechte geht, um Ausbau der Demokratie, Meinungs- und Medienfreiheit und Rechtsstaatlichkeit.
Wir können festhalten, dass wir diverse Bereiche der Zusammenarbeit und vielfältige Kooperationen haben. Das neue Partnerschafts- und Kooperationsabkommen ist ein ideales Tool, das wir nutzen sollten, denn der Ausbau der usbekisch-europäischen Partnerschaft ist eine Win-win-Situation und wir brauchen jetzt den politischen Willen und auch die Dynamik, wirklich diesen Weg zu gehen.
"
Karsten LUCKE,2023-07-12,DE,Crackdown on the media and freedom of expression in Kyrgyzstan,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-487-0000_DE.html,"  Karsten Lucke,  Verfasser. – Herr Präsident, Frau Kommissarin! Ja, es stimmt, Kirgisistan war seit der Unabhängigkeit Anfang der 1990-er Jahre in Zentralasien das Land, das wichtige und gute Schritte Richtung Demokratie gemacht hat. Umso tragischer ist es, dass wir jetzt Rückschritte erleben müssen: den Abbau der Pressefreiheit, Radiosender werden geschlossen, Journalisten werden sanktioniert und verhaftet, Menschen- und Minderheitenrechte werden unterminiert.
Wir wissen, dass gute Demokratien eine lebendige Zivilgesellschaft brauchen und dass ein Meinungspluralismus unendlich wichtig ist. Man muss sich um den besten Weg streiten. Man muss kritisch sein können. Gegensätze müssen ertragen werden können. Inhaltliche Reibung, das ist das Schmiermittel der Demokratie. Sonst gibt es keinen Fortschritt, sonst endet man in Lähmung und Starre.
Daher greifen wir in dieser Entschließung genau diese Hinweise auf, nicht um Kirgisistan zu belehren oder etwas vorzuschreiben, sondern um genau das zu machen, was wir in Kirgisistan vermissen. Wir üben Kritik unter Partnern, wir äußern unterschiedliche Vorstellungen, ohne den Oberlehrer zu machen. Das müssen gute Partnerschaften aushalten. Im kritischen Dialog entwickeln wir uns gemeinsam weiter.
Kirgisistan sollte den Schatz der Medien- und Pressefreiheit und den unschätzbaren Wert einer pluralen Demokratie ganz, ganz schnell wiederfinden – zum Wohle der eigenen Bevölkerung und zum Wohle der Zukunft des Landes.
"
Karsten LUCKE,2023-07-11,DE,COVID-19 pandemic: lessons learned and recommendations for the future (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-238-0000_DE.html,"  Karsten Lucke (S&D).   – Herr Präsident! Leave no one behind – keinen zurücklassen! Damit sind wir hier durch die Straßen gezogen, und damit machen wir den Menschen Hoffnung. Und mit diesem COVI-Bericht legen wir Details, legen wir ganz konkrete Empfehlungen auf den Tisch, wie wir die Zukunft der Bürgerinnen und Bürger sicherer machen können und wie wir wirklich voranschreiten können. Den gilt es jetzt umzusetzen und in praktische Politik umzusetzen.
Millionen von Bürgern haben Hoffnung und schauen morgen wirklich nach Straßburg, um zu sehen, dass dieser Bericht durchkommt. Ich kann uns nur alle warnen, morgen hier ein Schauspiel aufzuführen, politische Einzelaspekte dafür zu nutzen, um diesen Bericht am Ende des Tages scheitern zu lassen. Das dürfen wir auf keinen Fall machen, das müssen wir verhindern. Wenn wir das machen, ist es dann so, dass wir mit voller Wucht diesen Betroffenen aus allen gesellschaftlichen Schichten, mit absoluter Wucht, zwischen die Beine treten.
Liebe Kolleginnen und Kollegen, mit Pandemien und mit der Gesundheit der Bürgerinnen und Bürger spielt man nicht. Wir haben eine verdammte Pflicht, morgen zu liefern. Bedenken Sie das, wenn Sie morgen abstimmen.
"
Karsten LUCKE,2023-04-19,DE,EU Global Health Strategy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-19-INT-3-300-0000_DE.html,"  Karsten Lucke (S&D).   – Frau Präsidentin, Frau Kommissarin! Gesundheit ist grundlegend für Frieden und Sicherheit, und Gesundheit ist ein Menschenrecht. Damit haben wir schon die internationale Dimension von Gesundheit definiert. Globale Gesundheit ist ein essenzieller Part von EU-Außenpolitik, und die globale Gesundheitsstrategie ist der externe Pfeiler der Europäischen Gesundheitsunion, wichtiger Baustein im Global Gateway, im Team Europe und – extrem wichtig, dürfen wir nicht vergessen – natürlich auch im Hinblick auf die Ziele, die Erreichung der SDGs Richtung 2030.
Im letzten Jahr haben wir im Entwicklungsausschuss darauf hingewiesen, welche Bedeutung im strategischen Dialog die globale Gesundheit hat, und haben dazu Maßnahmen aufgerufen und gefordert, und deswegen stehen wir heute auch hier und sprechen über die globale Gesundheitsstrategie. Geopolitische Rivalität, politischer Wettbewerb und natürlich auch neue Partner im Globalen Süden – das paart sich alles mit Klimaveränderung, mit Umweltverschmutzung, mit Landnutzungswandel, mit dem Verlust von Biodiversität und mit Antibiotikaresistenz und vielen, vielen anderen Geschichten.
Das sind die strategischen, globalen Herausforderungen in der Gesundheit. Die EU kann hier Partner in Führung werden, und das sollten wir auch tun. Multilateralismus, Fachkräfte, neue Standards, Arzneimittel, Technologien, viele, viele Aspekte, die extrem wichtig sind. Das Zeitalter der Pandemien ist keine Sequenz mehr aus irgendeinem Science-Fiction-Film, sondern wir müssen Gesundheit wirklich global begreifen und unsere Politik auch entsprechend ausrichten.
Lassen Sie mich das noch sagen, Frau Kommissarin, nehmen Sie das bitte mit: Was mir fehlt, ist eine Strategie für post-akute Infektionssyndrome. Das ist heute schon ein Problem. Es wird ein noch größeres werden. Wir müssen jetzt die 20 Leitlinien der globalen Gesundheitsstrategie ausfüllen, durchdeklinieren und mit Leben füllen.
"
Karsten LUCKE,2023-04-19,EN,"Universal decriminalization of homosexuality, in light of recent developments in Uganda (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-19-INT-3-335-0000_EN.html,"  Karsten Lucke,  on behalf of the S&D Group. – Mr President, today we are talking about one of the toughest anti-LGBTIQ laws that hopefully will not see the light of day. This must be rejected in the strongest way possible, but before I do this, colleagues, let me first make one thing clear: I think it’s essential that we as the EU have a real partnership on equal footing with our partners in the Global South, and we have to implement this on eye level. And it doesn’t help that we present each other as teachers trying to tell the others, according to accusations that they very often hear, how to live and how to organise your country and your society.
But if we today talk about the law criminalising homosexuality in Uganda, then we speak on the basis of our partnership. The EU is not coming around the corner as a teacher here because we have agreed as partners in international treaties, in conventions, in agreements that human rights are essential elements of our partnership and a key aspect of development of the people in our countries. And this law doesn’t take one step, doesn’t take 10 steps, but countless steps back into what feels really like Middle Ages.
The proposed criminalisation of homosexual people tramples human rights in such a way that it’s really unbearable. And a climate of fear and denunciation is created. And anyone who wants in the country to grow and prosper is doing exactly the opposite what this law is doing. And don’t tell me that this is coming somehow from an African culture or these human rights contemplating positions have grown out of society. We have very good other examples in Africa that show that things can be done differently and that is not undermining human dignity.
In essence, President Museveni should not sign this law. It really sends the wrong signal in all directions and massively harms Ugandan society with regard to peaceful, secure and sustainable development.
"
Karsten LUCKE,2023-04-19,DE,"The crackdown on the right to education and education rights activists in Afghanistan, including the case of Matiullah Wesa",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-19-INT-3-386-0000_DE.html,"  Karsten Lucke (S&D).   – Frau Präsidentin! Was kann der Beweggrund eines Regimes sein, Mädchen und Frauen des eigenen Landes Zugang zu Bildung zu verwehren? Was ist es, das die Machthaber in Afghanistan antreibt, sich derart menschenunwürdig zu verhalten? Völlig aus der Zeit gefallenes Geschlechterverständnis, die Angst, die eigene Machtposition zu verlieren, mangelndes Selbstbewusstsein – irgendwas muss kompensiert werden, ich weiß es nicht, ich kann es ahnen. Letztendlich sind die Beweggründe unerheblich.
Dass Mädchen und Frauen letztlich das Recht haben müssen, sich frei zu entfalten, das ist wichtig. Durch Bildung wachsen wir. Und wir gedeihen, wir entwickeln uns, und wir machen Dinge möglich, die in uns schlummern und die durch Bildung gefördert und zur Entfaltung gebracht werden. Keine Bildung ist kein physischer Schmerz, aber keine Bildung ist auch ein Vergehen an der gesamtheitlichen Entwicklung eines jeden Menschen. Dass Mädchen und Frauen das verwehrt wird, das macht wütend und traurig gleichermaßen. Ich hoffe auch kurzfristig, dass wir wirklich Wege finden und verstärkt Alternativen, die wir jetzt auch anwenden können, um informelle Bildung zu unterstützen, und dass der Druck auf die afghanische Regierung hochgehalten wird. Denn die Hoffnungsträger sind die mutigen Frauen und Männer und die Vertreter wie Matiullah Wesa, die jetzt aus dem Gefängnis entlassen werden müssen.
"
Karsten LUCKE,2023-03-15,DE,Cambodia: the case of opposition leader Kem Sokha,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-15-INT-3-502-0000_DE.html,"  Karsten Lucke,  Verfasser. – Herr Präsident, Frau Kommissarin! Ein Oppositionspolitiker aus Kambodscha hält 2013 eine Rede in Australien und setzt sich für politische Pluralität und demokratischen Wettstreit ein, und dafür kriegt er jetzt 27 Jahre Hausarrest aufgebrummt. Mit der Verurteilung von Kem Sokha stirbt ein weiterer Teil einer erstrebenswerten Demokratie in Kambodscha. Eine unabhängige Justiz – Fehlanzeige. Die Regierung kann das politische Spielfeld nach eigenem Gutdünken lenken. Demokratie ist hier im Kern nicht mehr vorhanden.
Wir brauchen nur dem Premierminister Hun Sen zu lauschen, der im Januar dieses Jahres sagte, ich zitiere: „Seid vorsichtig! Wenn ich mein Temperament nicht zügeln kann, werdet ihr zerstört werden.“ Jetzt könnte man meinen, da hat ein Politiker vielleicht über die Stränge geschlagen. Nein, weit gefehlt. In Kambodscha muss die Opposition eine solche Drohung mehr als ernst nehmen. Das hat der Fall Kem Sokha bewiesen. Kem Sokha muss umgehend freigelassen werden!
Die Wahlen im Juli dieses Jahres sollten dringend die Tür zu einer kambodschanischen Demokratie öffnen, die in die Zukunft führt und die eben eine aufstrebende Gesellschaft und eine aufstrebende Demokratie möglich macht.
"
Karsten LUCKE,2023-03-13,DE,Policy Coherence for Development (short presentation),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-13-INT-1-196-0000_DE.html,"  Karsten Lucke (S&D).   – Herr Präsident, Herr Kommissar! Ich habe diesen Bericht für die S&D-Fraktion verhandelt, und ich will hier an dieser Stelle noch mal unterstreichen, dass die Politikkohärenz im Sinne der Entwicklung – das, was wir PCD nennen – einer der zentralen Prozesse für unsere Beziehungen zumGlobalen Süden ist. 
Wenn wir in Europa irgendetwas entscheiden, dann hat das sehr oft Auswirkungen in allen Teilen der Welt, bei allen unseren Partnerinnen und Partnern. Deshalb müssen wir unsere eigene Politik viel besser dahin gehend überprüfen, dass es erst gar keine negativen Auswirkungen im Globalen Süden gibt.
Der Bericht hat für alle europäischen Institutionen Vorschläge unterbreitet, wie wir diese Politikkohärenz tatsächlich im Sinne der Entwicklung systematisch umsetzen.
Herr Kommissar Timmermans, wenn ich mir das Bild von Ihnen gerade leihen darf, Sie haben in der Debatte zum Paket „Fit für 55“ gesagt: Wir können uns nicht den Luxus erlauben, langsamer zu werden. Ich leihe mir das, und ich glaube, wir haben auch nicht den Luxus, wenn wir diese Politikkohärenz nicht tatsächlich ehrlich und ernsthaft umsetzen, wenn wir wirklich eine Partnerschaft auf Augenhöhe mit dem Globalen Süden haben möchten.
"
Karsten LUCKE,2023-02-14,DE,Tensions between Rwanda and the Democratic Republic of Congo (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-02-14-INT-2-414-0000_DE.html,"  Karsten Lucke (S&D).   – Sehr geehrter Herr Präsident, Frau Kommissarin! Wenn wir über die Situation im Ostkongo sprechen, dann sprechen wir über einen extrem komplexen Gordischen Knoten. Und die Konfliktlage hat ganz zahlreiche Dynamiken. Und im Ergebnis haben wir was? Ein unsägliches Durcheinander an Rebellengruppen und Akteuren, so gut wie keine Infrastruktur, die soziale und ökonomische Situation ist desolat, es gibt massive Menschenrechtsverletzungen usw.
Das heißt, dieser Konflikt brodelt, und er flammt auch immer wieder auf, wie wir in den letzten Wochen und Monaten gesehen haben. Und wir haben überhaupt gar kein Vertrauen in der Region. Es gibt überhaupt gar keine Bereitschaft zu Kooperation. Und dieser Teufelskreis aus diesen Partikularinteressen, der führt eben dazu, dass es über das Wohl der Menschen hinausgeht.
Deswegen glaube ich, für uns Europäerinnen und Europäer muss klar sein, dass wir natürlich die Versorgung mit humanitärer Hilfe auf jeden Fall voranstellen müssen, um die Feuer zu löschen, die auch wirklich am schmerzhaftesten brennen.
Aber – und das ist genauso wichtig – fernab von dieser akuten Linderung des menschlichen Leids müssen wir eben auch in diesen Nexus approach reingehen und nicht nur in humanitäre Hilfe, sondern eben auch in gute Entwicklungszusammenarbeit einsteigen und auch in Konfliktreduzierung und die Schaffung eines nachhaltigen Friedens.
Die betroffenen Staaten vor Ort sind natürlich wichtige Akteure und haben auch eine eigenständige Verantwortung. Es gibt den Luanda-Prozess, wir haben die Ostafrikanische Gemeinschaft und weitere institutionelle Rahmen. Aber am Ende sollten wir, wenn wir den Nexus erfolgreich implementieren und realisieren wollen, uns als Europäerinnen und Europäer auch fragen: Möchten wir ein echtes Angebot für Hilfe und Unterstützung machen, und möchten wir das vor allen Dingen auf einer Augenhöhe machen, die auch wirklich Augenhöhe bedeutet? 
Europa muss meiner Überzeugung nach im globalen Süden viel mehr seine soft power einsetzen, wenn wir langfristig über eine gemeinsame demokratische, freiheitliche und menschliche Zukunft auf diesem Planeten sprechen wollen – gerade vor dem Hintergrund der geostrategischen Herausforderungen, die im Rahmen des russischen Angriffskrieges auf die Ukraine damit einhergehen. 
"
