MP,Date,Language,Title,Url,Content
Katarina BARLEY,2023-12-13,EN,Review of the Spanish Presidency of the Council (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-074-0000_EN.html,"  Katarina Barley (S&D).   – Madam President, dear colleagues.
Señora presidenta, bienvenido al Parlamento Europeo, querido Pedro. 
Thank you very much, dear Prime Minister, for a Presidency that began under challenging circumstances but that has achieved so many results. Let me just name two.
One is that we have really come a long way on discussing new rules on migration. We’re not there yet, but we’re progressing. And the other is the AI Act that we managed to conclude, and with which the European Union is the first area to regulate this important topic.
And also, congratulations on how you managed to get Spain through these difficult times: excellent economic data, very low unemployment rates. That is really something.
Now I only have a minute of speaking time, so I can’t really reply very much to all that has been said about the amnesty. But as far as I can see, in these very difficult times when you have a divided society – and that has happened more than once in Spanish history – amnesty has been a matter to solve this. And if you manage that the Catalan separatist parties renounce to pursue their goal unilaterally, I think this is a great achievement also for the rule of law.
"
Katarina BARLEY,2023-12-13,DE,Composition of Parliament,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-112-0000_DE.html,"  Die Präsidentin. –   Im Anschluss an die Ernennung von Herrn Radosław Sikorski zum Mitglied der polnischen Regierung stellt das Parlament gemäß der Geschäftsordnung das Freiwerden seines Sitzes mit Wirkung zum 13. Dezember 2023 fest.
"
Katarina BARLEY,2023-12-13,DE,Appointments to delegations,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-114-0000_DE.html,"  Die Präsidentin. –   Nach der Einrichtung von vier AKP-Delegationen haben die Fraktionen und die fraktionslosen Mitglieder der Präsidentin die Ernennungen in diese neuen Delegationen ab dem 1. Januar 2024 mitgeteilt. Die Listen der Mitglieder der Delegationen werden online und im Protokoll veröffentlicht.
"
Katarina BARLEY,2023-12-13,DE,Voting time,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-116-0000_DE.html,"  Die Präsidentin. –   Als nächster Punkt der Tagesordnung folgt die Abstimmung.
(Abstimmungsergebnisse und sonstige Einzelheiten der Abstimmung: siehe Protokoll.)
"
Katarina BARLEY,2023-12-13,DE,Implementation of the 2018 Geo-blocking Regulation in the digital single market (A9-0335/2023 - Beata Mazurek)  (vote),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-145-0000_DE.html,"  Die Präsidentin. –   Damit ist die Abstimmungsstunde geschlossen.
(Die Sitzung wird für kurze Zeit unterbrochen)
"
Katarina BARLEY,2023-12-12,DE,Approval of the minutes of the previous sitting,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-245-0000_DE.html,"  Die Präsidentin. –   Das Protokoll der gestrigen Sitzung und die angenommenen Texte sind verfügbar.
Gibt es Einwände?
Das Protokoll ist damit genehmigt.
"
Katarina BARLEY,2023-12-12,DE,Defence of democracy package (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-247-0000_DE.html,"  Die Präsidentin. –   Als nächster Punkt der Tagesordnung folgt die Aussprache über die Erklärung der Kommission zum Paket zur Verteidigung der Demokratie (2023/3026(RSP)).
"
Katarina BARLEY,2023-12-12,DE,Defence of democracy package (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-278-0000_DE.html,"  Die Präsidentin. –   Wir haben eine blaue Karte des Kollegen Sokol. Allerdings ist nicht vorgesehen, unter Kollegen der gleichen Fraktion blaue Karten auszutauschen.
"
Katarina BARLEY,2023-12-12,EN,Defence of democracy package (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-279-0000_EN.html,"    It was a member of your own parliamentary group, so we are not accepting that. We are not having conversations between colleagues of your own group.
"
Katarina BARLEY,2023-12-12,DE,Defence of democracy package (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-289-0000_DE.html,"  Die Präsidentin. –   Die Aussprache ist geschlossen.
Schriftliche Erklärungen (Artikel 171)
"
Katarina BARLEY,2023-12-12,DE,"Need to release all hostages, to achieve a humanitarian ceasefire and prospect of the two-state solution (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-291-0000_DE.html,"  Die Präsidentin. –   Als nächster Punkt der Tagesordnung folgt die Aussprache über die Erklärung des Vizepräsidenten der Kommission und Hohen Vertreters der Union für Außen- und Sicherheitspolitik zu der Notwendigkeit, alle Geiseln freizulassen und einen humanitären Waffenstillstand umzusetzen, und zu den Aussichten auf eine Zweistaatenlösung (2023/3020(RSP)).
"
Katarina BARLEY,2023-10-18,DE,"The despicable terrorist attacks by Hamas against Israel, Israel’s right to defend itself in line with humanitarian and international law and the humanitarian situation in Gaza (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-031-0000_DE.html,"  Katarina Barley (S&D).   – Herr Präsident, liebe Kolleginnen und Kollegen! Wenn man mancher Diskussion hier zuhört, dann könnte man meinen, das hier ist einfach eine weitere Spirale im Nahostkonflikt – aber so ist es nicht. Dieser Tag, der 7. Oktober 2023, ist eine Zäsur. Es war der tödlichste Angriff auf jüdisches Leben seit dem Holocaust. Und es waren keine Kollateralschäden, es war kein Angriff auf den israelischen Staat. Es war ein Angriff auf Babys, Kinder, alte Männer, Frauen und junge Menschen auf einem Musikfestival – an dem einzigen Ort, wo Jüdinnen und Juden sich sicher fühlen könnten vor Antisemitismus: in Israel.
Verantwortlich dafür ist allein die Hamas. Sie hat nach offenbar jahrelanger Planung 1400 Menschen und mehr abgeschlachtet, gefoltert und entführt. Gleichzeitig benutzt die Hamas wie immer schon die eigene Zivilbevölkerung als menschliche Schutzschilde. Sie verwendet Wasserrohre, die eigentlich für die Versorgung der Bevölkerung gedacht sind, um Bomben, um Raketen zu bauen – sagen sie in ihren eigenen Propagandavideos.
Das ist kein Freiheitskampf. Hamas ist eine Terrororganisation, die israelische wie arabische Zivilisten skrupellos tötet. Und ehrlich gesagt, ich wäre auch immer ein bisschen vorsichtig – wenn wir schon über Desinformation sprechen –, allen Bildern von der Hamas und den dazu gelieferten Kommentaren zu glauben.
Israel hat das Recht, sich zu wehren, und es muss humanitäres Völkerrecht dabei beachten. Die palästinensische Zivilbevölkerung ist selbst Opfer. Wir müssen ihr Hilfsgüter zur Verfügung stellen, und wir müssen dafür sorgen, dass Ägypten den Grenzübergang Rafah öffnet – dort stehen 150 Lastwagen mit Hilfsgütern. Ägypten, öffnen Sie diesen Grenzübergang!
"
Katarina BARLEY,2023-10-17,DE,Schengen area: digitalisation of the visa procedure - Schengen area: amending the Visa Sticker Regulation (Joint debate – Schengen area),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-217-0000_DE.html,"  Die Präsidentin. –   Die gemeinsame Aussprache ist geschlossen.
Die Abstimmung findet am Mittwoch, 18. Oktober 2023, statt.
"
Katarina BARLEY,2023-10-17,DE,Approval of the minutes of the previous sitting,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-219-0000_DE.html,"  Die Präsidentin. –   Das Protokoll der gestrigen Sitzung und die angenommenen Texte sind jetzt verfügbar.
Gibt es Einwände? Das ist nicht der Fall. Damit ist das Protokoll genehmigt.
"
Katarina BARLEY,2023-10-17,DE,Commission Work Programme 2024 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-221-0000_DE.html,"  Die Präsidentin. –   Als nächster Punkt der Tagesordnung folgt die Aussprache über die Erklärung der Kommission zum Arbeitsprogramm der Kommission für 2024 (2023/2862(RSP)).
"
