MP,Date,Language,Title,Url,Content
Kathleen VAN BREMPT,2023-12-13,NL,Preparation of the European Council meeting of 14-15 December 2023 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-049-0000_NL.html,"  Kathleen Van Brempt (S&D).   – Voorzitter, volgend jaar februari zal het twee jaar geleden zijn dat de illegale oorlog van Rusland tegen Oekraïne begonnen is. En meer dan ooit is het belangrijk dat we in de Raad collectief achter Oekraïne blijven staan. Iedereen — je merkt dat — maakt zich hier enorm veel zorgen over het toenemende gebrek aan steun in de Verenigde Staten, maar ook binnen onze eigen Raad. En ik denk dat het heel belangrijk is dat we de obstructiepolitiek van Orbán buiten spel zetten en zonder hem een akkoord maken.
De Raad moet duidelijke steun aan Oekraïne blijven uitspreken en sancties blijven ook een interessante manier om dat te doen. En ik hoop echt dat in het twaalfde sanctiepakket ook het luxeproduct diamant zal worden opgenomen.
Om Oekraïne te helpen en om onze transitie waar te maken, zullen we echt nood hebben aan budgettaire ruimte. Dus niet alleen het MFK, maar ook de budgettaire ruimte van de lidstaten zal ontzettend belangrijk zijn. Voor ons, S&D, kan er geen sprake zijn van opnieuw “besparen, besparen, besparen”. Wat betreft het economische—governancepakket, hoop ik dus dat jullie daar ook een openhartig en goed gesprek over hebben: budgettaire ruimte om de uitdagingen van de toekomst aan te gaan.
"
Kathleen VAN BREMPT,2023-12-12,NL,EU-Taiwan trade and investment relations (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-087-0000_NL.html,"  Kathleen Van Brempt (S&D).   – Voorzitter, het is een beetje een open deur intrappen, maar de geopolitieke uitdagingen van vandaag zijn enorm: de oorlog in Oekraïne; het conflict tussen Hamas en Israël, waarbij alle humanitaire regels met de voeten worden getreden; China, dat eigenlijk al meer dan tien jaar de internationale regels rond handel met de voeten treedt.
En op zo’n moment is het extreem belangrijk dat wij vanuit de Europese Unie de kaart van het multilateralisme trekken. Op alle vlakken. Ja, op handel, ja, op klimaat, maar ook op mensenrechten en internationale veiligheid. Die dingen gaan samen. Je kan daar niet selectief in kiezen.
En dan is Taiwan heel belangrijk en een heel goed voorbeeld. Want de EU en Taiwan zijn twee handen op één buik. Wij zijn wat we noemen like—minded countries, zowel wat betreft de democratie als de economie.
En daarom is het zo belangrijk dat we daar een duidelijk standpunt innemen. Een echt akkoord, zoals een resilient supply chain—akkoord of een handelsakkoord, maar ook vechten voor hun plaats in de Wereldgezondheidsorganisatie. Dat is de duidelijke vraag van het Parlement aan de Commissie.
"
Kathleen VAN BREMPT,2023-12-12,NL,European Economic Security Strategy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-440-0000_NL.html,"  Kathleen Van Brempt (S&D).   – Voorzitter, commissaris, hoge vertegenwoordiger, de wereld verandert heel snel. De geopolitieke uitdagingen zijn groter dan ooit en het spreekt voor zich dat we zowel het economische beleid als het handelsbeleid daaraan moeten aanpassen. We moeten dus assertiever worden, autonomer worden en maatregelen nemen. De communicatie over economische veiligheid komt dan ook als geroepen en het is ontzettend belangrijk dat we ze hebben. Maar nu moet die communicatie vertaald worden in initiatieven en wetgeving. U hebt ernaar verwezen, commissaris: de BDI-screening — en ik hoop dat het nieuwe initiatief dwingender zal zijn, meer afdwingbaar zal zijn en dus performanter — en dus ook een initiatief over uitgaande investeringen.
Ten tweede wil ik absoluut benadrukken hoe essentieel en belangrijk het is in de economische strategie om onze kritieke infrastructuur, bijvoorbeeld onze havens, goed te beschermen en in eigen handen te houden. Havens zijn niet alleen een logistieke hub, een toegangspoort, ze zijn ook een cruciale schakel in de duurzame aanvoerketens, nodig voor de groene transitie. Het achteloos afkopen van havens, bijvoorbeeld door China, mag niet meer gebeuren.
"
Kathleen VAN BREMPT,2023-10-18,EN,A true geopolitical Europe now (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-197-0000_EN.html,"  Kathleen Van Brempt (S&D).   – Madam President, Commissioner, dear colleagues, in the last 10 years, the European Union has come a long way since it has been brutally awakened by the notions of war, the pandemic, and great power politics have also not disappeared. And this has led us to deeply reflect about security, about dependencies and about no longer being naive in the new world. And I think that’s a good thing.
And I want to remind you of what Mrs Ursula von der Leyen said in the beginning of this term. She said: ‘we want multilateralism, we want fair trade, we want to defend the rules-based order because we know it is better for all of us’. And she continued: ‘if we are going to do it the European way, we must first rediscover our unity. If we are united on the inside, nobody will divide us on the outside’.
We did that in the response to the Ukrainian war. We didn’t do that the last couple of days in our response to the terrorist attacks by Hamas on Israel. And I think that is really a disgrace. And I think it’s really very important that we adjust the way we organise our foreign policy.
"
Kathleen VAN BREMPT,2023-10-17,EN,Effectiveness of the EU sanctions on Russia (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-020-0000_EN.html,"  Kathleen Van Brempt (S&D).   – Mr President, Mr Commissioner, as you mentioned, since February 2022, the EU has an unprecedented sanctions package in place against Russia. And these sanctions, they mean to change Russia’s behaviour and into war by undermining Russia’s economy. And although there is effect, of course, but we continue to see that the Russian economy is not hit as hard as we would have expected. Our sanctions are not as effective as we thought they would be.
And first of all, and you mentioned that yourself, there is circumvention in place. A lot of products on the sanctions list still go to Russia and into the Russian war economy. So we need to step up our diplomatic efforts, but also pressure towards these countries, neighbouring countries, allies that circumvent, but also EU companies that keep exporting these products.
But we also need to see how to strengthen the sanctions. When the Russian goods that the EU countries still import represent a value that is multiple times higher than the support we give to Ukraine, you can conclude we need to do more. And that brings me to the diamonds: they are still not included in the sanction list, and I do not understand that we still allow Russian diamonds to be sold in the EU. We need to tackle that as soon as possible.
"
Kathleen VAN BREMPT,2023-10-17,EN,Question Time with Commissioners - European measures to prevent and to fight the rise of organised crime,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-292-0000_EN.html,"  Kathleen Van Brempt (S&D).   – Thank you very much, Mr President, and thank you for this timely discussion against the backdrop of the action plan against drugs and the European Port Alliance. And it’s about ports that I want to raise my question. As you know, ports are key access for high-volume illicit drug imports. And they target mostly the bigger ports like Antwerp, Rotterdam, Hamburg. Can I give you an example? In 2022, nearly 110 tonnes of cocaine was seized in the port of Antwerp, making it the biggest entry point of cocaine in the world, taking over from Amsterdam the year before. And as you know, the consequences in our society are huge, but also in the cities that are linked to this because we see increased violence, bombings and shootings in my own town are a sad example. I have two questions: You mentioned already the importance of working together between customs authorities, can you be a little bit more specific how you see that? Because already today Rotterdam and Antwerp are working closely together. And from the Europol reports, we know that these gangs and these criminal organisations, they rely very much on insiders in the ports. And how will the support strategy help to combat corruption there? 
"
Kathleen VAN BREMPT,2023-10-04,EN,Energy Charter Treaty: next steps (continuation of debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-322-0000_EN.html,"  Kathleen Van Brempt (S&D).   – Madam President, Madam Commissioner, I for an instant thought, ‘they’re suspending to get the Council here.’ Unfortunately. I am going to continue in my mother tongue.
Voorzitter, collega’s, noch het oude, noch het gemoderniseerde Energiehandvestverdrag is geschikt voor het beoogde doel. Het is niet in overeenstemming met onze Green Deal, de transitie, enzoverder. We weten dat in dit Parlement eigenlijk al heel lang. In het begin van deze zittingsperiode waren er al heel veel mensen, waaronder ikzelf, die zeiden: laten we ermee stoppen en eruit stappen. We hebben jullie (richt zich tot de Raad) nog een kans gegeven om een goede modernisering af te spreken, maar dat is ook op niets uitgelopen.
Ik denk dat het nu belangrijk is dat de Commissie op het juiste standpunt staat en zegt: we moeten gecoördineerd met de Unie, Euratom en de lidstaten uit het verdrag stappen. Samen met het EG-Verdrag, dat ervoor moet zorgen dat het Energiehandvestverdrag niet kan worden toegepast tussen de lidstaten, hebben we eigenlijk de meeste en de beste garanties om de vervalbepaling van twintig jaar te ontmijnen. Ik denk dat wij ons werk moeten doen in onze eigen lidstaten. Het enige wat er nu nog moet gebeuren, is samen met de Commissie de Raad overtuigen om zo snel mogelijk uit het verdrag te stappen. Dat zijn we aan onze energietransitie en aan onze burgers verschuldigd.
"
Kathleen VAN BREMPT,2023-10-04,NL,"Need to complete new trade agreements for sustainable growth, competitiveness and the EU’s strategic autonomy (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-366-0000_NL.html,"  Kathleen Van Brempt (S&D).   – Voorzitter, mevrouw de commissaris, van de discussies over TTIP en Mercosur tot de crisissen van de afgelopen tijd – denk aan de Brexit, aan de pandemie, maar ook aan de oorlog – ze hebben allemaal een impact gehad op hoe we denken over handel. Ze hebben het hele handelsbeleid in een ander narratief gestoken. Ze hebben een belangrijk instrument gemaakt niet alleen van buitenlands, maar ook van ons binnenlands beleid. En dat is bijzonder belangrijk. Het handelsbeleid stoelt nu op drie principes die alle drie heel belangrijk zijn: handel in openheid (open naar de rest van de wereld), duurzaamheid in al zijn aspecten, en economische zekerheid.
Het debat van vandaag en de titel daarvan doen vermoeden dat we nu maar snel, snel vooruit moeten en eventueel wat moeten inboeten op een van die ambities. Dat mogen we echt niet doen. We moeten bij die principes blijven.
Mercosur is daar een heel goed voorbeeld van. Onze fractie wil Mercosur heel graag ondersteunen, maar er moeten wel aanpassingen komen, zodanig dat het hoofdstuk over handel en duurzame ontwikkeling sterker is en dat we er zeker van kunnen zijn dat het bijvoorbeeld de Overeenkomst van Parijs niet zal schenden, maar integendeel zal omzetten in actie.
"
Kathleen VAN BREMPT,2023-10-03,NL,Medicine shortages and strategic healthcare autonomy in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-262-0000_NL.html,"  Kathleen Van Brempt (S&D).   – Voorzitter, mevrouw de commissaris, twintig jaar geleden produceerde de EU de helft van haar eigen geneesmiddelen en vandaag de dag is dat nog maar een kwart. Voor verschillende medicijnen die we heel erg nodig hebben, zijn we voor 100 % afhankelijk geworden van China en India. We hebben vandaag de dag op Europese bodem nog maar één fabriek die antibiotica produceert en die waren we bijna kwijt.
Stelt u zich voor dat er morgen een superbacterie opduikt en dat Europa zelf niet in staat is om antibiotica te produceren, zodat we dus in volle pandemie moeten wachten op een levering van – jawel – China. Dat doet wel een belletje rinkelen, want in de pandemie hebben we moeten wachten op de mondmaskers. En als we één ding geleerd hebben uit die covidpandemie, dan is het dat de Europese Unie zich beter moet leren wapenen tegen gezondheidsrisico’s en pandemieën. Dat doen we dus níét als we geen afdoende antwoord hebben op een medicijnentekort.
Ik heb een voorstel, mevrouw de commissaris. U hebt een mededeling aangekondigd. Wel, België heeft de “Critical Medicines Act” gelanceerd, gesteund in de Raad en gesteund in het Parlement en zal dat met het Belgische voorzitterschap ook extra onderstrepen. Ik hoop dat u dat opneemt in uw mededeling.
"
Kathleen VAN BREMPT,2023-10-03,EN,Question Time with Commissioners – EU-China trade relations,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-279-0000_EN.html,"  Kathleen Van Brempt (S&D).   – Mr Commissioner, when we look at China and our relations, I think it is extremely important that we also have a close eye on the legislative issues within China and that we can see that they have a very broad understanding of the concept of national security. It is not confined, as we do, to conventional concerns such as terrorism and extremism, and it deals with a very large topic such as culture, technology, data and cyber security. 
There is now a new proposal under the counter-espionage law that gives the Chinese Government large powers to override economic activity in the interest of national security. They can freeze assets, seize data, and they can conduct arrests within that framework. And this makes it, of course, increasingly difficult and dangerous for the EU business to be active in China. But equally important, it will lead to a huge implementation problem for our autonomous measures such as due diligence, deforestation and the ban on forced labour.
Did you have a talk on that when you were in China? How do you address these issues? And specifically when it comes to our autonomous trade measures, what is your assessment, Mr Commissioner?
"
