MP,Date,Language,Title,Url,Content
Katrin LANGENSIEPEN,2023-11-23,DE,International day for the elimination of violence against women (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-23-INT-4-052-0000_DE.html,"  Katrin Langensiepen (Verts/ALE).   – Herr Präsident, Frau Kommissarin, liebe Kolleginnen und Kollegen! Ja heißt Ja, Nein heißt Nein, und wir wiederholen diese Forderung mantraartig jedes Mal seit Generationen. Für eine ähnliche, vergleichbare Forderung ist schon meine Mutter Anfang der 70er-Jahre auf die Straße gegangen. Und wir wiederholen es immer und immer wieder. Ich glaube, wir können sagen: Erzieht nicht eure Töchter, sondern erzieht eure Söhne!
Und Herr Buschmann, zu Ihnen: Ihre Blockadehaltung diesem Gesetz, dieser Richtlinie hier gegenüber ist eine Schande für die Europäische Union! Ich verstehe es nicht, dass das, was Deutschland schon ratifiziert hat, wie die Istanbul-Konvention – und jetzt komme ich auch zu der UN-Behindertenrechtskonvention, wo ähnliches drinsteht; jede zweite Frau mit Behinderung ist Opfer von Gewalt! Die Form der Gewalt, die können wir uns aussuchen. Und dass Deutschland, dass Minister Buschmann von der FDP hier blockiert und sagt, es gibt keine rechtliche Grundlage, ist einfach eine Lüge.
"
Katrin LANGENSIEPEN,2023-10-19,DE,Commission proposal for a Council recommendation on developing social economy framework conditions (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-19-INT-4-171-0000_DE.html,"  Katrin Langensiepen,  im Namen der Verts/ALE-Fraktion. – Herr Präsident, sehr geehrte Damen und Herren, sehr geehrte Zuschauer draußen an den Bildschirmen! Ich freue mich sehr, dass Sie die Debatte hier verfolgen. Wir sind mit dem Sozialausschuss vor einem knappen Jahr in Madrid gewesen und haben uns dort Sozialunternehmen mit Schwerpunkt auf Menschen mit Behinderung angeguckt. Und da wurde gezeigt – und das hat die Kommissarin ja gerade richtig erwähnt –, dass Sozialökonomie, Sozialwirtschaft und Inklusionsunternehmen sehr wohl ein gutes Beispiel, eine Alternative zu ausgrenzenden Sonderstrukturen bieten können.
Nein, Menschen mit Behinderungen müssen nicht in Werkstätten verwahrt werden, verschlossen werden, abgeschottet von der Außenwelt. Auch wenn es Außenarbeitsplätze wie in Deutschland gibt, das hoch propagiert wird, und das immer wieder mit Schichtwechsel-Projekten, bei denen ich gucke, wie es in der Werkstatt läuft, und im Gegenzug dazu kann dann ein behinderter Mensch aus einer Werkstatt mal einen Tag schnuppern, wie es denn in der nichtbehinderten Welt aussieht. Dann muss er aber wieder – oder sie – husch, husch ins Körbchen und muss dann wieder in die Struktur, die für sie oder ihn als behinderter Mensch vorgesehen ist, zurück. Und das ist nicht mehr angemessen im 21. Jahrhundert.
Der Artikel 27: Ich war bei der Veröffentlichung und Debatte des Staatenberichtes – in dem Fall über Deutschland – in Genf. Da hat die UNO wieder einmal massiv kritisiert, haben Menschenrechtsorganisationen massiv kritisiert, dass wir in den europäischen Mitgliedstaaten – jetzt als Beispiel, aber auch andere – hier an den Sonderstrukturen für behinderte Menschen festhalten.
Wir müssen als Europäische Union, als Parlament, als Kommission hier die Sozialwirtschaft als neue alternative Wirtschaftsform unterstützen. Diese Unternehmen müssen steuerliche Vorteile haben, sie müssen auf Augenhöhe mit den genannten Sonderstrukturen sein und keine dahinter fallende Struktur oder kein dahinter fallendes Unternehmertum. Frauen müssen die Chance haben, ein Unternehmen, ein Sozialunternehmen zu gründen, also der Feminismusaspekt, der Genderaspekt ist uns hier sehr, sehr wichtig. Ich wurde mal von einer jungen Frau mit Behinderung gefragt: „Gibt es Fördermöglichkeiten, wenn ich als behinderter Mensch, als behinderte Frau ein Unternehmen gründen möchte?“ Mir fiel nichts ein.
Ich glaube, wenn wir über zahlreiche Förderungen sprechen, muss klar sein: Es muss in die Sozialökonomie rein, und wirklich keine Fördergelder – explizit. Und da haben wir Beschlusslagen, liebe Kolleginnen und Kollegen: nicht mehr in Sonderstrukturen. Ich möchte nicht sehen, dass ESF-Mittel, EFRE-Mittel weiterhin in Strukturen gehen, die Artikel 27 der UN-BRK entgegenstehen.
"
Katrin LANGENSIEPEN,2023-10-17,DE,International Day for the Eradication of Poverty (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-080-0000_DE.html,"  Katrin Langensiepen,  im Namen der Verts/ALE-Fraktion. – Frau Präsidentin! Weltarmutstag ist heute. Vor 14 Tagen haben wir über die Grundsicherung hier in diesem Hohen Haus gesprochen. Hurra! Innerhalb kürzester Zeit sprechen wir über Armut in der Europäischen Union. Ich wende mich hier an unsere Gäste auf dem Podium, ich wende mich an diejenigen, die vielleicht jetzt zu Hause sitzen und die Debatte mitverfolgen – Menschen, die von Armut betroffen sind. Und da möchte ich gerne, dass wir aufhören, von sozial schwachen Menschen zu sprechen. Diese Menschen sind nicht sozial schwach, sie sind finanzschwach, teilweise schon seit Generationen. Und das ist ein Umstand, den wir nicht hinnehmen dürfen.
Über wen reden wir? Wir reden über Frauenarmut, wir reden über Altersarmut, wir reden auch über sogenannte Behindertenarmut – Menschen mit Behinderungen, mit Erkrankungen, die aus unterschiedlichen Gründen in Armut leben. Wer arm ist, ist selber schuld. Das ist häufig der Gedanke. Wenn wir in die Bekämpfung von Armut und in Sozialstandards investieren, dann ist es ein Goodie, dann ist es ein Social Benefit. Nein, das ist eine Investition in unsere Demokratie! Das ist eine Investition in unseren Staat, in die Europäische Union. Wer immer noch glaubt, dass Menschen, die in Armut leben, ein nerviger, ein unangenehmer Faktor sind, der hat die Zeichen der Zeit – und das hat mein Kollege Dragoş Pîslaru richtig gesagt – nicht erkannt, liebe Kolleginnen und Kollegen, auch da draußen am Bildschirm.
Die Kindergrundsicherung haben wir hier im Europäischen Parlament verabschiedet. In—work poverty – Armut trotz Erwerbstätigkeit – war eine Debatte im Sozialausschuss. Ich möchte, dass wir diese Debatten nicht mehr führen und dass wir einfach Gesetzesvorschläge bekommen, dass Sozialpolitik in der Europäischen Union kein Goodwill ist, sondern ein Must-have, dass wir über die Sozialunion nicht mehr sprechen, sondern sie einführen. Ich will kein Mimimi mehr hören, dass man irgendwem etwas wegnimmt. Nein, wir bekommen etwas dazu, nämlich nur so funktioniert die Europäische Union.
"
Katrin LANGENSIEPEN,2023-10-02,DE,Rising precariousness in Europe including the need for aid to the most deprived (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-02-INT-1-079-0000_DE.html,"  Katrin Langensiepen (Verts/ALE).   – Herr Präsident, sehr geehrter Herr Kommissar, sehr geehrte Kollegen! Armutsbekämpfung bzw. dass Menschen in der Europäischen Union arm sind, ist ja nichts Neues. Was bedeutet aber Armut?
Armut ist, dass ich mir das gesunde Essen vielleicht nicht leisten kann, dass ich mir die Schulbücher nicht leisten kann, dass ich mir den Theaterbesuch nicht leisten kann. Auch das gehört zur sozialen Teilhabe. Wir haben es in der Europäischen Union geschafft, einen Klima-Sozialfonds einzurichten, der viel zu klein ist. Wir haben die Kindergrundsicherung auf den Weg gebracht, die leider noch nicht in allen europäischen Mitgliedstaaten vorhanden ist.
Lasst uns endlich in der Europäischen Union eine EU-Grundsicherung auf die Beine stellen. Investition in die Bekämpfung von Armut ist kein Goodie. Investition in die Bekämpfung von Armut ist kein Soft Skill. Es muss endlich in der nächsten Kommission nach der Wahl mit dem neuen Parlament für uns alle crystal-clear sein, dass es eine Investition in die Zukunft ist und kein Brotkrumen- oder vielleicht auch Kuchenstückvorwerfen für die Menschen, die in Armut leben.
Wir müssen die Menschen aus der strukturellen Armut herausholen und nicht dort halten.
"
Katrin LANGENSIEPEN,2023-07-11,DE,COVID-19 pandemic: lessons learned and recommendations for the future (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-220-0000_DE.html,"  Katrin Langensiepen (Verts/ALE).   – Herr Präsident, liebe Kolleginnen und Kollegen! Als Corona über uns hereinbrach, da waren die Frauen, die Kinder, die Schwächsten in der Gesellschaft, Menschen mit Vorerkrankungen, Rentnerinnen und Rentner in den Pflegeheimen die ersten, die die Preise zu zahlen hatten. Menschen mit Behinderungen oder Menschen mit Erkrankungen wurden die Zugänge in die Kliniken wegen Überfüllung verwehrt. Ihnen wurde die Gesundheitsversorgung verwehrt. Man sprach natürlich niemals offiziell das Wort „Triage“ aus. Ärztinnen und Ärzte mussten unter den schwierigsten Bedingungen Entscheidungen treffen. Ich hoffe, dass niemand von uns jemals solche Entscheidungen treffen muss. Ich glaube, für das, was wir dem medizinischem Personal, den Ärztinnen und Ärzten in dieser Zeit zugemutet haben, können wir uns nur entschuldigen. 
Menschen mit Long COVID, ME/CFS, Post-Vac, diese Menschen sind aufgrund der Erkrankung nicht in der Lage, auf die Straße zu gehen. Sie sind nicht sichtbar. Wir dürfen sie nicht vergessen. Wir müssen Finanzmittel in die Hand nehmen, und wir müssen unsere Mitgliedstaaten auffordern, Gelder dafür in die Hand zu nehmen, um in Forschung zu investieren und in die Gesundheitsversorgung der Menschen, die isoliert im Dunkeln in ihren Betten liegen und um die die Angehörigen sich kümmern müssen.
"
Katrin LANGENSIEPEN,2023-05-10,DE,Roadmap on a Social Europe: two years after Porto (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-10-INT-3-377-0000_DE.html,"  Katrin Langensiepen (Verts/ALE).   – Herr Präsident, sehr geehrter Herr Kommissar, liebe Ministerin, liebe Bürgerinnen und Bürger auf dem Podium! Finanzunion, Wirtschaftsunion – was wir brauchen, ist eine Sozialunion. Wir haben es geschafft, wir haben den Mindestlohn erkämpft. Als 2007/2008 die Finanzkrise, Wirtschaftskrise, Immobilienkrise über uns hereinbrach, waren viele junge Menschen arbeitslos. Die Jugendgarantie, eine Stärkung der Jugendgarantie, war dann die Folge. Wir brauchen aber viel mehr.
Obdachlosigkeit ist ein schwerwiegendes Thema in der Europäischen Union. Wenn wir über Versorgung der Menschen im Winter reden, müssen wir aber auch genauso gut darüber sprechen, wie der Zugang zu Wasser, zu Unterkünften in den Hitzesommern in den europäischen Mitgliedstaaten ist.
Eine weitere Krise, die wir vor einiger Zeit hatten, ist die Corona-Krise. Wie viele Menschen sind zu Hause im Dunkeln? Sie sind an ME/CFS erkrankt, nicht nur aufgrund von Corona, aber auch aufgrund dessen, können nicht mehr teilhaben. Arbeitskräfte fehlen uns, die nicht an der Ausbildung teilnehmen können.
Armutsbekämpfung muss in der nächsten Legislatur der Schwerpunkt sein in unserer Arbeit; dafür werden wir streiten.
"
Katrin LANGENSIEPEN,2023-05-09,DE,"Council of Europe Convention on preventing and combating violence against women and domestic violence – EU accession: institutions and public administration of the Union - Council of Europe Convention on preventing and combating violence against women and domestic violence - EU accession: judicial cooperation in criminal matters, asylum and non-refoulement (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-09-INT-2-285-0000_DE.html,"  Katrin Langensiepen (Verts/ALE).   – Frau Präsidentin! Wir nähern uns so langsam dem Ende der Debatte, und es fällt mir sehr, sehr schwer auszuhalten, wie viel Blödsinn, liebe Frauen, wir uns hier seit circa einer Stunde eigentlich anhören müssen. Uns wird wirklich wieder mal alles abgesprochen. Wir hätten keine Ahnung, wie wir das Geschlecht – unser Geschlecht – definieren. Wir wüssten nicht, was Gewalt, Übergriffigkeit, verbale Gewalt, psychische Gewalt, seelische Gewalt oder auch „Ja, du hast keine Ahnung“, was das bedeutet, und könnten da nicht drüber reden. Das, finde ich, zeigt, wie wichtig diese Diskussion ist, wie wichtig diese Entschließung, diese Entscheidung für morgen ist, dass sie auch entsprechend abgestimmt wird.
Nein heißt Nein. Da gibt es keine Zweideutigkeit. Waltraud Schoppe war 1983 eine sehr bekannte Frau, die erste grüne Bundestagsabgeordnete, die im Bundestag zum Thema Vergewaltigung in der Ehe gesprochen hat. Sie wurde ausgelacht. 1997 wurde Vergewaltigung in der Ehe in Deutschland unter Strafe gestellt. Ich glaube, für viele Männer ist es heute noch ein Unding, dass es so was gibt in ihrem Weltbild. Gewalt beginnt nicht mit der Ohrfeige. Gewalt endet mit dem Tod, mit dem Femizid. Auch das ist Teil der Wahrheit.
Ich freue mich, starke Frauen hier im Raum zu haben, dass wir das morgen auch gemeinsam, solidarisch mit unseren männlichen Kollegen an unserer Seite – die möchte ich auch mal erwähnen, liebe Kollegen – abstimmen werden.
"
Katrin LANGENSIEPEN,2023-05-09,EN,Start of the European Year of skills (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-09-INT-2-394-0000_EN.html,"  Katrin Langensiepen,  on behalf of the Verts/ALE Group. – Madam President, as we enter the European Year of Skills, it’s important to recognise the significance of the opportunity for Member States to incentivise workers to upskill and reskill themselves in light of the just transition. 
Member States utilise the available resources to empower persons and encourage employers to provide their workers with the tools they need to succeed. This includes providing paid trainings and allowing workers to participate in training during working hours. We, as Greens, corrected the narrow focus on the lack of skilled workforce for management positions and expanded the scope to promoting upskilling and reskilling for all workers in all sectors. We also managed to include language on green skills for green quality jobs, stressed the need for jobs that allow workers to get skilled while still receiving pay from their employers. Also, we managed to have one recital on the importance of upskilling and reskilling. 
Unfortunately, the improvements on migration, the specifics on gender and green skills did not survive the negotiations. The Swedish Council Presidency was reluctant on social dialogue and rather focusing on a broader positive impact on society, on democracy. But let us continue to work towards promoting quality jobs together.
"
Katrin LANGENSIEPEN,2023-04-17,DE,"Revision of the EU Emissions Trading System - Monitoring, reporting and verification of greenhouse gas emissions from maritime transport - Carbon border adjustment mechanism - Social Climate Fund - Revision of the EU Emissions Trading System for aviation (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-17-INT-1-153-0000_DE.html,"  Katrin Langensiepen (Verts/ALE).   – Herr Präsident! Hätte man mir vor 15 Jahren gesagt, wir bekommen den europäischen Mindestlohn, hätte ich gesagt: No way! Niemals! Hätte man mir vor 15 Jahren, als die Banken- und Finanzkrise über uns hereinbrach, gesagt, wir werden heute hier sitzen, und statt sparen werden wir investieren, wir werden investieren in Sozialstandards und wir werden versuchen, den Armen in der Europäischen Union zu helfen, und nicht nur mit Geld, sondern auch versuchen, sie strukturell aus der Armut zu holen, hätte ich gesagt: niemals! 15 Jahre später kann ich heute sagen: Hurra, wir haben es geschafft!
Natürlich ist noch Luft nach oben. Es ist noch nicht das, was wir uns vorstellen als Grüne, das, was benötigt wird, um der Alleinerziehenden am Stadtrand von Bukarest oder der Pflegekraft, die in der Bretagne mit ihrem Auto unterwegs ist, um Patientinnen und Patienten zu besuchen, hier aus Mobilitätsarmut oder struktureller Armut herauszuhelfen. Das schaffen wir heute. Heute ist ein erster Schritt mit dem Klima-Sozialfonds. Ich danke allen, die sich daran beteiligt haben. Es ist ein erster Schritt für mehr und dafür werde ich mich als Sozialpolitikerin weiterhin einsetzen.
"
Katrin LANGENSIEPEN,2023-03-30,DE,Strengthening the application of the principle of equal pay for equal work or work of equal value between men and women (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-30-INT-2-015-0000_DE.html,"  Katrin Langensiepen,  im Namen der Verts/ALE-Fraktion. – Herr Präsident, liebe Helena, liebe Kolleginnen, liebe Bürgerinnen oben auf dem Podium! Geschichte wird gemacht, es geht voran! Und heute geht es voran mit der Beendigung von Diskriminierung. Häufig wird den Frauen gesagt: Na ja, also das mit der Diskriminierung bildest du dir ein. Wo steht denn, dass ein Mann mehr verdient als eine Frau? Beweise es mir.
Und das beenden wir heute, dass man als Frau mit unterschiedlichen Hintergründen in die Beweispflicht kommen muss. Nein, wir drehen das heute um: Das Unternehmen, die andere Seite, muss beweisen, wie viel Männer und Frauen in ihrem Unternehmen verdienen. Und nein, die Frauen haben nicht schlecht verhandelt. Es war bisher einfach Lohndiskriminierung, von der wir hier sprechen, und keine Einbildung oder Inkompetenz bei Verhandlungen.
Es geht voran. Was tut Europa für mich? Wir beenden heute die Lohnschere. Das tun wir heute für die Frauen in der Europäischen Union.
"
