MP,Date,Language,Title,Url,Content
Lars Patrick BERG,2023-05-09,DE,"This is Europe - Debate with the Chancellor of Germany, Olaf Scholz (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-09-INT-2-084-0000_DE.html,"  Lars Patrick Berg (ECR).   – (Beginn des Redebeitrags bei ausgeschaltetem Mikro) … Ereignisse, die Pandemie, die wirtschaftliche Unsicherheit, die steigenden Lebenshaltungskosten, die ungeregelte Migration, der Krieg in der Ukraine haben uns veranlasst, die Rolle der Europäischen Union und die Rolle Deutschlands in dieser Union zu überdenken. Es hat sich gezeigt, dass sich die Bürger Europas in Krisenzeiten oft an ihre nationalen Regierungen wenden. Ich möchte daher nachdrücklich darauf hinweisen, dass wir eine weitere Übertragung von nationalen Zuständigkeiten an europäische Institutionen bei aller Gebotenheit für einen stärkeren geopolitischen Fokus sehr genau abwägen müssen, und wir sollten uns nicht schämen, die Interessen der Bundesrepublik Deutschland vor einer föderalistischen Idee zu schützen.
Ich möchte Sie eindringlich bitten, Herr Bundeskanzler, Ihre Unterstützung für die Abstimmung mit qualifizierter Mehrheit in Fragen der Außen- und Sicherheitspolitik noch einmal sehr genau zu überdenken. Diese Fragen sind viel zu wichtig, um sie anderen zu überlassen. Ich spüre in diesem Hause eine zunehmende antideutsche Stimmung, aber auch in ganz Europa, und ich glaube, dass die realistische Zukunft für Deutschland darin besteht, ein starkes Mitglied einer Europäischen Union zu sein, die eine Union von gleichberechtigten Mitgliedstaaten ist, die sich frei zum gemeinschaftlichen wirtschaftlichen Wohl zusammensetzt.
"
Lars Patrick BERG,2023-01-17,DE,Human rights and democracy in the world and the European Union’s policy on the matter - annual report 2022 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-01-17-INT-2-366-0000_DE.html,"  Lars Patrick Berg (ECR).   – Frau Präsidentin, Herr Kommissar! Grundsätzlich möchte ich mich auch bei der Kollegin für die Arbeit bedanken, aber der Jahresbericht ist leider unvollständig – eine lange Liste angeblicher Errungenschaften und eine noch längere Liste von Bestrebungen, fein säuberlich unterteilt, um unsere humanitäre Glaubwürdigkeit zu demonstrieren. Wir haben sogar Anhänge, in denen die einzelnen Fälle, die wir geprüft haben, und eine Liste der Länder, die wir verurteilt haben, aufgeführt sind. Natürlich kann die Liste der Fälle manchmal etwas seltsam anmuten, aber die jüngste Medienberichterstattung könnte dies vielleicht erklären.
Was ich jedoch noch immer nicht verstanden habe, ist, dass wir angesichts unserer humanitären Verdienste eine der größten humanitären Krisen der Welt, den Jemen, ignoriert haben. Lassen Sie mich einige Zahlen nennen: 150 000 Menschen wurden getötet. 23,4 Millionen Menschen benötigen in irgendeiner Form humanitäre Hilfe. 17,4 Millionen Menschen leiden unter einem Nahrungsmitteldefizit. 4,3 Millionen Menschen wurden vertrieben. Die Zivilbevölkerung ist ständig der Gefahr von Cholera, Diphtherie und Denguefieber ausgesetzt. Keine Diskussion über den Jemen, keine Empörung, keine Forderungen nach Maßnahmen. Wir haben bei der wahren Prüfung unserer humanitären Glaubwürdigkeit leider versagt.
"
Lars Patrick BERG,2022-07-05,DE,2021 Report on Kosovo (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-07-05-INT-2-397-0000_DE.html,"  Lars Patrick Berg (ECR).   – Frau Präsidentin! Ich begrüße diesen Bericht, der meiner Meinung nach sowohl ausgewogen als auch fair ist. Meine Sorge ist, dass wir es wie im Falle Georgiens versäumen, unsere Freunde in einer großen Zeit der Instabilität zu unterstützen. Es ist unverzeihlich, dass das Kosovo von einigen Mitgliedstaaten immer noch nicht anerkannt wird, und zwar aus Gründen, die mehr mit innenpolitischen Erwägungen als mit Fragen der kosovarischen Souveränität zu tun haben.
Wir müssen die Fragen der Visaliberalisierung auf der Grundlage des Prinzips der Fairness und gleicher Wettbewerbsbedingungen für die Staaten des westlichen Balkans lösen. Die kosovarische Regierung hat lobenswerte Fortschritte bei der Bekämpfung der Korruption, der Durchsetzung der Rechtsstaatlichkeit und der Förderung der wirtschaftlichen Entwicklung gemacht. Lassen Sie uns unsere Beziehungen endlich auf die nächste Stufe heben.
"
Lars Patrick BERG,2022-03-10,DE,Destruction of cultural heritage in Nagorno-Karabakh,https://www.europarl.europa.eu/doceo/document/CRE-9-2022-03-10-INT-4-125-0000_DE.html,"  Lars Patrick Berg (ECR).   – Frau Präsidentin, Frau Kommissarin! Ich unterstütze voll und ganz eine unabhängige, von der Unesco geleitete Untersuchungskommission, die das gesamte Ausmaß des kulturellen Vandalismus in Arzach untersuchen und feststellen soll. Ich bin auch sicher, dass diese Mission die mutwillige Zerstörung von armenischen Kirchen, von Denkmälern, Artefakten und Gedenksteinen, den sogenannten Chatschkaren, aufdecken wird.
Was wir erleben, ist die systematische Vernichtung des armenischen Kulturerbes in Arzach, die eindeutig gegen die Urteile des Internationalen Gerichtshofs verstößt. Eine unabhängige, von der Unesco geleitete Mission muss endlich ungehinderten Zugang zu Arzach erhalten, um die weitere Zerstörung des armenischen Kulturguts in Arzach zu verhindern. Und wir sollten nicht zulassen, dass die aserbaidschanischen Behörden eine solche Mission endlos verzögern und behindern.
"
Lars Patrick BERG,2022-02-15,DE,Implementation of the common foreign and security policy – annual report 2021 - Implementation of the common security and defence policy – annual report 2021 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-02-15-INT-2-208-0000_DE.html,"  Lars Patrick Berg (ECR).   – Frau Präsidentin! Die aktuellen Spannungen haben die europäische Sicherheits- und Verteidigungspolitik in den Fokus gerückt.
Ich war lange skeptisch, was die Wirksamkeit der GSVP angeht. Für mich ist die NATO der Garant des Friedens, und ich bin mir nicht sicher, ob die Konzentration auf die GSVP die NATO schwächen würde. Die derzeitige Krise hat jedenfalls gezeigt, dass die Ansicht aus Washington nicht in allen europäischen Hauptstädten unbedingt geteilt wird und dass wir in unseren Beziehungen zu Staaten wie Russland und China eine unabhängigere europäische Stimme brauchen, die europäische Interessen widerspiegelt.
Wenn GSVP-Missionen überhaupt eine Chance haben sollen, ihre Ziele zu erreichen, müssen sie damit beginnen, sich für den Umgang mit neuen und disruptiven Technologien zu schulen, die rasch in das Konfliktfeld eindringen. Sie müssen eng mit der Verteidigungs- und Abschreckungsstrategie der NATO sowie mit den Bemühungen der NATO um die Förderung der kooperativen Sicherheit durch den Aufbau von Verteidigungskapazitäten abgestimmt werden. Und sie müssen engere Synergien mit den nationalen gemeinsamen Ausbildungs- und Evaluierungszentren anstreben.
Dennoch fällt es mir schwer zu glauben, dass die GSVP die ultimative Lösung ist. So sehr wir auch Differenzen mit den Vereinigten Staaten haben mögen, so hat diese Krise doch auch die Spaltungen innerhalb Europas aufgezeigt. Wir brauchen eine Verteidigungsarchitektur, die in jedem Fall auf den Interessen der Mitgliedstaaten beruht und nicht auf dem Versuch, eine ultimative Souveränität der Europäischen Union festzulegen.
"
Lars Patrick BERG,2021-06-09,DE,Recent cyberattacks on EU institutions and on sensitive national public and private institutions – The EU’s cybersecurity strategy for the Digital Decade (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2021-06-09-INT-3-186-0000_DE.html,"  Lars Patrick Berg (NI).   – (Beginn des Redebeitrags bei ausgeschaltetem Mikro) ... in den USA, die die Pipeline-Branche und auch die fleischverarbeitende Industrie zur Zielscheibe hatten, veranschaulichen die Anfälligkeit hochgradig vernetzter Gesellschaften gegenüber Cyberkriminalität.
Mir ist bewusst, dass die Gespräche innerhalb der Vereinten Nationen voranschreiten, wenn auch langsam – zu langsam. Und der Vorschlag für eine Genfer Digitalkonvention der UNO liegt auf dem Tisch. Wenn man dies nur gutheißen kann, ist es unwahrscheinlich, dass diese Gespräche mit dem Tempo der aggressiven Bedrohungen Schritt halten können.
Ich begrüße deshalb den Vorstoß, die Mitgliedstaaten resilienter gegenüber solchen Angriffen zu machen. Ein engerer Zusammenhalt der Mitgliedstaaten ist erforderlich, eine bessere, eine schnellere Abstimmung, um diesem auch teilweise staatlich geförderten Cyberterrorismus erfolgreich die Stirn zu bieten.
Wir müssen jedoch die richtige Balance zwischen Sicherheit und Freiheit im Internet finden, da es totalitären Regimes ein Leichtes wäre, den Zugang zum Internet im Namen der Sicherheit einzuschränken.
"
Lars Patrick BERG,2021-05-20,DE,Prisoners of war in the aftermath of the most recent conflict between Armenia and Azerbaijan,https://www.europarl.europa.eu/doceo/document/CRE-9-2021-05-20-INT-4-090-0000_DE.html,"  Lars Patrick Berg (NI).   – Frau Präsidentin, Frau Kommissarin! Am 19. März berichtete Human Rights Watch über die Misshandlung von armenischen Kriegsgefangenen durch die aserbaidschanischen Behörden. Human Rights Watch wies auch auf das Versäumnis Aserbaidschans hin, die im Friedensvertrag enthaltenen Vereinbarungen zu befolgen, und darauf, dass die noch in Gefangenschaft befindlichen Armenier als Terrorismusverdächtige bezeichnet werden. Der Europäische Gerichtshof für Menschenrechte hat darauf hingewiesen, dass Aserbaidschan seinen internationalen Verpflichtungen leider nicht nachkommt. Ich bin der festen Überzeugung, dass es diesem Haus obliegt, jetzt zu prüfen, welche Maßnahmen erforderlich sind, um derartige Vorkommnisse zukünftig schnell und konsequent zu lösen. 
Ein Staat, der so eklatant gegen internationale Abkommen verstößt und so leichtfertig Menschenrechtsverletzungen begeht, begibt sich ins Abseits. Präsident Alijew kann nun zeigen, dass er ein Staatsmann ist, ein wirklicher Staatsmann, ein Staatsmann, der die armenischen Kriegsgefangenen und die als Terroristen bezeichneten Gefangenen umgehend freilässt.
"
Lars Patrick BERG,2021-05-19,DE,European Cybersecurity Competence Centre (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2021-05-19-INT-3-338-0000_DE.html,"  Lars Patrick Berg (NI).   – Frau Präsidentin, Herr Kommissar! Ich begrüße diese Initiative, und wir müssen uns nur die jüngste Cyberattacke in den Vereinigten Staaten ansehen, um die erschreckenden Auswirkungen auf Industrie und Verbraucher zu erkennen – oder die Attacke auf die irische Gesundheitsbehörde oder vor Kurzem auf einen bekannten deutschen Lebensmittelhändler. Eine koordinierte Reaktion auf Cyberbedrohungen ist längst überfällig.
Ich habe zwei Anmerkungen: Erstens möchte ich feststellen, dass die ersten Diskussionen mit Interessenvertretern im Jahr 2017 stattgefunden haben. Vier Jahre später bringen wir dieses Gesetz auf den Weg. In einer schnelllebigen, sich ständig weiterentwickelnden Branche sind diese Zeitspannen dem Erfolg keinesfalls förderlich. Zweitens denke ich, dass auch die Attacke auf den US—IT—Dienstleister SolarWinds im Detail untersucht werden muss. Der Angriff wurde von dem privaten Sicherheitsdienstleister FireEye entdeckt, der nicht verpflichtet war, den Angriff an die US—Regierung zu melden. Und wir müssen auch unsere Definition des Eindringens in die Systeme klarer fassen. Schließlich ist es entscheidend, zukünftig klarer zu unterscheiden, was eine wirkliche feindselige Haltung darstellt und was nicht.
"
Lars Patrick BERG,2021-04-28,DE,EU-India relations (continuation of debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2021-04-28-INT-3-301-0000_DE.html,"  Lars Patrick Berg (ID).   – Herr Präsident, Frau Kommissarin! Indien ist die größte Demokratie der Welt und ein wichtiger Handelspartner Europas. Und so ist es von entscheidender Bedeutung, dass wir alles in unserer Macht Stehende unternehmen, um unsere Beziehungen zu diesem Land zu harmonisieren und deren Potenzial voll auszuschöpfen. Zudem müssen wir anerkennen, dass Indien als Nuklearmacht in einer instabilen Region – Stichwort Kaschmir—Konflikt – ein unverzichtbarer Partner in Sicherheits— und Verteidigungsfragen ist. 
Die indischen Beziehungen zu China sind für uns alle von eminenter Bedeutung. Am wichtigsten ist jedoch, dass wir uns mit Indien in dieser beispiellosen Gesundheitskrise, die das Land derzeit überrollt, solidarisch zeigen. Dass Krankenhäuser gezwungen sind, Schwerkranke abzuweisen, und viele Menschen keine andere Lösung haben, als ihre Angehörigen selbst einzuäschern, sollte uns zu denken geben.
Deshalb begrüße ich die Initiative für eine weitere Vertiefung der Beziehungen zwischen Europa und Indien – insbesondere in Bezug auf eine gemeinsame Indopazifik—Strategie –, hoffe jedoch, dass wir auch praktische Hilfe leisten können, um zur Linderung der gegenwärtigen Krise beitragen zu können.
"
Lars Patrick BERG,2021-02-09,DE,Humanitarian and political situation in Yemen (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2021-02-09-INT-2-220-0000_DE.html,"  Lars Patrick Berg,  im Namen der ID-Fraktion. – Frau Präsidentin! Es scheint so lange her zu sein, dass wir über den Jemen gesprochen haben und über die schwerste humanitäre Krise, mit der die Welt konfrontiert ist. Und trotzdem schafft es dieses Thema aus unerfindlichen Gründen nicht auf unsere Tagesordnung. Wir behandeln es nicht einmal als dringende Angelegenheit, was mich immer wieder sehr verwundert. 
Lassen Sie mich meine Position sehr klar darlegen. Die internationale Gemeinschaft hat Jemen im Stich gelassen. Der Hohe Vertreter begnügt sich oft damit, die Feststellung des UN-Sicherheitsrats zu wiederholen – mit einem Bekenntnis zur saudischen Beaufsichtigung des gesamten Konflikts und einem Bekenntnis zur territorialen Integrität des Jemen. Dies wurde trotz der Zusicherung geäußert, dass eine jemenitische Lösung auf dieses jemenitische Problem gefunden werden müsse. 
Der Hohe Vertreter wird sicher darin zustimmen, dass es in der Bevölkerung des Südens viel Unterstützung für einen separaten Staat gibt und dass es sich derzeit bei der einzigen politischen Gruppe, die ernsthafte Gespräche mit den Huthis führt, um den Übergangsrat des Südens Southern Transitional Council handelt. Wenn die Gespräche Aussicht auf Erfolg haben sollen, dann müssen alle Optionen auf den Tisch, und hierzu zählt auch eine Zweistaatenlösung. 
Lassen Sie mich zum Schluss einige Zahlen nennen. Seit Anfang 2015 hat die Europäische Union dem Jemen 896 Millionen EUR zukommen lassen. Im selben Zeitraum wurden Hilfsgelder im Volumen von circa 3,6 Milliarden Dollar in den Jemen geschickt. Ist dies wirklich eine Politik, von der wir uns einen dauerhaften Frieden für den Jemen erhoffen können? 
Was es braucht, ist ein echter politischer Dialog zwischen den jemenitischen Fraktionen, mit einer von den Jemeniten festgelegten Agenda. Tod und Zerstörung sind das Einzige, das die Einmischung Dritter diesem leidgeprüften Land gebracht hat. 
"
