MP,Date,Language,Title,Url,Content
Laurence FARRENG,2023-12-13,FR,EU strategy to assist young people facing the housing and cost of living crisis (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-166-0000_FR.html,"  Laurence Farreng (Renew).   – Madame la Présidente, Monsieur le Commissaire, chers collègues, imaginez: vous avez 21 ans, vous trouvez votre premier emploi dans une ville éloignée, et vous devez partir de chez vos parents. Malheureusement pour vous, ils ne sont pas en mesure de vous aider financièrement, et les logements sont rares et chers. C’est une histoire banale, trop banale: 80 % des 18-24 ans et près de 40 % des 25-29 ans doivent rester vivre chez leurs parents, alors même que l’accès à l’indépendance passe principalement par le départ du logement familial. Sans parler de ces jeunes qui doivent habiter des logements insalubres, trop petits, mal isolés, faute de solution familiale.
C’est pourquoi, avec mon groupe politique, nous faisons du logement des jeunes une priorité. Dans notre pacte Renew pour la jeunesse, nous demandons l’utilisation d’une partie du FSE+ pour la création d’un programme d’aide au logement pour les jeunes, afin de faire face aux cautions trop élevées et à la demande de garants solides.
Un autre aspect de la crise du logement qui me frappe est que, depuis quelques années, certaines villes appellent les étudiants à ne pas venir étudier chez elles en Erasmus, car il n’y a plus de logements étudiants disponibles. Comment en est-on arrivés là? Dans le cadre des fonds régionaux européens, une initiative spécifique devrait être mise en place pour soutenir la construction et la rénovation de logements étudiants abordables dans les villes universitaires.
Alors que la précarité des jeunes a fortement augmenté avec la crise sanitaire et l’inflation, nous devons permettre aux jeunes de démarrer leur vie d’adulte dans les meilleures conditions. Avoir un endroit où vivre, un toit sur la tête, est la première de ces conditions. 
"
Laurence FARRENG,2023-11-21,FR,Proposals of the European Parliament for the amendment of the Treaties (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-276-0000_FR.html,"  Laurence Farreng,  Rap avis CULT. – Monsieur le Président, Madame la Commissaire, en juin 2022, notre Parlement appelait à l’ouverture d’une convention pour réformer nos traités européens. Aujourd’hui, nous franchissons une étape cruciale avec le vote de nos propositions. «Plus d’Europe» et «mieux d’Europe», c’est ce que nous voulons. C’est surtout ce que les citoyens nous ont demandé lors de la Conférence pour l’avenir de l’Europe.
C’est la fin de l’unanimité au Conseil, c’est une Europe renforcée, c’est une Europe plus réactive. Car les défis qui attendent l’Europe sont nombreux: élargissement, défense européenne, protection de nos valeurs démocratiques, rôle de l’UE dans le monde. Cette Europe forte ne se fera pas sans des citoyens unis et éclairés. Nous devons donner à tous les moyens de comprendre notre histoire et nos institutions, et de résister à la désinformation nationaliste, et cela dès le plus jeune âge.
Comment pouvons-nous être Européens sans le savoir? Pour cela, chaque citoyen doit accéder à un minimum d’éducation civique européenne dans chaque État membre et cela appelle à plus de compétences partagées en la matière. C’est un grand pas que nous faisons ici, avec cette demande, et c’est ce pour quoi je me suis toujours investie.
"
Laurence FARRENG,2023-10-05,FR,The new European strategy for a better internet for kids (BIK+) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-05-INT-4-076-0000_FR.html,"  Laurence Farreng,  au nom du groupe Renew. – Madame la Présidente, Madame la Vice-présidente, chers collègues, 13 ans, c’est l’âge minimum pour s’inscrire sur les principaux réseaux sociaux qui sont utilisés par les jeunes. Et pourtant, par exemple en France, 63 % des jeunes Français de moins de treize ans sont présents sur les réseaux sociaux et 80 % des parents déclarent ne pas savoir ce que font leurs enfants sur ces réseaux sociaux.
En Europe, ce sont 23 % des enfants européens qui ont déjà fait l’expérience du harcèlement en ligne. Ces enfants n’ont conscience ni de leur visibilité, ni de leur vulnérabilité en ligne. Depuis leur chambre, sur Snapchat, TikTok, Instagram, ils naviguent sans surveillance dans un monde dont ils n’ont pas les codes et dont ils ne mesurent pas la portée. Si les outils numériques sont bien évidemment une opportunité pour eux, c’est aussi un très grand facteur de risque: exposition à des contenus violents, pornographiques, cyber-harcèlement ou encore risque de pédopornographie.
Je salue donc la volonté de la Commission européenne de mettre en place d’ici à 2024 une norme européenne de vérification de l’âge en ligne. C’est une question complexe sur laquelle la France a déjà commencé à travailler dans le cadre de sa loi de juillet dernier sur la majorité numérique. Un cadre européen sera donc plus que bienvenu. Oui, nos enfants doivent pouvoir bénéficier des outils numériques. Les en priver serait contreproductif, mais Internet pour les enfants doit avoir des règles et des mesures de surveillance. 
"
Laurence FARRENG,2023-10-03,FR,European Media Freedom Act (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-03-INT-2-081-0000_FR.html,"  Laurence Farreng (Renew).   – Madame la Présidente, Madame la Vice-présidente, chers collègues, ce règlement sur la liberté des médias est une avancée majeure pour affirmer nos valeurs européennes, pour la liberté d’informer et la protection des journalistes à l’échelle de l’Union européenne.
Madame la Vice-présidente, nous pouvons en être particulièrement fiers, car c’est la victoire de notre groupe politique Renew. C’est à notre initiative qu’entre aujourd’hui, dans la législation européenne, un droit pour tous les Européens à disposer d’une information libre, indépendante et pluraliste. C’est aussi par notre action que, désormais, nous allons pouvoir enquêter plus efficacement et remettre en question les concentrations médiatiques, quand il s’agit de la mainmise de pouvoirs illibéraux ou de groupes privés en quête d’influences douteuses.
Je suis également particulièrement satisfaite que mon amendement pour interdire les contenus générés par intelligence artificielle sans contrôle éditorial humain figure aujourd’hui dans ce texte. C’est crucial pour la lutte contre la désinformation et l’avenir d’un journalisme de qualité.
"
Laurence FARRENG,2023-09-14,FR,"Parliamentarism, European citizenship and democracy (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-14-INT-4-022-0000_FR.html,"  Laurence Farreng (Renew).   – Monsieur le Président, Madame la Commissaire, chers collègues, ce rapport sur le parlementarisme et la citoyenneté européenne est crucial. À la veille des élections européennes, il rappelle que ce Parlement est le cœur de la démocratie européenne. Il rappelle que nous, députés européens, représentons les citoyens directement. 
Mais les citoyens le savent-ils? Comment leur donnons-nous les moyens de résister à la désinformation nationaliste, aux discours qui attaquent l’Union européenne, pourtant si protectrice au travers de chaque crise? La solution est dans ce rapport: c’est l’éducation civique européenne. C’est une nécessité. Comment savoir qu’on est citoyen européen si on ne connaît pas le fonctionnement de l’Union européenne ni ses valeurs fondamentales? 
L’Éducation civique européenne, les citoyens nous l’ont d’ailleurs demandée directement lors de la Conférence pour l’avenir de l’Europe. Mais pour que chacun puisse accéder à un minimum d’éducation civique européenne dans chaque État membre, cela appelle à plus de compétences partagées en matière d’éducation, et c’est là encore un objectif de ce rapport: aller plus loin avec une réforme institutionnelle incluant la réouverture des traités pour une Europe encore plus efficace pour nos concitoyens. 
"
Laurence FARRENG,2023-09-14,FR,Violence and discrimination in the world of sports after the FIFA Women’s World Cup (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-14-INT-4-056-0000_FR.html,"  Laurence Farreng,  au nom du groupe Renew. – Monsieur le Président, Madame la Commissaire, chers collègues, un baiser sur la bouche sans consentement n’est pas un acte mutuel et consensuel. Non, Monsieur Rubiales, c’est une agression intolérable. Heureusement, ce geste de l’ancien président de la Fédération de football espagnole sur Jenni Hermoso a été filmé, ce qui a valu à la joueuse internationale le soutien de l’opinion. Sans cela, il n’aurait jamais démissionné, protégé par sa fédération et un sentiment d’impunité trop bien ancré.
Mais combien d’autres agressions silencieuses, combien de sportives et de sportifs victimes de coachs, médecins, encadrants abusifs, combien de douleurs étouffées par les fédérations sportives? Les agressions sexuelles sont pourtant répréhensibles partout dans l’Union européenne. C’est bien l’omerta qui règne encore dans le sport jusqu’au sommet des fédérations et qui détruit des femmes et des hommes.
La loi existe et elle n’est pas respectée. À nous, parlementaires, de la faire appliquer, de faire pression sur les grandes organisations sportives comme la FIFA, de porter les voix des victimes, de favoriser la féminisation des encadrements sportifs, de promouvoir l’éducation au consentement dès le plus jeune âge, et d’harmoniser toujours davantage nos instruments judiciaires. Parce que plus jamais un homme ne doit salir la victoire des femmes.
"
Laurence FARRENG,2023-07-13,FR,Global Convergence on Generative AI (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-13-INT-4-069-0000_FR.html,"  Laurence Farreng (Renew).   – Monsieur le Président, Madame la Vice-présidente, chers collègues, oui, il faut prôner une convergence mondiale en matière d’intelligence artificielle générative, et je me félicite que l’Union européenne soit à la manœuvre.
L’acte pour l’IA que nous avons initié il y a quelques semaines servira sans aucun doute de base pour une norme mondiale. Néanmoins, les IA génératives posent des défis sectoriels, comme dans le monde de la culture et de la création. Comment distinguer une œuvre produite par l’intelligence artificielle d’une véritable œuvre créée par un artiste avec l’aide de l’IA? Quel statut juridique donner à ces œuvres? Comment s’assurer que nos créateurs européens soient justement compensés pour les œuvres qui sont aspirées dans les bases d’entraînement de ces modèles?
À nous, Européens, de peser dans le débat mondial pour concilier propriété intellectuelle, innovation et démocratisation. À nous, Européens, de faire de la culture un facteur de premier plan dans la régulation mondiale de l’IA.
(L’oratrice accepte de répondre à une question «carton bleu»)
"
Laurence FARRENG,2023-07-13,FR,Global Convergence on Generative AI (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-13-INT-4-071-0000_FR.html,"  Laurence Farreng (Renew),  réponse «carton bleu». – C’est un grand sujet que cette phase amont pendant laquelle tout notre patrimoine culturel est accessible. On peut s’interroger sur ce qui nourrit les bases. Et puis peut-être, parce que je ne suis pas pour une réouverture des copyrights, si c’est une question implicite, mais peut-être pour une compensation, pourquoi pas sous forme de taxe, qui pourrait nourrir la création et financer à l’avenir les vrais artistes pour leurs œuvres?
"
Laurence FARRENG,2023-06-13,FR,Artificial Intelligence Act (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-13-INT-2-175-0000_FR.html,"  Laurence Farreng (Renew).   – Madame la Présidente, Madame la Vice-Présidente, chers collègues, l’Union européenne va faire cette semaine une avancée majeure. Nous sommes en effet la première institution et le premier continent au monde à poser des règles pour l’intelligence artificielle. Ce texte est ambitieux; il est le fruit de deux ans de travail de la Commission et du Parlement. Il a été remis sur le métier pour répondre aux bouleversements de l’IA générative, dont ChatGPT est un exemple. Il va établir des responsabilités pour les concepteurs et pour les fournisseurs en classifiant les risques, pour garantir à nos concitoyens des IA dignes de confiance, qui respectent nos valeurs. C’est un début. 
Cette révolution doit nous amener à des réflexions presque philosophiques sur l’avenir de notre civilisation. En tant qu’humaniste, je demande une IA toujours encadrée par l’intelligence humaine. Il faut former à la maîtrise de ces outils pour innover et pour transformer nos emplois, et non pour les détruire. Nous devons rapidement disposer d’un cadre pour la création culturelle qui s’appuie sur les acquis de la directive sur le droit d’auteur et qui la complète, pour que la machine ne remplace jamais ce qu’il y a d’unique dans la sensibilité humaine et que les droits d’auteur soient préservés. 
"
Laurence FARRENG,2023-06-13,FR,Quality traineeships in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-13-INT-2-489-0000_FR.html,"  Laurence Farreng,  au nom du groupe Renew. – Madame la Présidente, Monsieur le Commissaire, chers collègues, pouvoir faire un stage, c’est un véritable tremplin pour l’avenir. Pourtant, encore trop souvent, des jeunes doivent renoncer à des stages, car ils ne sont pas rémunérés ou pas assez. Tous les jeunes que j’ai rencontrés, notamment lors de l’Année européenne de la jeunesse et maintenant dans cette Année européenne des compétences, font des stages rémunérés une priorité. Nous les avons entendus.
Avec ce rapport, nous demandons donc que, en Europe, les stages post-études soient rémunérés et que les stages pendant les études soient justement compensés. C’est juste, cohérent et légitime. Je suis donc très surprise par les amendements déposés par les députés de la droite de notre hémicycle, et plus particulièrement par les amendements déposés par ID et par les Français du Rassemblement national, qui pourtant se targuent d’être à l’écoute des préoccupations sociales des citoyens. Leurs amendements visent en effet tout simplement à supprimer cette demande de juste rémunération des stages. C’est révoltant, et j’espère de tout cœur que ces amendements seront rejetés, demain, lors du vote.
"
