MP,Date,Language,Title,Url,Content
Leila CHAIBI,2023-11-20,FR,One-minute speeches on matters of political importance,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-227-0000_FR.html,
Leila CHAIBI,2023-06-13,FR,Establishment of the EU Ethics Body (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-13-INT-2-212-0000_FR.html,"  Leila Chaibi (The Left).   – Madame la Présidente, Madame la Commissaire, vous avez bien pris votre temps pour présenter votre proposition d’organisme d’éthique indépendant. On se disait que, si vous preniez autant de temps, c’est parce que vous étiez en train de préparer une proposition solide et ambitieuse. La semaine dernière, vous nous avez finalement présenté votre proposition, et là, on s’est dit: «Tout ça pour ça!»
Le Parlement vous demandait un organisme qui fixe des règles d’éthique; vous proposez un groupe de travail pour des normes communes minimales. Le Parlement vous demandait un organisme d’éthique indépendant; votre organisme est composé de membres des institutions qui font leur propre autoévaluation. Le Parlement demandait que l’organisme d’éthique ait le droit d’enquêter sur les potentiels conflits d’intérêts et qu’il ait un pouvoir de sanction; vous ne proposez ni l’un ni l’autre. Bref, malgré son joli nom, cet organisme ne servira à rien du tout.
Madame la Commissaire, votre proposition est un affront. Nous vous demandons de retirer votre proposition et d’envisager un organisme d’éthique indépendant, tel que proposé par le Parlement, pour que l’Union européenne cesse enfin d’être le royaume des lobbies, du secret et de l’opacité.
"
Leila CHAIBI,2023-06-12,FR,One-minute speeches on matters of political importance,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-12-INT-1-225-0000_FR.html,
Leila CHAIBI,2023-06-01,FR,Strengthening social dialogue (B9-0259/2023),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-01-INT-2-139-0000_FR.html,"  Leila Chaibi (The Left).   – Madame la Présidente, chers collègues, je voudrais ici, depuis l’hémicycle de notre Parlement européen, vous alerter sur la situation du dialogue social en France. Le gouvernement français a fait passer de façon autoritaire le recul de l’âge de départ à la retraite en ignorant toutes les demandes, toutes les propositions des partenaires sociaux, en refusant de négocier avec les syndicats, puis en ignorant et en bafouant la représentation parlementaire.
Vous l’avez bien compris, cette réforme qui va impacter considérablement la vie des Français a été adoptée sans vote, sans dialogue, que ce soit avec les partenaires sociaux ou avec la représentation nationale. Le pouvoir a encore franchi un cap, hier, en allant jusqu’à retirer le droit constitutionnel d’amendement aux députés de l’opposition. Manœuvres politiciennes, attaque contre le dialogue social, contre les syndicats, tout cela marque une dérive autoritaire dangereuse.
Chers collègues, en tant que parlementaires européens, cette manière de bafouer la démocratie sociale, cette manière d’attaquer les syndicats, cette manière d’attaquer la démocratie doit nous alerter au plus haut point.
"
Leila CHAIBI,2023-05-10,FR,Roadmap on a Social Europe: two years after Porto (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-10-INT-3-360-0000_FR.html,"  Leila Chaibi (The Left).   – Monsieur le Président, chers collègues, Monsieur le Commissaire, avant, ma famille politique et moi nous avions l’impression de crier dans le désert. Mais la crise sanitaire et la guerre en Ukraine sont passées par là. Et face aux conséquences sociales terribles pour les ménages européens, on s’est rendu compte de l’importance des services publics, des hôpitaux, des aides d’État. Une porte s’est entrouverte. Les lignes ont bougé. Les dogmes de l’austérité, de la concurrence, ces logiciels sont devenus obsolètes.
Pourtant, depuis les promesses du sommet social de Porto il y a deux ans, que s’est-il passé? Plein de bonnes idées, mais toutes arrêtées au milieu du gué. Une directive sur les salaires minimums européens qui ne fixe pas de seuil. Une directive sur la transparence salariale qui va concerner moins de 1 % des travailleurs. Une initiative sur le revenu minimum qui est non contraignante. La porte est entrouverte, mais certains, derrière, poussent pour la refermer.
Les élections européennes de l’an prochain sont une occasion de trancher le débat. Déciderons-nous d’ouvrir complètement la porte, de mettre plus qu’un pied dedans, et de jeter à la poubelle ces dogmes qui mènent les peuples européens dans le mur? Je veux lancer un avertissement: si l’Union européenne laisse les citoyens à la porte, elle ne survivra pas.
"
Leila CHAIBI,2023-05-10,FR,Roadmap on a Social Europe: two years after Porto (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-10-INT-3-375-0000_FR.html,"  Leila Chaibi (The Left),  question ""carton bleu"". – Monsieur Orville, de la même manière que madame Vedrenne, vous avez indiqué soutenir la directive pour les travailleurs des plateformes. Vous savez qu'en ce moment, cette directive est bloquée au Conseil, où on a un groupe d'États, avec en premier lieu le gouvernement français, la France, qui est en train de faire en sorte de mettre des exceptions, des exemptions, des délais suspensifs, de tout faire pour diluer la directive. 
Est-ce que vous pouvez faire passer le message que vous avez exprimé là au président de la République et au gouvernement français pour qu'il arrête de saboter la directive au Conseil et qu'on arrive à aller dans le sens de la proposition qui avait été faite par M. Nicolas Schmit d'une directive pour protéger les travailleurs des plateformes?
"
Leila CHAIBI,2023-05-08,FR,One-minute speeches on matters of political importance,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-08-INT-1-193-0000_FR.html,"  Leila Chaibi (The Left).   – Monsieur le Président, chers collègues, aujourd’hui, c’est la Journée de l’Europe, et c’est le jour qu’ont choisi des travailleurs de plateformes de toute l’Europe pour interpeller, d’une voix commune, les ministres du travail européens. Ces travailleurs attendent la directive qui obligera leurs employeurs à respecter le droit du travail, et à payer des cotisations sociales.
Au Parlement européen, nous sommes prêts. Nous avons validé notre position depuis trois mois déjà. Mais au Conseil, ça bloque. Ça bloque parce que certains pays, comme la France, font tout pour torpiller la directive en ajoutant des critères, en multipliant les motifs d’exemption. Ça bloque, car la France et les amis d’Emmanuel Macron tentent de vider la directive de sa substance.
Alors je me joins à l’appel des chauffeurs Uber et des livreurs de Deliveroo. Mesdames et Messieurs les ministres, n’essayez pas de saboter cette directive. Les travailleurs européens s’impatientent. Ils attendent qu’on passe à la phase finale des négociations, qu’elle soit enfin adoptée, cette directive cruciale pour l’avenir du salariat. Mesdames et Messieurs les ministres du travail, montrez-leur que l’Europe ne roule pas pour Uber, mais pour les travailleurs des plateformes.
"
Leila CHAIBI,2023-04-17,FR,"Revision of the EU Emissions Trading System - Monitoring, reporting and verification of greenhouse gas emissions from maritime transport - Carbon border adjustment mechanism - Social Climate Fund - Revision of the EU Emissions Trading System for aviation (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-17-INT-1-110-0000_FR.html,"  Leila Chaibi,  rapporteure pour avis de la commission des transports et du tourisme. – Monsieur le Président, chers collègues, permettez-moi de vous mettre en garde. Les Européens sont pris à la gorge par l’inflation et vous vous apprêtez à resserrer la corde qui les étrangle.
En validant l’extension du marché carbone au bâtiment et aux transports, vous allez faire payer la transition écologique par les ménages. À ceux qui n’ont d’autre choix que de mettre de l’essence dans leur voiture pour aller au travail, vous dites: «Le réchauffement climatique, c’est de votre faute. Vous allez payer plus cher, mais c’est pour la bonne cause et ne vous plaignez pas».
Ce n’est pas parce que vous rendez l’essence plus chère que les Européens vont consommer moins d’essence ou trouver les milliers d’euros pour s’acheter une voiture électrique. Ce n’est pas parce que vous rendez le chauffage plus cher que les Européens vont tout d’un coup trouver des milliers d’euros pour investir dans la rénovation thermique de leur logement. Dans ce contexte, le Fonds social pour le climat n’est qu’un pansement sur une jambe de bois.
Lutter contre le réchauffement climatique, oui, mais pas en faisant payer la transition écologique par les travailleurs et par les ménages les plus précaires. La Commission européenne elle-même reconnaît que tout cela impactera le portefeuille des ménages. Des experts parlent de 50 centimes d’augmentation par litre d’essence – et ce n’est pas le scénario le plus noir.
Certains ici ont la mémoire courte. Je pense surtout à mes collègues français et à ceux de Renaissance en particulier. Nous sommes bien placés, en France, pour savoir que frapper les travailleurs au portefeuille sous couvert de lutte contre le réchauffement climatique, c’est contre-productif et ça crée de la colère sociale.
Prenez garde, chers collègues, de ne pas ajouter de l’injustice sociale à l’irresponsabilité climatique. Prenez garde, chers collègues, car si vous décidez que c’est aux travailleurs européens de payer la facture de la transition écologique, vous risquerez bien de retrouver sur tous les ronds-points d’Europe ce gilet jaune que je vous montre en guise d’avertissement. 
"
Leila CHAIBI,2023-03-15,FR,"More Europe, more jobs: we are building the competitive economy of tomorrow for the benefit of all (topical debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-15-INT-3-131-0000_FR.html,"  Leila Chaibi,  au nom du groupe The Left. – Monsieur le Président, hier, entre deux réunions, je me suis rendue au magasin Castorama de Lampertheim, à dix kilomètres d’ici. Ce n’était pas pour refaire la cloison de mon bureau, mais c’était pour apporter mon soutien à Xavier, qui est salarié au rayon peinture et qui est en grève de la faim dans sa voiture, devant le magasin. Xavier y gagne 1 400 euros par mois alors qu’il a treize ans d’ancienneté. Avec les prix qui explosent, lui et ses collègues n’arrivent plus à boucler leurs fins de mois. Certains dorment même dans leur voiture toute l’année.
Pendant ce temps, Castorama se gave: près de 3 milliards d’euros de chiffre d’affaires en 2022; pour les actionnaires, plus de 540 millions d’euros distribués. Les profits n’ont jamais été aussi élevés. Et la prospérité dont vous parlez, les salariés n’en voient jamais la couleur.
Après la crise sanitaire, après la guerre, après l’inflation, il faut arrêter de ressasser encore et toujours les mêmes dogmes – le marché unique comme solution magique, la sacro-sainte concurrence, les restrictions des aides d’État… Un élément doit être désormais au cœur de notre stratégie économique européenne: partager. Partager la richesse produite avec celles et ceux qui la créent, cette richesse: les travailleurs. 
"
Leila CHAIBI,2023-03-15,FR,Need for immediate reform of the internal rules of the Commission to ensure transparency and accountability in light of alleged conflicts of interests (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-15-INT-3-294-0000_FR.html,"  Leila Chaibi,  au nom du groupe The Left. – Madame la Présidente, neuf voyages en classe affaires, tous frais payés par le Qatar, voilà le joli cadeau dont a bénéficié le plus haut fonctionnaire de la Commission européenne chargé des transports. Pendant que Monsieur profitait d'un repas cinq étoiles en plein ciel aux frais de la compagnie Qatar Airways, ses services négociaient un accord sur le transport aérien, accord qui s'est avéré être largement plus en faveur des Qataris que des Européens. 
Le jour des révélations, la Commission européenne avait dit: «Ne vous inquiétez pas, on a bien vérifié. Non, non, non, on vous jure, il n'y a pas de conflit d'intérêts». Madame la Commissaire, des voyages de luxe payés par les pétrodollars du Qatar pendant qu'ont lieu au même moment des négociations pour un accord avec le Qatar, c'est un conflit d'intérêts. On ne peut pas se satisfaire d'un système dans lequel ce sont les hauts fonctionnaires qui contrôlent eux-mêmes si les cadeaux qu'ils reçoivent relèvent ou non d'un conflit d'intérêt. 
C'est précisément pour cela que le Parlement vous demande un organisme d'éthique indépendant. Quand on est pris la main dans le sac, on arrête de tergiverser. 
"
