MP,Date,Language,Title,Url,Content
Lena DÜPONT,2023-12-14,EN,"Frontex, building on the fact-finding investigation of the LIBE Working Group for Frontex Scrutiny (B9-0499/2023)  (vote)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-14-INT-4-125-0000_EN.html,"  Lena Düpont (PPE).   – Mr President, following the recent judgment just yesterday, I would like to move the following oral amendment on behalf of the EPP group, changing the last sentence of recital G as follows: ‘Whereas for legal actions in relation to alleged pushbacks have been brought against Frontex before the General Court of the EU, of which two were ruled inadmissible and two are pending.’ 
"
Lena DÜPONT,2023-12-14,EN,"Frontex, building on the fact-finding investigation of the LIBE Working Group for Frontex Scrutiny (B9-0499/2023)  (vote)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-14-INT-4-127-0000_EN.html,"  Lena Düpont (PPE).   – Mr President, following the recent judgment I would like to add a new sentence after recital G, recital ga (new): ‘Whereas on 13 December the General Court dismissed another action brought against the Agency as manifestly lacking any foundation in law’.
"
Lena DÜPONT,2023-12-13,DE,"Frontex, building on the fact-finding investigation of the LIBE Working Group for Frontex Scrutiny (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-461-0000_DE.html,"  Lena Düpont,  im Namen der PPE-Fraktion. – Herr Präsident, Herr Kommissar, werter Ratsvertreter! Was haben wir für bewegte Zeiten mit der Agentur durchlaufen: gegründet 2005 mit nur 50 Mitarbeitern, erste Schritte als vollwertige Agentur bis hin zur Einführung des standing corps. Das erste Mal in der europäischen Integrationsgeschichte, dass wir eine operative Agentur haben, die unter der Flagge der EU arbeitet.
Der Bedarf dafür ist gerade in den letzten Monaten mehr als deutlich geworden, ob im Einsatz gegen Schleuserkriminalität, in der Grenzsicherung, in der sensiblen, aber wichtigen Zusammenarbeit mit Drittstaaten oder bei der Weiterentwicklung der integrierten Grenzverwaltung. Die Agentur übernimmt entscheidende Aufgaben in einem zunehmend schwierigen Umfeld.
Ist die Arbeit immer ohne Schwierigkeiten abgelaufen? Natürlich nicht! Manchmal hat das mit Erwartungsmanagement zu tun gehabt, manchmal mit politischen Herausforderungen, die wir adressieren mussten und müssen. Das Frontex—Kontrollgremium ist genau dafür gegründet worden. Denn mit mehr Aufgaben, mehr Personal, mehr Budget geht natürlich auch mehr Verantwortung einher. Die Arbeit der Kontrollgruppe, aber auch beispielsweise das Urteil des EuGH vom heutigen Tage, machen deutlich: Eine sachliche Auseinandersetzung ist ebenso nötig wie die Unterstützung der Agentur bei der Umsetzung.
Die Veränderungen der Agentur in den letzten Monaten waren wichtig, und sie waren richtig. In der Zwischenzeit sind alle Empfehlungen des Kontrollgremiums umgesetzt, Verbesserungen darüber hinaus sogar angestoßen. Als Kontrollgremium haben wir im Übrigen auch genauso Empfehlungen an die Kommission und die Mitgliedstaaten formuliert. Davon ist das eine oder andere noch offen.
Können wir also mehr tun – gemeinsam? Ja, das können wir! Wir müssen es auch. Denn die Zeiten sind nicht einfacher geworden. Die geopolitische Lage hat sich verschärft. Der Bedarf an Unterstützung für die Mitgliedstaaten ist eher größer als kleiner geworden. Frontex ist und bleibt aber ein integraler Bestandteil unseres Raums der Sicherheit, der Freiheit und des Rechts, ein wesentlicher Pfeiler unserer europäischen Sicherheitsarchitektur. Wir müssen dafür sorgen, dass die Beamten, die ihre Zeit und ihre Arbeit einer europäischen Sache widmen, die bestmöglichen Bedingungen vorfinden – rechtlich, organisatorisch und operativ. Auch hier können wir noch besser werden.
Deswegen lassen Sie mich ein bisschen schließen mit dem Plädoyer für mehr Mut in der europäischen Innenpolitik. Unsere Agenturen können mehr, und wir müssen dafür den Rahmen setzen und sie bei der Umsetzung begleiten.
"
Lena DÜPONT,2023-10-04,DE,Need for a speedy adoption of the asylum and migration package (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-059-0000_DE.html,"  Lena Düpont (PPE).   – Herr Präsident! Seit gut zehn Jahren versprechen wir den Menschen, dass Europa eine gemeinsame Asyl- und Migrationspolitik bekommt, dass das Hangeln von Notlösung zu Notlösung endlich ein Ende hat. Seit zwei Jahren liegen die Vorschläge der Kommission auf dem Tisch. Seit zwei Jahren versuchen wir, die Balance zu wahren dazwischen, weiterhin Notlösungen zu brauchen und endlich gemeinsame Grundlagen zu schaffen. Es ist nötiger denn je, wenn wir uns in unseren Kommunen umsehen, wenn wir auch in die Situation außerhalb der Europäischen Union gucken.
Denn eine Pandemie, einen brutalen russischen Angriffskrieg später hat sich die Welt um uns herum verändert. Das hat zynischerweise den Weg für eine Einigung verbreitert, aber den Handlungsdruck enorm erhöht. Ich glaube, ich spreche für viele, die an dem Thema arbeiten, wenn ich sage: Wir haben in dieser Zeit jeden emotionalen Zustand durch, den man sich vorstellen kann – jeden!
Jetzt sind wir kurz davor, eine Einigung zu finden. Wir sind ganz knapp dabei, an dem Thema auch dann zu einer Lösung zu kommen. Das wird ein hartes Stück Arbeit, aber es geht. Vielleicht ein Grund, warum gerade alle nervös werden: die Schmuggler, weil ihr zynisches Geschäftsmodell bedroht ist, die Mitgliedstaaten, weil sie sich festlegen müssen, die Fraktionen hier im Haus, weil sie den Schritt zur Realpolitik machen müssen.
Aber, liebe Kolleginnen und Kollegen, die Europäische Union schafft das entweder gemeinsam oder gar nicht. Dafür müssen sich, dafür sollten sich alle zusammenreißen. Und wir sollten vielleicht auch aufhören, den europäischen Partnern vor das Schienbein zu treten, wenn wir kurz vor einer Lösung sind. Denn die nächsten Wochen sind entscheidend – nicht die nächsten Monate, nicht die nächsten Jahre, die nächsten Wochen sind entscheidend! Also lassen Sie uns unseren Job machen, die Ärmel hochkrempeln und uns im Zweifelsfall auch auf Nachtsitzungen vorbereiten. Andernfalls jubilieren die Kräfte außerhalb der Europäischen Union, die uns nicht wohlgesonnen sind, die Kräfte innerhalb der Europäischen Union, die gar kein Interesse an einer Lösung haben, und es jubilieren vor allen Dingen die Schlepper. Aus all diesen Gründen gilt: Choose your side, I know mine!
"
Lena DÜPONT,2023-05-10,DE,Externalising asylum applications and making funding to third countries conditional on the implementation of return agreements (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-10-INT-3-214-0000_DE.html,"  Lena Düpont (PPE).   – Frau Präsidentin! Was für ein Schauspiel! Erst sich kaum an Verhandlungen beteiligen, dann Abstimmungen boykottieren und dann behaupten, schon immer für Inhalte eingestanden zu haben. Werte Kollegen, dieser Pakt zu Asyl und Migration wird mit parlamentarischer Arbeit, mit Ringen zwischen den Fraktionen in der Mitte des Hauses entschieden. 
Wo stehen wir also? Im Mandat ist die externe Dimension enthalten. Wir machen deutlich, dass wir eine Kooperation auf Augenhöhe wollen. Auch Drittstaaten tragen eine Verantwortung für Menschen auf der Flucht. Dafür haben wir zahlreiche Instrumente an der Hand – sie sind heute schon genannt worden. All das sind vielversprechende Hebel, wenn sie mit Anreizen und Konditionen verbunden sind. Die Erwartungshaltung auf allen Seiten muss klar sein. 
Als EVP haben wir immer klargemacht, dass wir eine frühestmögliche Entscheidung über Schutzbedürftigkeit haben wollen, um alle Beteiligten aus dem legal limbo herauszuholen. Unseren Anspruch an Humanität können wir am besten in geordneten Verhältnissen aufrechterhalten. Richtung Berlin kann ich da nur sagen: Herzlich willkommen in der Regierungsverantwortung! 
"
Lena DÜPONT,2023-05-10,EN,Adequacy of the protection afforded by the EU-U.S. Data Privacy Framework (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-10-INT-3-435-0000_EN.html,"  Lena Düpont (PPE).   – Mr President, since Groundhog Day was mentioned just in the previous speech, there is one important message about Groundhog Day, which is the possibility to learn, to improve, to get better, to break the cycle. Does that apply to the new draft adequacy we are discussing? It’s true the previous ones had been nullified by Court. Obviously there was something to learn and to improve. Both partners, the Commission and the US counterparts, listened. What we have in front of us is now a complete other agreement than before, because thanks especially to the judgment, it was for the first time clearly defined under which conditions, restrictions and guarantees access by US authorities can be possible. And this is reflected in the adequacy proposal in front of us. It clarifies that the United States ensure an adequate level of protection for personal data of EU citizens, including the important conditions and restrictions of proportionality and necessity for national security reasons and the obligation to delete personal data. 
Moreover, the draft adds safeguards as well. It entails strong remedies and binding redress measures for our citizens. Do we have in mind the uncertainty with elections looming? Of course. And so does the Commission with the possibility to immediately withdraw once there is a reason to. And surprisingly, these improvements had also been acknowledged by the European Data Protection Board, whose advice we normally happily follow in this House. So let us work with these points and the remaining concerns. Will the draft be tested before Court? Quite sure, since you’re all following the debate, it will be, which, by the way, is a quite normal procedure for our system of checks and balances. But if we don’t give it a try, there’s only one certainty – Groundhog Day forever! 
"
Lena DÜPONT,2023-03-15,DE,Deaths at sea: a common EU response to save lives and action to ensure safe and legal pathways (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-15-INT-3-235-0000_DE.html,"  Lena Düpont (PPE).   – Herr Präsident, Frau Kommissarin, verehrte Ratspräsidentschaft! Es ist selbstverständlich: Menschen in Seenot zu retten ist nationale, internationale, europäische, moralische Verpflichtung. Dazu gehört aber auch: Gefährliche Überfahrten sind die Folge, nicht der Auslöser. Die Ursachen liegen nach wie vor an Land und nicht auf See.
Daher ist es richtig, dass die Ratspräsidentschaft sich wieder auf die Zusammenarbeit mit Herkunfts- und Transitstaaten konzentriert: Verbesserung der Lebensbedingungen vor Ort, Verhinderung gefährlicher Überfahrten und vor allem entschlossenes Vorgehen gegen die Schleuser, gegen kriminelle Netzwerke und dieses überaus zynische, aber leider profitable Geschäftsmodell.
Es ist nicht einfach, drei Organe, 27 Mitgliedstaaten und die meisten politischen Familien zusammenzubringen. Das wissen wir hier im Haus alle. Aber wir werden danach beurteilt, ob wir einen Beitrag zur Lösung der aktuellen Situation leisten können, ob wir das Hangeln von Notlösung zu Notlösung beenden können. Der Pakt kann nicht zaubern, aber er kann tragfähige Strukturen und Verfahren schaffen und Vertrauen unter den Mitgliedstaaten wiederherstellen.
Die Balkanroute in den letzten Wochen hat gezeigt: Gemeinsames Vorgehen als Europäische Union hat einen Effekt. Der Pakt hat Instrumente für Krisen, er hat Elemente für eine effektive Rückkehr, für Seenotrettung, für die Zusammenarbeit mit Drittstaaten. Er wird flankiert, flankiert durch die Vorschläge zu legalen Wegen. Er baut auf wirksame Grenzkontrollen. Er kann in der Gesamtheit seiner Vorschläge die beste Wirkung entfalten.
2021 habe ich in einer ähnlichen Rede gesagt: Es ist gut, dass wir wieder diskutieren. Für dieses Jahr gilt: Liefern ist besser. Angesichts des Anstiegs der illegalen Grenzübertritte und der Zunahme der Sekundärmigration sind mehr Tempo, mehr Ehrgeiz, mehr Europa dringend erforderlich. Deswegen appelliere ich auch und vielleicht insbesondere in dieser Woche an das Haus. In der Vergangenheit war es viel zu einfach, den Rat zu kritisieren. Auch wir müssen jetzt liefern. Denn das einzige, wovon wir nicht mehr haben, ist Zeit.
"
Lena DÜPONT,2023-01-18,DE,Terrorist threats posed by far-right extremist networks defying the democratic constitutional order (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-01-18-INT-3-240-0000_DE.html,"  Lena Düpont,  im Namen der PPE-Fraktion. – Frau Präsidentin, Frau Kommissarin, liebe Kollegen! Im Dezember gab es in Deutschland einen großen Anti-Terror-Einsatz gegen Reichsbürger: 150 Durchsuchungen, 25 Verhaftungen, 54 Verfahren. Deswegen gilt zuallererst mein Dank den Einsatzkräften und den Sicherheitsbehörden. Die Beschuldigten waren bewaffnet, sie haben sich taktisch geschult, sie haben sich radikalisiert. Verharmlosungen als „Rollator-Umsturz“ werden dem Anlass nicht gerecht. Das Alter ist keine Entschuldigung für die Einschätzung von Gefahr und Radikalisierung. Der Einsatz war wichtig, er war richtig. Er hat gezeigt, was wehrhafte Demokratie ausmacht.
Worauf kommt es jetzt an? Erstens: Niemand steht über dem Recht. Wenn wir uns die letzten Wochen anschauen, dann muss man sagen: niemand, keine Reichsbürger, keine iranischen Sprengstoffattentäter, keine Clans, keine radikalen Aktivisten. Für alle gelten die Regeln des Anstands und die Regeln der freiheitlichen demokratischen Grundordnung. Deswegen auch volle Rückendeckung für diejenigen, die bei der Durchsetzung von Recht ihren Dienst ausüben und allzu oft mitten in gesellschaftlichen Auseinandersetzungen stehen. 
Zweitens – die Kommissarin hat es angesprochen: Kooperation und Informationsaustausch zwischen Sicherheitsbehörden sind der Schlüssel. Siehe die enge Zusammenarbeit in der Terrorabwehr auf europäischer Ebene, die wichtige Arbeit des Anti-Terrorismus-Koordinators oder auch den police cooperation report, über den wir gerade gesprochen haben. Aber, liebe Kolleginnen und Kollegen, das alles kann nur Schaden verhindern, wenn unsere Dienste, unsere Behörden, national und europäisch, die richtigen Mittel an der Hand haben, um uns zu schützen. Denn am Ende können sie uns nur so gut schützen, wie wir als Gesetzgeber das ermöglichen. 
Drittens: Es ist vollkommen egal, ob von rechts, links, ideologisch oder religiös motiviert: Jeder, dem unsere Demokratie, unsere Werte, unsere Art, Kompromisse auszuhandeln, zuwider sind, der trifft auf Gegenwehr. Unsere Demokratie lebt von Regeln, vom Aushandeln von Regeln, von der Einhaltung von Regeln. Demokratie fordert, Demokratie verlangt ab, Demokratie ist bisweilen anstrengend, aber sie ist am Ende die Garantie für gesellschaftlichen Ausgleich und Zusammenhalt. Sie verdient den besten Schutz, den wir ihr geben können.
"
Lena DÜPONT,2023-01-18,DE,"Criminalisation of humanitarian assistance, including search and rescue (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-01-18-INT-3-356-0000_DE.html,"  Lena Düpont (PPE).   – Herr Präsident, Frau Kommissarin! Niemand steht über dem Recht. Das Recht an sich ist neutral und unterscheidet nicht nach guten oder schlechten Motiven. Das ist eines der Grundprinzipien unserer rechtsstaatlichen, demokratischen Ordnung.
Dazu gehört auch: Wenn es einen Anfangsverdacht einer strafbewehrten Tat gibt, dann muss ermittelt werden. Wer sich im Verdacht befindet, Recht gebrochen zu haben, unterliegt der Strafverfolgung und entsprechend auch der Rechtsprechung. Er genießt dabei, auch das ist Ausdruck unserer Rechtsordnung, den Schutz durch die Verfahrensrechte und die Unabhängigkeit der Justiz. Genau das hat das Verfahren bisher gezeigt: Verfahrensfehler gehen nicht zulasten der Angeklagten, sondern der anklagenden Behörde.
Liebe Kolleginnen und Kollegen, natürlich ist das ein hochsensibles Thema und eine schwer auszubalancierende Herausforderung. Menschen in Seenot zu retten ist internationale, europäische, nationale Verpflichtung und – wir haben es hier heute häufiger gehört – natürlich auch eine moralische Verpflichtung. Darüber gibt es keine Diskussion.
Ebenso internationale, europäische und nationale Verpflichtung ist aber auch der Kampf gegen Schleuserkriminalität, gegen die, die das Leid der Menschen zynisch ausnutzen, sie in Lebensgefahr bringen und damit auch noch Unmengen an Geld machen. Zwischen diesen rechtlichen Herausforderungen und Anforderungen hindurchzunavigieren ist für Staaten nicht einfach, auch für NGOs nicht. Deswegen wäre es klug, miteinander statt gegeneinander zu arbeiten.
Es bräuchte Verlässlichkeit, es bräuchte Vertrauen, gemeinsame Vereinbarungen wie beispielsweise einen Verhaltenskodex. Ausgangsbasis dafür muss aber umso mehr sein, dass den Anspruch, den wir an staatliche Stellen haben, auch zivile Helfer erfüllen. Einhaltung von Recht und Gesetz, volle Transparenz über Kooperation und vor allem Offenlegung von finanzieller Unterstützung und Finanzströmen – im Übrigen im eigenen Interesse der NGOs. Sie haben einen Ruf gegenüber denjenigen zu verteidigen, die ihren Namen und ihre Arbeit als Deckmantel für illegale Tätigkeiten nutzen. Es kann und es darf hier kein zweierlei Maß geben.
"
Lena DÜPONT,2022-12-13,DE,The recent JHA Council decision on Schengen accession (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-12-13-INT-2-381-0000_DE.html,"  Lena Düpont (PPE).   – Herr Präsident, werte Kollegen! Dass innenpolitische Debatten die Weiterentwicklung von Schengen blockieren, ist nicht nur bedauerlich. Ein Blick in die europäische Geschichte zeigt auch, dass dieses Kalkül selten aufgeht. Die Entscheidung von letzter Woche richtet Schaden an, Schaden für die politische Glaubwürdigkeit Einzelner, aber auch der EU als Gesamtes, Schaden für die rechtliche Glaubwürdigkeit, diese entscheidende Verlässlichkeit von Verfahren, und Schaden für die persönliche Glaubwürdigkeit, das so wichtige Vertrauen untereinander, sowohl menschlich als auch zwischen den Staaten.
Bulgarien und Rumänien erfüllen die nötigen Anforderungen seit Langem. Sie haben die Aufnahme verdient, und das nicht erst seit gestern.
Natürlich können und müssen wir – alle, by the way – noch besser werden: von der Sicherung der Außengrenzen über ein verlässliches Asyl- und Migrationspaket, in der grenzüberschreitenden Polizeizusammenarbeit, im Informationsaustausch. All das dient dem Schutz von Schengen nach innen wie auch nach außen. Aber den Kollegen Mandl – der jetzt leider nicht mehr da ist – einmal angesprochen: Offene Herausforderungen müssen in den Rechtsakten angegangen werden, in denen sie auch gelöst werden können.
Können wir hier unseren Einsatz erhöhen? Natürlich können wir das, und es ist dringend geboten. Aber es ist und bleibt unfair, Länder, die noch nicht einmal im Schengen-Raum sind, dafür verantwortlich zu machen. Jetzt gilt es, den Weg aus der Blockade zu formulieren. Es braucht einen konkreten Fahrplan. Das und nicht weniger sind wir den Bürgerinnen und Bürgern von Rumänien und Bulgarien schuldig.
"
