MP,Date,Language,Title,Url,Content
Malte GALLÉE,2023-12-13,EN,The Maasai Communities in Tanzania,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-435-0000_EN.html,"  Malte Gallée,  on behalf of the Verts/ALE Group. – Madam President, dear Mr Commissioner, dear colleagues, and also dear Tanzanian Government, I appreciate your will to protect the nature in your country. I lived in Dar es Salaam for one year. I know the beauty of the nature and I met amazing people over there. So yes, the nature is wonderful, but also the culture is wonderful. Also the people are wonderful. And with your plans to evict the Maasai from their land, the women, the children, the men and all their life, you clearly violate the rights of these people. Is this what you want? I don’t think so. And so I want to state one proverb in Kiswahili:
(The speaker concluded in a non-official language)
"
Malte GALLÉE,2023-12-12,DE,Framework for ensuring a secure and sustainable supply of critical raw materials (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-050-0000_DE.html,"  Malte Gallée (Verts/ALE).   – Herr Präsident, Herr Kommissar, liebe Kolleginnen und Kollegen! Die Verordnung über kritische Rohstoffe bringen wir auf den Weg. Ich wäre ein großer Fan davon gewesen, wenn wir sie irgendwie Heavy-Metal-Gesetz oder so genannt hätten, dass es einfach eingängiger ist für die Bürgerinnen und Bürger in Europa. Aber haben wir das Ganze gerockt? Not so sure. Ja, natürlich ist es irgendwie besser als davor. Natürlich bringen wir Regeln auf den Weg. Aber als ich im Sommer in Kolwezi am Rande der größten Kupfermine Afrikas stand – ich habe Ihnen davon berichtet –, da sieht man, was für Umweltauswirkungen der Bergbau wirklich hat. Und die hat er eben nicht bei uns in Europa – und deswegen frage ich mich, warum haben denn die Konservativen sich händeringend dagegen gewehrt, internationale Standards wirklich auch so zu verankern?
Freiwillige und in Kenntnis der Sachlage erteilte vorherige Zustimmung – das ist ein UN-Standard, den wir einfach so hätten mit aufnehmen können, jetzt haben wir einfach nur eine vage Annäherung daran. Und ja, natürlich brauchen wir ein Vetorecht im weiteren Sinne für die betroffenen Gemeinschaften in der Bergbauregion, weil die doch am Ende diejenigen sind, die dem Ganzen zustimmen müssen. Wenn wir keine Angebote machen, die gut genug sind, dann ist das unser Fehler, und dann müssen wir mit einem besseren Angebot da wieder reingehen. Deswegen: Ja, es ist garantiert eine Verbesserung, aber noch viel Luft nach oben.
"
Malte GALLÉE,2023-10-18,DE,"Outcome of the SDGs Summit (18-19 September 2023, New York) – transformative and accelerated actions leading up to 2030 and beyond (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-275-0000_DE.html,"  Malte Gallée,  im Namen der Verts/ALE-Fraktion. – Herr Präsident, Frau Kommissarin, liebe Kolleginnen und Kollegen! Ich habe zurzeit manchmal echt das Gefühl, dass wir als Politikerinnen und Politiker mit unseren Zielen global versagen. 700 Millionen Menschen auf der Welt leben immer noch in Armut. 735 Millionen Menschen hungern auf diesem Planeten. 26 Prozent der Menschen haben keinen Zugang zu sauberem Trinkwasser und 40 Prozent noch nicht einmal Zugang zu anständigen Sanitäranlagen.
Meiner Meinung nach sollten genau diese Ziele, die wir mit den nachhaltigen Entwicklungszielen ja klar ausformuliert haben, nicht nur für uns in Europa, sondern für die gesamte Welt die allerhöchste Priorität haben, für uns alle. Weil wir nur in einer gerechten Welt, in der wir alle genau diesen Zugang zu diesen Ressourcen haben, zu diesen Selbstverständlichkeiten haben, Gerechtigkeit auch wirklich leben können.
34 Prozent der Menschen haben immer noch keinen Zugang zum Internet. Was würde ich ohne das tun? Ich könnte mich nicht mit meinen Freundinnen und Freunden in der ganzen Welt unterhalten. Ich könnte noch nicht einmal meinen Wählerinnen und Wählern erzählen, was ich eigentlich hier alles tue. 80 Prozent der Menschen in Afrika haben noch nicht einmal Zugang zu Strom. Das kann doch wohl nicht sein, dass es in so vielen Ländern auf der Welt um sechs Uhr abends einfach dunkel ist und es um sechs Uhr morgens wieder hell wird. Das kann doch nicht sein, da müssen wir doch reingehen!
Liebe Kolleginnen und Kollegen, jetzt haben wir natürlich die riesengroße Aufgabe: „Ja, wie bekommen wir das alles hin?“ Und ein sehr, sehr großer Teil der Länder, die dort hinterherhängen, ist massiv verschuldet. Es gibt Länder, die können überhaupt gar nicht in diese Infrastrukturen, in diese Ziele reininvestieren. Und genau deswegen ist es unsere Aufgabe als Europäische Union, dafür zu sorgen, dass diesen Ländern die Schulden auch einfach mal erlassen werden. Außerdem müssen wir in erster Linie dafür sorgen, dass, wenn wir in Infrastruktur hineininvestieren, wir das natürlich auch immer mit Investitionen in die soziale Infrastruktur verbinden. Wenn wir eine Mine buddeln, dann muss dafür gesorgt sein, dass daneben eine Schule steht, damit nicht irgendwelche Kinder dort herumkraxeln und sich das Genick brechen. Das soll doch die reinste Selbstverständlichkeit sein! Meiner Meinung nach haben wir da noch verdammt viel zu tun. Die Hälfte der Zeit ist rum. Ich freue mich auf den Kampf weiter mit Ihnen.
"
Malte GALLÉE,2023-10-16,DE,One-minute speeches on matters of political importance,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-16-INT-1-222-0000_DE.html,"  Malte Gallée (Verts/ALE).   – Frau Präsidentin, lieber Herr Kommissar, liebe Kolleginnen und Kollegen! Wenn Sie das nächste Mal hier über die Brücke zum Parlament laufen und dort zufällig einen Blauwal treffen, dann bitte ich Sie doch, den in den Fluss zu werfen. Da lebt es sich besser.
Ich bitte Sie aber auch, selber ein Video davon zu machen und es aufzunehmen, denn es wird garantiert ein viraler Hit auf TikTok. Wenn wir dann aber zur nächsten Straßburg-Tagung kommen, dann kann es sehr gut sein, dass einfach Leute dieses Video genommen haben, den Anfang weggeschnitten haben und auf einmal behaupten, es sei ein Atom-U-Boot direkt vor dem Parlament. Jetzt müssen es einfach nur ein paar Leute replizieren, das Gleiche tun, und auf einmal hat man Fake News im Internet, die man da nicht mehr rausbekommt, die komplett schwachsinnig sind, die aber trotzdem dort stecken bleiben. Deswegen ist es supergut, dass die Kommission jetzt auch ganz klar die Plattformen wie Twitter, wie TikTok darauf hinweist, genau solche Fake News runterzunehmen.
Aber das kann es ja nicht sein. Wir stehen doch global und besonders in Europa unter massivem Einfluss von Fake News. Das heißt, wir müssen vor allem auch in die Medienkompetenz in allen europäischen Schulen gehen. Das ist meine große Bitte an Sie, damit sowas garantiert nicht passiert.
"
Malte GALLÉE,2023-10-05,DE,Urban wastewater treatment (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-05-INT-4-039-0000_DE.html,"  Malte Gallée (Verts/ALE).   – Herr Präsident, liebe Kolleginnen und Kollegen! Der Fisch ist männlich, aber wenn wir uns die europäischen Gewässer anschauen, dann müssen wir davon ausgehen, vielleicht müssen wir bald davon sprechen, dass es die Fisch ist, weil die Bestände verweiblichen. Das liegt in erster Linie daran, dass unglaubliche Mengen an Mikroschadstoffen in die Gewässer eingeführt werden. Die hormonelle Belastung auf die Bestände ist immens, und deswegen ist es so wahnsinnig wichtig, dass wir das Problem angehen.
Jetzt ist kommunales Abwasser nicht wahnsinnig sexy, aber ich glaube, wir hier im Europäischen Parlament bringen hier gerade richtig gut etwas auf den Weg, indem wir dafür sorgen, auch eine vierte Reinigungsstufe einzuführen, die genau diese Mikroschadstoffe herausfiltern soll.
Ich muss sagen: Ich bin wahnsinnig froh, dass wir dieses gesamte Konzept jetzt auch in die erweiterte Herstellerverantwortung mit hereinholen. Das heißt, diejenigen Unternehmen, die Pharmakonzerne, die letztendlich dafür verantwortlich sind, dass diese Schadstoffe in das Wasser kommen, die werden für diese Reinigung zahlen. Das ist ein riesengroßer Erfolg für uns als Europäisches Parlament. Das bringen wir jetzt auf den Weg, darüber bin ich froh.
"
Malte GALLÉE,2023-10-02,DE,One-minute speeches on matters of political importance,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-02-INT-1-220-0000_DE.html,"  Malte Gallée (Verts/ALE).   – Frau Präsidentin, Herr Kommissar, liebe Kolleginnen und Kollegen! Wir hier im Europäischen Parlament haben die riesengroße Ehre, uns für die Interessen der Bürgerinnen und Bürger in Europa einzusetzen, und ich bin mir sicher, wenn wir sie fragen würden, dann würden die allermeisten sagen, dass sie absolut kein Interesse daran haben, dass Europas größtes Weltnaturerbe seinen Schutzstatus verliert.
Aber genau das steht uns bevor. Vor wenigen Tagen hat das Unesco-Komitee in Riad gewarnt, den Schutzstatus des Wattenmeers zu entziehen, weil dort Öl- und Gasbohrungen von großen Unternehmen wie ONE-Dyas oder Wintershall Dea geplant sind. In Zeiten der Klimakrise kann das nicht sein!
Das Wattenmeer ist Heimat für über 10 000 Tier- und Pflanzenarten. Das muss an oberster Stelle für uns alle stehen. So etwas zu erhalten, diesen Schutzstatus zu erhalten, das sind wir den Bürgerinnen und Bürgern Europas schuldig. Dänemark, die Niederlande und Deutschland müssen dafür sorgen, dass dieser Schutzstatus erhalten wird. Das sind wir den Bürgerinnen und Bürgern schuldig, aber auch den Robbenbabys.
"
Malte GALLÉE,2023-09-13,DE,Framework for ensuring a secure and sustainable supply of critical raw materials (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-251-0000_DE.html,"  Malte Gallée (Verts/ALE).   – Herr Präsident, Herr Kommissar, liebe Kolleginnen und Kollegen! Im Süden der Demokratischen Republik Kongo, direkt am Anfang des sogenannten Kupfergürtels, da liegt die Stadt Kolwezi. Es ist die Hauptstadt des Bergbaus. Und in dieser Stadt Kolwezi, da gibt es eine Hilfsorganisation, eine kleine, und die kümmert sich darum, Kinder aus illegalen Minen herauszuholen, ihnen den Zugang zu Bildung zu geben, ihnen jeden Tag genug Essen zu geben und dafür zu sorgen, dass sie eben nicht mehr darauf angewiesen sind, jeden Tag mit ein paar Steinen zu den chinesischen Händlern zu dackeln und sich ein paar Cent zu verdienen.
Genau diese Aufgabe, das darf nicht die Aufgabe von einer kleinen Hilfsorganisation sein. Das muss die Aufgabe sein zum einen von dem Staat und zum anderen natürlich von uns, von uns aus Europa, die wir abhängig sind von diesen Rohstoffen. Und genau das ist so wahnsinnig wichtig und das ist auch die Verbesserung, im Gegensatz zum Kommissionsentwurf, dass wir diese soziale Komponente jetzt noch einmal stärken. Meine große Bitte an Sie alle, die das verhandeln werden, ist: Sorgen Sie dafür, dass die soziale Infrastruktur in den Bergbaugebieten an oberster Stelle steht.
"
Malte GALLÉE,2023-09-11,DE,Consumer credits (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-11-INT-1-162-0000_DE.html,"  Malte Gallée,  im Namen der Verts/ALE-Fraktion. – Herr Präsident, liebe Kolleginnen und Kollegen! Ich habe vorhin nachgeschaut, es sind noch genau 38 Wochen und sechs Tage bis zur nächsten Europawahl.
Und wir alle werden in den Wochen davor wieder in den Straßen unterwegs sein. Wir werden werben für das, was die EU alles für die Bürgerinnen und Bürger tut. Sie werden uns fragen: Was tut sie denn? Und mit dieser Verbraucherkreditrichtlinie können wir sagen: Wir schützen die Ärmsten auf diesem Kontinent. Denn genau die Ärmsten sind die Leute, die am allerstärksten bedroht sind davon, sich selbst zu verschulden.
Und wir schützen vor allem auch die jungen Menschen. In den letzten Jahren ist die Überschuldung bei den jungen Menschen auf diesem Kontinent drastisch angestiegen. Und das liegt natürlich mit an der Corona-Pandemie, aber auch an den ganzen Angeboten, die es im Internet gibt von buy now, pay later.
Und diese schmalen, diese kleinen Kredite, dass wir das jetzt regulieren, dass wir sagen „nein, die Unternehmen können die nicht einfach so rausgeben, sie müssen eine Kreditwürdigkeitsprüfung durchführen“, das ist echter Verbraucherinnen- und Verbraucherschutz. Damit sorgen wir dafür, dass es auf unserem Kontinent gerechter zugeht und dass genau diese Unternehmen, die bisher ein Geschäftsmodell genau damit hatten, dass sie Geld damit verdient haben, Strafzahlungen von Leuten abzuknapsen, die sowieso schon nichts mehr haben, ...
Das ist ein wahnsinnig, wahnsinnig, wahnsinnig schönes Zeichen von Europa an die Bürgerinnen und Bürger. Und ich bin stolz, dass wir das hier jetzt auf den Weg bringen.
"
Malte GALLÉE,2023-09-11,DE,One-minute speeches on matters of political importance,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-11-INT-1-217-0000_DE.html,"  Malte Gallée (Verts/ALE).   – Herr Präsident! Wenn Sie als Mann momentan im Irak Lippenstift tragen oder Frauenkleider, dann können Sie dafür bis zu drei Jahre eingesperrt werden. Wenn Sie Homosexualität bewerben, können Sie sieben Jahre eingesperrt werden. Und wenn Sie über dreimal mit einem anderen Mann Sex haben, können Sie dafür die Todesstrafe bekommen. Zumindest, wenn das Gesetz, das dort vorgeschlagen ist, in Kraft tritt.
Das ist nicht nur im Irak so. Es sind unglaublich viele Länder auf diesem Planeten, die im Moment genau so eine Form von Queerfeindlichkeit erleben. Es hat Struktur. Es ist ganz klar erkennbar, dass es Regierungen sind, die mit der eigenen wirtschaftlichen Situation nicht zurechtkommen und einen Sündenbock suchen.
Aber es sind eben auch Geldflüsse aus Europa, die genau solche Erzählungen in diesen Regionen forcieren. Es sind fundamentalistische Evangelikale, die so etwas puschen. Und genau so etwas müssen Sie von der Kommission aus, Herr Kommissar, angehen. Wir müssen dafür sorgen, dass diesen Menschen das Handwerk gelegt wird, dass wir die Gelder entziehen. Darum bitte ich Sie.
"
Malte GALLÉE,2023-07-11,EN,Question Time (Commission) – EU-Africa Strategy,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-324-0000_EN.html,"  Malte Gallée (Verts/ALE).   – Madam Commissioner, I have quite some questions, but let me see how many I will manage to ask. First of all, I stumbled over a problem I have no solution to, and it is about waste and the products that we ship to Africa. I was wondering whether you might find a solution to this.
If we ship products to African countries, often there are no extended producer responsibility organisations. So all the products we ship there, they are packed and they create a lot of waste. And it is doesn’t fall under the Waste Shipment Regulation since it is not waste yet, but it becomes waste pretty fast. How can we tackle this so that we do not contribute to the pollution in these countries where there are no such systems?
The second question, let me try to ask it, is basically: if we look at the Critical Raw Materials Act, you say 40% of production should come to Europe again. I think we should rather really foster industrialisation in the source countries in line with their local demands.
And the third thing, if you allow me one last second, is how do we support the whole idea of the Great Green Wall in the Sahel zone and how can we strengthen this as well?
"
