MP,Date,Language,Title,Url,Content
Manon AUBRY,2023-12-13,FR,One year after Morocco and QatarGate – stocktaking of measures to strengthen transparency and accountability in the European institutions (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-228-0000_FR.html,"  Manon Aubry,  au nom du groupe The Left. – Monsieur le Président, chers collègues, il y a tout juste un an éclatait le plus gros scandale de corruption de l’histoire des institutions européennes: le «Qatargate». Des députés se sont vendus à un État étranger pour des mallettes de billets, et on apprend même aujourd’hui que le commissaire Schinás y serait mêlé, ce que je pointais déjà il y a un an. Je me souviens de chacun d’entre vous ici, chers collègues, venant à cette tribune dire la main sur le cœur: «Plus rien ne sera jamais comme avant.» 
Un an après, rien n’a changé. L’immense majorité des réformes promises a été enterrée. Des députés peuvent continuer tranquillement à être grassement rémunérés par des lobbys ou par des États en toute impunité. Aux oubliettes, l’Autorité éthique indépendante que vous nous avez promise depuis le début de votre mandat, Madame Jourová. Les corrompus, chers collègues, sont comme les vampires: ils détestent la lumière. Mais l’opacité, elle, reste la règle absolue de toutes les négociations.
Pardon pour ce coup de gueule, mais je crois sincèrement que vous vous foutez de nous. Je ne vous lâcherai pas. Et comptez sur moi, sur nous, sur mon camp politique, pour continuer à mener la bataille, pour chasser tous les lobbys et les ingérences extérieures des institutions européennes, pour que, une bonne fois pour toutes, l’éthique prime sur le fric.
"
Manon AUBRY,2023-12-13,FR,One year after Morocco and QatarGate – stocktaking of measures to strengthen transparency and accountability in the European institutions (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-240-0000_FR.html,"  Manon Aubry (The Left),  question ""carton bleu"". – Madame Loiseau, vous avez eu un plaidoyer assez vibrant concernant la lutte contre les ingérences extérieures et la lutte contre la corruption, mais je m’interroge sur la distance entre les paroles et les actes. On a eu beaucoup de belles déclarations à la suite du scandale de corruption du «Qatargate», mais j’observe que, quand il s’agissait par exemple de voter sur l’interdiction des rémunérations annexes pour que les députés, en plus de leurs indemnités d’élus très généreuses, ne soient pas payés par des lobbys, vous avez voté contre. Avez-vous changé d’avis ou continuez-vous à défendre les lobbys? 
"
Manon AUBRY,2023-12-13,FR,One year after Morocco and QatarGate – stocktaking of measures to strengthen transparency and accountability in the European institutions (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-242-0000_FR.html,"  Manon Aubry (The Left),  réaction ""carton bleu"". – C’était intéressant de vous entendre, Madame Loiseau. Je rappelle, pour tous ceux qui nous écoutent à l’extérieur, que la rémunération d’un député est de plus de 7 000 euros par mois. Je pense personnellement que c’est une rémunération indécente, complètement déconnectée de la réalité et de la vie quotidienne des citoyens européens dont vous parlez. Je continuerai à défendre non seulement la baisse la rémunération des députés, mais en plus l’interdiction des rémunérations annexes. Comment allez-vous justifier, pendant les élections, qu’il y ait des députés européens qui soient payés grassement par des lobbys et par des entreprises, alors qu’on est censés faire la loi?
"
Manon AUBRY,2023-12-11,FR,Order of business,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-11-INT-1-029-0000_FR.html,"  Manon Aubry,  au nom du groupe The Left. – Madame la Présidente, chers collègues, vous le savez, la situation humanitaire à Gaza est apocalyptique. Près de 20 000 civils sont morts sous les bombes israéliennes, tout le système humanitaire s’est effondré, les Nations unies parlent de risque génocidaire et, sans le veto des États-Unis, le Conseil de sécurité des Nations unies aurait adopté une résolution en faveur d’un cessez-le-feu permanent.
Mais ici, la bonne nouvelle, c’est que les États-Unis ne sont pas représentés. Nous devons réussir là où les Nations unies ont échoué et faire adopter une résolution claire pour mettre fin à ce carnage, pour demander un cessez-le-feu permanent, pour demander l’entrée des enquêteurs de la Cour pénale internationale à Gaza, pour suspendre notre accord d’association avec Israël et exiger un embargo immédiat sur nos livraisons d’armes, pour prendre des sanctions contre les colons illégaux de Cisjordanie. En votant une résolution, chers collègues, nous pourrions clairement prendre position. L’Union européenne, si elle le voulait, pourrait actionner ses leviers pour intervenir et ne plus rester complice. Cela ne tient qu’à nous.
"
Manon AUBRY,2023-12-11,FR,Role of tax policy in times of crisis (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-11-INT-1-106-0000_FR.html,"  Manon Aubry,  au nom du groupe The Left. – Madame la Présidente, un tiers des Européens ne mange pas à sa faim, et l’augmentation de 25 % des prix alimentaires ne sort pas de nulle part. Même Christine Lagarde, la présidente de la Banque centrale européenne, le reconnaît: plus de la moitié de l’inflation provient de l’augmentation des marges. En clair, des entreprises, des grandes entreprises qui se gavent sur notre dos.
Les gens en ont marre. Marre que les gouvernements complices demandent poliment des baisses de prix qui ne viennent jamais. Marre que l’Union européenne choisisse ce moment pour réimposer l’austérité, en ce moment même, et demande aux États de couper dans le budget de nos écoles ou de nos hôpitaux, alors même que les solutions existent et que vous pourriez aujourd’hui soutenir nos amendements sur la taxation des superprofits et des superriches et sur le blocage des marges et des prix.
Comment pourriez vous, chers collègues, voter contre et refuser de reprendre, comme le disait si bien l’abbé Pierre, à «ceux qui ont pris tout le plat dans leur assiette, laissant les assiettes des autres vides»?
Organiser le grand partage ou laisser faire le grand gavage, voilà, au fond, le clivage qui nous sépare ici dans notre hémicycle, et voici le choix qui sera à faire pour les prochaines élections européennes.
"
Manon AUBRY,2023-11-23,FR,International day for the elimination of violence against women (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-23-INT-4-013-0000_FR.html,"  Manon Aubry,  au nom du groupe The Left. – Monsieur le Président, «j’ai cru mourir», voilà les mots d’une députée française, Sandrine Josso, droguée à son insu par un sénateur dans le but d’abuser d’elle. Et quelle a été la réaction du sénateur Joël Guerriau mis en cause? Son chat était mourant. Oui, oui, collègues, vous avez bien entendu, parce que son chat était mourant, cela l’autoriserait à agresser une femme. Mais quel sentiment d’impunité faut-il atteindre pour oser une telle défense?
Souvent, les agresseurs profitent d’une relation de pouvoir. C’est l’animateur de radio Sébastien Cauet, accusé de viol, ou encore le célèbre agent immobilier Stéphane Plaza, poursuivi pour violences. Mais ces agressions et ce sentiment d’impunité ne concernent pas que des célébrités. Elles sont omniprésentes et touchent toutes les femmes. Les prédateurs sont partout: dans la rue, jusque dans nos foyers, au travail ou dans l’intimité, de la remarque déplacée aux coups portés, du harcèlement répété aux corps violés. Combien d’entre nous ici n’ont-elles pas déjà subi une de ces agressions?
Je remarque d’ailleurs que tous ces débats qui portent sur les droits des femmes réunissent en général quelques rares collègues, et uniquement de sexe féminin. C’est à chaque fois le même schéma, à chaque fois la même difficulté pour les femmes de parler, à chaque fois la même impunité. Mais nous ne laisserons pas le patriarcat gagner.
Alors que plus de 100 000 viols ont lieu dans l’UE chaque année, la France bloque les négociations d’un texte crucial contre les violences sexuelles en voulant exclure de la législation européenne la définition du viol. Je veux ici le répéter à cette tribune. N’en déplaise à Emmanuel Macron, un rapport sexuel sans consentement est un viol. Un rapport sexuel sans consentement est un viol et doit figurer comme tel dans la loi européenne. C’est pourtant simple et nous clamerons tant qu’il le faudra: le corps des femmes ne vous appartient pas, notre consentement non plus.
"
Manon AUBRY,2023-11-22,FR,"Humanitarian situation in Gaza, the need for the release of hostages and for an immediate humanitarian truce leading to a ceasefire and the prospects for peace and security in the Middle East (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-019-0000_FR.html,"  Manon Aubry,  au nom du groupe The Left. – Monsieur le Président, chers collègues, ce matin nous poussons un premier «ouf» de soulagement après l’annonce d’une trêve et de la libération à venir de plusieurs dizaines d’otages. Je pense bien évidemment aux familles qui vont retrouver leurs proches, à celles qui n’ont pas encore cette chance et pour qui nous devons continuer à tout faire pour obtenir leur libération. Je pense aussi aux habitants de Gaza qui seront protégés des bombes pendant quelques jours, mais qui savent que leur calvaire reprendra bientôt.
Car de jour en jour, le bilan humain continue de s’alourdir et l’Union européenne s’est rendue complice de ce massacre en refusant de le condamner. Oui, vous avez laissé mourir 14 000 civils, dont plus de 5 000 enfants. Vous avez laissé Tsahal détruire de manière délibérée des hôpitaux, des maisons, des écoles. Vous n’avez rien dit de ces crimes mais vous êtes constamment opposés au cessez-le-feu – car la trêve ne peut pas être une simple parenthèse, il faut un cessez-le-feu durable.
Qu’allez-vous dire, chers collègues, aux milliers de parents qui ont perdu leurs enfants? Que ce sont des dommages collatéraux? Pourquoi aucune sanction n’a encore été envisagée à l’encontre d’Israël? Nous en sommes, à raison, au 12ᵉ paquet de sanctions contre la Russie, mais comment allez-vous expliquer que nous ne faisons rien contre les crimes de guerre de l’armée israélienne à Gaza?
Ce «deux poids, deux mesures» est insupportable et il a des conséquences concrètes à Gaza, mais aussi en Cisjordanie, dont on parle trop peu, où la colonisation s’accroît de manière toujours plus brutale. Les colons israéliens n’ont plus aucune limite. Chaque jour, des Palestiniens sont insultés, menacés, brutalisés, assassinés, chassés de leurs terres. Nous assistons à un nettoyage ethnique. C’est un devoir moral de le stopper car chaque vie palestinienne compte. C’est une obligation diplomatique car la paix n’émergera qu’avec une solution à deux États. C’est un impératif stratégique car ce qui se joue au Proche-Orient aura des conséquences mondiales.
Nous sommes aujourd’hui, chers collègues, à un point de bascule. Si l’Union européenne persiste dans son aveuglement, non seulement elle se couvrira de honte, mais elle enterrera aussi définitivement le droit international et avec lui, l’espoir d’une paix durable.
"
Manon AUBRY,2023-11-21,FR,EU/New Zealand Free Trade Agreement (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-178-0000_FR.html,"  Manon Aubry (The Left),  question «carton bleu». – . Madame Vedrenne, j’ai vu que vous avez défendu avec beaucoup d’ardeur ce nouvel accord de libre-échange. J’ai une question pour vous. Qui a dit, en 2020: «Déléguer notre alimentation, notre protection, notre capacité à soigner notre cadre de vie, au fond, à d’autres, est une folie». C’est évidemment Emmanuel Macron. Et donc, qu’allez-vous dire aux producteurs de lait français et européens qui n’arrivent déjà pas à vivre de leur production, à écouler leurs stocks, à se nourrir eux-mêmes? Qu’allez-vous leur dire quand ils vont faire face à une concurrence déloyale venant du lait néozélandais, sachant que la Nouvelle-Zélande est le premier exportateur de lait au monde?
"
Manon AUBRY,2023-11-21,FR,EU/New Zealand Free Trade Agreement (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-180-0000_FR.html,"  Manon Aubry (The Left),  réaction «carton bleu». – On aime le débat parlementaire, donc je remercie pour cette réponse, mais je reste quand même sur ma faim. Je prends un exemple concret: un producteur de lait en France qui aujourd’hui vend 450 ou 500 euros ses 1 000 litres de lait, et qui n’arrive pas à en survivre. Il va voir arriver du lait qui vient de Nouvelle-Zélande, qui a fait le tour de la planète (donc déjà ça n’a aucun sens écologique) qui en plus est produit avec des pesticides interdits en Europe, comme l’atrazine. 
Et qu’allez-vous lui dire quand il verra que du lait qui vient de l’autre bout de la planète est vendu moins cher alors que lui-même n’arrive pas à en vivre? Et au consommateur? «Désolé, le lait néozélandais est moins cher, mais achetez celui-là, il est meilleur pour la planète»?. 
Vous voyez que ça n’a aucun sens écologique, ni aucun sens social. Alors oui, le commerce, c’est bien lorsqu’on ne peut pas produire chez nous, mais concernant le lait, il se trouve qu’on a déjà des tas de producteurs qui n’arrivent pas à en vivre.
"
Manon AUBRY,2023-11-21,FR,EU/New Zealand Free Trade Agreement (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-188-0000_FR.html,"  Manon Aubry (The Left).   – Madame la Présidente, si seulement nous avions en Europe des paysans qui produisaient du lait et des fromages de qualité. Si seulement nos vergers étaient remplis de pommiers et nos terroirs de vignes. Je sais, je rêve. Mais heureusement que vous, Monsieur le Commissaire, et vous, chers collègues, qui n’êtes jamais à court d’idées géniales, allez nous tirer de ce mauvais pas.
Grâce à votre accord de libre-échange avec la Nouvelle-Zélande, vous allez permettre à des milliers de tonnes de lait et de fromage, de pommes et de vin de parcourir 20 000 kilomètres dans des bateaux cargo ultra polluants pour atterrir sur les étals de nos supermarchés, avec en bonus des pesticides comme l’atrazine, théoriquement interdit chez nous.
Félicitations, chers collègues, et gare aux mauvaises langues qui oseraient dire que cela va accélérer le chaos climatique, saper encore un peu plus notre autonomie alimentaire, soumettre nos agriculteurs à une concurrence déloyale et aller à contresens de la souveraineté économique tant vantée par Monsieur Macron. Si je suis ironique, chers collègues, c’est que vous êtes en réalité bien hypocrites en votant cet accord de libre-échange. Il y a un choix à faire, il est clair: c’est la terre ou les porte-conteneurs.
"
