MP,Date,Language,Title,Url,Content
Manuela RIPA,2023-11-21,DE,Packaging and packaging waste (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-229-0000_DE.html,"  Manuela Ripa (Verts/ALE).   – Herr Präsident! Warum diskutieren wir überhaupt erneut über ein Gesetz zu Verpackungen und deren Abfällen, obwohl es vor fünf Jahren eine Richtlinie dazu gab? Die Antwort ist ganz einfach: Die Menge der Verpackungen in der EU nimmt ständig zu. Unsere Verpackungsabfälle haben ein Rekordniveau erreicht. Deshalb ist eine erneute Überarbeitung notwendig.
Es liegt jetzt in unserer Verantwortung, eine Lösung zu finden, die gut für Mensch und Natur ist. Besonders brauchen wir ehrgeizige Ziele für die Vermeidung und Wiederverwendung, um dem Verpackungsmüll Einhalt zu gebieten. Dagegen wurde jedoch leider sehr stark lobbyiert, aber mehr Wiederverwendung vor Recycling ist entscheidend, um die Menge der Verpackungen nachhaltig zu reduzieren, CO2- und andere Emissionen zu verringern sowie den Raubbau an unseren natürlichen Ressourcen, den Verlust an biologischer Vielfalt und Umweltverschmutzung zu stoppen.
Die Müllberge in Europa müssen endlich konsequent bekämpft werden – nur Recycling genügt nicht. Das Gesetz, über das wir jetzt abstimmen, ist zwar besser als der Status quo, aber immer noch viel zu schwach. Vor uns bleibt eine entscheidende Aufgabe: Wir müssen weiter für eine nachhaltige, effiziente und umweltfreundliche Verpackungswirtschaft in Europa kämpfen.
"
Manuela RIPA,2023-10-19,DE,European Citizens' Initiative 'Fur Free Europe' (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-19-INT-4-031-0000_DE.html,"  Manuela Ripa (Verts/ALE).   – Frau Präsidentin! Tiere empfinden Schmerz, Angst und Freude – ähnlich wie wir Menschen. Im EU-Vertrag sind sie zu Recht als fühlende Wesen beschrieben. Trotz dieses Wissens müssen Tiere jeden Tag millionenfach leiden. Pelztiere verbringen ihr kurzes, qualvolles Leben eingesperrt in kleinen kargen Käfigen. Wozu? Ihr Leid ist auch noch unnötig! Wir brauchen Pelze nicht. Es gibt genug Alternativen. Die Haltung stellt zudem eine Gefahr für uns Menschen dar: Zoonosen können entstehen.
Pelztierhaltung hat außerdem erhebliche Umweltauswirkungen. Beim Färben von Pelzen kommen giftige Chemikalien zum Einsatz. Auch kann unsere heimische Artenvielfalt ernsthaft bedroht werden. Kurzum: Pelze sind unethisch, gefährlich und umweltschädlich! Die Kommission muss Pelzfarmen und Zuchtpelzprodukte vollständig auf dem europäischen Markt verbieten. Über eine Million Bürger wollen das. Ganz herzlichen Dank an die EBI dafür. Dem müssen klare Taten folgen. Auch ist die Kommission aufgerufen, alle Vorschläge zu den Tierschutzgesetzen unverzüglich vorzulegen, um dem Tierleid Einhalt zu gebieten.
"
Manuela RIPA,2023-10-04,DE,The proposed extension of glyphosate in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-284-0000_DE.html,"  Manuela Ripa (Verts/ALE).   – Frau Präsidentin! Nehmen wir mal an, wir haben ein Pestizid, das jede Pflanze tötet, die nicht genetisch so verändert wurde, dass sie den Einsatz überlebt. Nehmen wir weiter an, dass dieses Pestizid gesundheitsschädlich ist und maßgeblich zum Artensterben beiträgt. Hinzu kommt, dass es das meistverkaufte Pestizid ist und in Deutschland allein jährlich davon bis zu 4 000 Tonnen versprüht werden. Dieses Pestizid belastet massiv das Grundwasser, Seen und Flüsse sowie unsere Böden und die Luft. Jeder vernünftige Mensch würde sagen: Das müssen wir verbieten.
Nicht so die Europäische Kommission, die dieses Pestizid mit dem Namen Glyphosat für weitere zehn Jahre zulassen will. Schlimmer noch: Sie stützen sich auf eine Bewertung der Lebensmittelbehörde EFSA, die offen zugibt, dass es Datenlücken vor allem mit Blick auf die Biodiversität und Risiken für unsere Gesundheit gibt. Also aufgrund eines unvollständigen Berichts soll weiter der dramatische Rückgang unserer Arten befeuert werden? Geht’s noch? Frau von der Leyen, das ist komplett gegen Ihren vorgelegten europäischen Grünen Deal, eine Aushebelung des Vorsorgeprinzips und muss gestoppt werden!
Dem müssen wir als Europäisches Parlament entschieden entgegentreten, genauso die Mitgliedstaaten – für die Gesundheit unserer Kinder, unserer Natur und letztendlich unseres Planeten.
"
Manuela RIPA,2023-06-15,DE,The water crisis in Europe (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-15-INT-4-067-0000_DE.html,"  Manuela Ripa (Verts/ALE).   – Frau Präsidentin! Trinkwasser wird immer knapper. Durch den Klimawandel war die Situation in vielen Teilen Europas bereits im Winter dramatisch − dadurch Ernteausfälle in Spanien, Trinkwasserknappheit in Südfrankreich, Tote durch sintflutartige Regenfälle nach einer Winterdürre in Italien. In Deutschland kündigen Landkreise jetzt schon Wassersparen an.
Dem müssen wir entgegenwirken. Die Maßnahmen kennen wir. Einige davon: die massive Versiegelung unserer Böden stoppen, mehr Grünflächen schaffen, damit der Regen versickern und ins Grundwasser gelangen kann; und wir dürfen keine Industrieansiedlungen in Wasserschutzgebieten zulassen, wie es bei der Tesla-Ansiedlung in Brandenburg geschehen ist! Wir müssen dem Thema Wasserknappheit endlich höchste Priorität einräumen und deutlich machen, dass sauberes Wasser ein Allgemeingut ist und bleiben muss.
Das Dürremanagement in den europäischen Ländern ist sehr unterschiedlich. Im Klartext heißt das: Die EU hat noch keinen Plan gegen Dürre. So wie ich schon lange auf EU-Ebene ein Bodenschutzgesetz fordere, so fordere ich auch eine Dürreschutzverordnung.
"
Manuela RIPA,2023-04-19,DE,"Keeping people healthy, water drinkable and soil liveable: getting rid of forever pollutants and strengthening EU chemical legislation now (topical debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-19-INT-3-159-0000_DE.html,"  Manuela Ripa (Verts/ALE).   – Frau Präsidentin! Hochgiftige ewige Chemikalien wie PFAS finden sich überall in Europa und weltweit. Besonders schockierend: Es ist mittlerweile ganz selbstverständlich, sie in unseren Alltagsprodukten zu verwenden, wie in regenabweisenden Jacken und noch schlimmer in Lebensmittelkontaktmaterialien wie Papierstrohhalmen, um sie wasserfest zu machen. Wir kommen also täglich mit ihnen in Berührung, unsere Kinder sind ihnen täglich ausgesetzt. Sie verursachen Krebs und beeinträchtigen das Immun-, Hormon- und Fortpflanzungssystem sowie das Herz-Kreislaufsystem. In der Natur können sie auch in mehreren hundert Jahren nicht abgebaut werden und sind hochgiftig für Wasser und Tiere. Wir gefährden also uns und unsere Umwelt und das über Generationen hinweg.
Für mich bedeutet das ganz klar: Im Interesse unserer Gesundheit, der unserer Kinder und unserer Umwelt dürfen wir diesen Stoffen wie PFAS nicht mehr ausgesetzt sein. Die Industrie muss dort, wo sie in Prozessen unvermeidbar sind, aufzeigen, wie sie nicht in Kontakt mit Menschen und Umwelt kommen und was ihre End-of-Life-Bestimmung ist. Und die Überarbeitung der Chemikalienverordnung muss schnellstmöglich im Juni vorgelegt werden – im Interesse von uns allen.
"
Manuela RIPA,2023-04-17,DE,"Revision of the EU Emissions Trading System - Monitoring, reporting and verification of greenhouse gas emissions from maritime transport - Carbon border adjustment mechanism - Social Climate Fund - Revision of the EU Emissions Trading System for aviation (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-17-INT-1-137-0000_DE.html,"  Manuela Ripa (Verts/ALE).   – Herr Präsident! Auch ich möchte den Kollegen danken, insbesondere denjenigen, mit denen ich am CO2-Grenzausgleichssystem, kurz CBAM, gearbeitet habe. „Fit für 55” ist das größte Gesetzespaket weltweit hin zur Klimaneutralität. Doch welche Rolle spielt die erstmalige Einführung des CBAM? Die bisherige EHS-Regelung fußt auf einer freien Zuteilung von Emissionszertifikaten. Seit 17 Jahren probieren wir es aus und müssen feststellen, dass die CO2-Emissionen nicht im erforderlichen Maße abgenommen haben.
Und genau hier setzt das CO2—Grenzausgleichssystem an. Es enthält ein Stoppschild für jene, die weiterhin CO2-intensive Produkte in unseren Markt einführen wollen. Wir Europäer führen mit dem CBAM ein globales neues Instrument ein, das den Klimaschutz ernstnimmt und schnellen Unternehmen enorme Wettbewerbsvorteile schafft. Und genau hier liegt die große Chance: Europas Produkte würden im Weltmaßstab Vorreiter sein. 
Zeit spielt eine überragende Rolle, weswegen bereits vor dem tatsächlichen Beginn des CBAM im Januar 2026 einige Anpassungen gemacht werden müssen: So muss der Anwendungsbereich erweitert werden, gerade auf sogenannte Downstream-Produkte, insbesondere wenn sie vollständig aus Stahl bestehen. Der Rat hat die Erweiterung des Anwendungsbereichs verhindert. Nicht nur ich halte das für einen großen Fehler, denn eine begrenzte Anwendung wird zur carbon leakage und somit zur Abwanderung unserer Industrie führen. 
Der kurzen Rede langer Sinn: Das CBAM ist historisch. Jedoch brauchen wir einen weiten Anwendungsbereich, der auch die Interessen der kleinen und mittleren Unternehmen berücksichtigt. Diese Anpassung muss schon vor 2026 erfolgen.
"
Manuela RIPA,2023-03-16,DE,"European Citizens’ Initiative ""Save bees and farmers! Towards a bee-friendly agriculture for a healthy environment"" (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-16-INT-4-074-0000_DE.html,"  Manuela Ripa (Verts/ALE).   – Herr Präsident! Der Erfolg dieser Europäischen Bürgerinitiative zur Rettung von Bienen und Bauern ist ein lauter Weckruf an die Politik und an die Gesellschaft, die zu wenig für den Schutz unserer Artenvielfalt und unserer Ernährung unternimmt. Diese Europäische Bürgerinitiative zeigt ganz eindeutig, dass immer mehr Menschen in ganz Europa es nicht mehr hinnehmen wollen, dass wir mit der derzeitigen EU-Agrarpolitik an dem Ast sägen, auf dem wir sitzen. Die drastisch abnehmende Artenvielfalt, die Belastung des Grundwassers mit Nitraten, die zerstörten Böden sowie der Beitrag der industriellen Landwirtschaft zum Klimawandel erzwingen ein Umdenken.
Das nationale Gegenstück dieser Europäischen Bürgerinitiative war übrigens das von meiner Partei, der ÖDP, initiierte Volksbegehren Artenvielfalt in Bayern, das Bayern jetzt zu einem der besten Naturschutzgesetze Europas verhalf. Und diese Europäische Bürgerinitiative verdient den gleichen Erfolg. Sie ist wichtiger denn je. Deshalb ist mein Appell an die Kollegen: Folgt nicht der Agrarlobby, sondern nehmt den Erfolg der Europäischen Bürgerinitiative mit all ihren Forderungen als einen Auftrag, der uns alle Rückenwind gibt für dringend benötigte Schritte hin zu einer nachhaltigen Landwirtschaft und zur Wiederherstellung der biologischen Vielfalt.
"
Manuela RIPA,2022-12-13,DE,"Renewable Energy, Energy Performance of Buildings and Energy Efficiency Directives: amendments (REPowerEU) (continuation of debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2022-12-13-INT-2-047-0000_DE.html,"  Manuela Ripa (Verts/ALE).   – Frau Präsidentin, sehr geehrter Herr Kommissar! Der Ukrainekrieg hat endlich vielen vor Augen geführt, dass wir den Ausbau der erneuerbaren Energie beschleunigen müssen. Die vorliegende Verordnung will dies unterstützen, und das ist gut und wichtig. 
Gleichwohl sehe ich einige Aspekte dieser Verordnung kritisch. Neben der Klimakrise dürfen wir nicht vergessen, dass wir auch eine Biodiversitätskrise haben, wie uns die zurzeit stattfindende UN-COP15 ganz deutlich macht. Der dramatische Verlust der Artenvielfalt ist eine tickende Zeitbombe. Der Naturschutz darf deshalb nicht unter die Räder des Klimaschutzes fallen. Leider zielen aber einige Regelungen und Änderungsanträge des Plenums genau darauf ab. Gerade der Bereich zum überwiegenden öffentlichen Interesse wird dem Naturschutz nicht immer gerecht. Das können wir besser. 
Nehmen wir z. B. die breit vorhandenen Industriebrachflächen für den Ausbau erneuerbarer Energie statt Naturflächen. Wir brauchen eine naturverträgliche Energiewende, und diese beschränkt sich eben nicht auf den Austausch fossiler Energie durch Erneuerbare. Klimaschutz ist auch Naturschutz. Beides bedingt einander. 
"
Manuela RIPA,2022-06-07,DE,Revision of the EU Emissions Trading System - Social Climate Fund - Carbon border adjustment mechanism - Revision of the EU Emissions Trading System for aviation - Notification under the Carbon Offsetting and Reduction Scheme for International Aviation (CORSIA) (joint debate – Fit for 55 (part 1)),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-06-07-INT-2-081-0000_DE.html,"  Manuela Ripa (Verts/ALE).   – Frau Präsidentin! „Fit for 55“ ist das größte Gesetzespaket hin zur Klimaneutralität – weltweit und mit Abstand. Höhere Emissionsminderungsziele erfordern eine Überarbeitung der bestehenden klimapolitischen Instrumente. Die freie Zuteilung von Emissionszertifikaten unter dem ETS-System hat den Praxistest letztlich nicht bestanden. Seit 17 Jahren probieren wir es aus und müssen feststellen, dass die CO2‑Emissionen nicht im erforderlichen Maße abgenommen haben, schon gar nicht global. Das freie Zuteilungssystem funktioniert also nicht und muss ersetzt werden.
Genau hier setzt die CO2-Grenzausgleichssteuer an. Sie enthält ein Stoppschild für jene, die weiterhin CO2-intensive Produkte in unseren Markt einführen wollen. Wir Europäer führen mit CBAM ein globales neues Regime ein, das den Klimaschutz ernst nimmt und für schnelle Unternehmen enorme Wettbewerbsvorteile schafft. Und genau hier liegt die große Chance. Europas Produkte würden im Weltmaßstab Vorreiter werden. Die Umstellung hin zu diesen neuen Produktionsmethoden muss jetzt durch die zur Verfügung stehenden Fördermöglichkeiten genutzt werden.
Allen ist klar, dass das Jahr 2030 für sehr viele Umbrüche steht. Meine Fraktion fordert das Auslaufen der unwirksamen freien Emissionszertifikate genau in diesem Jahr. Damit entsteht kein unnötiger Druck, sondern eine klare Zielvorgabe, um allen Unternehmen einen vergleichbaren Maßstab zu geben. CBAM muss vollumfänglich ab 2030 ohne Veränderung des Anwendungsbereichs starten. Das gibt unseren Unternehmen ein klares Signal, das sorgt für mehr Wettbewerbsfähigkeit, und das schafft auch langfristig klare Strukturen für einen neuen, klimafreundlichen Welthandel. 
"
Manuela RIPA,2022-05-02,DE,Election of the Members of the European Parliament by direct universal suffrage (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-05-02-INT-1-082-0000_DE.html,"  Manuela Ripa (Verts/ALE).   – Herr Präsident! Demokratie wird wieder heiß diskutiert. In der Ukraine wird nicht nur die Freiheit, sondern auch die Demokratie verteidigt. Warum verteidigen wir die Demokratie nicht auch hier im Europäischen Parlament? Demokratie bedeutet Partizipation. Stabile Demokratie bedeutet Partizipation aller. Unsere Gesellschaft ist vielfältiger geworden. Der Umgang mit Diversität ist zu einem Markenzeichen einer stabilen Demokratie geworden. Eine Prozenthürde bei Europawahlen ist laut Bundesverfassungsgericht verfassungswidrig, denn sie ist ein schwerwiegender Eingriff in die Grundsätze der Wahlrechts- und der Chancengleichheit, und dies ist nicht zu rechtfertigen. 
Es kann doch nicht die Aufgabe dieses Parlaments sein, den Wählerwillen von vornherein auszuschließen. Neue Prozenthürden dienen nur dem Machterhalt großer Parteien, von denen sich die Menschen zunehmend abwenden. Wir brauchen keine künstliche Ausgrenzung von Wählerinnen und Wählern durch Prozenthürden, zumal dies de facto nur für Deutschland gelten würde. Dieses Parlament sollte daher geschlossen für die Demokratie und gegen Prozenthürden stimmen.
"
