MP,Date,Language,Title,Url,Content
Marc BOTENGA,2023-12-14,FR,"Outcome of the UN Climate Change Conference 2023 in Dubai, United Arab Emirates (COP28) (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-14-INT-4-052-0000_FR.html,"  Marc Botenga (The Left).   – Madame la Présidente, le sommet climatique aura donc parlé des énergies fossiles. C'est positif. Mais avant de se poser, en tant qu'Européens, comme défenseurs du climat face au reste du monde, il faut quand même regarder encore un peu les faits : aujourd'hui, nous investissons beaucoup dans de nouveaux terminaux pour accueillir le gaz de schiste américain. Les États-Unis en multiplient évidemment la production pour l'exporter vers nous, et on sait que ce gaz de schiste est plus cher et plus polluant que le gaz conventionnel. Cette extraction libère du méthane, d'énormes quantités de méthane, qui est un peu pour le climat comme le charbon.
Ces investissements enferment l'Europe dans une double dépendance: aux États-Unis, d'une part, aux énergies fossiles, d'autre part. Et entre-temps, le grand projet pour transformer la mer du Nord en la centrale électrique éolienne de l'Europe? Avec les investissements actuels, nous n'arriverons pas à la moitié de l'objectif pour 2030. 
Alors changeons de cap, ne laissons plus ça à la bonne volonté des multinationales mais reprenons cela en main, publiquement, pour une énergie verte et bon marché partout en Europe.
"
Marc BOTENGA,2023-12-13,FR,EU strategy to assist young people facing the housing and cost of living crisis (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-193-0000_FR.html,"  Marc Botenga (The Left).   – Monsieur le Président, aujourd’hui, quand vous regardez l’évolution des loyers en Belgique, je pense que sur les cinq dernières années, ils ont augmenté de 12 %, et à Bruxelles, sur les dix dernières années, de 30 %. Acheter une maison ou un appartement pour un jeune ou pour un jeune couple relève presque de l’impossible. Et quand vous y arrivez, c’est trouver une crèche qui relève du coup de chance, car il faut avoir inscrit votre enfant avant même de l’avoir conçu, sinon on ne trouve pas de crèche.
Tous ces problèmes-là, on peut les résoudre. Il n’y a pas besoin d’une baguette magique pour les résoudre, mais ça demande des investissements. Cela veut dire que nous devons investir dans le logement, que nous devons investir dans les services publics. On peut tous ici pleurer sur le sort des jeunes, qui nous importe vraiment, mais si vous revenez avec l’austérité, avec les règles européennes qui nous obligent, qui obligent les États à couper dans les services publics, à dépenser moins, à arrêter les investissements sociaux, on reviendra d’ici six mois pleurer de nouveau, se plaindre du sort des jeunes. Il faut des investissements. Non à l’austérité! 
"
Marc BOTENGA,2023-12-13,FR,European Defence investment programme (EDIP) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-13-INT-3-393-0000_FR.html,"  Marc Botenga (The Left).   – Madame la Présidente, nos trains ont du retard, nos crèches sont archipleines, les hôpitaux surchargés, et le logement devient impayable. Et dans ce contexte, que propose la Commission européenne? Un nouveau grand programme d’investissement pour les multinationales de l’armement! Ben oui, forcément, pendant que les gens triment, nous allons encore garantir des cadeaux à des entreprises qui sont parmi les plus profitables de notre continent et qui, d’ailleurs, font un bon business, actuellement, grâce à la guerre en Ukraine.
On va produire plus d’armes. Pour notre sécurité? Eh bien non! L’Europe dépense déjà beaucoup plus en armes que la Russie, que l’Inde, que l’Afrique du Sud, que le Brésil, etc. On peut se défendre. Non, vous, votre modèle, ce sont les États-Unis. Vous voulez faire comme les États-Unis, faire la guerre partout dans le monde. Regardez l’Irak, la Libye: ce sont vos guerres, vos armes qui y ont créé l’instabilité et qui menacent notre sécurité ici.
Arrêtez ça! Arrêtez ça! Mettez cet argent dans nos services, dans nos transports, dans nos services publics et nos hôpitaux. Faites la paix, pas la guerre!
"
Marc BOTENGA,2023-12-12,FR,Framework for ensuring a secure and sustainable supply of critical raw materials (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-075-5000_FR.html,"  Marc Botenga (The Left),  par écrit. – Ce nouveau règlement sur l'accès aux ""matières premières critiques"" répète les mêmes erreurs que les autres initiatives industrielles européennes: manque de choix stratégiques et dérégulation. D’abord, le texte double la liste des matériaux concernés. Plus de « priorité stratégique » donc. Le titane, la bauxite ont une utilité limitée pour la transition, mais sont inclus comme cadeau aux multinationales de l'armement. Poussant, comme le Net Zero Industry Act, le Chips Act etc, à la dérégulation, ce texte ouvre la voie aux activités extractives dans des sites naturels protégés. Sans études d'impact scrupuleuses, les multinationales auront carte blanche. Sur base d'une vision commerciale aux relents coloniaux, le texte veut un accès libre aux matières premières. Les ""partenariats stratégiques"" pousseront au pillage des ressources du Sud global. Sans planification, ni priorités publiques, l'Union européenne promeut une déprédation massive de ressources rares. Mais les activités extractives et de transformation sont très polluantes. En lançant une ""ruée vers l'or"" ce texte risque donc d'aggraver la situation. Nous devons changer de logique. Il faut partir d'une stratégie industrielle publique et établir des partenariats ciblés, respectueux des populations et pays détenant les ressources nécessaires à la transition, sans vouloir en passant sponsoriser la course à l'armement.
"
Marc BOTENGA,2023-12-12,FR,"Need to release all hostages, to achieve a humanitarian ceasefire and prospect of the two-state solution (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-339-0000_FR.html,"  Marc Botenga (The Left).   – Monsieur le Président, chers collègues, l’Unicef parle d’une guerre contre les enfants. À l’heure actuelle, ce sont plus de 7 700 enfants palestiniens qui ont été massacrés par Israël. Quand la même chose se passait en Ukraine, vous parliez de génocide. Aujourd’hui, une série d’entre vous justifie Israël. Je ne vais pas vous répondre, parce qu’entre vous et moi il n’y a pas de divergence politique, il y a une différence d’humanité, tout simplement.
Ceux qui aujourd’hui défendent Israël soit n’entendent pas ce que les dirigeants israéliens disent, parce que les dirigeants israéliens eux-mêmes disent que cette guerre est une guerre contre toute la population de Gaza. Ils veulent les chasser. Deux millions de Gazaouis doivent dégager de Gaza, et vous, vous applaudissez? Bravo! Bravo! J’espère qu’un soir vous arriverez encore à vous regarder dans le miroir sans honte sur votre visage. 
Aujourd’hui, l’Union européenne reste complice parce qu’elle reste liée à Israël par un accord d’association. Elle continue de faire passer des armes à Israël, des armes qui, ensuite, effectivement, tueront des innocents à Gaza. Arrêtons cette complicité!
"
Marc BOTENGA,2023-12-11,FR,Role of tax policy in times of crisis (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-11-INT-1-110-0000_FR.html,"  Marc Botenga (The Left).   – Madame la Présidente, l’Union européenne se prépare à vous dire à nouveau qu’il faut se serrer la ceinture, qu’il n’y a pas d’argent pour la santé ni pour les écoles. Eh oui, il faudra se serrer la ceinture, sauf que ce sera aux travailleurs de le faire, parce que les multinationales, franchement, elles, elles profitent. On parle de «la crise», mais ce n’est pas la crise pour tout le monde. Ce n’est pas la crise pour les multinationales du secteur pharmaceutique, qui ont fait le plein de profits pendant la COVID-19. Ce n’est pas la crise pour les multinationales du secteur de l’armement, guerre oblige. Et en ces temps de crise énergétique, les grosses multinationales de l’énergie se sont évidemment rempli les poches. Comment se fait-il que, quand on parle dans ce Parlement de taxer les multinationales, ce soit toujours à reculons? La Commission européenne ne veut jamais le faire, et le Parlement n’y parvient jamais («Mais faisons ça de manière temporaire!…»). Les travailleurs, eux, ne sont pas taxés de manière temporaire; eux, ils sont taxés tout le temps. Alors il faut arrêter avec cette histoire, comme quoi les multinationales seraient trop grandes pour être taxées! Non, non, non! Il faut taxer ces surprofits!
Deuxièmement, une petite histoire – parce que, à la tête de ces multinationales, il y a des riches. L’homme le plus riche de Belgique, c’est Éric Wittouck, qui vaut environ 10 ou 11 milliards d’euros. À titre de comparaison, le travailleur belge moyen devrait bosser et épargner l’entièreté de son salaire pendant 2 355 siècles. On remonte bien avant Jésus—Christ et avant l’Empire romain: c’est presque au moment de l’apparition de l’homo sapiens.
Alors pourquoi n’arrive-t-on pas à instaurer une taxe des millionnaires? Qu’est-ce qui vous bloque? Eh bien, ce qui vous bloque, c’est que vous avez choisi votre camp. Vous êtes du côté des millionnaires. Nous, nous sommes du côté des travailleurs. 
"
Marc BOTENGA,2023-11-22,FR,"Humanitarian situation in Gaza, the need for the release of hostages and for an immediate humanitarian truce leading to a ceasefire and the prospects for peace and security in the Middle East (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-066-5000_FR.html,"  Marc Botenga (The Left),  par écrit. – Chers collègues, des ministres israéliens nient ouvertement l’existence d’un peuple palestinien, proposent l’expulsion de tous les habitants de Gaza vers l’Égypte, et utilisent des cartes où la Palestine a été rayée. Israël assume ouvertement sa volonté de nettoyage ethnique. En paroles et en actes. Au nord de Gaza la moitié des immeubles ont été détruits, un million et demi de Palestiniens chassés de leurs maisons. En un mois seulement, Israël a tué des milliers d’enfants et de bébés innocents, assassiné des journalistes, des médecins et leurs familles, des travailleurs des Nations unies et de l’Organisation mondiale de la Santé. Le nettoyage ethnique ne se limite pas à Gaza. En Cisjordanie occupée, des villages palestiniens entiers sont vidés de leurs habitants. À Jérusalem, les quartiers chrétien et arménien sont menacés par les colons israéliens. Mais malgré tout cela, malgré les dénonciations faites par les plus importantes agences des Nations unies et ONG internationales, l’Union européenne refuse de condamner Israël ou d’appeler à un cessez-le-feu. Pire, dans les faits, l’Union européenne soutient les crimes israéliens. Par l’argent, par les armes, par l’Accord d’Association UE-Israël. Elle se rend complice du nettoyage ethnique. Basta. Suspendons l’Accord d’Association. Arrêtons l’exportation d’armes. Retirons les diplomates européens.
"
Marc BOTENGA,2023-11-21,FR,Proposals of the European Parliament for the amendment of the Treaties (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-342-0000_FR.html,"  Marc Botenga (The Left).   – Monsieur le Président, franchement, les gens en ont marre que l’Union européenne vienne à chaque fois avec des diktats en disant «il faut couper dans le budget de vos écoles, de vos crèches, de vos hôpitaux, il faut travailler plus longtemps, pour moins d’argent». Franchement, les gens n’en peuvent plus non plus d’avoir cette Europe sans transparence, sans démocratie, de ne pas être écoutés.
Et dans ce contexte, que propose ici une coalition de libéraux socialistes verts? C’est plus de pouvoir à l’Union européenne et moins de démocratie au sein de cette Union. Franchement, vous n’avez pas honte de proposer même un commissaire, ha non pardon, un secrétaire à l’austérité? Cela veut dire que cette austérité, ces coupes budgétaires, vous voulez les institutionnaliser encore plus. Les gens n’en peuvent plus, ça ne passera pas.
Et vous proposez, quoi? Plus de guerre? Vous voulez enlever le droit, par exemple à la Belgique, de dire non quand il s’agit d’envoyer des soldats belges à l’étranger. Parce que c’est cela le passage de l’unanimité à un vote à majorité. Vous ne l’avouez pas, vous ne l’assumez pas, eh bien les gens ne l’accepteront pas.
"
Marc BOTENGA,2023-11-20,FR,Framework of measures for strengthening Europe’s net-zero technology products manufacturing ecosystem (Net Zero Industry Act) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-134-0000_FR.html,"  Marc Botenga,  au nom du groupe The Left. – Madame la Présidente, lorsqu’on parle d’industrie, les gens s’intéressent à deux choses fondamentalement. D’abord un emploi de qualité, et deuxièmement, un environnement de vie sain. Et que nous proposez-vous aujourd’hui dans ce texte? D’abord, donner plein soutien aux entreprises au nom de la compétitivité, sans priorités stratégiques et sans fortes conditions, sans fortes conditions sociales surtout. 
Et on connaît cette stratégie en Belgique, les entreprises empochent les cadeaux, remercient, et puis, quand elles reçoivent un meilleur deal ailleurs, elles délocalisent quand même, on connaît la petite chanson. 
Ensuite, déréguler. Déréguler, ça veut dire flexibiliser, par exemple l’obtention de permis environnementaux. Mais où va-t-on s’arrêter. On va finir par couper des forêts pour installer des éoliennes? Peut-être avez-vous entendu parler du scandale PFAS? En Belgique maintenant, dans certaines régions, les gens ont parfois peur de boire l’eau potable à cause de la pollution. Et on veut faciliter ça? 
Je sais bien qu’on a ici deux anciens PDG qui présentent la nouvelle stratégie industrielle technologique, mais quand même... l’État ne doit pas être au service du privé, du patronat et du profit, mais au service des gens.
"
Marc BOTENGA,2023-11-08,FR,Conclusions of the European Council meeting of 26-27 October 2023 - Humanitarian crisis in Gaza and the need for a humanitarian pause (joint debate - Conclusions of the European Council and the humanitarian crisis in Gaza and the need for a humanitarian pause),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-08-INT-1-135-5000_FR.html,"  Marc Botenga (The Left),  par écrit. – Chers collègues, vous voyez le massacre israélien en cours à Gaza. Vous voyez les bombardements des hôpitaux, des écoles des Nations unies, de boulangeries. Vous entendez les ONG, les médecins, et les Nations unies qui demandent un cessez-le-feu immédiat. Vous entendez les responsables israéliens appeler de fait au nettoyage ethnique. Mais vous, ici, vous refusez de ne fut-ce que de parler d’un cessez-le-feu.
Je m’adresse particulièrement à cette coalition de socialistes, libéraux et conservateurs qui vient de saboter notre demande de débattre et adopter une résolution sur un cessez-le-feu. Je m’adresse à la Commission européenne qui n’a toujours pas levé le petit doigt pour obliger Israël à respecter le droit international. Plus de 4 000 enfants palestiniens tués, et vous refusez même de parler d’un cessez-le-feu.
Quand la Russie frappait un hôpital ukrainien, vous vous révoltiez. Quand Israël frappe un hôpital palestinien, vous soutenez. Quand la Russie frappe une infrastructure civile en Ukraine, vous imposez des sanctions. Quand Israël fait pareil, limite vous applaudissez. Ces «deux poids, deux mesures» enlèvent à l’Union européenne toute crédibilité en matière de droits humains. Il est temps de suspendre l’Accord d’association avec Israël. Temps d’imposer un embargo militaire et de retirer la délégation européenne d’Israël.
"
