MP,Date,Language,Title,Url,Content
Marc TARABELLA,2023-12-12,FR,Framework for ensuring a secure and sustainable supply of critical raw materials (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-046-0000_FR.html,"  Marc Tarabella (NI).   – Monsieur le Président, qu’il s’agisse de smartphones ou encore de panneaux solaires, les matières premières critiques font partie de notre quotidien. Des métaux tels que le lithium ou le cobalt sont devenus les enjeux cruciaux, sur le terrain, des joutes géopolitiques. L’ensemble des crises que nous traversons ne fait qu’accroître cette tendance. Il est donc fondamental que l’Union européenne réduise sa dépendance vis-à-vis des pays tiers sur les matières premières et renforce ses propres chaînes d’approvisionnement.
Ajoutons que ces mesures, qui concernent également la coopération avec des pays tiers, doivent absolument respecter les droits fondamentaux, plus particulièrement les droits des travailleurs, les communautés locales, mais aussi l’environnement. Voici donc une chance de renouer avec une vision stratégique européenne qui, en plus, intègrera le principe du devoir de vigilance, que nous avons soutenu ici avec force.
"
Marc TARABELLA,2023-12-12,FR,Parliament’s call for the right to disconnect - three years on (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-225-0000_FR.html,"  Marc Tarabella (NI).   – Monsieur le Président, je le rappelle, le droit à la déconnexion est le droit fondamental des employés de se déconnecter, de ne pas être joignables en dehors des heures de travail. Il est aberrant d’entendre encore aujourd’hui, en 2023, des employeurs remettre en question ce droit. Des patrons, des managers, des directeurs, des politiques même, estiment que ce droit est une entrave pour leur entreprise et un obstacle à leur recherche de rentabilité. À tous ceux-là qui n’ont toujours pas compris ce qu’était un droit fondamental, je citerai un chiffre: 300 millions.
Oui, chers collègues, 300 millions de personnes à travers le monde souffrent aujourd’hui de dépression et de troubles mentaux liés au travail. Il n’y a plus le moindre doute qu’une connectivité de chaque instant pour des raisons professionnelles peut avoir de graves conséquences sur la santé de nos citoyens. Le droit à la déconnexion est donc un droit fondamental; qu’il soit inscrit dans le droit de l’Union européenne est une évidence. 
Qu’il me soit enfin permis, Monsieur le Commissaire Schmit, de vous féliciter pour cet engagement sur ce sujet, comme dans tous ceux que vous avez portés et que vous continuez de porter durant cette législature.
"
Marc TARABELLA,2023-11-21,FR,Sustainable use of plant protection products (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-069-0000_FR.html,"  Marc Tarabella (NI).   – Madame la Présidente, je profite de ce débat pour aborder la question des pesticides, bannis en Europe mais exportés dans le reste du monde. Car oui, de trop nombreux pesticides, interdits d’utilisation en Europe, sont encore aujourd’hui exportés hors de notre continent.
Cette pratique est profondément choquante et va totalement à l’encontre de l’éthique. En effet, si ces produits sont aujourd’hui interdits sur le marché européen, c’est précisément parce que leur usage est nocif pour la santé humaine, l’environnement et la biodiversité. Ce qui n’est pas bon ici ne l’est pas ailleurs, et déverser ailleurs ce que nous estimons toxique chez nous est meurtrier.
C’est meurtrier, mais aussi complètement idiot quand on sait que les produits que nous importons de ces pays contiennent les pesticides dont nous avons voulu nous débarrasser. Ils finissent donc dans nos assiettes. La bêtise est souvent un boomerang, mais les victimes, une fois encore, ce sont les citoyens. Il faut donc interdire l’exportation de ces pesticides bannis dans tous les États membres et contrôler que cette interdiction soit bien respectée.
"
Marc TARABELLA,2023-11-21,FR,Packaging and packaging waste (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-251-0000_FR.html,"  Marc Tarabella (NI).   – Monsieur le Président, mettre en place un Pacte vert européen est un impératif. Une priorité. Certains s’entêtent en se disant que tout va bien, ou que tout finira par s’arranger. Il n’en est rien. Parmi toutes les mesures que nous tentons de mettre en place à l’échelle de l’Union pour donner une chance aux générations à venir et lutter contre cette source croissante de déchets, les nouvelles règles en matière d’emballage ont toute leur place.
En moyenne, chaque Européen génère 188 kilos de déchets d’emballages par an. C’est énorme. C’est d’ailleurs onze kilos de plus que l’année précédente. Cela nous démontre surtout qu’il est indispensable de légiférer sur la question, car vu que de nombreuses entreprises ne comprennent pas d’elles-mêmes que les ressources de la planète ne sont pas inépuisables, et qu’elles préfèrent privilégier leur propre bénéfice plutôt que l’intérêt général, il n’y a plus d’autre choix que d’imposer des règles strictes. 
Et à ceux qui diront que personne ne le fait dans le monde, je répondrai qu’il faut bien commencer quelque part, et que si l’Europe peut être pionnière en matière de recyclage, nous devrions en être très fiers. 
"
Marc TARABELLA,2023-11-20,FR,Common rules promoting the repair of goods,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-177-0000_FR.html,"  Marc Tarabella (NI).   – Madame la Présidente, 35 millions de tonnes de déchets, je ne sais pas si on peut s’imaginer. C’est ce que représente chaque année la destruction d’objets réparables qui ne sont pourtant pas réparés. Mais ce n’est pas tout. Au-delà de ces 35 millions de tonnes d’objets qu’on ne répare pas, il y a le coût environnemental. Cela représente pas moins de 30 millions de tonnes de ressources gaspillées et une addition de 261 millions de tonnes d’émissions de gaz à effet de serre, rien que pour l’Union européenne.
N’en jetez plus, la coupe est pleine. Et puis, il y a les conséquences sur le portefeuille du citoyen qui, en devant remplacer souvent faute de pouvoir réparer, débourse annuellement 12 milliards d’euros. C’est inacceptable, évidemment.
Il est donc primordial de faciliter la possibilité de réparer et de permettre aux citoyens de consommer plus durablement. Réparer plutôt que remplacer, tel doit être le mot d’ordre dès à présent. Je félicite le rapporteur René Repasi, pour son engagement sur ce sujet fondamental pour les consommateurs, et plus largement pour notre société.
"
Marc TARABELLA,2023-11-09,FR,System of own resources of the European Union (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-09-INT-2-055-0000_FR.html,"  Marc Tarabella (NI).   – Madame la Présidente, l’Europe veut servir de rempart pour les citoyens contre les crises économiques, sociales et climatiques et, on le constate tous les jours, la question budgétaire dans ces combats est centrale. Nous devons nous engager pleinement dans la transformation profonde de notre modèle économique, un modèle dans lequel l’Europe peut s’appuyer budgétairement sur des ressources propres, un modèle dans lequel seraient pris en compte une réelle taxe sur les transactions financières, un impôt sur la fortune pour les particuliers, une extension de la taxe sur les bénéfices excédentaires à tous les secteurs ayant profité des crises mondiales, une taxe européenne minimale sur les plus-values et tous les éléments qui pourront permettre enfin d’établir plus de justice fiscale. 
Il est impératif pour l’Europe d’avoir un système de financement du budget plus transparent, plus équitable, et de doter l’Union européenne de ressources propres. Continuer à dépendre uniquement des dotations nationales n’a aucun sens. Nous empêcher de prélever directement des rentrées constitue un handicap quasi insurmontable si l’on veut mener des politiques audacieuses, courageuses, solidaires, autonomes, qui vont dans le sens de l’intérêt général. 
"
Marc TARABELLA,2023-10-19,FR,European protein strategy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-19-INT-4-055-0000_FR.html,"  Marc Tarabella (NI).   – Madame la Présidente, l’Union européenne importe plus de deux tiers de ses protéines végétales: ce constat résume à lui seul l’enjeu de ce texte.
C’est évident: il nous faut réduire au maximum notre dépendance – et cela a été dit – en matière protéique, tout en favorisant la transition écologique.
Cette hyperdépendance, l’Europe l’a voulue, en signant les accords de Blair House, voici plus de trente ans déjà. Aujourd’hui, à peine 30 % des protéines végétales – légumineuses ou oléagineux –, surtout utilisées pour l’alimentation animale, sont produites en Europe. Le soja, par exemple, provient du Brésil ou des États-Unis à plus de 90 %.
Il est donc logique que nous exigions une stratégie européenne ambitieuse en matière de protéines végétales.
J’invite d’ailleurs la Commission européenne à revenir à la raison, elle qui a du mal à accepter cette évidence. Je plaide depuis toujours pour un couplage significatif des aides de la PAC pour encourager la production de protéines végétales au niveau européen.
Enfin, je rappelle que, outre la souveraineté alimentaire, nourrir les animaux d’élevage avec des protéines produites localement favorise les circuits courts, ouvre de nouvelles perspectives à nos agriculteurs et, a fortiori, sera bénéfique à la lutte contre le réchauffement climatique.
"
Marc TARABELLA,2023-10-19,FR,Generational renewal in the EU farms of the future (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-19-INT-4-109-0000_FR.html,"  Marc Tarabella (NI).   – Monsieur le Président, aujourd’hui, en Europe, un agriculteur sur quatre a plus de 60 ans.
Cette situation est alarmante, mais elle n’est pas nouvelle. Ce qui l’est, c’est que ce constat s’accélère dangereusement, quand on se souvient que, il y a cinq ans, seul un agriculteur sur cinq avait plus de 60 ans, et que, il y a dix ans, c’était seulement un sur dix.
Qui plus est, l’installation de jeunes agriculteurs stagne, elle diminue même dans certains pays.
Les écarts de revenus entre le secteur primaire et les autres secteurs économiques, l’immobilité du marché foncier, l’absence de dispositions appropriées pour gérer les transferts d’exploitations, mais aussi la difficulté extrême d’accès aux financements pour les jeunes agriculteurs: tous ces problèmes doivent être urgemment solutionnés.
Il est largement temps que le Parlement européen et plus largement toutes les institutions européennes élèvent ce problème au rang de priorité.
La disparition des agriculteurs dans les fermes à taille humaine signifierait la fin de la relocalisation de la production de la nourriture – une menace pour l’économie locale, une menace pour l’environnement et une menace sur l’existence même de la ruralité. Je pense que personne, ici, ne le veut.
"
Marc TARABELLA,2023-10-05,FR,The new European strategy for a better internet for kids (BIK+) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-05-INT-4-088-0000_FR.html,"  Marc Tarabella (NI).   – Madame la Présidente, bien qu’Internet soit un espace formidable où il est possible de s’instruire, d’échanger, d’informer et de s’organiser, de militer et de prendre conscience de son pouvoir d’agir, c’est aussi un espace ambivalent. Les plateformes en ligne ne sont pas des espaces neutres. Toutes les discriminations et les oppressions que l’on peut constater hors ligne sont décuplées en ligne.
Le constat est sans appel: près d’un enfant sur trois est victime de cyber-harcèlement au moins une fois dans sa vie en Europe. Chaque année, de nombreux jeunes sont jetés dans le désarroi, la détresse, certains allant même jusqu’au suicide. Le harcèlement à l’école trouve un relais facile dans les technologies en ligne et se poursuit ainsi en dehors de l’école.
Il est essentiel de mieux outiller ces écoles pour prévenir et gérer les cas de harcèlement, multiplier les canaux où une communication ouverte est possible, être capables d’écouter les victimes, de sensibiliser les témoins, d’identifier les harceleurs. Bref, cette approche doit s’inscrire dans une politique globale de lutte contre le harcèlement afin de prévenir le phénomène qui a déjà brisé trop de destins et de vies. 
"
Marc TARABELLA,2023-10-04,FR,The proposed extension of glyphosate in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-263-0000_FR.html,"  Marc Tarabella (NI).   – Monsieur le Président, j'en parlais déjà ce lundi, le hasard du calendrier de cette plénière fait que, cette semaine, nous débattons de la question de l'amiante et de celle du glyphosate. Et j'évoquais la similitude effrayante entre le slogan publicitaire de l'amiante à l'époque et celui du Roundup de Monsanto. Les deux publicités expliquent sans honte que tant l'amiante que le glyphosate sont propres, durables et en harmonie avec la nature. 
Une autre similitude m'a marqué dans la conclusion du prospectus pour l'amiante, et je cite mot pour mot: «les problèmes posés par l'amiante ne sont rien comparé aux immenses services qu'il vous rend chaque jour». C'est le même argument qui nous a servi aujourd'hui sur le glyphosate. Cela fait froid dans le dos quand on sait que l'amiante fait encore 70 000 morts par an en Europe. 
Je le dis et je le répète, la recherche scientifique et le progrès, oui, mais prendre les Européens pour des cobayes, non. Amiante, glyphosate, ne commettons pas les mêmes erreurs.
"
