MP,Date,Language,Title,Url,Content
Marco CAMPOMENOSI,2023-11-09,IT,Outcome of the EU-US summit (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-09-INT-2-014-0000_IT.html,"  Marco Campomenosi,  a nome del gruppo ID. – Signor Presidente, signora Commissaria, signora rappresentante del governo spagnolo, onorevoli colleghi, ovviamente questi incontri sono importanti e condivido assolutamente le parole pronunciate dalla Commissaria, però serve anche che noi, a livello europeo, maturiamo una consapevolezza su quali sono i nostri obiettivi politici e macroeconomici.
Continuare a perseguire, con una certa visione ortodossa, le visioni di un WTO che oggi non sono più attuali rischia di isolarci, perché gli Stati Uniti con l'IRA ci hanno dimostrato cosa si deve fare per attirare gli investimenti e la Cina, con la stretta sulle terre rare che esporterà sempre meno, ci creerà delle difficoltà. Quindi dobbiamo fare delle politiche che difendano la nostra produzione di acciaio e la nostra industria della difesa per attrarre anche noi investimenti e – attenzione – per proteggere catene del valore che, come ci insegna la crisi geopolitica gravissima che stiamo vivendo a livello mondiale, sono sempre più fragili. Ovviamente anche altri temi, come il ciberterrorismo, ci devono vedere protagonisti.
Attenzione anche a un altro aspetto: a livello legislativo abbiamo introdotto una tassazione delle emissioni alle imprese europee col sistema ETS e con altri strumenti, come il CBAM alle frontiere, che creeranno potenzialmente un rischio di competitività per le nostre imprese, perché i nostri partner internazionali ci hanno detto che questi strumenti non vorranno adottarli.
Quindi, secondo me, nei prossimi anni dovremo cambiare anche tipo di approccio: meno dirigismo e maggiore attenzione anche alle crisi sociali che ci saranno e che richiederanno un'attenzione economica e macroeconomica differente e meno attenta ai vincoli di mercati che non guardano all'impatto sociale di certe norme e accordi internazionali.
"
Marco CAMPOMENOSI,2023-10-18,EN,Fighting disinformation and dissemination of illegal content in the context of the Digital Services Act and in times of conflict (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-365-0000_EN.html,"  Marco Campomenosi (ID).   – Mr President, I’m quite shocked about the support that this Parliament has given to the European Commission because honestly, right of speech should be something on which you should be more attentive.
Less than one year ago, this Chamber approved the Digital Services Act, and we are already witnessing the dangers of arbitrary enforcement of its policy. Of course, the aims are agreed by all of us, but if you are sincere, dear Commissioner, you should know very well how complicated it is to reach these aims.
In the dramatic clashes between Israel and Hamas, the Israeli Government, Ministers and army are using social media such as X, for example, to share information, documents and press releases. Both sides of the conflict are doing that. Social media are not the holders of a truth, but a mirror of the war, reflecting what is happening. Our role should not be to say what is good or bad, what is fake or true. In particular, it has just happened during the last terrorist attacks in Brussels. We have seen all of this.
But regarding the activity of social media, because this is particularly facing against X, X is the only platform which has open source algorithms, which is public access and which allows journalists to independently verify the news. It is a model of transparency in that way.
‘Freedom of speech, but not freedom of reach’ is a principle that they use, and which is deleting hateful content. Community rules, one notes, are working quite well, and you did not consider the fact that they deleted a lot of illegal content on child pornography and violence against children. You did not mention what happened with the so-called Twitter files, what has been done in the past against content which was not illegal, but which was not liked by the shareholders of the social media owners. 
This is the risk. The risk is that the DSA will cause the deletion of legitimate content and not content which is violating rules. So I am afraid citizens are not enough informed, because traditional media are playing a game because they believe that they will have an advantage.
"
Marco CAMPOMENOSI,2023-10-04,IT,"Need to complete new trade agreements for sustainable growth, competitiveness and the EU’s strategic autonomy (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-346-0000_IT.html,"  Marco Campomenosi,  a nome del gruppo ID. – Signora Presidente, onorevoli colleghi, signora Commissaria, competitività, crescita e autonomia strategica sono tutti obiettivi che condividiamo, li condividiamo assolutamente tutti. Il problema è che quello che sta avvenendo in questi anni è esattamente il contrario, e non è certo colpa della Commissione, è colpa di tanti fattori e forse stiamo facendo troppo un'analisi su noi stessi e meno su quanto avviene nel resto del mondo.
C'è un dato: gli Stati Uniti – visto che parliamo tanto di Cina – da pochi mesi stanno importando di più dal Messico che dalla Cina. Questo è un dato che non era tale almeno dal 2003. E noi il nostro Messico ce l'avremmo, c'è tutta un'area del Mediterraneo dove dobbiamo canalizzare investimenti, crescita e stabilità per accorciare filiere da cui abbiamo dipeso troppo a lungo e che sono troppo fragili. Quindi, l'impatto che potranno avere gli accordi di libero scambio – certo, alcuni sono molto positivi – non credo sarà così fondamentale se non diminuiamo la dipendenza da alcuni soggetti.
Il Green Deal, per come lo abbiamo legiferato, non fa altro che aumentare la nostra dipendenza dalla Cina. Abbiamo parlato tanto di materie prime e di risorse energetiche. Ci sono delle tensioni nei mercati delle cosiddette commodities che sono importanti. Ha fatto bene von der Leyen a dire, qualche settimana fa, che vuole aprire un'indagine sull'automobile cinese, ma è un po' tardi, è già la più venduta auto elettrica in Spagna e in altri paesi dell'Unione.
Sul GSP, il sistema di preferenze generalizzate, siamo bloccati perché ci sono gruppi politici che non vogliono inserire in quello che è un testo complesso, ambizioso e importante l'impegno dei paesi che beneficiano degli accordi commerciali con noi, della ricollocazione di quei cittadini che non hanno diritto a stare dalle nostre parti.
Potrei parlare del rottame di acciaio che esportiamo in Turchia, che ce lo rivende poi lavorato, invece è una risorsa importante che serve alla nostra industria.
Insomma, non vorrei che qui continuassimo a essere gli unici e i soli a difendere il WTO e il suo sistema di regole, creando deindustrializzazione nel nostro continente e un processo di delocalizzazione delle missioni che mi sembra alquanto ipocrita.
"
Marco CAMPOMENOSI,2023-09-13,IT,Opening of negotiations of an agreement with the United States of America on strengthening international supply chains of critical minerals (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-274-0000_IT.html,"  Marco Campomenosi,  a nome del gruppo ID. – Signor Presidente, signora Commissaria, onorevoli colleghi, la risoluzione ovviamente la sosteniamo anche noi, mi sembra di buon senso. Però ricordo benissimo le reazioni della Commissione quando gli Stati Uniti presentarono questo progetto.
Io non sono un difensore della presidenza Biden, ma loro per raggiungere gli stessi obiettivi che ci diamo noi con la transizione ecologica – certo, probabilmente hanno violato qualche regola dell'OMC, probabilmente sono stati accusati giustamente di protezionismo – hanno saputo attirare investimenti privati che noi ci sogniamo e che noi non siamo stati in grado di attirare in questo momento storico importante. E l'hanno fatto con un semplice provvedimento. È chiaro che dobbiamo chiedere loro adesso, con il cappello in mano, di andare lì e vedere se anche le nostre imprese potranno beneficiare di questi strumenti.
Ma parlare di protezionismo, essere gli unici nel mondo a difendere i principi e le regole di una OMC che di fatto non esiste più, di un mondo che vede gli Stati Uniti da una parte e la Cina ancora di più dall'altra fare interessi totalmente opposti rispetto a quelli che sono gli obiettivi di una OMC che oggi, forse nel 2023, non ha più senso rispetto a come era nata, ecco, non credo che sia utile al nostro sistema produttivo e alla nostra economia.
Addirittura noi qui siamo partiti con un processo legislativo intensissimo sulla transizione ecologica e solo dopo ci siamo accorti che, sì, forse occorre una strategia sulle materie prime o forse occorre muoversi sulle materie prime critiche in particolare, che poi hanno tutto un tema relativo anche alla raffinazione che è chiaro che ci vede in una situazione di difficoltà ma questo lo sapevamo molti di noi lo dicevano già da prima.
E oggi von der Leyen, nel suo intervento sullo stato dell'Unione, ha detto anche chiaramente che vorrà intervenire sull'automobile cinese perché ci sono le sovvenzioni. Benissimo, sono d'accordo, ma è tardissimo. Oggi quella automobile è già la più venduta in alcuni paesi dell'Unione, come la Spagna.
Ci sono delle capacità sui costi che era abbastanza facile prevedere e che sono ben diverse da quello che è il costo della transizione nella nostra economia. C'è un problema di competitività che va risolto in maniera concreta e possibilmente rapidamente. 
"
Marco CAMPOMENOSI,2023-09-12,IT,Iran: one year after the murder of Jina Mahsa Amini (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-300-0000_IT.html,"  Marco Campomenosi,  a nome del gruppo ID. – Signor Presidente, onorevoli colleghi, anch'io sono arrabbiato con Borrell; però so che non è solo colpa sua. Purtroppo siamo qui a commemorare, dopo un anno, la morte di Mahsa Amini, la ventiduenne curda iraniana che si è sacrificata per la libertà; siamo qui a una commemorazione che spero abbia un senso politico perché, certo, la Commissione non ha fatto quello che noi abbiamo chiesto, ma anche i governi, gli Stati nazionali, gli amici e partner americani hanno, a mio avviso, diminuito la pressione nei confronti di un regime che invece va combattuto. 
La repressione di minoranze etniche e religiose continua; il supporto al terrorismo c'è; le esecuzioni sono, nel 2023, almeno 510 e sono quasi tutte sommarie; avvelenamenti di giovani, arresti di europei come arma di ricatto per liberare i terroristi. 
Il Presidente Raisi sappiamo che ha delle responsabilità precise nelle repressioni del 1988, quando era un giudice e quindi ricopriva un altro ruolo. E quindi noi ci dividiamo, ci dividiamo anche nel supporto alle opposizioni. Anche questa è una cosa che non mi è piaciuta per niente. 
C'è un'ipocrisia anche sul fatto che l'omicidio, la morte di Mahsa Amini nasce da un'interpretazione fanatica di una religione. Anche questo è un tema che va menzionato. E poi – lei lo ha detto – ci sono delle influenze esterne, certo, nella guerra in Ucraina ma non solo lì, anche in Iraq, in Libano e nel Nagorno Karabakh addirittura. 
Quindi facciamo in modo che il sacrificio di questi giovani non sia vano perché veramente è imbarazzante rispetto a un ruolo che vogliamo darci al cospetto del resto del mondo, perché, sinceramente, questo Parlamento ha scritto delle cose che sono applicabili e su cui bisogna lavorare tutti insieme.
"
Marco CAMPOMENOSI,2023-06-14,IT,Make Europe the place to invest (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-14-INT-3-225-0000_IT.html,"  Marco Campomenosi,  a nome del gruppo ID. – Signora Presidente, onorevoli colleghi, signor Commissario, un saluto anche alla Presidenza svedese. Purtroppo, probabilmente in questi quattro anni c'è stato un eccesso di retorica da parte di tutti. Da parte della Commissione nell'annunciare certi strumenti e da parte anche di noi parlamentari, sia chi è a favore sia chi è critico nei confronti dell'attività della Commissione. 
Una voglia di annunciare strumenti che poi nei fatti non hanno creato ciò di cui stiamo parlando, ovvero di una situazione, di un ambiente favorevole agli investimenti. È dal famoso piano Juncker che forse avremmo dovuto imparare che certi strumenti necessitano di tutta una serie di circostanze. Quando la Presidente von der Leyen parla poi di un fondo sovrano io corro al vocabolario anche per comprendere che cosa è un fondo sovrano rispetto a ciò che la stessa propone. 
Abbiamo passato delle crisi incredibilmente gravi, ma non ne abbiamo approfittato in alcuni ambiti importanti. Non abbiamo migliorato e reso più moderne le norme sugli aiuti di Stato, non abbiamo aggiornato le regole sulla concorrenza e non abbiamo superato in campo economico l'austerità. Ci stiamo lavorando, ma è un processo molto, molto difficile.
A mio avviso, le politiche green del ""Fit for 55"" creano ulteriori difficoltà per fare sì che l'Europa sia un luogo dove gli investimenti arrivino. La scelta di non favorire la neutralità tecnologica e l'aumento a dismisura della dipendenza che in futuro avremo dai grandi player asiatici rendono tutto veramente complicato. 
Purtroppo sulle materie prime la Commissione europea arriva tardi. Avremmo dovuto avere un piano prima di queste norme. E allora perché dico questo? Dico questo perché gli Stati Uniti contemporaneamente con l'IRA attivano uno straordinario strumento che sta spostando interessi e investimenti in maniera decisiva e importante. Bene fa la Commissione a negoziare con gli americani perché il rapporto transatlantico sarà importante, ma come è stato valutato inizialmente quello strumento era esageratamente negativo, mentre invece dovremmo prendere spunto.
Sulle politiche commerciali dovremmo essere un po' più attivi e purtroppo secondo me abbiamo perso molto tempo e il nearshoring deve diventare veramente, nell'interpretazione della globalizzazione, uno strumento importante. 
Poi ci sono cose positive: la Banca europea degli investimenti, le politiche sull'innovazione, la revisione del Quadro finanziario pluriennale che deve essere un momento in cui possiamo indirizzare meglio certi strumenti perché il rischio è che il nostro continente nei prossimi decenni sia irrilevante a causa della mancata capacità di essere competitivi sugli scenari globali, e questo è quello che vorrei scongiurare.
"
Marco CAMPOMENOSI,2023-04-18,IT,Situation in Peru (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-18-INT-2-287-0000_IT.html,"  Marco Campomenosi,  a nome del gruppo ID. – Signor Presidente, signor Alto rappresentante, io sono d'accordo con Lei e con il Suo approccio. 
È chiaro che noi dobbiamo auspicarci che siano i peruviani a poter decidere democraticamente sul loro futuro. Il fatto che quello sia uno scenario di crisi e di instabilità lo sappiamo da tanti anni, da tanto tempo. Io mi rifiuto anche di prendere una posizione di parte. Tra l'altro, da ligure della provincia di Genova conosco tante persone, ne ho anche nella mia famiglia, che hanno scelto, tanti anni fa, di migrare verso quell'area.
C'è un tema di instabilità degli investimenti, c'è un tema della Cina che rimpiazza aziende europee in alcuni investimenti importanti. Lo scenario delle elezioni del 2024 sarà molto delicato e dovrà essere osservato con attenzione, ma io sottolineo un altro aspetto ancora, quello delle risorse naturali. Il Nord America ha interessi fortissimi, il Messico ha proposto al Perù una sorta di OPEC del litio. Ecco, non vorrei che dietro certi movimenti ci siano anche interessi fortissimi.
Anche noi, come legislatori europei, che andiamo verso una transizione di un certo tipo, dobbiamo considerare gli effetti geopolitici delle nostre scelte sui temi delle risorse naturali.
"
Marco CAMPOMENOSI,2023-04-18,IT,EU relations with Iraq (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-18-INT-2-427-0000_IT.html,"  Marco Campomenosi,  a nome del gruppo ID. – Signora Presidente, grazie signor Commissario per essere qui, grazie ai colleghi che erano anche con me sia alcuni nella missione elettorale nel 2021 sia nella più recente visita che abbiamo compiuto come delegazione.
Sono tante le immagini che non dimenticherò mai più nella mia vita. Un popolo che esce da quarant'anni di guerre. Responsabilità importanti anche di noi occidentali. Influenze esterne come quelle della Turchia e dell'Iran che determinano effetti molto negativi e problematici. Una questione curda ancora da risolvere. Sono solo alcuni dei temi che rendono l'idea della complessità di una realtà di cui ci dobbiamo occupare.
Partiti politici che hanno le milizie militari, milizie che diventano partito politico. Un settarismo politico e religioso che somiglia tanto a quello che ha distrutto il Libano. Uomini e donne occidentali, uomini, nostri militari che addestrano e formano gli iracheni e spesso fanno anche un sacrificio in questo senso e minoranze che vanno tutelate maggiormente, anche magari con il nostro interesse.
Proprio in queste ore la comunità yazida festeggia l'inizio del nuovo anno. Ho visitato i loro templi, i templi che sono tornati a vivere. Il popolo yazida ha subito un genocidio, che il Parlamento tedesco al Bundestag ha riconosciuto e che mi piacerebbe che un giorno potessimo riconoscere anche qua. Ho visitato anche le chiese cristiane che si sono ripopolate.
Queste comunità, insieme ai curdi, insieme agli iracheni, hanno lottato e ci hanno aiutato a liberarci dall'Isis. Insomma, tutti dobbiamo qualcosa a loro. Ed è proprio grazie a loro che l'Isis oggi è un fenomeno residuale, quasi del tutto sconfitto.
Ecco, la fragilità di questo popolo, il suo futuro, il futuro dell'Iraq e del Kurdistan ci riguardano e dobbiamo occuparcene maggiormente. Quindi, sottolineo quanto ha detto il Commissario e condivido assolutamente tutto.
"
Marco CAMPOMENOSI,2023-03-29,IT,Formal sitting - Ceremony on the 25th anniversary of the Good Friday Agreement,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-29-INT-1-016-0000_IT.html,"  Marco Campomenosi,  a nome del gruppo ID. – Signora Presidente, onorevoli colleghi, io il 10 aprile 1998 ero un giovane militante e seguivo la questione irlandese con passione. Con l'accordo del Venerdì Santo ho imparato una lezione che porto dentro di me, che riguarda anche il tentativo necessario di comprendere le ragioni dell'altro quando ci si pone rispetto a un tema politico. In questo caso, poi, parliamo di un accordo che è servito a terminare decenni di spargimento di sangue nel nostro continente.
È per questo infatti che, tra gli appelli che sono già arrivati nei giorni scorsi, sottolineo quello delle Chiese cristiane, proprio perché la religione è stata usata da ambo le parti in alcune fasi del conflitto per renderlo più aspro. Quindi il loro appello, secondo me, è uno dei più importanti.
Ricordo bene come in questi venticinque anni l'accordo si sia dimostrato in parte anche fragile, ma una fragilità che è sempre stata nell'ambito di una discussione o, perché no, di un conflitto politico che non ha mai più visto parlare le armi, di un dibattito politico come nelle democrazie si dovrebbe fare, un dibattito che deve restare solo politico.
L'anniversario dei venticinque anni oggi giunge in maniera opportuna perché, come ha ricordato la Presidente della Commissione, il Regno Unito è giunto a un accordo con Bruxelles che, credo, favorirà commercio e sviluppo e, in questo senso, spero che quest'Aula, nei prossimi mesi e nei prossimi anni, possa cessare di avere nei confronti di Londra quell'atteggiamento spesso ostile che deriva ancora dal non aver accettato il risultato della Brexit.
Credo che in quest'anno la crisi geopolitica che stiamo vivendo, non solo in Ucraina e in altre parti del mondo, ci abbia insegnato che il rapporto che le nostre capitali hanno con Londra è basato su valori, sull'adesione a organismi internazionali e sulla lotta al terrorismo internazionale, che superano ogni possibile divisione e lontananza.
Però è chiaro che i nostri dibattiti spesso qui sono retorici, ma gli eventi sono il risultato di ogni periodo storico. Ogni epoca ha i suoi protagonisti. Il lavoro di donne e di uomini è ciò che determina, poi, il raggiungimento di obiettivi politici. Per questo credo che nelle nostre attività di politici sia importante prendere anche esempio da chi venticinque anni fa ha saputo, in Irlanda e nel Regno Unito, lavorare per la pace, ponendo fine a decenni di conflitto.
Ecco, se posso fare un appello, cerchiamo tutti noi di essere all'altezza di chi ci ha preceduto, degli uomini che hanno fatto grande il nostro continente, per conseguire obiettivi di pace, di benessere e di libertà in tutti gli scenari.
"
Marco CAMPOMENOSI,2023-02-16,IT,Availability of fertilisers in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-02-16-INT-4-083-0000_IT.html,"  Marco Campomenosi (ID).   – Signora Presidente, onorevoli colleghi, un minuto non basta per parlare di questi temi, però mi piace sottolineare alcuni aspetti. La risoluzione che andiamo a votare è importante e positiva, e credo che tutti i gruppi la andranno a sostenere, e rimette un po' al centro il tema agricoltura rispetto alle pressioni di tipo ambientale, che su questo settore ci sono state fortemente in questi anni. Ma il tema dei fertilizzanti riguarda tanti aspetti, lo hanno detto anche diversi colleghi.
C'è una questione geopolitica, c'è una difficoltà di reperimento per i nostri agricoltori, c'è un tema di costi, e questo riguarda tanti aspetti di chi produce nel nostro continente, e una necessità di aumentare la capacità produttiva. Questo, della necessità di aumentare la capacità produttiva, per cui i fertilizzanti nascono e sono importanti, è un tema di cui abbiamo discusso nella PAC e in tutto il pacchetto ""Farm to Fork"" e abbiamo dovuto trovare dei compromessi, e non è stato facile considerare questo aspetto.
Serve però del pragmatismo. Occorrerebbe, per esempio, fermare la direttiva sui fitofarmaci, ma questo lo sappiamo già. Occorre che le alternative biologiche in fatto di fertilizzanti vengano agevolate, perché non c'entrano per esempio nulla con la direttiva sui nitrati, ma anzi servono per non impoverire il suolo, perché quello che dobbiamo fronteggiare è una capacità produttiva, lo ripeto, che deve essere in grado di soddisfare le esigenze del nostro continente.
Servono piani energetici, serve un sostegno economico, serve la capacità di dare alla nostra agricoltura un quadro di competitività, che purtroppo è mondiale e che deve vedere fronteggiata una concorrenza di chi non è soggetto a un sistema di regole come il nostro. Sui fertilizzanti, insomma, possiamo fare molto e spero che la Commissione europea potrà prendere atto di quanto andremo a votare noi oggi.
"
