MP,Date,Language,Title,Url,Content
Marco ZANNI,2023-11-22,IT,"Humanitarian situation in Gaza, the need for the release of hostages and for an immediate humanitarian truce leading to a ceasefire and the prospects for peace and security in the Middle East (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-018-0000_IT.html,"  Marco Zanni,  a nome del gruppo ID. – Signor Presidente, onorevoli colleghi, ho sentito tanti colleghi interrogarsi sul motivo per cui, ancora una volta, su un tema di politica estera l'Europa è irrilevante. Basta vedere le posizioni prese dalle varie istituzioni europee dal 7 ottobre: non solo in Consiglio ma anche le altre Autorità hanno espresso posizioni divergenti, hanno iniziato un litigio personale che purtroppo negli scorsi mesi abbiamo visto troppo spesso. E badate bene che questo non è colpa dei nazionalismi ma è colpa dei personalismi, di chi antepone la propria carriera politica all'interesse comune. 
Passando alle questioni concrete, sicuramente accogliamo con piacere la notizia che una parte degli ostaggi verrà liberata presto. Ma è necessario, per capire bene quello che sta succedendo e quello che deve fare quest'Aula, comprendere quello che è successo il 7 ottobre e quello che sta succedendo in quell'area. Perché quello che è accaduto il 7 ottobre non è il grido di un popolo che reclama la propria sovranità ma è un atto terroristico di un'organizzazione che ha come obiettivo la cancellazione di uno Stato, perché questo è quello che è scritto nello statuto di Hamas e questo è quello che fa Hamas con i suoi sostenitori, compreso l'Iran.
Se quindi non comprendiamo questo punto, non possiamo capire quali sono le soluzioni concrete che possiamo portare avanti e non capiamo qual è il supporto che oggi quest'Aula e queste istituzioni devono dare allo Stato di Israele, che vive costantemente sotto la minaccia della sua distruzione. 
E un pensiero alla sinistra, al suo corto circuito, alla sua dimensione dialettica che su questi temi è come sempre l'autogol: da un lato, ogni giorno ci chiedono il rispetto per tutte le minoranze, per le persone LGBT, per le donne e, dall'altro, sostengono il fondamentalismo islamico che nega i diritti alle donne, che condanna a morte le persone omosessuali e che reprime la libertà.
"
Marco ZANNI,2023-10-04,IT,Need for a speedy adoption of the asylum and migration package (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-016-0000_IT.html,"  Marco Zanni,  a nome del gruppo ID. – Signor Presidente, onorevoli colleghi, ieri abbiamo commemorato l'anniversario della tragedia di Lampedusa, ricordando la memoria di quelle persone che hanno perso la vita in quel terribile naufragio, ma oggi la domanda che i cittadini europei si pongono è: cosa si è fatto in questi dieci anni per cercare di arginare questo fenomeno? E la risposta è sotto gli occhi di tutti: non si è fatto nulla. O meglio, solo una persona è riuscita ad arginare sbarchi e morti nel Mediterraneo, avendo peraltro tutti contro: le istituzioni nazionali e sovranazionali, organizzazioni non governative e, addirittura, la magistratura. E questa persona è Matteo Salvini, nel suo ruolo di ministro dell'Interno della Repubblica italiana.
E non sono io a dirlo, ma sono i numeri dell'Agenzia dell'ONU per i rifugiati, e questi numeri sono pubblici, li potete consultare tutti. Nel 2015 in Italia oltre 150 000 arrivi e quasi 3 000 tra morti e dispersi, nel 2016 oltre 180 000 arrivi e più di 4 500 morti, nel 2017 120 000 e 3 000 morti, tutti sotto i governi della sinistra. E cosa succede nel 2018? Un rappresentante delle istituzioni eletto dal popolo stabilisce un principio che dovrebbe essere naturale: in Italia e in Europa si entra solo legalmente. Immediatamente nel 2018 gli sbarchi scendono a 23 000 e i morti a 1 300, nel 2019 ancora i morti si dimezzano e gli sbarchi si dimezzano. Si arriva al punto più basso, il massimo della protezione delle frontiere esterne dell'Europa. Finita l'esperienza di questo governo, i numeri sono ritornati rapidamente a esplodere.
Quindi, alla fine di questa analisi di questi numeri, vorrei chiedere a tutti voi chi in Europa negli ultimi dieci anni ha contribuito maggiormente a evitare tragedie e morti innocenti. Mi sembra che i numeri parlino chiaro. Questo per sintetizzare un concetto molto semplice: si deve partire dal blocco delle partenze e dal blocco delle morti. Se c'è una forte volontà politica questo si può fare.
"
Marco ZANNI,2023-09-13,IT,State of the Union (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-020-0000_IT.html,"  Marco Zanni,  a nome del gruppo ID. – Signora Presidente, onorevoli colleghi, Presidente von der Leyen, non è che mi aspettassi i fuochi d'artificio dal suo discorso, che mi è parso più un manifesto elettorale che lancia la campagna per la sua riconferma alla Presidenza. Però, sinceramente, sono un po' disarmato nel pensare che le armi che lei ci ha annunciato in risposta alle crisi che oggi i cittadini europei stanno vivendo, siano tutto quello che la Commissione europea ha in programma di fare nei prossimi mesi.
E vado a snocciolare punto per punto quelli che sono stati i temi che lei ha sollevato, a partire dal Green Deal. Oggi abbiamo un'occasione storica, perché serve meno ideologia e più pragmatismo nel fare questa transizione, e con la dipartita del Commissario Timmermans, lei ha l'occasione di rimettere questa transizione su un binario davvero giusto, partendo da delle considerazioni che devono essere dette chiaramente: quando parliamo di cambiamento climatico non è l'Unione europea il problema, il problema non sono i nostri agricoltori, il problema non sono le nostre imprese, il problema non sono i nostri proprietari di immobili. 
Ci vuole davvero meno ideologia e più pragmatismo, altrimenti l'unico vincitore di questa transizione non sarà l'ambiente, non saranno i cittadini europei, ma sarà la Cina e ne abbiamo le avvisaglie. E passo a questo punto. Lei ha annunciato che la Commissione ha intenzione di agire su questo problema, con un'indagine sui sussidi. La mia domanda è: davvero oggi, nel 2023, la Commissione ha ancora bisogno di lanciare un'indagine su questo tema, quando è chiaro che la Cina fa concorrenza sleale? Lo sa anche mio figlio che non ha ancora cinque anni, quindi non ci aspettiamo indagini: ci aspettiamo che la Commissione europea faccia quello che deve fare per proteggere le nostre imprese, cioè imporre dazi a chi non rispetta le regole. 
E passo poi alla seconda proposta che lei ha annunciato: questa indagine sull'impatto della burocrazia e – se ho capito bene – ha intenzione di nominare un inviato speciale che farà da collettore tra lei e le piccole e medie imprese. Ancora una volta rimango di sasso: non abbiamo bisogno di un inviato speciale. Questi, gli eletti di quest'Aula, sono gli inviati speciali. Noi che parliamo tutti i giorni con le imprese non abbiamo bisogno di fare indagini, di fare i comitati o di fare tante altre belle cose. Serve meno burocrazia, le imprese ci chiedono meno leggi, leggi fatte meglio e più libertà, cosa che sembra ormai non più una priorità per la Commissione europea. 
E l'ultimo punto, l'immigrazione. Sono stati annunciati tanti provvedimenti, tante iniziative, ma ancora oggi a me non pare che l'Unione voglia risolvere questo problema e che a qualcuno faccia comodo che il peso di flussi migratori insostenibili ricada solo su pochi paesi. Questo punto è molto semplice: finché la linea dell'Unione europea su questo tema non sarà chiara, cioè che chi non ha diritto a entrare nell'Unione europea deve stare fuori, che l'immigrazione illegale è un reato e che non esiste che si possa parlare di redistribuzione se non si riducono le partenze, il problema non lo risolveremo mai. 
Mi auguro davvero che in questi mesi si cambi rotta e si cerchi di dare più spazio a quello che ci chiedono i cittadini e che non ha bisogno di comitati o inviati ma è abbastanza chiaro.
"
Marco ZANNI,2023-09-13,IT,State of the Union (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-093-0000_IT.html,"  Marco Zanni,  a nome del gruppo ID. – Signora Presidente, onorevoli colleghi, da questo dibattito sicuramente usciamo con una notizia positiva, cioè che questo è l'ultimo dibattito del collega Verhofstadt e, quindi, una prospettiva migliore per l'Unione europea. 
Per il resto, ribadisco quanto detto: non è il momento dei comitati, non è il momento dei gruppi di lavoro, non è il momento degli inviati speciali. Sappiamo quali sono i problemi e abbiamo bisogno di risposte concrete e veloci che ci aspettiamo dalla Commissione europea sui tre grandi temi: una revisione del Green Deal, perché questa transizione sia davvero giusta; un approccio davvero radicalmente diverso sull'immigrazione, soprattutto quella illegale, che deve essere dichiarata tale e, sull'economia, risposte concrete e non burocrazia e complicazioni. 
Fare meno e fare meglio deve essere la linea guida della Commissione nei prossimi mesi. 
"
Marco ZANNI,2023-07-12,IT,"Conclusions of the European Council meeting of 29-30 June 2023, in particular the recent developments in the war against Ukraine and in Russia (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-016-0000_IT.html,"  Marco Zanni,  a nome del gruppo ID. – Signor Presidente, onorevoli colleghi, sentendo i battibecchi odierni tra i rappresentanti della maggioranza in questo Parlamento c'è un dato politico che è molto chiaro: oggi la maggioranza che regge queste istituzioni non esiste più, non va più d'accordo sui punti focali dell'Europa e, soprattutto, su qual è il progetto e il modello d'Europa che vogliamo vedere nei prossimi 20 o 30 anni.
E io credo che di questo il Consiglio, e soprattutto la Commissione, debbano prendere atto, mettendo un freno a un approccio ideologico che rischia di creare delle fratture e rendere l'Europa un continente più povero, più arretrato e meno protagonista all'interno dello scenario globale.
Venendo alle conclusioni del Consiglio, bene che a distanza di quasi un anno e mezzo dall'invasione in Ucraina gli Stati membri abbiano confermato il supporto incondizionato al popolo ucraino, questo non era scontato. Va fatto però con pragmatismo.
Sappiamo che nell'avvicinamento dell'Ucraina alle istituzioni occidentali serve un percorso realistico, per due motivi: non far disillusionare il popolo ucraino e i nostri amici ucraini e non mostrare una posizione europea debole nei confronti della Russia e delle altre autarchie che supportano la guerra di Putin.
Per quanto riguarda l'economia, è importante che traiamo delle lezioni da quello che sta accadendo. Il green deal così come è impostato non va bene, non ha il supporto dei cittadini europei e quindi è bene ripensarlo in maniera pragmatica, prima che si compiano errori di cui ci pentiremo.
Quello che ha fatto il regime cinese la scorsa settimana è un segnale di grande allarme che noi abbiamo denunciato da molto tempo: non ha senso aver fatto uno sforzo immane per ridurre la dipendenza dall'autarchia russa per metterci mani e piedi dentro una minaccia ancora più grande, che è quella del regime cinese.
Quindi è importante che su questo ci sediamo insieme e ripensiamo a una transizione verde che non sia ideologica, che non sia pragmatica e che non abbia la faccia di un atteggiamento inaccettabile, che è quella del Commissario Timmermans.
Chiudo sull'immigrazione. Gli scontri avvenuti nella discussione in Consiglio, anche qui, sono un campanello d'allarme su quello che deve essere il percorso per la gestione di questo problema: riduzione dei numeri, riduzione delle partenze e una gestione intelligente e pragmatica dei flussi migratori.
L'Europa non si può far carico dei problemi del mondo. Alla fine, altrimenti, il rischio è che tutto il continente si trasformi in quello che purtroppo stiamo vedendo nelle periferie francesi.
"
Marco ZANNI,2023-06-14,IT,"Preparation of the European Council meeting of 29-30 June 2023, in particular in the light of recent steps towards concluding the Migration Pact (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-14-INT-3-019-0000_IT.html,"  Marco Zanni,  a nome del gruppo ID. – Signor Presidente, onorevoli colleghi, tre punti fondamentali su cui ci aspettiamo, in questo Consiglio, risposte concrete dalle istituzioni europee.
Il primo riguarda l'accordo che definirei storico sul tema dell'immigrazione raggiunto in Consiglio, che rappresenta però solo un piccolo passo, finalmente nella direzione giusta, di un processo che sarà più lungo e si deve concentrare oggi molto di più sulla dimensione esterna. Meno partenze vuol dire meno arrivi, vuol dire meno morti in mare, vuol dire più sicurezza per i nostri cittadini, vuol dire fare quello che fa uno Stato civile e uno Stato che rispetta lo Stato di diritto. 
Il secondo grande tema è quello della transizione industriale e mi fa piacere che, dopo quattro anni di propaganda ideologica, finalmente tanti in quest'Aula si stanno svegliando – è vero, a un anno dalle elezioni – e stanno capendo quanto sia folle l'ideologia green portata avanti dalle istituzioni europee e soprattutto da una maggioranza in questo Parlamento che ha fallito. 
I voti di queste settimane sono la dimostrazione che ci può essere una maggioranza in quest'Aula, pragmatica, che porta avanti in maniera pragmatica una transizione verde, che guarda sì al miglioramento dell'ambiente ma anche alle necessità di un'evoluzione economica e industriale contro l'ideologia di chi vuole riportare l'Europa al Medioevo. 
L'ultimo punto riguarda l'economia. Ci avviamo verso una stagione di minor crescita o addirittura di stagnazione ed è importante che le politiche dell'Unione europea su questo non siano politiche procicliche – mi riferisco alla revisione del Patto di stabilità e crescita e all'approccio della Banca centrale europea – ma siano politiche di supporto ai cittadini e alle imprese in un momento difficile in cui abbiamo bisogno davvero che vengano iniettati soldi nell'economia per evitare un disastro e per evitare errori del passato che tutti abbiamo riconosciuto. 
"
Marco ZANNI,2023-05-09,IT,Revision of the Stability and Growth Pact (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-09-INT-2-018-0000_IT.html,"  Marco Zanni,  a nome del gruppo ID. – Signor Presidente, onorevoli colleghi, sicuramente un aspetto positivo è che finalmente è arrivata una proposta di revisione di regole che dieci anni fa, era chiaro a tutti, erano regole sbagliate nella gestione delle finanze pubbliche e degli investimenti all'interno dell'Unione europea.
Tuttavia la proposta della Commissione parte, a mio avviso, da tre presupposti sbagliati che vanno corretti.
Il primo è che non cambia l'impianto non corretto delle regole del coordinamento fiscale all'interno dell'Unione europea, partendo dal presupposto che ormai tutte le istituzioni, dal Fondo monetario internazionale, alla Banca centrale europea e ai più grandi economisti, hanno riconosciuto che la grande crisi del debito dell'eurozona non è stata una crisi del debito pubblico, ma è stata una crisi di uno squilibrio di debito privato, soprattutto estero. E, a riprova di questo, sappiamo che alcuni Stati finiti sotto programma, penso al Portogallo, penso alla Spagna, penso all'Irlanda, avevano un rapporto debito pubblico/PIL in linea o addirittura al di sotto del 60 % previsto dai trattati.
Il secondo punto è proprio che non cambia l'impostazione di questi numeri, il 60 % e il 3 %, che sono numeri che non hanno un fondamento economico ma non vengono rivisti.
Il terzo punto, a mio avviso, è un tema di accountability democratica: è giusto creare un percorso flessibile per ogni Stato membro ma nella proposta si dà troppo potere discrezionale alla Commissione europea, che non è un organo eletto e che, purtroppo, presenta il rischio di poter strumentalizzare questo potere nel definire le politiche di un governo e sappiamo che questi piani, molto spesso, potrebbero andare al di là della durata di un governo nazionale e quindi incidere sulle politiche.
L'ultimo punto riguarda gli investimenti. Se guardiamo i dati, purtroppo, molti Stati dell'Unione europea saranno costretti a un consolidamento fiscale che non permetterà di mettere in campo quegli investimenti di cui abbiamo bisogno per la transizione industriale.
"
Marco ZANNI,2023-04-19,IT,"This is Europe - Debate with the Prime Minister of Luxembourg, Xavier Bettel (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-19-INT-3-105-5000_IT.html,"  Marco Zanni (ID),  per iscritto. – Per l'ennesima volta viene identificato come populismo ogni tipo di opinione divergente da quella principale, anche se basata su dati e studi e non su vane parole.
Relativamente all'immigrazione, vorrei ricordare al Primo ministro che non ne esiste un solo tipo: quella descritta nel suo discorso è la migrazione regolare, che nessuno nel mio partito ha mai voluto bloccare. L'unica che vogliamo fermare è quella irregolare, che alimenta il business del traffico di esseri umani e dello sfruttamento, portando capitali nelle mani di organizzazioni criminali spietate e pronte a tutto pur di avere un profitto.
Aggiungerei una considerazione riguardo all'ingerenza dell'Unione europea in materie di competenza esclusiva degli Stati, che trovo inaccettabile: ci siamo uniti definendo in modo preciso quali fossero i ruoli sia a livello nazionale che delle varie istituzioni e ora, con l'arma del ricatto, volete sostanzialmente costringere gli Stati membri ad adeguare le proprie politiche a quelle prevalenti in UE?
Approcci poco pragmatici e basati sull'ideologia, come quelli appena descritti, sono il modo più sbagliato per rispondere alle esigenze dei cittadini.
"
Marco ZANNI,2023-04-18,IT,The need for a coherent strategy for EU-China Relations (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-04-18-INT-2-015-0000_IT.html,"  Marco Zanni,  a nome del gruppo ID. – Signor Presidente, gentili colleghi, credo che gli avvenimenti e i viaggi dell'ultima settimana abbiano confermato due principi.
Il primo è quello che non esiste o è inconsistente la dimensione geopolitica dell'Unione europea, e questa è una promessa che era stata fatta dalla Commissione a inizio 2019 e che oggi rimane ancora vana.
La seconda considerazione che viene confermata mese dopo mese è che il più grande sovranista e nazionalista d'Europa, checché se ne voglia, è Macron. Perché dietro questa polemica sul tema Taiwan e sulle dichiarazioni di Taiwan è passato quasi inosservato un fatto, cioè che Macron sia andato in Cina e abbia portato a casa ricchi contratti e ricchi accordi per le aziende francesi. Ecco, mi chiedo se sia questo il concetto di autonomia strategica europea che il Presidente francese vuole mandare avanti.
Ma c'è da fare una considerazione. È vero che l'autonomia è un tema importante per gli Stati europei, ma credo che ci siano alcuni argomenti su cui non ci possa essere ambiguità e su cui il concetto di autonomia strategica sia inconsistente, e uno di questi è la Cina. Non ci può essere autonomia strategica, esistono alleati credibili con cui andiamo passo dopo passo e dobbiamo andare fianco a fianco nelle sfide globali ed esistono regimi autocratici, come la Russia e la Cina, da cui ci dobbiamo differenziare, e non può esistere in questo una terza via. 
L'Europa deve decidere con chi schierarsi chiaramente, e credo che su questo tema non ci siano dubbi che l'Europa debba schierarsi con gli alleati occidentali, perché la Cina è la più grande sfida geopolitica che oggi l'Occidente si trova ad affrontare e non possiamo pensare di affrontarla provando a differenziarci da alleati che hanno interessi comuni ai nostri e che hanno dimostrato di tenere a quei valori importanti di cui parliamo ogni giorno qua dentro almeno tanto quanto noi.
Detto questo, l'Europa deve capire come approcciare la Cina, e quello che stiamo portando avanti dal 2019 non è sicuramente un buon modo. La Presidente von der Leyen ha ricordato alcune misure che la Commissione ha proposto, su cui stiamo lavorando per attuare questo ""de-risking"" di cui parlava l'Alto rappresentante dalla Cina, ma – mi permetta, Presidente – questi provvedimenti non sono neanche lontanamente sufficienti. Il Chips Act, il Net Zero Industry Act, il Critical Raw Materials Act sono atti che non ci permetteranno concretamente di distaccarci dalla Cina, di non essere dipendenti dalla Cina.
Poi, l'ultimo punto. Io ho condiviso molte delle considerazioni che sia la Presidente von der Leyen che l'Alto rappresentante Borrell hanno fatto oggi, ma il problema è che a queste considerazioni non seguono i fatti, i fatti sono completamente differenti. Se noi guardiamo i dati, la dipendenza dell'Unione europea dalla Cina negli ultimi anni, anche a causa di questa transizione verde, è aumentata drammaticamente e rischiamo davvero di ripetere un altro errore fondamentale: legarci mani e piedi a una dittatura, a un regime autocratico.
Chiudo con una domanda a cui oggi non trovo una risposta, o la trovo e non mi soddisfa. Cosa succederebbe domani all'Unione europea se la Cina decidesse di invadere Taiwan? Su questo dobbiamo riflettere. Dobbiamo riflettere su quali siano gli strumenti che abbiamo per evitare di ripetere gli stessi errori fatti in passato e che oggi stiamo pagando.
"
Marco ZANNI,2023-03-29,IT,Conclusions of the European Council meeting of 23-24 March 2023 (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-29-INT-1-080-0000_IT.html,"  Marco Zanni,  a nome del gruppo ID. – Signora Presidente, onorevoli colleghi, dalle parole che avevamo sentito durante l'ultima sessione plenaria di Strasburgo e anche dalle parole che sentiamo oggi sul tema competitività e sul futuro della nostra industria e dell'economia, sembra che le istituzioni europee abbiano le idee chiare, e quindi targettizzare nelle proposte quei punti che ci mancano, dalla riduzione della complessità burocratica all'implementazione di un mercato dei capitali funzionante, che sono i primi due requisiti per gestire un progetto di transizione industriale così imponente come quello che proviamo a gestire.
Mi permetterete però di essere un po' scettico guardando alla proposta che ha presentato la Commissione e anche guardando al passato ad alcuni provvedimenti in momenti di crisi che queste istituzioni hanno cercato di portare avanti. Tanti colleghi come me siedono in questo Parlamento da molto tempo e purtroppo, in questi ultimi dieci anni, abbiamo vissuto tante criticità, tanti momenti di crisi, laddove le istituzioni europee hanno provato a proporre degli strumenti innovativi e rivoluzionari. Purtroppo questi strumenti innovativi e rivoluzionari, annunciati con tanta fanfara, si sono rivelati poca cosa.
Guardando all'ultima proposta della Commissione, il pacchetto sulla transizione industriale che è stato presentato, le cui linee guida sono state delineate in quest'Aula, mi viene in mente quello che la Commissione Juncker fece col Piano Juncker. Venne presentato in Aula con tanta fanfara sulle stesse basi, perché i problemi erano gli stessi: troppa burocrazia, troppa complessità, troppo centralismo e un mercato dei capitali non sviluppato. Ecco, il Piano Juncker non ha raggiunto quegli obiettivi e oggi ci troviamo a parlare di nuovo degli stessi problemi con soluzioni simili.
Non funziona, non può funzionare così. Noi stiamo gestendo una transizione industriale importante e lo dobbiamo fare con pragmatismo. La fallacia del pacchetto sulla transizione industriale dimostra come tutta la base del Green Deal, partita nel 2019, regga su basi non solide. Siamo ancora in tempo per cambiare e siamo ancora in tempo, e chiudo Presidente, per capire che questo progetto è nato come progetto di libertà, sia dopo la Seconda guerra mondiale, sia nel 1992 contro il dirigismo sovietico. Oggi vedere queste istituzioni propagandare il dirigismo e il centralismo mi preoccupa non poco. Questo è un progetto di libertà. Dobbiamo mantenere questi principi saldi nelle nostre proposte.
"
