MP,Date,Language,Title,Url,Content
Maria ARENA,2023-11-21,FR,Sustainable use of plant protection products (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-012-0000_FR.html,"  Maria Arena,  au nom du groupe S&D. – Madame la Présidente, l’Eurobaromètre nous montre que les citoyens européens sont prêts et demandeurs d’un système alimentaire plus durable et sans pesticides. Mais au-delà de ces statistiques froides, je pourrais aussi vous parler de l’impact dévastateur des pesticides sur la biodiversité, sur les sols, sur les abeilles. Mais je vais plutôt vous parler de ces citoyens que vous tous, ici, dans cet hémicycle, vous représentez et qui vous demanderont rapidement des comptes.
Je voudrais vous parler de cet agriculteur qui, durant toute sa carrière, a utilisé des pesticides dans son exploitation d’arbres fruitiers et qui, quelques jours à peine avant sa retraite, s’est vu diagnostiquer un cancer de la prostate avec lequel il devra lutter désormais pour le restant de sa vie. Il décrit le choc physique, le choc émotionnel de ce diagnostic. Mais plus encore, il marque le manque d’information de la part des fabricants de pesticides et le mensonge des équipements de protection qui finalement se sont avérés être plus nocifs pour sa santé.
Je voudrais aussi vous parler de cette gérante d’un centre équestre qui utilisait des herbicides dans le cadre de ses activités et dont c’est le fils, cette fois, exposé avant même sa naissance, pendant la grossesse, qui subit aujourd’hui les conséquences de cette exposition et qui, à l’âge de seize ans, avec de multiples malformations, a subi déjà 54 opérations.
Ces exemples de vies brisées par les pesticides, auxquels s’ajoutent bien sûr les désastres écologiques, sont effectivement des choses pour lesquelles nous devons absolument agir. J’entends bien sûr aussi les demandes des agriculteurs qui, pour l’immense majorité d’entre eux, souhaitent produire mieux sans être prisonniers de l’agrochimie.
Alors, le texte qui a été porté par Sarah Wiener et je la remercie, est exactement l’équilibre que nous devons porter ici à l’intérieur de ce Parlement. Il répond d’abord à l’urgence en proposant une réduction contraignante et ambitieuse de l’usage de ces pesticides. Je demande de refuser les amendements qui ont été proposés par AGRI et par d’autres de la commission AGRI, parce que ces amendements ne vont pas rencontrer les objectifs poursuivis.
Alors, chers collègues, j’entends que beaucoup d’entre vous sont sous la pression de leurs fédérations agricoles, mais soyez attentifs: dans quelques mois, il y aura des élections et ce ne sont pas les fédérations agricoles qui votent, ce sont les citoyens qui vous demandent d’être responsables à leur égard.
"
Maria ARENA,2023-07-12,FR,Delivering on the Green Deal: risk of compromising the EU path to the green transition and its international commitments (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-12-INT-3-348-0000_FR.html,"  Maria Arena (S&D).   – Monsieur le Président, le pacte vert est sans conteste le signal positif montrant que la Commission a pris conscience de l’ampleur du défi posé par la crise climatique, mais aussi par la crise de la biodiversité et des pollutions multiples. Il était primordial de montrer aux citoyens que l’Europe est en mesure de les protéger et de leur assurer un avenir viable.
Et je me réjouis du vote qui a eu lieu aujourd’hui sur la loi sur la restauration de la nature. Nous avons fait de grandes avancées sur le paquet climat et je vous en remercie, Monsieur Timmermans. Mais la plupart des autres objectifs et des stratégies sont en retard ou ne figurent encore dans aucun texte contraignant. Certains prétendent pourtant vouloir faire une pause réglementaire.
Ainsi, nous avons près d’un an de retard dans la révision du règlement REACH qui a été annoncée en 2019. Et pourtant, des études nous disent que les économies qui pourraient être faites sur les soins de santé seraient dix fois plus importantes que le coût qui serait imputé aux industries. Nous serions donc gagnants si nous menions cette révision.
Idem sur la question des pesticides. Nous nous sommes engagés à une réduction de 50 % des pesticides d’ici à 2030. Nous devons effectivement prendre ces mesures. C’est de notre responsabilité si nous voulons que les citoyens européens nous fassent confiance.
"
Maria ARENA,2023-07-11,FR,Question Time (Commission) – EU-Africa Strategy,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-316-0000_FR.html,"  Maria Arena (S&D).   – Monsieur le Président, Madame la Commissaire, vous le savez et vous en êtes porteuse, nous avons, au niveau de l’Union européenne, une grande tradition de partenariat entre l’Union européenne et les pays africains, et je dirais même les pays d’Afrique, des Caraïbes et du Pacifique dans le cadre des accords de Lomé et de Cotonou – et j’espère post-Cotonou le plus rapidement possible, parce que le Conseil nous fait des caprices sur cette question. Mais j’aurais plusieurs questions.
La première concerne la stratégie, et on a quelques priorités en la matière, notamment la paix et la sécurité. Je prends un exemple: dans le Sahel aujourd’hui, on a deux situations différentes entre le Tchad et le Burkina Faso. Pour le Burkina Faso, l’aide budgétaire n’est plus possible aujourd’hui. Est-ce qu’il est possible de revenir à une cohérence et donc à une aide budgétaire au Burkina Faso pour aider effectivement la transition démocratique?
La deuxième question concerne la migration, qui est une autre priorité. On a vu dans les discussions sur le SPG que le Conseil et la Commission présentaient systématiquement une condition à la migration. Est-ce que vous pensez, vous qui êtes la commissaire du partenariat, que cette conditionnalité à la réadmission est une bonne chose? 
Une dernière question concerne le développement durable. Nous allons travailler sur les matières premières critiques. À ce sujet, est-il dans vos intentions de conditionner l’accès à ces matières au consentement des populations?
"
Maria ARENA,2023-07-11,FR,Question Time (Commission) – EU-Africa Strategy,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-318-0000_FR.html,"  Maria Arena (S&D).   – Monsieur le Président, revenons à la question du Sahel. La situation aujourd’hui au Burkina Faso est compliquée parce que ce pays n’a pas beaucoup de revenus budgétaires et qu’il dépend pour plus de 20 % de l’aide extérieure. Et donc la situation telle qu’on la connaît aujourd’hui, si – et comme vous le disiez – nous n’intervenons pas, risque de s’empirer encore.
Alors, que peut-on faire pour à la fois favoriser le processus démocratique et soutenir par exemple les deux millions de personnes déplacées, sachant que le gouvernement a perdu le contrôle de 40 % de son territoire? Il y a donc sans doute là quelque chose à ajuster.
"
Maria ARENA,2023-07-11,FR,Relations with the Palestinian Authority (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-374-0000_FR.html,"  Maria Arena (S&D).   – Madame la Présidente, c’est difficile de parler de la relation de l’Union européenne avec l’Autorité palestinienne sans parler d’Israël. C’est impossible. La solution à deux États qui parle de l’État israélien et de l’État palestinien semble s’éloigner de plus en plus.
Sans doute parce que nous avons un État faible du côté palestinien. Mais pourquoi cet État faible? Parce qu’il y a une privation de l’Autorité palestinienne aujourd’hui, de l’exercice de ses compétences vitales pour la souveraineté de son pays. Parce que la construction illégale des colonies et la démolition d’infrastructures palestiniennes par les Israéliens rendent difficile la vie aujourd’hui en Palestine. Parce que les différents checkpoints qui sont aujourd’hui dans l’État palestinien sont à l’origine d’humiliations permanentes à l’égard des jeunes Palestiniens.
Est-ce que vous pensez sincèrement que, dans ce contexte, il soit facile de construire un État palestinien? Ça ne l’est pas. Bien sûr, il nous appartient d’être acteur, d’exiger un certain nombre de choses, d’exiger la fin de l’occupation, d’exiger le démantèlement des colonies, de mettre fin au régime d’apartheid, mais aussi d’exiger de l’Autorité palestinienne qu’elle se renforce, d’exiger des élections, mais ces élections dépendent aussi de l’Autorité. Et tout cela, l’Europe doit pouvoir l’exiger et doit pouvoir avoir une stratégie qui lui permette d’aller dans ce sens.
"
Maria ARENA,2023-06-13,FR,Situation in Lebanon (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-13-INT-2-304-0000_FR.html,"  Maria Arena (S&D).   – Monsieur le Président, on l’a dit, la corruption endémique au Liban ne fait qu’aggraver une situation chaotique, que vivent les Libanais depuis des années. Aujourd’hui, 80 % des Libanais vivent sous le seuil de pauvreté.
On a aussi au Liban une justice complètement achetée, qui démet les juges honnêtes au profit des juges corrompus, une justice qui couvre le président de la Banque centrale libanaise, M. Riad Salamé, soupçonné par Eurojust de détournement massif des fonds publics libanais, une justice incapable de mener une enquête sur les responsabilités liées à l’explosion du port de Beyrouth.
Alors oui, Monsieur le Commissaire, l’aide humanitaire est indispensable. Nous devons aider les Libanais. Nous ne devons pas aider les corrompus du Liban. Les corrompus du Liban doivent être sanctionnés. M. Riad Salamé doit être sanctionné, comme tous les juges qui, aujourd’hui, bloquent la situation et les enquêtes contre la corruption au Liban doivent être sanctionnés par l’Union européenne.
"
Maria ARENA,2023-06-13,FR,Ensuring food security and the long-term resilience of EU agriculture (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-06-13-INT-2-464-0000_FR.html,"  Maria Arena (S&D).   – Madame la Présidente, ce rapport entend établir notre position, ici au Parlement européen, sur la sécurité alimentaire et la résilience à long terme, je dis bien à long terme, de l’agriculture européenne. Très bien, mais ce rapport m’inquiète à plusieurs égards, et je ne parlerai que des pesticides. On laisse entendre que l’utilisation des pesticides serait la solution et non le problème. C’est faux et tout le monde le sait, des centaines de scientifiques l’ont démontré: c’est l’usage des pesticides et ses incidences sur la biodiversité et l’environnement qui mettent en danger notre sécurité alimentaire et nos agriculteurs.
Ne pas avancer sur la loi sur la réduction des usages, c’est empêcher d’accompagner les agriculteurs. Ce n’est défendre ni les agriculteurs, ni les consommateurs, ni l’environnement, ni la biodiversité. Ce que vous êtes en train de faire, c’est défendre l’industrie chimique, qui s’en met plein les poches sur le dos des consommateurs et des agriculteurs.
"
Maria ARENA,2023-05-31,FR,Corporate Sustainability Due Diligence (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-31-INT-1-106-0000_FR.html,"  Maria Arena (S&D).   – Monsieur le Président, Monsieur le Commissaire, alors jusqu’aujourd’hui, on sait que le monde de l’entreprise s’est opposé à toute loi imposant le devoir de vigilance. Aujourd’hui, c’est un grand pas qui sera fait si nous votons effectivement cette loi, parce que de quoi parle-t-on? On parle de TotalEnergies avec le projet EACOP qui est un projet climaticide. On parle de TÜV SÜD qui n’a pas correctement garanti les barrages au Brésil. On parle de Nike qui fait de l’argent sur le travail forcé. On parle de Syngenta qui exporte des produits chimiques hautement toxiques au Pérou. On parle de Seat qui est créateur de déforestation en Asie du Sud-est.
Et donc, chers collègues, les démarches volontaires ne marchent pas et elles conduisent à ce que nous vivons aujourd’hui, c’est-à-dire des catastrophes environnementales et des catastrophes humaines. Alors cette loi, elle doit nous permettre de prévenir, de minimiser, mais aussi de réparer grâce à l’accès à la justice, c’est-à-dire créer un cercle vertueux par rapport à nos entreprises. Alors nous devons faire en sorte que nos entreprises soient des acteurs de changement positif et non plus des complices de toutes ces violations en matière de droits de l’homme et environnementales.
"
Maria ARENA,2023-05-10,FR,The role of farmers as enablers of the green transition and a resilient agricultural sector (continuation of debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-10-INT-3-076-0000_FR.html,"  Maria Arena (S&D).   – Monsieur le Président, certains membres de cette assemblée semblent remettre en question les engagements que ce Parlement a pris dans le cadre du Green Deal et voudraient rejeter des textes essentiels à la mise en œuvre de cette stratégie, comme la restauration de la nature et la réduction de l’usage des pesticides.
Pourtant, vous le savez, il n’y aura pas d’agriculture, pas de pollinisation, pas de revenus pour nos agriculteurs sans des sols en bonne santé, sans lutte contre l’extinction des espèces, sans une gestion raisonnée des ressources en eau. Ce n’est pas une position idéologique de droite ou de gauche, c’est simplement ce que les scientifiques nous disent. Mais vous, les conservateurs, vous avez décidé de tourner le dos à la science et d’utiliser des arguments populistes pour faire peur à la population, laissant planer le spectre d’une famine en Europe due à cette stratégie. Et c’est une erreur.
Dans une Europe où il fait plus de 40 degrés en Espagne en avril, où des restrictions d’eau sont appliquées même pendant les mois d’hiver dans certains États membres, il y a urgence à changer notre modèle agricole. Il est indispensable de mettre en place dès maintenant des méthodes d’adaptation planifiées de notre agriculture qui doivent être pensées sur le long terme pour lutter contre les effets du changement climatique de façon pérenne. Donc chers collègues, ne faisons pas l’autruche et mettons-nous autour de la table pour discuter de ces textes essentiels qui nous ont été proposés par la Commission.
"
Maria ARENA,2023-05-09,FR,Situation in Sudan (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-09-INT-2-325-0000_FR.html,"  Maria Arena (S&D).   – Madame la Présidente, la guerre civile qui oppose aujourd’hui les deux camps armés, celui du leader al-Burhane, des forces armées soudanaises, et celui de Dagolo, leader des RSF, anciens amis, cause une crise humanitaire terrible – plus de 500 morts, 4 600 blessés, des déplacés internes et externes, une économie totalement à l’arrêt, une pénurie de nourriture et d’eau potable, la plupart des infrastructures hospitalières détruites. Tout cela dans un contexte où 65 % de la population vit dans l’extrême pauvreté. Sans compter, on l’a dit, le risque d’instabilité que cette crise crée dans la région.
Alors nous, nous devons exhorter toutes les parties à respecter le droit humanitaire international; veiller à ce que, lors de sa prochaine session spéciale sur le Soudan, le Conseil des droits de l’homme des Nations unies mette en place un mécanisme d’enquête solide sur les crimes qui ont été commis par toutes les parties; imposer des sanctions ciblées à toutes les personnes responsables de graves abus contre les civils; accroître le soutien à la réponse humanitaire à la crise, en particulier dans les régions du pays les plus difficiles telles que le Darfour.
Mais nous devons aussi mettre fin immédiatement au renvoi des demandeurs d’asile soudanais vers le Soudan ou vers des pays de transit. Et enfin, nous devons soutenir des initiatives inclusives de médiation sur la paix durable et la transition rapide vers la démocratie. 
"
