MP,Date,Language,Title,Url,Content
Maria Angela DANZÌ,2023-11-22,IT,Reducing regulatory burden to unleash entrepreneurship and competitiveness (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-22-INT-3-158-0000_IT.html,"  Maria Angela Danzì (NI).   – Signora Presidente, signor Commissario, onorevoli colleghi, un'Europa che non produce, un'Europa che non innova è destinata a morire.
Difendere le imprese, ma soprattutto le piccole imprese, significa dunque difendere il lavoro e il futuro della nostra società. Ma il mondo delle imprese non deve arroccarsi in una torre d'avorio, difendendo come l'ultimo dei Mohicani un modello che non è più sostenibile, né ambientalmente, né economicamente, né socialmente. 
La transizione energetica e digitale è una sfida che dobbiamo cavalcare e vincere insieme senza paura. Noi come Parlamento europeo dobbiamo fare la nostra parte: semplificare il quadro normativo, snellire la burocrazia, acquisire fonti di finanziamento che aiutino le nostre piccole imprese ma, soprattutto, armonizzare la tassazione a livello europeo, evitando che le multinazionali abbiano dei benefici sul piano fiscale.
Così ammazziamo la nostra piccola impresa. Noi siamo dalla parte delle piccole imprese che costituiscono sempre il 99% delle imprese europee.
"
Maria Angela DANZÌ,2023-11-21,IT,Sustainable use of plant protection products (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-017-0000_IT.html,"  Maria Angela Danzì (NI).   – Signora Presidente, signor Commissario, onorevoli colleghi, la tutela della salute pubblica passa attraverso la sicurezza alimentare. Un uso sostenibile dei pesticidi è fondamentale per il contenimento degli impatti sulla salute umana, ambientale e degli animali. Non dimentichiamolo: la salute è una sola. 
La proposta della Commissione è un ottimo punto di partenza ma non dobbiamo dimenticare che la qualità dei nostri prodotti dipende dalla formazione e dal sostegno che sapremo dare ai nostri agricoltori. Dobbiamo aiutarli ad abbracciare la transizione, incentivare la ricerca sui modelli di produzione agricola senza uso di pesticidi e, soprattutto, aumentare i controlli sul mercato, sui residui di pesticidi e sui prodotti importati dai paesi terzi. Dobbiamo combattere la concorrenza sleale. 
Osiamo di più. Riformiamo la PAC. Mettere al primo posto i bisogni dei piccoli agricoltori e i controlli sui prodotti, significa investire in un futuro di qualità. In agricoltura i benefici saranno tanti e per tutti. 
"
Maria Angela DANZÌ,2023-11-21,IT,Packaging and packaging waste (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-225-0000_IT.html,"  Maria Angela Danzì (NI).   – Signor Presidente, signor Commissario, onorevoli colleghi, l'acqua gratis nei ristoranti, la possibilità di riutilizzare i contenitori per gli alimenti, lo stop agli sprechi di confezioni per una sola mela: ecco gli esempi dei vantaggi per l'ambiente e per i cittadini. 
Il riciclo non scomparirà ma il riciclo da solo non basta: bisogna intervenire alla fonte. Per diminuire l'enorme quantità di rifiuti, serve anche il riuso. I rifiuti di plastica riciclati in Italia sono solo il 17%. Altro che eccellenza! Alle lobby che fanno pressioni al limite della decenza dico di concentrarsi sulle opportunità che si apriranno, nuovi posti di lavoro, nuove filiere. 
Non negoziare un minimo di riuso obbligatorio, dove siamo un'eccellenza nella carta e nel vetro, e a scapito delle filiere sostenibili è per assecondare le lobby della plastica. Gli eurodeputati del Movimento Cinque Stelle hanno a cuore l'interesse della nazione, sì, ma il nostro interesse è l'interesse di tutti. E se dobbiamo scegliere, scegliamo le persone malate, scegliamo le mamme dei Pfas, pensiamo a loro!
"
Maria Angela DANZÌ,2023-10-19,IT,European Citizens' Initiative 'Fur Free Europe' (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-19-INT-4-025-0000_IT.html,"  Maria Angela Danzì (NI).   – Signora Presidente, signora Commissaria, onorevoli colleghi, la Commissione ha annunciato che non intende proporre una legislazione a difesa del benessere degli animali entro la fine legislatura. Questo tradisce i principi del trattato. Questo tradisce la volontà di un milione e mezzo di cittadini che hanno firmato un'iniziativa per dire ""basta pellicce in Europa"".
Gli allevamenti di pelliccia sono crudeli e indegni, non sono etici e rappresentano una minaccia per la biodiversità e per l'ambiente. Non a caso, l'industria delle pellicce è tra le prime cinque che inquinano di più, con metalli tossici, le nostre falde acquifere.
14 membri hanno già adottato un divieto totale di questi allevamenti e centinaia di case di moda si sono liberate dalle pellicce, rispondendo alle richieste etiche dei loro clienti. Cosa aspetta l'Europa a prendere queste posizioni? C'è la necessità di omogeneizzare il mercato interno. Produciamo questa normativa e diamo una risposta ai cittadini e ai nostri stessi principi.
"
Maria Angela DANZÌ,2023-10-18,IT,Mental health at work (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-18-INT-3-424-0000_IT.html,"  Maria Angela Danzì (NI).   – Signora Presidente, signor Commissario, onorevoli colleghi, il lavoro è di per sé un forte motore di salute e benessere, ma allo stesso tempo l'ambiente di lavoro ha un impatto importante sul benessere fisico e mentale dei lavoratori.
La precarietà per i giovani e il bisogno di conciliare il lavoro di cura con la carriera per tutte le donne sono fonti di stress e di insicurezza. Investire sulle persone è diventato un imperativo per tutte le imprese che intendono spezzare il circolo vizioso ""insoddisfazione - demotivazione - assenza per malattia - bassa produttività del lavoro"". Occorre dare priorità alla sicurezza fisica e psicologica, formare i datori di lavoro, fornire servizi di sostegno, fornire un salario dignitoso e, ove occorra, un alloggio dignitoso, coinvolgere i lavoratori nelle decisioni sul posto di lavoro, creare armonia tra lavoro e vita privata, e promuovere l'accesso equo e trasparente all'avanzamento in carriera.
L'Europa deve guardare al modello Olivetti, un'impresa italiana che ha investito nel benessere organizzativo e personale dei dipendenti.
"
Maria Angela DANZÌ,2023-10-17,IT,Water scarcity and structural investments in access to water in the EU (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-17-INT-2-338-0000_IT.html,"  Maria Angela Danzì (NI).   – Signor Presidente, signor Commissario, onorevoli colleghi, secondo l'UNESCO, l'acqua è il nostro futuro comune ed è essenziale agire insieme per condividerla equamente e gestirla in modo sostenibile.
C'è un urgente bisogno di istituire meccanismi internazionali per impedire che la crisi idrica globale vada fuori controllo. L'accesso all'acqua è diventato fonte e strumento di guerra: il blocco a Gaza ne è la dimostrazione.
La salvaguardia della sicurezza idrica, alimentare ed energetica, la fornitura universale di acqua e di servizi igienici, la riduzione dell'impatto climatico e il ripristino degli ecosistemi sono tessere di un mosaico complesso e inscindibile. È possibile comporlo solo se ciascuno di noi, nessuno escluso, agisce tenendo presente questo quadro.
"
Maria Angela DANZÌ,2023-10-05,IT,Urban wastewater treatment (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-05-INT-4-034-0000_IT.html,"  Maria Angela Danzì (NI).   – Signor Presidente, onorevoli colleghi, signora Commissaria, l'approvazione di questa revisione rappresenta un passo avanti importante nella direzione giusta e necessaria della salvaguardia della salute umana, ambientale e degli animali. Era necessario che il settore delle acque reflue fosse soggetto alle regole della neutralità energetica ed è un bene incentivare il riutilizzo di acqua e fanghi per la produzione anche di biogas.
È importante, però, che anche gli impianti che sono in corso di costruzione si adeguino fin da ora ai principi di efficienza e anti spreco previsti in questa norma. Penso all'impianto di Chiavari, che sarà fortemente impattante e non prevede in corso di progettazione, appunto, la neutralità energetica e il riutilizzo integrale delle acque.
Bene la responsabilità dei produttori, soprattutto nei settori farmaceutico e cosmetico. Un plauso anche a quello per i servizi pubblici igienici per i cittadini.
"
Maria Angela DANZÌ,2023-10-04,IT,Decent Housing for All (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-04-INT-3-182-0000_IT.html,"  Maria Angela Danzì (NI).   – Signora Presidente, onorevoli colleghi, signor Commissario, l'aumento dei prezzi sta desertificando i nostri centri storici. Poliziotti, infermieri, insegnanti e autisti non trovano alloggi economicamente accessibili. Le nostre imprese non trovano operai. La mobilità del lavoro è fortemente condizionata, così come l'efficienza dei servizi pubblici. I giovani con bassi salari e lavoro precario non riescono ad accendere un mutuo.
Invito la Commissione a rivedere la decisione sui servizi di interesse generale concernente la fascia di popolazione beneficiaria di alloggio sociale. Dobbiamo garantire un alloggio dignitoso non solo a chi si trova nella povertà, ma anche a chi può ricaderci a causa dei costi spropositati. Dobbiamo dare un supporto concreto alle imprese che recuperano immobili dismessi per metterli a disposizione del proprio personale. 
L'industria italiana ha avuto dei modelli a cui ispirarsi, come Adriano Olivetti, nel valorizzare il capitale umano attraverso il welfare aziendale. Finalizziamo i fondi europei a raggiungere gli obiettivi di efficientamento energetico e contrasto alla povertà energetica e abitativa. 
"
Maria Angela DANZÌ,2023-09-13,IT,Reviewing the protection status of wolves and other large carnivores in the EU (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-169-0000_IT.html,"  Maria Angela Danzì (NI).   – Signora Presidente, Commissaria, onorevoli colleghi, oggi mi sembra che l'Europa inizi un evidente percorso di contraddizioni.
In questi anni, con la legge del ripristino della natura e con la strategia europea per la biodiversità, abbiamo intrapreso un percorso verso il rispetto dell'ecosistema. Dall'altra parte, però, oggi si propone di rivedere lo status di protezione dei lupi e questo senza che ci sia una vera e reale emergenza unionale.
Durante la mia precedente esperienza di funzionario pubblico ho imparato che le decisioni si prendono sempre se c'è un'effettiva emergenza e che le stesse devono essere adeguate, congrue e proporzionate al pericolo. Francamente, io oggi non vedo queste condizioni. 
Perché vogliamo declassare il lupo nel suo attuale sistema e livello di protezione? A chi giova questa decisione? Sicuramente non alla collettività e neanche ai nostri allevatori, che probabilmente vogliono essere sostenuti negli investimenti per acquisire strumenti di dissuasione e in quanto piccoli agricoltori.
"
Maria Angela DANZÌ,2023-09-12,IT,Ambient air quality and cleaner air for Europe (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-12-INT-2-205-0000_IT.html,"  Maria Angela Danzì (NI).   – Signora Presidente, onorevoli colleghi, grazie Commissario, l'inquinamento atmosferico è un'emergenza non solo ambientale, è un'emergenza sociale e sanitaria. Costituisce la prima causa di morte prematura in Europa e in Italia abbiamo 52 000 decessi l'anno, in particolare nelle regioni del Nord, in Lombardia e in Piemonte. 
Eppure i governatori delle regioni hanno detto che questa proposta è inattuabile e irrealistica. Noi però abbiamo una grande occasione. Abbiamo anche il dovere di assumere misure tempestive e appropriate. L'obiettivo ""inquinamento zero"" può essere raggiunto solo se c'è grande condivisione fra Europa e Comuni. 
Le misure di contrasto, però, devono essere finanziate con fondi europei congrui e destinati. La salute del pianeta è la nostra salute: dimostriamo che è ancora una delle nostre priorità. 
"
