MP,Date,Language,Title,Url,Content
Maria NOICHL,2023-11-23,DE,International day for the elimination of violence against women (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-23-INT-4-050-0000_DE.html,"  Maria Noichl (S&D).   – Herr Präsident, sehr geehrte Kolleginnen und Kollegen! Ich habe ein Déjà-vu-Erlebnis: Als deutsche Abgeordnete erlebe ich etwas das zweite, das dritte, vielleicht sogar das fünfte Mal: eine Situation, dass Deutschland im Rat etwas blockiert, obwohl es in Deutschland längst in Gesetz umgesetzt ist. Sie erinnern sich vielleicht mit mir zusammen an die Women-on-Boards-Richtlinie. Die Women-on-Boards-Richtlinie war in Deutschland schon lange umgesetzt, aber Angela Merkel hatte sie im Rat blockiert.
Jetzt ist es ähnlich: Das Thema „Nein heißt Nein“, das Thema „Ja heißt Ja“ ist in Deutschland längst umgesetzt. Und deswegen möchte ich ganz konkret Justizminister Buschmann aus Deutschland ansprechen: Wie kann es sein, dass Deutschland im Rat etwas blockiert, das Deutschland gut findet für deutsche Frauen? Wie kann es sein, dass Deutschland im Rat etwas blockiert und damit europäische Frauen nicht an dem gleichen Rechtsgut teilhaben lässt? Ich kann es nicht verstehen.
Unser Justizminister Buschmann von der FDP will im Rat blockieren, dass Vergewaltigung als Definition in die Richtlinie aufgenommen wird. Das dürfen wir nicht zulassen, das darf nicht sein! Das kann nicht sein, dass das große Land Deutschland in Europa diese Richtlinie blockiert.
"
Maria NOICHL,2023-11-21,DE,Sustainable use of plant protection products (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-21-INT-2-033-0000_DE.html,"  Maria Noichl (S&D).   – Frau Präsidentin, liebe Kolleginnen, liebe Kollegen! Ich denke, Fakten sollten die Basis sein für demokratische Entscheidungsprozesse. Wir wissen, und das sind die Fakten, dass intensiver Einsatz von Pestiziden einer der Haupttreiber von Artensterben und Biodiversitätsrückgang in Europa ist. In den letzten 30 Jahren gab es in den Schutzgebieten einen Rückgang der gesamten Biomasse und fliegenden Insekten um über 75 %.
Wir wissen, und das sind Fakten, dass Pestizide zu schweren Erkrankungen wie Leukämie, Parkinson, erhöhtem Risiko bei Leber-, Brustkrebs, zu Diabetes Typ 2, aber auch Asthma, Allergien, Adipositas, Störungen von Hormondrüsen usw. führen kann.
Wir wissen, und das sind Fakten, dass die EU ein löchriges Zulassungsverfahren hat. Es gibt keine wirklich ausreichende Erforschung von Cocktailwirkungen, keine wirklich ausreichende Erforschung der Pestizide auf die Bodengesundheit. Nur an fünf Spezies wird getestet, aber in Wirklichkeit gibt es eine Million von Organismen in Böden, die überhaupt nicht getestet werden.
Wir wissen, und das sind Fakten, dass die Industrie bewusst Studien zur schädigenden Wirkung von Pestiziden auf die Hirnentwicklung zurückgehalten hat. Die Industrie tanzt uns auf der Nase herum.
Deswegen entscheide ich mich – gerade weil ich Mitglied im Agrarausschuss bin – für eine strengere Regelung bei den Pestiziden und werde auch am Mittwoch so abstimmen.
"
Maria NOICHL,2023-10-19,DE,European Citizens' Initiative 'Fur Free Europe' (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-19-INT-4-030-0000_DE.html,"  Maria Noichl (S&D).   – Frau Präsidentin, liebe Kolleginnen, liebe Kollegen, sehr geehrte Frau Kommissarin! Es ist ganz klar, dass die Stimme des Volkes hier gesprochen hat. Die Europäische Bürgerinitiative hat klar Stellung bezogen und hat uns damit unterstützt. Das Parlament hat eine große Unterstützung von außen bekommen, wenn es darum geht, Pelzfarmen zu verbieten. 
Pelzmäntel: Das muss man sich vorstellen, für einen Pelzmantel aus Nerzen müssen 60 Nerze sterben, 60 Tierleben für einen Mantel, oder bei den Chinchilla-Mänteln 200 Chinchilla-Tierleben für einen Mantel. In meinen Augen gibt es dafür nur ein einziges Wort. Das Wort heißt Perversion! Das ist eine absolute Perversion, wenn Tierleben in der Weise für Schmuckstücke eingesetzt werden. Das heißt, die Zucht und die Tötung zum alleinigen Nutzen des Fells ist einfach unglaublich, und es ist, wie gesagt, eine unglaubliche Perversion.
Wir müssen klar deutlich machen, wo wir in Europa stehen. Wir wollen diese Zucht hier nicht haben, wir wollen aber auch nicht Produkte aus anderen Ländern, aus anderen Mitgliedstaaten haben. Deswegen brauchen wir ein Einfuhrverbot für Pelze, wir brauchen ein klares Verbot für den Verkauf, und wir brauchen eine klare Positionierung, dass perverses Konsumverhalten in Europa keinen Platz hat!
"
Maria NOICHL,2023-10-19,DE,European protein strategy (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-19-INT-4-049-0000_DE.html,"  Maria Noichl,  im Namen der S&D-Fraktion. – Frau Präsidentin, liebe Kolleginnen, liebe Kollegen, sehr geehrter Herr Kommissar! Es liegt ein Papier auf dem Tisch, und ich möchte der Berichterstatterin danken. Ja, es ist ein Papier mit guten Ansätzen. Doch es gibt Dinge, die fehlen. Es gibt Dinge, die sind sehr gut. Es gibt Dinge, die sind zu viel. Lassen Sie mich das deutlich sagen, und ganz besonders an Sie gerichtet, Herr Kommissar, denn Sie sollen das einarbeiten in Ihre Strategie und in Ihr Papier, das Sie dann auf den Tisch legen.
Was fehlt? Es fehlt die klare Ansage, dass die Erzeugung und der Verzehr von Eiweiß, das aus Nutztieren aus Intensiv- und futtermittelbasierter Massentierhaltung gewonnen wird, reduziert werden sollen. Das fehlt. Es fehlt das klare Benennen, dass wir hier einen Punkt haben, den wir dringend reduzieren müssen. Wie gesagt, futtermittelbasierte Massentierhaltung, dieser Punkt fehlt. Den Punkt könnte man noch mit aufnehmen, wenn man dem Änderungsantrag 2 heute zustimmt.
Was ist gut in dem Papier? Es ist gut, dass es ein Bekenntnis zur Weide gibt. Weide ist die nachhaltigste Form und die beste Form für die Tiere und für die Menschen, für die Umwelt. Weidetierhaltung bei der Fleischerzeugung ist auf jeden Fall das Beste. Es ist gut, dass die Transformation genannt wird, dass eine Transformation hin zur Nachhaltigkeit der Tierhaltung entstehen soll. Es ist klar und deutlich benannt, dass wir ein Defizit haben, ein Defizit an Futtereiweiß, und dass dieses Defizit an Futtereiweiß auf Dauer nicht importmäßig kompensiert werden kann, sondern dass dieses Defizit an Futtereiweiß in Zukunft nur auf eigenem Boden kompensiert werden kann.
Was ist in dem Bericht, was sicher nicht hineingehört? Es gehört nicht ein Bekenntnis zur neuen Gentechnik hinein, so als würde die neue Gentechnik die Futtermittelthematik bei uns verbessern. Es gehört nicht hinein, dass wir auf einmal über Industriefleisch reden. Als würde Industriefleisch die Proteinstrategie in Europa ersetzen. Ich glaube, das sind zwei Dinge, Herr Kommissar, die Sie sich dringend aufschreiben sollten. GVO hat in diesem Proteinstrategiepapier nichts zu suchen, und auch das neue Industriefleisch hat nichts drin zu suchen. Denn das macht das Papier zu einem dann doch wieder lauwarmen Papier, wenn es heißt, es geht immer das eine und das andere. Nein, wir müssen uns entscheiden. Wir brauchen einen klaren Weg.
"
Maria NOICHL,2023-09-13,DE,Regulation of prostitution in the EU: its cross-border implications and impact on gender equality and women’s rights (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-403-0000_DE.html,"  Maria Noichl,  Berichterstatterin. – Herr Präsident, sehr geehrte Kollegen, sehr geehrte Kolleginnen, liebe Europäerinnen und Europäer! Der Initiativbericht hier in einem Haus basiert immer darauf, dass irgendeine Partei eine „Politische Familie“-Initiative ergreift.
Als S&D haben wir die Initiative ergriffen und haben schon vor einem Jahr das Thema „Regulierung der Prostitution in der EU: grenzüberschreitende Auswirkungen“ – und vor allen Dingen die Konsequenzen für die Gleichstellung – in den Mittelpunkt gestellt. Wir haben das Thema vorgeschlagen. Das Thema wurde angenommen. Dass ich am Schluss noch Berichterstatterin werden durfte, dafür möchte ich meinen Kolleginnen und Kollegen ganz herzlich Danke sagen. Auch die Schattenberichterstatter, die mit mir das Thema bearbeitet haben – auch von der Stelle ganz herzlichen Dank. Danke für das gute Miteinander. Danke für die kollegiale Gestaltung des Berichts.
Der Bericht geht ausführlich auf die tatsächlichen Lebensumstände ein, unter denen überwiegend Frauen in der Prostitution leben. Armut, Ausbeutung, Verelendung, Diskriminierung – oftmals in Kombination mit früheren Gewalterfahrungen – macht diese Frauen zu einer ganz verletzlichen Gruppe in unserer Gesellschaft. Last Girls First: Dieser Buchtitel bringt es ganz genau auf den Punkt. Die letzten Frauen, die Frauen und Mädchen einer Gesellschaft, die oftmals sich nicht erwehren können, finden sich in einem Spinnennetz der Prostitution wieder.
Prostitution ist rassistisch. Prostitution ist sexistisch, denn es sind Männer, die Frauen ausbeuten. Und es sind vor allen Dingen auch Männer, die Gruppierungen ausbeuten. Ich möchte nur sagen: 70 % der Frauen in der Prostitution sind Frauen mit Migrationshintergrund – sexistisch, rassistisch und vor allen Dingen gewaltvoll. Prostitution ist keine Arbeit und Prostitution ist auch keine Sexualität, sondern Prostitution ist Gewalt. Nur wenn wir Prostitution als Gewalterfahrung anerkennen und die Struktur dahinter analysieren, können wir Frauenrechte wahren und stärken.
Ich möchte ganz deutlich sagen: Der Bericht verschleiert nicht, dass es auch eine kleine Gruppe geben kann von Frauen, die es vielleicht zeitweise freiwillig machen, der Prostitution nachzugehen. Doch dem Mythos, sich zu prostituieren, sei Ausdruck von Freiheit und Selbstbestimmung, diesem Mythos folge ich nicht. Die überwiegende Mehrheit von Frauen und Mädchen in der Prostitution sind weder selbstbestimmt noch freiwillig, sondern sie sind in der Ausbeutung gefangen.
Wichtig ist zu erkennen, dass der Bericht die Augen darauf legt, dass es Menschen gibt, die an der Prostitution verdienen. Sie verdienen daran, dass Frauen anschaffen gehen. Es sind die Zuhälter und Menschenhändler, es sind die Bordellbetreiber und die Freier, die dann die Nachfrage bilden. Genau auf die richtet sich auch der Bericht. Denn es ist – wie gesagt – Gewalt, die im Spiel ist. Es geht um Geld gegen Vorspielen, es geht um Geld gegen Hinhalten und es geht um Geld gegen Aushalten.
Im Bericht deutlich wird, dass die OECD-Studie über Prostitution und Menschenhandel sagt, dass zum Beispiel liberalisierte Länder wie Deutschland sogar Prostitution anheizen. Europol legt klar, dass legale Infrastrukturen in Deutschland – wie Bordelle und Laufhäuser – in großem Maßen sogar Menschenhandel noch befördern. Das liegt auf dem Tisch. Dagegen müssen wir etwas tun. Wir müssen endlich handeln.
Fünf Punkte, die wichtig sind. Erstens: Prostitution als eine Form von geschlechtsspezifischer Gewalt muss anerkannt werden, muss eingestuft werden – den Frauen muss geholfen werden. Zweitens: Prävention und Aufklärung muss im Mittelpunkt stehen, und natürlich Frauen aus der Armut zu befreien. Drittens: deutliche Verstärkung der Exit- Programme. Die Exit-Programme sind wichtig. Ausstiegshilfen müssen gekoppelt sein mit dem klaren Wissen, dass es dauert, in die Gesellschaft wieder zurückzukommen. Viertens: Entkriminalisierung aller prostituierten Menschen, Frauen, Männer, Transpersonen, alle müssen entkriminalisiert werden. Fünftens: Es ist ganz klar, dass diejenigen, die an der Prostitution verdienen – aber auch die Freier –, kriminalisiert werden müssen. 
Meine sehr verehrten Damen und Herren, wir stehen an einem Scheidepunkt: Wir können uns entscheiden, wo wir hinwollen – als Europäische Union. Wollen wir der liberalen Situation folgen und Prostitution liberalisieren? Dann brauchen wir nur nach Deutschland schauen, wie es dort ist, und da kann ich nur abraten davon. Oder wollen wir einen neuen Schritt gehen? Einen Schritt, der darauf basiert, dass es ein gendergerechtes System geben muss, auch in der Prostitution.
Denn Prostitution betrifft nicht nur die Frauen, die unmittelbar betroffen sind, sondern Prostitution betrifft die ganze Gesellschaft – betrifft uns alle.
"
Maria NOICHL,2023-09-13,DE,Regulation of prostitution in the EU: its cross-border implications and impact on gender equality and women’s rights (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-434-0000_DE.html,"  Maria Noichl,  Berichterstatterin. – Herr Präsident, liebe Kolleginnen, liebe Kollegen! Herzlichen Dank noch einmal für den Austausch. Morgen Mittag findet die Abstimmung statt. Morgen Mittag bezieht Europa Position, bezieht Europa Stellung. Wir haben gesehen, an mehreren Beispielen, dass der Weg der Liberalisierung ein Irrweg ist in Sachen Prostitution. Er ist ein Irrweg, weil er Frauen zur Ware macht und vor allen Dingen, weil die Gewalt immens ist. Es gibt Länder, dort kann man es sich anschauen, jeden Tag, auch in meinem Heimatland, leider.
Ich möchte auch noch einmal daran erinnern, was war, kurz nachdem der Krieg ausgebrochen ist, der Krieg, der russische Angriffskrieg. Mit Plakaten wurde an deutschen Bahnhöfen gewarnt. Frauen sollen nicht auf Angebote von Männern eingehen, um mit ihnen nach Hause zu gehen, sie würden dort schlafen, wohnen können. Denn alle, die die Plakate aufgehängt haben, wussten, die Frauen müssen mit ihrem Körper bezahlen, wenn sie mitgehen. Das bedeutet in einem Klima des „alles ist normal“ und es ist eine Art von Währung, wenn ich keine andere Währung in der Tasche habe, wenn ich als Frau auf der Flucht aus der Ukraine vielleicht mit einem Kind unterm Arm in Deutschland an einem Bahnhof ankomme und ich habe keine andere Währung in der Tasche, dann bleibt mir nur eine Währung. Das ist mein Körper.
Und dazu können wir Feministinnen doch nicht schweigen. Wir können doch nicht sagen, das ist ein Tauschgeschäft, das ist es nicht und das wird es niemals sein. Wir müssen den Kreislauf durchbrechen, dass man aus Armut und aus Not in die Prostitution kommt und dass man, wenn man in der Prostitution ist, nie mehr herauskommt aus der Armut und der Not. Genauso ist es. Deswegen, die Säulen sind eindeutig. Mehr Prävention, mehr Ausstiegshilfen, Entkriminalisierung aller Menschen, die in der Prostitution sind. Aber natürlich die Kriminalisierung derjenigen, die an den Frauen verdienen. Und es wird an den Frauen sehr, sehr viel verdient.
Der Mittelpunkt meines Berichts ist der Opferschutz und der Schutz der Würde. Aber ebenso auch die Täterbestrafung. Denn nur beides zusammen kann dazu führen, dass toxische Beziehungen, wie sie auch in der Prostitution immer wieder bestehen, dass toxische Beziehungen gesprengt werden. Ich bitte Sie, meinem Bericht morgen zuzustimmen. Nicht weil es mein Bericht ist, sondern weil er aus der Mitte dieses Hauses kommt mit einer großen breiten Koalition. Ich bitte Sie zuzustimmen. Wir machen einen guten Schritt für Europa.
"
Maria NOICHL,2023-07-11,DE,Nature restoration (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-037-0000_DE.html,"  Maria Noichl (S&D).   – Herr Präsident, liebe Kolleginnen und Kollegen! Ich möchte hier gern als Mitglied des Agrarausschusses sprechen. Eines ist deutlich, dass die zwei Demonstrationen, die wir heute draußen vor dem Parlament gesehen haben, das Thema nicht abbilden. Diese zwei Demonstrationen sollen uns glauben machen, es gebe eine Situation Landwirte gegen Nichtlandwirte. Das ist aber nicht der Fall. Es geht nicht um Landwirte gegen Nichtlandwirte, sondern es geht um eines: Es geht um Macht und die Idee, mit ganz, ganz Rechts zusammen weiter an die Macht zu kommen, oder um Zukunft. Das ist die Gemengelage: Macht oder Zukunft.
Ich glaube, die beiden Seiten muss man sich genau anschauen. Auf der einen Seite ist die EVP mit den Euroskeptikern und mit den extremen Rechten, die der Meinung sind, lieber auf Natur zu verzichten, als auf die Macht zu verzichten. Auf der anderen Seite möchte ich Danke sagen an alle, die wirklich das Hirn eingeschaltet haben und Vernunft geltend machen, die sich klar an die Seite der Wissenschaft stellen, die sich klar an die Seite der Landwirte der Zukunft stellen, die sich klar an die Seite derjenigen stellen, die wissen: Es geht auch um die nächsten Generationen. Es ist nicht Landwirte gegen Nichtlandwirte, sondern es ist Vernunft gegen Macht.
"
Maria NOICHL,2023-05-09,DE,"Council of Europe Convention on preventing and combating violence against women and domestic violence – EU accession: institutions and public administration of the Union - Council of Europe Convention on preventing and combating violence against women and domestic violence - EU accession: judicial cooperation in criminal matters, asylum and non-refoulement (debate)",https://www.europarl.europa.eu/doceo/document/CRE-9-2023-05-09-INT-2-257-0000_DE.html,"  Maria Noichl (S&D).   – Sehr geehrte Frau Präsidentin! Es ehrt Sie, denn Fehler machen wir alle, bloß, Fehler muss man dann korrigieren und alles ist gut. Ich möchte als allererstes Danke sagen. Ich möchte Danke an alle Demokratinnen und Demokraten hier im Hause sagen, die über viele Jahre hinweg dafür gekämpft haben, dass es so wird, wie es jetzt kommt, dass die Istanbul-Konvention auch von der EU selbst unterschrieben wird. Und ich möchte auch unserer Kommissarin Helena Dalli ganz herzlich Danke sagen. Wir wären nicht so weit ohne dich an dieser Position. 
Ich möchte Punkte nennen, die nichts mit der Istanbul-Konvention zu tun haben, denn wir haben schon vieles gehört, was klar dazu gehört. Was gehört nicht dazu? Die ewig dummen, gestrigen Argumente, in unserer Kultur oder in unserer Tradition würde es nicht möglich sein, die Istanbul-Konvention zu unterschreiben. Dieses Argument lasse ich nicht zählen. Ein weiteres Argument, das in der EU niemals zählen darf: Dass manche Mitgliedsländer glauben, die Kirche würde entscheiden, was bei uns Recht und Gesetz ist. Nein, es entscheidet nicht die Kirche. In Europa entscheidet nicht die Kirche, was Recht und Gesetz ist, sondern wir im demokratischen Parlament. 
Und als dritter Punkt, und das muss nochmal ganz deutlich gemacht werden: Private Gewalt kann nie, nie und nochmals niemals privat sein. Private Gewalt wirkt sich auf die Gesellschaft insgesamt aus. Deswegen wird sie von uns bekämpft, jeden Tag, jede Nacht, jede Minute, jede Sekunde. 
"
Maria NOICHL,2023-03-15,DE,Women activism – human rights defenders related to sexual and reproductive health and rights (SRHR) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-03-15-INT-3-342-0000_DE.html,"  Maria Noichl,  im Namen der S&D-Fraktion. – Frau Präsidentin, liebe Kolleginnen, liebe Kollegen! Obwohl es weltweit natürlich eine Vielzahl von Staaten gibt, in denen Aktivistinnen für die Rechte der Frauen, auch für das Recht des Schwangerschaftsabbruchs, eintreten, blicken wir heute ganz besonders nach Polen. Denn dort ist es passiert, dass Aktivistinnen verurteilt wurden, Aktivistinnen, die Frauen in ihrer Not, eine Schwangerschaft nicht gegen ihren Willen austragen zu müssen, mit Medikamenten geholfen haben. Eine Frau wurde zu acht Monaten sozialer Arbeit verurteilt von einem Staat, der die Arbeit dieser Frau nicht schätzt, nicht wertschätzt, dass sie tagtäglich für das Leben eintritt, nämlich für das Frauenleben.
Heute Morgen hatten wir zusammen mit Frauen aus Polen, mit Justyna und mit Marta, eine Pressekonferenz, und sie haben uns gesagt, sie werden weitermachen. Sie werden weiter für die Rechte der Frauen eintreten, sie lassen sich nicht entmutigen. Sie schließen eine Lücke. Diese mutigen Frauen schließen eine Lücke, die die polnische Regierung ins Land gerissen hat, eine Lücke des Misstrauens und eine Lücke der Gewalt gegen Frauen. Denn wer Frauen das Recht über den eigenen Körper vorenthält, übt Gewalt gegen Frauen aus.
Wir sagen danke zu Justyna, danke zu Marta, danke zu allen Frauenrechtsaktivistinnen weltweit. Wir stehen an ihrer Seite. Die EU-Frauen und ein Teil der EU-Männer stehen an ihrer Seite.
"
Maria NOICHL,2022-10-19,DE,Global food security as follow-up to the G20 Agriculture Ministers meeting (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2022-10-19-INT-3-433-0000_DE.html,"  Maria Noichl (S&D).   – Sehr geehrter Herr Präsident, liebe Kommissarin! Mit Hunger gibt es keinen Frieden, das wissen wir alle. Und gegen Hunger zu kämpfen, ist Friedenspolitik Nummer eins. Aber im Schatten dieser Krise, die wir momentan haben, im Schatten wird auch jetzt Parteipolitik gemacht. Es wird behauptet, Hunger wird gestillt, wenn wir hier in Europa auf 4 % Brachfläche verzichten. Es wird behauptet, Hunger wird gestillt, wenn wir hier die Fruchtfolge nicht einhalten. Ich halte das für scheinheilig. Nachhaltige Lebensmittelsysteme sind viel umfassender grundgelegt. Zum Beispiel müssen wir endlich wegkommen von unserem Sojaimport. Nachhaltige Lebensmittelsysteme können sich nicht auf massiven Import stützen. Das funktioniert nicht. Wir müssen wegkommen davon, dass wir die Hände auf den Flächen anderer haben. Wir leben doch von den Flächen anderer. Warum wird das nicht thematisiert?
Wir müssen Länder unterstützen, dass sie sich selbst ernähren können. Natürlich gibt es auch mal Krisen, da muss von auswärts Nahrung zugeführt werden. Aber normalerweise muss es sein, dass sich Länder selbst ernähren. Vor allen Dingen brauchen wir eine Handelspolitik, die auf Augenhöhe ist. Hunger kann nur und zwar ausschließlich vor Ort gestillt werden. Das muss man erst mal begreifen und dann danach handeln.
"
