MP,Date,Language,Title,Url,Content
Marie DAUCHY,2023-12-12,FR,Framework for ensuring a secure and sustainable supply of critical raw materials (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-12-INT-2-026-0000_FR.html,
Marie DAUCHY,2023-12-11,FR,One-minute speeches on matters of political importance,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-12-11-INT-1-181-0000_FR.html,"  Marie Dauchy (ID).   – Madame la Présidente, en mai, j’ai posé une question écrite à la Commission pour qu’elle s’explique sur les financements qu’elle a apportés à des organisations islamistes. En réponse, la Commission m’a assuré que, à l’heure actuelle, il n’existait pas de projet financé par l’Union européenne à destination de ces organisations. Pourtant, un mois avant cette réponse, Islamic Relief était nommé coordinateur d’un projet dans le cadre du programme Erasmus+. Pis encore, selon un rapport parlementaire, Islamic Relief a reçu plus de 40 millions d’euros de fonds européens. Je vous rappelle que cette organisation islamiste a transféré des millions de dollars au Hamas et qu’elle entretient, selon le gouvernement allemand, des liens forts avec les Frères musulmans.
Chers collègues, non seulement la Commission finance directement l’islamisme avec l’argent des citoyens, mais en plus elle ment aux députés élus, seuls représentants du peuple ici. La Commission européenne est donc une complice directe de l’islamisme et elle porte une part de responsabilité dans les attaques terroristes qui causent de la douleur aux citoyens de notre continent, quand elles ne brisent pas leur vie.
Soyez assurés que, avec les députés français du groupe Identité et Démocratie, nous ne laisserons pas passer ces graves erreurs ni ces tromperies, qui sont une honte pour la démocratie.
"
Marie DAUCHY,2023-11-20,FR,Framework of measures for strengthening Europe’s net-zero technology products manufacturing ecosystem (Net Zero Industry Act) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-20-INT-1-139-0000_FR.html,"  Marie Dauchy (ID).   – Madame la présidente, chers collègues, il aura donc fallu attendre que l’économie mondiale soit complètement paralysée par la pandémie de COVID-19 et que notre sol soit le théâtre d’une crise majeure pour que vous commenciez à comprendre l’importance vitale de nos industries. 
Pendant des décennies, vous avez mis en avant le dogme du marché et le principe sacré de la concurrence libre et non faussée dans le domaine industriel. Pendant des décennies, vous avez voulu nous faire croire que produire nos biens industriels sur notre sol était une erreur et que nous devions privilégier la délocalisation vers les pays où les travailleurs sont exploités et privés de toute protection sociale. Pendant trop longtemps, vous vous êtes moqués de tous ceux qui osaient envisager l’intervention stratégique de l’État et vous avez conclu des traités de libre échange sans discernement et sans vous soucier des conséquences pour notre économie et notre main d’œuvre. 
Le texte que nous voterons cette semaine, bien qu’imparfait, marque une avancée dans la bonne direction pour réindustrialiser nos nations. Mais il est triste de constater qu’une fois de plus, vous avez montré votre incapacité à anticiper les crises et à avoir une vision stratégique solide. L’Europe doit se reconstruire industriellement et encourager les innovations pour retrouver la grandeur de notre civilisation.
"
Marie DAUCHY,2023-11-08,FR,Type-approval of motor vehicles and engines with respect to their emissions and battery durability (Euro 7) (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-11-08-INT-1-225-0000_FR.html,"  Marie Dauchy (ID).   – Monsieur le Président, chers collègues, les normes, toujours les normes! L’Union européenne n’a que ce mot à la bouche. Établir toujours plus de normes pour pourrir la vie de nos concitoyens. Vous voulez faire passer une nouvelle norme sur la pollution automobile, la fameuse norme Euro 7. Mais il est important que tous comprennent bien le vice qui se cache derrière ce texte.
L’Union européenne a récemment imposé le passage au tout électrique en nous faisant croire qu’il s’agissait d’une solution miracle pour sauver la planète. Une fois de plus, ce sont les citoyens qui devront payer l’addition. Que proposez-vous aux personnes vivant en dehors des grandes villes, qui n’ont pas de transports en commun et qui n’ont pas d’autre choix que de prendre leur voiture pour aller travailler? Rien, absolument rien. Pire, vous les méprisez, puisque vous prenez des décisions insensées qui vont profondément affecter leurs vies.
Une fois de plus, ces décisions sont prises par des technocrates de Bruxelles planqués dans leur tour d’ivoire qui ne connaissent pas les réalités que vivent nos concitoyens. Derrière vos soi-disant objectifs de protection de l’environnement se dissimule une volonté d’en finir avec nos libertés, à commencer par la liberté de se déplacer. Mais sachez qu’en démocratie, c’est le peuple qui décide et vous payerez bientôt le prix politique de cette méprise du peuple. Et vivement le 9 juin.
"
Marie DAUCHY,2023-10-19,FR,Generational renewal in the EU farms of the future (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-19-INT-4-089-0000_FR.html,
Marie DAUCHY,2023-10-16,FR,One-minute speeches on matters of political importance,https://www.europarl.europa.eu/doceo/document/CRE-9-2023-10-16-INT-1-203-0000_FR.html,"  Marie Dauchy (ID).   – Madame la Présidente, jeudi dernier, le Rassemblement national a bénéficié d’une niche parlementaire à l’Assemblée lui permettant de déposer ses propres propositions de loi. La première visait à soutenir les femmes qui souffrent d’endométriose, un rappel à la proposition de résolution que j’ai moi-même déposée ici, il y a quelques mois, et qui proposait de prendre en compte la souffrance des millions de femmes atteintes par cette maladie pour y apporter des réponses concrètes.
Que ce soit au Parlement européen ou à l’Assemblée nationale, tous les élus macronistes rejettent donc les propositions qui vont dans l’intérêt général pour aider des millions de femmes. En vérité, vous vous moquez de la santé des femmes, et l’endométriose n’est pour vous qu’un élément de communication. Pour preuve, Emmanuel Macron promet d’agir en fonction du calendrier électoral: 2017, 2019, 2022, soit juste avant chaque campagne. Et aujourd’hui, les femmes attendent toujours des résultats.
Ces choix politiques sont une honte et un mépris envers les millions d’Européennes qui souffrent et dont le quotidien est profondément affecté. Le Rassemblement national fait, lui, de la santé des femmes un combat prioritaire, que j’ai l’honneur de porter au sein de ce Parlement et que je n’abandonnerai jamais.
"
Marie DAUCHY,2023-09-13,FR,Reviewing the protection status of wolves and other large carnivores in the EU (topical debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-168-0000_FR.html,"  Marie Dauchy (ID).   – Madame la Présidente, chers collègues, une attaque de loup sur le poney de Madame Von der Leyen a enfin amené ce débat à l’ordre du jour. Mais nos éleveurs subissent ces attaques depuis des années sans recevoir les moyens nécessaires pour y faire face. Le problème qui préoccupe nos éleveurs depuis longtemps semblait jusqu’à présent bien éloigné de vos préoccupations de technocrates retranchés dans votre tour d’ivoire.
Mais aujourd’hui, c’est en tant qu’élue savoyarde que je prends la parole, parce que je rencontre chaque semaine des éleveurs qui sont à bout, ne sachant plus quoi faire pour s’en sortir. À la pénibilité du travail, à la faible reconnaissance sociale, à l’étouffement fiscal, etc., on ajoute la problématique du loup, qui est un véritable fléau pour nos éleveurs. La Savoie est le troisième département le plus touché avec 4 à 8 constats d’attaque par jour. Pour être indemnisé en cas d’attaque, il est demandé à nos éleveurs d’être équipés de moyens de protection, mais aujourd’hui, aucun n’est véritablement efficace. J’ai rencontré une éleveuse en Maurienne qui, malgré l’utilisation de filets électrifiés, d’un berger et de plusieurs patous, a été attaquée à plusieurs reprises.
La mise en place de moyens de protection est complexe, comme les chiens par exemple, qui doivent être en nombre suffisant, issus d’une bonne lignée et bien dressés. Mais malheureusement, les centres de dressage spécialisés sont rares ou inexistants – aucun en Savoie par exemple. De plus, les chiens de protection font l’objet de nombreuses plaintes de la part des voisins, des promeneurs, et même des maires.
Il est de bon ton de voter contre l’abattage du loup au nom du bien-être animal. Mais où est ce bien-être animal lorsque le loup attaque des dizaines de brebis et les laisse agoniser pendant des heures? Face à l’augmentation de la prédation et à la détresse immense de nos éleveurs, il est urgent d’agir. Si vous restez spectateurs de cette situation désastreuse, nous perdrons bientôt tous nos éleveurs, qui sont pourtant la richesse et l’identité de nos territoires. Chaque jour en France, un agriculteur se suicide. Derrière ce chiffre, il y a des vies et des familles brisées, plongées dans un deuil inconsolable. Et comme le disait Jean de La Fontaine: «les belles paroles ne valent rien sans les actions qui les accompagnent».
"
Marie DAUCHY,2023-09-13,FR,Framework for ensuring a secure and sustainable supply of critical raw materials (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-09-13-INT-3-236-0000_FR.html,"  Marie Dauchy (ID).   – Monsieur le Président, chers collègues, depuis de nombreuses années, le Rassemblement national et le groupe Identité Démocratie dénoncent la politique ultralibérale de l’Union européenne qui nous a conduit à une concurrence déloyale et nous a rendus dépendants des importations de matières essentielles pour nos industries. Nous avons alerté à maintes reprises sur les dangers de cette situation dans des secteurs stratégiques tels que la sécurité, l’aérospatiale ou la santé. Notre objectif a toujours été de défendre notre souveraineté nationale et de protéger nos industries. Mais malheureusement, nos avertissements ont été ignorés pendant trop longtemps, jusqu’à ce que des événements majeurs tels que la pandémie mondiale et le conflit russo-ukrainien vous fassent réaliser brutalement les conséquences de vos erreurs passées.
Aujourd’hui, vous proposez ce règlement sur des matières premières critiques qui reconnaît implicitement votre erreur. Vous acceptez enfin que les États puissent soutenir financièrement des projets industriels d’avenir, à l’instar de nos concurrents internationaux. Hier encore, vous prôniez la dépendance économique entre les pays, mais maintenant vous cherchez à la limiter en fixant des objectifs d’autonomie partielle et des limites d’importations en provenance de pays tiers.
Nous sommes satisfaits de constater que vous reconnaissez enfin que nous ne devons pas tolérer l’importation de marchandises produites de manière anti-écologique et contraire aux droits de l’homme, même si ces réalisations se limitent aux matières premières. Nous voterons donc en faveur de ce rapport, non seulement parce qu’il sert les intérêts de l’Europe, mais aussi parce qu’il constitue un aveu d’échec de l’Union européenne.
"
Marie DAUCHY,2023-07-13,FR,10th anniversary of the EU Guidelines on Freedom of Religion or Belief (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-13-INT-4-129-0000_FR.html,"  Marie Dauchy,  au nom du groupe ID. – Monsieur le Président, chers collègues, le droit à la liberté de religion et de conviction est l’un de nos héritages politiques les plus précieux que nous ont légués les penseurs des Lumières, tels que Voltaire, Rousseau ou Montesquieu. Ces hommes se sont battus contre tous les absolutismes, qu’ils soient religieux ou politiques. Nous leur devons notre liberté.
Mais qu’en reste-t-il aujourd’hui? À vrai dire, pas grand-chose, et nous le devons à la gauche et aux mondialistes qui ont complètement ruiné ces principes et trahi ce que nos aïeux ont acquis au prix de leur vie. À l’origine, la liberté religieuse, c’est la garantie pour toute personne de croire ou de ne pas croire en Dieu et de pouvoir l’exprimer sans subir de menaces. C’est donc permettre à l’homme d’être libre de ses convictions.
Mais aujourd’hui, la liberté religieuse représente l’exact contraire de ces principes. Sous couvert d’une injonction à la bienveillance et au vivre ensemble, la liberté religieuse est devenue la liberté absolue de professer n’importe quel dogme jusqu’au plus dangereux. Au nom de la liberté religieuse. Il est devenu insultant de critiquer l’islamisme qui soumet les hommes et les femmes. L’exemple du voile islamique, qui n’est qu’une insulte à l’indépendance des femmes, est criant. Je suis atterrée de voir que la gauche de ce Parlement ose à peine défendre les femmes iraniennes dans leur combat, quand plusieurs d’entre elles meurent pour se débarrasser de cette prison. Honte à vous!
Cette parodie de liberté religieuse est même devenue le laissez-passer par lequel les institutions européennes déroulent le tapis rouge aux associations islamistes et l’alibi qu’utilisent les islamistes pour répandre leur idéologie nauséabonde partout en Europe et nous imposer leurs dogmes rétrogrades. Les pays islamistes comme le Qatar l’ont parfaitement compris et arrosent leurs amis de la gauche de billets pour défendre leurs valeurs arriérées. Votre soi-disant liberté religieuse vous rend donc complices des extrémismes dont les Lumières nous avaient pourtant débarrassés. L’idéologie multiculturaliste de l’Union européenne nous ramène des siècles en arrière…
(Le Président retire la parole à l’oratrice)
"
Marie DAUCHY,2023-07-11,FR,European Chips Act (debate),https://www.europarl.europa.eu/doceo/document/CRE-9-2023-07-11-INT-2-124-0000_FR.html,"  Marie Dauchy,  au nom du groupe ID. – Madame la Présidente, chers collègues, visiblement votre idéologie ultra-libérale vous empêche de voir la réalité en face. Vous refusez toute intervention de l’État dans l’économie, ce qui nous rend dangereusement dépendants d’autres pays dans des domaines stratégiques tels que les semi-conducteurs.
Votre proposition, qui vise à soutenir financièrement l’installation d’usines de pointe sur notre territoire, ne parvient pas à corriger la situation préoccupante dans laquelle nous nous trouvons. Vous refusez de garantir pleinement notre souveraineté malgré vos affirmations. Vous refusez de financer le développement de logiciels européens essentiels à la conception des puces du futur. Cette décision nous expose à une possible interdiction d’utilisation par les détenteurs de ces logiciels, comme les États-Unis l’ont récemment fait avec la Chine. De plus, vous accordez aux entreprises étrangères qui s’installent chez nous la copropriété de tous les brevets issus des recherches auxquelles elles participent pour obtenir des subventions sans que leur pays d’origine ne nous offre de réciprocité. C’est un véritable manque de vigilance de votre part.
Au lieu de créer un géant européen des semi-conducteurs, à l’image des succès d’Airbus et d’Ariane, votre règlement ne représente qu’une demi-victoire. C’est une occasion manquée que nous devrons accepter en attendant une Europe des nations qui n’aura pas peur de revendiquer sa grandeur. 
"
